depth,sector,condition,rg_similarity,composite_coherence,binding_persistence,recursive_internal_stability,assembly_reproducibility,bounded_composite_drift,composite_gain,classification
24576,Projection,RecursiveBoundStatePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32768,Projection,RecursiveBoundStatePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
65536,Projection,RecursiveBoundStatePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
131072,Projection,RecursiveBoundStatePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
262144,Projection,RecursiveBoundStatePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
524288,Projection,RecursiveBoundStatePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1048576,Projection,RecursiveBoundStatePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2097152,Projection,RecursiveBoundStatePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4194304,Projection,RecursiveBoundStatePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8388608,Projection,RecursiveBoundStatePersistence,0.96,0.9597,0.94,0.93,0.9162,0.9061,0.93,COMPOSITE-STABLE
16777216,Projection,RecursiveBoundStatePersistence,0.9303,0.8999,0.9074,0.888,0.8651,0.8578,0.8644,COMPOSITE-BOUNDED
33554432,Projection,RecursiveBoundStatePersistence,0.8436,0.8197,0.8252,0.7895,0.7728,0.7719,0.7765,COMPOSITE-BOUNDED
1,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
20,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
40,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
48,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
64,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
80,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
96,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
128,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
160,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
192,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
256,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
320,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
512,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
768,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1024,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1536,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2048,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
3072,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4096,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6144,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8192,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12288,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16384,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24576,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32768,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
65536,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
131072,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
262144,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
524288,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1048576,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2097152,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4194304,Projection,InternalCoherenceStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8388608,Projection,InternalCoherenceStability,0.96,0.9584,0.94,0.93,0.92,0.9038,0.93,COMPOSITE-STABLE
16777216,Projection,InternalCoherenceStability,0.946,0.8958,0.885,0.9139,0.8786,0.8673,0.8943,COMPOSITE-BOUNDED
33554432,Projection,InternalCoherenceStability,0.838,0.8019,0.7817,0.8266,0.7953,0.7676,0.7761,COMPOSITE-BOUNDED
1,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
20,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
40,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
48,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
64,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
80,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
96,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
128,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
160,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
192,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
256,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
320,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
512,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
768,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1024,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1536,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2048,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
3072,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4096,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6144,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8192,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12288,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16384,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24576,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32768,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
65536,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
131072,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
262144,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
524288,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1048576,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2097152,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4194304,Projection,PerturbationResilienceComposite,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8388608,Projection,PerturbationResilienceComposite,0.96,0.9445,0.9326,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16777216,Projection,PerturbationResilienceComposite,0.9187,0.9005,0.8803,0.8988,0.8809,0.8725,0.872,COMPOSITE-STABLE
33554432,Projection,PerturbationResilienceComposite,0.8275,0.8047,0.8074,0.8025,0.8014,0.7981,0.7882,COMPOSITE-BOUNDED
1,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
20,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
40,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
48,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
64,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
80,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
96,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
128,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
160,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
192,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
256,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
320,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
512,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
768,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1024,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1536,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2048,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
3072,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4096,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6144,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8192,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12288,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16384,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24576,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32768,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
65536,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
131072,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
262144,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
524288,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
1048576,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2097152,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4194304,Projection,RecursiveAssemblyHierarchy,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8388608,Projection,RecursiveAssemblyHierarchy,0.96,0.9585,0.94,0.9247,0.92,0.91,0.927,COMPOSITE-STABLE
16777216,Projection,RecursiveAssemblyHierarchy,0.9442,0.9196,0.8753,0.8735,0.8921,0.8574,0.9024,COMPOSITE-STABLE
33554432,Projection,RecursiveAssemblyHierarchy,0.8434,0.8227,0.7883,0.7907,0.8014,0.7802,0.7919,COMPOSITE-BOUNDED
1,Projection,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
2,Projection,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
4,Projection,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
6,Projection,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
8,Projection,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
12,Projection,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
16,Projection,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
20,Projection,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
24,Projection,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
32,Projection,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
40,Projection,CompositeTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,COMPOSITE-STABLE
