depth,sector,condition,rg_similarity,semantic_coherence,relational_meaning_persistence,semantic_transport_alignment,recursive_semantic_stability,semantic_reproduction_index,abstraction_semantic_gain,classification
32,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
40,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
48,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.917,0.91,0.9,0.92,SEMANTIC-STABLE
64,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.9025,0.9033,0.8807,0.9135,SEMANTIC-STABLE
80,Projection,RelationalMeaningPersistenceAnalysis,0.9392,0.8994,0.9054,0.8681,0.858,0.8565,0.8809,SEMANTIC-BOUNDED
96,Projection,RelationalMeaningPersistenceAnalysis,0.896,0.8931,0.8762,0.8699,0.86,0.8454,0.8448,SEMANTIC-BOUNDED
128,Projection,RelationalMeaningPersistenceAnalysis,0.8456,0.8396,0.8234,0.7968,0.8104,0.7814,0.8052,SEMANTIC-BOUNDED
160,Projection,RelationalMeaningPersistenceAnalysis,0.7998,0.8054,0.7907,0.7792,0.7744,0.7586,0.7673,SEMANTIC-PARTIAL
192,Projection,RelationalMeaningPersistenceAnalysis,0.7715,0.7539,0.7522,0.7258,0.7385,0.7299,0.7336,SEMANTIC-PARTIAL
256,Projection,RelationalMeaningPersistenceAnalysis,0.7073,0.6819,0.6942,0.665,0.6611,0.6714,0.6686,SEMANTIC-DEGRADING
320,Projection,RelationalMeaningPersistenceAnalysis,0.6655,0.6477,0.624,0.6213,0.6244,0.6023,0.6148,SEMANTIC-DEGRADING
512,Projection,RelationalMeaningPersistenceAnalysis,0.5394,0.5128,0.5218,0.5076,0.5029,0.4887,0.4961,SEMANTIC-FAILED
768,Projection,RelationalMeaningPersistenceAnalysis,0.4277,0.4155,0.4083,0.4034,0.3998,0.3958,0.4074,SEMANTIC-FAILED
1024,Projection,RelationalMeaningPersistenceAnalysis,0.3542,0.3381,0.336,0.3391,0.3237,0.3294,0.3293,SEMANTIC-FAILED
1536,Projection,RelationalMeaningPersistenceAnalysis,0.2681,0.2545,0.2497,0.2464,0.2516,0.2414,0.2451,SEMANTIC-FAILED
2048,Projection,RelationalMeaningPersistenceAnalysis,0.2109,0.207,0.2066,0.1996,0.1964,0.1928,0.2025,SEMANTIC-FAILED
3072,Projection,RelationalMeaningPersistenceAnalysis,0.153,0.1445,0.1475,0.1406,0.1435,0.1386,0.1424,SEMANTIC-FAILED
4096,Projection,RelationalMeaningPersistenceAnalysis,0.1161,0.1129,0.1148,0.1118,0.1113,0.1092,0.1121,SEMANTIC-FAILED
6144,Projection,RelationalMeaningPersistenceAnalysis,0.08,0.0779,0.0781,0.075,0.0754,0.0741,0.0777,SEMANTIC-FAILED
8192,Projection,RelationalMeaningPersistenceAnalysis,0.0611,0.0605,0.0594,0.059,0.0572,0.0574,0.0587,SEMANTIC-FAILED
12288,Projection,RelationalMeaningPersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection,RelationalMeaningPersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection,RelationalMeaningPersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection,SemanticTransportCoherence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
2,Projection,SemanticTransportCoherence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
4,Projection,SemanticTransportCoherence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
6,Projection,SemanticTransportCoherence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
8,Projection,SemanticTransportCoherence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
12,Projection,SemanticTransportCoherence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
16,Projection,SemanticTransportCoherence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
20,Projection,SemanticTransportCoherence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
24,Projection,SemanticTransportCoherence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
32,Projection,SemanticTransportCoherence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
40,Projection,SemanticTransportCoherence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
48,Projection,SemanticTransportCoherence,0.9584,0.94,0.93,0.92,0.9073,0.8976,0.92,SEMANTIC-STABLE
64,Projection,SemanticTransportCoherence,0.9289,0.9259,0.9218,0.92,0.8937,0.8753,0.9057,SEMANTIC-STABLE
80,Projection,SemanticTransportCoherence,0.9027,0.8912,0.8711,0.8959,0.8425,0.8592,0.8601,SEMANTIC-BOUNDED
96,Projection,SemanticTransportCoherence,0.894,0.8768,0.871,0.8637,0.83,0.8171,0.8343,SEMANTIC-BOUNDED
128,Projection,SemanticTransportCoherence,0.839,0.8341,0.8246,0.8195,0.7836,0.7706,0.8016,SEMANTIC-BOUNDED
160,Projection,SemanticTransportCoherence,0.7985,0.7955,0.7697,0.7916,0.7547,0.7583,0.772,SEMANTIC-PARTIAL
192,Projection,SemanticTransportCoherence,0.7758,0.7579,0.7352,0.7305,0.718,0.7045,0.7229,SEMANTIC-PARTIAL
256,Projection,SemanticTransportCoherence,0.7078,0.6786,0.6864,0.6761,0.6539,0.6406,0.665,SEMANTIC-DEGRADING
320,Projection,SemanticTransportCoherence,0.6567,0.6257,0.6273,0.6307,0.6182,0.6135,0.606,SEMANTIC-DEGRADING
512,Projection,SemanticTransportCoherence,0.522,0.5095,0.5041,0.4984,0.49,0.491,0.498,SEMANTIC-FAILED
768,Projection,SemanticTransportCoherence,0.424,0.4073,0.404,0.3997,0.3981,0.3901,0.3963,SEMANTIC-FAILED
1024,Projection,SemanticTransportCoherence,0.3478,0.3385,0.3392,0.337,0.3327,0.3202,0.3321,SEMANTIC-FAILED
1536,Projection,SemanticTransportCoherence,0.2603,0.2537,0.2505,0.252,0.2446,0.2445,0.2479,SEMANTIC-FAILED
2048,Projection,SemanticTransportCoherence,0.2097,0.2005,0.2035,0.1977,0.1953,0.1906,0.1942,SEMANTIC-FAILED
3072,Projection,SemanticTransportCoherence,0.1484,0.1471,0.1448,0.1433,0.1388,0.1372,0.1421,SEMANTIC-FAILED
4096,Projection,SemanticTransportCoherence,0.1169,0.1106,0.1108,0.1134,0.1091,0.1085,0.11,SEMANTIC-FAILED
6144,Projection,SemanticTransportCoherence,0.08,0.0777,0.078,0.0784,0.0761,0.0754,0.0745,SEMANTIC-FAILED
8192,Projection,SemanticTransportCoherence,0.0613,0.0607,0.0582,0.0584,0.0569,0.0567,0.0589,SEMANTIC-FAILED
12288,Projection,SemanticTransportCoherence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection,SemanticTransportCoherence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection,SemanticTransportCoherence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection,RecursiveSemanticTransformationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
2,Projection,RecursiveSemanticTransformationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
4,Projection,RecursiveSemanticTransformationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
6,Projection,RecursiveSemanticTransformationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
8,Projection,RecursiveSemanticTransformationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
12,Projection,RecursiveSemanticTransformationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
16,Projection,RecursiveSemanticTransformationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
20,Projection,RecursiveSemanticTransformationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
24,Projection,RecursiveSemanticTransformationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
32,Projection,RecursiveSemanticTransformationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
40,Projection,RecursiveSemanticTransformationTracking,0.96,0.94,0.93,0.9151,0.91,0.9,0.92,SEMANTIC-STABLE
48,Projection,RecursiveSemanticTransformationTracking,0.9593,0.9351,0.9183,0.9152,0.91,0.9,0.919,SEMANTIC-STABLE
64,Projection,RecursiveSemanticTransformationTracking,0.9537,0.9073,0.9193,0.9107,0.8889,0.8591,0.9034,SEMANTIC-STABLE
80,Projection,RecursiveSemanticTransformationTracking,0.907,0.8881,0.8912,0.8535,0.872,0.8617,0.8617,SEMANTIC-BOUNDED
96,Projection,RecursiveSemanticTransformationTracking,0.895,0.8728,0.8666,0.8524,0.8541,0.8235,0.8571,SEMANTIC-BOUNDED
128,Projection,RecursiveSemanticTransformationTracking,0.8545,0.8336,0.8088,0.7966,0.8179,0.7986,0.8053,SEMANTIC-BOUNDED
160,Projection,RecursiveSemanticTransformationTracking,0.8131,0.7922,0.7589,0.7627,0.7572,0.7397,0.7564,SEMANTIC-PARTIAL
192,Projection,RecursiveSemanticTransformationTracking,0.7522,0.7563,0.7369,0.7323,0.7451,0.7006,0.7292,SEMANTIC-PARTIAL
256,Projection,RecursiveSemanticTransformationTracking,0.7051,0.6849,0.6724,0.6545,0.6793,0.649,0.6659,SEMANTIC-DEGRADING
320,Projection,RecursiveSemanticTransformationTracking,0.6355,0.6367,0.6092,0.6208,0.6149,0.5988,0.6197,SEMANTIC-DEGRADING
512,Projection,RecursiveSemanticTransformationTracking,0.5288,0.5088,0.4962,0.4981,0.4961,0.4779,0.4882,SEMANTIC-FAILED
768,Projection,RecursiveSemanticTransformationTracking,0.4228,0.406,0.3984,0.3988,0.4087,0.3823,0.3981,SEMANTIC-FAILED
1024,Projection,RecursiveSemanticTransformationTracking,0.3452,0.3319,0.3309,0.327,0.3348,0.3193,0.3364,SEMANTIC-FAILED
1536,Projection,RecursiveSemanticTransformationTracking,0.2584,0.2493,0.2463,0.247,0.2462,0.2452,0.2429,SEMANTIC-FAILED
2048,Projection,RecursiveSemanticTransformationTracking,0.2068,0.1987,0.1971,0.197,0.2023,0.1925,0.1941,SEMANTIC-FAILED
3072,Projection,RecursiveSemanticTransformationTracking,0.1461,0.1462,0.1421,0.1424,0.1424,0.138,0.1385,SEMANTIC-FAILED
4096,Projection,RecursiveSemanticTransformationTracking,0.1139,0.1137,0.1116,0.1084,0.1112,0.1072,0.109,SEMANTIC-FAILED
6144,Projection,RecursiveSemanticTransformationTracking,0.0804,0.0767,0.075,0.0746,0.0756,0.0748,0.0768,SEMANTIC-FAILED
8192,Projection,RecursiveSemanticTransformationTracking,0.0601,0.0589,0.059,0.0581,0.058,0.0572,0.0583,SEMANTIC-FAILED
12288,Projection,RecursiveSemanticTransformationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection,RecursiveSemanticTransformationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection,RecursiveSemanticTransformationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection,AbstractionToSemanticsMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
2,Projection,AbstractionToSemanticsMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
4,Projection,AbstractionToSemanticsMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
6,Projection,AbstractionToSemanticsMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
8,Projection,AbstractionToSemanticsMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
12,Projection,AbstractionToSemanticsMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
16,Projection,AbstractionToSemanticsMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
20,Projection,AbstractionToSemanticsMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
24,Projection,AbstractionToSemanticsMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
32,Projection,AbstractionToSemanticsMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
40,Projection,AbstractionToSemanticsMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
48,Projection,AbstractionToSemanticsMapping,0.9579,0.9326,0.93,0.92,0.8929,0.9,0.92,SEMANTIC-STABLE
64,Projection,AbstractionToSemanticsMapping,0.9228,0.8964,0.899,0.8795,0.8801,0.8712,0.9017,SEMANTIC-BOUNDED
80,Projection,AbstractionToSemanticsMapping,0.8977,0.8766,0.8744,0.8612,0.8745,0.856,0.8839,SEMANTIC-BOUNDED
96,Projection,AbstractionToSemanticsMapping,0.8694,0.8651,0.8595,0.841,0.8259,0.8134,0.8503,SEMANTIC-BOUNDED
128,Projection,AbstractionToSemanticsMapping,0.8398,0.8249,0.8226,0.8134,0.8055,0.7867,0.8151,SEMANTIC-BOUNDED
160,Projection,AbstractionToSemanticsMapping,0.7915,0.774,0.7689,0.7583,0.7434,0.756,0.7829,SEMANTIC-PARTIAL
192,Projection,AbstractionToSemanticsMapping,0.7738,0.7443,0.7406,0.7172,0.7221,0.7193,0.7375,SEMANTIC-PARTIAL
256,Projection,AbstractionToSemanticsMapping,0.7041,0.6759,0.6853,0.6551,0.6687,0.6502,0.6848,SEMANTIC-DEGRADING
320,Projection,AbstractionToSemanticsMapping,0.6517,0.6325,0.622,0.6261,0.6192,0.5922,0.615,SEMANTIC-DEGRADING
512,Projection,AbstractionToSemanticsMapping,0.5306,0.5037,0.4953,0.5019,0.4903,0.4843,0.5082,SEMANTIC-FAILED
768,Projection,AbstractionToSemanticsMapping,0.4178,0.4072,0.4027,0.3956,0.4001,0.3967,0.4027,SEMANTIC-FAILED
1024,Projection,AbstractionToSemanticsMapping,0.3415,0.3306,0.3381,0.3287,0.3225,0.3264,0.3353,SEMANTIC-FAILED
1536,Projection,AbstractionToSemanticsMapping,0.2611,0.2543,0.2499,0.2491,0.2489,0.2428,0.2491,SEMANTIC-FAILED
2048,Projection,AbstractionToSemanticsMapping,0.2062,0.1977,0.1984,0.1976,0.1916,0.1942,0.1994,SEMANTIC-FAILED
3072,Projection,AbstractionToSemanticsMapping,0.1487,0.1454,0.1408,0.1416,0.1394,0.1404,0.1433,SEMANTIC-FAILED
4096,Projection,AbstractionToSemanticsMapping,0.1151,0.1095,0.1118,0.1101,0.1063,0.1062,0.1106,SEMANTIC-FAILED
6144,Projection,AbstractionToSemanticsMapping,0.0801,0.0761,0.0751,0.0764,0.0746,0.073,0.0764,SEMANTIC-FAILED
8192,Projection,AbstractionToSemanticsMapping,0.0617,0.06,0.0583,0.0582,0.0563,0.0573,0.058,SEMANTIC-FAILED
12288,Projection,AbstractionToSemanticsMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection,AbstractionToSemanticsMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection,AbstractionToSemanticsMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection,SemanticReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
2,Projection,SemanticReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
4,Projection,SemanticReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
6,Projection,SemanticReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
8,Projection,SemanticReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
12,Projection,SemanticReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
16,Projection,SemanticReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
20,Projection,SemanticReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
24,Projection,SemanticReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
32,Projection,SemanticReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
40,Projection,SemanticReproductionDynamics,0.96,0.94,0.93,0.9167,0.91,0.9,0.9151,SEMANTIC-STABLE
48,Projection,SemanticReproductionDynamics,0.9591,0.94,0.9183,0.9171,0.91,0.9,0.9108,SEMANTIC-STABLE
64,Projection,SemanticReproductionDynamics,0.9313,0.919,0.9125,0.8854,0.8902,0.9,0.9097,SEMANTIC-STABLE
80,Projection,SemanticReproductionDynamics,0.9101,0.9012,0.8734,0.8697,0.8718,0.8705,0.8563,SEMANTIC-BOUNDED
96,Projection,SemanticReproductionDynamics,0.8915,0.8527,0.8606,0.833,0.8449,0.8289,0.8337,SEMANTIC-BOUNDED
128,Projection,SemanticReproductionDynamics,0.8466,0.8201,0.8143,0.816,0.8074,0.7935,0.7938,SEMANTIC-BOUNDED
160,Projection,SemanticReproductionDynamics,0.7843,0.7659,0.7638,0.7598,0.7577,0.7769,0.7686,SEMANTIC-PARTIAL
192,Projection,SemanticReproductionDynamics,0.7542,0.7399,0.7322,0.7402,0.7245,0.7328,0.7154,SEMANTIC-PARTIAL
256,Projection,SemanticReproductionDynamics,0.6997,0.6677,0.6617,0.6664,0.6535,0.669,0.6652,SEMANTIC-DEGRADING
320,Projection,SemanticReproductionDynamics,0.6424,0.6334,0.6256,0.6141,0.6085,0.6259,0.607,SEMANTIC-DEGRADING
512,Projection,SemanticReproductionDynamics,0.5143,0.506,0.4939,0.499,0.4917,0.503,0.502,SEMANTIC-FAILED
768,Projection,SemanticReproductionDynamics,0.4199,0.4011,0.4062,0.402,0.3976,0.3965,0.3897,SEMANTIC-FAILED
1024,Projection,SemanticReproductionDynamics,0.3485,0.3376,0.3339,0.3263,0.3336,0.3351,0.3304,SEMANTIC-FAILED
1536,Projection,SemanticReproductionDynamics,0.262,0.2503,0.2523,0.2486,0.2508,0.2472,0.2426,SEMANTIC-FAILED
2048,Projection,SemanticReproductionDynamics,0.2034,0.2005,0.1974,0.1942,0.1952,0.1996,0.1936,SEMANTIC-FAILED
3072,Projection,SemanticReproductionDynamics,0.1445,0.1462,0.1447,0.1403,0.1401,0.1411,0.1384,SEMANTIC-FAILED
4096,Projection,SemanticReproductionDynamics,0.1136,0.11,0.1107,0.1093,0.1093,0.1083,0.1074,SEMANTIC-FAILED
6144,Projection,SemanticReproductionDynamics,0.0804,0.0786,0.0755,0.0769,0.0743,0.0749,0.0758,SEMANTIC-FAILED
8192,Projection,SemanticReproductionDynamics,0.0599,0.0599,0.0594,0.0574,0.0585,0.0574,0.0586,SEMANTIC-FAILED
12288,Projection,SemanticReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection,SemanticReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection,SemanticReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection,NullSemanticControl,0.8472,0.8582,0.8543,0.8695,0.8063,0.8348,0.8548,SEMANTIC-BOUNDED
2,Projection,NullSemanticControl,0.8582,0.8567,0.8288,0.8624,0.8099,0.805,0.8516,SEMANTIC-BOUNDED
4,Projection,NullSemanticControl,0.8468,0.8375,0.8386,0.8497,0.8171,0.8121,0.8419,SEMANTIC-BOUNDED
6,Projection,NullSemanticControl,0.8709,0.8388,0.8295,0.8436,0.815,0.8097,0.8381,SEMANTIC-BOUNDED
8,Projection,NullSemanticControl,0.8576,0.8363,0.8511,0.8305,0.8043,0.8025,0.8236,SEMANTIC-BOUNDED
12,Projection,NullSemanticControl,0.8617,0.8309,0.8256,0.8251,0.8062,0.7939,0.8207,SEMANTIC-BOUNDED
16,Projection,NullSemanticControl,0.8265,0.8475,0.8108,0.8272,0.8113,0.8009,0.8256,SEMANTIC-BOUNDED
20,Projection,NullSemanticControl,0.8164,0.8297,0.8096,0.8154,0.7798,0.7954,0.8211,SEMANTIC-BOUNDED
24,Projection,NullSemanticControl,0.8429,0.8161,0.8029,0.8303,0.7907,0.7676,0.8054,SEMANTIC-BOUNDED
32,Projection,NullSemanticControl,0.8023,0.7892,0.794,0.8084,0.7682,0.7554,0.7933,SEMANTIC-PARTIAL
40,Projection,NullSemanticControl,0.7926,0.7834,0.7696,0.7853,0.7639,0.7597,0.7589,SEMANTIC-PARTIAL
48,Projection,NullSemanticControl,0.7871,0.7779,0.7816,0.7897,0.7517,0.7485,0.7671,SEMANTIC-PARTIAL
64,Projection,NullSemanticControl,0.7763,0.7492,0.7543,0.7549,0.7342,0.7157,0.7588,SEMANTIC-PARTIAL
80,Projection,NullSemanticControl,0.7291,0.7217,0.7378,0.7454,0.7299,0.7027,0.7217,SEMANTIC-PARTIAL
96,Projection,NullSemanticControl,0.7424,0.7145,0.6947,0.7052,0.6974,0.6918,0.719,SEMANTIC-DEGRADING
128,Projection,NullSemanticControl,0.6803,0.6881,0.6633,0.6969,0.6481,0.6561,0.6544,SEMANTIC-DEGRADING
160,Projection,NullSemanticControl,0.6482,0.6466,0.6475,0.6622,0.6289,0.6096,0.6391,SEMANTIC-DEGRADING
192,Projection,NullSemanticControl,0.6218,0.623,0.6254,0.6256,0.61,0.5965,0.6141,SEMANTIC-DEGRADING
