depth,sector,condition,rg_similarity,geometric_coherence,relational_metric_stability,topology_persistence,spatial_transport_alignment,locality_geometry_consistency,recursive_spatialization_gain,classification
96,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
128,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
160,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
192,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
256,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
320,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
512,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
768,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1024,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1536,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2048,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
3072,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4096,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6144,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8192,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12288,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16384,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24576,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32768,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
65536,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
131072,Projection,EmergentDistanceMetricAnalysis,0.9245,0.9028,0.9057,0.8869,0.8679,0.8791,0.8781,GEOMETRY-STABLE
262144,Projection,EmergentDistanceMetricAnalysis,0.8361,0.8085,0.8025,0.7855,0.8043,0.7879,0.8048,GEOMETRY-BOUNDED
1,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
20,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
40,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
48,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
64,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
80,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
96,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
128,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
160,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
192,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
256,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
320,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
512,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
768,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1024,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1536,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2048,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
3072,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4096,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6144,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8192,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12288,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16384,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24576,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32768,Projection,RecursiveTopologyFormation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
65536,Projection,RecursiveTopologyFormation,0.96,0.9501,0.94,0.93,0.9192,0.91,0.93,GEOMETRY-STABLE
131072,Projection,RecursiveTopologyFormation,0.96,0.8826,0.9066,0.897,0.8882,0.857,0.8847,GEOMETRY-BOUNDED
262144,Projection,RecursiveTopologyFormation,0.8558,0.8152,0.8037,0.8248,0.7785,0.7601,0.785,GEOMETRY-BOUNDED
1,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
20,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
40,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
48,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
64,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
80,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
96,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
128,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
160,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
192,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
256,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
320,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
512,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
768,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1024,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1536,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2048,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
3072,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4096,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6144,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8192,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12288,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16384,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24576,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32768,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
65536,Projection,RelationalGeometricCoherenceMapping,0.96,0.96,0.9399,0.93,0.9153,0.91,0.9196,GEOMETRY-STABLE
131072,Projection,RelationalGeometricCoherenceMapping,0.9295,0.9391,0.8805,0.8955,0.869,0.8656,0.8879,GEOMETRY-STABLE
262144,Projection,RelationalGeometricCoherenceMapping,0.8471,0.8439,0.7952,0.7972,0.7793,0.7727,0.7951,GEOMETRY-BOUNDED
1,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
20,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
40,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
48,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
64,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
80,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
96,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
128,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
160,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
192,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
256,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
320,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
512,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
768,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1024,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1536,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2048,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
3072,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4096,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6144,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8192,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12288,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16384,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24576,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32768,Projection,TransportInducedSpatialPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
65536,Projection,TransportInducedSpatialPersistence,0.96,0.9594,0.9321,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
131072,Projection,TransportInducedSpatialPersistence,0.9377,0.9046,0.88,0.8715,0.9018,0.8618,0.8762,GEOMETRY-STABLE
262144,Projection,TransportInducedSpatialPersistence,0.8374,0.8045,0.7917,0.781,0.8034,0.7938,0.7835,GEOMETRY-BOUNDED
1,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
20,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
40,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
48,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
64,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
80,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
96,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
128,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
160,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
192,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
256,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
320,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
512,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
768,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1024,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1536,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2048,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
3072,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4096,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6144,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8192,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12288,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16384,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24576,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32768,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
65536,Projection,LocalityDrivenGeometricStabilization,0.96,0.96,0.9295,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
131072,Projection,LocalityDrivenGeometricStabilization,0.9334,0.9109,0.8968,0.89,0.8703,0.8973,0.884,GEOMETRY-STABLE
262144,Projection,LocalityDrivenGeometricStabilization,0.847,0.801,0.7837,0.7921,0.7791,0.7938,0.7851,GEOMETRY-BOUNDED
1,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
20,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
40,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
48,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
64,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
80,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
96,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
128,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
160,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
192,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
256,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
320,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
512,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
768,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1024,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
1536,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2048,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
3072,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4096,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6144,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8192,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12288,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16384,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24576,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32768,Projection,RecursiveMetricConsistencyTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
65536,Projection,RecursiveMetricConsistencyTracking,0.96,0.9474,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
131072,Projection,RecursiveMetricConsistencyTracking,0.9274,0.9146,0.9078,0.8986,0.8808,0.8635,0.9008,GEOMETRY-STABLE
262144,Projection,RecursiveMetricConsistencyTracking,0.8415,0.7986,0.8071,0.7868,0.7831,0.7618,0.7818,GEOMETRY-PARTIAL
