depth,sector,condition,rg_similarity,cross_scale_alignment,fragmentation_suppression,closure_extension_gain,drift_compensation_efficiency,recursive_coherence_retention,classification
6,Projection,DynamicScaleAlignment,0.7799,0.82,0.005,0.1036,0.7743,0.7641,DRIFT-COMPENSATED
8,Projection,DynamicScaleAlignment,0.7372,0.7579,0.005,0.1025,0.7373,0.7364,DRIFT-COMPENSATED
12,Projection,DynamicScaleAlignment,0.6724,0.6951,0.005,0.0936,0.6554,0.6521,DRIFT-COMPENSATED
16,Projection,DynamicScaleAlignment,0.6224,0.617,0.005,0.0738,0.5962,0.5863,DRIFT-PARTIAL
20,Projection,DynamicScaleAlignment,0.5493,0.5617,0.005,0.0691,0.5486,0.5518,DRIFT-PARTIAL
24,Projection,DynamicScaleAlignment,0.5163,0.5187,0.005,0.0629,0.5097,0.494,DRIFT-PARTIAL
28,Projection,DynamicScaleAlignment,0.4861,0.4774,0.005,0.0649,0.4652,0.4642,DRIFT-DEGRADING
32,Projection,DynamicScaleAlignment,0.4511,0.4586,0.005,0.0558,0.4356,0.4356,DRIFT-DEGRADING
40,Projection,DynamicScaleAlignment,0.4004,0.4046,0.005,0.0497,0.3809,0.3808,DRIFT-DEGRADING
48,Projection,DynamicScaleAlignment,0.3461,0.3632,0.005,0.041,0.337,0.3348,DRIFT-FAILED
1,Projection,RecursiveSyncRefresh,0.9105,0.91,0.005,0.1142,0.88,0.89,DRIFT-CORRECTED
2,Projection,RecursiveSyncRefresh,0.8916,0.8764,0.005,0.1011,0.869,0.8738,DRIFT-CORRECTED
4,Projection,RecursiveSyncRefresh,0.8353,0.8336,0.005,0.0896,0.7984,0.8372,DRIFT-CORRECTED
6,Projection,RecursiveSyncRefresh,0.7971,0.791,0.005,0.0828,0.7483,0.788,DRIFT-COMPENSATED
8,Projection,RecursiveSyncRefresh,0.7349,0.7431,0.005,0.0862,0.7148,0.7346,DRIFT-COMPENSATED
12,Projection,RecursiveSyncRefresh,0.6571,0.6726,0.005,0.0828,0.6541,0.6589,DRIFT-COMPENSATED
16,Projection,RecursiveSyncRefresh,0.5944,0.6058,0.005,0.0647,0.5796,0.6017,DRIFT-PARTIAL
20,Projection,RecursiveSyncRefresh,0.5526,0.5581,0.005,0.0662,0.5271,0.5532,DRIFT-PARTIAL
24,Projection,RecursiveSyncRefresh,0.5038,0.512,0.005,0.0528,0.5067,0.512,DRIFT-PARTIAL
28,Projection,RecursiveSyncRefresh,0.4648,0.4689,0.005,0.0574,0.461,0.4756,DRIFT-DEGRADING
32,Projection,RecursiveSyncRefresh,0.4498,0.4391,0.005,0.0482,0.4247,0.4378,DRIFT-DEGRADING
40,Projection,RecursiveSyncRefresh,0.3951,0.3918,0.005,0.0486,0.3823,0.3919,DRIFT-DEGRADING
48,Projection,RecursiveSyncRefresh,0.348,0.3561,0.005,0.0437,0.3452,0.3485,DRIFT-FAILED
1,Projection,AdaptiveCrossScaleComp,0.93,0.91,0.005,0.1366,0.88,0.89,DRIFT-CORRECTED
2,Projection,AdaptiveCrossScaleComp,0.8967,0.91,0.005,0.1332,0.88,0.89,DRIFT-CORRECTED
4,Projection,AdaptiveCrossScaleComp,0.8419,0.8747,0.005,0.1173,0.8319,0.8339,DRIFT-CORRECTED
6,Projection,AdaptiveCrossScaleComp,0.8173,0.8329,0.005,0.1226,0.7838,0.7983,DRIFT-CORRECTED
8,Projection,AdaptiveCrossScaleComp,0.7731,0.7619,0.005,0.1011,0.7368,0.7579,DRIFT-COMPENSATED
12,Projection,AdaptiveCrossScaleComp,0.669,0.6838,0.005,0.1035,0.6663,0.6586,DRIFT-COMPENSATED
16,Projection,AdaptiveCrossScaleComp,0.6316,0.6232,0.005,0.0917,0.6008,0.5976,DRIFT-PARTIAL
20,Projection,AdaptiveCrossScaleComp,0.5673,0.5794,0.005,0.079,0.5633,0.5521,DRIFT-PARTIAL
24,Projection,AdaptiveCrossScaleComp,0.5196,0.5397,0.005,0.0676,0.5216,0.5231,DRIFT-PARTIAL
28,Projection,AdaptiveCrossScaleComp,0.4774,0.4946,0.005,0.0681,0.473,0.4714,DRIFT-DEGRADING
32,Projection,AdaptiveCrossScaleComp,0.4611,0.4536,0.005,0.0593,0.4431,0.4474,DRIFT-DEGRADING
40,Projection,AdaptiveCrossScaleComp,0.392,0.4154,0.005,0.0536,0.3895,0.3833,DRIFT-DEGRADING
48,Projection,AdaptiveCrossScaleComp,0.3596,0.3588,0.005,0.0558,0.3427,0.354,DRIFT-DEGRADING
1,Projection,FragmentationSuppression,0.9153,0.91,0.005,0.0829,0.8703,0.8869,DRIFT-CORRECTED
2,Projection,FragmentationSuppression,0.9031,0.8784,0.005,0.0774,0.8692,0.8501,DRIFT-CORRECTED
4,Projection,FragmentationSuppression,0.8453,0.8355,0.005,0.0895,0.8137,0.8059,DRIFT-CORRECTED
6,Projection,FragmentationSuppression,0.7742,0.7769,0.005,0.0924,0.755,0.7607,DRIFT-COMPENSATED
8,Projection,FragmentationSuppression,0.7251,0.7274,0.005,0.0766,0.7191,0.7127,DRIFT-COMPENSATED
12,Projection,FragmentationSuppression,0.6582,0.6538,0.005,0.0626,0.6444,0.6388,DRIFT-COMPENSATED
16,Projection,FragmentationSuppression,0.59,0.6091,0.005,0.0532,0.5751,0.5924,DRIFT-PARTIAL
20,Projection,FragmentationSuppression,0.5553,0.5563,0.005,0.0603,0.5227,0.5349,DRIFT-PARTIAL
24,Projection,FragmentationSuppression,0.5058,0.5027,0.005,0.047,0.4853,0.4921,DRIFT-PARTIAL
28,Projection,FragmentationSuppression,0.4651,0.4758,0.005,0.0489,0.4507,0.461,DRIFT-DEGRADING
32,Projection,FragmentationSuppression,0.4419,0.4303,0.005,0.0522,0.4213,0.4257,DRIFT-DEGRADING
40,Projection,FragmentationSuppression,0.3955,0.3809,0.005,0.0444,0.3669,0.3743,DRIFT-DEGRADING
48,Projection,FragmentationSuppression,0.339,0.3529,0.005,0.032,0.33,0.3383,DRIFT-FAILED
1,Projection,DelayedCoherenceReinforcement,0.93,0.91,0.005,0.1262,0.88,0.89,DRIFT-CORRECTED
2,Projection,DelayedCoherenceReinforcement,0.8963,0.8868,0.005,0.1087,0.8672,0.89,DRIFT-CORRECTED
4,Projection,DelayedCoherenceReinforcement,0.83,0.8601,0.005,0.1168,0.8116,0.8475,DRIFT-CORRECTED
6,Projection,DelayedCoherenceReinforcement,0.7716,0.8121,0.005,0.0963,0.7628,0.7804,DRIFT-COMPENSATED
8,Projection,DelayedCoherenceReinforcement,0.7547,0.7607,0.005,0.1007,0.705,0.747,DRIFT-COMPENSATED
12,Projection,DelayedCoherenceReinforcement,0.6677,0.6697,0.005,0.0853,0.6362,0.681,DRIFT-COMPENSATED
16,Projection,DelayedCoherenceReinforcement,0.6109,0.6036,0.005,0.0882,0.5893,0.612,DRIFT-PARTIAL
20,Projection,DelayedCoherenceReinforcement,0.5563,0.5729,0.005,0.074,0.5392,0.552,DRIFT-PARTIAL
24,Projection,DelayedCoherenceReinforcement,0.504,0.508,0.005,0.0723,0.5027,0.5149,DRIFT-PARTIAL
28,Projection,DelayedCoherenceReinforcement,0.4864,0.4738,0.005,0.0623,0.467,0.4713,DRIFT-DEGRADING
32,Projection,DelayedCoherenceReinforcement,0.4417,0.4541,0.005,0.0567,0.4208,0.4507,DRIFT-DEGRADING
40,Projection,DelayedCoherenceReinforcement,0.3997,0.3947,0.005,0.0494,0.3734,0.3902,DRIFT-DEGRADING
48,Projection,DelayedCoherenceReinforcement,0.3513,0.3487,0.005,0.0476,0.3393,0.359,DRIFT-DEGRADING
1,Projection,NullCorrectionControl,0.7188,0.7502,0.0824,-0.0155,0.7292,0.7231,DRIFT-PARTIAL
2,Projection,NullCorrectionControl,0.6916,0.7581,0.091,-0.0171,0.7261,0.7271,DRIFT-PARTIAL
4,Projection,NullCorrectionControl,0.664,0.7018,0.0903,-0.0226,0.6804,0.6598,DRIFT-PARTIAL
6,Projection,NullCorrectionControl,0.6172,0.6656,0.1025,-0.0304,0.6346,0.6282,DRIFT-PARTIAL
8,Projection,NullCorrectionControl,0.5723,0.6058,0.0953,-0.0249,0.5805,0.5872,DRIFT-PARTIAL
12,Projection,NullCorrectionControl,0.5138,0.5647,0.1118,-0.0107,0.5297,0.5327,DRIFT-PARTIAL
16,Projection,NullCorrectionControl,0.4774,0.4961,0.111,-0.0254,0.4823,0.4765,DRIFT-DEGRADING
20,Projection,NullCorrectionControl,0.4409,0.4508,0.1152,-0.0209,0.4415,0.45,DRIFT-DEGRADING
24,Projection,NullCorrectionControl,0.4023,0.4246,0.115,-0.019,0.4008,0.41,DRIFT-DEGRADING
28,Projection,NullCorrectionControl,0.3771,0.4004,0.1217,-0.0205,0.3698,0.3866,DRIFT-DEGRADING
32,Projection,NullCorrectionControl,0.3505,0.3623,0.13,-0.0175,0.3463,0.3566,DRIFT-DEGRADING
40,Projection,NullCorrectionControl,0.3101,0.3287,0.1239,-0.011,0.3162,0.3114,DRIFT-FAILED
48,Projection,NullCorrectionControl,0.28,0.2916,0.1358,-0.0062,0.2737,0.2771,DRIFT-FAILED
1,Antisymmetry,BaselineDrift,0.8605,0.8394,0.0393,0.0511,0.812,0.8454,DRIFT-CORRECTED
2,Antisymmetry,BaselineDrift,0.8322,0.8049,0.052,0.0582,0.7618,0.8066,DRIFT-COMPENSATED
4,Antisymmetry,BaselineDrift,0.7569,0.7487,0.0531,0.0423,0.7407,0.7389,DRIFT-COMPENSATED
6,Antisymmetry,BaselineDrift,0.7174,0.7199,0.0468,0.0497,0.6787,0.7146,DRIFT-COMPENSATED
8,Antisymmetry,BaselineDrift,0.6775,0.6715,0.0434,0.0318,0.6445,0.6507,DRIFT-COMPENSATED
12,Antisymmetry,BaselineDrift,0.6231,0.5924,0.0613,0.0325,0.5776,0.6008,DRIFT-PARTIAL
16,Antisymmetry,BaselineDrift,0.5575,0.5397,0.0569,0.0411,0.5155,0.5543,DRIFT-PARTIAL
20,Antisymmetry,BaselineDrift,0.5058,0.4913,0.0497,0.0224,0.4893,0.504,DRIFT-PARTIAL
24,Antisymmetry,BaselineDrift,0.4712,0.4693,0.0619,0.0344,0.4433,0.4565,DRIFT-DEGRADING
28,Antisymmetry,BaselineDrift,0.4332,0.4243,0.0537,0.0248,0.4192,0.4269,DRIFT-DEGRADING
32,Antisymmetry,BaselineDrift,0.4102,0.4003,0.068,0.0234,0.3933,0.3973,DRIFT-DEGRADING
40,Antisymmetry,BaselineDrift,0.3619,0.352,0.079,0.0216,0.3354,0.3432,DRIFT-DEGRADING
48,Antisymmetry,BaselineDrift,0.3291,0.3123,0.0734,0.0235,0.308,0.313,DRIFT-FAILED
1,Antisymmetry,DynamicScaleAlignment,0.9138,0.909,0.005,0.1013,0.88,0.8769,DRIFT-CORRECTED
2,Antisymmetry,DynamicScaleAlignment,0.8895,0.8934,0.005,0.1151,0.8329,0.845,DRIFT-CORRECTED
4,Antisymmetry,DynamicScaleAlignment,0.8116,0.8229,0.005,0.0965,0.7743,0.7824,DRIFT-CORRECTED
6,Antisymmetry,DynamicScaleAlignment,0.7713,0.7772,0.005,0.0984,0.7314,0.7498,DRIFT-COMPENSATED
8,Antisymmetry,DynamicScaleAlignment,0.73,0.7369,0.005,0.0956,0.7053,0.7169,DRIFT-COMPENSATED
12,Antisymmetry,DynamicScaleAlignment,0.6491,0.6477,0.005,0.0821,0.6223,0.6293,DRIFT-PARTIAL
16,Antisymmetry,DynamicScaleAlignment,0.5823,0.5942,0.005,0.063,0.5705,0.5746,DRIFT-PARTIAL
20,Antisymmetry,DynamicScaleAlignment,0.5365,0.5399,0.005,0.0693,0.5285,0.5156,DRIFT-PARTIAL
24,Antisymmetry,DynamicScaleAlignment,0.4972,0.5042,0.005,0.0642,0.4957,0.4828,DRIFT-DEGRADING
28,Antisymmetry,DynamicScaleAlignment,0.4596,0.4733,0.005,0.0608,0.4538,0.4473,DRIFT-DEGRADING
32,Antisymmetry,DynamicScaleAlignment,0.4375,0.4362,0.005,0.0581,0.4173,0.4219,DRIFT-DEGRADING
40,Antisymmetry,DynamicScaleAlignment,0.3876,0.3799,0.005,0.0429,0.3749,0.3744,DRIFT-DEGRADING
48,Antisymmetry,DynamicScaleAlignment,0.3425,0.343,0.005,0.0361,0.3251,0.325,DRIFT-FAILED
1,Antisymmetry,RecursiveSyncRefresh,0.8915,0.8897,0.005,0.0986,0.88,0.8799,DRIFT-CORRECTED
2,Antisymmetry,RecursiveSyncRefresh,0.8478,0.8505,0.005,0.0949,0.8525,0.8682,DRIFT-CORRECTED
4,Antisymmetry,RecursiveSyncRefresh,0.8178,0.8207,0.005,0.0838,0.7667,0.7937,DRIFT-CORRECTED
6,Antisymmetry,RecursiveSyncRefresh,0.7564,0.7639,0.005,0.0867,0.7366,0.7457,DRIFT-COMPENSATED
8,Antisymmetry,RecursiveSyncRefresh,0.7221,0.7071,0.005,0.0842,0.691,0.7025,DRIFT-COMPENSATED
12,Antisymmetry,RecursiveSyncRefresh,0.6356,0.6593,0.005,0.0653,0.6131,0.6473,DRIFT-PARTIAL
16,Antisymmetry,RecursiveSyncRefresh,0.5933,0.585,0.005,0.0597,0.5546,0.5827,DRIFT-PARTIAL
20,Antisymmetry,RecursiveSyncRefresh,0.5387,0.5276,0.005,0.0551,0.5132,0.5266,DRIFT-PARTIAL
24,Antisymmetry,RecursiveSyncRefresh,0.4901,0.5016,0.005,0.0511,0.4821,0.487,DRIFT-DEGRADING
28,Antisymmetry,RecursiveSyncRefresh,0.4511,0.4674,0.0056,0.0504,0.4536,0.4546,DRIFT-DEGRADING
32,Antisymmetry,RecursiveSyncRefresh,0.4317,0.4372,0.005,0.0495,0.4184,0.4195,DRIFT-DEGRADING
40,Antisymmetry,RecursiveSyncRefresh,0.3716,0.3782,0.0051,0.0396,0.3679,0.3782,DRIFT-DEGRADING
48,Antisymmetry,RecursiveSyncRefresh,0.3341,0.3312,0.005,0.0346,0.3298,0.3325,DRIFT-FAILED
1,Antisymmetry,AdaptiveCrossScaleComp,0.9053,0.91,0.005,0.1331,0.8779,0.8869,DRIFT-CORRECTED
2,Antisymmetry,AdaptiveCrossScaleComp,0.8712,0.91,0.005,0.1324,0.8695,0.8733,DRIFT-CORRECTED
4,Antisymmetry,AdaptiveCrossScaleComp,0.8132,0.8573,0.005,0.1058,0.807,0.8203,DRIFT-CORRECTED
6,Antisymmetry,AdaptiveCrossScaleComp,0.7629,0.7821,0.005,0.1037,0.7494,0.7727,DRIFT-COMPENSATED
8,Antisymmetry,AdaptiveCrossScaleComp,0.7277,0.7364,0.005,0.093,0.7243,0.715,DRIFT-COMPENSATED
12,Antisymmetry,AdaptiveCrossScaleComp,0.6735,0.6646,0.005,0.1012,0.644,0.6351,DRIFT-COMPENSATED
16,Antisymmetry,AdaptiveCrossScaleComp,0.5879,0.6005,0.005,0.0839,0.5856,0.5919,DRIFT-PARTIAL
20,Antisymmetry,AdaptiveCrossScaleComp,0.5437,0.5668,0.005,0.0819,0.5431,0.546,DRIFT-PARTIAL
24,Antisymmetry,AdaptiveCrossScaleComp,0.5095,0.5269,0.005,0.0731,0.4963,0.5012,DRIFT-PARTIAL
28,Antisymmetry,AdaptiveCrossScaleComp,0.4751,0.4755,0.005,0.0729,0.4597,0.4681,DRIFT-DEGRADING
32,Antisymmetry,AdaptiveCrossScaleComp,0.4314,0.4462,0.005,0.0609,0.4326,0.4312,DRIFT-DEGRADING
40,Antisymmetry,AdaptiveCrossScaleComp,0.3798,0.392,0.005,0.0536,0.3847,0.3823,DRIFT-DEGRADING
48,Antisymmetry,AdaptiveCrossScaleComp,0.3434,0.3575,0.005,0.0501,0.3401,0.3458,DRIFT-FAILED
1,Antisymmetry,FragmentationSuppression,0.9027,0.8964,0.005,0.0841,0.8477,0.8702,DRIFT-CORRECTED
2,Antisymmetry,FragmentationSuppression,0.8718,0.8444,0.005,0.0743,0.8193,0.8254,DRIFT-CORRECTED
4,Antisymmetry,FragmentationSuppression,0.7922,0.8028,0.005,0.0849,0.7837,0.7874,DRIFT-COMPENSATED
6,Antisymmetry,FragmentationSuppression,0.7612,0.751,0.005,0.0739,0.7148,0.7339,DRIFT-COMPENSATED
8,Antisymmetry,FragmentationSuppression,0.7007,0.7202,0.005,0.0679,0.701,0.6853,DRIFT-COMPENSATED
12,Antisymmetry,FragmentationSuppression,0.6496,0.6484,0.005,0.0677,0.6196,0.613,DRIFT-PARTIAL
16,Antisymmetry,FragmentationSuppression,0.5758,0.5849,0.005,0.0501,0.5493,0.559,DRIFT-PARTIAL
20,Antisymmetry,FragmentationSuppression,0.5239,0.5208,0.005,0.0567,0.5019,0.5092,DRIFT-PARTIAL
24,Antisymmetry,FragmentationSuppression,0.4921,0.4993,0.005,0.0578,0.4717,0.476,DRIFT-DEGRADING
28,Antisymmetry,FragmentationSuppression,0.4609,0.4516,0.005,0.0423,0.4472,0.4442,DRIFT-DEGRADING
32,Antisymmetry,FragmentationSuppression,0.4222,0.4171,0.005,0.0372,0.4145,0.4086,DRIFT-DEGRADING
40,Antisymmetry,FragmentationSuppression,0.3702,0.378,0.005,0.0363,0.3618,0.3647,DRIFT-DEGRADING
48,Antisymmetry,FragmentationSuppression,0.3405,0.3292,0.005,0.0396,0.3233,0.3291,DRIFT-FAILED
1,Antisymmetry,DelayedCoherenceReinforcement,0.8853,0.9038,0.005,0.1077,0.8787,0.89,DRIFT-CORRECTED
2,Antisymmetry,DelayedCoherenceReinforcement,0.8772,0.8668,0.005,0.1147,0.8501,0.8685,DRIFT-CORRECTED
4,Antisymmetry,DelayedCoherenceReinforcement,0.8197,0.8083,0.005,0.0976,0.7872,0.8033,DRIFT-CORRECTED
6,Antisymmetry,DelayedCoherenceReinforcement,0.7741,0.7702,0.005,0.1117,0.7402,0.7839,DRIFT-COMPENSATED
8,Antisymmetry,DelayedCoherenceReinforcement,0.7062,0.7258,0.005,0.1031,0.7028,0.7248,DRIFT-COMPENSATED
12,Antisymmetry,DelayedCoherenceReinforcement,0.6346,0.6468,0.005,0.0784,0.631,0.6652,DRIFT-PARTIAL
16,Antisymmetry,DelayedCoherenceReinforcement,0.5776,0.5871,0.005,0.0805,0.5573,0.5917,DRIFT-PARTIAL
20,Antisymmetry,DelayedCoherenceReinforcement,0.5338,0.5371,0.005,0.0717,0.525,0.5323,DRIFT-PARTIAL
24,Antisymmetry,DelayedCoherenceReinforcement,0.4975,0.5012,0.005,0.0596,0.469,0.494,DRIFT-DEGRADING
28,Antisymmetry,DelayedCoherenceReinforcement,0.4573,0.4717,0.005,0.0579,0.4553,0.4632,DRIFT-DEGRADING
32,Antisymmetry,DelayedCoherenceReinforcement,0.4357,0.4404,0.005,0.0643,0.41,0.4332,DRIFT-DEGRADING
40,Antisymmetry,DelayedCoherenceReinforcement,0.3744,0.3757,0.005,0.0483,0.3742,0.3866,DRIFT-DEGRADING
48,Antisymmetry,DelayedCoherenceReinforcement,0.3342,0.338,0.005,0.0433,0.3257,0.3418,DRIFT-FAILED
1,Antisymmetry,NullCorrectionControl,0.6996,0.7278,0.0994,-0.0299,0.7198,0.717,DRIFT-PARTIAL
2,Antisymmetry,NullCorrectionControl,0.6819,0.7077,0.1008,-0.0166,0.6813,0.6654,DRIFT-PARTIAL
4,Antisymmetry,NullCorrectionControl,0.6439,0.6753,0.0986,-0.0247,0.6369,0.6479,DRIFT-PARTIAL
6,Antisymmetry,NullCorrectionControl,0.5992,0.6199,0.0977,-0.0353,0.5843,0.5861,DRIFT-PARTIAL
8,Antisymmetry,NullCorrectionControl,0.5667,0.5936,0.1039,-0.0292,0.5641,0.5711,DRIFT-PARTIAL
12,Antisymmetry,NullCorrectionControl,0.5153,0.5339,0.1096,-0.0275,0.516,0.5227,DRIFT-PARTIAL
16,Antisymmetry,NullCorrectionControl,0.4621,0.4796,0.1186,-0.0146,0.4544,0.4574,DRIFT-DEGRADING
20,Antisymmetry,NullCorrectionControl,0.4276,0.4391,0.1258,-0.0267,0.424,0.419,DRIFT-DEGRADING
24,Antisymmetry,NullCorrectionControl,0.3846,0.4012,0.1103,-0.0222,0.381,0.3881,DRIFT-DEGRADING
28,Antisymmetry,NullCorrectionControl,0.3571,0.3746,0.1336,-0.0205,0.3679,0.3619,DRIFT-DEGRADING
32,Antisymmetry,NullCorrectionControl,0.3352,0.3478,0.1402,-0.013,0.3319,0.3475,DRIFT-FAILED
40,Antisymmetry,NullCorrectionControl,0.2889,0.3183,0.134,-0.0137,0.2916,0.3006,DRIFT-FAILED
48,Antisymmetry,NullCorrectionControl,0.2721,0.2734,0.1381,-0.0156,0.2741,0.2706,DRIFT-FAILED
1,Neutral,BaselineDrift,0.7975,0.7805,0.0482,0.0527,0.7272,0.7405,DRIFT-COMPENSATED
2,Neutral,BaselineDrift,0.7583,0.7503,0.0425,0.0478,0.7317,0.7367,DRIFT-COMPENSATED
4,Neutral,BaselineDrift,0.6934,0.696,0.0522,0.0289,0.6926,0.6886,DRIFT-COMPENSATED
6,Neutral,BaselineDrift,0.662,0.6611,0.0497,0.0362,0.6429,0.6427,DRIFT-COMPENSATED
8,Neutral,BaselineDrift,0.6347,0.6214,0.0587,0.0428,0.6005,0.6086,DRIFT-PARTIAL
12,Neutral,BaselineDrift,0.5595,0.5609,0.049,0.0385,0.5442,0.5576,DRIFT-PARTIAL
16,Neutral,BaselineDrift,0.5235,0.5132,0.0728,0.0214,0.4826,0.5004,DRIFT-PARTIAL
20,Neutral,BaselineDrift,0.4574,0.4614,0.0675,0.0254,0.4441,0.45,DRIFT-DEGRADING
24,Neutral,BaselineDrift,0.4237,0.4317,0.0597,0.0214,0.4032,0.423,DRIFT-DEGRADING
28,Neutral,BaselineDrift,0.3998,0.3872,0.0616,0.0262,0.3909,0.3791,DRIFT-DEGRADING
32,Neutral,BaselineDrift,0.3815,0.3767,0.0719,0.023,0.3552,0.3625,DRIFT-DEGRADING
40,Neutral,BaselineDrift,0.3242,0.3226,0.0868,0.0126,0.3102,0.3132,DRIFT-FAILED
48,Neutral,BaselineDrift,0.3015,0.29,0.0949,0.0127,0.2891,0.2873,DRIFT-FAILED
1,Neutral,DynamicScaleAlignment,0.8385,0.8654,0.005,0.1173,0.8187,0.8166,DRIFT-CORRECTED
2,Neutral,DynamicScaleAlignment,0.788,0.8145,0.005,0.0869,0.7805,0.7857,DRIFT-COMPENSATED
4,Neutral,DynamicScaleAlignment,0.7615,0.774,0.005,0.0868,0.7413,0.734,DRIFT-COMPENSATED
6,Neutral,DynamicScaleAlignment,0.7008,0.7351,0.005,0.0844,0.6825,0.694,DRIFT-COMPENSATED
8,Neutral,DynamicScaleAlignment,0.6762,0.6691,0.005,0.0733,0.6517,0.6441,DRIFT-COMPENSATED
12,Neutral,DynamicScaleAlignment,0.6068,0.6075,0.005,0.067,0.5987,0.5736,DRIFT-PARTIAL
16,Neutral,DynamicScaleAlignment,0.5346,0.5548,0.005,0.0667,0.5472,0.5346,DRIFT-PARTIAL
20,Neutral,DynamicScaleAlignment,0.4947,0.5021,0.005,0.0655,0.4786,0.4803,DRIFT-DEGRADING
24,Neutral,DynamicScaleAlignment,0.4651,0.4776,0.005,0.0576,0.4461,0.4403,DRIFT-DEGRADING
28,Neutral,DynamicScaleAlignment,0.4373,0.4381,0.005,0.0563,0.4254,0.4112,DRIFT-DEGRADING
32,Neutral,DynamicScaleAlignment,0.4012,0.3983,0.005,0.0489,0.3884,0.381,DRIFT-DEGRADING
40,Neutral,DynamicScaleAlignment,0.3448,0.3521,0.005,0.045,0.3526,0.333,DRIFT-FAILED
48,Neutral,DynamicScaleAlignment,0.3132,0.3234,0.005,0.0417,0.3085,0.3102,DRIFT-FAILED
1,Neutral,RecursiveSyncRefresh,0.8029,0.8367,0.005,0.0815,0.8066,0.8152,DRIFT-CORRECTED
2,Neutral,RecursiveSyncRefresh,0.7968,0.8115,0.005,0.092,0.7863,0.7792,DRIFT-COMPENSATED
4,Neutral,RecursiveSyncRefresh,0.7302,0.7619,0.0099,0.0867,0.7376,0.7425,DRIFT-COMPENSATED
6,Neutral,RecursiveSyncRefresh,0.6892,0.7105,0.005,0.0782,0.6855,0.7085,DRIFT-COMPENSATED
8,Neutral,RecursiveSyncRefresh,0.6584,0.6585,0.005,0.0812,0.65,0.66,DRIFT-COMPENSATED
12,Neutral,RecursiveSyncRefresh,0.581,0.5952,0.005,0.0776,0.5901,0.5831,DRIFT-PARTIAL
16,Neutral,RecursiveSyncRefresh,0.541,0.5411,0.005,0.0684,0.5281,0.5448,DRIFT-PARTIAL
20,Neutral,RecursiveSyncRefresh,0.4897,0.5066,0.0105,0.0605,0.4876,0.4816,DRIFT-DEGRADING
24,Neutral,RecursiveSyncRefresh,0.4536,0.4505,0.005,0.0474,0.4436,0.447,DRIFT-DEGRADING
28,Neutral,RecursiveSyncRefresh,0.4196,0.4343,0.005,0.0455,0.4069,0.4111,DRIFT-DEGRADING
32,Neutral,RecursiveSyncRefresh,0.4009,0.3971,0.005,0.0411,0.3847,0.3838,DRIFT-DEGRADING
40,Neutral,RecursiveSyncRefresh,0.3439,0.3426,0.005,0.0422,0.3341,0.3502,DRIFT-FAILED
48,Neutral,RecursiveSyncRefresh,0.31,0.3168,0.005,0.0306,0.3066,0.3087,DRIFT-FAILED
1,Neutral,AdaptiveCrossScaleComp,0.8658,0.8622,0.005,0.133,0.8223,0.8409,DRIFT-CORRECTED
2,Neutral,AdaptiveCrossScaleComp,0.8203,0.8305,0.005,0.1277,0.7963,0.8146,DRIFT-CORRECTED
4,Neutral,AdaptiveCrossScaleComp,0.7497,0.7726,0.005,0.1012,0.7504,0.7489,DRIFT-COMPENSATED
6,Neutral,AdaptiveCrossScaleComp,0.704,0.7325,0.005,0.1072,0.7124,0.7161,DRIFT-COMPENSATED
