depth,sector,condition,rg_similarity,self_reference_fidelity,reflexive_coherence,self_simulation_alignment,reflexive_stabilization_gain,recursive_self_persistence,self_model_adaptation_strength,classification
16,Projection,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
20,Projection,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
24,Projection,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
32,Projection,ReflexiveRepresentationFidelity,0.9545,0.9213,0.8997,0.9162,0.9099,0.9,0.9047,SELF-REF-BOUNDED
40,Projection,ReflexiveRepresentationFidelity,0.9394,0.8981,0.9024,0.8782,0.8568,0.8759,0.8732,SELF-REF-BOUNDED
48,Projection,ReflexiveRepresentationFidelity,0.9048,0.8674,0.8547,0.8416,0.8584,0.8528,0.8499,SELF-REF-BOUNDED
64,Projection,ReflexiveRepresentationFidelity,0.8572,0.8329,0.8146,0.8067,0.7983,0.7878,0.8052,SELF-REF-BOUNDED
80,Projection,ReflexiveRepresentationFidelity,0.8237,0.8006,0.7676,0.7704,0.7718,0.7678,0.7617,SELF-REF-PARTIAL
96,Projection,ReflexiveRepresentationFidelity,0.7652,0.7477,0.7549,0.7368,0.7429,0.7202,0.7356,SELF-REF-PARTIAL
128,Projection,ReflexiveRepresentationFidelity,0.6965,0.6918,0.6881,0.6751,0.678,0.6585,0.6723,SELF-REF-DEGRADING
160,Projection,ReflexiveRepresentationFidelity,0.6599,0.6388,0.621,0.6103,0.6069,0.6035,0.6136,SELF-REF-DEGRADING
192,Projection,ReflexiveRepresentationFidelity,0.6046,0.5898,0.5855,0.5812,0.5688,0.5753,0.5758,SELF-REF-DEGRADING
256,Projection,ReflexiveRepresentationFidelity,0.5374,0.5247,0.5068,0.5013,0.4955,0.4895,0.5089,SELF-REF-FAILED
320,Projection,ReflexiveRepresentationFidelity,0.4679,0.4574,0.4507,0.4391,0.4472,0.431,0.4478,SELF-REF-FAILED
512,Projection,ReflexiveRepresentationFidelity,0.3489,0.3467,0.3427,0.3353,0.3362,0.3213,0.3376,SELF-REF-FAILED
768,Projection,ReflexiveRepresentationFidelity,0.2632,0.2546,0.2485,0.2479,0.2425,0.2434,0.2491,SELF-REF-FAILED
1024,Projection,ReflexiveRepresentationFidelity,0.2098,0.2089,0.2023,0.2005,0.1966,0.1926,0.2016,SELF-REF-FAILED
1536,Projection,ReflexiveRepresentationFidelity,0.1523,0.1442,0.1416,0.1432,0.1433,0.1383,0.1434,SELF-REF-FAILED
2048,Projection,ReflexiveRepresentationFidelity,0.1147,0.1124,0.1131,0.1121,0.1084,0.107,0.1119,SELF-REF-FAILED
3072,Projection,ReflexiveRepresentationFidelity,0.0792,0.0777,0.0769,0.0751,0.0744,0.074,0.0775,SELF-REF-FAILED
4096,Projection,ReflexiveRepresentationFidelity,0.0608,0.0599,0.0598,0.0591,0.0577,0.0565,0.0591,SELF-REF-FAILED
6144,Projection,ReflexiveRepresentationFidelity,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Projection,ReflexiveRepresentationFidelity,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Projection,ReflexiveRepresentationFidelity,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Projection,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
2,Projection,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
4,Projection,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
6,Projection,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
8,Projection,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
12,Projection,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
16,Projection,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
20,Projection,RecursiveSelfSimulationAnalysis,0.96,0.94,0.93,0.92,0.907,0.9,0.92,SELF-REF-STABLE
24,Projection,RecursiveSelfSimulationAnalysis,0.96,0.9394,0.93,0.92,0.91,0.8924,0.92,SELF-REF-STABLE
32,Projection,RecursiveSelfSimulationAnalysis,0.9283,0.914,0.9164,0.9197,0.8884,0.8631,0.902,SELF-REF-STABLE
40,Projection,RecursiveSelfSimulationAnalysis,0.9031,0.9025,0.8799,0.873,0.8607,0.8638,0.8637,SELF-REF-BOUNDED
48,Projection,RecursiveSelfSimulationAnalysis,0.9072,0.8808,0.8581,0.8695,0.8361,0.8217,0.833,SELF-REF-BOUNDED
64,Projection,RecursiveSelfSimulationAnalysis,0.8352,0.8174,0.8138,0.8102,0.8032,0.7993,0.806,SELF-REF-BOUNDED
80,Projection,RecursiveSelfSimulationAnalysis,0.8103,0.7971,0.7593,0.7836,0.7552,0.7476,0.7671,SELF-REF-PARTIAL
96,Projection,RecursiveSelfSimulationAnalysis,0.764,0.7575,0.7328,0.7476,0.7165,0.7221,0.7206,SELF-REF-PARTIAL
128,Projection,RecursiveSelfSimulationAnalysis,0.708,0.6915,0.6704,0.6716,0.6734,0.641,0.6761,SELF-REF-DEGRADING
160,Projection,RecursiveSelfSimulationAnalysis,0.6366,0.6235,0.6138,0.6309,0.6149,0.5986,0.6144,SELF-REF-DEGRADING
192,Projection,RecursiveSelfSimulationAnalysis,0.5919,0.5826,0.5728,0.5825,0.5643,0.5675,0.5615,SELF-REF-DEGRADING
256,Projection,RecursiveSelfSimulationAnalysis,0.5227,0.5138,0.4931,0.5129,0.5002,0.4896,0.497,SELF-REF-FAILED
320,Projection,RecursiveSelfSimulationAnalysis,0.4706,0.451,0.4379,0.454,0.4354,0.4403,0.4415,SELF-REF-FAILED
512,Projection,RecursiveSelfSimulationAnalysis,0.3414,0.3456,0.3367,0.3399,0.3251,0.3302,0.3263,SELF-REF-FAILED
768,Projection,RecursiveSelfSimulationAnalysis,0.2629,0.2534,0.2507,0.2536,0.2451,0.2462,0.2496,SELF-REF-FAILED
1024,Projection,RecursiveSelfSimulationAnalysis,0.2115,0.201,0.1994,0.1985,0.1966,0.1947,0.2,SELF-REF-FAILED
1536,Projection,RecursiveSelfSimulationAnalysis,0.1456,0.1459,0.1401,0.142,0.1422,0.138,0.1389,SELF-REF-FAILED
2048,Projection,RecursiveSelfSimulationAnalysis,0.1137,0.1136,0.1122,0.1109,0.1098,0.1058,0.1093,SELF-REF-FAILED
3072,Projection,RecursiveSelfSimulationAnalysis,0.0793,0.0786,0.075,0.0758,0.0746,0.0752,0.0763,SELF-REF-FAILED
4096,Projection,RecursiveSelfSimulationAnalysis,0.0619,0.0596,0.0585,0.058,0.0575,0.0577,0.0575,SELF-REF-FAILED
6144,Projection,RecursiveSelfSimulationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Projection,RecursiveSelfSimulationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Projection,RecursiveSelfSimulationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Projection,SelfModelStabilizationGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
2,Projection,SelfModelStabilizationGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
4,Projection,SelfModelStabilizationGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
6,Projection,SelfModelStabilizationGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
8,Projection,SelfModelStabilizationGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
12,Projection,SelfModelStabilizationGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
16,Projection,SelfModelStabilizationGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
20,Projection,SelfModelStabilizationGain,0.96,0.9373,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
24,Projection,SelfModelStabilizationGain,0.9596,0.9214,0.9196,0.92,0.91,0.9,0.92,SELF-REF-STABLE
32,Projection,SelfModelStabilizationGain,0.9192,0.9269,0.9018,0.8844,0.8862,0.8844,0.8963,SELF-REF-STABLE
40,Projection,SelfModelStabilizationGain,0.9144,0.8736,0.8646,0.8651,0.8819,0.8428,0.8929,SELF-REF-BOUNDED
48,Projection,SelfModelStabilizationGain,0.8889,0.8718,0.8549,0.8547,0.8564,0.8255,0.8796,SELF-REF-BOUNDED
64,Projection,SelfModelStabilizationGain,0.8555,0.8101,0.8269,0.7881,0.8072,0.7735,0.8291,SELF-REF-BOUNDED
80,Projection,SelfModelStabilizationGain,0.7947,0.7653,0.7689,0.7729,0.7702,0.7474,0.7868,SELF-REF-PARTIAL
96,Projection,SelfModelStabilizationGain,0.7498,0.7388,0.742,0.7386,0.743,0.715,0.7563,SELF-REF-PARTIAL
128,Projection,SelfModelStabilizationGain,0.7069,0.6858,0.667,0.6622,0.6632,0.6509,0.6841,SELF-REF-DEGRADING
160,Projection,SelfModelStabilizationGain,0.6373,0.6196,0.633,0.6149,0.6244,0.599,0.6163,SELF-REF-DEGRADING
192,Projection,SelfModelStabilizationGain,0.5978,0.5773,0.5705,0.5645,0.5663,0.5657,0.5725,SELF-REF-DEGRADING
256,Projection,SelfModelStabilizationGain,0.5217,0.5006,0.5044,0.5072,0.4971,0.4794,0.5167,SELF-REF-FAILED
320,Projection,SelfModelStabilizationGain,0.4638,0.4478,0.4549,0.4482,0.4484,0.4327,0.4573,SELF-REF-FAILED
512,Projection,SelfModelStabilizationGain,0.3486,0.3322,0.3304,0.3295,0.335,0.3228,0.3379,SELF-REF-FAILED
768,Projection,SelfModelStabilizationGain,0.2636,0.2534,0.2538,0.2455,0.2473,0.2399,0.2474,SELF-REF-FAILED
1024,Projection,SelfModelStabilizationGain,0.2041,0.2023,0.2029,0.1956,0.1972,0.1899,0.2036,SELF-REF-FAILED
1536,Projection,SelfModelStabilizationGain,0.1469,0.1411,0.1399,0.1432,0.1404,0.1401,0.1412,SELF-REF-FAILED
2048,Projection,SelfModelStabilizationGain,0.1158,0.112,0.1126,0.109,0.1125,0.1062,0.1107,SELF-REF-FAILED
3072,Projection,SelfModelStabilizationGain,0.0785,0.0767,0.0754,0.075,0.0768,0.0747,0.0784,SELF-REF-FAILED
4096,Projection,SelfModelStabilizationGain,0.0595,0.0591,0.0575,0.0575,0.0582,0.0562,0.0598,SELF-REF-FAILED
6144,Projection,SelfModelStabilizationGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Projection,SelfModelStabilizationGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Projection,SelfModelStabilizationGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Projection,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
2,Projection,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
4,Projection,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
6,Projection,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
8,Projection,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
12,Projection,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
16,Projection,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
20,Projection,RecursiveReflexivePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
24,Projection,RecursiveReflexivePersistence,0.9426,0.94,0.9208,0.9153,0.9084,0.9,0.92,SELF-REF-STABLE
32,Projection,RecursiveReflexivePersistence,0.9188,0.9283,0.9056,0.877,0.888,0.8935,0.8894,SELF-REF-STABLE
40,Projection,RecursiveReflexivePersistence,0.9145,0.9014,0.8724,0.8619,0.8615,0.8569,0.8756,SELF-REF-BOUNDED
48,Projection,RecursiveReflexivePersistence,0.8778,0.8567,0.8479,0.853,0.825,0.8429,0.8373,SELF-REF-BOUNDED
64,Projection,RecursiveReflexivePersistence,0.8398,0.8149,0.8043,0.8055,0.7796,0.8153,0.7957,SELF-REF-BOUNDED
80,Projection,RecursiveReflexivePersistence,0.8057,0.7937,0.7588,0.7613,0.7676,0.7617,0.7693,SELF-REF-PARTIAL
96,Projection,RecursiveReflexivePersistence,0.7502,0.7479,0.7479,0.7267,0.7347,0.7394,0.7265,SELF-REF-PARTIAL
128,Projection,RecursiveReflexivePersistence,0.7063,0.6704,0.6815,0.6631,0.6609,0.6573,0.6699,SELF-REF-DEGRADING
160,Projection,RecursiveReflexivePersistence,0.6337,0.6188,0.62,0.6206,0.6003,0.6162,0.6227,SELF-REF-DEGRADING
192,Projection,RecursiveReflexivePersistence,0.5946,0.5761,0.5769,0.565,0.5615,0.5656,0.5751,SELF-REF-DEGRADING
256,Projection,RecursiveReflexivePersistence,0.5133,0.5041,0.5037,0.4937,0.4955,0.5001,0.4913,SELF-REF-FAILED
320,Projection,RecursiveReflexivePersistence,0.4636,0.442,0.4413,0.4477,0.43,0.4461,0.4362,SELF-REF-FAILED
512,Projection,RecursiveReflexivePersistence,0.3405,0.343,0.3312,0.3338,0.3232,0.3335,0.3339,SELF-REF-FAILED
768,Projection,RecursiveReflexivePersistence,0.2589,0.2533,0.2495,0.2462,0.2461,0.2468,0.2473,SELF-REF-FAILED
1024,Projection,RecursiveReflexivePersistence,0.2061,0.2001,0.2,0.1981,0.1967,0.1936,0.1997,SELF-REF-FAILED
1536,Projection,RecursiveReflexivePersistence,0.1493,0.1432,0.1426,0.1383,0.14,0.1401,0.1418,SELF-REF-FAILED
2048,Projection,RecursiveReflexivePersistence,0.1145,0.1109,0.112,0.1076,0.1093,0.1099,0.1101,SELF-REF-FAILED
3072,Projection,RecursiveReflexivePersistence,0.0795,0.0778,0.0774,0.0752,0.0756,0.0744,0.0769,SELF-REF-FAILED
4096,Projection,RecursiveReflexivePersistence,0.0594,0.0595,0.0584,0.057,0.0567,0.0569,0.0578,SELF-REF-FAILED
6144,Projection,RecursiveReflexivePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Projection,RecursiveReflexivePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Projection,RecursiveReflexivePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Projection,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
2,Projection,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
4,Projection,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
6,Projection,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
8,Projection,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
12,Projection,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
16,Projection,SelfReferentialPerturbationResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
20,Projection,SelfReferentialPerturbationResponse,0.9572,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
24,Projection,SelfReferentialPerturbationResponse,0.96,0.9337,0.9284,0.903,0.91,0.9,0.92,SELF-REF-STABLE
32,Projection,SelfReferentialPerturbationResponse,0.9429,0.9134,0.9043,0.8795,0.908,0.8949,0.8942,SELF-REF-STABLE
40,Projection,SelfReferentialPerturbationResponse,0.8932,0.8981,0.8858,0.8806,0.8764,0.8484,0.8699,SELF-REF-BOUNDED
48,Projection,SelfReferentialPerturbationResponse,0.8746,0.8564,0.8706,0.8527,0.8346,0.8217,0.854,SELF-REF-BOUNDED
64,Projection,SelfReferentialPerturbationResponse,0.8184,0.8106,0.804,0.7957,0.7975,0.8036,0.8023,SELF-REF-BOUNDED
80,Projection,SelfReferentialPerturbationResponse,0.805,0.7686,0.7929,0.7663,0.7564,0.7616,0.7694,SELF-REF-PARTIAL
96,Projection,SelfReferentialPerturbationResponse,0.7454,0.7354,0.7431,0.7218,0.7165,0.7335,0.7447,SELF-REF-PARTIAL
128,Projection,SelfReferentialPerturbationResponse,0.6882,0.6698,0.6777,0.6608,0.6553,0.6503,0.678,SELF-REF-DEGRADING
160,Projection,SelfReferentialPerturbationResponse,0.6384,0.6326,0.6187,0.6212,0.6091,0.609,0.6286,SELF-REF-DEGRADING
192,Projection,SelfReferentialPerturbationResponse,0.5852,0.5825,0.5806,0.5662,0.5675,0.5605,0.5762,SELF-REF-DEGRADING
256,Projection,SelfReferentialPerturbationResponse,0.5176,0.5042,0.5172,0.4955,0.4937,0.4836,0.5032,SELF-REF-FAILED
320,Projection,SelfReferentialPerturbationResponse,0.4601,0.4443,0.4581,0.4335,0.4372,0.4359,0.4413,SELF-REF-FAILED
512,Projection,SelfReferentialPerturbationResponse,0.3414,0.3311,0.3434,0.3311,0.3333,0.3242,0.3369,SELF-REF-FAILED
768,Projection,SelfReferentialPerturbationResponse,0.2589,0.2519,0.2489,0.2441,0.2508,0.2488,0.2504,SELF-REF-FAILED
1024,Projection,SelfReferentialPerturbationResponse,0.2073,0.2012,0.205,0.1956,0.1972,0.197,0.2018,SELF-REF-FAILED
1536,Projection,SelfReferentialPerturbationResponse,0.1487,0.1438,0.1423,0.1389,0.1426,0.138,0.1408,SELF-REF-FAILED
2048,Projection,SelfReferentialPerturbationResponse,0.1123,0.1123,0.1096,0.1087,0.1079,0.1068,0.11,SELF-REF-FAILED
3072,Projection,SelfReferentialPerturbationResponse,0.0776,0.0771,0.0769,0.0767,0.0762,0.0751,0.0766,SELF-REF-FAILED
4096,Projection,SelfReferentialPerturbationResponse,0.0594,0.058,0.0598,0.0573,0.059,0.0582,0.058,SELF-REF-FAILED
6144,Projection,SelfReferentialPerturbationResponse,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Projection,SelfReferentialPerturbationResponse,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Projection,SelfReferentialPerturbationResponse,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Projection,NullSelfReferenceControl,0.87,0.8547,0.843,0.8697,0.8436,0.8329,0.8371,SELF-REF-BOUNDED
2,Projection,NullSelfReferenceControl,0.8417,0.8452,0.8534,0.8389,0.812,0.8024,0.8136,SELF-REF-BOUNDED
4,Projection,NullSelfReferenceControl,0.8444,0.8337,0.8248,0.8513,0.7994,0.8071,0.8132,SELF-REF-BOUNDED
6,Projection,NullSelfReferenceControl,0.8251,0.8386,0.8326,0.842,0.7914,0.8052,0.8257,SELF-REF-BOUNDED
8,Projection,NullSelfReferenceControl,0.8489,0.8516,0.807,0.8197,0.7874,0.7971,0.8262,SELF-REF-BOUNDED
12,Projection,NullSelfReferenceControl,0.8085,0.83,0.7998,0.8024,0.8034,0.7842,0.8175,SELF-REF-PARTIAL
16,Projection,NullSelfReferenceControl,0.8025,0.8088,0.8001,0.8138,0.792,0.7807,0.7972,SELF-REF-BOUNDED
20,Projection,NullSelfReferenceControl,0.8045,0.7786,0.7756,0.8126,0.7576,0.7462,0.7918,SELF-REF-PARTIAL
24,Projection,NullSelfReferenceControl,0.7866,0.7819,0.7741,0.7673,0.7638,0.7328,0.7653,SELF-REF-PARTIAL
32,Projection,NullSelfReferenceControl,0.7532,0.7678,0.7613,0.7475,0.7443,0.7144,0.7584,SELF-REF-PARTIAL
40,Projection,NullSelfReferenceControl,0.7315,0.7311,0.729,0.7411,0.709,0.6911,0.7251,SELF-REF-PARTIAL
48,Projection,NullSelfReferenceControl,0.7161,0.7085,0.7279,0.7217,0.6784,0.7019,0.7094,SELF-REF-PARTIAL
64,Projection,NullSelfReferenceControl,0.697,0.6971,0.6627,0.6694,0.6653,0.6481,0.6777,SELF-REF-DEGRADING
80,Projection,NullSelfReferenceControl,0.6401,0.659,0.6447,0.662,0.6237,0.6117,0.6341,SELF-REF-DEGRADING
96,Projection,NullSelfReferenceControl,0.6119,0.6134,0.6219,0.6264,0.6046,0.5767,0.598,SELF-REF-DEGRADING
128,Projection,NullSelfReferenceControl,0.559,0.5628,0.5498,0.5561,0.5426,0.5469,0.5458,SELF-REF-DEGRADING
160,Projection,NullSelfReferenceControl,0.5282,0.5112,0.5289,0.5186,0.4959,0.4962,0.5171,SELF-REF-FAILED
192,Projection,NullSelfReferenceControl,0.4928,0.4936,0.4894,0.4823,0.4666,0.4677,0.4652,SELF-REF-FAILED
256,Projection,NullSelfReferenceControl,0.4217,0.4239,0.4221,0.4257,0.4009,0.3999,0.4098,SELF-REF-FAILED
320,Projection,NullSelfReferenceControl,0.377,0.3768,0.3728,0.3769,0.3658,0.3586,0.3643,SELF-REF-FAILED
512,Projection,NullSelfReferenceControl,0.2777,0.2848,0.2787,0.2753,0.2726,0.2659,0.2683,SELF-REF-FAILED
768,Projection,NullSelfReferenceControl,0.2065,0.2105,0.2065,0.2056,0.2033,0.2018,0.2026,SELF-REF-FAILED
1024,Projection,NullSelfReferenceControl,0.1722,0.1657,0.1663,0.1647,0.1586,0.162,0.1619,SELF-REF-FAILED
1536,Projection,NullSelfReferenceControl,0.118,0.1182,0.1173,0.1208,0.1162,0.115,0.1152,SELF-REF-FAILED
2048,Projection,NullSelfReferenceControl,0.0943,0.0932,0.0922,0.0922,0.0914,0.0909,0.0915,SELF-REF-FAILED
3072,Projection,NullSelfReferenceControl,0.0635,0.0638,0.0627,0.0651,0.0629,0.0625,0.064,SELF-REF-FAILED
4096,Projection,NullSelfReferenceControl,0.05,0.05,0.05,0.0502,0.05,0.05,0.05,SELF-REF-FAILED
6144,Projection,NullSelfReferenceControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Projection,NullSelfReferenceControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Projection,NullSelfReferenceControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Antisymmetry,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
2,Antisymmetry,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
