source_id,citation,variation_type,α_αs_pair,αs_μ_pair,αs_αG_pair,αs_vMPl_pair,μ_vMPl_pair,vMPl_Λ_pair,independent_count,effective_count,notes
39,Stenger 2011,OaA_MC,independent,independent,independent,independent,independent,independent,6,6,"MAXIMALLY PERMISSIVE: all independent in MC; use as outer bound only"
40,Lewis & Barnes 2016,OaA,independent,independent,independent,independent,independent,independent,6,3,Pedagogical; multiplies bounds without dependency correction
41,Bostrom 2002,philosophical,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,0,0,OSE methodology; no constant bounds
42,McMullin 1993,philosophical,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,0,0,Indifference principle critique
43,Aguirre & Tegmark 2005,joint,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,2,2,Joint Λ-Q causal patch analysis
44,Carr (ed.) 2007,review,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,0,0,Multi-author volume
45,Page 2009,OaA,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,2,2,e and m_p separately; Bayesian OaA
46,Davies 1993,OaA,independent,independent,independent,not_relevant,not_relevant,not_relevant,3,1,Diproton claim refuted by MacDonald & Mullan
47,Barnes 2012,OaA+review,warns_against_OaA,noted_derived,noted_derived,not_relevant,not_relevant,not_relevant,8,~5,Comprehensive; reviews dependencies but analyzes OaA
48,Wilczek 2005,philosophical,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,0,0,Philosophical essay
49,Collins 2009,OaA+Bayesian,warns_against_OaA,noted_derived,noted_derived,not_relevant,not_relevant,not_relevant,~30,~15,Most comprehensive Bayesian; acknowledges dependencies but doesn't correct
50,White 2000,philosophical,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,0,0,Multiverse-design Bayesian; no bound calculations
51,Hossenfelder 2018,philosophical,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,0,0,Critique of naturalness/finetuning; no bound calculations
52,McGrew et al. 2001,philosophical,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,0,0,Normalization problem critique
53,Piran & Jimenez 2023,OaA_simulation,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,1,1,Single parameter Λ N-body simulation
54,Carroll 2019,philosophical,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,not_relevant,0,0,Measure critique; no bound calculations
