depth,sector,condition,rg_similarity,predictive_stability,anticipatory_coherence,perturbation_forecast_accuracy,future_state_alignment,recursive_prediction_persistence,adaptive_anticipation_gain,classification
16,Projection,PerturbationForecastingEvaluation,0.9541,0.8975,0.8919,0.9082,0.8817,0.8627,0.8896,PREDICTIVE-BOUNDED
20,Projection,PerturbationForecastingEvaluation,0.9159,0.8671,0.8857,0.8844,0.8557,0.8561,0.8573,PREDICTIVE-BOUNDED
24,Projection,PerturbationForecastingEvaluation,0.8756,0.873,0.8476,0.8561,0.8168,0.818,0.8424,PREDICTIVE-BOUNDED
32,Projection,PerturbationForecastingEvaluation,0.8343,0.8152,0.8132,0.8214,0.8056,0.7662,0.7871,PREDICTIVE-BOUNDED
40,Projection,PerturbationForecastingEvaluation,0.7881,0.7794,0.7548,0.7886,0.754,0.7441,0.7632,PREDICTIVE-PARTIAL
48,Projection,PerturbationForecastingEvaluation,0.7739,0.7268,0.7374,0.7438,0.7187,0.6964,0.7128,PREDICTIVE-PARTIAL
64,Projection,PerturbationForecastingEvaluation,0.6978,0.6665,0.6734,0.6779,0.6498,0.6479,0.6501,PREDICTIVE-DEGRADING
80,Projection,PerturbationForecastingEvaluation,0.6331,0.6121,0.6198,0.6218,0.5941,0.6011,0.6049,PREDICTIVE-DEGRADING
96,Projection,PerturbationForecastingEvaluation,0.6047,0.568,0.575,0.5841,0.5581,0.5495,0.564,PREDICTIVE-DEGRADING
128,Projection,PerturbationForecastingEvaluation,0.5132,0.5018,0.5054,0.5115,0.4875,0.4857,0.5007,PREDICTIVE-FAILED
160,Projection,PerturbationForecastingEvaluation,0.4559,0.4464,0.434,0.4451,0.4281,0.4349,0.4393,PREDICTIVE-FAILED
192,Projection,PerturbationForecastingEvaluation,0.4223,0.4034,0.39,0.3986,0.3848,0.3852,0.4008,PREDICTIVE-FAILED
256,Projection,PerturbationForecastingEvaluation,0.3405,0.333,0.3265,0.3341,0.3213,0.3157,0.3254,PREDICTIVE-FAILED
320,Projection,PerturbationForecastingEvaluation,0.295,0.2867,0.2801,0.2861,0.2731,0.2718,0.2846,PREDICTIVE-FAILED
512,Projection,PerturbationForecastingEvaluation,0.2059,0.2,0.1974,0.2032,0.1933,0.1926,0.1967,PREDICTIVE-FAILED
768,Projection,PerturbationForecastingEvaluation,0.145,0.1438,0.1419,0.1451,0.1366,0.1371,0.1402,PREDICTIVE-FAILED
1024,Projection,PerturbationForecastingEvaluation,0.115,0.1096,0.1113,0.1105,0.1092,0.1047,0.1081,PREDICTIVE-FAILED
1536,Projection,PerturbationForecastingEvaluation,0.0798,0.0757,0.077,0.0759,0.0753,0.0738,0.0744,PREDICTIVE-FAILED
2048,Projection,PerturbationForecastingEvaluation,0.0604,0.0574,0.0589,0.0595,0.0578,0.0552,0.0574,PREDICTIVE-FAILED
3072,Projection,PerturbationForecastingEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection,PerturbationForecastingEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection,PerturbationForecastingEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection,FutureStateReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
2,Projection,FutureStateReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
4,Projection,FutureStateReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
6,Projection,FutureStateReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
8,Projection,FutureStateReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
12,Projection,FutureStateReconstruction,0.96,0.9307,0.9212,0.9043,0.91,0.8794,0.9173,PREDICTIVE-STABLE
16,Projection,FutureStateReconstruction,0.9388,0.9202,0.9134,0.8801,0.8813,0.8547,0.8887,PREDICTIVE-STABLE
20,Projection,FutureStateReconstruction,0.9151,0.8643,0.8588,0.8612,0.8696,0.8441,0.8668,PREDICTIVE-BOUNDED
24,Projection,FutureStateReconstruction,0.8709,0.8526,0.8631,0.8476,0.8367,0.8103,0.8321,PREDICTIVE-BOUNDED
32,Projection,FutureStateReconstruction,0.824,0.8224,0.8161,0.8013,0.8051,0.7765,0.8088,PREDICTIVE-BOUNDED
40,Projection,FutureStateReconstruction,0.8014,0.7729,0.7724,0.7621,0.7581,0.7579,0.7451,PREDICTIVE-PARTIAL
48,Projection,FutureStateReconstruction,0.7497,0.7485,0.7421,0.7143,0.7306,0.7222,0.7215,PREDICTIVE-PARTIAL
64,Projection,FutureStateReconstruction,0.6881,0.6656,0.6675,0.6649,0.6733,0.6545,0.6594,PREDICTIVE-DEGRADING
80,Projection,FutureStateReconstruction,0.6504,0.6158,0.6203,0.6007,0.6284,0.597,0.6079,PREDICTIVE-DEGRADING
96,Projection,FutureStateReconstruction,0.6029,0.5815,0.5654,0.5621,0.5697,0.5437,0.5609,PREDICTIVE-DEGRADING
128,Projection,FutureStateReconstruction,0.5198,0.5104,0.4974,0.4903,0.507,0.4892,0.4951,PREDICTIVE-FAILED
160,Projection,FutureStateReconstruction,0.4621,0.4402,0.4474,0.4388,0.4479,0.4239,0.4328,PREDICTIVE-FAILED
192,Projection,FutureStateReconstruction,0.4095,0.3941,0.3994,0.3871,0.4055,0.3821,0.3923,PREDICTIVE-FAILED
256,Projection,FutureStateReconstruction,0.3387,0.3397,0.3331,0.3298,0.3261,0.3179,0.3263,PREDICTIVE-FAILED
320,Projection,FutureStateReconstruction,0.2955,0.2825,0.2867,0.285,0.2828,0.2699,0.2756,PREDICTIVE-FAILED
512,Projection,FutureStateReconstruction,0.2061,0.1963,0.1995,0.1928,0.2001,0.1928,0.1995,PREDICTIVE-FAILED
768,Projection,FutureStateReconstruction,0.1466,0.1434,0.14,0.1396,0.1386,0.1365,0.1384,PREDICTIVE-FAILED
1024,Projection,FutureStateReconstruction,0.1144,0.111,0.1088,0.1094,0.1081,0.1069,0.1077,PREDICTIVE-FAILED
1536,Projection,FutureStateReconstruction,0.0783,0.0767,0.0752,0.0761,0.0747,0.0732,0.0748,PREDICTIVE-FAILED
2048,Projection,FutureStateReconstruction,0.0611,0.0594,0.0575,0.0568,0.0578,0.0561,0.057,PREDICTIVE-FAILED
3072,Projection,FutureStateReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection,FutureStateReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection,FutureStateReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection,AdaptivePredictiveModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
2,Projection,AdaptivePredictiveModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
4,Projection,AdaptivePredictiveModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
6,Projection,AdaptivePredictiveModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
8,Projection,AdaptivePredictiveModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
12,Projection,AdaptivePredictiveModulation,0.9407,0.9192,0.9114,0.8987,0.91,0.9,0.92,PREDICTIVE-STABLE
16,Projection,AdaptivePredictiveModulation,0.9157,0.8899,0.9125,0.9016,0.8836,0.8852,0.9171,PREDICTIVE-BOUNDED
20,Projection,AdaptivePredictiveModulation,0.9047,0.8838,0.8744,0.8663,0.8697,0.84,0.8686,PREDICTIVE-BOUNDED
24,Projection,AdaptivePredictiveModulation,0.8774,0.8706,0.8328,0.826,0.8245,0.8253,0.8704,PREDICTIVE-BOUNDED
32,Projection,AdaptivePredictiveModulation,0.8268,0.8185,0.805,0.8049,0.7939,0.7889,0.8146,PREDICTIVE-BOUNDED
40,Projection,AdaptivePredictiveModulation,0.7834,0.7623,0.7593,0.7442,0.7626,0.7543,0.7839,PREDICTIVE-PARTIAL
48,Projection,AdaptivePredictiveModulation,0.7525,0.7394,0.7284,0.7261,0.7275,0.7125,0.7341,PREDICTIVE-PARTIAL
64,Projection,AdaptivePredictiveModulation,0.693,0.6817,0.6589,0.6631,0.6671,0.6455,0.6708,PREDICTIVE-DEGRADING
80,Projection,AdaptivePredictiveModulation,0.638,0.6332,0.6059,0.5979,0.5967,0.589,0.6124,PREDICTIVE-DEGRADING
96,Projection,AdaptivePredictiveModulation,0.5817,0.5881,0.5677,0.5747,0.5521,0.5534,0.5798,PREDICTIVE-DEGRADING
128,Projection,AdaptivePredictiveModulation,0.5174,0.5065,0.4951,0.4875,0.4909,0.4827,0.5047,PREDICTIVE-FAILED
160,Projection,AdaptivePredictiveModulation,0.4559,0.4419,0.4466,0.4371,0.4308,0.4348,0.4411,PREDICTIVE-FAILED
192,Projection,AdaptivePredictiveModulation,0.4077,0.4002,0.391,0.3897,0.389,0.3906,0.3947,PREDICTIVE-FAILED
256,Projection,AdaptivePredictiveModulation,0.3372,0.3376,0.3357,0.3269,0.3212,0.3214,0.3361,PREDICTIVE-FAILED
320,Projection,AdaptivePredictiveModulation,0.2919,0.2895,0.2798,0.2859,0.2733,0.278,0.2899,PREDICTIVE-FAILED
512,Projection,AdaptivePredictiveModulation,0.2024,0.1981,0.1983,0.1942,0.197,0.1913,0.1963,PREDICTIVE-FAILED
768,Projection,AdaptivePredictiveModulation,0.1437,0.1407,0.1423,0.1392,0.1365,0.1354,0.1443,PREDICTIVE-FAILED
1024,Projection,AdaptivePredictiveModulation,0.1146,0.1098,0.1093,0.1093,0.1059,0.1073,0.1108,PREDICTIVE-FAILED
1536,Projection,AdaptivePredictiveModulation,0.0776,0.0769,0.0747,0.0751,0.0732,0.0739,0.0754,PREDICTIVE-FAILED
2048,Projection,AdaptivePredictiveModulation,0.0589,0.0588,0.0587,0.0583,0.0575,0.0571,0.0578,PREDICTIVE-FAILED
3072,Projection,AdaptivePredictiveModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection,AdaptivePredictiveModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection,AdaptivePredictiveModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection,RecursiveAnticipationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
2,Projection,RecursiveAnticipationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
4,Projection,RecursiveAnticipationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
6,Projection,RecursiveAnticipationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
8,Projection,RecursiveAnticipationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
12,Projection,RecursiveAnticipationPersistence,0.9352,0.9286,0.93,0.8995,0.8954,0.9,0.92,PREDICTIVE-STABLE
16,Projection,RecursiveAnticipationPersistence,0.9415,0.9003,0.9046,0.8979,0.876,0.8999,0.8938,PREDICTIVE-STABLE
20,Projection,RecursiveAnticipationPersistence,0.8967,0.8968,0.8857,0.8631,0.8413,0.8801,0.8502,PREDICTIVE-BOUNDED
24,Projection,RecursiveAnticipationPersistence,0.8685,0.8752,0.8702,0.8572,0.8419,0.8337,0.8285,PREDICTIVE-BOUNDED
32,Projection,RecursiveAnticipationPersistence,0.8276,0.8241,0.8227,0.7959,0.7855,0.7878,0.802,PREDICTIVE-BOUNDED
40,Projection,RecursiveAnticipationPersistence,0.7841,0.7817,0.7695,0.7508,0.7657,0.748,0.7487,PREDICTIVE-PARTIAL
48,Projection,RecursiveAnticipationPersistence,0.7534,0.7418,0.7273,0.7295,0.7211,0.7378,0.7134,PREDICTIVE-PARTIAL
64,Projection,RecursiveAnticipationPersistence,0.6801,0.6821,0.6696,0.6741,0.6607,0.6683,0.6692,PREDICTIVE-DEGRADING
80,Projection,RecursiveAnticipationPersistence,0.6353,0.6254,0.6271,0.6155,0.6016,0.6172,0.6015,PREDICTIVE-DEGRADING
96,Projection,RecursiveAnticipationPersistence,0.5811,0.5761,0.5852,0.5636,0.5686,0.5659,0.5563,PREDICTIVE-DEGRADING
128,Projection,RecursiveAnticipationPersistence,0.5171,0.5046,0.5099,0.4943,0.4946,0.4958,0.4928,PREDICTIVE-FAILED
160,Projection,RecursiveAnticipationPersistence,0.4632,0.452,0.4434,0.4419,0.4413,0.4402,0.4294,PREDICTIVE-FAILED
192,Projection,RecursiveAnticipationPersistence,0.4123,0.4021,0.4051,0.3892,0.3879,0.3982,0.3898,PREDICTIVE-FAILED
256,Projection,RecursiveAnticipationPersistence,0.3418,0.337,0.3302,0.3236,0.3289,0.3255,0.3318,PREDICTIVE-FAILED
320,Projection,RecursiveAnticipationPersistence,0.2949,0.2943,0.2892,0.2776,0.2776,0.2749,0.2788,PREDICTIVE-FAILED
512,Projection,RecursiveAnticipationPersistence,0.2001,0.2034,0.1988,0.195,0.1947,0.1974,0.1974,PREDICTIVE-FAILED
768,Projection,RecursiveAnticipationPersistence,0.1431,0.1409,0.144,0.1404,0.1387,0.1389,0.1378,PREDICTIVE-FAILED
1024,Projection,RecursiveAnticipationPersistence,0.1121,0.1116,0.1121,0.1064,0.1072,0.1083,0.1101,PREDICTIVE-FAILED
1536,Projection,RecursiveAnticipationPersistence,0.0776,0.0764,0.0765,0.0752,0.0741,0.0737,0.0753,PREDICTIVE-FAILED
2048,Projection,RecursiveAnticipationPersistence,0.0604,0.0589,0.0583,0.0582,0.0572,0.0577,0.0566,PREDICTIVE-FAILED
3072,Projection,RecursiveAnticipationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection,RecursiveAnticipationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection,RecursiveAnticipationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection,NullPredictiveControl,0.8449,0.8521,0.8388,0.8511,0.8253,0.7918,0.8137,PREDICTIVE-BOUNDED
2,Projection,NullPredictiveControl,0.8318,0.8236,0.8482,0.831,0.8139,0.8081,0.8295,PREDICTIVE-BOUNDED
4,Projection,NullPredictiveControl,0.8322,0.8362,0.8161,0.8191,0.7939,0.7791,0.7995,PREDICTIVE-BOUNDED
6,Projection,NullPredictiveControl,0.8307,0.8046,0.7843,0.8088,0.7811,0.7907,0.795,PREDICTIVE-PARTIAL
8,Projection,NullPredictiveControl,0.8006,0.7861,0.7741,0.8056,0.7556,0.7706,0.765,PREDICTIVE-PARTIAL
12,Projection,NullPredictiveControl,0.7737,0.7676,0.7697,0.7617,0.734,0.7279,0.7529,PREDICTIVE-PARTIAL
16,Projection,NullPredictiveControl,0.7655,0.7657,0.7565,0.748,0.7398,0.7283,0.7305,PREDICTIVE-PARTIAL
20,Projection,NullPredictiveControl,0.7377,0.7305,0.7195,0.7501,0.6996,0.6954,0.7052,PREDICTIVE-PARTIAL
24,Projection,NullPredictiveControl,0.7315,0.7279,0.7196,0.7028,0.6808,0.6885,0.6842,PREDICTIVE-PARTIAL
32,Projection,NullPredictiveControl,0.6688,0.6689,0.6635,0.6883,0.6383,0.6317,0.6561,PREDICTIVE-DEGRADING
40,Projection,NullPredictiveControl,0.6505,0.6563,0.6404,0.6546,0.6185,0.6073,0.619,PREDICTIVE-DEGRADING
48,Projection,NullPredictiveControl,0.6162,0.6027,0.5976,0.6157,0.593,0.5892,0.6067,PREDICTIVE-DEGRADING
64,Projection,NullPredictiveControl,0.5666,0.5661,0.5447,0.5531,0.548,0.539,0.5422,PREDICTIVE-DEGRADING
80,Projection,NullPredictiveControl,0.5336,0.5116,0.5053,0.5095,0.4966,0.4814,0.5047,PREDICTIVE-FAILED
96,Projection,NullPredictiveControl,0.4881,0.4878,0.4645,0.4715,0.4549,0.4484,0.4607,PREDICTIVE-FAILED
128,Projection,NullPredictiveControl,0.4205,0.4098,0.4218,0.4099,0.3955,0.3939,0.4154,PREDICTIVE-FAILED
160,Projection,NullPredictiveControl,0.3777,0.364,0.3722,0.3754,0.3562,0.3622,0.3717,PREDICTIVE-FAILED
192,Projection,NullPredictiveControl,0.333,0.332,0.3281,0.335,0.3296,0.3253,0.3344,PREDICTIVE-FAILED
256,Projection,NullPredictiveControl,0.2854,0.2845,0.2687,0.2723,0.2652,0.2618,0.2752,PREDICTIVE-FAILED
320,Projection,NullPredictiveControl,0.243,0.2366,0.2354,0.2414,0.2342,0.2273,0.2316,PREDICTIVE-FAILED
512,Projection,NullPredictiveControl,0.1635,0.1631,0.1675,0.1627,0.1573,0.157,0.1618,PREDICTIVE-FAILED
768,Projection,NullPredictiveControl,0.1204,0.1211,0.1174,0.1158,0.1123,0.1144,0.1145,PREDICTIVE-FAILED
1024,Projection,NullPredictiveControl,0.0936,0.0934,0.092,0.0919,0.0909,0.0858,0.0909,PREDICTIVE-FAILED
1536,Projection,NullPredictiveControl,0.0642,0.0622,0.0621,0.063,0.0608,0.0615,0.0612,PREDICTIVE-FAILED
2048,Projection,NullPredictiveControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
3072,Projection,NullPredictiveControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection,NullPredictiveControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection,NullPredictiveControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Antisymmetry,PredictiveStabilizationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
2,Antisymmetry,PredictiveStabilizationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
4,Antisymmetry,PredictiveStabilizationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
6,Antisymmetry,PredictiveStabilizationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
8,Antisymmetry,PredictiveStabilizationAnalysis,0.96,0.94,0.93,0.92,0.8947,0.9,0.9017,PREDICTIVE-STABLE
12,Antisymmetry,PredictiveStabilizationAnalysis,0.9281,0.9073,0.889,0.8988,0.8676,0.862,0.8757,PREDICTIVE-BOUNDED
16,Antisymmetry,PredictiveStabilizationAnalysis,0.9326,0.8895,0.8641,0.8769,0.8595,0.8381,0.8771,PREDICTIVE-BOUNDED
20,Antisymmetry,PredictiveStabilizationAnalysis,0.8809,0.8537,0.8671,0.8466,0.8147,0.8257,0.8374,PREDICTIVE-BOUNDED
24,Antisymmetry,PredictiveStabilizationAnalysis,0.8835,0.8541,0.8393,0.8119,0.8154,0.8014,0.8004,PREDICTIVE-BOUNDED
