depth,sector,condition,rg_similarity,representation_fidelity,internal_model_coherence,simulation_alignment,predictive_model_gain,recursive_representation_persistence,model_adaptation_strength,classification
32,Projection,RepresentationFidelityAnalysis,0.9032,0.8921,0.8647,0.8536,0.8432,0.8456,0.8402,MODEL-BOUNDED
40,Projection,RepresentationFidelityAnalysis,0.8508,0.8471,0.8194,0.8119,0.8011,0.813,0.8086,MODEL-BOUNDED
48,Projection,RepresentationFidelityAnalysis,0.8321,0.8253,0.8102,0.7793,0.7736,0.7808,0.7931,MODEL-BOUNDED
64,Projection,RepresentationFidelityAnalysis,0.7616,0.7455,0.7524,0.7248,0.7293,0.7103,0.733,MODEL-PARTIAL
80,Projection,RepresentationFidelityAnalysis,0.7344,0.7028,0.7075,0.6961,0.6743,0.6645,0.6838,MODEL-PARTIAL
96,Projection,RepresentationFidelityAnalysis,0.6783,0.6678,0.6458,0.635,0.6405,0.6352,0.6454,MODEL-DEGRADING
128,Projection,RepresentationFidelityAnalysis,0.6039,0.5894,0.5786,0.5711,0.5724,0.5598,0.5859,MODEL-DEGRADING
160,Projection,RepresentationFidelityAnalysis,0.543,0.5322,0.5281,0.5287,0.5117,0.517,0.5121,MODEL-FAILED
192,Projection,RepresentationFidelityAnalysis,0.496,0.4946,0.4742,0.48,0.4711,0.4615,0.4722,MODEL-FAILED
256,Projection,RepresentationFidelityAnalysis,0.4152,0.4138,0.4061,0.4053,0.3982,0.3989,0.3974,MODEL-FAILED
320,Projection,RepresentationFidelityAnalysis,0.3633,0.3523,0.355,0.3552,0.3496,0.3415,0.3526,MODEL-FAILED
512,Projection,RepresentationFidelityAnalysis,0.2583,0.2584,0.2502,0.2498,0.245,0.2468,0.2513,MODEL-FAILED
768,Projection,RepresentationFidelityAnalysis,0.1875,0.1866,0.1822,0.182,0.1802,0.1791,0.1782,MODEL-FAILED
1024,Projection,RepresentationFidelityAnalysis,0.1519,0.1486,0.1441,0.1449,0.1386,0.1371,0.14,MODEL-FAILED
1536,Projection,RepresentationFidelityAnalysis,0.1034,0.1035,0.1021,0.101,0.0983,0.0958,0.0982,MODEL-FAILED
2048,Projection,RepresentationFidelityAnalysis,0.0809,0.0775,0.0767,0.0774,0.077,0.0744,0.0769,MODEL-FAILED
3072,Projection,RepresentationFidelityAnalysis,0.0549,0.053,0.0534,0.0516,0.0523,0.0506,0.0532,MODEL-FAILED
4096,Projection,RepresentationFidelityAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Projection,RepresentationFidelityAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Projection,RepresentationFidelityAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Projection,SimulatedPerturbationEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
2,Projection,SimulatedPerturbationEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
4,Projection,SimulatedPerturbationEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
6,Projection,SimulatedPerturbationEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
8,Projection,SimulatedPerturbationEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
12,Projection,SimulatedPerturbationEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
16,Projection,SimulatedPerturbationEvaluation,0.96,0.94,0.93,0.92,0.91,0.8865,0.92,MODEL-STABLE
20,Projection,SimulatedPerturbationEvaluation,0.9292,0.94,0.9183,0.92,0.899,0.8965,0.9006,MODEL-STABLE
24,Projection,SimulatedPerturbationEvaluation,0.9285,0.8989,0.908,0.9136,0.8633,0.8802,0.8933,MODEL-BOUNDED
32,Projection,SimulatedPerturbationEvaluation,0.8828,0.8689,0.8562,0.849,0.8368,0.8267,0.848,MODEL-BOUNDED
40,Projection,SimulatedPerturbationEvaluation,0.8408,0.8317,0.8152,0.8443,0.7944,0.8113,0.8093,MODEL-BOUNDED
48,Projection,SimulatedPerturbationEvaluation,0.8076,0.8132,0.8043,0.8055,0.7847,0.7827,0.7958,MODEL-BOUNDED
64,Projection,SimulatedPerturbationEvaluation,0.773,0.7644,0.741,0.7357,0.7359,0.7253,0.7257,MODEL-PARTIAL
80,Projection,SimulatedPerturbationEvaluation,0.7068,0.6948,0.6878,0.6905,0.6659,0.6813,0.6901,MODEL-DEGRADING
96,Projection,SimulatedPerturbationEvaluation,0.6764,0.6476,0.6486,0.6565,0.6395,0.6319,0.6474,MODEL-DEGRADING
128,Projection,SimulatedPerturbationEvaluation,0.6091,0.583,0.5744,0.5854,0.5585,0.5553,0.5718,MODEL-DEGRADING
160,Projection,SimulatedPerturbationEvaluation,0.535,0.5352,0.5221,0.5214,0.5058,0.5135,0.5235,MODEL-FAILED
192,Projection,SimulatedPerturbationEvaluation,0.4925,0.4889,0.4808,0.4751,0.4601,0.4578,0.4765,MODEL-FAILED
256,Projection,SimulatedPerturbationEvaluation,0.4208,0.4135,0.4041,0.4026,0.3968,0.3937,0.3905,MODEL-FAILED
320,Projection,SimulatedPerturbationEvaluation,0.3625,0.3503,0.3429,0.3572,0.3378,0.3364,0.3498,MODEL-FAILED
512,Projection,SimulatedPerturbationEvaluation,0.259,0.2535,0.2534,0.256,0.2413,0.2415,0.2458,MODEL-FAILED
768,Projection,SimulatedPerturbationEvaluation,0.1883,0.1815,0.1796,0.1863,0.1752,0.1736,0.1787,MODEL-FAILED
1024,Projection,SimulatedPerturbationEvaluation,0.1499,0.1442,0.1396,0.142,0.14,0.1368,0.1384,MODEL-FAILED
1536,Projection,SimulatedPerturbationEvaluation,0.102,0.1011,0.1008,0.1004,0.0966,0.0972,0.0987,MODEL-FAILED
2048,Projection,SimulatedPerturbationEvaluation,0.0783,0.0779,0.077,0.0757,0.0742,0.0744,0.0767,MODEL-FAILED
3072,Projection,SimulatedPerturbationEvaluation,0.055,0.0539,0.053,0.0526,0.0521,0.0512,0.0513,MODEL-FAILED
4096,Projection,SimulatedPerturbationEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Projection,SimulatedPerturbationEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Projection,SimulatedPerturbationEvaluation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Projection,PredictiveModelAdaptationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
2,Projection,PredictiveModelAdaptationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
4,Projection,PredictiveModelAdaptationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
6,Projection,PredictiveModelAdaptationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
8,Projection,PredictiveModelAdaptationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
12,Projection,PredictiveModelAdaptationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
16,Projection,PredictiveModelAdaptationTracking,0.9581,0.9368,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
20,Projection,PredictiveModelAdaptationTracking,0.959,0.9247,0.9187,0.8903,0.91,0.8699,0.92,MODEL-STABLE
24,Projection,PredictiveModelAdaptationTracking,0.9068,0.8859,0.8977,0.8944,0.9017,0.8796,0.9186,MODEL-BOUNDED
32,Projection,PredictiveModelAdaptationTracking,0.8856,0.8649,0.8542,0.8595,0.8643,0.83,0.8701,MODEL-BOUNDED
40,Projection,PredictiveModelAdaptationTracking,0.8381,0.8461,0.8152,0.8028,0.8249,0.7886,0.8228,MODEL-BOUNDED
48,Projection,PredictiveModelAdaptationTracking,0.8256,0.8061,0.7992,0.7936,0.8016,0.7645,0.7844,MODEL-PARTIAL
64,Projection,PredictiveModelAdaptationTracking,0.7494,0.7478,0.7421,0.7332,0.7289,0.7111,0.7555,MODEL-PARTIAL
80,Projection,PredictiveModelAdaptationTracking,0.7139,0.6916,0.6827,0.6762,0.6906,0.6673,0.6974,MODEL-DEGRADING
96,Projection,PredictiveModelAdaptationTracking,0.6768,0.6617,0.6547,0.6371,0.659,0.6353,0.6624,MODEL-DEGRADING
128,Projection,PredictiveModelAdaptationTracking,0.6,0.582,0.5861,0.5661,0.5789,0.5705,0.5719,MODEL-DEGRADING
160,Projection,PredictiveModelAdaptationTracking,0.5381,0.5336,0.5228,0.5125,0.52,0.5029,0.5166,MODEL-FAILED
192,Projection,PredictiveModelAdaptationTracking,0.4902,0.487,0.4733,0.4711,0.4751,0.4547,0.4736,MODEL-FAILED
256,Projection,PredictiveModelAdaptationTracking,0.4155,0.4132,0.4013,0.3958,0.4067,0.384,0.4085,MODEL-FAILED
320,Projection,PredictiveModelAdaptationTracking,0.3641,0.35,0.3471,0.3445,0.3546,0.3404,0.3562,MODEL-FAILED
512,Projection,PredictiveModelAdaptationTracking,0.2627,0.2502,0.2531,0.2515,0.2471,0.243,0.2482,MODEL-FAILED
768,Projection,PredictiveModelAdaptationTracking,0.1897,0.1809,0.1801,0.1823,0.1801,0.1786,0.1856,MODEL-FAILED
1024,Projection,PredictiveModelAdaptationTracking,0.1467,0.1441,0.1414,0.1416,0.1446,0.1364,0.1438,MODEL-FAILED
1536,Projection,PredictiveModelAdaptationTracking,0.1015,0.1002,0.0985,0.0993,0.1009,0.0965,0.1013,MODEL-FAILED
2048,Projection,PredictiveModelAdaptationTracking,0.0783,0.0767,0.0769,0.0746,0.0779,0.0751,0.0762,MODEL-FAILED
3072,Projection,PredictiveModelAdaptationTracking,0.0533,0.0533,0.052,0.0508,0.0518,0.0504,0.0531,MODEL-FAILED
4096,Projection,PredictiveModelAdaptationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Projection,PredictiveModelAdaptationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Projection,PredictiveModelAdaptationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Projection,RecursiveSimulationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
2,Projection,RecursiveSimulationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
4,Projection,RecursiveSimulationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
6,Projection,RecursiveSimulationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
8,Projection,RecursiveSimulationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
12,Projection,RecursiveSimulationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
16,Projection,RecursiveSimulationPersistence,0.9506,0.94,0.93,0.92,0.9073,0.9,0.9113,MODEL-STABLE
20,Projection,RecursiveSimulationPersistence,0.9216,0.929,0.9284,0.8885,0.9035,0.8885,0.9111,MODEL-STABLE
24,Projection,RecursiveSimulationPersistence,0.9009,0.9044,0.88,0.8894,0.872,0.884,0.8846,MODEL-BOUNDED
32,Projection,RecursiveSimulationPersistence,0.8953,0.8608,0.8419,0.8646,0.8375,0.8416,0.8561,MODEL-BOUNDED
40,Projection,RecursiveSimulationPersistence,0.8332,0.8252,0.8215,0.799,0.8106,0.81,0.8299,MODEL-BOUNDED
48,Projection,RecursiveSimulationPersistence,0.8022,0.7979,0.7914,0.7899,0.7719,0.7726,0.7866,MODEL-PARTIAL
64,Projection,RecursiveSimulationPersistence,0.7716,0.7368,0.7395,0.7439,0.7203,0.7197,0.7387,MODEL-PARTIAL
80,Projection,RecursiveSimulationPersistence,0.7071,0.7093,0.6793,0.6901,0.6713,0.6896,0.6846,MODEL-DEGRADING
96,Projection,RecursiveSimulationPersistence,0.6715,0.6597,0.6586,0.649,0.631,0.6473,0.6435,MODEL-DEGRADING
128,Projection,RecursiveSimulationPersistence,0.5827,0.5773,0.5709,0.5808,0.5646,0.5696,0.569,MODEL-DEGRADING
160,Projection,RecursiveSimulationPersistence,0.5421,0.5326,0.5264,0.5045,0.5035,0.5057,0.5218,MODEL-FAILED
192,Projection,RecursiveSimulationPersistence,0.4814,0.472,0.4721,0.4595,0.4668,0.4657,0.4677,MODEL-FAILED
256,Projection,RecursiveSimulationPersistence,0.4113,0.4079,0.3945,0.3964,0.3965,0.4,0.39,MODEL-FAILED
320,Projection,RecursiveSimulationPersistence,0.359,0.353,0.3427,0.347,0.3378,0.35,0.3395,MODEL-FAILED
512,Projection,RecursiveSimulationPersistence,0.2605,0.2513,0.2533,0.244,0.2447,0.2492,0.2424,MODEL-FAILED
768,Projection,RecursiveSimulationPersistence,0.1858,0.1837,0.1781,0.1799,0.1779,0.176,0.1815,MODEL-FAILED
1024,Projection,RecursiveSimulationPersistence,0.1469,0.1441,0.1404,0.1392,0.142,0.1432,0.1399,MODEL-FAILED
1536,Projection,RecursiveSimulationPersistence,0.1006,0.1023,0.1008,0.099,0.0972,0.097,0.0977,MODEL-FAILED
2048,Projection,RecursiveSimulationPersistence,0.0788,0.0765,0.0766,0.0745,0.0743,0.075,0.0765,MODEL-FAILED
3072,Projection,RecursiveSimulationPersistence,0.054,0.0524,0.0523,0.0522,0.0512,0.052,0.0517,MODEL-FAILED
4096,Projection,RecursiveSimulationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Projection,RecursiveSimulationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Projection,RecursiveSimulationPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Projection,ModelDrivenStabilizationTesting,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
2,Projection,ModelDrivenStabilizationTesting,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
4,Projection,ModelDrivenStabilizationTesting,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
6,Projection,ModelDrivenStabilizationTesting,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
8,Projection,ModelDrivenStabilizationTesting,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
12,Projection,ModelDrivenStabilizationTesting,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
16,Projection,ModelDrivenStabilizationTesting,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
20,Projection,ModelDrivenStabilizationTesting,0.9199,0.9286,0.9235,0.8922,0.8928,0.9,0.9087,MODEL-STABLE
24,Projection,ModelDrivenStabilizationTesting,0.9102,0.8914,0.909,0.8854,0.89,0.8782,0.8963,MODEL-BOUNDED
32,Projection,ModelDrivenStabilizationTesting,0.8765,0.8722,0.8659,0.8408,0.8372,0.8465,0.8541,MODEL-BOUNDED
40,Projection,ModelDrivenStabilizationTesting,0.8269,0.8382,0.8444,0.8104,0.826,0.8011,0.8173,MODEL-BOUNDED
48,Projection,ModelDrivenStabilizationTesting,0.812,0.7884,0.7919,0.7713,0.7701,0.7839,0.7895,MODEL-PARTIAL
64,Projection,ModelDrivenStabilizationTesting,0.7614,0.73,0.7583,0.7371,0.7184,0.7142,0.7366,MODEL-PARTIAL
80,Projection,ModelDrivenStabilizationTesting,0.702,0.6925,0.6964,0.6955,0.6933,0.6666,0.6913,MODEL-DEGRADING
96,Projection,ModelDrivenStabilizationTesting,0.6733,0.6417,0.6645,0.6472,0.6302,0.6277,0.6592,MODEL-DEGRADING
128,Projection,ModelDrivenStabilizationTesting,0.5965,0.5906,0.5882,0.5783,0.5797,0.56,0.5781,MODEL-DEGRADING
160,Projection,ModelDrivenStabilizationTesting,0.5322,0.5271,0.5231,0.5173,0.5111,0.5037,0.5273,MODEL-FAILED
192,Projection,ModelDrivenStabilizationTesting,0.4838,0.4702,0.4798,0.4674,0.4682,0.467,0.467,MODEL-FAILED
256,Projection,ModelDrivenStabilizationTesting,0.413,0.413,0.3987,0.4002,0.4013,0.4009,0.4017,MODEL-FAILED
320,Projection,ModelDrivenStabilizationTesting,0.3507,0.3512,0.3586,0.3485,0.3431,0.3371,0.3436,MODEL-FAILED
512,Projection,ModelDrivenStabilizationTesting,0.2595,0.2553,0.2528,0.2517,0.2503,0.2483,0.2456,MODEL-FAILED
768,Projection,ModelDrivenStabilizationTesting,0.1828,0.1849,0.1848,0.1821,0.1806,0.1753,0.1841,MODEL-FAILED
1024,Projection,ModelDrivenStabilizationTesting,0.1436,0.1462,0.1412,0.1432,0.143,0.1373,0.1417,MODEL-FAILED
1536,Projection,ModelDrivenStabilizationTesting,0.1019,0.1014,0.1006,0.1004,0.0971,0.0984,0.0981,MODEL-FAILED
2048,Projection,ModelDrivenStabilizationTesting,0.0797,0.0766,0.0777,0.0758,0.0744,0.0746,0.0776,MODEL-FAILED
3072,Projection,ModelDrivenStabilizationTesting,0.0544,0.0532,0.0522,0.052,0.0527,0.0505,0.0513,MODEL-FAILED
4096,Projection,ModelDrivenStabilizationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Projection,ModelDrivenStabilizationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Projection,ModelDrivenStabilizationTesting,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Projection,NullRepresentationControl,0.8396,0.86,0.861,0.8613,0.8315,0.8079,0.824,MODEL-BOUNDED
2,Projection,NullRepresentationControl,0.8587,0.8549,0.8529,0.8532,0.8129,0.8256,0.8127,MODEL-BOUNDED
4,Projection,NullRepresentationControl,0.8361,0.8488,0.8132,0.8266,0.7961,0.8026,0.829,MODEL-BOUNDED
6,Projection,NullRepresentationControl,0.8139,0.8265,0.831,0.8369,0.7897,0.7836,0.7928,MODEL-BOUNDED
8,Projection,NullRepresentationControl,0.8046,0.8056,0.8296,0.8114,0.7754,0.7663,0.7861,MODEL-BOUNDED
12,Projection,NullRepresentationControl,0.8008,0.7937,0.7815,0.8182,0.7806,0.7757,0.8006,MODEL-PARTIAL
16,Projection,NullRepresentationControl,0.7947,0.7738,0.77,0.7849,0.7403,0.7663,0.7687,MODEL-PARTIAL
20,Projection,NullRepresentationControl,0.7527,0.776,0.7495,0.7731,0.7322,0.7429,0.764,MODEL-PARTIAL
24,Projection,NullRepresentationControl,0.7344,0.7678,0.7428,0.7637,0.7248,0.727,0.7437,MODEL-PARTIAL
32,Projection,NullRepresentationControl,0.7238,0.724,0.728,0.7158,0.6926,0.6775,0.6909,MODEL-PARTIAL
40,Projection,NullRepresentationControl,0.6769,0.6996,0.6996,0.6859,0.6718,0.6567,0.6618,MODEL-DEGRADING
48,Projection,NullRepresentationControl,0.6673,0.6706,0.6593,0.6647,0.655,0.6474,0.6506,MODEL-DEGRADING
64,Projection,NullRepresentationControl,0.6096,0.6114,0.614,0.6222,0.6044,0.6006,0.6008,MODEL-DEGRADING
80,Projection,NullRepresentationControl,0.5698,0.5878,0.5814,0.5725,0.5696,0.5542,0.566,MODEL-DEGRADING
96,Projection,NullRepresentationControl,0.5378,0.5348,0.529,0.5526,0.516,0.5258,0.5397,MODEL-FAILED
128,Projection,NullRepresentationControl,0.4922,0.4938,0.4783,0.4911,0.4779,0.4616,0.4802,MODEL-FAILED
160,Projection,NullRepresentationControl,0.4333,0.4405,0.4279,0.4412,0.4285,0.4152,0.4246,MODEL-FAILED
192,Projection,NullRepresentationControl,0.4054,0.3936,0.4027,0.3994,0.3772,0.381,0.3926,MODEL-FAILED
256,Projection,NullRepresentationControl,0.3367,0.3406,0.3313,0.3369,0.3211,0.3249,0.3299,MODEL-FAILED
320,Projection,NullRepresentationControl,0.2927,0.2955,0.2947,0.2904,0.2823,0.2757,0.2913,MODEL-FAILED
512,Projection,NullRepresentationControl,0.2093,0.2056,0.206,0.2111,0.2025,0.1961,0.2038,MODEL-FAILED
768,Projection,NullRepresentationControl,0.1521,0.1499,0.1492,0.1534,0.1472,0.1455,0.1488,MODEL-FAILED
1024,Projection,NullRepresentationControl,0.1217,0.1206,0.1191,0.1177,0.1151,0.112,0.1164,MODEL-FAILED
1536,Projection,NullRepresentationControl,0.0835,0.0833,0.0818,0.0849,0.0828,0.0782,0.081,MODEL-FAILED
2048,Projection,NullRepresentationControl,0.0644,0.0653,0.0648,0.0636,0.0628,0.062,0.0617,MODEL-FAILED
3072,Projection,NullRepresentationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
4096,Projection,NullRepresentationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Projection,NullRepresentationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Projection,NullRepresentationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Antisymmetry,InternalModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
2,Antisymmetry,InternalModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
4,Antisymmetry,InternalModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
6,Antisymmetry,InternalModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
8,Antisymmetry,InternalModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
12,Antisymmetry,InternalModelExtraction,0.9598,0.9374,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
16,Antisymmetry,InternalModelExtraction,0.9599,0.9354,0.9088,0.8947,0.8746,0.8698,0.8818,MODEL-STABLE
20,Antisymmetry,InternalModelExtraction,0.9419,0.9168,0.8859,0.8728,0.8681,0.8598,0.8796,MODEL-BOUNDED
24,Antisymmetry,InternalModelExtraction,0.8959,0.8855,0.8719,0.8724,0.837,0.8648,0.8723,MODEL-BOUNDED
32,Antisymmetry,InternalModelExtraction,0.8593,0.8496,0.8279,0.8253,0.8116,0.8272,0.817,MODEL-BOUNDED
40,Antisymmetry,InternalModelExtraction,0.8297,0.8022,0.7957,0.7968,0.7896,0.792,0.793,MODEL-PARTIAL
48,Antisymmetry,InternalModelExtraction,0.8004,0.7871,0.7686,0.7645,0.7556,0.7441,0.7668,MODEL-PARTIAL
64,Antisymmetry,InternalModelExtraction,0.7405,0.7385,0.7194,0.7007,0.6956,0.6871,0.7,MODEL-PARTIAL
80,Antisymmetry,InternalModelExtraction,0.7102,0.6793,0.6649,0.6522,0.6676,0.6468,0.653,MODEL-DEGRADING
96,Antisymmetry,InternalModelExtraction,0.6435,0.628,0.6442,0.6341,0.6218,0.6217,0.6182,MODEL-DEGRADING
128,Antisymmetry,InternalModelExtraction,0.5744,0.5734,0.5758,0.5579,0.5444,0.5577,0.551,MODEL-DEGRADING
160,Antisymmetry,InternalModelExtraction,0.5274,0.5062,0.5037,0.4928,0.4867,0.4857,0.4909,MODEL-FAILED
