depth,sector,condition,robustness_survival_fraction,perturbation_resilience_index,collapse_threshold_depth,hierarchy_resilience_rate,recursive_recovery_strength,coherence_retention,perturbation_drift_bound,efficacy,base_emergence,perturbed_emergence,classification
3072,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
4096,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
6144,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
8192,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
12288,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
16384,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9566,0.9566,PERTURBATION-STABLE
24576,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9566,0.9566,PERTURBATION-STABLE
32768,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9566,0.9566,PERTURBATION-STABLE
65536,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9565,0.9565,PERTURBATION-STABLE
131072,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9562,0.9562,PERTURBATION-STABLE
262144,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9557,0.9557,PERTURBATION-STABLE
524288,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9547,0.9547,PERTURBATION-STABLE
1048576,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9528,0.9528,PERTURBATION-STABLE
2097152,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9489,0.9489,PERTURBATION-STABLE
4194304,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9413,0.9413,PERTURBATION-STABLE
8388608,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9263,0.9263,PERTURBATION-STABLE
16777216,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8979,0.8979,PERTURBATION-STABLE
33554432,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8458,0.8458,PERTURBATION-STABLE
67108864,P-A-N,BaselineCleanRecursion,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.758,0.758,PERTURBATION-STABLE
1,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9567,0.97,PERTURBATION-STABLE
2,P-A-N,LowGaussianNoise,0.9733,0.9733,0.0,1.0,0.9733,0.9718,0.0267,0.975,0.9567,0.9311,PERTURBATION-STABLE
4,P-A-N,LowGaussianNoise,0.9634,0.9634,0.0,1.0,0.9634,0.9614,0.0366,0.975,0.9567,0.9217,PERTURBATION-STABLE
6,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9567,0.97,PERTURBATION-STABLE
8,P-A-N,LowGaussianNoise,0.9601,0.9601,0.0,1.0,0.9601,0.9579,0.0399,0.975,0.9567,0.9185,PERTURBATION-STABLE
12,P-A-N,LowGaussianNoise,0.9691,0.9691,0.0,1.0,0.9691,0.9674,0.0309,0.975,0.9567,0.9271,PERTURBATION-STABLE
16,P-A-N,LowGaussianNoise,0.952,0.952,0.0,1.0,0.952,0.9494,0.048,0.975,0.9567,0.9108,PERTURBATION-STABLE
20,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9567,0.9599,PERTURBATION-STABLE
24,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9567,0.97,PERTURBATION-STABLE
32,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9567,0.97,PERTURBATION-STABLE
40,P-A-N,LowGaussianNoise,0.9673,0.9673,0.0,1.0,0.9673,0.9655,0.0327,0.975,0.9567,0.9255,PERTURBATION-STABLE
48,P-A-N,LowGaussianNoise,0.9588,0.9588,0.0,1.0,0.9588,0.9566,0.0412,0.975,0.9567,0.9173,PERTURBATION-STABLE
64,P-A-N,LowGaussianNoise,0.9441,0.9441,0.0,1.0,0.9441,0.941,0.0559,0.975,0.9567,0.9032,PERTURBATION-STABLE
80,P-A-N,LowGaussianNoise,0.9834,0.9834,0.0,1.0,0.9834,0.9825,0.0166,0.975,0.9567,0.9408,PERTURBATION-STABLE
96,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9567,0.97,PERTURBATION-STABLE
128,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9567,0.97,PERTURBATION-STABLE
160,P-A-N,LowGaussianNoise,0.9931,0.9931,0.0,1.0,0.9931,0.9928,0.0069,0.975,0.9567,0.9501,PERTURBATION-STABLE
192,P-A-N,LowGaussianNoise,0.9496,0.9496,0.0,1.0,0.9496,0.9468,0.0504,0.975,0.9567,0.9085,PERTURBATION-STABLE
256,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9567,0.97,PERTURBATION-STABLE
320,P-A-N,LowGaussianNoise,0.9563,0.9563,0.0,1.0,0.9563,0.9539,0.0437,0.975,0.9567,0.9149,PERTURBATION-STABLE
512,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9567,0.97,PERTURBATION-STABLE
768,P-A-N,LowGaussianNoise,0.8989,0.8989,0.0,1.0,0.8989,0.8933,0.1011,0.975,0.9567,0.86,PERTURBATION-STABLE
1024,P-A-N,LowGaussianNoise,0.9802,0.9802,0.0,1.0,0.9802,0.9791,0.0198,0.975,0.9567,0.9377,PERTURBATION-STABLE
1536,P-A-N,LowGaussianNoise,0.9697,0.9697,0.0,1.0,0.9697,0.968,0.0303,0.975,0.9567,0.9277,PERTURBATION-STABLE
2048,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9567,0.97,PERTURBATION-STABLE
3072,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9567,0.97,PERTURBATION-STABLE
4096,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9567,0.97,PERTURBATION-STABLE
6144,P-A-N,LowGaussianNoise,0.9563,0.9563,0.0,1.0,0.9563,0.9539,0.0437,0.975,0.9567,0.9149,PERTURBATION-STABLE
8192,P-A-N,LowGaussianNoise,0.9791,0.9791,0.0,1.0,0.9791,0.9779,0.0209,0.975,0.9567,0.9367,PERTURBATION-STABLE
12288,P-A-N,LowGaussianNoise,0.9109,0.9109,0.0,1.0,0.9109,0.9059,0.0891,0.975,0.9567,0.8714,PERTURBATION-STABLE
16384,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9566,0.97,PERTURBATION-STABLE
24576,P-A-N,LowGaussianNoise,0.9566,0.9566,0.0,1.0,0.9566,0.9542,0.0434,0.975,0.9566,0.9151,PERTURBATION-STABLE
32768,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9566,0.97,PERTURBATION-STABLE
65536,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9565,0.97,PERTURBATION-STABLE
131072,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9562,0.97,PERTURBATION-STABLE
262144,P-A-N,LowGaussianNoise,0.9723,0.9723,0.0,1.0,0.9723,0.9708,0.0277,0.975,0.9557,0.9293,PERTURBATION-STABLE
524288,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9547,0.97,PERTURBATION-STABLE
1048576,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9528,0.97,PERTURBATION-STABLE
2097152,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9489,0.97,PERTURBATION-STABLE
4194304,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9413,0.97,PERTURBATION-STABLE
8388608,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.9263,0.97,PERTURBATION-STABLE
16777216,P-A-N,LowGaussianNoise,0.9934,0.9934,0.0,1.0,0.9934,0.993,0.0066,0.975,0.8979,0.8919,PERTURBATION-STABLE
33554432,P-A-N,LowGaussianNoise,0.927,0.927,0.0,1.0,0.927,0.9225,0.073,0.975,0.8458,0.7841,PERTURBATION-STABLE
67108864,P-A-N,LowGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.975,0.758,0.7985,PERTURBATION-STABLE
1,P-A-N,ModerateGaussianNoise,0.7351,0.7351,0.0,1.0,0.7351,0.7205,0.2649,0.925,0.9567,0.7033,PERTURBATION-BOUNDED
2,P-A-N,ModerateGaussianNoise,0.9381,0.9381,0.0,1.0,0.9381,0.9347,0.0619,0.925,0.9567,0.8975,PERTURBATION-STABLE
4,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
6,P-A-N,ModerateGaussianNoise,0.8985,0.8985,0.0,1.0,0.8985,0.8929,0.1015,0.925,0.9567,0.8596,PERTURBATION-STABLE
8,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
12,P-A-N,ModerateGaussianNoise,0.784,0.784,0.0,1.0,0.784,0.7721,0.216,0.925,0.9567,0.75,PERTURBATION-BOUNDED
16,P-A-N,ModerateGaussianNoise,0.8141,0.8141,0.0,1.0,0.8141,0.8039,0.1859,0.925,0.9567,0.7789,PERTURBATION-STABLE
20,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
24,P-A-N,ModerateGaussianNoise,0.9673,0.9673,0.0,1.0,0.9673,0.9655,0.0327,0.925,0.9567,0.9254,PERTURBATION-STABLE
32,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
40,P-A-N,ModerateGaussianNoise,0.9561,0.9561,0.0,1.0,0.9561,0.9537,0.0439,0.925,0.9567,0.9147,PERTURBATION-STABLE
48,P-A-N,ModerateGaussianNoise,0.9928,0.9928,0.0,1.0,0.9928,0.9924,0.0072,0.925,0.9567,0.9498,PERTURBATION-STABLE
64,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
80,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
96,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
128,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
160,P-A-N,ModerateGaussianNoise,0.9048,0.9048,0.0,1.0,0.9048,0.8995,0.0952,0.925,0.9567,0.8656,PERTURBATION-STABLE
192,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
256,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
320,P-A-N,ModerateGaussianNoise,0.7443,0.7443,0.0,1.0,0.7443,0.7302,0.2557,0.925,0.9567,0.712,PERTURBATION-BOUNDED
512,P-A-N,ModerateGaussianNoise,0.9942,0.9942,0.0,1.0,0.9942,0.9939,0.0058,0.925,0.9567,0.9512,PERTURBATION-STABLE
768,P-A-N,ModerateGaussianNoise,0.9964,0.9964,0.0,1.0,0.9964,0.9962,0.0036,0.925,0.9567,0.9533,PERTURBATION-STABLE
1024,P-A-N,ModerateGaussianNoise,0.7367,0.7367,0.0,1.0,0.7367,0.7222,0.2633,0.925,0.9567,0.7048,PERTURBATION-BOUNDED
1536,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
2048,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
3072,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
4096,P-A-N,ModerateGaussianNoise,0.793,0.793,0.0,1.0,0.793,0.7816,0.207,0.925,0.9567,0.7587,PERTURBATION-BOUNDED
6144,P-A-N,ModerateGaussianNoise,0.9027,0.9027,0.0,1.0,0.9027,0.8974,0.0973,0.925,0.9567,0.8636,PERTURBATION-STABLE
8192,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.97,PERTURBATION-STABLE
12288,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9567,0.9691,PERTURBATION-STABLE
16384,P-A-N,ModerateGaussianNoise,0.8141,0.8141,0.0,1.0,0.8141,0.8039,0.1859,0.925,0.9566,0.7788,PERTURBATION-STABLE
24576,P-A-N,ModerateGaussianNoise,0.9184,0.9184,0.0,1.0,0.9184,0.9139,0.0816,0.925,0.9566,0.8786,PERTURBATION-STABLE
32768,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9566,0.97,PERTURBATION-STABLE
65536,P-A-N,ModerateGaussianNoise,0.9108,0.9108,0.0,1.0,0.9108,0.9059,0.0892,0.925,0.9565,0.8712,PERTURBATION-STABLE
131072,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9562,0.97,PERTURBATION-STABLE
262144,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9557,0.9678,PERTURBATION-STABLE
524288,P-A-N,ModerateGaussianNoise,0.9429,0.9429,0.0,1.0,0.9429,0.9397,0.0571,0.925,0.9547,0.9002,PERTURBATION-STABLE
1048576,P-A-N,ModerateGaussianNoise,0.9119,0.9119,0.0,1.0,0.9119,0.907,0.0881,0.925,0.9528,0.8689,PERTURBATION-STABLE
2097152,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9489,0.97,PERTURBATION-STABLE
4194304,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9413,0.97,PERTURBATION-STABLE
8388608,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.9263,0.97,PERTURBATION-STABLE
16777216,P-A-N,ModerateGaussianNoise,0.8964,0.8964,0.0,1.0,0.8964,0.8903,0.1036,0.925,0.8979,0.8048,PERTURBATION-STABLE
33554432,P-A-N,ModerateGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.925,0.8458,0.9525,PERTURBATION-STABLE
67108864,P-A-N,ModerateGaussianNoise,0.8606,0.8606,0.0,1.0,0.8606,0.8508,0.1394,0.925,0.758,0.6524,PERTURBATION-STABLE
1,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9567,0.97,PERTURBATION-STABLE
2,P-A-N,HighGaussianNoise,0.9855,0.9855,0.0,1.0,0.9855,0.9847,0.0145,0.825,0.9567,0.9428,PERTURBATION-STABLE
4,P-A-N,HighGaussianNoise,0.872,0.872,0.0,1.0,0.872,0.8649,0.128,0.825,0.9567,0.8342,PERTURBATION-STABLE
6,P-A-N,HighGaussianNoise,0.7265,0.7265,0.0,1.0,0.7265,0.7114,0.2735,0.825,0.9567,0.695,PERTURBATION-BOUNDED
8,P-A-N,HighGaussianNoise,0.8717,0.8717,0.0,1.0,0.8717,0.8646,0.1283,0.825,0.9567,0.8339,PERTURBATION-STABLE
12,P-A-N,HighGaussianNoise,0.9428,0.9428,0.0,1.0,0.9428,0.9397,0.0572,0.825,0.9567,0.902,PERTURBATION-STABLE
16,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9567,0.97,PERTURBATION-STABLE
20,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9567,0.97,PERTURBATION-STABLE
24,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9567,0.97,PERTURBATION-STABLE
32,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9567,0.9623,PERTURBATION-STABLE
40,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9567,0.97,PERTURBATION-STABLE
48,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9567,0.97,PERTURBATION-STABLE
64,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9567,0.97,PERTURBATION-STABLE
80,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9567,0.97,PERTURBATION-STABLE
96,P-A-N,HighGaussianNoise,0.9019,0.9019,0.0,1.0,0.9019,0.8965,0.0981,0.825,0.9567,0.8629,PERTURBATION-STABLE
128,P-A-N,HighGaussianNoise,0.8868,0.8868,0.0,1.0,0.8868,0.8805,0.1132,0.825,0.9567,0.8484,PERTURBATION-STABLE
160,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9567,0.97,PERTURBATION-STABLE
192,P-A-N,HighGaussianNoise,0.124,0.124,192.0,1.0,0.124,0.0757,0.876,0.825,0.9567,0.1186,PERTURBATION-FAILED
256,P-A-N,HighGaussianNoise,0.3749,0.3749,256.0,1.0,0.3749,0.3405,0.6251,0.825,0.9567,0.3587,PERTURBATION-FAILED
320,P-A-N,HighGaussianNoise,0.9757,0.9757,0.0,1.0,0.9757,0.9743,0.0243,0.825,0.9567,0.9334,PERTURBATION-STABLE
512,P-A-N,HighGaussianNoise,0.6915,0.6915,0.0,1.0,0.6915,0.6745,0.3085,0.825,0.9567,0.6616,PERTURBATION-BOUNDED
768,P-A-N,HighGaussianNoise,0.9969,0.9969,0.0,1.0,0.9969,0.9968,0.0031,0.825,0.9567,0.9538,PERTURBATION-STABLE
1024,P-A-N,HighGaussianNoise,0.7129,0.7129,0.0,1.0,0.7129,0.6971,0.2871,0.825,0.9567,0.682,PERTURBATION-BOUNDED
1536,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9567,0.97,PERTURBATION-STABLE
2048,P-A-N,HighGaussianNoise,0.9981,0.9981,0.0,1.0,0.9981,0.998,0.0019,0.825,0.9567,0.9549,PERTURBATION-STABLE
3072,P-A-N,HighGaussianNoise,0.8318,0.8318,0.0,1.0,0.8318,0.8225,0.1682,0.825,0.9567,0.7958,PERTURBATION-STABLE
4096,P-A-N,HighGaussianNoise,0.9518,0.9518,0.0,1.0,0.9518,0.9491,0.0482,0.825,0.9567,0.9105,PERTURBATION-STABLE
6144,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9567,0.97,PERTURBATION-STABLE
8192,P-A-N,HighGaussianNoise,0.8495,0.8495,0.0,1.0,0.8495,0.8412,0.1505,0.825,0.9567,0.8127,PERTURBATION-STABLE
12288,P-A-N,HighGaussianNoise,0.9615,0.9615,0.0,1.0,0.9615,0.9594,0.0385,0.825,0.9567,0.9198,PERTURBATION-STABLE
16384,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9566,0.97,PERTURBATION-STABLE
24576,P-A-N,HighGaussianNoise,0.7386,0.7386,0.0,1.0,0.7386,0.7242,0.2614,0.825,0.9566,0.7066,PERTURBATION-BOUNDED
32768,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9566,0.97,PERTURBATION-STABLE
65536,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9565,0.97,PERTURBATION-STABLE
131072,P-A-N,HighGaussianNoise,0.8578,0.8578,0.0,1.0,0.8578,0.8499,0.1422,0.825,0.9562,0.8202,PERTURBATION-STABLE
262144,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9557,0.97,PERTURBATION-STABLE
524288,P-A-N,HighGaussianNoise,0.4997,0.4997,524288.0,1.0,0.4997,0.4721,0.5003,0.825,0.9547,0.4771,PERTURBATION-DEGRADING
1048576,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9528,0.97,PERTURBATION-STABLE
2097152,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9489,0.97,PERTURBATION-STABLE
4194304,P-A-N,HighGaussianNoise,0.7632,0.7632,0.0,1.0,0.7632,0.7499,0.2368,0.825,0.9413,0.7184,PERTURBATION-BOUNDED
8388608,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.9263,0.97,PERTURBATION-STABLE
16777216,P-A-N,HighGaussianNoise,0.4454,0.4454,16777216.0,1.0,0.4454,0.4127,0.5546,0.825,0.8979,0.3999,PERTURBATION-DEGRADING
33554432,P-A-N,HighGaussianNoise,0.4031,0.4031,33554432.0,1.0,0.4031,0.3656,0.5969,0.825,0.8458,0.341,PERTURBATION-FAILED
67108864,P-A-N,HighGaussianNoise,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.825,0.758,0.9427,PERTURBATION-STABLE
1,P-A-N,AdversarialRecursivePerturbation,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9567,0.9567,PERTURBATION-STABLE
2,P-A-N,AdversarialRecursivePerturbation,0.9942,0.9942,0.0,1.0,0.9942,0.9939,0.0058,0.9957,0.9567,0.9512,PERTURBATION-STABLE
4,P-A-N,AdversarialRecursivePerturbation,0.9885,0.9885,0.0,1.0,0.9885,0.9878,0.0115,0.9913,0.9567,0.9457,PERTURBATION-STABLE
6,P-A-N,AdversarialRecursivePerturbation,0.9851,0.9851,0.0,1.0,0.9851,0.9843,0.0149,0.9888,0.9567,0.9424,PERTURBATION-STABLE
