depth,sector,condition,rg_similarity,wave_coherence,interference_stability,standing_mode_persistence,oscillatory_transport_alignment,recursive_mode_synchronization,interference_gain,classification
8192,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12288,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16384,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24576,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32768,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
65536,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
131072,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
262144,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
524288,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1048576,Projection,RecursiveInterferenceCoherence,0.96,0.9434,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2097152,Projection,RecursiveInterferenceCoherence,0.9458,0.9071,0.9263,0.8933,0.8831,0.8643,0.8722,WAVE-STABLE
4194304,Projection,RecursiveInterferenceCoherence,0.8559,0.7973,0.8254,0.7906,0.7691,0.7882,0.8016,WAVE-PARTIAL
1,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
20,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
40,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
48,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
64,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
80,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
96,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
128,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
160,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
192,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
256,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
320,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
512,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
768,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1024,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1536,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2048,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
3072,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4096,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6144,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8192,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12288,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16384,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24576,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32768,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
65536,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
131072,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
262144,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
524288,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1048576,Projection,StandingModePersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2097152,Projection,StandingModePersistence,0.9214,0.8972,0.8826,0.9006,0.8561,0.8855,0.8976,WAVE-BOUNDED
4194304,Projection,StandingModePersistence,0.8317,0.8006,0.7902,0.7972,0.7896,0.7768,0.776,WAVE-BOUNDED
1,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
20,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
40,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
48,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
64,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
80,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
96,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
128,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
160,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
192,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
256,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
320,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
512,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
768,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1024,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1536,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2048,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
3072,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4096,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6144,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8192,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12288,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16384,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24576,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32768,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
65536,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
131072,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
262144,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
524288,Projection,OscillatoryTransportStability,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1048576,Projection,OscillatoryTransportStability,0.96,0.9532,0.94,0.9293,0.92,0.91,0.93,WAVE-STABLE
2097152,Projection,OscillatoryTransportStability,0.9352,0.8952,0.9132,0.8644,0.8954,0.8547,0.8721,WAVE-BOUNDED
4194304,Projection,OscillatoryTransportStability,0.8302,0.8204,0.7972,0.7793,0.8144,0.7653,0.8012,WAVE-BOUNDED
1,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
20,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
40,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
48,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
64,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
80,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
96,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
128,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
160,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
192,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
256,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
320,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
512,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
768,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1024,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1536,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2048,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
3072,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4096,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6144,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8192,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12288,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16384,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24576,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32768,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
65536,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
131072,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
262144,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
524288,Projection,ConstructiveDestructiveInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1048576,Projection,ConstructiveDestructiveInteraction,0.96,0.9496,0.94,0.93,0.92,0.8975,0.93,WAVE-STABLE
2097152,Projection,ConstructiveDestructiveInteraction,0.9431,0.9068,0.9004,0.8765,0.8882,0.8681,0.916,WAVE-STABLE
4194304,Projection,ConstructiveDestructiveInteraction,0.8472,0.8003,0.8254,0.8033,0.8025,0.7704,0.8275,WAVE-BOUNDED
1,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
20,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
40,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
48,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
64,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
80,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
96,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
128,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
160,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
192,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
256,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
320,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
512,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
768,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1024,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1536,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2048,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
3072,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4096,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6144,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8192,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12288,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16384,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24576,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32768,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
65536,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
131072,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
262144,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
524288,Projection,RecursiveModeSynchronization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1048576,Projection,RecursiveModeSynchronization,0.96,0.9394,0.94,0.93,0.9158,0.91,0.93,WAVE-STABLE
2097152,Projection,RecursiveModeSynchronization,0.9164,0.9059,0.9095,0.8865,0.8561,0.8961,0.8889,WAVE-STABLE
4194304,Projection,RecursiveModeSynchronization,0.8488,0.8044,0.7922,0.7842,0.7804,0.7947,0.7982,WAVE-BOUNDED
1,Projection,NullWaveControl,0.7533,0.7065,0.7151,0.7035,0.6991,0.6749,0.6954,WAVE-PARTIAL
