domain,sys_idx,process_regime,observer_level,base_observer_continuity,fail_temporal_continuity,fail_closure_feedback,fail_reconstruction,fail_recursive_alignment,fail_closure_persistence,fail_all,fail_temporal_continuity_collapse_ratio,fail_closure_feedback_collapse_ratio,fail_reconstruction_collapse_ratio,fail_recursive_alignment_collapse_ratio,fail_closure_persistence_collapse_ratio,fail_all_collapse_ratio
branching,12,CH,0,0.0142956691542666,7.147836006699429e-06,0.0085974154308055,0.014295669155696166,0.010436839179455417,0.0085974154308055,0.000142956691542666,0.000500000099999945,0.6014000000999999,1.0000000001,0.7300700000000001,0.6014000000999999,0.01
branching,13,CH,0,0.0114337535251866,1.9437382136192973e-05,0.006918564259233787,0.011433753526329976,0.008918830834800657,0.006918564259233787,0.00011433753525186601,0.0017000001000000349,0.6051000001,1.0000000001,0.780044,0.6051000001,0.01
branching,14,CG,0,0.0018692666666666,1.6636473520259442e-05,0.0014954133335202068,0.0018692666668535267,0.0016072048263332762,0.0014954133335202068,1.8692666666666e-05,0.008900000100000019,0.8000000001,1.0000000001,0.859805,0.8000000001,0.01
branching,15,CG,3,0.1154112357492326,0.00011541124729035628,0.046326070041283085,0.046164494311234164,0.06419992352146137,0.046326070041283085,0.001154112357492326,0.001000000100000001,0.4014000001,0.40000000010000003,0.5562710000000001,0.4014000001,0.01
branching,16,CH,0,0.0051934204141333,1.454157767891541e-05,0.00349621062331388,0.005193420414652643,0.004435778277017463,0.00349621062331388,5.1934204141333e-05,0.0028000001000000247,0.6732000001,1.0000000001,0.8541149999999998,0.6732000001,0.01
branching,17,CH,0,0.0118316440348166,5.915823200572053e-06,0.0071096349017044595,0.011831644035999764,0.009195021319877894,0.0071096349017044595,0.000118316440348166,0.000500000099999945,0.6009000001,1.0000000001,0.7771549999999999,0.6009000001,0.01
branching,18,CH,0,0.0231926216850766,1.1596313161799192e-05,0.012410371866003751,0.023192621687395863,0.015726383334351685,0.012410371866003751,0.000231926216850766,0.000500000099999945,0.5351000001,1.0000000001,0.678077,0.5351000001,0.01
branching,19,CH,0,0.019293487752,1.5434792130949218e-05,0.010379896412505349,0.019293487753929348,0.01406159550433915,0.010379896412505349,0.00019293487752,0.0008000001000000231,0.5380000001,1.0000000001,0.728826,0.5380000001,0.01
branching,20,CH,0,0.0120070795652266,4.802833026798068e-06,0.00724987464268453,0.012007079566427308,0.009251791003234922,0.00724987464268453,0.000120070795652266,0.000400000099999956,0.6038000001,1.0000000001,0.770528,0.6038000001,0.01
branching,21,CH,0,0.00483028449981,1.4007825532477515e-05,0.0032309773024059374,0.004830284500293028,0.004191803003771615,0.0032309773024059374,4.8302844998099994e-05,0.0029000001000000137,0.6689000001000001,1.0000000001,0.8678170000000001,0.6689000001000001,0.01
branching,22,CH,0,0.0209628125,1.0481408346280097e-05,0.011267511720846281,0.020962812502096282,0.014799745625,0.011267511720846281,0.00020962812500000002,0.000500000099999945,0.5375000001,1.0000000001,0.706,0.5375000001,0.01
branching,23,CG,0,0.0863741306514099,8.637413928882305e-05,0.02942766632157277,0.08637413066004732,0.03488417926857687,0.02942766632157277,0.000863741306514099,0.001000000100000001,0.3407000001,1.0000000001,0.403873,0.3407000001,0.01
branching,24,CH,0,0.0238706754245066,9.548272556869131e-06,0.01284719751585652,0.023870675426893667,0.015854950358308133,0.01284719751585652,0.00023870675424506602,0.0004000000999999559,0.5382000001,1.0000000001,0.664202,0.5382000001,0.01
branching,25,CH,0,0.0230647467296666,6.91942632537389e-06,0.012385768996137437,0.023064746731973073,0.015619884715518085,0.012385768996137437,0.000230647467296666,0.00030000009999996694,0.5370000000999999,1.0000000001,0.677219,0.5370000000999999,0.01
branching,26,CH,0,0.03175526641986,3.810632287935797e-05,0.015188543931794562,0.03175526642303553,0.02064022455704776,0.015188543931794562,0.0003175526641986,0.001200000099999979,0.47830000009999996,1.0000000001,0.649978,0.47830000009999996,0.01
branching,27,CL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
branching,28,CG,0,0.10775074161519,0.00010775075239026426,0.029103475321037894,0.10775074162596507,0.04237222488498216,0.029103475321037894,0.0010775074161519,0.001000000100000001,0.2701000001,1.0000000001,0.393243,0.2701000001,0.01
branching,29,CG,0,0.001229,1.2290012289998647e-07,0.0009832000001229002,0.0012290000001229,0.001115716925,0.0009832000001229002,1.2290000000000001e-05,0.00010000009999998898,0.8000000001000002,1.0000000001,0.907825,0.8000000001000002,0.01
branching,30,CG,0,0.0014530533333333,1.453054786386473e-07,0.0011624426668119454,0.0014530533334786053,0.0012947010341199702,0.0011624426668119454,1.4530533333332999e-05,0.00010000009999998898,0.8000000001,1.0000000001,0.891021,0.8000000001,0.01
branching,31,CH,0,0.0027375539810666,6.843885226421752e-06,0.001837172476967551,0.0027375539813403555,0.0025297188828240238,0.001837172476967551,2.7375539810666003e-05,0.0025000000999999467,0.6711000001,1.0000000001,0.92408,0.6711000001,0.01
branching,32,CH,0,0.0137668671161666,5.506748223152745e-06,0.008308304305983229,0.013766867117543286,0.010150228523546937,0.008308304305983229,0.000137668671161666,0.0004000000999999559,0.6035000000999999,1.0000000001,0.737294,0.6035000000999999,0.010000000000000002
branching,33,CH,0,0.0122952190926,4.9180877599921946e-05,0.007418935201704361,0.012295219093829522,0.009411928739289838,0.007418935201704361,0.000122952190926,0.004000000100000003,0.6034000001,1.0000000001,0.765495,0.6034000001,0.01
branching,34,CG,0,0.0055986208485899,5.598626447210131e-07,0.0037326005203147487,0.005598620849149762,0.004752148566629047,0.0037326005203147487,5.5986208485899005e-05,0.00010000009999998897,0.6667000001000001,1.0000000001,0.848807,0.6667000001000001,0.01
branching,35,CH,0,0.0271253838114133,2.7125386523951706e-05,0.014571756186203764,0.02712538381412584,0.016819473987640176,0.014571756186203764,0.000271253838114133,0.001000000100000001,0.5372000001,1.0000000001,0.620064,0.5372000001,0.01
branching,36,CH,0,0.0060684325942933,1.6991611870864648e-05,0.004064636152264495,0.006068432594900143,0.005055174267158959,0.004064636152264495,6.0684325942933e-05,0.0028000001000000247,0.6698000001,1.0000000001,0.833028,0.6698000001,0.01
branching,37,CG,0,0.0015826266666666,1.076186149159559e-05,0.0012661013334915427,0.0015826266668248626,0.0013947736292132743,0.0012661013334915427,1.5826266666666e-05,0.006800000100000028,0.8000000001,1.0000000001,0.881303,0.8000000001,0.01
branching,38,CH,0,0.03524067129,1.762033916906519e-05,0.016580735845469066,0.03524067129352407,0.021952118959966797,0.016580735845469066,0.0003524067129,0.000500000099999945,0.4705000001,1.0000000001,0.6229199999999999,0.4705000001,0.01
branching,39,CG,0,0.07563115326566,0.00013613608344130513,0.02649359299652381,0.07563115327322312,0.0349777444999959,0.02649359299652381,0.0007563115326566,0.0018000001000000238,0.35030000009999995,1.0000000001,0.4624779999999999,0.35030000009999995,0.01
branching,40,CG,0,0.0578185623266066,5.781856810846289e-05,0.02313320679265716,0.057818562332388454,0.029951056019304097,0.02313320679265716,0.000578185623266066,0.001000000100000001,0.4001000001,1.0000000001,0.518018,0.4001000001,0.01
branching,41,CH,0,0.0060392579623333,1.9929551879625504e-05,0.004040263577404904,0.006039257962937226,0.005040563990876129,0.004040263577404904,6.0392579623333e-05,0.0033000000999999697,0.6690000001,1.0000000001,0.834633,0.6690000001,0.01
branching,42,CL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
branching,43,CH,0,0.0063104903875199,2.0824618909864516e-05,0.004241911639121926,0.006310490388150949,0.005198682949085094,0.004241911639121926,6.3104903875199e-05,0.0033000000999999697,0.6722000000999999,1.0000000001,0.823816,0.6722000000999999,0.009999999999999998
branching,44,CH,0,0.0141817252047999,5.672691500091856e-06,0.008526053194543873,0.014181725206218073,0.010387971895263878,0.008526053194543873,0.000141817252047999,0.0004000000999999559,0.6012000001,1.0000000001,0.73249,0.6012000001,0.01
branching,45,CG,0,0.0791438676041666,8.705826227896922e-05,0.026711055324320616,0.07914386761208099,0.03633004269728142,0.026711055324320616,0.000791438676041666,0.00110000009999999,0.33750000010000003,1.0000000001,0.4590379999999999,0.33750000010000003,0.01
branching,46,CH,0,0.0212217565424799,6.366529084918922e-06,0.01134515104973193,0.021221756544602077,0.014983960754922615,0.01134515104973193,0.000212217565424799,0.00030000009999996694,0.5346000001,1.0000000001,0.7060660000000001,0.5346000001,0.01
branching,47,CH,0,0.0333844319901733,2.003066253254868e-05,0.0156339295043366,0.03338443199351174,0.02155739603787858,0.0156339295043366,0.00033384431990173295,0.000600000100000045,0.4683000001000001,1.0000000001,0.645732,0.4683000001000001,0.01
branching,48,CH,0,0.02463002125,9.852010963001038e-06,0.013238636424338,0.024630021252463,0.01612202374957,0.013238636424338,0.0002463002125,0.0004000000999999559,0.5375000001,1.0000000001,0.654568,0.5375000001,0.01
branching,49,CH,0,0.0122583162160833,8.580822577090348e-06,0.0073733772051999364,0.012258316217309132,0.009419572121711378,0.0073733772051999364,0.000122583162160833,0.000700000100000034,0.6015000000999999,1.0000000001,0.768423,0.6015000000999999,0.009999999999999998
branching,50,CH,0,0.02591502464928,1.5549017381071632e-05,0.013988930308272848,0.025915024651871503,0.01640172276062791,0.013988930308272848,0.0002591502464928,0.0006000001000000451,0.5398000001000001,1.0000000001,0.632904,0.5398000001000001,0.01
branching,51,CH,0,0.0134711516270933,6.735577160661072e-06,0.008147352505413144,0.013471151628440415,0.009985396845521518,0.008147352505413144,0.000134711516270933,0.000500000099999945,0.6048000001,1.0000000001,0.741243,0.6048000001,0.01
branching,52,CH,0,0.01350719094744,6.753596824438352e-06,0.008123224637141135,0.01350719094879072,0.010062289953823007,0.008123224637141135,0.00013507190947440001,0.000500000099999945,0.6014000000999999,1.0000000001,0.7449579999999999,0.6014000000999999,0.01
branching,53,CH,0,0.0220464615624999,1.1023232985894894e-05,0.011849973092048343,0.022046461564704547,0.015229739740298056,0.011849973092048343,0.000220464615624999,0.000500000099999945,0.5375000001,1.0000000001,0.690802,0.5375000001,0.01
branching,54,CH,0,0.01370350884175,5.48140490705028e-06,0.008283771096208226,0.013703508843120351,0.010101938944452424,0.008283771096208226,0.0001370350884175,0.0004000000999999559,0.6045000001,1.0000000001,0.737179,0.6045000001,0.01
branching,55,CG,0,0.0296568133333333,2.9656842990143366e-06,0.017794088002965662,2.96568133333333e-12,0.024141387473666637,0.017794088002965662,0.000296568133333333,0.00010000009999998898,0.6000000001,1e-10,0.814025,0.6000000001,0.01
branching,56,CL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
branching,57,CH,0,0.0220625613547966,6.618770612694386e-06,0.011827739144512715,0.022062561357002856,0.015277022047076712,0.011827739144512715,0.000220625613547966,0.00030000009999996694,0.5361000001,1.0000000001,0.692441,0.5361000001,0.01
branching,58,CL,0,6.096e-05,1.8288006095997983e-08,3.6576000006096e-05,6.0960000006096e-05,6.082064544e-05,3.6576000006096e-05,6.096e-07,0.00030000009999996694,0.6000000001,1.0000000001,0.997714,0.6000000001,0.01
branching,59,CG,0,0.0795835974104099,8.754196510980984e-05,0.026652546780704636,0.07958359741836826,0.03663049946527124,0.026652546780704636,0.0007958359741040991,0.00110000009999999,0.3349000001,1.0000000001,0.46027700000000005,0.3349000001,0.01
branching,60,CH,0,0.0227567806154,9.102714521837058e-06,0.012165774919268516,0.02275678061767568,0.015583957149328996,0.012165774919268516,0.000227567806154,0.0004000000999999559,0.5346000001,1.0000000001,0.684805,0.5346000001,0.01
branching,61,CG,0,0.0536227850044902,0.000107245575371259,0.025733574529017124,0.04611559510922385,0.02868191611155673,0.025733574529017124,0.000536227850044902,0.002000000100000002,0.4799000001,0.8600000001,0.534883,0.4799000001,0.01
branching,62,CG,3,0.1698464635966771,0.00016984648058132362,0.06821033979741016,0.01698464637665235,0.08325177275008365,0.06821033979741016,0.001698464635966771,0.001000000100000001,0.40160000009999997,0.10000000009999997,0.490159,0.40160000009999997,0.01
branching,63,CH,0,0.0154133493602399,1.541335090157485e-05,0.009268046971853586,0.015413349361781235,0.010929790991538436,0.009268046971853586,0.000154133493602399,0.001000000100000001,0.6013000001,1.0000000001,0.709112,0.6013000001,0.01
branching,64,CH,0,0.02235658148409,1.1178292977701919e-05,0.01207031834549585,0.02235658148632566,0.01527341284223022,0.01207031834549585,0.00022356581484090003,0.000500000099999945,0.5399000001,1.0000000001,0.683173,0.5399000001,0.01
branching,65,CH,0,0.0178189307342433,2.4946504809832924e-05,0.010775107416778815,0.017818930736025192,0.011723127986850868,0.010775107416778815,0.00017818930734243298,0.0014000000999999569,0.6047000001,1.0000000001,0.657903,0.6047000001,0.01
branching,66,CH,0,0.0228078044938333,1.1403904527695845e-05,0.01219077150423468,0.02280780449611408,0.015605875300033536,0.01219077150423468,0.00022807804493833302,0.000500000099999945,0.5345000001,1.0000000001,0.684234,0.5345000001,0.01
branching,67,CG,3,0.1473603634437697,0.0002799847052792007,0.06209765716994059,0.022104054531301497,0.07500775123614978,0.06209765716994059,0.0014736036344376972,0.001900000100000013,0.4214000001,0.15000000010000003,0.509009,0.4214000001,0.01
branching,68,CH,0,0.01377329019984,5.509317457264412e-06,0.008302539333840881,0.013773290201217328,0.010166024176631304,0.008302539333840881,0.0001377329019984,0.0004000000999999559,0.6028000001,1.0000000001,0.738097,0.6028000001,0.01
branching,69,CH,0,0.0038698339768933,1.122251891997402e-05,0.002587757980735533,0.003869833977280283,0.0034605138974893417,0.002587757980735533,3.8698339768933e-05,0.0029000001000000137,0.6687000001000001,1.0000000001,0.894228,0.6687000001000001,0.01
branching,70,CG,0,0.0645990098441014,0.00014857772910133218,0.031433878196599645,0.04263534650356682,0.03626659471558681,0.031433878196599645,0.000645990098441014,0.0023000000999999688,0.48660000010000004,0.6600000000999999,0.561411,0.48660000010000004,0.01
branching,71,CH,0,0.0339386484422199,2.0363192459198312e-05,0.015961346365769888,0.03393864844561377,0.0216231953273978,0.015961346365769888,0.00033938648442219903,0.000600000100000045,0.4703000001000001,1.0000000001,0.6371260000000001,0.4703000001000001,0.01
branching,72,CG,3,0.0482766231512222,4.827667142784003e-06,0.02574592313137446,4.82766231512222e-12,0.0375404814818682,0.02574592313137446,0.000482766231512222,0.00010000009999998897,0.5333000001,1e-10,0.7776120000000001,0.5333000001,0.01
branching,73,CG,0,0.0138766399999999,0.00012350209738766336,0.008325984001387603,0.013876640001387565,0.010266118668319927,0.008325984001387603,0.00013876639999999902,0.008900000100000019,0.6000000001,1.0000000001,0.739813,0.6000000001,0.010000000000000002
branching,74,CL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
branching,75,CH,0,0.0235763957979477,0.0006648543638597649,0.012075829930066452,0.02357639580030534,0.014019633032062205,0.012075829930066452,0.00023576395797947702,0.028200000100000008,0.5122000001,1.0000000001,0.5946469999999999,0.5122000001,0.01
branching,76,CG,3,0.1442401753509671,0.00033175241773123734,0.059239440031066196,0.014424017549520721,0.07983232137114907,0.059239440031066196,0.001442401753509671,0.0023000000999999688,0.41070000009999996,0.10000000009999997,0.5534680000000001,0.41070000009999996,0.01
branching,77,CH,0,0.0072511090934333,1.0151553455917216e-05,0.004850266873322646,0.007251109094158411,0.00581227151602333,0.004850266873322646,7.2511090934333e-05,0.0014000000999999569,0.6689000001000001,1.0000000001,0.80157,0.6689000001000001,0.010000000000000002
branching,78,CH,0,0.01325616784272,5.3024684627042e-06,0.007959003174094707,0.013256167844045617,0.009954705985322741,0.007959003174094707,0.0001325616784272,0.0004000000999999559,0.6004000001,1.0000000001,0.750949,0.6004000001,0.01
branching,79,CH,0,0.0298767532753066,6.871653552087958e-05,0.014113778250242515,0.029876753278294275,0.020256677734684075,0.014113778250242515,0.000298767532753066,0.0023000000999999688,0.47240000010000005,1.0000000001,0.6780079999999999,0.47240000010000005,0.01
branching,80,CH,0,0.02050737792768,8.202953221808888e-06,0.010983751620116148,0.020507377929730737,0.014657361270518292,0.010983751620116148,0.0002050737792768,0.0004000000999999559,0.5356000001000001,1.0000000001,0.714736,0.5356000001000001,0.01
branching,81,CH,0,0.0227103192506666,1.3626193821432907e-05,0.012127310482126999,0.022710319252937632,0.015585138268323962,0.012127310482126999,0.00022710319250666603,0.000600000100000045,0.5340000001,1.0000000001,0.686258,0.5340000001,0.01
branching,82,CH,0,0.0034429362806794,0.00014907914129771166,0.002599761185885309,0.0034429362810236936,0.002829584068148926,0.002599761185885309,3.4429362806794e-05,0.043300000100000006,0.7551000001000001,1.0000000001,0.8218519999999999,0.7551000001000001,0.01
branching,83,CH,0,0.0205721156796266,1.2343271464988453e-05,0.01103488285260892,0.020572115681683812,0.014664770945874784,0.01103488285260892,0.000205721156796266,0.000600000100000045,0.5364000001,1.0000000001,0.712847,0.5364000001,0.01
branching,84,CH,0,0.0344410975086933,2.410877170019623e-05,0.016180427613028223,0.03444109751213741,0.021782203237178062,0.016180427613028223,0.000344410975086933,0.000700000100000034,0.4698000001,1.0000000001,0.632448,0.4698000001,0.01
branching,85,CG,0,0.0318341712,3.183420303416769e-06,0.019100502723183414,3.18341712e-12,0.025479147437515195,0.019100502723183414,0.00031834171199999995,0.00010000009999998898,0.6000000001,1e-10,0.8003709999999999,0.6000000001,0.01
branching,86,CL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
branching,87,CH,0,0.0236721989893866,2.367220135660652e-05,0.012887145132189285,0.02367219899175382,0.015573205876948774,0.012887145132189285,0.000236721989893866,0.001000000100000001,0.5444000001,1.0000000001,0.657869,0.5444000001,0.01
branching,88,CH,0,0.0342246310271199,1.3689855833309554e-05,0.01624300988889357,0.034224631030542366,0.021494916415106764,0.01624300988889357,0.000342246310271199,0.0004000000999999559,0.47460000010000003,1.0000000001,0.628054,0.47460000010000003,0.01
branching,89,CH,0,0.0136105750266666,1.7693748895723645e-05,0.008248008467521016,0.013610575028027656,0.010030585477402484,0.008248008467521016,0.00013610575026666599,0.0013000000999999679,0.6060000001,1.0000000001,0.73697,0.6060000001,0.01
branching,90,CH,0,0.0316304802581333,2.214133934374241e-05,0.014954891069208474,0.03163048026129635,0.020831517993204013,0.014954891069208474,0.00031630480258133304,0.000700000100000034,0.4728000001,1.0000000001,0.65859,0.4728000001,0.01
branching,91,CH,0,0.0058955439285233,1.8276186767976575e-05,0.003989514577021272,0.005895543929112855,0.004897941253746087,0.003989514577021272,5.895543928523301e-05,0.0031000000999999917,0.6767000001000001,1.0000000001,0.8307869999999999,0.6767000001000001,0.01
branching,92,CH,0,0.0240827351812666,7.224822962652702e-06,0.012951694982893452,0.024082735183674875,0.015938074556638142,0.012951694982893452,0.000240827351812666,0.00030000009999996694,0.5378000001000001,1.0000000001,0.661805,0.5378000001000001,0.01
branching,93,CH,0,0.0325023650201599,1.9501422262333903e-05,0.015393120076797965,0.03250236502341013,0.021065172797945873,0.015393120076797965,0.000325023650201599,0.000600000100000045,0.47360000010000003,1.0000000001,0.648112,0.47360000010000003,0.01
branching,94,CH,0,0.0145489270101333,7.274464959958551e-06,0.008775912773967299,0.014548927011588194,0.010515818953654249,0.008775912773967299,0.000145489270101333,0.000500000099999945,0.6032000001,1.0000000001,0.72279,0.6032000001,0.01
branching,95,CH,0,0.0141981084250566,5.6792447898328565e-06,0.008577077300996504,0.01419810842647641,0.010339673073788493,0.008577077300996504,0.000141981084250566,0.0004000000999999559,0.6041000001000001,1.0000000001,0.728243,0.6041000001000001,0.01
branching,96,CG,0,0.1374365866666666,0.001154467341743653,0.027487317347076975,0.13743658668041028,0.04889526469205332,0.027487317347076975,0.0013743658666666662,0.008400000099999963,0.20000000009999996,1.0000000001,0.355766,0.20000000009999996,0.01
branching,97,CH,0,0.0219436613969066,6.583100613437394e-06,0.01174424758181878,0.021943661399100967,0.015257032783364015,0.01174424758181878,0.000219436613969066,0.00030000009999996694,0.5352000001,1.0000000001,0.695282,0.5352000001,0.01
branching,98,CH,0,0.0091622537641066,3.2067889090597995e-05,0.005650361897240766,0.009162253765022825,0.007448106031887424,0.005650361897240766,9.1622537641066e-05,0.0035000000999999476,0.6167000001,1.0000000001,0.812912,0.6167000001,0.01
branching,99,CG,0,0.0817352588129866,8.990879286781031e-05,0.027773640952826372,0.08173525882116013,0.03575312732152947,0.027773640952826372,0.000817352588129866,0.00110000009999999,0.3398000001,1.0000000001,0.4374259999999999,0.3398000001,0.01
branching,100,CH,0,0.02101367031401,1.2608204289773976e-05,0.01132846966838416,0.021013670316111368,0.014777590470613451,0.01132846966838416,0.0002101367031401,0.000600000100000045,0.5391000001,1.0000000001,0.703237,0.5391000001,0.01
branching,101,CH,0,0.013436405199,8.061844463041125e-06,0.008075279525942641,0.013436405200343641,0.010034347711828798,0.008075279525942641,0.00013436405199000002,0.000600000100000045,0.6010000001,1.0000000001,0.746803,0.6010000001,0.010000000000000002
branching,102,CH,0,0.01338385661184,5.353543983121071e-06,0.00805172813902133,0.013383856613178386,0.00999818255631267,0.00805172813902133,0.00013383856611840002,0.0004000000999999559,0.6016000001,1.0000000001,0.7470330000000001,0.6016000001,0.010000000000000002
branching,103,CH,0,0.0218786117706666,8.751446896126853e-06,0.011683178687723826,0.02187861177285446,0.01526575760575908,0.011683178687723826,0.000218786117706666,0.0004000000999999559,0.5340000001,1.0000000001,0.697748,0.5340000001,0.01
branching,104,CG,0,0.0312728485333333,3.1272879806178387e-06,0.018763709123127265,3.1272848533333302e-12,0.02513996148030984,0.018763709123127265,0.000312728485333333,0.00010000009999998898,0.6000000001,1e-10,0.803891,0.6000000001,0.01
branching,105,CG,0,0.0834289451705999,9.177184803055356e-05,0.029316931341291704,0.0834289451789428,0.03379247709662563,0.029316931341291704,0.000834289451705999,0.00110000009999999,0.35140000010000005,1.0000000001,0.40504499999999993,0.35140000010000005,0.01
branching,106,CH,0,0.00685389490812,8.910064065945272e-06,0.004596221926070661,0.00685389490880539,0.005555074969136352,0.004596221926070661,6.853894908120001e-05,0.0013000000999999679,0.6706000001,1.0000000001,0.810499,0.6706000001,0.01
branching,107,CH,0,0.0063437645016666,9.515647386876006e-06,0.004243978452249332,0.006343764502300976,0.005241820888904603,0.004243978452249332,6.3437645016666e-05,0.0015000000999999459,0.6690000001000002,1.0000000001,0.826295,0.6690000001000002,0.01
branching,108,CG,0,0.0087966478139099,7.125284817233494e-05,0.005864725098413397,0.008796647814789565,0.006706942549180906,0.005864725098413397,8.796647813909901e-05,0.008100000099999996,0.6667000001000001,1.0000000001,0.762443,0.6667000001000001,0.01
branching,109,CH,0,0.0023370991821476,0.00010353349400284861,0.0019295090850147685,0.0023370991823813097,0.0017797968482718654,0.0019295090850147685,2.3370991821476e-05,0.04430000010000001,0.8256000001,1.0000000001,0.761541,0.8256000001,0.01
branching,110,CH,0,0.0482265592271033,3.375859628162987e-05,0.019517288524031357,0.04822655923192595,0.028537632383605335,0.019517288524031357,0.000482265592271033,0.000700000100000034,0.40470000009999996,1.0000000001,0.5917410000000001,0.40470000009999996,0.01
branching,111,CH,0,0.00515840064441,7.221761418013842e-06,0.0034607709928505094,0.00515840064492584,0.004421352885134766,0.0034607709928505094,5.15840064441e-05,0.0014000000999999569,0.6709000001000001,1.0000000001,0.857117,0.6709000001000001,0.01
branching,112,CH,0,0.0281326395203733,1.6879586525489197e-05,0.015129733536870027,0.028132639523186564,0.017018333890338463,0.015129733536870027,0.000281326395203733,0.000600000100000045,0.5378000001000001,1.0000000001,0.604932,0.5378000001000001,0.01
branching,113,CG,0,0.1486412999532,0.0012783151944616576,0.019813885298625687,0.14864129996806413,0.06040187864898235,0.019813885298625687,0.001486412999532,0.008600000100000052,0.13330000009999998,1.0000000001,0.40636,0.13330000009999998,0.01
branching,114,CG,3,0.7407729626774644,0.005407642701622766,0.04940955668466415,7.407729626774644e-11,0.09937469294318184,0.04940955668466415,0.007407729626774644,0.007300000099999972,0.06670000009999998,1e-10,0.13415,0.06670000009999998,0.01
branching,115,CH,0,0.0252218705203333,1.5133124834388166e-05,0.013544144471941168,0.02522187052285549,0.016319332104641777,0.013544144471941168,0.00025221870520333303,0.000600000100000045,0.5370000000999999,1.0000000001,0.647031,0.5370000000999999,0.01
branching,116,CH,0,0.0132372476687999,9.266074691885146e-06,0.007979412896076305,0.013237247670123624,0.009905300058086278,0.007979412896076305,0.000132372476687999,0.000700000100000034,0.6028000001,1.0000000001,0.74829,0.6028000001,0.01
branching,117,CH,0,0.01139513775232,1.4813680217529408e-05,0.006864430983137082,0.011395137753459513,0.008930984793931809,0.006864430983137082,0.00011395137752319999,0.0013000000999999679,0.6024000001,1.0000000001,0.783754,0.6024000001,0.01
