recursive_closure,recursive_identity_score,recursive_continuity,reconstruction_ability,org_memory,trajectory_coherence,closure_persistence,operator_continuity,operator_reversibility,compositional_stability,transition_smoothness,null_observer_continuity,null_recursive_identity
0.011,0.2028,1.0,0.0,0.011,0.0,0.011,1.0,0.011,0.000191,1.0,0.003703293,0.011
0.0416,0.2104,1.0,0.0,0.0416,0.0,0.0416,1.0,0.0416,0.087936,1.0,0.01442907648,0.0416
0.339,0.2847,1.0,0.0,0.339,0.0,0.339,1.0,0.339,0.095963,0.9999,0.15115569300000004,0.339
0.0809,0.2202,1.0,0.0,0.0809,0.0,0.0809,1.0,0.0809,0.114316,0.9999,0.02911912173,0.0809
0.1765,0.2441,1.0,0.0,0.1765,0.0,0.1765,1.0,0.1765,0.021523,1.0,0.06914819925,0.1765
0.5,0.6095,0.6,0.9,0.5,0.06,0.5,0.6,0.5,0.086634,0.9997,0.333,0.5
0.0712,0.2178,1.0,0.0,0.0712,0.0,0.0712,1.0,0.0712,0.114918,0.9999,0.025397723520000002,0.0712
0.006,0.2015,1.0,0.0,0.006,0.0,0.006,1.0,0.006,0.004219,1.0,0.0020099880000000003,0.006
0.0875,0.2219,1.0,0.0,0.0875,0.0,0.0875,1.0,0.0875,0.051133,1.0,0.03168703125,0.0875
0.03,0.2075,1.0,0.0,0.03,0.0,0.03,1.0,0.03,0.01461,1.0,0.0102897,0.03
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.399,0.2997,1.0,0.0,0.399,0.0,0.399,1.0,0.399,0.253197,0.9994,0.18588093300000003,0.399
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.3024,0.2756,1.0,0.0,0.3024,0.0,0.3024,1.0,0.3024,0.098194,0.9999,0.13115063808,0.3024
0.4666,0.3166,1.0,0.0,0.4666,0.0,0.4666,1.0,0.4666,0.302725,0.9993,0.22787708148000002,0.4666
0.1525,0.6632,1.0,1.0,0.1525,0.18,0.1525,1.0,0.1525,0.063426,0.9999,0.10930933125,0.1525
0.1548,0.6303,1.0,1.0,0.1548,0.02,0.1548,1.0,0.1548,0.12668,0.9999,0.11107649232,0.1548
0.0464,0.1716,0.8,0.0,0.0464,0.0,0.0464,0.8,0.0464,0.000408,1.0,0.01307789568,0.0464
0.0388,0.0697,0.3,0.0,0.0388,0.0,0.0388,0.3,0.0388,0.07735,0.9994,0.00437743152,0.0388
0.065,0.2162,1.0,0.0,0.065,0.0,0.065,1.0,0.065,0.031088,0.9998,0.023051925,0.065
0.085,0.1412,0.6,0.0,0.085,0.0,0.085,0.6,0.085,0.032339,0.9998,0.019388925,0.085
0.0886,0.2222,1.0,0.0,0.0886,0.0,0.0886,1.0,0.0886,0.064137,0.9999,0.03211783668,0.0886
0.0758,0.219,1.0,0.0,0.0758,0.0,0.0758,1.0,0.0758,0.106378,0.9999,0.027154698120000004,0.0758
0.0724,0.2181,1.0,0.0,0.0724,0.0,0.0724,1.0,0.0724,0.082064,0.9999,0.025854706080000005,0.0724
0.2,0.4,1.0,0.0,0.2,1.0,0.2,1.0,0.2,0.092175,0.9999,0.07992,0.2
0.466,0.3165,1.0,0.0,0.466,0.0,0.466,1.0,0.466,0.152525,0.9998,0.22749094800000003,0.466
0.3179,0.2795,1.0,0.0,0.3179,0.0,0.3179,1.0,0.3179,0.012132,1.0,0.13951381653000003,0.3179
0.3,0.2683,0.9667,0.0,0.3,0.0,0.3,0.9667,0.3,0.047329,0.9999,0.12654333,0.3
0.156,0.219,0.9,0.0,0.156,0.0,0.156,0.9,0.156,0.102325,0.9999,0.054857088,0.156
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.4427,0.3107,1.0,0.0,0.4427,0.0,0.4427,1.0,0.4427,0.131283,0.9998,0.21268153557,0.4427
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.1381,0.2345,1.0,0.0,0.1381,0.0,0.1381,1.0,0.1381,0.108806,0.9999,0.05233814613,0.1381
0.13,0.2258,0.9667,0.0,0.13,0.0,0.13,0.9667,0.13,0.036329,0.9999,0.047476143000000005,0.13
0.386,0.2965,1.0,0.0,0.386,0.0,0.386,1.0,0.386,0.118104,0.9999,0.17815366800000002,0.386
0.6176,0.3544,1.0,0.0,0.6176,0.0,0.6176,1.0,0.6176,0.207181,1.0,0.33267691008000005,0.6176
0.0182,0.1845,0.9,0.0,0.0182,0.0,0.0182,0.9,0.0182,0.071043,0.9998,0.005564842920000001,0.0182
0.095,0.1904,0.8333,0.0,0.095,0.0,0.095,0.8333,0.095,0.028221,0.9999,0.029366770500000004,0.095
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,0.0,1.0,0.00016658325000000002,0.0005
0.45,0.1325,0.1,0.0,0.45,0.0,0.45,0.1,0.45,0.017512,0.9999,0.0824175,0.45
0.0015,0.1937,0.9667,0.0,0.0015,0.0,0.0015,0.9667,0.0015,0.000947,1.0,0.00048361590000000005,0.0015
0.095,0.0904,0.3333,0.0,0.095,0.0,0.095,0.3333,0.095,0.029406,0.9998,0.0135492705,0.095
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.024,0.206,1.0,0.0,0.024,0.0,0.024,1.0,0.024,0.013198,1.0,0.008183808,0.024
0.293,0.1333,0.3,0.0,0.293,0.0,0.293,0.3,0.293,0.042629,0.9997,0.057858416999999995,0.293
0.9954,0.4489,1.0,0.0,0.9954,0.0,0.9954,1.0,0.9954,0.032278,0.9998,0.6614116462799999,0.9954
1.0,0.45,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.002913,0.9997,0.666,1.0
0.05,0.1192,0.5333,0.0,0.05,0.0,0.05,0.5333,0.05,0.012507,1.0,0.009711945000000001,0.05
0.0759,0.219,1.0,0.0,0.0759,0.0,0.0759,1.0,0.0759,0.108631,0.9999,0.027193049730000002,0.0759
0.008,0.202,1.0,0.0,0.008,0.0,0.008,1.0,0.008,0.005898,1.0,0.002685312,0.008
0.0139,0.1968,0.9667,0.0,0.0139,0.0,0.0139,0.9667,0.0139,0.006088,1.0,0.00453890322,0.0139
0.0199,0.205,1.0,0.0,0.0199,0.0,0.0199,1.0,0.0199,0.000287,1.0,0.006758571330000001,0.0199
0.1241,0.231,1.0,0.0,0.1241,0.0,0.1241,1.0,0.1241,0.119408,0.9999,0.046453769730000004,0.1241
0.14,0.6663,1.0,1.0,0.14,0.22,0.14,1.0,0.14,0.054298,0.9999,0.09976680000000002,0.14
0.0106,0.2026,1.0,0.0,0.0106,0.0,0.0106,1.0,0.0106,0.000244,1.0,0.00356721588,0.0106
0.0005,0.1935,0.9667,0.0,0.0005,0.0,0.0005,0.9667,0.0005,1e-06,1.0,0.00016103880000000001,0.0005
0.5333,0.6682,0.7,0.98,0.5333,0.04,0.5333,0.7,0.5333,0.138083,0.9989,0.39305751237,0.5333
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.1514,0.2379,1.0,0.0,0.1514,0.0,0.1514,1.0,0.1514,0.13366,1.0,0.05804921268000001,0.1514
0.0155,0.1772,0.8667,0.0,0.0155,0.0,0.0155,0.8667,0.0155,0.000529,1.0,0.004553475300000001,0.0155
1.0,0.459,1.0,0.0,1.0,0.06,1.0,1.0,1.0,0.221745,0.999,0.666,1.0
0.3996,0.2999,1.0,0.0,0.3996,0.0,0.3996,1.0,0.3996,0.249051,0.9996,0.18624029328000002,0.3996
0.016,0.204,1.0,0.0,0.016,0.0,0.016,1.0,0.016,0.006516,1.0,0.005413248,0.016
0.0252,0.0463,0.2,0.0,0.0252,0.0,0.0252,0.2,0.0252,0.021848,0.9999,0.0018897883200000001,0.0252
0.0,0.1667,0.8333,0.0,0.0,0.0,0.0,0.8333,0.0,0.000739,0.9999,0.0,0.0
0.45,0.2858,0.8667,0.0,0.45,0.0,0.45,0.8667,0.45,0.052208,0.9999,0.19730749500000003,0.45
0.3502,0.2809,0.9667,0.0,0.3502,0.0,0.3502,0.9667,0.3502,0.124238,0.9998,0.15357240054000001,0.3502
0.8758,0.8203,1.0,1.0,0.8758,0.08,0.8758,1.0,0.8758,0.147942,0.9998,0.8387023381200001,0.8758
0.5,0.6922,0.8,1.0,0.5,0.06,0.5,0.8,0.5,0.074693,0.9999,0.38295,0.5
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.12,0.2233,0.9667,0.0,0.12,0.0,0.12,0.9667,0.12,0.032956,0.9999,0.043424532,0.12
0.5009,0.3252,1.0,0.0,0.5009,0.0,0.5009,1.0,0.5009,0.122585,0.9999,0.25034966973000006,0.5009
0.03,0.2008,0.9667,0.0,0.03,0.0,0.03,0.9667,0.03,0.015105,1.0,0.009957033,0.03
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.0159,0.204,1.0,0.0,0.0159,0.0,0.0159,1.0,0.0159,0.006834,1.0,0.0053788857300000005,0.0159
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,0.0,1.0,0.00016658325000000002,0.0005
0.0,0.1933,0.9667,0.0,0.0,0.0,0.0,0.9667,0.0,0.00338,0.955,0.0,0.0
0.9336,0.826,1.0,1.0,0.9336,0.02,0.9336,1.0,0.9336,0.15323,0.9999,0.91202338368,0.9336
0.2086,0.2522,1.0,0.0,0.2086,0.0,0.2086,1.0,0.2086,0.016415,1.0,0.08395394868,0.2086
0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.5e-05,1.0,0.0,0.0
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.3907,0.291,0.9667,0.0,0.3907,0.0,0.3907,0.9667,0.3907,0.138572,0.9998,0.17660194793999998,0.3907
0.2941,0.2735,1.0,0.0,0.2941,0.0,0.2941,1.0,0.2941,0.001797,1.0,0.12673807173,0.2941
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.8228,0.4057,1.0,0.0,0.8228,0.0,0.8228,1.0,0.8228,0.195126,0.9999,0.49943334672,0.8228
0.0797,0.2199,1.0,0.0,0.0797,0.0,0.0797,1.0,0.0797,0.099346,0.9999,0.02865534597,0.0797
0.135,0.1937,0.8,0.0,0.135,0.0,0.135,0.8,0.135,0.067279,0.9999,0.042032925000000006,0.135
0.024,0.206,1.0,0.0,0.024,0.0,0.024,1.0,0.024,0.011916,1.0,0.008183808,0.024
0.0,0.02,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.000363,1.0,0.0,0.0
0.9992,0.4498,1.0,0.0,0.9992,0.0,0.9992,1.0,0.9992,0.024098,0.9999,0.66520101312,0.9992
0.032,0.208,1.0,0.0,0.032,0.0,0.032,1.0,0.032,0.017575,1.0,0.010996992,0.032
1.0,0.45,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.018066,1.0,0.666,1.0
0.6164,0.746,1.0,1.0,0.6164,0.02,0.6164,1.0,0.6164,0.122858,0.9999,0.53704540368,0.6164
0.2769,0.1026,0.1667,0.0,0.2769,0.0,0.2769,0.1667,0.2769,0.071441,0.9992,0.040903335719999996,0.2769
0.3331,0.2833,1.0,0.0,0.3331,0.0,0.3331,1.0,0.3331,0.101376,0.998,0.14787051813000002,0.3331
0.5129,0.3282,1.0,0.0,0.5129,0.0,0.5129,1.0,0.5129,0.192132,0.9999,0.25839681453,0.5129
0.195,0.3597,1.0,0.0,0.195,0.74,0.195,1.0,0.195,0.09084,0.9999,0.07759732500000001,0.195
0.0715,0.2179,1.0,0.0,0.0715,0.0,0.0715,1.0,0.0715,0.09771,0.9999,0.02551187925,0.0715
0.0773,0.2193,1.0,0.0,0.0773,0.0,0.0773,1.0,0.0773,0.001176,1.0,0.02773067157,0.0773
0.1165,0.2291,1.0,0.0,0.1165,0.0,0.1165,1.0,0.1165,0.126718,1.0,0.04331405925,0.1165
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,0.0,1.0,0.00016658325000000002,0.0005
0.006,0.2015,1.0,0.0,0.006,0.0,0.006,1.0,0.006,0.004289,1.0,0.0020099880000000003,0.006
0.2799,0.6822,1.0,1.0,0.2799,0.1,0.2799,1.0,0.2799,0.0944,0.9998,0.21250195533,0.2799
0.8602,0.4017,0.9333,0.0,0.8602,0.0,0.8602,0.9333,0.8602,0.123716,0.9999,0.5137419771,0.8602
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,0.0,1.0,0.00016658325000000002,0.0005
0.1675,0.3469,1.0,0.0,0.1675,0.7,0.1675,1.0,0.1675,0.08193,0.9999,0.06512023125000001,0.1675
0.1518,0.238,1.0,0.0,0.1518,0.0,0.1518,1.0,0.1518,0.101313,1.0,0.05822279892,0.1518
0.008,0.202,1.0,0.0,0.008,0.0,0.008,1.0,0.008,0.003405,1.0,0.002685312,0.008
0.7715,0.3929,1.0,0.0,0.7715,0.0,0.7715,1.0,0.7715,0.21426,1.0,0.45511517925,0.7715
0.4606,0.3152,1.0,0.0,0.4606,0.0,0.4606,1.0,0.4606,0.320222,0.9994,0.22402653588000002,0.4606
0.35,0.2808,0.9667,0.0,0.35,0.0,0.35,0.9667,0.35,0.046469,0.9999,0.153461385,0.35
0.0986,0.2247,1.0,0.0,0.0986,0.0,0.0986,1.0,0.0986,0.032214,1.0,0.03607121268,0.0986
0.026,0.1932,0.9333,0.0,0.026,0.0,0.026,0.9333,0.026,0.009877,1.0,0.0083056194,0.026
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.7865,0.3966,1.0,0.0,0.7865,0.0,0.7865,1.0,0.7865,0.127127,1.0,0.46789238925,0.7865
0.25,0.2625,1.0,0.0,0.25,0.0,0.25,1.0,0.25,0.031577,1.0,0.1040625,0.25
0.1391,0.2348,1.0,0.0,0.1391,0.0,0.1391,1.0,0.1391,0.001073,1.0,0.05276345373,0.1391
0.1206,0.2301,1.0,0.0,0.1206,0.0,0.1206,1.0,0.1206,0.093454,1.0,0.04500307188,0.1206
0.4222,0.3055,1.0,0.0,0.4222,0.0,0.4222,1.0,0.4222,0.001713,1.0,0.19995079572000002,0.4222
0.1075,0.2269,1.0,0.0,0.1075,0.0,0.1075,1.0,0.1075,0.041445,0.9999,0.03964573125,0.1075
0.25,0.2625,1.0,0.0,0.25,0.0,0.25,1.0,0.25,0.034101,1.0,0.1040625,0.25
0.7304,0.7807,1.0,1.0,0.7304,0.02,0.7304,1.0,0.7304,0.188263,0.9999,0.66409662528,0.7304
0.02,0.205,1.0,0.0,0.02,0.0,0.02,1.0,0.02,0.008703,1.0,0.0067932,0.02
0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6e-06,1.0,0.0,0.0
0.7196,0.7736,1.0,1.0,0.7196,0.04,0.7196,1.0,0.7196,0.126642,0.9999,0.65168904528,0.7196
0.8821,0.8216,1.0,1.0,0.8821,0.06,0.8821,1.0,0.8821,0.164449,0.9999,0.8465860365300001,0.8821
0.5333,0.4833,1.0,0.0,0.5333,1.0,0.5333,1.0,0.5333,0.329104,0.9922,0.27229706037,0.5333
0.0737,0.2184,1.0,0.0,0.0737,0.0,0.0737,1.0,0.0737,0.08979,0.9999,0.026350852770000002,0.0737
0.1425,0.6758,1.0,1.0,0.1425,0.28,0.1425,1.0,0.1425,0.065136,0.9999,0.10166698125000001,0.1425
0.9999,0.45,1.0,0.0,0.9999,0.0,0.9999,1.0,0.9999,0.017896,1.0,0.66590010333,0.9999
0.02,0.205,1.0,0.0,0.02,0.0,0.02,1.0,0.02,0.007027,1.0,0.0067932,0.02
0.1947,0.2487,1.0,0.0,0.1947,0.0,0.1947,1.0,0.1947,0.001078,1.0,0.07745849397000001,0.1947
0.011,0.2028,1.0,0.0,0.011,0.0,0.011,1.0,0.011,0.000286,1.0,0.003703293,0.011
0.2259,0.2815,0.7667,0.18,0.2259,0.02,0.2259,0.7667,0.2259,0.058095,0.9995,0.08820848322000001,0.2259
0.028,0.1737,0.8333,0.0,0.028,0.0,0.028,0.8333,0.028,0.047089,0.9999,0.008030761200000002,0.028
0.7,0.6851,0.5,1.0,0.7,0.08,0.7,0.5,0.7,0.055041,0.9997,0.5128199999999999,0.7
0.9692,0.4423,1.0,0.0,0.9692,0.0,0.9692,1.0,0.9692,0.050125,0.9998,0.63554669712,0.9692
0.026,0.2065,1.0,0.0,0.026,0.0,0.026,1.0,0.026,0.013306,1.0,0.008883108,0.026
0.024,0.206,1.0,0.0,0.024,0.0,0.024,1.0,0.024,0.007923,1.0,0.008183808,0.024
1.0,0.7284,1.0,0.76,1.0,0.02,1.0,1.0,1.0,0.164504,0.9991,0.9190800000000001,1.0
0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8e-05,1.0,0.0,0.0
0.2815,0.2704,1.0,0.0,0.2815,0.0,0.2815,1.0,0.2815,0.001319,1.0,0.12012716924999998,0.2815
0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.4e-05,1.0,0.0,0.0
0.4588,0.3147,1.0,0.0,0.4588,0.0,0.4588,1.0,0.4588,0.322146,0.9992,0.22287604752,0.4588
0.3972,0.2993,1.0,0.0,0.3972,0.0,0.3972,1.0,0.3972,0.261903,0.9996,0.18480429072000001,0.3972
0.3935,0.2984,1.0,0.0,0.3935,0.0,0.3935,1.0,0.3935,0.251028,0.9993,0.18259796925,0.3935
0.0156,0.0505,0.2333,0.0,0.0156,0.0,0.0156,0.2333,0.0156,0.006379,1.0,0.0012929857200000001,0.0156
0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5e-06,1.0,0.0,0.0
0.0775,0.2194,1.0,0.0,0.0775,0.0,0.0775,1.0,0.0775,0.047961,1.0,0.02780758125,0.0775
0.0066,0.2017,1.0,0.0,0.0066,0.0,0.0066,1.0,0.0066,8e-05,1.0,0.00221230548,0.0066
0.7598,0.7902,1.0,1.0,0.7598,0.04,0.7598,1.0,0.7598,0.166413,0.9999,0.6982663813200001,0.7598
0.21,0.4828,1.0,0.58,0.21,0.04,0.21,1.0,0.21,0.056779,0.9998,0.1251747,0.21
0.024,0.166,0.8,0.0,0.024,0.0,0.024,0.8,0.024,0.012145,1.0,0.006585408000000001,0.024
0.1124,0.2281,1.0,0.0,0.1124,0.0,0.1124,1.0,0.1124,0.114349,1.0,0.041636242080000004,0.1124
1.0,0.45,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.002284,0.9997,0.666,1.0
0.0037,0.2009,1.0,0.0,0.0037,0.0,0.0037,1.0,0.0037,0.073205,0.9998,0.00123665877,0.0037
0.0005,0.1801,0.9,0.0,0.0005,0.0,0.0005,0.9,0.0005,0.0,1.0,0.00014993325000000002,0.0005
0.2088,0.2522,1.0,0.0,0.2088,0.0,0.2088,1.0,0.2088,0.088409,0.9997,0.08404834752000001,0.2088
0.08,0.2133,0.9667,0.0,0.08,0.0,0.08,0.9667,0.08,0.019707,1.0,0.027884088,0.08
0.2,0.25,1.0,0.0,0.2,0.0,0.2,1.0,0.2,0.022608,1.0,0.07992,0.2
0.45,0.5252,0.9,0.575,0.45,0.1,0.45,0.9,0.45,0.074147,0.9997,0.28846125,0.45
0.026,0.2065,1.0,0.0,0.026,0.0,0.026,1.0,0.026,0.012534,1.0,0.008883108,0.026
0.6665,0.3666,1.0,0.0,0.6665,0.0,0.6665,1.0,0.6665,0.178441,0.9999,0.36987050925,0.6665
0.0001,0.2,1.0,0.0,0.0001,0.0,0.0001,1.0,0.0001,0.0,1.0,3.3303330000000006e-05,0.0001
0.11,0.2208,0.9667,0.0,0.11,0.0,0.11,0.9667,0.11,0.054422,0.9997,0.039439521000000005,0.11
0.016,0.204,1.0,0.0,0.016,0.0,0.016,1.0,0.016,0.00819,1.0,0.005413248,0.016
0.0073,0.0552,0.2667,0.0,0.0073,0.0,0.0073,0.2667,0.0073,0.017001,0.9998,0.0006660666000000001,0.0073
0.0015,0.2004,1.0,0.0,0.0015,0.0,0.0015,1.0,0.0015,0.000715,1.0,0.00050024925,0.0015
0.12,0.6316,1.0,1.0,0.12,0.04,0.12,1.0,0.12,0.057579,1.0,0.0847152,0.12
0.018,0.2045,1.0,0.0,0.018,0.0,0.018,1.0,0.018,0.007676,1.0,0.006101892,0.018
0.0005,0.2001,1.0,0.0,0.0005,0.0,0.0005,1.0,0.0005,1e-06,1.0,0.00016658325000000002,0.0005
0.7087,0.3772,1.0,0.0,0.7087,0.0,0.7087,1.0,0.7087,0.139416,1.0,0.40324824477000004,0.7087
0.8393,0.4098,1.0,0.0,0.8393,0.0,0.8393,1.0,0.8393,0.212985,1.0,0.5140602551700001,0.8393
0.02,0.205,1.0,0.0,0.02,0.0,0.02,1.0,0.02,0.009631,1.0,0.0067932,0.02
0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.9e-05,1.0,0.0,0.0
0.9475,0.8294,1.0,1.0,0.9475,0.02,0.9475,1.0,0.9475,0.171477,1.0,0.9299878312500001,0.9475
0.8754,0.8165,1.0,1.0,0.8754,0.02,0.8754,1.0,0.8754,0.142967,0.9999,0.8382026782800001,0.8754
0.4,0.8485,1.0,1.0,0.4,1.0,0.4,1.0,0.4,0.196109,0.9999,0.3196800000000001,0.4
0.25,0.2625,1.0,0.0,0.25,0.0,0.25,1.0,0.25,0.037088,0.9999,0.1040625,0.25
