domain,sys_idx,process_regime,recursive_continuity,reconstruction_ability,org_memory,transition_continuity,transition_smoothness,closure_persistence,adaptive_continuity,recovery_identity,trajectory_coherence,recursive_identity_score,process_regime_tg,dominant_operator,operator_continuity,operator_rupture,operator_curvature,transition_smoothness_tg,recursive_closure,operator_reversibility,compositional_stability,operator_neighborhood_entropy,collapse_available,recovery_possible,recovery_steps_mean,recovery_probability,recovery_entropy,collapse_regime_shifts,self_prediction,internal_continuity,self_model_consistency,closure_adaptation,forecast_stability,self_alignment,temporal_self_coherence,perturbation_anticipation,self_prediction_norm,internal_continuity_norm,self_model_consistency_norm,closure_adaptation_norm,forecast_stability_norm,self_alignment_norm,temporal_self_coherence_norm,perturbation_anticipation_norm,self_reference_composite
branching,11,CH,1.0,0.0,0.4656,0.322116,0.9993,0.4656,0.0,0.0,0.0,0.3164,CH,op_diffusion,1.0,0.0,0.0,0.9993,0.4656,0.4656,0.322116,0.0,,,,,,,0.4656,0.9993,0.0,0.0,0.14997720960000002,0.14553638420285875,0.0,,0.46559999995344004,0.99929999990007,0.0,0.0,0.18559289315411606,0.1455363840814704,0.0,,0.2565756110127281
branching,12,CH,1.0,0.0,0.3986,0.26993,0.9995,0.3986,0.0,0.0,0.0,0.2996,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.3986,0.3986,0.26993,0.0,,,,,,,0.3986,0.9995,0.0,0.0,0.107594098,0.12453113289265683,0.0,,0.39859999996014,0.99949999990005,0.0,0.0,0.13314489573039429,0.12453113277074268,0.0,,0.23653943262304672
branching,13,CH,1.0,0.0,0.3949,0.219956,0.9983,0.3949,0.0,0.0,0.0,0.2987,CH,op_diffusion,1.0,0.0,0.0,0.9983,0.3949,0.3949,0.219956,0.0,,,,,,,0.3949,0.9983,0.0,0.0,0.0868606244,0.12340585157246742,0.0,,0.39489999996050995,0.9982999999001699,0.0,0.0,0.10748776181770624,0.12340585145052511,0.0,,0.23201337330413016
branching,14,CG,1.0,0.0,0.2,0.140195,0.9911,0.2,0.0,0.0,1.0,0.4,CG,op_diffusion,1.0,0.0,0.0,0.9911,0.2,0.2,0.140195,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2,0.9911,0.0,0.0,0.028038999999999998,0.2500625157226729,0.2,-2.0,0.19999999998,0.9910999999008899,0.0,0.0,0.034697532678646795,0.25006251560390097,0.24999999996875,0.0,0.21573250601652347
branching,15,CG,1.0,0.6,0.5986,0.443729,0.999,0.5986,0.2145,0.5776,0.14,0.6073,CG,op_diffusion,1.0,0.0,0.0,0.999,0.5986,0.5986,0.443729,0.0,5.0,1.0,3.73,0.6,0.0,1.0,0.5986,0.999,0.35916,0.34575136,0.2656161794,0.5092523131396284,0.08380400000000002,0.6,0.59859999994014,0.9989999999001,0.359159999964084,0.3507985975669234,0.32869310833869997,0.5092523130273443,0.10475499998690564,0.8666666666377778,0.5146157106702469
branching,16,CH,1.0,0.0,0.3268,0.145885,0.9972,0.3268,0.0,0.0,0.0,0.2817,CH,op_diffusion,1.0,0.0,0.0,0.9972,0.3268,0.3268,0.145885,0.0,,,,,,,0.3268,0.9972,0.0,0.0,0.04767521799999999,0.10215053774666805,0.0,,0.32679999996731995,0.99719999990028,0.0,0.0,0.058996841346574756,0.1021505376241937,0.0,,0.21216391126262407
branching,17,CH,1.0,0.0,0.3991,0.222845,0.9995,0.3991,0.0,0.0,0.0,0.2998,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.3991,0.3991,0.222845,0.0,,,,,,,0.3991,0.9995,0.0,0.0,0.08893743949999999,0.12478119540825461,0.0,,0.39909999996009,0.99949999990005,0.0,0.0,0.11005776644696394,0.12478119528634672,0.0,,0.23334842308477866
branching,18,CH,1.0,0.0,0.4649,0.321923,0.9995,0.4649,0.0,0.0,0.0,0.3162,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.4649,0.4649,0.321923,0.0,,,,,,,0.4649,0.9995,0.0,0.0,0.1496620027,0.1452863216872612,0.0,,0.46489999995351,0.99949999990005,0.0,0.0,0.18520283281982147,0.14528632156586657,0.0,,0.2564127363198926
branching,19,CH,1.0,0.0,0.462,0.271174,0.9992,0.462,0.0,0.0,0.0,0.3155,CH,op_diffusion,1.0,0.0,0.0,0.9992,0.462,0.462,0.271174,0.0,,,,,,,0.462,0.9992,0.0,0.0,0.12528238800000002,0.14441110288266934,0.0,,0.46199999995380003,0.99919999990008,0.0,0.0,0.1550336942005388,0.14441110276125282,0.0,,0.2515206852593817
branching,20,CH,1.0,0.0,0.3962,0.229472,0.9996,0.3962,0.0,0.0,0.0,0.2991,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.3962,0.3962,0.229472,0.0,,,,,,,0.3962,0.9996,0.0,0.0,0.09091680640000001,0.12390597660366265,0.0,,0.39619999996037997,0.99959999990004,0.0,0.0,0.1125071814651808,0.12390597648173286,0.0,,0.23317330825819052
branching,21,CH,1.0,0.0,0.3311,0.132183,0.9971,0.3311,0.0,0.0,0.0,0.2828,CH,op_diffusion,1.0,0.0,0.0,0.9971,0.3311,0.3311,0.132183,0.0,,,,,,,0.3311,0.9971,0.0,0.0,0.0437657913,0.1035258815824549,0.0,,0.33109999996689,0.99709999990029,0.0,0.0,0.05415902756298675,0.10352588146001497,0.0,,0.21226927269859736
branching,22,CH,1.0,0.0,0.4625,0.294,0.9995,0.4625,0.0,0.0,0.0,0.3156,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.4625,0.4625,0.294,0.0,,,,,,,0.4625,0.9995,0.0,0.0,0.135975,0.14453613414046818,0.0,,0.46249999995375,0.99949999990005,0.0,0.0,0.1682655232347444,0.1445361340190548,0.0,,0.25354309387251417
branching,23,CG,1.0,0.0,0.6593,0.596127,0.999,0.6593,0.0,0.0,0.2,0.3948,CG,op_diffusion,1.0,0.0,0.0,0.999,0.6593,0.6593,0.596127,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6593,0.999,0.0,0.0,0.39302653109999997,0.24356089031713435,0.13186,-2.0,0.65929999993407,0.9989999999001,0.0,0.0,0.4863601022296601,0.24356089019819968,0.16482499997939687,0.0,0.31913074903017835
branching,24,CH,1.0,0.0,0.4618,0.335798,0.9996,0.4618,0.0,0.0,0.0,0.3155,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.4618,0.4618,0.335798,0.0,,,,,,,0.4618,0.9996,0.0,0.0,0.1550715164,0.14441110288266934,0.0,,0.46179999995382,0.99959999990004,0.0,0.0,0.19189696522045407,0.14441110276125282,0.0,,0.25681543826222386
branching,25,CH,1.0,0.0,0.463,0.322781,0.9997,0.463,0.0,0.0,0.0,0.3158,CH,op_diffusion,1.0,0.0,0.0,0.9997,0.463,0.463,0.322781,0.0,,,,,,,0.463,0.9997,0.0,0.0,0.149447603,0.14478619665606596,0.0,,0.4629999999537,0.99969999990003,0.0,0.0,0.1849375187716371,0.14478619653465882,0.0,,0.2560605307371466
branching,26,CH,1.0,0.0,0.5217,0.350022,0.9988,0.5217,0.0,0.0,0.0,0.3304,CH,op_diffusion,1.0,0.0,0.0,0.9988,0.5217,0.5217,0.350022,0.0,,,,,,,0.5217,0.9988,0.0,0.0,0.18260647740000002,0.16304076029469372,0.0,,0.52169999994783,0.99879999990012,0.0,0.0,0.22597076275612818,0.16304076017374353,0.0,,0.27278736039683166
branching,27,CL,1.0,0.0,0.0,0.0072,0.9819,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,0.9819,0.0,0.0,0.0072,0.0,,,,,,,0.0,0.9819,0.0,0.0,0.0,1.250313186318408e-10,0.0,,0.0,0.98189999990181,0.0,0.0,0.0,0.0,0.0,,0.14027142855740143
branching,28,CG,1.0,0.0,0.7299,0.606757,0.999,0.7299,0.0,0.0,0.28,0.4245,CG,op_diffusion,1.0,0.0,0.0,0.999,0.7299,0.7299,0.606757,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7299,0.999,0.0,0.0,0.4428719343,0.28069517388338405,0.20437200000000003,-2.0,0.7298999999270099,0.9989999999001,0.0,0.0,0.5480424912739316,0.2806951737653789,0.2554649999680669,0.0,0.3516378331043109
branching,29,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4,CG,op_diffusion,1.0,0.0,0.0,0.9999,0.2,0.2,0.092175,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2,0.9999,0.0,0.0,0.018435000000000003,0.2500625157226729,0.2,-2.0,0.19999999998,0.99989999990001,0.0,0.0,0.02281283265918377,0.25006251560390097,0.24999999996875,0.0,0.21534691851398058
branching,30,CG,1.0,0.0,0.2,0.108979,0.9999,0.2,0.0,0.0,1.0,0.4,CG,op_diffusion,1.0,0.0,0.0,0.9999,0.2,0.2,0.108979,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2,0.9999,0.0,0.0,0.021795800000000004,0.2500625157226729,0.2,-2.0,0.19999999998,0.99989999990001,0.0,0.0,0.026971735181613107,0.25006251560390097,0.24999999996875,0.0,0.21586678132928425
branching,31,CH,1.0,0.0,0.3289,0.07592,0.9975,0.3289,0.0,0.0,0.0,0.2822,CH,op_diffusion,1.0,0.0,0.0,0.9975,0.3289,0.3289,0.07592,0.0,,,,,,,0.3289,0.9975,0.0,0.0,0.024970088,0.102775694035662,0.0,,0.32889999996711,0.9974999999002501,0.0,0.0,0.030899833958724855,0.10277569391320329,0.0,,0.20858221824846976
branching,32,CH,1.0,0.0,0.3965,0.262706,0.9996,0.3965,0.0,0.0,0.0,0.2991,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.3965,0.3965,0.262706,0.0,,,,,,,0.3965,0.9996,0.0,0.0,0.104162929,0.12390597660366265,0.0,,0.39649999996035,0.99959999990004,0.0,0.0,0.12889891340208517,0.12390597648173286,0.0,,0.2355578413920297
branching,33,CH,1.0,0.0,0.3966,0.234505,0.996,0.3966,0.0,0.0,0.0,0.2991,CH,op_diffusion,1.0,0.0,0.0,0.996,0.3966,0.3966,0.234505,0.0,,,,,,,0.3966,0.996,0.0,0.0,0.093004683,0.12390597660366265,0.0,,0.39659999996034,0.9959999999004,0.0,0.0,0.115090874412771,0.12390597648173286,0.0,,0.2330852643936063
branching,34,CG,1.0,0.0,0.3333,0.151193,0.9999,0.3333,0.0,0.0,1.0,0.4333,CG,op_diffusion,1.0,0.0,0.0,0.9999,0.3333,0.3333,0.151193,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3333,0.9999,0.0,0.0,0.050392626899999994,0.29169792456968024,0.3333,-2.0,0.33329999996667,0.99989999990001,0.0,0.0,0.06235956412944846,0.29169792445195053,0.41662499994792185,0.0,0.26298531104950007
branching,35,CH,1.0,0.0,0.4628,0.379936,0.999,0.4628,0.0,0.0,0.0,0.3157,CH,op_diffusion,1.0,0.0,0.0,0.999,0.4628,0.4628,0.379936,0.0,,,,,,,0.4628,0.999,0.0,0.0,0.1758343808,0.144661165398267,0.0,,0.46279999995372,0.9989999999001,0.0,0.0,0.21759046948313507,0.14466116527685674,0.0,,0.26057880494483027
branching,36,CH,1.0,0.0,0.3302,0.166972,0.9972,0.3302,0.0,0.0,0.0,0.2825,CH,op_diffusion,1.0,0.0,0.0,0.9972,0.3302,0.3302,0.166972,0.0,,,,,,,0.3302,0.9972,0.0,0.0,0.0551341544,0.10315078780905851,0.0,,0.33019999996698,0.99719999990028,0.0,0.0,0.06822708099445622,0.1031507876866092,0.0,,0.2141111240783322
branching,37,CG,1.0,0.0,0.2,0.118697,0.9932,0.2,0.0,0.0,1.0,0.4,CG,op_diffusion,1.0,0.0,0.0,0.9932,0.2,0.2,0.118697,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2,0.9932,0.0,0.0,0.0237394,0.2500625157226729,0.2,-2.0,0.19999999998,0.99319999990068,0.0,0.0,0.029376889592049208,0.25006251560390097,0.24999999996875,0.0,0.21532992563067252
branching,38,CH,1.0,0.0,0.5295,0.37708,0.9995,0.5295,0.0,0.0,0.0,0.3324,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.5295,0.5295,0.37708,0.0,,,,,,,0.5295,0.9995,0.0,0.0,0.19966386,0.1655413854506701,0.0,,0.52949999994705,0.99949999990005,0.0,0.0,0.24707882974053136,0.1655413853297825,0.0,,0.2773743164167734
branching,39,CG,1.0,0.0,0.6497,0.537522,0.9982,0.6497,0.0,0.0,0.24,0.3984,CG,op_diffusion,1.0,0.0,0.0,0.9982,0.6497,0.6497,0.537522,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6497,0.9982,0.0,0.0,0.3492280434000001,0.24806201559789176,0.155928,-2.0,0.64969999993503,0.9981999999001799,0.0,0.0,0.43216061372272135,0.24806201547906975,0.19490999997563624,0.0,0.31537907862657966
branching,40,CG,1.0,0.0,0.5999,0.481982,0.999,0.5999,0.0,0.0,0.14,0.371,CG,op_diffusion,1.0,0.0,0.0,0.999,0.5999,0.5999,0.481982,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5999,0.999,0.0,0.0,0.2891410018,0.21380345096101494,0.083986,-2.0,0.59989999994001,0.9989999999001,0.0,0.0,0.3578044637359454,0.2138034508413354,0.10498249998687718,0.0,0.2844363018005335
branching,41,CH,1.0,0.0,0.331,0.165367,0.9967,0.331,0.0,0.0,0.0,0.2827,CH,op_diffusion,1.0,0.0,0.0,0.9967,0.331,0.331,0.165367,0.0,,,,,,,0.331,0.9967,0.0,0.0,0.054736477,0.10340085032465607,0.0,,0.3309999999669,0.99669999990033,0.0,0.0,0.06773496556301932,0.10340085020221301,0.0,,0.21411940223320888
branching,42,CL,0.9667,0.0,0.0,0.003459,0.9551,0.0,0.0,0.0,0.0,0.1933,CL,op_diffusion,0.9667,0.0333,0.004528,0.9551,0.0,0.0,0.003459,0.2108,,,,,,,0.0,0.9232951699999999,0.0,0.0,0.0,0.03325831469951768,0.0,,0.0,0.9232951699076705,0.0,0.0,0.0,0.03325831457531886,0.0,,0.13665049778328417
branching,43,CH,1.0,0.0,0.3278,0.176184,0.9967,0.3278,0.0,0.0,0.0,0.2819,CH,op_diffusion,1.0,0.0,0.0,0.9967,0.3278,0.3278,0.176184,0.0,,,,,,,0.3278,0.9967,0.0,0.0,0.057753115199999996,0.1024006002622656,0.0,,0.32779999996722,0.99669999990033,0.0,0.0,0.07146797681606522,0.10240060013979752,0.0,,0.2140526538319161
branching,44,CH,1.0,0.0,0.3988,0.26751,0.9996,0.3988,0.0,0.0,0.0,0.2997,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.3988,0.3988,0.26751,0.0,,,,,,,0.3988,0.9996,0.0,0.0,0.106682988,0.12465616415045577,0.0,,0.39879999996012,0.99959999990004,0.0,0.0,0.13201742082048876,0.12465616402854476,0.0,,0.2364390835298848
branching,45,CG,1.0,0.0,0.6625,0.540962,0.9989,0.6625,0.0,0.0,0.26,0.4046,CG,op_diffusion,1.0,0.0,0.0,0.9989,0.6625,0.6625,0.540962,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6625,0.9989,0.0,0.0,0.35838732500000003,0.2558139535814188,0.17225,-2.0,0.66249999993375,0.99889999990011,0.0,0.0,0.4434949862976679,0.25581395346279084,0.2153124999730859,0.0,0.3220026799459256
branching,46,CH,1.0,0.0,0.4654,0.293934,0.9997,0.4654,0.0,0.0,0.0,0.3164,CH,op_diffusion,1.0,0.0,0.0,0.9997,0.4654,0.4654,0.293934,0.0,,,,,,,0.4654,0.9997,0.0,0.0,0.13679688359999997,0.14553638420285875,0.0,,0.46539999995346,0.99969999990003,0.0,0.0,0.16928258279710548,0.1455363840814704,0.0,,0.2542741381045808
branching,47,CH,1.0,0.0,0.5317,0.354268,0.9994,0.5317,0.0,0.0,0.0,0.3329,CH,op_diffusion,1.0,0.0,0.0,0.9994,0.5317,0.5317,0.354268,0.0,,,,,,,0.5317,0.9994,0.0,0.0,0.1883642956,0.16616654173966416,0.0,,0.5316999999468299,0.9993999999000599,0.0,0.0,0.23309591290956472,0.1661665416187922,0.0,,0.27576606491074956
branching,48,CH,1.0,0.0,0.4625,0.345432,0.9996,0.4625,0.0,0.0,0.0,0.3156,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.4625,0.4625,0.345432,0.0,,,,,,,0.4625,0.9996,0.0,0.0,0.15976230000000002,0.14453613414046818,0.0,,0.46249999995375,0.99959999990004,0.0,0.0,0.19770168783001438,0.1445361340190548,0.0,,0.2577625459575513
branching,49,CH,1.0,0.0,0.3985,0.231577,0.9993,0.3985,0.0,0.0,0.0,0.2996,CH,op_diffusion,1.0,0.0,0.0,0.9993,0.3985,0.3985,0.231577,0.0,,,,,,,0.3985,0.9993,0.0,0.0,0.09228343450000001,0.12453113289265683,0.0,,0.39849999996015,0.99929999990007,0.0,0.0,0.1141983481672496,0.12453113277074268,0.0,,0.23378992582831604
branching,50,CH,1.0,0.0,0.4602,0.367096,0.9994,0.4602,0.0,0.0,0.0,0.3151,CH,op_diffusion,1.0,0.0,0.0,0.9994,0.4602,0.4602,0.367096,0.0,,,,,,,0.4602,0.9994,0.0,0.0,0.1689375792,0.143910977851474,0.0,,0.46019999995398,0.9993999999000599,0.0,0.0,0.20905585701856275,0.14391097773004496,0.0,,0.25893811922894966
branching,51,CH,1.0,0.0,0.3952,0.258757,0.9995,0.3952,0.0,0.0,0.0,0.2988,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.3952,0.3952,0.258757,0.0,,,,,,,0.3952,0.9995,0.0,0.0,0.10226076640000001,0.12353088283026625,0.0,,0.39519999996048,0.99949999990005,0.0,0.0,0.1265450366955835,0.12353088270832707,0.0,,0.23496798846634867
branching,52,CH,1.0,0.0,0.3986,0.255042,0.9995,0.3986,0.0,0.0,0.0,0.2996,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.3986,0.3986,0.255042,0.0,,,,,,,0.3986,0.9995,0.0,0.0,0.1016597412,0.12453113289265683,0.0,,0.39859999996014,0.99949999990005,0.0,0.0,0.1258012836545446,0.12453113277074268,0.0,,0.23549034518363962
branching,53,CH,1.0,0.0,0.4625,0.309198,0.9995,0.4625,0.0,0.0,0.0,0.3156,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.4625,0.4625,0.309198,0.0,,,,,,,0.4625,0.9995,0.0,0.0,0.14300407499999998,0.14453613414046818,0.0,,0.46249999995375,0.99949999990005,0.0,0.0,0.17696382058889962,0.1445361340190548,0.0,,0.2547857077802506
branching,54,CH,1.0,0.0,0.3955,0.262821,0.9996,0.3955,0.0,0.0,0.0,0.2989,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.3955,0.3955,0.262821,0.0,,,,,,,0.3955,0.9996,0.0,0.0,0.10394570550000001,0.12365591408806498,0.0,,0.39549999996045,0.99959999990004,0.0,0.0,0.1286301049749009,0.12365591396612893,0.0,,0.23534085982878855
branching,55,CG,1.0,1.0,0.4,0.185975,0.9999,0.4,1.4781,0.99,1.0,0.8485,CG,op_diffusion,1.0,0.0,0.0,0.9999,0.4,0.4,0.185975,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4,0.9999,0.4,0.396,0.07439,0.8108277069503843,0.4,1.0,0.39999999996,0.99989999990001,0.39999999996,0.401780761286092,0.092055688718019,0.8108277068456491,0.4999999999375,0.9999999999666667,0.5755705195717421
branching,56,CL,0.7,0.0,0.0,0.006268,0.9651,0.0,0.0,0.0,0.0,0.14,CL,op_diffusion,0.7,0.3,0.029513,0.9651,0.0,0.0,0.006268,0.8813,,,,,,,0.0,0.6755699999999999,0.0,0.0,0.0,0.30007501884220134,0.0,,0.0,0.6755699999324429,0.0,0.0,0.0,0.3000750187246813,0.0,,0.1393778598081606
branching,57,CH,1.0,0.0,0.4639,0.307559,0.9997,0.4639,0.0,0.0,0.0,0.316,CH,op_diffusion,1.0,0.0,0.0,0.9997,0.4639,0.4639,0.307559,0.0,,,,,,,0.4639,0.9997,0.0,0.0,0.1426766201,0.14503625917166352,0.0,,0.46389999995361,0.99969999990003,0.0,0.0,0.17655860367340578,0.14503625905026266,0.0,,0.2550278375110441
branching,58,CL,0.5,0.0,0.4,0.002286,0.9997,0.4,0.0,0.0,0.0,0.2,CL,op_diffusion,0.5,0.5,0.05845,0.9997,0.4,0.4,0.002286,0.8765,,,,,,,0.2,0.49985,0.0,0.0,0.0009144,0.6251562891191353,0.0,,0.19999999998,0.499849999950015,0.0,0.0,0.0011315461992708238,0.6251562890097525,0.0,,0.18944826216271976
branching,59,CG,1.0,0.0,0.6651,0.539723,0.9989,0.6651,0.0,0.0,0.3,0.4113,CG,op_diffusion,1.0,0.0,0.0,0.9989,0.6651,0.6651,0.539723,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6651,0.9989,0.0,0.0,0.35896976729999996,0.26419104785393965,0.19953,-2.0,0.66509999993349,0.99889999990011,0.0,0.0,0.44421574348364723,0.2641910477355214,0.24941249996882345,0.0,0.327727411377699
branching,60,CH,1.0,0.0,0.4654,0.315195,0.9996,0.4654,0.0,0.0,0.0,0.3164,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.4654,0.4654,0.315195,0.0,,,,,,,0.4654,0.9996,0.0,0.0,0.146691753,0.14553638420285875,0.0,,0.46539999995346,0.99959999990004,0.0,0.0,0.1815272261280889,0.1455363840814704,0.0,,0.2560090871518656
branching,61,CG,1.0,0.14,0.5201,0.465117,0.998,0.5201,0.0594,0.1386,0.02,0.3888,CG,op_diffusion,1.0,0.0,0.0,0.998,0.5201,0.5201,0.465117,0.0,10.0,1.0,1.0,0.14,0.0,1.0,0.5201,0.998,0.072814,0.07208586,0.2419073517,0.236059014849205,0.010402,0.14,0.52009999994799,0.9979999999001999,0.0728139999927186,0.07313816088071376,0.2993540511721407,0.23605901473008253,0.013002499998374686,0.7133333333095556,0.365725132491472
branching,62,CG,1.0,0.9,0.5984,0.509841,0.999,0.5984,0.7162,0.891,0.14,0.7292,CG,op_diffusion,1.0,0.0,0.0,0.999,0.5984,0.5984,0.509841,0.0,1.0,1.0,1.0,0.9,0.0,1.0,0.5984,0.999,0.53856,0.5331744,0.3050888544,0.661665416396391,0.08377600000000002,0.9,0.59839999994016,0.9989999999001,0.538559999946144,0.5409576169955943,0.37753951622507625,0.661665416287922,0.10471999998691002,0.9666666666344444,0.5984386519895439
