domain,sys_idx,half_life,initial_identity,process_regime,recursive_continuity,reconstruction_ability,org_memory,transition_continuity,transition_smoothness,closure_persistence,adaptive_continuity,recovery_identity,trajectory_coherence,recursive_identity_score,process_regime_tg,dominant_operator,operator_continuity,operator_rupture,operator_curvature,transition_smoothness_tg,recursive_closure,operator_reversibility,compositional_stability,operator_neighborhood_entropy,collapse_available,recovery_possible,recovery_steps_mean,recovery_probability,recovery_entropy,collapse_regime_shifts,self_prediction,internal_continuity,self_model_consistency,closure_adaptation,forecast_stability,self_alignment,temporal_self_coherence,perturbation_anticipation,self_prediction_norm,internal_continuity_norm,self_model_consistency_norm,closure_adaptation_norm,forecast_stability_norm,self_alignment_norm,temporal_self_coherence_norm,perturbation_anticipation_norm,self_reference_composite,passive_persistence,active_continuity,observer_continuity,perspective_continuity,temporal_alignment,self_referential_closure,local_future_prediction,self_state_anticipation,recursive_correction,continuity_adaptation,reconstruction_anticipation,local_future_prediction_norm,self_state_anticipation_norm,recursive_correction_norm,continuity_adaptation_norm,reconstruction_anticipation_norm,internal_modeling_composite,perspective_drift,recursive_alignment,identity_frame_continuity,closure_persistence_through_change,observer_level,reactive_condition,adaptive_condition,observer_like_condition,self_model_drift
branching,10,100,0.346167882088082,CH,1.0,0.0,0.3962,0.24455,0.9982,0.3962,0.0,0.0,0.0,0.2991,CH,op_diffusion,1.0,0.0,0.0,0.9982,0.3962,0.3962,0.24455,0.0,,,,,,,0.3962,0.9982,0.0,0.0,0.0968907099999999,0.1239059766036626,0.0,,0.3961999999603799,0.99819999990018,0.0,0.0,0.1198997316766749,0.1239059764817328,0.0,,0.2340293868598525,0.7645918660364952,0.1320666666666666,0.0127960331006666,,0.0,0.15697444,1.0,0.2991,0.0,,0.0,0.9999999999,0.3457004160488094,0.0,,0.0,0.3364251039872024,0.75545,0.030301206578425686,0.0003877352423676716,0.038388099301999955,0,0.0,0.0,0.0,0.0
branching,11,100,0.3194099399599716,CH,1.0,0.0,0.4656,0.322116,0.9993,0.4656,0.0,0.0,0.0,0.3164,CH,op_diffusion,1.0,0.0,0.0,0.9993,0.4656,0.4656,0.322116,0.0,,,,,,,0.4656,0.9993,0.0,0.0,0.1499772096,0.1455363842028587,0.0,,0.46559999995344,0.99929999990007,0.0,0.0,0.185592893154116,0.1455363840814704,0.0,,0.2565756110127281,0.7429039919149808,0.1552,0.02327646292992,,0.0,0.21678336,1.0,0.3164,0.0,,0.0,0.9999999999,0.3656957928379917,0.0,,0.0,0.3414239481844979,0.6778839999999999,0.04687959793388803,0.001091191223477699,0.06982938878976,0,0.0,0.0,1.0,0.0
branching,12,100,0.2912655865101804,CH,1.0,0.0,0.3986,0.26993,0.9995,0.3986,0.0,0.0,0.0,0.2996,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.3986,0.3986,0.26993,0.0,,,,,,,0.3986,0.9995,0.0,0.0,0.107594098,0.1245311328926568,0.0,,0.39859999996014,0.99949999990005,0.0,0.0,0.1331448957303942,0.1245311327707426,0.0,,0.2365394326230467,0.7630788370932649,0.1328666666666666,0.0142956691542666,,0.0,0.15888196,1.0,0.2996,0.0,,0.0,0.9999999999,0.3462783171120806,0.0,,0.0,0.3365695792530201,0.73007,0.03361468870171485,0.000480544468403379,0.0428870074628,0,0.0,0.0,1.0,0.0
branching,13,100,0.2963636522133938,CH,1.0,0.0,0.3949,0.219956,0.9983,0.3949,0.0,0.0,0.0,0.2987,CH,op_diffusion,1.0,0.0,0.0,0.9983,0.3949,0.3949,0.219956,0.0,,,,,,,0.3949,0.9983,0.0,0.0,0.0868606244,0.1234058515724674,0.0,,0.3948999999605099,0.99829999990017,0.0,0.0,0.1074877618177062,0.1234058514505251,0.0,,0.2320133733041301,0.7666810494304869,0.1316333333333333,0.0114337535251866,,0.0,0.1559460099999999,1.0,0.2987,0.0,,0.0,0.9999999999,0.3452380951981926,0.0,,0.0,0.3363095237745481,0.780044,0.02714385748847364,0.0003103561762459982,0.034301260575559996,0,0.0,0.0,0.0,0.0
branching,14,100,0.4048408944954718,CG,1.0,0.0,0.2,0.140195,0.9911,0.2,0.0,0.0,1.0,0.4,CG,op_diffusion,1.0,0.0,0.0,0.9911,0.2,0.2,0.140195,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2,0.9911,0.0,0.0,0.0280389999999999,0.2500625157226729,0.2,-2.0,0.19999999998,0.99109999990089,0.0,0.0,0.0346975326786467,0.2500625156039009,0.24999999996875,0.0,0.2157325060165234,0.7772875132870236,0.0666666666666666,0.0018692666666666,-0.0018692666666666,0.0500125031445345,0.04,1.0,0.4,0.0,-0.0018692666666666,0.0,0.9999999999,0.4623208506169301,0.0,0.1650210025145272,0.0,0.3254683706062914,0.859805,0.035057514391740124,6.553184306866442e-05,0.0056077999999999805,0,0.0,0.0,0.0,0.0
branching,15,100,0.6248210899873418,CG,1.0,0.6,0.5986,0.443729,0.999,0.5986,0.2145,0.5776,0.14,0.6073,CG,op_diffusion,1.0,0.0,0.0,0.999,0.5986,0.5986,0.443729,0.0,5.0,1.0,3.73,0.6,0.0,1.0,0.5986,0.999,0.35916,0.34575136,0.2656161794,0.5092523131396284,0.083804,0.6,0.59859999994014,0.9989999999001,0.359159999964084,0.3507985975669234,0.3286931083386999,0.5092523130273443,0.1047549999869056,0.8666666666377778,0.5146157106702469,0.4848989050404233,0.4345037866666666,0.1154112357492326,0.0692467414495395,0.0426773808503534,0.35832196,1.0,0.6073,0.207450816,0.0692467414495395,0.34656,0.9999999999,0.7019186314491541,0.210479158540154,0.2449792526755569,0.3500606060252463,0.5014875297180222,0.556271,0.22597001965713415,0.02607947921090823,0.15899784498884,3,1.0,1.0,1.0,0.0
branching,16,100,0.2695251001276442,CH,1.0,0.0,0.3268,0.145885,0.9972,0.3268,0.0,0.0,0.0,0.2817,CH,op_diffusion,1.0,0.0,0.0,0.9972,0.3268,0.3268,0.145885,0.0,,,,,,,0.3268,0.9972,0.0,0.0,0.0476752179999999,0.102150537746668,0.0,,0.3267999999673199,0.99719999990028,0.0,0.0,0.0589968413465747,0.1021505376241937,0.0,,0.212163911262624,0.7856301476889113,0.1089333333333333,0.0051934204141333,,0.0,0.1067982399999999,1.0,0.2817,0.0,,0.0,0.9999999999,0.325589459046973,0.0,,0.0,0.3313973647367432,0.854115,0.014902231199172661,7.739355172591747e-05,0.015580261242399966,0,0.0,0.0,0.0,0.0
branching,17,100,0.3065200206619645,CH,1.0,0.0,0.3991,0.222845,0.9995,0.3991,0.0,0.0,0.0,0.2998,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.3991,0.3991,0.222845,0.0,,,,,,,0.3991,0.9995,0.0,0.0,0.0889374394999999,0.1247811954082546,0.0,,0.39909999996009,0.99949999990005,0.0,0.0,0.1100577664469639,0.1247811952863467,0.0,,0.2333484230847786,0.7662682511267638,0.1330333333333333,0.0118316440348166,,0.0,0.15928081,1.0,0.2998,0.0,,0.0,0.9999999999,0.3465094775373891,0.0,,0.0,0.3366273693593473,0.777155,0.027806865490752494,0.0003290009342106093,0.03549493210444996,0,0.0,0.0,0.0,0.0
branching,18,100,0.3219565899317486,CH,1.0,0.0,0.4649,0.321923,0.9995,0.4649,0.0,0.0,0.0,0.3162,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.4649,0.4649,0.321923,0.0,,,,,,,0.4649,0.9995,0.0,0.0,0.1496620027,0.1452863216872612,0.0,,0.46489999995351,0.99949999990005,0.0,0.0,0.1852028328198214,0.1452863215658665,0.0,,0.2564127363198926,0.7432154700482674,0.1549666666666666,0.0231926216850766,,0.0,0.2161320099999999,1.0,0.3162,0.0,,0.0,0.9999999999,0.3654646324126832,0.0,,0.0,0.3413661580781708,0.678077,0.046771008536528186,0.0010847423068171863,0.06957786505522999,0,0.0,0.0,1.0,0.0
branching,19,100,0.3244981003611198,CH,1.0,0.0,0.462,0.271174,0.9992,0.462,0.0,0.0,0.0,0.3155,CH,op_diffusion,1.0,0.0,0.0,0.9992,0.462,0.462,0.271174,0.0,,,,,,,0.462,0.9992,0.0,0.0,0.125282388,0.1444111028826693,0.0,,0.4619999999538,0.99919999990008,0.0,0.0,0.1550336942005388,0.1444111027612528,0.0,,0.2515206852593817,0.7478805312888258,0.154,0.019293487752,,0.0,0.213444,1.0,0.3155,0.0,,0.0,0.9999999999,0.3646555709241036,0.0,,0.0,0.3411638927060259,0.728826,0.03916053641310497,0.0007555433296479907,0.057880463256,0,0.0,0.0,1.0,0.0
branching,20,100,0.2631248925772376,CH,1.0,0.0,0.3962,0.229472,0.9996,0.3962,0.0,0.0,0.0,0.2991,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.3962,0.3962,0.229472,0.0,,,,,,,0.3962,0.9996,0.0,0.0,0.0909168064,0.1239059766036626,0.0,,0.3961999999603799,0.99959999990004,0.0,0.0,0.1125071814651808,0.1239059764817328,0.0,,0.2331733082581905,0.7665199610651128,0.1320666666666666,0.0120070795652266,,0.0,0.15697444,1.0,0.2991,0.0,,0.0,0.9999999999,0.3457004160488094,0.0,,0.0,0.3364251039872024,0.770528,0.028432952263195664,0.0003413967200984801,0.03602123869568,0,0.0,0.0,0.0,0.0
branching,21,100,0.2764242976871843,CH,1.0,0.0,0.3311,0.132183,0.9971,0.3311,0.0,0.0,0.0,0.2828,CH,op_diffusion,1.0,0.0,0.0,0.9971,0.3311,0.3311,0.132183,0.0,,,,,,,0.3311,0.9971,0.0,0.0,0.0437657913,0.1035258815824549,0.0,,0.33109999996689,0.99709999990029,0.0,0.0,0.0541590275629867,0.1035258814600149,0.0,,0.2122692726985973,0.7854463081922286,0.1103666666666666,0.00483028449981,,0.0,0.10962721,1.0,0.2828,0.0,,0.0,0.9999999999,0.3268608413861695,0.0,,0.0,0.3317152103215424,0.8678170000000001,0.013684361605213635,6.609935975145851e-05,0.01449085349943,0,0.0,0.0,0.0,0.0
branching,22,100,0.3142728601904861,CH,1.0,0.0,0.4625,0.294,0.9995,0.4625,0.0,0.0,0.0,0.3156,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.4625,0.4625,0.294,0.0,,,,,,,0.4625,0.9995,0.0,0.0,0.135975,0.1445361341404681,0.0,,0.46249999995375,0.99949999990005,0.0,0.0,0.1682655232347444,0.1445361340190548,0.0,,0.2535430938725141,0.7460836776744222,0.1541666666666666,0.0209628125,,0.0,0.21390625,1.0,0.3156,0.0,,0.0,0.9999999999,0.3647711511367578,0.0,,0.0,0.3411927877591895,0.706,0.042493623437297616,0.0008907858605616755,0.0628884375,0,0.0,0.0,1.0,0.0
branching,23,100,0.4061824305511999,CG,1.0,0.0,0.6593,0.596127,0.999,0.6593,0.0,0.0,0.2,0.3948,CG,op_diffusion,1.0,0.0,0.0,0.999,0.6593,0.6593,0.596127,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6593,0.999,0.0,0.0,0.3930265310999999,0.2435608903171343,0.13186,-2.0,0.65929999993407,0.9989999999001,0.0,0.0,0.4863601022296601,0.2435608901981996,0.1648249999793968,0.0,0.3191307490301783,0.680188381718852,0.2197666666666666,0.0863741306514099,-0.0863741306514099,0.0321159389972173,0.4346764899999999,1.0,0.3948,0.0,-0.0863741306514099,0.0,0.9999999999,0.4563106795589099,0.0,0.0700091868446301,0.0,0.305263973260708,0.40387300000000004,0.1451932228620823,0.012540938401188773,0.2591223919542299,0,0.0,0.0,1.0,0.0
branching,24,100,0.3096934395605016,CH,1.0,0.0,0.4618,0.335798,0.9996,0.4618,0.0,0.0,0.0,0.3155,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.4618,0.4618,0.335798,0.0,,,,,,,0.4618,0.9996,0.0,0.0,0.1550715164,0.1444111028826693,0.0,,0.46179999995382,0.99959999990004,0.0,0.0,0.191896965220454,0.1444111027612528,0.0,,0.2568154382622238,0.742887287913081,0.1539333333333333,0.0238706754245066,,0.0,0.21325924,1.0,0.3155,0.0,,0.0,0.9999999999,0.3646555709241036,0.0,,0.0,0.3411638927060259,0.664202,0.04849295952579459,0.0011575596972139782,0.07161202627352,0,0.0,0.0,1.0,0.0
branching,25,100,0.3388853023656196,CH,1.0,0.0,0.463,0.322781,0.9997,0.463,0.0,0.0,0.0,0.3158,CH,op_diffusion,1.0,0.0,0.0,0.9997,0.463,0.463,0.322781,0.0,,,,,,,0.463,0.9997,0.0,0.0,0.149447603,0.1447861966560659,0.0,,0.4629999999537,0.99969999990003,0.0,0.0,0.1849375187716371,0.1447861965346588,0.0,,0.2560605307371466,0.7437162874220745,0.1543333333333333,0.0230647467296666,,0.0,0.214369,1.0,0.3158,0.0,,0.0,0.9999999999,0.3650023115620663,0.0,,0.0,0.3412505778655166,0.677219,0.0467342333428416,0.0010779132556577816,0.06919424018900001,0,0.0,0.0,1.0,0.0
branching,26,100,0.3180616344560936,CH,1.0,0.0,0.5217,0.350022,0.9988,0.5217,0.0,0.0,0.0,0.3304,CH,op_diffusion,1.0,0.0,0.0,0.9988,0.5217,0.5217,0.350022,0.0,,,,,,,0.5217,0.9988,0.0,0.0,0.1826064774,0.1630407602946937,0.0,,0.52169999994783,0.99879999990012,0.0,0.0,0.2259707627561281,0.1630407601737435,0.0,,0.2727873603968316,0.7263399844356446,0.1739,0.03175526641986,,0.0,0.27217089,1.0,0.3304,0.0,,0.0,0.9999999999,0.3818770226095843,0.0,,0.0,0.345469255627396,0.649978,0.05706785299986927,0.0018122048760202555,0.09526579925958001,0,0.0,0.0,1.0,0.0
branching,27,100,0.1810709093444057,CL,1.0,0.0,0.0,0.0072,0.9819,0.0,0.0,0.0,0.0,0.2,CL,op_diffusion,1.0,0.0,0.0,0.9819,0.0,0.0,0.0072,0.0,,,,,,,0.0,0.9819,0.0,0.0,0.0,1.2503131863184078e-10,0.0,,0.0,0.98189999990181,0.0,0.0,0.0,0.0,0.0,,0.1402714285574014,0.8441674842994876,0.0,0.0,,0.0,0.0,1.0,0.2,0.0,,0.0,0.9999999999,0.231160425308465,0.0,,0.0,0.3077901063021163,0.9928,9.002254941492536e-13,0.0,0.0,0,0.0,0.0,0.0,0.0
branching,28,100,0.4223487708942982,CG,1.0,0.0,0.7299,0.606757,0.999,0.7299,0.0,0.0,0.28,0.4245,CG,op_diffusion,1.0,0.0,0.0,0.999,0.7299,0.7299,0.606757,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7299,0.999,0.0,0.0,0.4428719343,0.280695173883384,0.204372,-2.0,0.7298999999270099,0.9989999999001,0.0,0.0,0.5480424912739316,0.2806951737653789,0.2554649999680669,0.0,0.3516378331043109,0.6477138047287935,0.2433,0.10775074161519,-0.10775074161519,0.0573662340768949,0.53275401,1.0,0.4245,0.0,-0.10775074161519,0.0,0.9999999999,0.4906380027172171,0.0,0.0459747049844563,0.0,0.3073225415203346,0.393243,0.17031376161996042,0.01835143412182342,0.32325222484557,0,0.0,0.0,1.0,0.0
branching,29,100,0.4268799803339678,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4,CG,op_diffusion,1.0,0.0,0.0,0.9999,0.2,0.2,0.092175,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2,0.9999,0.0,0.0,0.018435,0.2500625157226729,0.2,-2.0,0.19999999998,0.99989999990001,0.0,0.0,0.0228128326591837,0.2500625156039009,0.24999999996875,0.0,0.2153469185139805,0.7845746161778709,0.0666666666666666,0.001229,-0.001229,0.0500125031445345,0.04,1.0,0.4,0.0,-0.001229,0.0,0.9999999999,0.4623208506169301,0.0,0.1657408770358789,0.0,0.3256123455105618,0.907825,0.023049512386737376,2.8327850723300238e-05,0.003687,0,0.0,0.0,0.0,0.0
branching,30,100,0.4301837961170614,CG,1.0,0.0,0.2,0.108979,0.9999,0.2,0.0,0.0,1.0,0.4,CG,op_diffusion,1.0,0.0,0.0,0.9999,0.2,0.2,0.108979,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2,0.9999,0.0,0.0,0.0217958,0.2500625157226729,0.2,-2.0,0.19999999998,0.99989999990001,0.0,0.0,0.0269717351816131,0.2500625156039009,0.24999999996875,0.0,0.2158667813292842,0.7840548053488487,0.0666666666666666,0.0014530533333333,-0.0014530533333333,0.0500125031445345,0.04,1.0,0.4,0.0,-0.0014530533333333,0.0,0.9999999999,0.4623208506169301,0.0,0.1654889659268245,0.0,0.3255619632887508,0.891021,0.027251562900941172,3.959797431175466e-05,0.00435916,0,0.0,0.0,0.0,0.0
branching,31,100,0.3019670826352403,CH,1.0,0.0,0.3289,0.07592,0.9975,0.3289,0.0,0.0,0.0,0.2822,CH,op_diffusion,1.0,0.0,0.0,0.9975,0.3289,0.3289,0.07592,0.0,,,,,,,0.3289,0.9975,0.0,0.0,0.024970088,0.102775694035662,0.0,,0.32889999996711,0.99749999990025,0.0,0.0,0.0308998339587248,0.1027756939132032,0.0,,0.2085822182484697,0.7894392372971515,0.1096333333333333,0.0027375539810666,,0.0,0.10817521,1.0,0.2822,0.0,,0.0,0.9999999999,0.3261673601102442,0.0,,0.0,0.331541840002561,0.92408,0.00780273069118746,2.1360396466850776e-05,0.0082126619432,0,0.0,0.0,0.0,0.0
branching,32,100,0.2963880025172858,CH,1.0,0.0,0.3965,0.262706,0.9996,0.3965,0.0,0.0,0.0,0.2991,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.3965,0.3965,0.262706,0.0,,,,,,,0.3965,0.9996,0.0,0.0,0.104162929,0.1239059766036626,0.0,,0.39649999996035,0.99959999990004,0.0,0.0,0.1288989134020851,0.1239059764817328,0.0,,0.2355578413920297,0.7641363817445271,0.1321666666666666,0.0137668671161666,,0.0,0.15721225,1.0,0.2991,0.0,,0.0,0.9999999999,0.3457004160488094,0.0,,0.0,0.3364251039872024,0.737294,0.03255084348964178,0.00044812313684103506,0.041300601348500006,0,0.0,0.0,0.0,0.0
branching,33,100,0.2978584245598913,CH,1.0,0.0,0.3966,0.234505,0.996,0.3966,0.0,0.0,0.0,0.2991,CH,op_diffusion,1.0,0.0,0.0,0.996,0.3966,0.3966,0.234505,0.0,,,,,,,0.3966,0.996,0.0,0.0,0.093004683,0.1239059766036626,0.0,,0.39659999996034,0.9959999999004,0.0,0.0,0.115090874412771,0.1239059764817328,0.0,,0.2330852643936063,0.7638470766639681,0.1322,0.0122952190926,,0.0,0.15729156,1.0,0.2991,0.0,,0.0,0.9999999999,0.3457004160488094,0.0,,0.0,0.3364251039872024,0.765495,0.029056571043441896,0.0003572569070588151,0.0368856572778,0,0.0,0.0,0.0,0.0
branching,34,100,0.4184954890032616,CG,1.0,0.0,0.3333,0.151193,0.9999,0.3333,0.0,0.0,1.0,0.4333,CG,op_diffusion,1.0,0.0,0.0,0.9999,0.3333,0.3333,0.151193,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3333,0.9999,0.0,0.0,0.0503926268999999,0.2916979245696802,0.3333,-2.0,0.33329999996667,0.99989999990001,0.0,0.0,0.0623595641294484,0.2916979244519505,0.4166249999479218,0.0,0.2629853110495,0.736940987481605,0.1110999999999999,0.0055986208485899,-0.0055986208485899,0.0972229182590744,0.11108889,1.0,0.4333,0.0,-0.0055986208485899,0.0,0.9999999999,0.5008090614307895,0.0,0.1608279573406467,0.0,0.3323274037342872,0.848807,0.04410268430946365,0.00024691420785374186,0.016795862545769966,0,0.0,0.0,0.0,0.0
