phase,sector,continuity_strength,stability,boundedness,retention,transition_control,dispersion,rg_stability,metastability
308,neutral,0.850000,0.802669,0.964407,0.820545,0.922540,0.130000,0.964095,0.000000
309,projection,1.000000,0.943549,0.963920,0.964896,0.921732,0.130000,0.963613,0.000000
309,antisymmetry,0.960000,0.905807,0.963920,0.926300,0.921732,0.130000,0.963613,0.000000
309,neutral,0.850000,0.802017,0.963920,0.820161,0.921732,0.130000,0.963613,0.000000
310,projection,1.000000,0.942791,0.963437,0.964449,0.920935,0.130000,0.963135,0.000000
310,antisymmetry,0.960000,0.905079,0.963437,0.925871,0.920935,0.130000,0.963135,0.000000
310,neutral,0.850000,0.801372,0.963437,0.819782,0.920935,0.130000,0.963135,0.000000
311,projection,1.000000,0.942042,0.962958,0.964007,0.920148,0.130000,0.962664,0.000000
311,antisymmetry,0.960000,0.904360,0.962958,0.925447,0.920148,0.130000,0.962664,0.000000
311,neutral,0.850000,0.800736,0.962958,0.819406,0.920148,0.130000,0.962664,0.000000
312,projection,1.000000,0.941302,0.962483,0.963569,0.919371,0.130000,0.962197,0.000000
312,antisymmetry,0.960000,0.903650,0.962483,0.925026,0.919371,0.130000,0.962197,0.000000
312,neutral,0.850000,0.800107,0.962483,0.819034,0.919371,0.130000,0.962197,0.000000
313,projection,1.000000,0.940571,0.962013,0.963135,0.918604,0.130000,0.961735,0.000000
313,antisymmetry,0.960000,0.902948,0.962013,0.924610,0.918604,0.130000,0.961735,0.000000
313,neutral,0.850000,0.799485,0.962013,0.818665,0.918604,0.130000,0.961735,0.000000
314,projection,1.000000,0.939848,0.961547,0.962706,0.917847,0.130000,0.961279,0.000000
314,antisymmetry,0.960000,0.902254,0.961547,0.924198,0.917847,0.130000,0.961279,0.000000
314,neutral,0.850000,0.798871,0.961547,0.818300,0.917847,0.130000,0.961279,0.000000
