depth,sector,condition,rg_similarity,identity_persistence,differentiation_coherence,lineage_stability,boundary_integrity,coexistence_stability,transport_identity_alignment,classification
48,Projection,ModeDifferentiationAnalysis,0.6705,0.6628,0.6409,0.629,0.622,0.6281,0.6368,IDENTITY-DEGRADING
64,Projection,ModeDifferentiationAnalysis,0.6032,0.5802,0.5883,0.5712,0.5628,0.555,0.5566,IDENTITY-DEGRADING
80,Projection,ModeDifferentiationAnalysis,0.5466,0.5169,0.5219,0.52,0.501,0.4934,0.5055,IDENTITY-FAILED
96,Projection,ModeDifferentiationAnalysis,0.4979,0.4769,0.4703,0.4639,0.4542,0.4626,0.4652,IDENTITY-FAILED
128,Projection,ModeDifferentiationAnalysis,0.42,0.4046,0.4084,0.3895,0.3936,0.3866,0.3922,IDENTITY-FAILED
160,Projection,ModeDifferentiationAnalysis,0.3639,0.3573,0.3559,0.344,0.3443,0.3291,0.3379,IDENTITY-FAILED
192,Projection,ModeDifferentiationAnalysis,0.3265,0.3076,0.31,0.2967,0.2987,0.293,0.3011,IDENTITY-FAILED
256,Projection,ModeDifferentiationAnalysis,0.2573,0.2484,0.2502,0.2433,0.2459,0.2427,0.2411,IDENTITY-FAILED
320,Projection,ModeDifferentiationAnalysis,0.221,0.2094,0.2115,0.2062,0.2033,0.2023,0.2063,IDENTITY-FAILED
512,Projection,ModeDifferentiationAnalysis,0.1497,0.1435,0.1449,0.1405,0.1372,0.1377,0.1402,IDENTITY-FAILED
768,Projection,ModeDifferentiationAnalysis,0.1041,0.0987,0.0984,0.0968,0.0971,0.0954,0.0971,IDENTITY-FAILED
1024,Projection,ModeDifferentiationAnalysis,0.0785,0.0765,0.0765,0.0752,0.0746,0.0723,0.0755,IDENTITY-FAILED
1536,Projection,ModeDifferentiationAnalysis,0.0551,0.0532,0.052,0.0505,0.0512,0.051,0.051,IDENTITY-FAILED
2048,Projection,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection,ModeDifferentiationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection,LineagePersistenceMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
2,Projection,LineagePersistenceMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
4,Projection,LineagePersistenceMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
6,Projection,LineagePersistenceMapping,0.96,0.94,0.93,0.92,0.902,0.9,0.92,IDENTITY-STABLE
8,Projection,LineagePersistenceMapping,0.96,0.94,0.93,0.92,0.9081,0.8857,0.92,IDENTITY-STABLE
12,Projection,LineagePersistenceMapping,0.9304,0.9041,0.8846,0.9023,0.8776,0.8542,0.8804,IDENTITY-BOUNDED
16,Projection,LineagePersistenceMapping,0.8853,0.8616,0.868,0.842,0.8308,0.8298,0.8254,IDENTITY-BOUNDED
20,Projection,LineagePersistenceMapping,0.8414,0.8399,0.8229,0.803,0.8075,0.771,0.8023,IDENTITY-BOUNDED
24,Projection,LineagePersistenceMapping,0.8301,0.8091,0.7855,0.7982,0.7578,0.7526,0.7734,IDENTITY-PARTIAL
32,Projection,LineagePersistenceMapping,0.7733,0.7355,0.7297,0.7205,0.712,0.6996,0.7144,IDENTITY-PARTIAL
40,Projection,LineagePersistenceMapping,0.7049,0.6987,0.6973,0.6848,0.6752,0.6608,0.6798,IDENTITY-DEGRADING
48,Projection,LineagePersistenceMapping,0.6666,0.6394,0.6414,0.6459,0.6339,0.6257,0.6374,IDENTITY-DEGRADING
64,Projection,LineagePersistenceMapping,0.587,0.5725,0.5776,0.5774,0.5651,0.5527,0.5711,IDENTITY-DEGRADING
80,Projection,LineagePersistenceMapping,0.546,0.5213,0.5206,0.5236,0.5006,0.5014,0.5144,IDENTITY-FAILED
96,Projection,LineagePersistenceMapping,0.4921,0.4778,0.4614,0.4792,0.4481,0.4574,0.4676,IDENTITY-FAILED
128,Projection,LineagePersistenceMapping,0.4161,0.3945,0.406,0.394,0.3845,0.3856,0.3923,IDENTITY-FAILED
160,Projection,LineagePersistenceMapping,0.365,0.3429,0.3403,0.3432,0.3404,0.3356,0.3342,IDENTITY-FAILED
192,Projection,LineagePersistenceMapping,0.3207,0.3126,0.3065,0.3019,0.2955,0.2917,0.2993,IDENTITY-FAILED
256,Projection,LineagePersistenceMapping,0.2555,0.2549,0.2477,0.2469,0.2375,0.2332,0.2406,IDENTITY-FAILED
320,Projection,LineagePersistenceMapping,0.2159,0.2062,0.2043,0.2086,0.2023,0.2032,0.2073,IDENTITY-FAILED
512,Projection,LineagePersistenceMapping,0.1467,0.1414,0.1406,0.1426,0.1352,0.1366,0.1367,IDENTITY-FAILED
768,Projection,LineagePersistenceMapping,0.1013,0.0984,0.0987,0.0981,0.0953,0.0927,0.0981,IDENTITY-FAILED
1024,Projection,LineagePersistenceMapping,0.0775,0.0765,0.0747,0.0767,0.0743,0.0721,0.0757,IDENTITY-FAILED
1536,Projection,LineagePersistenceMapping,0.0533,0.0521,0.0511,0.0521,0.0505,0.05,0.0508,IDENTITY-FAILED
2048,Projection,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection,LineagePersistenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection,IdentityBoundaryStability,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
2,Projection,IdentityBoundaryStability,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
4,Projection,IdentityBoundaryStability,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
6,Projection,IdentityBoundaryStability,0.96,0.9356,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
8,Projection,IdentityBoundaryStability,0.96,0.9216,0.9114,0.8968,0.9059,0.8841,0.9119,IDENTITY-STABLE
12,Projection,IdentityBoundaryStability,0.9198,0.9036,0.8905,0.8695,0.866,0.8613,0.8789,IDENTITY-BOUNDED
16,Projection,IdentityBoundaryStability,0.8932,0.8678,0.8439,0.8269,0.8531,0.8204,0.8506,IDENTITY-BOUNDED
20,Projection,IdentityBoundaryStability,0.8355,0.8147,0.8198,0.7945,0.8004,0.7706,0.8039,IDENTITY-BOUNDED
24,Projection,IdentityBoundaryStability,0.8243,0.7793,0.7697,0.7686,0.7725,0.7472,0.7834,IDENTITY-PARTIAL
32,Projection,IdentityBoundaryStability,0.7573,0.7372,0.7248,0.7177,0.7315,0.6986,0.7216,IDENTITY-PARTIAL
40,Projection,IdentityBoundaryStability,0.695,0.6725,0.6686,0.6776,0.6838,0.6697,0.6838,IDENTITY-DEGRADING
48,Projection,IdentityBoundaryStability,0.6727,0.6436,0.6314,0.6361,0.6314,0.619,0.627,IDENTITY-DEGRADING
64,Projection,IdentityBoundaryStability,0.5812,0.5688,0.5592,0.5609,0.5773,0.5572,0.5543,IDENTITY-DEGRADING
80,Projection,IdentityBoundaryStability,0.5421,0.5235,0.5165,0.5157,0.5014,0.5021,0.497,IDENTITY-FAILED
96,Projection,IdentityBoundaryStability,0.4924,0.4609,0.4607,0.4555,0.4624,0.4555,0.4588,IDENTITY-FAILED
128,Projection,IdentityBoundaryStability,0.4079,0.4022,0.3885,0.3912,0.392,0.375,0.3903,IDENTITY-FAILED
160,Projection,IdentityBoundaryStability,0.3582,0.3503,0.3433,0.3435,0.3444,0.3321,0.334,IDENTITY-FAILED
192,Projection,IdentityBoundaryStability,0.3155,0.3085,0.3076,0.3035,0.297,0.2944,0.3048,IDENTITY-FAILED
256,Projection,IdentityBoundaryStability,0.252,0.2512,0.2483,0.2401,0.2459,0.2359,0.2403,IDENTITY-FAILED
320,Projection,IdentityBoundaryStability,0.2136,0.2112,0.2041,0.2047,0.2038,0.2021,0.2076,IDENTITY-FAILED
512,Projection,IdentityBoundaryStability,0.1442,0.139,0.1369,0.1365,0.142,0.1376,0.1377,IDENTITY-FAILED
768,Projection,IdentityBoundaryStability,0.1017,0.0976,0.0976,0.098,0.0973,0.0962,0.098,IDENTITY-FAILED
1024,Projection,IdentityBoundaryStability,0.0772,0.0759,0.0736,0.0743,0.0756,0.0728,0.0731,IDENTITY-FAILED
1536,Projection,IdentityBoundaryStability,0.0538,0.0509,0.0516,0.0504,0.0512,0.0501,0.0511,IDENTITY-FAILED
2048,Projection,IdentityBoundaryStability,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection,IdentityBoundaryStability,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection,TransportIdentityPreservation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
2,Projection,TransportIdentityPreservation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
4,Projection,TransportIdentityPreservation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
6,Projection,TransportIdentityPreservation,0.96,0.94,0.9293,0.92,0.91,0.8976,0.92,IDENTITY-STABLE
8,Projection,TransportIdentityPreservation,0.9432,0.9357,0.9042,0.892,0.8855,0.8734,0.9123,IDENTITY-STABLE
12,Projection,TransportIdentityPreservation,0.918,0.8778,0.8792,0.8771,0.8534,0.852,0.8811,IDENTITY-BOUNDED
16,Projection,TransportIdentityPreservation,0.8634,0.8468,0.8483,0.8237,0.8313,0.8053,0.8362,IDENTITY-BOUNDED
20,Projection,TransportIdentityPreservation,0.8535,0.8052,0.804,0.8144,0.7904,0.7788,0.8133,IDENTITY-BOUNDED
24,Projection,TransportIdentityPreservation,0.8225,0.7926,0.7647,0.7606,0.7721,0.7442,0.7831,IDENTITY-PARTIAL
32,Projection,TransportIdentityPreservation,0.747,0.7342,0.7315,0.7243,0.712,0.6917,0.7382,IDENTITY-PARTIAL
40,Projection,TransportIdentityPreservation,0.7168,0.696,0.6652,0.6611,0.6705,0.6685,0.6817,IDENTITY-DEGRADING
48,Projection,TransportIdentityPreservation,0.668,0.6426,0.6478,0.6209,0.6285,0.6174,0.6512,IDENTITY-DEGRADING
64,Projection,TransportIdentityPreservation,0.5825,0.5831,0.5728,0.5691,0.5539,0.5523,0.5784,IDENTITY-DEGRADING
80,Projection,TransportIdentityPreservation,0.5251,0.5253,0.5073,0.5159,0.503,0.4973,0.5236,IDENTITY-FAILED
96,Projection,TransportIdentityPreservation,0.4857,0.4724,0.4639,0.469,0.4514,0.4551,0.4643,IDENTITY-FAILED
128,Projection,TransportIdentityPreservation,0.4079,0.3962,0.4017,0.3974,0.3899,0.3795,0.392,IDENTITY-FAILED
160,Projection,TransportIdentityPreservation,0.352,0.3473,0.3444,0.3367,0.3392,0.3378,0.3521,IDENTITY-FAILED
192,Projection,TransportIdentityPreservation,0.3102,0.3027,0.3058,0.3012,0.2965,0.2974,0.3077,IDENTITY-FAILED
256,Projection,TransportIdentityPreservation,0.2505,0.2524,0.2405,0.2398,0.2403,0.2374,0.2483,IDENTITY-FAILED
320,Projection,TransportIdentityPreservation,0.2152,0.2046,0.203,0.203,0.2058,0.1992,0.2114,IDENTITY-FAILED
512,Projection,TransportIdentityPreservation,0.1442,0.1424,0.1423,0.1406,0.1367,0.138,0.1416,IDENTITY-FAILED
768,Projection,TransportIdentityPreservation,0.1003,0.0978,0.0958,0.0965,0.0969,0.0954,0.099,IDENTITY-FAILED
1024,Projection,TransportIdentityPreservation,0.0785,0.0768,0.0747,0.0728,0.0732,0.0727,0.0749,IDENTITY-FAILED
1536,Projection,TransportIdentityPreservation,0.0538,0.0515,0.0514,0.0509,0.0508,0.05,0.0508,IDENTITY-FAILED
2048,Projection,TransportIdentityPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection,TransportIdentityPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection,CompositeIdentityCoexistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
2,Projection,CompositeIdentityCoexistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
4,Projection,CompositeIdentityCoexistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
6,Projection,CompositeIdentityCoexistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
8,Projection,CompositeIdentityCoexistence,0.96,0.9125,0.9295,0.9035,0.91,0.9,0.8943,IDENTITY-STABLE
12,Projection,CompositeIdentityCoexistence,0.9249,0.9009,0.8783,0.8845,0.8531,0.8778,0.8542,IDENTITY-BOUNDED
16,Projection,CompositeIdentityCoexistence,0.8851,0.848,0.8409,0.8271,0.8145,0.8251,0.8262,IDENTITY-BOUNDED
20,Projection,CompositeIdentityCoexistence,0.8377,0.8254,0.8235,0.8174,0.784,0.7899,0.7879,IDENTITY-BOUNDED
24,Projection,CompositeIdentityCoexistence,0.816,0.7982,0.7948,0.7762,0.7694,0.7801,0.7571,IDENTITY-PARTIAL
32,Projection,CompositeIdentityCoexistence,0.7625,0.7456,0.7144,0.7201,0.7137,0.7155,0.7106,IDENTITY-PARTIAL
40,Projection,CompositeIdentityCoexistence,0.6975,0.6865,0.6782,0.6758,0.6702,0.6737,0.6671,IDENTITY-DEGRADING
48,Projection,CompositeIdentityCoexistence,0.6599,0.6547,0.6292,0.6381,0.6148,0.6401,0.6378,IDENTITY-DEGRADING
64,Projection,CompositeIdentityCoexistence,0.5929,0.5752,0.5596,0.5627,0.5484,0.5675,0.5682,IDENTITY-DEGRADING
80,Projection,CompositeIdentityCoexistence,0.535,0.5139,0.5117,0.5024,0.5056,0.509,0.5035,IDENTITY-FAILED
96,Projection,CompositeIdentityCoexistence,0.4825,0.4703,0.4682,0.4608,0.4522,0.4612,0.4618,IDENTITY-FAILED
128,Projection,CompositeIdentityCoexistence,0.4088,0.3908,0.3953,0.388,0.3922,0.3889,0.3845,IDENTITY-FAILED
160,Projection,CompositeIdentityCoexistence,0.3526,0.3424,0.3469,0.3391,0.3341,0.3442,0.3368,IDENTITY-FAILED
192,Projection,CompositeIdentityCoexistence,0.3081,0.3099,0.3009,0.3016,0.2977,0.2936,0.2959,IDENTITY-FAILED
256,Projection,CompositeIdentityCoexistence,0.2523,0.2442,0.2419,0.244,0.2451,0.2466,0.2408,IDENTITY-FAILED
320,Projection,CompositeIdentityCoexistence,0.2123,0.2124,0.204,0.2032,0.2,0.2008,0.2041,IDENTITY-FAILED
512,Projection,CompositeIdentityCoexistence,0.1442,0.1397,0.1402,0.1358,0.136,0.1407,0.1392,IDENTITY-FAILED
768,Projection,CompositeIdentityCoexistence,0.0994,0.098,0.0994,0.0973,0.0973,0.0966,0.0951,IDENTITY-FAILED
1024,Projection,CompositeIdentityCoexistence,0.0776,0.0761,0.0754,0.0739,0.0728,0.0754,0.0753,IDENTITY-FAILED
1536,Projection,CompositeIdentityCoexistence,0.0521,0.0516,0.0508,0.0509,0.051,0.05,0.0515,IDENTITY-FAILED
2048,Projection,CompositeIdentityCoexistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection,CompositeIdentityCoexistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection,NullIdentityControl,0.8442,0.8505,0.8378,0.8275,0.8012,0.7865,0.8039,IDENTITY-BOUNDED
2,Projection,NullIdentityControl,0.8338,0.8079,0.8313,0.8087,0.7953,0.7785,0.8104,IDENTITY-BOUNDED
4,Projection,NullIdentityControl,0.8227,0.8166,0.7855,0.8237,0.7933,0.7862,0.7776,IDENTITY-PARTIAL
6,Projection,NullIdentityControl,0.8038,0.7775,0.7811,0.7836,0.7515,0.7377,0.7515,IDENTITY-PARTIAL
8,Projection,NullIdentityControl,0.791,0.7597,0.7743,0.7858,0.7316,0.7217,0.7425,IDENTITY-PARTIAL
12,Projection,NullIdentityControl,0.7315,0.7426,0.7458,0.7252,0.726,0.7052,0.704,IDENTITY-PARTIAL
16,Projection,NullIdentityControl,0.7305,0.7107,0.6904,0.7102,0.674,0.6645,0.6845,IDENTITY-DEGRADING
20,Projection,NullIdentityControl,0.6816,0.6689,0.6815,0.6907,0.6712,0.6569,0.6487,IDENTITY-DEGRADING
24,Projection,NullIdentityControl,0.676,0.6651,0.6419,0.6554,0.6288,0.6364,0.6336,IDENTITY-DEGRADING
32,Projection,NullIdentityControl,0.613,0.6064,0.5993,0.6183,0.5774,0.5771,0.5803,IDENTITY-DEGRADING
40,Projection,NullIdentityControl,0.5771,0.5777,0.5755,0.5802,0.5574,0.5359,0.5559,IDENTITY-DEGRADING
48,Projection,NullIdentityControl,0.5493,0.5285,0.5253,0.5343,0.5036,0.5193,0.5295,IDENTITY-FAILED
64,Projection,NullIdentityControl,0.4822,0.4783,0.4595,0.4659,0.4639,0.4612,0.4549,IDENTITY-FAILED
80,Projection,NullIdentityControl,0.4239,0.4211,0.4328,0.4331,0.4173,0.4125,0.4105,IDENTITY-FAILED
96,Projection,NullIdentityControl,0.3868,0.3941,0.3822,0.3904,0.3815,0.367,0.3734,IDENTITY-FAILED
128,Projection,NullIdentityControl,0.3425,0.3362,0.3306,0.3327,0.3234,0.3113,0.317,IDENTITY-FAILED
160,Projection,NullIdentityControl,0.2925,0.2942,0.2825,0.2876,0.2831,0.2797,0.2787,IDENTITY-FAILED
192,Projection,NullIdentityControl,0.2533,0.2545,0.2513,0.2521,0.2392,0.2465,0.2461,IDENTITY-FAILED
256,Projection,NullIdentityControl,0.2033,0.203,0.2021,0.2067,0.2006,0.2004,0.204,IDENTITY-FAILED
320,Projection,NullIdentityControl,0.1774,0.1755,0.1671,0.1734,0.1647,0.1674,0.169,IDENTITY-FAILED
512,Projection,NullIdentityControl,0.1198,0.1195,0.1148,0.1184,0.1112,0.1128,0.1171,IDENTITY-FAILED
768,Projection,NullIdentityControl,0.0829,0.0824,0.08,0.082,0.0795,0.0773,0.0788,IDENTITY-FAILED
1024,Projection,NullIdentityControl,0.0646,0.0631,0.062,0.0622,0.062,0.0586,0.0617,IDENTITY-FAILED
1536,Projection,NullIdentityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
2048,Projection,NullIdentityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection,NullIdentityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Antisymmetry,RecursiveIdentityTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
2,Antisymmetry,RecursiveIdentityTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
4,Antisymmetry,RecursiveIdentityTracking,0.96,0.9371,0.93,0.92,0.9032,0.9,0.92,IDENTITY-STABLE
6,Antisymmetry,RecursiveIdentityTracking,0.9474,0.9163,0.9133,0.9194,0.91,0.8762,0.898,IDENTITY-STABLE
8,Antisymmetry,RecursiveIdentityTracking,0.9424,0.8915,0.8912,0.8802,0.8581,0.8856,0.8712,IDENTITY-BOUNDED
12,Antisymmetry,RecursiveIdentityTracking,0.8866,0.8686,0.8507,0.827,0.822,0.8496,0.8318,IDENTITY-BOUNDED
16,Antisymmetry,RecursiveIdentityTracking,0.8809,0.8363,0.8374,0.7965,0.8093,0.7948,0.8135,IDENTITY-BOUNDED
20,Antisymmetry,RecursiveIdentityTracking,0.8388,0.7978,0.781,0.7858,0.78,0.7637,0.7687,IDENTITY-PARTIAL
24,Antisymmetry,RecursiveIdentityTracking,0.805,0.778,0.7582,0.7524,0.7487,0.7397,0.7485,IDENTITY-PARTIAL
32,Antisymmetry,RecursiveIdentityTracking,0.7449,0.7054,0.7243,0.7082,0.675,0.6873,0.688,IDENTITY-PARTIAL
40,Antisymmetry,RecursiveIdentityTracking,0.6932,0.6844,0.6519,0.6571,0.6456,0.6564,0.6478,IDENTITY-DEGRADING
48,Antisymmetry,RecursiveIdentityTracking,0.6441,0.626,0.6332,0.6236,0.6036,0.5964,0.6079,IDENTITY-DEGRADING
64,Antisymmetry,RecursiveIdentityTracking,0.5831,0.5635,0.5608,0.5426,0.5298,0.5333,0.5385,IDENTITY-DEGRADING
80,Antisymmetry,RecursiveIdentityTracking,0.5227,0.5102,0.5034,0.498,0.4822,0.4937,0.4938,IDENTITY-FAILED
96,Antisymmetry,RecursiveIdentityTracking,0.4762,0.4614,0.4624,0.4392,0.4347,0.4399,0.4509,IDENTITY-FAILED
128,Antisymmetry,RecursiveIdentityTracking,0.4044,0.385,0.3825,0.3732,0.3712,0.3715,0.3778,IDENTITY-FAILED
160,Antisymmetry,RecursiveIdentityTracking,0.35,0.3402,0.3422,0.3325,0.3312,0.321,0.3223,IDENTITY-FAILED
192,Antisymmetry,RecursiveIdentityTracking,0.31,0.2999,0.3017,0.2901,0.2832,0.2891,0.2954,IDENTITY-FAILED
256,Antisymmetry,RecursiveIdentityTracking,0.2519,0.2446,0.2378,0.2329,0.2374,0.2345,0.2319,IDENTITY-FAILED
320,Antisymmetry,RecursiveIdentityTracking,0.2095,0.2002,0.2021,0.1947,0.1932,0.2,0.1969,IDENTITY-FAILED
512,Antisymmetry,RecursiveIdentityTracking,0.1453,0.1387,0.1372,0.1353,0.1301,0.13,0.1364,IDENTITY-FAILED
768,Antisymmetry,RecursiveIdentityTracking,0.0985,0.0957,0.0953,0.0929,0.0945,0.0942,0.0929,IDENTITY-FAILED
1024,Antisymmetry,RecursiveIdentityTracking,0.0763,0.0728,0.0738,0.0716,0.0699,0.0717,0.0705,IDENTITY-FAILED
1536,Antisymmetry,RecursiveIdentityTracking,0.0517,0.0516,0.0507,0.0502,0.05,0.05,0.05,IDENTITY-FAILED
2048,Antisymmetry,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Antisymmetry,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Antisymmetry,ModeDifferentiationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
2,Antisymmetry,ModeDifferentiationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
4,Antisymmetry,ModeDifferentiationAnalysis,0.96,0.94,0.93,0.92,0.91,0.8975,0.92,IDENTITY-STABLE
6,Antisymmetry,ModeDifferentiationAnalysis,0.96,0.94,0.9181,0.8931,0.8969,0.8985,0.8964,IDENTITY-STABLE
8,Antisymmetry,ModeDifferentiationAnalysis,0.9571,0.9071,0.9005,0.8919,0.8859,0.8835,0.909,IDENTITY-STABLE
12,Antisymmetry,ModeDifferentiationAnalysis,0.909,0.8912,0.8733,0.8503,0.8614,0.8224,0.8466,IDENTITY-BOUNDED
