operator_A,operator_B,cg_A,cg_B,cg_comp,preserves,composition_asymmetry
multiplicative,resonance_locking,0.0,0.35,0.175,neither,0.35
multiplicative,resonance_locking,0.0,0.358,0.179,neither,0.358
branching,synchronization,0.0,0.0,0.0,B,0.0
branching,synchronization,0.0,0.168,0.084,B,0.168
branching,synchronization,0.0,0.0,0.0,B,0.0
branching,synchronization,0.0,0.168,0.084,B,0.168
branching,recursive_feedback,0.0,0.35,0.175,neither,0.35
branching,recursive_feedback,0.0,0.358,0.179,neither,0.358
branching,recursive_feedback,0.0,0.35,0.175,neither,0.35
branching,recursive_feedback,0.0,0.358,0.179,neither,0.358
branching,competitive_exclusion,0.0,0.0,0.0,B,0.0
branching,competitive_exclusion,0.0,0.0,0.0,B,0.0
branching,competitive_exclusion,0.0,0.0,0.0,B,0.0
branching,competitive_exclusion,0.0,0.0,0.0,B,0.0
branching,diffusion,0.0,0.0,0.0,B,0.0
branching,diffusion,0.0,0.168,0.084,B,0.168
branching,diffusion,0.0,0.168,0.084,B,0.168
branching,hierarchical_nesting,0.0,0.238,0.119,neither,0.238
branching,hierarchical_nesting,0.0,0.168,0.084,B,0.168
branching,hierarchical_nesting,0.0,0.238,0.119,neither,0.238
branching,hierarchical_nesting,0.0,0.168,0.084,B,0.168
branching,constraint_propagation,0.0,0.168,0.084,B,0.168
branching,constraint_propagation,0.0,0.0,0.0,B,0.0
branching,constraint_propagation,0.0,0.168,0.084,B,0.168
branching,resonance_locking,0.0,0.35,0.175,neither,0.35
branching,resonance_locking,0.0,0.358,0.179,neither,0.358
branching,resonance_locking,0.0,0.35,0.175,neither,0.35
branching,resonance_locking,0.0,0.358,0.179,neither,0.358
synchronization,recursive_feedback,0.0,0.35,0.175,neither,0.35
synchronization,recursive_feedback,0.0,0.358,0.179,neither,0.358
synchronization,recursive_feedback,0.168,0.35,0.259,B,0.18199999999999997
synchronization,recursive_feedback,0.168,0.358,0.263,B,0.18999999999999997
synchronization,competitive_exclusion,0.0,0.0,0.0,B,0.0
synchronization,competitive_exclusion,0.168,0.0,0.084,B,0.168
synchronization,competitive_exclusion,0.168,0.0,0.084,B,0.168
synchronization,diffusion,0.0,0.0,0.0,B,0.0
synchronization,diffusion,0.0,0.168,0.084,B,0.168
synchronization,diffusion,0.168,0.0,0.084,B,0.168
synchronization,hierarchical_nesting,0.0,0.238,0.119,neither,0.238
synchronization,hierarchical_nesting,0.0,0.168,0.084,B,0.168
synchronization,hierarchical_nesting,0.168,0.238,0.203,B,0.06999999999999998
synchronization,constraint_propagation,0.0,0.168,0.084,B,0.168
synchronization,constraint_propagation,0.0,0.0,0.0,B,0.0
synchronization,constraint_propagation,0.168,0.0,0.084,B,0.168
synchronization,resonance_locking,0.0,0.35,0.175,neither,0.35
synchronization,resonance_locking,0.0,0.358,0.179,neither,0.358
synchronization,resonance_locking,0.168,0.35,0.259,B,0.18199999999999997
synchronization,resonance_locking,0.168,0.358,0.263,B,0.18999999999999997
recursive_feedback,competitive_exclusion,0.35,0.0,0.175,neither,0.35
recursive_feedback,competitive_exclusion,0.35,0.0,0.175,neither,0.35
recursive_feedback,competitive_exclusion,0.358,0.0,0.179,neither,0.358
recursive_feedback,competitive_exclusion,0.358,0.0,0.179,neither,0.358
recursive_feedback,diffusion,0.35,0.0,0.175,neither,0.35
recursive_feedback,diffusion,0.35,0.168,0.259,A,0.18199999999999997
recursive_feedback,diffusion,0.358,0.0,0.179,neither,0.358
recursive_feedback,diffusion,0.358,0.168,0.263,A,0.18999999999999997
recursive_feedback,hierarchical_nesting,0.35,0.238,0.294,B,0.11199999999999999
recursive_feedback,hierarchical_nesting,0.35,0.168,0.259,A,0.18199999999999997
recursive_feedback,hierarchical_nesting,0.358,0.238,0.298,B,0.12
recursive_feedback,hierarchical_nesting,0.358,0.168,0.263,A,0.18999999999999997
recursive_feedback,constraint_propagation,0.35,0.168,0.259,A,0.18199999999999997
recursive_feedback,constraint_propagation,0.35,0.0,0.175,neither,0.35
recursive_feedback,constraint_propagation,0.358,0.168,0.263,A,0.18999999999999997
recursive_feedback,constraint_propagation,0.358,0.0,0.179,neither,0.358
recursive_feedback,resonance_locking,0.35,0.358,0.354,B,0.008000000000000007
recursive_feedback,resonance_locking,0.358,0.35,0.354,B,0.008000000000000007
competitive_exclusion,diffusion,0.0,0.0,0.0,B,0.0
competitive_exclusion,diffusion,0.0,0.168,0.084,B,0.168
competitive_exclusion,diffusion,0.0,0.0,0.0,B,0.0
competitive_exclusion,diffusion,0.0,0.168,0.084,B,0.168
competitive_exclusion,hierarchical_nesting,0.0,0.238,0.119,neither,0.238
competitive_exclusion,hierarchical_nesting,0.0,0.168,0.084,B,0.168
competitive_exclusion,hierarchical_nesting,0.0,0.238,0.119,neither,0.238
competitive_exclusion,hierarchical_nesting,0.0,0.168,0.084,B,0.168
competitive_exclusion,constraint_propagation,0.0,0.168,0.084,B,0.168
competitive_exclusion,constraint_propagation,0.0,0.0,0.0,B,0.0
competitive_exclusion,constraint_propagation,0.0,0.168,0.084,B,0.168
competitive_exclusion,constraint_propagation,0.0,0.0,0.0,B,0.0
competitive_exclusion,resonance_locking,0.0,0.35,0.175,neither,0.35
competitive_exclusion,resonance_locking,0.0,0.358,0.179,neither,0.358
competitive_exclusion,resonance_locking,0.0,0.35,0.175,neither,0.35
competitive_exclusion,resonance_locking,0.0,0.358,0.179,neither,0.358
diffusion,hierarchical_nesting,0.0,0.238,0.119,neither,0.238
diffusion,hierarchical_nesting,0.0,0.168,0.084,B,0.168
diffusion,hierarchical_nesting,0.168,0.238,0.203,B,0.06999999999999998
diffusion,constraint_propagation,0.0,0.168,0.084,B,0.168
diffusion,constraint_propagation,0.168,0.0,0.084,B,0.168
diffusion,resonance_locking,0.0,0.35,0.175,neither,0.35
diffusion,resonance_locking,0.0,0.358,0.179,neither,0.358
diffusion,resonance_locking,0.168,0.35,0.259,B,0.18199999999999997
diffusion,resonance_locking,0.168,0.358,0.263,B,0.18999999999999997
hierarchical_nesting,constraint_propagation,0.238,0.168,0.203,A,0.06999999999999998
hierarchical_nesting,constraint_propagation,0.238,0.0,0.119,neither,0.238
hierarchical_nesting,constraint_propagation,0.168,0.0,0.084,B,0.168
hierarchical_nesting,resonance_locking,0.238,0.35,0.294,B,0.11199999999999999
hierarchical_nesting,resonance_locking,0.238,0.358,0.298,B,0.12
hierarchical_nesting,resonance_locking,0.168,0.35,0.259,B,0.18199999999999997
hierarchical_nesting,resonance_locking,0.168,0.358,0.263,B,0.18999999999999997
constraint_propagation,resonance_locking,0.168,0.35,0.259,B,0.18199999999999997
constraint_propagation,resonance_locking,0.168,0.358,0.263,B,0.18999999999999997
constraint_propagation,resonance_locking,0.0,0.35,0.175,neither,0.35
constraint_propagation,resonance_locking,0.0,0.358,0.179,neither,0.358
