domain,sys_idx,collapse_available,recovery_possible,recovery_steps_mean,recovery_probability,recovery_entropy,collapse_regime_shifts
branching,250,0,-1,-1.0,-1.0,-1.0,-1
branching,253,2,1,1.29,0.85,0.0,1
branching,254,3,1,4.97,1.0,0.0,1
branching,257,1,1,1.0,1.0,0.0,1
branching,260,0,-1,-1.0,-1.0,-1.0,-1
branching,261,0,-1,-1.0,-1.0,-1.0,-1
branching,272,2,1,1.85,1.0,0.0,1
branching,274,0,-1,-1.0,-1.0,-1.0,-1
branching,296,0,-1,-1.0,-1.0,-1.0,-1
branching,314,0,-1,-1.0,-1.0,-1.0,-1
branching,317,0,-1,-1.0,-1.0,-1.0,-1
branching,320,1,1,1.4,1.0,0.0,1
branching,322,0,-1,-1.0,-1.0,-1.0,-1
branching,323,5,1,1.12,0.5,0.0,1
branching,324,0,-1,-1.0,-1.0,-1.0,-1
branching,326,0,-1,-1.0,-1.0,-1.0,-1
branching,327,1,1,1.0,1.0,0.0,1
branching,332,0,-1,-1.0,-1.0,-1.0,-1
branching,333,0,-1,-1.0,-1.0,-1.0,-1
branching,334,0,-1,-1.0,-1.0,-1.0,-1
branching,342,2,1,1.06,0.85,0.0,1
branching,345,0,-1,-1.0,-1.0,-1.0,-1
branching,352,10,1,2.7,1.0,0.0,1
branching,353,14,1,1.0,0.08,0.0,1
branching,355,0,-1,-1.0,-1.0,-1.0,-1
branching,356,0,-1,-1.0,-1.0,-1.0,-1
branching,365,0,-1,-1.0,-1.0,-1.0,-1
branching,367,0,-1,-1.0,-1.0,-1.0,-1
branching,377,0,-1,-1.0,-1.0,-1.0,-1
branching,382,0,-1,-1.0,-1.0,-1.0,-1
branching,384,0,-1,-1.0,-1.0,-1.0,-1
branching,385,1,1,1.5,1.0,0.0,1
branching,389,1,1,1.0,0.9,0.0,1
branching,391,2,1,1.2,0.75,0.0,1
branching,397,0,-1,-1.0,-1.0,-1.0,-1
branching,404,8,1,1.0,0.06,0.0,1
branching,408,0,-1,-1.0,-1.0,-1.0,-1
branching,414,0,-1,-1.0,-1.0,-1.0,-1
branching,426,0,-1,-1.0,-1.0,-1.0,-1
branching,430,20,0,-1.0,0.0,0.0,1
branching,434,0,-1,-1.0,-1.0,-1.0,-1
branching,436,2,1,1.3,1.0,0.0,1
branching,437,1,1,1.4,1.0,0.0,1
branching,441,0,-1,-1.0,-1.0,-1.0,-1
branching,454,1,1,1.0,1.0,0.0,1
branching,464,0,-1,-1.0,-1.0,-1.0,-1
branching,465,0,-1,-1.0,-1.0,-1.0,-1
branching,478,0,-1,-1.0,-1.0,-1.0,-1
branching,479,3,1,2.13,1.0,0.0,1
branching,481,2,1,1.05,1.0,0.0,1
branching,485,14,1,1.0,0.18,0.0,1
branching,486,0,-1,-1.0,-1.0,-1.0,-1
branching,488,1,1,1.33,0.9,0.0,1
branching,489,4,1,1.72,1.0,0.0,1
branching,493,0,-1,-1.0,-1.0,-1.0,-1
coupled_map_lattice,5,13,1,5.07,0.54,0.0,1
coupled_map_lattice,6,11,1,3.0,1.0,0.0,1
coupled_map_lattice,19,6,1,4.09,0.92,0.0,1
coupled_map_lattice,37,16,1,3.28,1.0,0.0,1
coupled_map_lattice,40,11,1,2.6,1.0,0.0,1
coupled_map_lattice,47,10,1,4.42,0.48,0.0,1
coupled_map_lattice,49,16,1,3.64,1.0,0.0,1
coupled_map_lattice,56,12,1,3.06,1.0,0.0,1
coupled_map_lattice,60,17,1,5.44,1.0,0.0,1
coupled_map_lattice,64,4,1,2.03,0.9,0.8113,2
coupled_map_lattice,69,16,1,9.5,0.36,1.371,3
coupled_map_lattice,86,11,1,8.86,0.58,0.0,1
coupled_map_lattice,88,5,1,3.75,0.96,0.0,1
coupled_map_lattice,93,4,1,4.18,0.85,0.0,1
coupled_map_lattice,102,9,1,4.06,0.96,0.0,1
coupled_map_lattice,103,11,1,2.3,0.86,0.0,1
coupled_map_lattice,107,9,1,4.57,0.88,0.0,1
coupled_map_lattice,126,14,1,3.36,1.0,0.0,1
coupled_map_lattice,128,17,1,5.28,1.0,0.0,1
coupled_map_lattice,130,8,1,7.16,0.64,0.0,1
coupled_map_lattice,131,9,1,4.94,0.72,0.0,1
coupled_map_lattice,135,10,1,2.88,1.0,0.0,1
coupled_map_lattice,137,2,1,2.25,1.0,0.0,1
coupled_map_lattice,145,7,1,5.55,0.94,0.0,1
coupled_map_lattice,150,18,1,5.53,0.98,0.0,1
coupled_map_lattice,151,18,1,7.26,1.0,0.0,1
coupled_map_lattice,152,3,1,3.14,0.9667,0.0,1
coupled_map_lattice,153,15,1,5.86,1.0,0.0,1
coupled_map_lattice,155,13,1,8.35,0.4,0.0,1
coupled_map_lattice,158,11,1,3.02,1.0,0.0,1
coupled_map_lattice,159,10,1,2.6,0.96,0.0,1
coupled_map_lattice,172,7,1,4.59,0.88,0.0,1
coupled_map_lattice,179,17,1,3.66,1.0,0.0,1
coupled_map_lattice,180,4,1,4.08,0.95,0.0,1
coupled_map_lattice,181,18,1,5.54,1.0,0.0,1
coupled_map_lattice,185,12,1,2.12,0.98,0.0,1
coupled_map_lattice,186,10,1,2.64,1.0,0.0,1
coupled_map_lattice,191,16,1,12.22,0.18,0.7219,2
coupled_map_lattice,193,14,1,4.15,0.4,0.0,1
coupled_map_lattice,200,8,1,3.13,0.94,0.0,1
coupled_map_lattice,206,10,1,2.33,0.92,0.0,1
coupled_map_lattice,212,3,1,2.48,0.9667,0.0,1
coupled_map_lattice,213,16,1,3.7,1.0,0.0,1
coupled_map_lattice,219,12,1,8.8,0.6,0.0,1
coupled_map_lattice,224,15,1,3.87,0.3,1.5219,3
coupled_map_lattice,226,12,1,6.14,1.0,0.0,1
coupled_map_lattice,229,16,1,4.58,1.0,0.0,1
coupled_map_lattice,244,15,1,3.8,1.0,0.0,1
coupled_map_lattice,253,13,1,2.27,0.74,0.7219,2
coupled_map_lattice,263,11,1,2.18,1.0,0.0,1
coupled_map_lattice,278,15,1,5.5,1.0,0.0,1
coupled_map_lattice,287,5,1,2.96,0.9,0.0,1
coupled_map_lattice,290,13,1,3.48,1.0,0.0,1
coupled_map_lattice,296,19,1,6.84,1.0,0.0,1
coupled_map_lattice,299,11,1,3.58,1.0,0.0,1
coupled_map_lattice,302,1,1,4.89,0.9,0.0,1
coupled_map_lattice,308,15,1,3.88,0.32,1.5219,3
coupled_map_lattice,316,10,1,2.11,0.92,0.7219,2
coupled_map_lattice,319,16,1,4.0,0.28,0.971,2
coupled_map_lattice,320,15,1,2.76,1.0,0.0,1
coupled_map_lattice,322,11,1,1.94,0.64,0.971,2
coupled_map_lattice,324,10,1,2.74,1.0,0.0,1
coupled_map_lattice,330,3,1,2.56,0.9,0.0,1
coupled_map_lattice,335,4,1,6.12,0.625,0.0,1
coupled_map_lattice,355,9,1,3.53,0.94,0.0,1
coupled_map_lattice,357,17,1,11.33,0.42,0.0,1
coupled_map_lattice,358,18,1,6.58,1.0,0.0,1
coupled_map_lattice,359,9,1,3.06,0.68,0.0,1
coupled_map_lattice,367,11,1,3.4,0.86,0.0,1
coupled_map_lattice,395,5,1,4.61,0.98,0.0,1
coupled_map_lattice,401,20,1,6.5,0.08,0.0,1
coupled_map_lattice,406,11,1,3.26,0.62,0.0,1
coupled_map_lattice,411,10,1,3.74,1.0,0.0,1
coupled_map_lattice,412,16,1,5.46,1.0,0.0,1
coupled_map_lattice,423,11,1,6.55,0.8,0.0,1
coupled_map_lattice,426,11,1,3.6,1.0,0.0,1
coupled_map_lattice,429,19,1,7.57,0.42,0.0,1
coupled_map_lattice,433,10,1,2.39,0.98,0.7219,2
coupled_map_lattice,463,13,1,8.19,0.52,0.0,1
coupled_map_lattice,469,18,1,6.16,1.0,0.0,1
coupled_map_lattice,473,12,1,2.34,0.94,0.0,1
coupled_map_lattice,477,10,1,6.69,0.58,0.0,1
coupled_map_lattice,497,10,1,3.16,1.0,0.0,1
coupled_map_lattice,499,4,1,3.74,0.775,0.0,1
gray_scott,3,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,4,5,1,2.1,1.0,1.5219,3
gray_scott,7,1,1,1.6,1.0,0.0,1
gray_scott,12,3,1,1.63,1.0,0.0,1
gray_scott,13,7,1,2.78,1.0,0.0,1
gray_scott,15,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,16,2,1,1.2,1.0,0.0,1
gray_scott,17,3,1,1.17,1.0,0.0,1
gray_scott,19,18,1,5.96,1.0,0.0,1
gray_scott,20,4,1,4.62,1.0,0.0,1
gray_scott,21,8,1,11.2,0.9,0.0,1
gray_scott,26,3,1,1.23,1.0,0.9183,2
gray_scott,29,14,1,4.02,1.0,0.0,1
gray_scott,30,19,1,28.59,0.98,0.0,1
gray_scott,32,3,1,1.2,1.0,0.0,1
gray_scott,34,10,1,10.04,0.96,0.0,1
gray_scott,37,18,1,9.38,1.0,0.0,1
gray_scott,40,3,1,1.3,1.0,0.0,1
gray_scott,41,7,1,2.3,1.0,1.5219,3
gray_scott,42,3,1,2.37,1.0,0.0,1
gray_scott,45,5,1,2.62,1.0,0.971,2
gray_scott,47,11,1,2.88,1.0,0.0,1
gray_scott,51,6,1,1.84,1.0,0.0,1
gray_scott,54,12,1,4.0,1.0,0.0,1
gray_scott,65,1,1,1.7,1.0,0.0,1
gray_scott,69,11,1,3.34,1.0,0.0,1
gray_scott,71,17,1,7.44,1.0,0.0,1
gray_scott,73,11,1,20.95,0.78,0.0,1
gray_scott,75,12,1,6.98,0.94,1.371,3
gray_scott,77,20,1,13.0,0.72,0.0,1
gray_scott,81,5,1,4.39,0.98,0.0,1
gray_scott,86,5,1,1.9,1.0,1.5219,3
gray_scott,90,6,1,2.63,0.98,0.971,2
gray_scott,92,13,1,3.6,1.0,0.0,1
gray_scott,94,16,1,8.55,0.98,0.0,1
gray_scott,95,19,1,28.5,0.6,0.0,1
gray_scott,96,2,1,1.2,1.0,0.0,1
gray_scott,97,14,1,3.06,1.0,0.0,1
gray_scott,99,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,101,4,1,1.1,1.0,0.0,1
gray_scott,104,8,1,2.94,1.0,0.0,1
gray_scott,106,13,1,21.17,0.72,0.0,1
gray_scott,110,1,1,1.1,1.0,0.0,1
gray_scott,113,4,1,1.3,1.0,0.0,1
gray_scott,114,3,1,4.93,1.0,0.0,1
gray_scott,115,6,1,6.88,0.98,0.0,1
gray_scott,116,10,1,8.69,0.98,0.0,1
gray_scott,120,15,1,3.6,1.0,0.0,1
gray_scott,124,5,1,7.04,0.98,0.0,1
gray_scott,126,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,127,2,1,1.25,1.0,0.0,1
gray_scott,128,15,1,2.94,1.0,0.0,1
gray_scott,130,12,1,2.44,1.0,0.0,1
gray_scott,132,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,135,5,1,1.58,1.0,0.0,1
gray_scott,137,13,1,19.02,0.8,0.0,1
gray_scott,140,15,1,3.78,1.0,0.0,1
gray_scott,141,12,1,15.07,0.86,0.0,1
gray_scott,145,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,146,9,1,2.02,1.0,0.7219,2
gray_scott,149,15,1,4.2,1.0,0.0,1
gray_scott,154,14,1,10.17,0.96,0.0,1
gray_scott,160,11,1,2.62,1.0,0.0,1
gray_scott,167,8,1,15.04,0.9,0.0,1
gray_scott,169,2,1,1.35,1.0,0.0,1
gray_scott,170,12,1,3.12,1.0,0.0,1
gray_scott,171,13,1,2.82,1.0,0.0,1
gray_scott,172,1,1,2.7,1.0,0.0,1
gray_scott,178,2,1,1.15,1.0,0.0,1
gray_scott,182,3,1,1.07,1.0,0.0,1
gray_scott,184,1,1,45.67,0.9,0.0,1
gray_scott,188,11,1,3.38,1.0,0.0,1
gray_scott,190,6,1,1.52,1.0,0.0,1
gray_scott,191,3,1,2.13,1.0,0.9183,2
gray_scott,193,6,1,1.5,1.0,0.0,1
gray_scott,197,11,1,3.2,1.0,0.0,1
gray_scott,200,15,1,4.58,1.0,0.0,1
gray_scott,201,15,1,8.4,1.0,0.0,1
gray_scott,205,7,1,5.96,1.0,0.0,1
gray_scott,209,12,1,2.8,1.0,0.0,1
gray_scott,210,1,1,15.38,0.8,0.0,1
gray_scott,211,6,1,5.52,1.0,0.0,1
gray_scott,216,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,219,14,1,5.68,0.94,0.0,1
gray_scott,220,19,1,39.67,0.78,0.0,1
gray_scott,221,3,1,31.85,0.6667,0.0,1
gray_scott,222,2,1,1.1,1.0,0.0,1
gray_scott,227,12,1,19.84,0.76,0.0,1
gray_scott,229,12,1,3.98,1.0,0.0,1
gray_scott,231,8,1,9.13,0.92,0.0,1
gray_scott,233,5,1,1.8,1.0,1.5219,3
gray_scott,234,9,1,43.58,0.66,0.0,1
gray_scott,236,8,1,1.86,1.0,0.0,1
gray_scott,238,3,1,1.2,1.0,0.0,1
gray_scott,240,4,1,1.9,1.0,0.8113,2
gray_scott,242,3,1,1.5,1.0,0.0,1
gray_scott,246,18,1,5.34,1.0,0.0,1
gray_scott,249,3,1,4.6,1.0,0.0,1
gray_scott,253,16,1,4.2,1.0,0.0,1
gray_scott,257,12,1,6.26,1.0,0.0,1
gray_scott,264,3,1,1.8,1.0,0.0,1
gray_scott,266,3,1,37.54,0.8,0.0,1
gray_scott,267,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,272,2,1,1.9,1.0,1.0,2
gray_scott,274,5,1,2.32,0.88,0.0,1
gray_scott,279,2,1,1.35,1.0,0.0,1
gray_scott,281,16,1,25.08,0.76,0.0,1
gray_scott,282,8,1,3.32,1.0,0.971,2
gray_scott,284,1,1,1.5,1.0,0.0,1
gray_scott,287,8,1,8.44,1.0,0.0,1
gray_scott,289,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,290,18,1,25.08,0.8,0.0,1
gray_scott,293,9,1,7.04,0.98,0.0,1
gray_scott,294,15,1,3.3,1.0,0.0,1
gray_scott,295,12,1,7.28,1.0,0.0,1
gray_scott,296,12,1,2.78,1.0,0.0,1
gray_scott,297,9,1,1.46,1.0,0.0,1
gray_scott,298,10,1,1.86,1.0,0.0,1
gray_scott,299,18,1,31.94,0.68,0.0,1
gray_scott,300,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,303,11,1,2.82,1.0,0.0,1
gray_scott,305,4,1,1.48,1.0,0.0,1
gray_scott,306,15,1,3.16,1.0,0.0,1
gray_scott,307,14,1,1.98,1.0,0.0,1
gray_scott,311,18,1,8.76,0.98,0.0,1
gray_scott,327,10,1,1.88,1.0,0.0,1
gray_scott,330,3,1,1.33,1.0,0.0,1
gray_scott,335,8,1,1.76,1.0,0.0,1
gray_scott,341,19,1,32.15,0.68,0.0,1
gray_scott,344,4,1,4.1,0.975,0.0,1
gray_scott,347,13,1,3.64,1.0,0.0,1
gray_scott,348,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,352,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,353,5,1,1.36,1.0,0.0,1
gray_scott,355,5,1,3.24,1.0,0.0,1
gray_scott,356,3,1,2.0,1.0,0.9183,2
gray_scott,360,1,1,1.2,1.0,0.0,1
gray_scott,361,15,1,7.27,0.96,0.0,1
gray_scott,362,14,1,3.36,1.0,0.0,1
gray_scott,363,3,1,1.17,1.0,0.9183,2
gray_scott,364,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,367,2,1,1.65,1.0,0.0,1
gray_scott,368,12,1,5.08,1.0,0.7219,2
gray_scott,372,13,1,30.12,0.66,0.971,2
gray_scott,378,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,379,12,1,2.42,1.0,0.0,1
gray_scott,392,6,1,3.14,0.98,0.971,2
gray_scott,393,1,1,29.11,0.9,0.0,1
gray_scott,399,1,1,1.0,1.0,0.0,1
gray_scott,401,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,403,1,1,2.2,1.0,0.0,1
gray_scott,404,5,1,6.14,0.98,0.0,1
gray_scott,407,18,1,29.05,0.76,0.0,1
gray_scott,410,3,1,5.73,1.0,0.0,1
gray_scott,411,2,1,1.75,1.0,1.0,2
gray_scott,413,8,1,30.81,0.84,0.0,1
gray_scott,421,14,1,2.88,1.0,0.0,1
gray_scott,424,13,1,2.42,1.0,0.0,1
gray_scott,433,11,1,2.9,1.0,0.0,1
gray_scott,448,8,1,1.64,1.0,0.7219,2
gray_scott,450,18,1,26.0,0.72,0.0,1
gray_scott,451,6,1,1.5,1.0,0.0,1
gray_scott,456,5,1,2.46,1.0,0.971,2
gray_scott,457,4,1,1.98,1.0,0.0,1
gray_scott,458,8,1,1.6,1.0,0.0,1
gray_scott,461,0,-1,-1.0,-1.0,-1.0,-1
gray_scott,463,6,1,38.0,0.68,0.0,1
gray_scott,473,5,1,4.5,0.96,0.0,1
gray_scott,478,4,1,1.5,1.0,0.0,1
gray_scott,479,3,1,1.33,1.0,0.0,1
gray_scott,483,6,1,4.52,1.0,0.0,1
gray_scott,484,19,1,6.64,1.0,0.0,1
gray_scott,495,8,1,5.62,1.0,0.0,1
gray_scott,496,9,1,20.98,0.96,0.0,1
gray_scott,499,1,1,7.8,1.0,0.0,1
kuramoto,0,7,1,3.64,1.0,0.0,1
kuramoto,4,7,1,8.02,1.0,0.0,1
kuramoto,7,1,1,3.2,1.0,0.0,1
kuramoto,9,5,1,5.1,1.0,0.0,1
kuramoto,11,7,1,3.42,1.0,0.0,1
kuramoto,13,11,1,3.84,1.0,0.0,1
kuramoto,14,2,1,4.55,1.0,0.0,1
kuramoto,15,12,1,6.86,1.0,0.0,1
kuramoto,19,6,1,2.96,1.0,0.0,1
kuramoto,20,12,1,8.0,1.0,0.0,1
kuramoto,22,8,1,5.58,1.0,0.0,1
kuramoto,27,6,1,5.24,1.0,0.0,1
kuramoto,28,9,1,6.64,1.0,0.0,1
kuramoto,30,6,1,2.3,1.0,0.0,1
kuramoto,33,9,1,7.52,1.0,0.0,1
kuramoto,36,9,1,4.58,1.0,0.0,1
kuramoto,38,8,1,8.74,1.0,0.0,1
kuramoto,39,4,1,4.28,1.0,0.0,1
kuramoto,42,6,1,3.02,1.0,0.0,1
kuramoto,43,4,1,6.25,1.0,0.0,1
kuramoto,52,4,1,10.5,1.0,0.0,1
kuramoto,53,6,1,7.56,1.0,0.0,1
kuramoto,55,2,1,1.6,1.0,0.0,1
kuramoto,60,8,1,13.96,1.0,0.0,1
kuramoto,70,12,1,3.88,1.0,0.0,1
kuramoto,72,1,1,7.4,1.0,0.0,1
kuramoto,73,7,1,9.44,1.0,0.0,1
kuramoto,83,8,1,2.1,1.0,0.971,2
kuramoto,88,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,90,16,1,9.98,1.0,0.0,1
kuramoto,93,2,1,5.0,1.0,0.0,1
kuramoto,94,3,1,6.27,1.0,0.0,1
kuramoto,96,2,1,2.45,1.0,0.0,1
kuramoto,103,2,1,8.05,1.0,0.0,1
kuramoto,104,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,105,10,1,5.3,1.0,0.0,1
kuramoto,109,6,1,3.56,1.0,0.0,1
kuramoto,113,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,114,13,1,7.08,1.0,0.0,1
kuramoto,115,1,1,7.1,1.0,0.0,1
kuramoto,116,7,1,8.36,1.0,0.0,1
kuramoto,121,11,1,6.06,1.0,0.0,1
kuramoto,133,11,1,3.42,1.0,0.0,1
kuramoto,136,1,1,1.4,1.0,0.0,1
kuramoto,137,4,1,7.05,1.0,0.0,1
kuramoto,138,6,1,4.5,1.0,0.0,1
kuramoto,142,3,1,6.4,1.0,0.0,1
kuramoto,144,8,1,7.0,1.0,0.0,1
kuramoto,145,2,1,1.4,1.0,0.0,1
kuramoto,150,12,1,9.2,1.0,0.0,1
kuramoto,153,2,1,2.45,1.0,1.0,2
kuramoto,155,9,1,2.82,1.0,0.0,1
kuramoto,157,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,158,2,1,7.75,1.0,0.0,1
kuramoto,162,16,1,9.84,1.0,0.0,1
kuramoto,164,10,1,6.06,1.0,0.0,1
kuramoto,169,11,1,6.94,1.0,0.0,1
kuramoto,171,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,175,12,1,8.82,1.0,0.0,1
kuramoto,177,1,1,5.8,1.0,0.0,1
kuramoto,178,12,1,5.04,1.0,0.0,1
kuramoto,179,13,1,11.08,1.0,0.0,1
kuramoto,181,6,1,1.82,1.0,0.971,2
kuramoto,186,1,1,2.4,1.0,0.0,1
kuramoto,193,8,1,7.26,1.0,0.0,1
kuramoto,194,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,195,12,1,7.44,1.0,0.0,1
kuramoto,197,5,1,6.46,1.0,0.0,1
kuramoto,210,6,1,6.64,1.0,0.0,1
kuramoto,211,8,1,9.16,1.0,0.0,1
kuramoto,220,9,1,4.62,1.0,0.0,1
kuramoto,222,10,1,6.48,1.0,0.0,1
kuramoto,224,11,1,5.68,1.0,0.0,1
kuramoto,227,11,1,8.44,1.0,0.0,1
kuramoto,232,5,1,5.34,1.0,0.0,1
kuramoto,236,7,1,9.08,1.0,0.0,1
kuramoto,237,3,1,6.67,1.0,0.0,1
kuramoto,247,2,1,2.65,1.0,0.0,1
kuramoto,248,5,1,2.54,1.0,0.0,1
kuramoto,251,11,1,6.98,1.0,0.0,1
kuramoto,252,6,1,8.28,1.0,0.0,1
kuramoto,253,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,255,8,1,2.66,1.0,1.371,3
kuramoto,256,4,1,5.68,1.0,0.0,1
kuramoto,258,6,1,6.7,1.0,0.0,1
kuramoto,260,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,261,9,1,4.12,1.0,0.0,1
kuramoto,262,13,1,8.26,1.0,0.0,1
kuramoto,263,14,1,7.62,1.0,0.0,1
kuramoto,267,3,1,4.5,1.0,0.0,1
kuramoto,271,8,1,2.28,1.0,1.371,3
kuramoto,272,4,1,4.3,1.0,1.0,2
kuramoto,273,10,1,9.62,1.0,0.0,1
kuramoto,278,5,1,9.52,1.0,0.0,1
kuramoto,279,13,1,8.88,1.0,0.0,1
kuramoto,280,6,1,6.02,1.0,0.0,1
kuramoto,281,10,1,8.9,1.0,0.0,1
kuramoto,284,3,1,3.6,1.0,0.9183,2
kuramoto,290,1,1,8.1,1.0,0.0,1
kuramoto,291,10,1,3.18,1.0,1.5219,3
kuramoto,293,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,294,6,1,5.64,1.0,0.0,1
kuramoto,297,1,1,2.8,1.0,0.0,1
kuramoto,298,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,299,11,1,2.58,1.0,0.971,2
kuramoto,306,2,1,6.65,1.0,0.0,1
kuramoto,307,8,1,8.12,1.0,0.0,1
kuramoto,313,9,1,2.6,1.0,0.971,2
kuramoto,321,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,326,4,1,4.03,1.0,0.0,1
kuramoto,330,11,1,10.46,1.0,0.0,1
kuramoto,334,8,1,5.42,1.0,0.0,1
kuramoto,335,6,1,2.5,1.0,0.0,1
kuramoto,337,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,339,6,1,2.1,1.0,0.971,2
kuramoto,340,15,1,9.0,1.0,0.0,1
kuramoto,341,1,1,1.9,1.0,0.0,1
kuramoto,343,12,1,8.16,1.0,0.0,1
kuramoto,345,8,1,6.02,1.0,0.0,1
kuramoto,346,5,1,5.5,1.0,0.0,1
kuramoto,347,4,1,2.2,1.0,0.0,1
kuramoto,348,10,1,3.26,1.0,0.0,1
kuramoto,350,4,1,7.38,1.0,0.0,1
kuramoto,352,7,1,4.72,1.0,0.0,1
kuramoto,353,11,1,3.8,1.0,0.0,1
kuramoto,354,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,355,8,1,6.82,1.0,0.0,1
kuramoto,357,7,1,5.08,1.0,0.0,1
kuramoto,358,6,1,5.22,1.0,0.0,1
kuramoto,359,0,-1,-1.0,-1.0,-1.0,-1
kuramoto,360,5,1,3.72,1.0,0.0,1
kuramoto,362,10,1,8.38,1.0,0.0,1
