domain,sys_idx,process_regime,transition_neighbor_fraction,transition_sharpness,org_gradient_predictive_shear,org_curvature_local_curvature,process_rigidity,is_near_transition
branching,98,CH,0.0,2.5148,0.0038,0.1028,0.0034,0
branching,99,CG,0.0,0.9931,0.2889,1.0978,0.1897,0
branching,100,CH,0.0,1.4086,0.0025,0.04,0.0066,0
branching,101,CH,0.0,1.5487,0.0027,0.0304,0.0063,0
branching,102,CH,0.0,1.5839,0.0032,0.042,0.0058,0
branching,103,CH,0.0,1.2213,0.0042,0.5141,0.0254,0
branching,104,CG,0.0333,1.6689,0.0807,0.7233,0.0637,0
branching,105,CG,0.0,1.0066,0.4194,1.1001,0.2392,0
branching,106,CH,0.0,2.4147,0.0045,0.089,0.0121,0
branching,107,CH,0.0,2.4042,0.0038,0.0979,0.003,0
branching,108,CG,0.0,4.4836,0.0289,0.4394,0.0788,0
branching,109,CH,0.6,1.1718,0.8431,0.8734,0.3541,1
branching,110,CH,0.2667,0.3575,0.0008,0.1123,0.0704,0
branching,111,CH,0.0,2.4134,0.0017,0.1461,0.0122,0
branching,112,CH,0.0,1.0007,0.0011,0.1219,0.043,0
branching,113,CG,0.1333,4.9098,0.0258,0.3989,0.0448,0
branching,114,CG,0.2667,5.9745,0.2632,1.1134,0.1722,0
branching,115,CH,0.0,1.0795,0.0224,0.3009,0.0467,0
branching,116,CH,0.0,1.6089,0.0379,2.009,0.2213,0
branching,117,CH,0.0,1.955,0.0046,0.1452,0.0058,0
branching,118,CH,0.0,1.265,0.038,0.2984,0.0369,0
branching,119,CH,0.0,2.3366,0.0028,0.1042,0.0152,0
branching,120,CH,0.0,1.075,0.0032,0.1001,0.02,0
branching,121,CH,0.0,1.2255,0.0322,0.3183,0.0365,0
branching,122,CG,0.5333,0.3969,0.0793,0.4623,0.1478,1
branching,123,CG,0.0667,0.614,0.0053,0.1642,0.0937,0
branching,124,CH,0.0,1.9573,0.0022,0.0319,0.0067,0
branching,125,CH,0.8,0.9017,0.0112,0.2754,0.0327,1
branching,126,CH,0.0,0.8924,0.0086,0.1885,0.0231,0
branching,127,CH,0.0,2.3099,0.0027,0.1612,0.0117,0
branching,128,CG,0.7667,0.5838,0.1196,0.9135,0.1433,1
branching,129,CG,0.0,3.2272,0.6402,1.146,0.2736,0
branching,130,CH,0.6,0.4684,0.0291,0.6747,0.2256,1
branching,131,CG,0.3333,0.5039,0.0015,0.1267,0.0805,1
branching,132,CH,0.0,2.4446,0.0047,0.0657,0.0119,0
branching,133,CH,0.0,2.3848,0.0052,0.07,0.0106,0
branching,134,CH,0.0,1.5871,0.0006,0.2481,0.012,0
branching,135,CG,0.1,0.3055,0.0053,0.165,0.0937,0
branching,136,CH,0.0,1.2779,0.0101,0.3189,0.0204,0
branching,137,CH,0.0,1.5144,0.0045,0.0569,0.0122,0
branching,138,CG,0.0,3.2272,0.48,0.8353,0.2095,0
branching,139,CH,0.0,1.2501,0.0028,0.0843,0.0211,0
branching,140,CG,0.0,1.0319,0.0066,0.2394,0.0929,0
branching,141,CG,0.0,3.4789,0.01,0.4579,0.0237,0
branching,142,CG,0.0,0.9394,0.8504,1.2014,0.2727,0
branching,143,CH,0.0,1.6187,0.0005,0.1581,0.0145,0
branching,144,CG,0.0,3.2272,0.8873,0.7897,0.3184,0
branching,145,CG,0.0,2.5516,0.8918,0.709,0.3488,0
branching,146,CH,0.0,1.7329,0.0487,0.4318,0.0712,0
branching,147,CH,0.0,0.6642,0.0249,0.6459,0.0778,0
branching,148,CH,0.0,1.1437,0.0014,0.0849,0.0264,0
branching,149,CG,0.0,3.3064,0.6678,1.1879,0.2453,0
branching,150,CH,0.0,1.2792,0.0463,1.0092,0.2562,0
branching,151,CH,0.6,0.8447,0.0297,0.4915,0.2264,1
branching,152,CH,0.0,1.3372,0.0046,0.0917,0.017,0
branching,153,CG,0.0,4.7911,0.0438,0.4697,0.0906,0
branching,154,CH,0.0,2.6668,0.0029,0.0494,0.0049,0
branching,155,CH,0.6667,0.6102,0.5669,1.0431,0.2692,1
branching,156,CH,0.0,2.0801,0.0001,0.3498,0.0143,0
branching,157,CH,0.0,1.6183,0.0002,0.1854,0.0203,0
branching,158,CH,0.0,1.6536,0.0013,0.3601,0.0464,0
branching,159,CG,0.3333,0.6025,0.6174,0.9681,0.2755,1
branching,160,CH,0.0,1.1929,0.0265,0.2827,0.0321,0
branching,161,CH,0.0,1.2807,0.0496,0.3286,0.0476,0
branching,162,CH,0.0,1.3012,0.0042,0.1029,0.0177,0
branching,163,CH,0.0,2.5031,0.0028,0.0671,0.004,0
branching,164,CH,0.0,1.4461,0.0203,1.7185,0.1099,0
branching,165,CH,0.0,1.4196,0.0055,0.0651,0.0101,0
branching,166,CH,0.0,1.3333,0.038,0.3023,0.0369,0
branching,167,CH,0.0,2.3245,0.0021,0.1695,0.0101,0
branching,168,CH,0.0,2.3382,0.0004,0.1498,0.0176,0
branching,169,CH,0.0,1.2953,0.0036,0.0622,0.0135,0
branching,170,CH,0.0,1.5391,0.0026,0.0976,0.0141,0
branching,171,CH,0.0,1.1323,0.0012,0.1245,0.0367,0
branching,172,CH,0.0,1.2711,0.0459,0.9981,0.2346,0
branching,173,CG,0.0,5.5042,0.0301,0.456,0.0367,0
branching,174,CG,0.0,3.2548,0.1022,0.633,0.1438,0
branching,175,CG,0.0333,2.169,0.5552,0.9476,0.2732,0
branching,176,CH,0.0,2.2451,0.0023,0.1172,0.0141,0
branching,177,CG,0.0,3.9686,0.8696,0.666,0.3393,0
branching,178,CH,0.0,1.6822,0.0037,0.0476,0.0125,0
branching,179,CL,0.5667,0.3643,0.5553,0.9274,0.2738,1
branching,180,CH,0.0,0.7235,0.011,0.2426,0.0217,0
branching,181,CG,0.0,4.8551,0.3781,1.6131,0.177,0
branching,182,CH,0.0,1.8833,0.0003,0.2503,0.0127,0
branching,183,CH,0.0,2.6995,0.0034,0.0522,0.0046,0
branching,184,CH,0.0,1.6718,0.0489,0.5599,0.0987,0
branching,185,CH,0.0,0.7575,0.0014,0.1248,0.0761,0
branching,186,CG,0.0333,0.7631,0.0052,0.1811,0.0888,0
branching,187,CH,0.0,1.5931,0.0,0.2206,0.0235,0
branching,188,CH,0.0,2.2372,0.003,0.1499,0.0109,0
branching,189,CH,0.0,2.5796,0.0032,0.0628,0.0043,0
branching,190,CG,0.0667,0.547,0.1112,0.5761,0.178,0
branching,191,CH,0.0,1.6483,0.0078,0.5714,0.1004,0
branching,192,CH,0.0,1.2955,0.0034,0.1135,0.0188,0
branching,193,CH,0.0,2.4109,0.0049,0.09,0.0067,0
branching,194,CH,0.0,1.8852,0.0038,0.0839,0.0109,0
branching,195,CH,0.0,0.8013,0.0109,0.2295,0.0224,0
branching,196,CG,0.1333,2.0182,0.0085,0.2093,0.0244,0
branching,197,CH,0.0,2.1717,0.0024,0.3003,0.0089,0
branching,198,CH,0.0,2.429,0.0044,0.0765,0.0098,0
branching,199,CH,0.0,2.5018,0.0052,0.1229,0.0078,0
branching,200,CH,0.5667,0.9371,0.8733,0.8048,0.3296,1
branching,201,CH,0.0,0.7039,0.0254,0.415,0.0731,0
branching,202,CG,0.0,3.2272,0.9191,0.7647,0.3434,0
branching,203,CH,0.0,1.2183,0.0024,0.1132,0.0211,0
branching,204,CH,0.0,1.6061,0.0033,0.0401,0.0058,0
branching,205,CH,0.0,0.9656,0.0102,0.1899,0.023,0
branching,206,CH,0.0,1.2991,0.0285,0.2533,0.0256,0
branching,207,CH,0.0,1.3208,0.0044,0.1183,0.0174,0
branching,208,CH,0.0,0.716,0.0236,0.4099,0.0602,0
branching,209,CL,0.7,0.7675,0.8239,0.9261,0.3541,1
branching,210,CH,0.0,1.3303,0.0045,0.1084,0.0153,0
branching,211,CG,0.0,1.1944,0.0046,0.2689,0.0955,0
branching,212,CH,0.8333,0.5627,0.0069,0.2087,0.0854,1
branching,213,CH,0.0,1.6218,0.0038,0.0666,0.0117,0
branching,214,CH,0.0,1.2174,0.0037,0.0526,0.012,0
branching,215,CH,0.0,1.6336,0.0004,0.1872,0.0147,0
branching,216,CL,0.5333,1.2356,0.9919,0.8765,0.3541,1
branching,217,CH,0.0,1.6576,0.0027,0.0495,0.006,0
branching,218,CH,0.0,2.1884,0.0027,0.0331,0.0063,0
branching,219,CH,0.0,1.85,0.0044,0.1179,0.0112,0
branching,220,CG,0.0,4.9095,0.0138,0.2648,0.029,0
branching,221,CH,0.0,1.3681,0.0026,0.4347,0.0593,0
branching,222,CH,0.0,1.6984,0.0248,0.5716,0.1017,0
branching,223,CG,0.0,4.6769,0.1806,0.5543,0.1663,0
branching,224,CG,0.0,3.2272,0.6042,1.1649,0.2724,0
branching,225,CG,0.0,3.2272,0.8512,1.3836,0.2649,0
branching,226,CH,0.0,1.1968,0.0127,0.1705,0.0226,0
branching,227,CH,0.0,1.1774,0.0483,0.5238,0.0999,0
branching,228,CH,0.0,2.4332,0.0044,0.1065,0.0041,0
branching,229,CL,0.4333,1.4611,0.8446,0.8856,0.3556,1
branching,230,CH,0.0,1.2627,0.0109,0.1531,0.0233,0
branching,231,CG,0.0333,1.6395,0.0269,0.5125,0.0683,0
branching,232,CH,0.0,2.6264,0.0034,0.0515,0.0046,0
branching,233,CH,0.0,1.5978,0.0007,0.2706,0.037,0
branching,234,CG,0.0667,0.7942,0.1909,0.5749,0.166,0
branching,235,CG,0.0,4.6389,0.0677,1.191,0.1162,0
branching,236,CG,0.0,1.9841,0.0719,0.5822,0.0689,0
branching,237,CH,0.0,2.1388,0.003,0.128,0.0133,0
branching,238,CH,0.0,1.1006,0.0008,0.1751,0.0459,0
branching,239,CH,0.0,2.5724,0.0025,0.0729,0.0054,0
branching,240,CH,0.0,1.484,0.0063,0.0701,0.0097,0
branching,241,CL,0.5333,1.2152,0.9907,0.8434,0.3541,1
branching,242,CG,0.1333,0.8755,0.005,0.1881,0.0938,0
branching,243,CH,0.0,0.7264,0.0243,0.4818,0.0657,0
branching,244,CG,0.0,3.4075,0.0925,0.7423,0.0736,0
branching,245,CG,0.0,1.9841,0.0539,0.7277,0.0459,0
branching,246,CG,0.0,1.1193,0.0085,0.2202,0.0929,0
branching,247,CH,0.0,0.9993,0.0036,0.0622,0.0135,0
branching,248,CG,0.0667,0.5501,0.0051,0.1692,0.0925,0
branching,249,CH,0.0,1.2668,0.0493,1.0109,0.2279,0
branching,250,CG,0.0,3.4205,0.0563,0.7095,0.0444,0
branching,251,CL,0.6,0.9205,0.0272,4.3256,0.1269,1
branching,252,CH,0.0,1.6939,0.0025,0.0735,0.0067,0
branching,253,CG,0.0667,0.5335,0.0053,0.1639,0.0937,0
branching,254,CG,0.2,4.9874,0.2574,1.1516,0.1734,0
branching,255,CH,0.8,0.3658,0.0044,0.186,0.0842,1
branching,256,CH,0.0,1.7505,0.0027,0.1157,0.0159,0
branching,257,CG,0.0333,0.7103,0.1837,0.5482,0.1752,0
branching,258,CH,0.0,2.5789,0.0035,0.0489,0.0046,0
branching,259,CH,0.0,1.7494,0.0007,0.2715,0.037,0
branching,260,CG,0.0,5.1459,0.0234,0.384,0.0522,0
branching,261,CG,0.0,3.6262,0.2899,1.2114,0.1688,0
branching,262,CH,0.0,2.2459,0.0045,0.1138,0.0131,0
branching,263,CH,0.0,1.2256,0.0072,0.1557,0.0207,0
branching,264,CH,0.0,0.8825,0.0253,0.4123,0.0732,0
branching,265,CH,0.0,1.5591,0.0001,0.315,0.0172,0
branching,266,CL,0.6,0.8352,0.0311,0.4636,0.2484,1
branching,267,CH,0.0,1.4308,0.0007,0.2707,0.037,0
branching,268,CH,0.0,0.7789,0.02,0.2973,0.0398,0
branching,269,CH,0.0,1.5149,0.0042,0.0742,0.0158,0
branching,270,CH,0.0,1.3631,0.0049,0.0642,0.0106,0
branching,271,CH,0.0,1.6837,0.0024,0.0352,0.0068,0
branching,272,CG,0.1333,0.822,0.7131,1.1086,0.2864,0
branching,273,CH,0.0,1.4323,0.0021,0.3029,0.0529,0
branching,274,CG,0.0,5.2558,0.4071,2.0975,0.1924,0
branching,275,CH,0.0,1.6659,0.0003,0.2436,0.0133,0
branching,276,CH,0.0,1.3304,0.0036,0.0896,0.0194,0
branching,277,CH,0.6667,0.3643,0.6159,0.9558,0.276,1
branching,278,CL,1.0,0.9825,0.0315,0.4625,0.2475,1
branching,279,CH,0.0,1.2407,0.0047,0.1983,0.0289,0
branching,280,CH,0.1,0.4125,0.0465,0.8449,0.0911,0
branching,281,CH,0.0,1.2198,0.0341,0.4977,0.0339,0
branching,282,CH,0.0,1.833,0.0016,0.1217,0.0143,0
branching,283,CH,0.0,2.3859,0.003,0.1255,0.0128,0
branching,284,CH,0.0,2.7357,0.0059,0.0931,0.0088,0
branching,285,CH,0.0,0.6745,0.023,0.4134,0.0633,0
branching,286,CH,0.0,2.3257,0.0032,0.1132,0.0036,0
branching,287,CH,0.0,1.628,0.0008,0.3441,0.0345,0
branching,288,CH,0.0,1.4728,0.0477,0.4961,0.0706,0
branching,289,CH,0.0,2.554,0.0024,0.0464,0.005,0
branching,290,CH,0.0,1.6833,0.0033,0.0402,0.006,0
branching,291,CH,0.0,2.4,0.0028,0.0793,0.0021,0
branching,292,CH,0.0,1.6267,0.0038,0.0667,0.0117,0
branching,293,CH,0.0,1.5143,0.0125,0.474,0.1228,0
branching,294,CH,0.0,2.6203,0.0046,0.0966,0.0068,0
branching,295,CH,0.0,1.6468,0.0046,0.3578,0.0757,0
branching,296,CG,0.0,3.2272,0.2307,1.6663,0.1581,0
branching,297,CH,0.0,1.4196,0.0041,0.4236,0.0613,0
branching,298,CH,0.0,1.91,0.0024,0.0356,0.0065,0
branching,299,CH,0.0,1.1949,0.0014,0.0905,0.0281,0
branching,300,CH,0.0,1.6836,0.0031,0.0651,0.0058,0
branching,301,CH,0.0,1.2218,0.0035,0.0905,0.0199,0
branching,302,CH,0.0,0.938,0.0036,0.065,0.0146,0
branching,303,CH,0.0,2.0244,0.003,0.148,0.0116,0
branching,304,CH,0.0,1.6673,0.0033,0.0404,0.0058,0
branching,305,CH,0.0,1.3123,0.0071,0.1619,0.0219,0
branching,306,CH,0.0,1.0286,0.0269,0.2715,0.0318,0
branching,307,CH,0.0,2.7931,0.0014,0.0972,0.003,0
branching,308,CH,0.0,2.4565,0.0049,0.1156,0.0134,0
branching,309,CH,0.0,1.4605,0.0332,0.6946,0.2511,0
branching,310,CH,0.0,2.7243,0.003,0.0692,0.0049,0
branching,311,CL,0.4667,1.1217,0.889,0.6802,0.3505,1
branching,312,CH,0.0,1.5146,0.0004,0.3257,0.0326,0
branching,313,CH,0.0,2.5089,0.0025,0.0585,0.0046,0
branching,314,CG,0.0,3.4117,0.4487,1.1133,0.2205,0
branching,315,CH,0.0,1.3417,0.0496,0.3281,0.0476,0
branching,316,CH,0.0,1.2891,0.0206,0.9904,0.0675,0
branching,317,CG,0.0,5.3571,0.0704,0.9284,0.0766,0
branching,318,CH,0.6,0.1036,0.8357,0.8889,0.3549,1
branching,319,CH,0.0,1.2322,0.0013,0.1028,0.032,0
branching,320,CG,0.0667,0.6403,0.0047,0.2524,0.0944,0
branching,321,CH,0.0,1.5872,0.0117,0.4658,0.1181,0
branching,322,CG,0.0,1.1259,0.4856,1.1157,0.241,0
branching,323,CG,0.2333,0.3252,0.0015,0.1313,0.0806,0
branching,324,CG,0.0,1.8067,0.1905,0.663,0.1695,0
branching,325,CH,0.0,2.4239,0.0017,0.0927,0.0023,0
branching,326,CG,0.0,3.5935,0.0061,0.1807,0.0218,0
branching,327,CG,0.0333,1.3587,0.2604,0.5164,0.17,0
branching,328,CH,0.0,2.5618,0.0038,0.0982,0.0038,0
branching,329,CH,0.0,0.8329,0.0013,0.094,0.03,0
branching,330,CH,0.0,1.8124,0.0033,0.1016,0.004,0
branching,331,CH,0.0,1.8594,0.0,0.2182,0.0245,0
branching,332,CG,0.0,2.5516,0.7983,1.0963,0.2793,0
branching,333,CG,0.0,1.0044,0.0048,0.2022,0.0918,0
branching,334,CG,0.0,0.9362,0.0056,0.2172,0.0918,0
branching,335,CL,0.5667,0.8633,0.0276,0.4146,0.2428,1
branching,336,CH,0.0,1.6571,0.0125,0.4736,0.1226,0
branching,337,CH,0.0,0.6688,0.0206,0.5208,0.0519,0
branching,338,CH,0.0,2.4082,0.0047,0.0991,0.012,0
branching,339,CH,0.0,1.5144,0.0046,0.128,0.0163,0
branching,340,CH,0.0,0.901,0.0112,0.1758,0.0226,0
branching,341,CH,0.0,1.6585,0.005,0.4878,0.0742,0
branching,342,CG,0.0667,0.5633,0.0752,0.5145,0.1329,0
branching,343,CH,0.0,1.4424,0.0062,0.0602,0.0101,0
branching,344,CH,0.0,2.5147,0.0027,0.0678,0.0041,0
branching,345,CG,0.0,2.5516,0.0263,0.8104,0.0793,0
branching,346,CH,0.0,2.5247,0.001,0.1001,0.0025,0
branching,347,CH,0.0,1.2728,0.0158,0.939,0.0277,0
branching,348,CL,0.5,1.6098,0.9869,0.8384,0.3536,1
branching,349,CH,0.0,1.5306,0.0015,0.3882,0.0427,0
branching,350,CH,0.0,1.9343,0.0024,0.1196,0.0153,0
branching,351,CH,0.0,1.4235,0.003,0.0748,0.014,0
branching,352,CG,0.4,0.3658,0.8306,1.3565,0.2768,1
branching,353,CG,0.6667,0.3354,0.0008,0.1828,0.0468,1
branching,354,CH,0.7333,0.7675,0.0291,0.6761,0.2256,1
branching,355,CG,0.0,4.5699,0.0191,0.888,0.0322,0
branching,356,CG,0.0,1.8067,0.1073,0.6795,0.1439,0
branching,357,CH,0.0,2.2987,0.0029,0.0915,0.0025,0
branching,358,CH,0.0,1.5308,0.0033,0.0427,0.006,0
branching,359,CH,0.0,0.9821,0.0073,0.1849,0.0217,0
branching,360,CH,0.0,1.4791,0.0038,0.0672,0.0117,0
branching,361,CH,0.0,0.7271,0.0007,0.1022,0.0643,0
branching,362,CH,0.8,0.2278,0.1658,0.4542,0.1799,1
branching,363,CL,0.6667,0.7945,0.0327,0.4893,0.2494,1
branching,364,CH,0.0,1.4787,0.0038,0.0389,0.0076,0
branching,365,CG,0.0,2.5516,0.2671,0.6256,0.1693,0
branching,366,CH,0.0,0.9152,0.012,0.1561,0.023,0
branching,367,CG,0.0,3.4592,0.0509,0.5264,0.0572,0
branching,368,CH,0.0,0.9631,0.0122,0.2382,0.0221,0
branching,369,CH,0.0,1.2757,0.0489,0.4289,0.0477,0
branching,370,CH,0.0,1.4152,0.0252,0.5683,0.1054,0
branching,371,CH,0.0,2.5923,0.0024,0.0606,0.0047,0
branching,372,CH,0.0,0.7485,0.0244,0.3543,0.0543,0
branching,373,CH,0.0,0.8601,0.0105,0.1621,0.0216,0
branching,374,CH,0.0,2.3138,0.0035,0.1255,0.0116,0
branching,375,CH,0.0,1.2343,0.0462,1.0049,0.2563,0
branching,376,CH,0.0,2.8221,0.003,0.0765,0.0039,0
branching,377,CG,0.0,4.0448,0.6183,1.4331,0.263,0
branching,378,CH,0.0,0.8365,0.0009,0.1519,0.0415,0
branching,379,CH,0.0,2.5117,0.0025,0.052,0.0046,0
branching,380,CH,0.0,1.6677,0.0023,0.0344,0.0067,0
branching,381,CH,0.0,1.1814,0.0107,0.1449,0.0218,0
branching,382,CG,0.0,3.828,0.7434,1.7998,0.2667,0
branching,383,CH,0.0,1.7044,0.0004,0.2438,0.013,0
branching,384,CG,0.0,5.0627,0.4471,1.5118,0.2089,0
branching,385,CG,0.1,2.406,0.6154,0.9628,0.2757,0
branching,386,CH,0.0,1.9617,0.0027,0.0684,0.0045,0
branching,387,CH,0.0,1.8963,0.0018,0.137,0.0131,0
branching,388,CH,0.0,1.267,0.0068,0.1894,0.0218,0
branching,389,CG,0.0667,0.5384,0.1657,0.454,0.1799,0
branching,390,CH,0.0,1.2737,0.0498,0.7844,0.0429,0
branching,391,CG,0.1,0.3207,0.0049,0.1898,0.093,0
branching,392,CH,0.0,1.2669,0.0062,0.1712,0.0213,0
branching,393,CH,0.0,1.5464,0.0028,0.0443,0.0061,0
branching,394,CH,0.0,1.4874,0.0089,0.4284,0.1084,0
branching,395,CH,0.0,2.1601,0.003,0.0551,0.0058,0
branching,396,CL,0.4667,0.6499,0.0269,0.3913,0.2225,1
branching,397,CG,0.0,0.942,0.0047,0.2477,0.0944,0
branching,398,CH,0.6667,0.8851,0.4525,0.8075,0.2615,1
branching,399,CH,0.0,2.6576,0.0049,0.1375,0.0108,0
branching,400,CH,0.0,1.6128,0.0032,0.0822,0.0114,0
branching,401,CH,0.0,1.6113,0.0037,0.0555,0.0119,0
branching,402,CL,0.5667,0.4735,0.0328,0.474,0.2497,1
branching,403,CH,0.0,1.8455,0.0047,0.1595,0.0083,0
branching,404,CG,0.3333,0.6417,0.0542,0.805,0.0957,1
branching,405,CH,0.0,0.6737,0.0234,0.4076,0.0633,0
branching,406,CH,0.0,1.5144,0.0019,0.3104,0.0499,0
branching,407,CH,0.0,1.5136,0.0032,0.0349,0.0062,0
branching,408,CG,0.1,3.2671,0.6613,1.1259,0.2743,0
branching,409,CL,0.5667,1.0778,0.9864,0.8285,0.3536,1
