domain,sys_idx,process_regime,transition_continuity,transition_curvature,transition_smoothness,transition_reversibility,transition_branching,transition_fragmentation
branching,89,CH,0.0,0.2162,0.9995,0.394,0.0593,0.25
branching,90,CH,0.0,0.1291,0.9989,0.5272,0.05,0.25
branching,91,CH,0.0,0.1068,0.9976,0.3233,0.0984,0.25
branching,92,CH,0.0,0.1466,0.9996,0.4622,0.0435,0.25
branching,93,CH,0.0,0.1897,0.9989,0.5264,0.0547,0.25
branching,94,CH,0.0,0.2274,0.9996,0.3968,0.0376,0.25
branching,95,CH,0.0,0.2967,0.9998,0.3959,0.0448,0.25
branching,96,CG,0.0,1.246,0.9702,0.8,0.7213,0.25
branching,97,CH,0.0,0.5118,0.9996,0.4648,0.0232,0.25
branching,98,CH,0.0,0.1028,0.9972,0.3833,0.1243,0.25
branching,99,CG,0.0,1.0978,0.9985,0.6602,0.0518,0.25
branching,100,CH,0.0,0.04,0.9997,0.4609,0.0515,0.25
branching,101,CH,0.0,0.0304,0.9995,0.399,0.0166,0.25
branching,102,CH,0.0,0.042,0.9995,0.3984,0.0223,0.25
branching,103,CH,0.0,0.5141,0.9996,0.466,0.0124,0.25
branching,104,CG,0.7892,0.7233,0.9954,0.4,0.694,0.5
branching,105,CG,0.0,1.1001,0.9986,0.6486,0.1017,0.25
branching,106,CH,0.0,0.089,0.9992,0.3294,0.0493,0.25
branching,107,CH,0.0,0.0979,0.9988,0.331,0.0326,0.25
branching,108,CG,0.0,0.4394,0.9932,0.3333,0.7512,0.25
branching,109,CH,0.029,0.8734,0.9487,0.1744,0.5021,0.5
branching,110,CH,0.1634,0.1123,0.9977,0.5953,0.0388,0.5
branching,111,CH,0.0,0.1461,0.9992,0.3291,0.0517,0.25
branching,112,CH,0.0,0.1219,0.9995,0.4622,0.0443,0.25
branching,113,CG,0.4335,0.3989,0.9701,0.8667,0.736,0.5
branching,114,CG,0.3116,1.1134,0.9567,0.9333,0.7019,0.75
branching,115,CH,0.0,0.3009,0.9994,0.463,0.0381,0.25
branching,116,CH,0.0,2.009,0.9994,0.3972,0.0344,0.25
branching,117,CH,0.0,0.1452,0.9986,0.3976,0.0298,0.25
branching,118,CH,0.0,0.2984,0.9997,0.4597,0.06,0.25
branching,119,CH,0.0,0.1042,0.9991,0.3305,0.0385,0.25
branching,120,CH,0.0,0.1001,0.9995,0.4635,0.0342,0.25
branching,121,CH,0.0,0.3183,0.9997,0.4612,0.0507,0.25
branching,122,CG,0.0032,0.4623,0.9976,0.5226,0.0805,0.5
branching,123,CG,0.6466,0.1642,0.998,0.5859,0.092,0.5
branching,124,CH,0.0,0.0319,0.9992,0.3906,0.083,0.25
branching,125,CH,0.2702,0.2754,0.9818,0.3667,0.6513,0.75
branching,126,CH,0.0,0.1885,0.9989,0.5304,0.0299,0.25
branching,127,CH,0.0,0.1612,0.999,0.3305,0.0386,0.25
branching,128,CG,0.0224,0.9135,0.9763,0.7392,0.646,0.75
branching,129,CG,0.0,1.146,0.9985,0.2,0.7622,0.25
branching,130,CH,0.2702,0.6747,0.9442,0.1518,0.5022,0.75
branching,131,CG,0.0817,0.1267,0.9971,0.5099,0.1382,0.5
branching,132,CH,0.0,0.0657,0.9987,0.3308,0.0352,0.25
branching,133,CH,0.0,0.07,0.9985,0.3326,0.0139,0.25
branching,134,CH,0.0,0.2481,0.9993,0.3992,0.0139,0.25
branching,135,CG,0.531,0.165,0.9981,0.5914,0.0653,0.5
branching,136,CH,0.0,0.3189,0.9996,0.4648,0.0245,0.25
branching,137,CH,0.0,0.0569,0.9995,0.3963,0.0426,0.25
branching,138,CG,0.0,0.8353,0.9985,0.2,0.7622,0.25
branching,139,CH,0.0,0.0843,0.9996,0.4652,0.0201,0.25
branching,140,CG,0.0,0.2394,0.9987,0.6195,0.1885,0.25
branching,141,CG,0.0,0.4579,0.9931,0.4667,0.7516,0.25
branching,142,CG,0.0,1.2014,0.9981,0.6601,0.0528,0.25
branching,143,CH,0.0,0.1581,0.9994,0.3975,0.0305,0.25
branching,144,CG,0.0,0.7897,0.9985,0.2,0.7622,0.25
branching,145,CG,0.0,0.709,0.9986,0.2667,0.7622,0.25
branching,146,CH,0.0,0.4318,0.9996,0.3987,0.0202,0.25
branching,147,CH,0.0,0.6459,0.9993,0.5318,0.0196,0.25
branching,148,CH,0.0,0.0849,0.9993,0.462,0.0454,0.25
branching,149,CG,0.0,1.1879,0.9982,0.2667,0.7591,0.25
branching,150,CH,0.0,1.0092,0.9996,0.4666,0.0057,0.25
branching,151,CH,0.2702,0.4915,0.9442,0.167,0.5014,0.75
branching,152,CH,0.0,0.0917,0.9997,0.4662,0.0104,0.25
branching,153,CG,0.0,0.4697,0.9932,0.3333,0.6429,0.25
branching,154,CH,0.0,0.0494,0.9979,0.3285,0.0573,0.25
branching,155,CH,0.0277,1.0431,0.9752,0.1284,0.7773,0.75
branching,156,CH,0.0,0.3498,0.999,0.3332,0.006,0.25
branching,157,CH,0.0,0.1854,0.9994,0.3992,0.0141,0.25
branching,158,CH,0.0,0.3601,0.9996,0.3979,0.0273,0.25
branching,159,CG,0.2164,0.9681,0.9794,0.4783,0.6998,0.75
branching,160,CH,0.0,0.2827,0.9996,0.4647,0.0243,0.25
branching,161,CH,0.0,0.3286,0.9997,0.4631,0.037,0.25
branching,162,CH,0.0,0.1029,0.9996,0.4638,0.0315,0.25
branching,163,CH,0.0,0.0671,0.9976,0.3318,0.0235,0.25
branching,164,CH,0.0,1.7185,0.9996,0.3955,0.0483,0.25
branching,165,CH,0.0,0.0651,0.9996,0.3951,0.0512,0.25
branching,166,CH,0.0,0.3023,0.9997,0.4643,0.0279,0.25
branching,167,CH,0.0,0.1695,0.999,0.3313,0.0304,0.25
branching,168,CH,0.0,0.1498,0.9988,0.3278,0.0639,0.25
branching,169,CH,0.0,0.0622,0.9996,0.4662,0.0105,0.25
branching,170,CH,0.0,0.0976,0.9994,0.3981,0.026,0.25
branching,171,CH,0.0,0.1245,0.9995,0.4638,0.0327,0.25
branching,172,CH,0.0,0.9981,0.9996,0.4627,0.0398,0.25
branching,173,CG,0.0,0.456,0.9861,0.6,0.716,0.25
branching,174,CG,0.0,0.633,0.9982,0.2667,0.7465,0.25
branching,175,CG,0.7892,0.9476,0.9975,0.5226,0.5645,0.5
branching,176,CH,0.0,0.1172,0.999,0.3321,0.0215,0.25
branching,177,CG,0.0,0.666,0.9984,0.1333,0.694,0.25
branching,178,CH,0.0,0.0476,0.9996,0.3967,0.0384,0.25
branching,179,CL,0.0423,0.9274,0.9767,0.0,0.5784,0.75
branching,180,CH,0.0,0.2426,0.9989,0.53,0.0333,0.25
branching,181,CG,0.0,1.6131,0.9931,0.4,0.7451,0.25
branching,182,CH,0.0,0.2503,0.9988,0.39,0.0862,0.25
branching,183,CH,0.0,0.0522,0.9979,0.3308,0.0352,0.25
branching,184,CH,0.0,0.5599,0.9993,0.3961,0.0439,0.25
branching,185,CH,0.0,0.1248,0.9989,0.5204,0.0868,0.25
branching,186,CG,0.7892,0.1811,0.9983,0.5999,0.0129,0.5
branching,187,CH,0.0,0.2206,0.9995,0.3983,0.0239,0.25
branching,188,CH,0.0,0.1499,0.999,0.3326,0.0145,0.25
branching,189,CH,0.0,0.0628,0.9977,0.3331,0.0072,0.25
branching,190,CG,0.6466,0.5761,0.998,0.5954,0.0448,0.5
branching,191,CH,0.0,0.5714,0.9993,0.3913,0.0786,0.25
branching,192,CH,0.0,0.1135,0.9996,0.4634,0.0349,0.25
branching,193,CH,0.0,0.09,0.9985,0.3327,0.013,0.25
branching,194,CH,0.0,0.0839,0.9983,0.3962,0.0421,0.25
branching,195,CH,0.0,0.2295,0.9989,0.531,0.0258,0.25
branching,196,CG,0.5743,0.2093,0.9826,0.5333,0.7622,0.75
branching,197,CH,0.0,0.3003,0.9991,0.3325,0.016,0.25
branching,198,CH,0.0,0.0765,0.9993,0.329,0.0529,0.25
branching,199,CH,0.0,0.1229,0.9982,0.3276,0.0647,0.25
branching,200,CH,0.1904,0.8048,0.9415,0.0053,0.5077,0.75
branching,201,CH,0.0,0.415,0.9989,0.5261,0.0571,0.25
branching,202,CG,0.0,0.7647,0.9985,0.2,0.7622,0.25
branching,203,CH,0.0,0.1132,0.9996,0.4649,0.0229,0.25
branching,204,CH,0.0,0.0401,0.9995,0.3994,0.0115,0.25
branching,205,CH,0.0,0.1899,0.999,0.5304,0.0301,0.25
branching,206,CH,0.0,0.2533,0.9997,0.4624,0.0419,0.25
branching,207,CH,0.0,0.1183,0.9996,0.4638,0.0319,0.25
branching,208,CH,0.0,0.4099,0.9989,0.5317,0.0207,0.25
branching,209,CL,0.003,0.9261,0.9542,0.0,0.5263,0.75
branching,210,CH,0.0,0.1084,0.9993,0.4641,0.0296,0.25
branching,211,CG,0.0,0.2689,0.9987,0.6654,0.0238,0.25
branching,212,CH,0.3116,0.2087,0.9821,0.7117,0.1079,0.75
branching,213,CH,0.0,0.0666,0.9991,0.3884,0.0969,0.25
branching,214,CH,0.0,0.0526,0.9995,0.4635,0.0338,0.25
branching,215,CH,0.0,0.1872,0.9995,0.3946,0.0551,0.25
branching,216,CL,0.0696,0.8765,0.9733,0.0,0.5301,0.75
branching,217,CH,0.0,0.0495,0.9996,0.3994,0.0116,0.25
branching,218,CH,0.0,0.0331,0.9989,0.3272,0.0692,0.25
branching,219,CH,0.0,0.1179,0.9987,0.3949,0.0521,0.25
branching,220,CG,0.0,0.2648,0.993,0.5333,0.721,0.25
branching,221,CH,0.0,0.4347,0.9996,0.4621,0.0434,0.25
branching,222,CH,0.0,0.5716,0.9995,0.3979,0.0281,0.25
branching,223,CG,0.0,0.5543,0.995,0.2667,0.6743,0.25
branching,224,CG,0.0,1.1649,0.9985,0.2,0.7622,0.25
branching,225,CG,0.0,1.3836,0.9985,0.2,0.7622,0.25
branching,226,CH,0.0,0.1705,0.9996,0.4623,0.0436,0.25
branching,227,CH,0.0,0.5238,0.9995,0.4643,0.0279,0.25
branching,228,CH,0.0,0.1065,0.9986,0.3323,0.0178,0.25
branching,229,CL,0.0129,0.8856,0.9461,0.0,0.5115,0.5
branching,230,CH,0.0,0.1531,0.9991,0.4574,0.0743,0.25
branching,231,CG,0.7892,0.5125,0.9954,0.4,0.7622,0.5
branching,232,CH,0.0,0.0515,0.9979,0.3274,0.0666,0.25
branching,233,CH,0.0,0.2706,0.9997,0.3934,0.0638,0.25
branching,234,CG,0.6466,0.5749,0.9983,0.5977,0.032,0.5
branching,235,CG,0.0,1.191,0.9944,0.2667,0.7363,0.25
branching,236,CG,0.0,0.5822,0.9988,0.3333,0.7622,0.25
branching,237,CH,0.0,0.128,0.999,0.3333,0.0044,0.25
branching,238,CH,0.0,0.1751,0.9993,0.4575,0.0743,0.25
branching,239,CH,0.0,0.0729,0.9978,0.3298,0.0446,0.25
branching,240,CH,0.0,0.0701,0.9996,0.3986,0.0215,0.25
branching,241,CL,0.0696,0.8434,0.9733,0.0,0.5304,0.75
branching,242,CG,0.4335,0.1881,0.9971,0.6435,0.1185,0.5
branching,243,CH,0.0,0.4818,0.9991,0.5255,0.0605,0.25
branching,244,CG,0.0,0.7423,0.9944,0.4,0.7547,0.25
branching,245,CG,0.0,0.7277,0.9988,0.3333,0.7622,0.25
branching,246,CG,0.0,0.2202,0.9987,0.665,0.0265,0.25
branching,247,CH,0.0,0.0622,0.9993,0.4639,0.0305,0.25
branching,248,CG,0.6466,0.1692,0.998,0.5919,0.0628,0.5
branching,249,CH,0.0,1.0109,0.9996,0.4594,0.0617,0.25
branching,250,CG,0.0,0.7095,0.9944,0.4,0.7092,0.25
branching,251,CL,0.0088,4.3256,0.9757,0.0,0.549,0.75
branching,252,CH,0.0,0.0735,0.9995,0.3985,0.022,0.25
branching,253,CG,0.6466,0.1639,0.9979,0.5797,0.1162,0.5
branching,254,CG,0.2781,1.1516,0.9699,0.8667,0.7473,0.5
branching,255,CH,0.0628,0.186,0.9714,0.7817,0.0915,0.75
branching,256,CH,0.0,0.1157,0.999,0.3997,0.0077,0.25
branching,257,CG,0.7892,0.5482,0.9982,0.5901,0.0726,0.5
branching,258,CH,0.0,0.0489,0.9984,0.3298,0.0453,0.25
branching,259,CH,0.0,0.2715,0.9993,0.3902,0.0856,0.25
branching,260,CG,0.0,0.384,0.9926,0.3333,0.6883,0.25
branching,261,CG,0.0,1.2114,0.9746,0.6,0.7579,0.25
branching,262,CH,0.0,0.1138,0.9989,0.3331,0.0069,0.25
branching,263,CH,0.0,0.1557,0.9996,0.4643,0.0284,0.25
branching,264,CH,0.0,0.4123,0.9989,0.5305,0.0298,0.25
branching,265,CH,0.0,0.315,0.9995,0.3996,0.0095,0.25
branching,266,CL,0.0088,0.4636,0.9696,0.0,0.5586,0.75
branching,267,CH,0.0,0.2707,0.9997,0.3913,0.0782,0.25
branching,268,CH,0.0,0.2973,0.9989,0.5319,0.0191,0.25
branching,269,CH,0.0,0.0742,0.9996,0.3979,0.0279,0.25
branching,270,CH,0.0,0.0642,0.9996,0.3998,0.007,0.25
branching,271,CH,0.0,0.0352,0.9996,0.3981,0.026,0.25
branching,272,CG,0.4335,1.1086,0.9972,0.6567,0.0695,0.5
branching,273,CH,0.0,0.3029,0.9996,0.398,0.027,0.25
branching,274,CG,0.0,2.0975,0.9928,0.3333,0.6549,0.25
branching,275,CH,0.0,0.2436,0.9994,0.3996,0.0095,0.25
branching,276,CH,0.0,0.0896,0.9993,0.4608,0.053,0.25
branching,277,CH,0.0499,0.9558,0.9765,0.3846,0.7735,0.75
branching,278,CL,0.0032,0.4625,0.9969,0.0,0.5508,0.5
branching,279,CH,0.0,0.1983,0.9997,0.4611,0.051,0.25
branching,280,CH,0.531,0.8449,0.9989,0.5955,0.0376,0.5
branching,281,CH,0.0,0.4977,0.9997,0.4664,0.0085,0.25
branching,282,CH,0.0,0.1217,0.9989,0.3985,0.0213,0.25
branching,283,CH,0.0,0.1255,0.9987,0.3277,0.0641,0.25
branching,284,CH,0.0,0.0931,0.9976,0.3255,0.0823,0.25
branching,285,CH,0.0,0.4134,0.9993,0.5324,0.0152,0.25
branching,286,CH,0.0,0.1132,0.9988,0.3325,0.0158,0.25
branching,287,CH,0.0,0.3441,0.9997,0.3972,0.034,0.25
branching,288,CH,0.0,0.4961,0.9993,0.4579,0.0707,0.25
branching,289,CH,0.0,0.0464,0.9977,0.3309,0.0337,0.25
branching,290,CH,0.0,0.0402,0.9996,0.3999,0.0054,0.25
branching,291,CH,0.0,0.0793,0.9985,0.3301,0.0418,0.25
branching,292,CH,0.0,0.0667,0.9994,0.3962,0.0426,0.25
branching,293,CH,0.0,0.474,0.9996,0.3977,0.0301,0.25
branching,294,CH,0.0,0.0966,0.9979,0.3248,0.0869,0.25
branching,295,CH,0.0,0.3578,0.9996,0.3938,0.0615,0.25
branching,296,CG,0.0,1.6663,0.9985,0.2,0.7622,0.25
branching,297,CH,0.0,0.4236,0.9995,0.3996,0.01,0.25
branching,298,CH,0.0,0.0356,0.9992,0.389,0.0929,0.25
branching,299,CH,0.0,0.0905,0.9991,0.4649,0.0235,0.25
branching,300,CH,0.0,0.0651,0.9997,0.3942,0.0579,0.25
branching,301,CH,0.0,0.0905,0.9994,0.4607,0.0538,0.25
branching,302,CH,0.0,0.065,0.9994,0.4644,0.0273,0.25
branching,303,CH,0.0,0.148,0.9986,0.3918,0.0741,0.25
branching,304,CH,0.0,0.0404,0.9995,0.3993,0.0127,0.25
branching,305,CH,0.0,0.1619,0.9996,0.4657,0.0158,0.25
branching,306,CH,0.0,0.2715,0.9994,0.4666,0.0059,0.25
branching,307,CH,0.0,0.0972,0.998,0.3283,0.0591,0.25
branching,308,CH,0.0,0.1156,0.9986,0.3276,0.0651,0.25
branching,309,CH,0.0,0.6946,0.9997,0.3951,0.0513,0.25
branching,310,CH,0.0,0.0692,0.9976,0.324,0.0929,0.25
branching,311,CL,0.1969,0.6802,0.9476,0.0,0.5137,0.75
branching,312,CH,0.0,0.3257,0.9995,0.3995,0.0116,0.25
branching,313,CH,0.0,0.0585,0.9975,0.3322,0.0188,0.25
branching,314,CG,0.0,1.1133,0.9944,0.4,0.7544,0.25
branching,315,CH,0.0,0.3281,0.9996,0.4658,0.0148,0.25
branching,316,CH,0.0,0.9904,0.9995,0.4656,0.0165,0.25
branching,317,CG,0.0,0.9284,0.9927,0.3333,0.6634,0.25
branching,318,CH,0.2702,0.8889,0.9444,0.121,0.5039,0.75
branching,319,CH,0.0,0.1028,0.999,0.4591,0.0641,0.25
branching,320,CG,0.6466,0.2524,0.998,0.5935,0.0556,0.5
branching,321,CH,0.0,0.4658,0.9996,0.3976,0.0304,0.25
branching,322,CG,0.0,1.1157,0.9988,0.6615,0.0465,0.25
branching,323,CG,0.2162,0.1313,0.9979,0.5956,0.039,0.5
branching,324,CG,0.0,0.663,0.9988,0.3333,0.7622,0.25
branching,325,CH,0.0,0.0927,0.9977,0.3314,0.0288,0.25
branching,326,CG,0.0,0.1807,0.9924,0.5333,0.7516,0.25
branching,327,CG,0.7892,0.5164,0.9954,0.4,0.7622,0.5
branching,328,CH,0.0,0.0982,0.9979,0.326,0.0777,0.25
branching,329,CH,0.0,0.094,0.9988,0.5317,0.0202,0.25
branching,330,CH,0.0,0.1016,0.9982,0.3992,0.013,0.25
branching,331,CH,0.0,0.2182,0.9994,0.3927,0.0683,0.25
branching,332,CG,0.0,1.0963,0.9986,0.2667,0.7622,0.25
branching,333,CG,0.0,0.2022,0.9985,0.6504,0.0953,0.25
branching,334,CG,0.0,0.2172,0.9986,0.6585,0.0606,0.25
branching,335,CL,0.0423,0.4146,0.9546,0.0,0.5223,0.75
branching,336,CH,0.0,0.4736,0.9997,0.3981,0.0265,0.25
branching,337,CH,0.0,0.5208,0.9993,0.5313,0.0237,0.25
branching,338,CH,0.0,0.0991,0.999,0.3303,0.0403,0.25
branching,339,CH,0.0,0.128,0.9993,0.3971,0.0359,0.25
branching,340,CH,0.0,0.1758,0.9989,0.5282,0.0441,0.25
branching,341,CH,0.0,0.4878,0.9996,0.3978,0.0285,0.25
branching,342,CG,0.6466,0.5145,0.9982,0.5997,0.0155,0.5
branching,343,CH,0.0,0.0602,0.9996,0.3976,0.0308,0.25
branching,344,CH,0.0,0.0678,0.9976,0.3329,0.0097,0.25
branching,345,CG,0.0,0.8104,0.9986,0.2667,0.7622,0.25
branching,346,CH,0.0,0.1001,0.9981,0.3298,0.0447,0.25
branching,347,CH,0.0,0.939,0.9997,0.4639,0.0306,0.25
branching,348,CL,0.0794,0.8384,0.9759,0.0,0.5303,0.75
branching,349,CH,0.0,0.3882,0.9997,0.396,0.0443,0.25
branching,350,CH,0.0,0.1196,0.9987,0.3917,0.0749,0.25
branching,351,CH,0.0,0.0748,0.9996,0.3982,0.0252,0.25
branching,352,CG,0.1401,1.3565,0.9778,0.7989,0.0206,0.75
branching,353,CG,0.0817,0.1828,0.9979,0.5294,0.0419,0.5
branching,354,CH,0.0095,0.6761,0.9489,0.4874,0.4181,0.75
branching,355,CG,0.0,0.888,0.993,0.4667,0.7443,0.25
branching,356,CG,0.0,0.6795,0.9988,0.3333,0.7622,0.25
branching,357,CH,0.0,0.0915,0.9984,0.3333,0.0043,0.25
branching,358,CH,0.0,0.0427,0.9996,0.3976,0.0298,0.25
branching,359,CH,0.0,0.1849,0.9988,0.532,0.0177,0.25
branching,360,CH,0.0,0.0672,0.9996,0.3996,0.0096,0.25
branching,361,CH,0.0,0.1022,0.9989,0.5245,0.0657,0.25
branching,362,CH,0.2781,0.4542,0.9976,0.5874,0.0814,0.5
branching,363,CL,0.003,0.4893,0.9742,0.0,0.5909,0.75
branching,364,CH,0.0,0.0389,0.9994,0.3995,0.0109,0.25
branching,365,CG,0.0,0.6256,0.9986,0.2667,0.7622,0.25
branching,366,CH,0.0,0.1561,0.9989,0.5275,0.0481,0.25
branching,367,CG,0.0,0.5264,0.9786,0.6,0.7465,0.25
branching,368,CH,0.0,0.2382,0.9991,0.5279,0.046,0.25
branching,369,CH,0.0,0.4289,0.9997,0.4662,0.0107,0.25
branching,370,CH,0.0,0.5683,0.9994,0.4624,0.0418,0.25
branching,371,CH,0.0,0.0606,0.998,0.3286,0.0558,0.25
branching,372,CH,0.0,0.3543,0.9989,0.5333,0.0066,0.25
branching,373,CH,0.0,0.1621,0.9988,0.5322,0.016,0.25
branching,374,CH,0.0,0.1255,0.999,0.331,0.0338,0.25
branching,375,CH,0.0,1.0049,0.9996,0.4648,0.0234,0.25
branching,376,CH,0.0,0.0765,0.9978,0.3273,0.0676,0.25
branching,377,CG,0.0,1.4331,0.9927,0.5333,0.6743,0.25
branching,378,CH,0.0,0.1519,0.9989,0.5262,0.0563,0.25
branching,379,CH,0.0,0.052,0.9977,0.3313,0.0292,0.25
branching,380,CH,0.0,0.0344,0.9997,0.394,0.0598,0.25
branching,381,CH,0.0,0.1449,0.9996,0.4663,0.0097,0.25
branching,382,CG,0.0,1.7998,0.9981,0.2,0.7578,0.25
branching,383,CH,0.0,0.2438,0.9996,0.3964,0.0404,0.25
branching,384,CG,0.0,1.5118,0.9934,0.4667,0.6986,0.25
branching,385,CG,0.531,0.9628,0.995,0.4286,0.7269,0.5
branching,386,CH,0.0,0.0684,0.9967,0.3967,0.0373,0.25
branching,387,CH,0.0,0.137,0.9986,0.399,0.0163,0.25
