depth,sector,condition,rg_similarity,propagation_coherence,locality_constraint_stability,conservation_transport_alignment,proto_field_persistence,recursive_interaction_boundedness,constrained_relation_gain,classification
131072,Projection,ConservationBoundInteraction,0.8506,0.7893,0.8137,0.808,0.7761,0.8016,0.7771,PROTO-PHYSICAL-PARTIAL
1,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
20,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
40,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
48,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
64,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
80,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
96,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
128,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
160,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
192,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
256,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
320,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
512,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
768,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1024,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1536,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2048,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
3072,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4096,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6144,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8192,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12288,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16384,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24576,Projection,ProtoFieldCoherenceMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32768,Projection,ProtoFieldCoherenceMapping,0.96,0.9581,0.94,0.9254,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
65536,Projection,ProtoFieldCoherenceMapping,0.9437,0.8994,0.8773,0.8792,0.8875,0.8573,0.895,PROTO-PHYSICAL-BOUNDED
131072,Projection,ProtoFieldCoherenceMapping,0.8345,0.8258,0.7842,0.8013,0.8012,0.7585,0.7878,PROTO-PHYSICAL-BOUNDED
1,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
20,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
40,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
48,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
64,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
80,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
96,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
128,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
160,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
192,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
256,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
320,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
512,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
768,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1024,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1536,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2048,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
3072,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4096,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6144,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8192,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12288,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16384,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24576,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32768,Projection,RecursivePropagationPersistence,0.96,0.96,0.94,0.9165,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
65536,Projection,RecursivePropagationPersistence,0.92,0.9021,0.8977,0.8723,0.8763,0.8472,0.8911,PROTO-PHYSICAL-STABLE
131072,Projection,RecursivePropagationPersistence,0.8301,0.8149,0.8138,0.7979,0.8091,0.7717,0.782,PROTO-PHYSICAL-BOUNDED
1,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
20,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
40,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
48,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
64,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
80,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
96,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
128,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
160,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
192,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
256,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
320,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
512,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
768,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1024,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1536,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2048,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
3072,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4096,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6144,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8192,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12288,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16384,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24576,Projection,InteractionLimitedStabilization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32768,Projection,InteractionLimitedStabilization,0.96,0.9412,0.94,0.93,0.9171,0.91,0.93,PROTO-PHYSICAL-STABLE
