depth,sector,formalism,hierarchy_consistency,formalism_stability,structural_overlap,null_formalism_distance,recursive_retention,rg_similarity,classification
4,Antisymmetry,Baseline,0.7851,0.7547,0.7352,0.3694,0.7606,0.7635,FORMALISM-ROBUST
6,Antisymmetry,Baseline,0.7484,0.7462,0.7093,0.3475,0.7363,0.7693,FORMALISM-ROBUST
8,Antisymmetry,Baseline,0.7286,0.7215,0.6727,0.3398,0.7088,0.7327,FORMALISM-ROBUST
12,Antisymmetry,Baseline,0.6713,0.6697,0.6409,0.3056,0.6742,0.6653,FORMALISM-SENSITIVE
16,Antisymmetry,Baseline,0.6232,0.6024,0.5992,0.2737,0.62,0.6252,NULL-SEPARATED
20,Antisymmetry,Baseline,0.5813,0.5665,0.5408,0.253,0.5759,0.5736,FORMALISM-DEPENDENT
1,Antisymmetry,Graph,0.7995,0.8115,0.7535,0.3481,0.8082,0.7841,FORMALISM-ROBUST
2,Antisymmetry,Graph,0.7766,0.7597,0.7393,0.3297,0.7975,0.7966,FORMALISM-ROBUST
4,Antisymmetry,Graph,0.7493,0.7535,0.7007,0.3287,0.7422,0.7516,FORMALISM-ROBUST
6,Antisymmetry,Graph,0.7089,0.7139,0.6622,0.3292,0.7214,0.7354,FORMALISM-ROBUST
8,Antisymmetry,Graph,0.713,0.6957,0.6552,0.3178,0.6961,0.7197,FORMALISM-SENSITIVE
12,Antisymmetry,Graph,0.6445,0.6494,0.5956,0.274,0.6388,0.6453,NULL-SEPARATED
16,Antisymmetry,Graph,0.5913,0.61,0.5653,0.273,0.5882,0.6149,FORMALISM-DEPENDENT
20,Antisymmetry,Graph,0.5762,0.5699,0.5309,0.2621,0.5555,0.5599,FORMALISM-DEPENDENT
1,Antisymmetry,Tensor,0.8062,0.7965,0.7499,0.3495,0.7859,0.7701,FORMALISM-ROBUST
2,Antisymmetry,Tensor,0.7811,0.7788,0.7284,0.3372,0.7553,0.745,FORMALISM-ROBUST
4,Antisymmetry,Tensor,0.7623,0.7322,0.6731,0.3176,0.7487,0.763,FORMALISM-ROBUST
6,Antisymmetry,Tensor,0.7343,0.7018,0.6718,0.3236,0.7055,0.727,FORMALISM-ROBUST
8,Antisymmetry,Tensor,0.6962,0.6689,0.6214,0.3101,0.6875,0.679,FORMALISM-SENSITIVE
12,Antisymmetry,Tensor,0.6324,0.6379,0.5811,0.2891,0.6237,0.6843,NULL-SEPARATED
16,Antisymmetry,Tensor,0.6007,0.5982,0.5559,0.2644,0.6009,0.6087,NULL-SEPARATED
20,Antisymmetry,Tensor,0.5559,0.55,0.5263,0.2538,0.5581,0.5442,FORMALISM-DEPENDENT
1,Antisymmetry,Probabilistic,0.7843,0.7547,0.717,0.3378,0.7647,0.7887,FORMALISM-ROBUST
2,Antisymmetry,Probabilistic,0.7569,0.7674,0.6864,0.3421,0.7447,0.765,FORMALISM-ROBUST
4,Antisymmetry,Probabilistic,0.7292,0.7027,0.6816,0.3161,0.7111,0.7485,FORMALISM-ROBUST
6,Antisymmetry,Probabilistic,0.6956,0.7025,0.6417,0.288,0.6809,0.684,FORMALISM-SENSITIVE
8,Antisymmetry,Probabilistic,0.6791,0.6624,0.6045,0.2949,0.6632,0.6588,FORMALISM-SENSITIVE
12,Antisymmetry,Probabilistic,0.6346,0.6285,0.5638,0.2833,0.6378,0.6203,NULL-SEPARATED
16,Antisymmetry,Probabilistic,0.5705,0.5659,0.5444,0.2591,0.5684,0.5692,FORMALISM-DEPENDENT
20,Antisymmetry,Probabilistic,0.5498,0.5424,0.5033,0.2232,0.5392,0.5671,FORMALISM-DEPENDENT
1,Antisymmetry,Null,0.4746,0.5287,0.383,0.05,0.4921,0.7651,FORMALISM-DEPENDENT
2,Antisymmetry,Null,0.4856,0.5221,0.3803,0.05,0.4811,0.7205,FORMALISM-DEPENDENT
4,Antisymmetry,Null,0.4566,0.4978,0.368,0.05,0.436,0.7182,FORMALISM-DEPENDENT
6,Antisymmetry,Null,0.4478,0.4511,0.3451,0.05,0.4358,0.6892,FORMALISM-DEPENDENT
8,Antisymmetry,Null,0.4278,0.4339,0.3381,0.05,0.4002,0.6885,FORMALISM-DEPENDENT
12,Antisymmetry,Null,0.3778,0.4172,0.3091,0.05,0.3938,0.6466,FORMALISM-DEPENDENT
16,Antisymmetry,Null,0.3502,0.382,0.2893,0.05,0.3515,0.5935,FORMALISM-DEPENDENT
20,Antisymmetry,Null,0.332,0.3528,0.283,0.05,0.3256,0.5123,FORMALISM-DEPENDENT
1,Neutral,Baseline,0.7699,0.7496,0.6985,0.3073,0.7719,0.8313,FORMALISM-ROBUST
2,Neutral,Baseline,0.7511,0.7248,0.7142,0.3177,0.7429,0.8145,FORMALISM-ROBUST
4,Neutral,Baseline,0.726,0.6888,0.6684,0.3012,0.6948,0.7813,FORMALISM-SENSITIVE
6,Neutral,Baseline,0.6829,0.6814,0.6566,0.303,0.6777,0.7707,FORMALISM-SENSITIVE
8,Neutral,Baseline,0.6751,0.6618,0.628,0.2696,0.6626,0.7441,FORMALISM-SENSITIVE
12,Neutral,Baseline,0.6314,0.608,0.5816,0.2607,0.6033,0.705,NULL-SEPARATED
16,Neutral,Baseline,0.5754,0.5498,0.5407,0.2321,0.581,0.6695,FORMALISM-DEPENDENT
20,Neutral,Baseline,0.5291,0.5284,0.5176,0.2198,0.519,0.6039,FORMALISM-DEPENDENT
1,Neutral,Graph,0.7369,0.7212,0.6596,0.294,0.7329,0.8237,FORMALISM-ROBUST
2,Neutral,Graph,0.7199,0.6966,0.6648,0.3152,0.6947,0.7791,FORMALISM-SENSITIVE
4,Neutral,Graph,0.6763,0.6905,0.6454,0.2905,0.6903,0.7755,FORMALISM-SENSITIVE
6,Neutral,Graph,0.6549,0.6667,0.6117,0.2698,0.6467,0.7663,NULL-SEPARATED
8,Neutral,Graph,0.6505,0.6228,0.5921,0.2618,0.638,0.6981,NULL-SEPARATED
12,Neutral,Graph,0.5964,0.5857,0.559,0.2578,0.5917,0.6666,FORMALISM-DEPENDENT
16,Neutral,Graph,0.5653,0.5494,0.5183,0.2426,0.5336,0.6296,FORMALISM-DEPENDENT
20,Neutral,Graph,0.5086,0.5253,0.4678,0.2187,0.5064,0.5706,FORMALISM-DEPENDENT
1,Neutral,Tensor,0.7153,0.7229,0.6619,0.277,0.6973,0.7957,FORMALISM-SENSITIVE
2,Neutral,Tensor,0.6944,0.7142,0.6475,0.3084,0.7037,0.7894,FORMALISM-SENSITIVE
4,Neutral,Tensor,0.6627,0.6575,0.6244,0.2628,0.6578,0.7704,FORMALISM-SENSITIVE
6,Neutral,Tensor,0.6488,0.6472,0.595,0.2796,0.6344,0.7379,NULL-SEPARATED
8,Neutral,Tensor,0.6276,0.6095,0.5668,0.2414,0.6188,0.6934,FORMALISM-DEPENDENT
12,Neutral,Tensor,0.5892,0.5765,0.5467,0.2503,0.5629,0.6561,FORMALISM-DEPENDENT
16,Neutral,Tensor,0.5409,0.5482,0.4865,0.2223,0.541,0.6134,FORMALISM-DEPENDENT
20,Neutral,Tensor,0.5008,0.5169,0.4804,0.2011,0.5006,0.5968,FORMALISM-DEPENDENT
1,Neutral,Probabilistic,0.6993,0.6793,0.6469,0.2904,0.7252,0.7589,FORMALISM-SENSITIVE
2,Neutral,Probabilistic,0.7015,0.6873,0.651,0.2812,0.6931,0.744,FORMALISM-SENSITIVE
4,Neutral,Probabilistic,0.6448,0.6466,0.5969,0.2507,0.6452,0.7132,NULL-SEPARATED
6,Neutral,Probabilistic,0.6309,0.6088,0.5945,0.2443,0.6185,0.7016,FORMALISM-DEPENDENT
8,Neutral,Probabilistic,0.6263,0.5975,0.5768,0.2417,0.6258,0.7048,FORMALISM-DEPENDENT
12,Neutral,Probabilistic,0.5558,0.5492,0.5248,0.2161,0.58,0.6559,FORMALISM-DEPENDENT
16,Neutral,Probabilistic,0.5267,0.5253,0.4777,0.2071,0.5354,0.5917,FORMALISM-DEPENDENT
20,Neutral,Probabilistic,0.5102,0.478,0.4498,0.2069,0.4903,0.5553,FORMALISM-DEPENDENT
1,Neutral,Null,0.4083,0.4324,0.3207,0.05,0.4178,0.7431,FORMALISM-DEPENDENT
2,Neutral,Null,0.3921,0.4395,0.3275,0.05,0.384,0.7469,FORMALISM-DEPENDENT
4,Neutral,Null,0.3952,0.4159,0.2882,0.05,0.3958,0.7446,FORMALISM-DEPENDENT
6,Neutral,Null,0.3877,0.4111,0.3015,0.05,0.3536,0.716,FORMALISM-DEPENDENT
8,Neutral,Null,0.3739,0.3811,0.2897,0.05,0.3346,0.6833,FORMALISM-DEPENDENT
12,Neutral,Null,0.3317,0.3511,0.2395,0.05,0.3333,0.624,FORMALISM-DEPENDENT
16,Neutral,Null,0.3107,0.3319,0.2424,0.05,0.3068,0.6083,FORMALISM-DEPENDENT
20,Neutral,Null,0.2991,0.3018,0.2305,0.05,0.2894,0.5557,FORMALISM-DEPENDENT
1,Projection-Antisymmetry,Baseline,0.7707,0.7319,0.7112,0.3286,0.7463,0.7909,FORMALISM-ROBUST
2,Projection-Antisymmetry,Baseline,0.7612,0.7116,0.6818,0.3293,0.7246,0.805,FORMALISM-ROBUST
4,Projection-Antisymmetry,Baseline,0.7313,0.7114,0.6623,0.32,0.6931,0.7621,FORMALISM-SENSITIVE
6,Projection-Antisymmetry,Baseline,0.7023,0.6811,0.6364,0.3031,0.693,0.7505,FORMALISM-SENSITIVE
8,Projection-Antisymmetry,Baseline,0.6672,0.651,0.619,0.2776,0.6716,0.7232,FORMALISM-SENSITIVE
12,Projection-Antisymmetry,Baseline,0.6022,0.5882,0.5646,0.2503,0.6114,0.6751,NULL-SEPARATED
16,Projection-Antisymmetry,Baseline,0.5707,0.5469,0.5522,0.2474,0.5574,0.6451,FORMALISM-DEPENDENT
20,Projection-Antisymmetry,Baseline,0.544,0.5365,0.5143,0.2355,0.5439,0.5899,FORMALISM-DEPENDENT
1,Projection-Antisymmetry,Graph,0.746,0.7454,0.6932,0.3179,0.7295,0.776,FORMALISM-ROBUST
2,Projection-Antisymmetry,Graph,0.704,0.6961,0.6723,0.3118,0.7275,0.7884,FORMALISM-ROBUST
4,Projection-Antisymmetry,Graph,0.6928,0.6821,0.6227,0.285,0.6872,0.7895,FORMALISM-SENSITIVE
6,Projection-Antisymmetry,Graph,0.6604,0.6428,0.6069,0.2682,0.6374,0.7171,NULL-SEPARATED
8,Projection-Antisymmetry,Graph,0.6345,0.6431,0.577,0.2645,0.6348,0.7008,NULL-SEPARATED
12,Projection-Antisymmetry,Graph,0.5917,0.5972,0.5493,0.2309,0.575,0.6629,FORMALISM-DEPENDENT
16,Projection-Antisymmetry,Graph,0.5563,0.5422,0.5157,0.2294,0.5509,0.6349,FORMALISM-DEPENDENT
20,Projection-Antisymmetry,Graph,0.5084,0.508,0.4727,0.2064,0.5045,0.5934,FORMALISM-DEPENDENT
1,Projection-Antisymmetry,Tensor,0.7244,0.7204,0.6663,0.3057,0.722,0.7708,FORMALISM-ROBUST
2,Projection-Antisymmetry,Tensor,0.7248,0.6846,0.6566,0.3015,0.7067,0.7953,FORMALISM-ROBUST
4,Projection-Antisymmetry,Tensor,0.6703,0.6768,0.6364,0.2886,0.6782,0.7356,FORMALISM-SENSITIVE
6,Projection-Antisymmetry,Tensor,0.6442,0.656,0.6121,0.2779,0.6302,0.7479,NULL-SEPARATED
8,Projection-Antisymmetry,Tensor,0.6148,0.6187,0.5936,0.2396,0.6099,0.6764,FORMALISM-DEPENDENT
12,Projection-Antisymmetry,Tensor,0.5785,0.5794,0.5198,0.2239,0.5867,0.6747,FORMALISM-DEPENDENT
16,Projection-Antisymmetry,Tensor,0.5437,0.5453,0.488,0.2194,0.5346,0.6379,FORMALISM-DEPENDENT
20,Projection-Antisymmetry,Tensor,0.5225,0.5039,0.4575,0.2148,0.5041,0.5694,FORMALISM-DEPENDENT
1,Projection-Antisymmetry,Probabilistic,0.7197,0.6947,0.6375,0.2795,0.7127,0.7707,FORMALISM-SENSITIVE
2,Projection-Antisymmetry,Probabilistic,0.6875,0.6873,0.6145,0.2666,0.6861,0.7243,FORMALISM-SENSITIVE
4,Projection-Antisymmetry,Probabilistic,0.6479,0.6398,0.602,0.2525,0.6755,0.7113,NULL-SEPARATED
6,Projection-Antisymmetry,Probabilistic,0.6181,0.6315,0.5805,0.2703,0.6515,0.7293,NULL-SEPARATED
8,Projection-Antisymmetry,Probabilistic,0.6098,0.5868,0.5723,0.241,0.611,0.6811,FORMALISM-DEPENDENT
12,Projection-Antisymmetry,Probabilistic,0.5523,0.5447,0.5052,0.2364,0.5709,0.6252,FORMALISM-DEPENDENT
16,Projection-Antisymmetry,Probabilistic,0.5303,0.53,0.488,0.2011,0.528,0.5973,FORMALISM-DEPENDENT
20,Projection-Antisymmetry,Probabilistic,0.4857,0.5029,0.4673,0.2066,0.4928,0.5843,FORMALISM-DEPENDENT
1,Projection-Antisymmetry,Null,0.4319,0.4636,0.3001,0.05,0.4038,0.7329,FORMALISM-DEPENDENT
2,Projection-Antisymmetry,Null,0.422,0.4255,0.3044,0.05,0.4146,0.7195,FORMALISM-DEPENDENT
4,Projection-Antisymmetry,Null,0.4054,0.4175,0.3127,0.05,0.3628,0.6928,FORMALISM-DEPENDENT
6,Projection-Antisymmetry,Null,0.3904,0.4092,0.2916,0.05,0.3486,0.6778,FORMALISM-DEPENDENT
8,Projection-Antisymmetry,Null,0.3487,0.3958,0.2666,0.05,0.3551,0.6922,FORMALISM-DEPENDENT
12,Projection-Antisymmetry,Null,0.3429,0.3696,0.262,0.05,0.3271,0.6143,FORMALISM-DEPENDENT
16,Projection-Antisymmetry,Null,0.3254,0.3288,0.2435,0.05,0.3091,0.6107,FORMALISM-DEPENDENT
20,Projection-Antisymmetry,Null,0.2794,0.3081,0.2179,0.05,0.2944,0.5374,FORMALISM-DEPENDENT
1,Projection-Neutral,Baseline,0.7771,0.7502,0.7112,0.3071,0.7607,0.8088,FORMALISM-ROBUST
2,Projection-Neutral,Baseline,0.7487,0.725,0.6842,0.3205,0.733,0.8007,FORMALISM-ROBUST
4,Projection-Neutral,Baseline,0.733,0.7017,0.6787,0.3051,0.6997,0.7518,FORMALISM-SENSITIVE
6,Projection-Neutral,Baseline,0.6853,0.6774,0.66,0.3045,0.6844,0.7266,FORMALISM-SENSITIVE
8,Projection-Neutral,Baseline,0.6565,0.6576,0.6215,0.2739,0.6454,0.7147,NULL-SEPARATED
12,Projection-Neutral,Baseline,0.6117,0.5921,0.5688,0.2753,0.6152,0.7076,NULL-SEPARATED
16,Projection-Neutral,Baseline,0.5612,0.5518,0.5458,0.2584,0.5672,0.6734,FORMALISM-DEPENDENT
20,Projection-Neutral,Baseline,0.5261,0.515,0.5007,0.2222,0.5212,0.6073,FORMALISM-DEPENDENT
1,Projection-Neutral,Graph,0.7308,0.7413,0.6847,0.311,0.745,0.7942,FORMALISM-ROBUST
2,Projection-Neutral,Graph,0.7069,0.7124,0.6733,0.3167,0.7214,0.7584,FORMALISM-ROBUST
4,Projection-Neutral,Graph,0.6817,0.6714,0.6284,0.2762,0.6845,0.7336,FORMALISM-SENSITIVE
6,Projection-Neutral,Graph,0.6544,0.6462,0.6075,0.2866,0.6714,0.7673,FORMALISM-SENSITIVE
8,Projection-Neutral,Graph,0.6532,0.6459,0.5989,0.2697,0.6279,0.6987,NULL-SEPARATED
12,Projection-Neutral,Graph,0.6058,0.5833,0.5425,0.2507,0.5698,0.6998,NULL-SEPARATED
16,Projection-Neutral,Graph,0.5486,0.547,0.5124,0.2287,0.5471,0.6274,FORMALISM-DEPENDENT
20,Projection-Neutral,Graph,0.5078,0.5213,0.4833,0.2193,0.507,0.6104,FORMALISM-DEPENDENT
1,Projection-Neutral,Tensor,0.7373,0.7111,0.661,0.3046,0.7203,0.7617,FORMALISM-ROBUST
2,Projection-Neutral,Tensor,0.7245,0.6817,0.6641,0.2797,0.7118,0.7527,FORMALISM-ROBUST
4,Projection-Neutral,Tensor,0.6854,0.6623,0.6213,0.2869,0.6847,0.7302,FORMALISM-SENSITIVE
6,Projection-Neutral,Tensor,0.6515,0.6358,0.6016,0.2736,0.6277,0.7315,NULL-SEPARATED
8,Projection-Neutral,Tensor,0.6128,0.6327,0.5664,0.2477,0.6223,0.6844,FORMALISM-DEPENDENT
12,Projection-Neutral,Tensor,0.5799,0.5739,0.5465,0.2229,0.5766,0.6393,FORMALISM-DEPENDENT
16,Projection-Neutral,Tensor,0.5423,0.5473,0.5035,0.2289,0.5452,0.6323,FORMALISM-DEPENDENT
20,Projection-Neutral,Tensor,0.5025,0.4985,0.4617,0.2192,0.4925,0.5552,FORMALISM-DEPENDENT
1,Projection-Neutral,Probabilistic,0.6866,0.7026,0.665,0.2733,0.7003,0.7765,FORMALISM-SENSITIVE
2,Projection-Neutral,Probabilistic,0.6883,0.6926,0.6161,0.2625,0.6978,0.779,FORMALISM-SENSITIVE
4,Projection-Neutral,Probabilistic,0.672,0.6501,0.623,0.2724,0.6469,0.7346,NULL-SEPARATED
6,Projection-Neutral,Probabilistic,0.6233,0.6404,0.5724,0.2608,0.6268,0.7183,NULL-SEPARATED
8,Projection-Neutral,Probabilistic,0.6174,0.6081,0.5606,0.2471,0.6208,0.6904,FORMALISM-DEPENDENT
12,Projection-Neutral,Probabilistic,0.5668,0.5657,0.5171,0.2323,0.5548,0.6463,FORMALISM-DEPENDENT
16,Projection-Neutral,Probabilistic,0.5332,0.5204,0.4787,0.2288,0.5365,0.5775,FORMALISM-DEPENDENT
20,Projection-Neutral,Probabilistic,0.509,0.5003,0.4559,0.2002,0.5113,0.5702,FORMALISM-DEPENDENT
1,Projection-Neutral,Null,0.426,0.4392,0.3053,0.05,0.3878,0.7264,FORMALISM-DEPENDENT
2,Projection-Neutral,Null,0.4235,0.4209,0.301,0.05,0.3778,0.7149,FORMALISM-DEPENDENT
4,Projection-Neutral,Null,0.3782,0.4053,0.2939,0.05,0.394,0.7302,FORMALISM-DEPENDENT
6,Projection-Neutral,Null,0.3669,0.3838,0.2867,0.05,0.3606,0.7124,FORMALISM-DEPENDENT
8,Projection-Neutral,Null,0.3543,0.3836,0.2893,0.05,0.3456,0.6936,FORMALISM-DEPENDENT
12,Projection-Neutral,Null,0.3245,0.3461,0.2622,0.05,0.3118,0.6301,FORMALISM-DEPENDENT
16,Projection-Neutral,Null,0.3223,0.3444,0.2411,0.05,0.3117,0.5542,FORMALISM-DEPENDENT
20,Projection-Neutral,Null,0.2988,0.3121,0.233,0.05,0.2813,0.5311,FORMALISM-DEPENDENT
1,Antisymmetry-Neutral,Baseline,0.7774,0.7558,0.7156,0.3229,0.773,0.7904,FORMALISM-ROBUST
2,Antisymmetry-Neutral,Baseline,0.7492,0.7479,0.6844,0.326,0.7288,0.8249,FORMALISM-ROBUST
4,Antisymmetry-Neutral,Baseline,0.705,0.6866,0.6619,0.2896,0.7266,0.7933,FORMALISM-ROBUST
6,Antisymmetry-Neutral,Baseline,0.675,0.6878,0.635,0.2934,0.665,0.7711,FORMALISM-SENSITIVE
8,Antisymmetry-Neutral,Baseline,0.647,0.6575,0.6036,0.2727,0.6511,0.7367,NULL-SEPARATED
12,Antisymmetry-Neutral,Baseline,0.6308,0.591,0.5651,0.2744,0.6101,0.6993,NULL-SEPARATED
16,Antisymmetry-Neutral,Baseline,0.5858,0.5597,0.5392,0.2503,0.5809,0.6263,FORMALISM-DEPENDENT
20,Antisymmetry-Neutral,Baseline,0.5307,0.5183,0.4987,0.2293,0.5278,0.6047,FORMALISM-DEPENDENT
1,Antisymmetry-Neutral,Graph,0.7232,0.7186,0.6824,0.3243,0.7416,0.7959,FORMALISM-ROBUST
2,Antisymmetry-Neutral,Graph,0.7057,0.7167,0.655,0.2795,0.7157,0.793,FORMALISM-ROBUST
4,Antisymmetry-Neutral,Graph,0.6904,0.6778,0.6168,0.3047,0.6748,0.7761,FORMALISM-SENSITIVE
6,Antisymmetry-Neutral,Graph,0.6619,0.6432,0.595,0.281,0.6375,0.7378,NULL-SEPARATED
8,Antisymmetry-Neutral,Graph,0.6398,0.6282,0.5691,0.2494,0.632,0.7324,FORMALISM-DEPENDENT
12,Antisymmetry-Neutral,Graph,0.598,0.5869,0.536,0.2495,0.5895,0.6867,FORMALISM-DEPENDENT
16,Antisymmetry-Neutral,Graph,0.5384,0.5349,0.5017,0.215,0.5426,0.6506,FORMALISM-DEPENDENT
20,Antisymmetry-Neutral,Graph,0.5324,0.5217,0.4682,0.2078,0.5102,0.5948,FORMALISM-DEPENDENT
1,Antisymmetry-Neutral,Tensor,0.7348,0.7281,0.6561,0.2783,0.7029,0.7949,FORMALISM-ROBUST
2,Antisymmetry-Neutral,Tensor,0.7192,0.6817,0.6549,0.2976,0.7183,0.7806,FORMALISM-ROBUST
4,Antisymmetry-Neutral,Tensor,0.6709,0.6625,0.6249,0.2618,0.677,0.7497,FORMALISM-SENSITIVE
6,Antisymmetry-Neutral,Tensor,0.6385,0.6402,0.6109,0.2531,0.6578,0.7235,NULL-SEPARATED
8,Antisymmetry-Neutral,Tensor,0.6153,0.6372,0.5643,0.2597,0.633,0.6834,NULL-SEPARATED
12,Antisymmetry-Neutral,Tensor,0.5724,0.5769,0.5221,0.235,0.5752,0.6799,FORMALISM-DEPENDENT
16,Antisymmetry-Neutral,Tensor,0.5534,0.5415,0.4938,0.217,0.5249,0.6235,FORMALISM-DEPENDENT
20,Antisymmetry-Neutral,Tensor,0.4991,0.5025,0.46,0.2162,0.5097,0.5516,FORMALISM-DEPENDENT
1,Antisymmetry-Neutral,Probabilistic,0.6978,0.7128,0.6619,0.2994,0.687,0.7556,FORMALISM-SENSITIVE
2,Antisymmetry-Neutral,Probabilistic,0.7082,0.686,0.6223,0.2797,0.6789,0.755,FORMALISM-SENSITIVE
4,Antisymmetry-Neutral,Probabilistic,0.6581,0.6497,0.6143,0.2495,0.6651,0.7536,FORMALISM-SENSITIVE
6,Antisymmetry-Neutral,Probabilistic,0.6234,0.644,0.5872,0.2505,0.6471,0.7092,NULL-SEPARATED
8,Antisymmetry-Neutral,Probabilistic,0.6075,0.615,0.5655,0.2561,0.6195,0.7051,NULL-SEPARATED
12,Antisymmetry-Neutral,Probabilistic,0.5644,0.5514,0.5069,0.2356,0.5561,0.6649,FORMALISM-DEPENDENT
16,Antisymmetry-Neutral,Probabilistic,0.5372,0.533,0.4836,0.2279,0.5337,0.5736,FORMALISM-DEPENDENT
20,Antisymmetry-Neutral,Probabilistic,0.5081,0.5013,0.4546,0.2155,0.5029,0.5552,FORMALISM-DEPENDENT
1,Antisymmetry-Neutral,Null,0.4061,0.4418,0.3033,0.05,0.4083,0.7726,FORMALISM-DEPENDENT
2,Antisymmetry-Neutral,Null,0.3936,0.4426,0.295,0.05,0.3984,0.7161,FORMALISM-DEPENDENT
4,Antisymmetry-Neutral,Null,0.3842,0.4006,0.2937,0.05,0.3705,0.7102,FORMALISM-DEPENDENT
6,Antisymmetry-Neutral,Null,0.3729,0.4036,0.2835,0.05,0.3511,0.6853,FORMALISM-DEPENDENT
