depth,sector,condition,rg_similarity,memory_persistence,historical_encoding_strength,lineage_memory_transfer,adaptive_history_modulation,reconstruction_accuracy,transport_memory_alignment,classification
2048,Projection,RecursiveMemoryPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Projection,RecursiveMemoryPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Projection,RecursiveMemoryPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Projection,LineageInheritanceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
2,Projection,LineageInheritanceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
4,Projection,LineageInheritanceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
6,Projection,LineageInheritanceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
8,Projection,LineageInheritanceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
12,Projection,LineageInheritanceAnalysis,0.9513,0.9154,0.9189,0.92,0.8888,0.8864,0.8805,MEMORY-STABLE
16,Projection,LineageInheritanceAnalysis,0.9283,0.9074,0.8795,0.8839,0.8693,0.852,0.873,MEMORY-BOUNDED
20,Projection,LineageInheritanceAnalysis,0.8952,0.87,0.856,0.8486,0.831,0.83,0.8491,MEMORY-BOUNDED
24,Projection,LineageInheritanceAnalysis,0.8505,0.8178,0.8102,0.8369,0.8039,0.7929,0.8226,MEMORY-BOUNDED
32,Projection,LineageInheritanceAnalysis,0.7888,0.7831,0.7631,0.7722,0.7458,0.7528,0.7683,MEMORY-PARTIAL
40,Projection,LineageInheritanceAnalysis,0.7543,0.7519,0.7347,0.7418,0.7133,0.713,0.7163,MEMORY-PARTIAL
48,Projection,LineageInheritanceAnalysis,0.7042,0.6843,0.6931,0.6829,0.6822,0.6609,0.681,MEMORY-DEGRADING
64,Projection,LineageInheritanceAnalysis,0.6459,0.6351,0.6292,0.6113,0.6032,0.5964,0.6159,MEMORY-DEGRADING
80,Projection,LineageInheritanceAnalysis,0.5934,0.5673,0.5623,0.5596,0.552,0.5485,0.5591,MEMORY-DEGRADING
96,Projection,LineageInheritanceAnalysis,0.5365,0.5259,0.5122,0.5187,0.5129,0.508,0.5004,MEMORY-FAILED
128,Projection,LineageInheritanceAnalysis,0.4649,0.4536,0.4461,0.4399,0.4294,0.4351,0.4418,MEMORY-FAILED
160,Projection,LineageInheritanceAnalysis,0.4113,0.4012,0.3868,0.3972,0.3748,0.3782,0.3869,MEMORY-FAILED
192,Projection,LineageInheritanceAnalysis,0.3635,0.3464,0.353,0.3451,0.3338,0.3387,0.3406,MEMORY-FAILED
256,Projection,LineageInheritanceAnalysis,0.2941,0.2838,0.2846,0.2831,0.2764,0.2751,0.2824,MEMORY-FAILED
320,Projection,LineageInheritanceAnalysis,0.2548,0.2449,0.2388,0.2448,0.2378,0.2288,0.2376,MEMORY-FAILED
512,Projection,LineageInheritanceAnalysis,0.17,0.1709,0.1669,0.1648,0.1618,0.1602,0.1627,MEMORY-FAILED
768,Projection,LineageInheritanceAnalysis,0.1201,0.1164,0.1194,0.1187,0.1142,0.1142,0.1169,MEMORY-FAILED
1024,Projection,LineageInheritanceAnalysis,0.0926,0.0908,0.0919,0.0895,0.0888,0.0876,0.0873,MEMORY-FAILED
1536,Projection,LineageInheritanceAnalysis,0.0633,0.0625,0.0609,0.0626,0.061,0.0604,0.0599,MEMORY-FAILED
2048,Projection,LineageInheritanceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Projection,LineageInheritanceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Projection,LineageInheritanceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Projection,TransportMemoryPreservation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
2,Projection,TransportMemoryPreservation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
4,Projection,TransportMemoryPreservation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
6,Projection,TransportMemoryPreservation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
8,Projection,TransportMemoryPreservation,0.96,0.94,0.93,0.9123,0.91,0.8931,0.92,MEMORY-STABLE
12,Projection,TransportMemoryPreservation,0.9565,0.9303,0.9233,0.8979,0.9042,0.8772,0.92,MEMORY-STABLE
16,Projection,TransportMemoryPreservation,0.9188,0.8781,0.875,0.8702,0.8399,0.8372,0.8746,MEMORY-BOUNDED
20,Projection,TransportMemoryPreservation,0.8816,0.8451,0.8393,0.8206,0.8421,0.8221,0.855,MEMORY-BOUNDED
24,Projection,TransportMemoryPreservation,0.8533,0.8255,0.8156,0.8138,0.7965,0.778,0.8267,MEMORY-BOUNDED
32,Projection,TransportMemoryPreservation,0.7885,0.772,0.7788,0.7719,0.7402,0.744,0.7767,MEMORY-PARTIAL
40,Projection,TransportMemoryPreservation,0.7637,0.7425,0.7176,0.7078,0.7101,0.6975,0.7171,MEMORY-PARTIAL
48,Projection,TransportMemoryPreservation,0.7186,0.6837,0.6768,0.6708,0.6636,0.6511,0.685,MEMORY-DEGRADING
64,Projection,TransportMemoryPreservation,0.647,0.6229,0.6274,0.6042,0.6073,0.5896,0.6251,MEMORY-DEGRADING
80,Projection,TransportMemoryPreservation,0.5766,0.5612,0.5561,0.5627,0.5613,0.5419,0.5644,MEMORY-DEGRADING
96,Projection,TransportMemoryPreservation,0.5358,0.5302,0.5152,0.5142,0.4998,0.4906,0.5187,MEMORY-FAILED
128,Projection,TransportMemoryPreservation,0.4527,0.4495,0.4464,0.4327,0.4337,0.4281,0.455,MEMORY-FAILED
160,Projection,TransportMemoryPreservation,0.3983,0.3855,0.3853,0.3891,0.3789,0.3716,0.3881,MEMORY-FAILED
192,Projection,TransportMemoryPreservation,0.3574,0.3519,0.3388,0.3396,0.3374,0.341,0.3427,MEMORY-FAILED
256,Projection,TransportMemoryPreservation,0.2958,0.2906,0.2869,0.2845,0.2742,0.2733,0.2862,MEMORY-FAILED
320,Projection,TransportMemoryPreservation,0.2498,0.2384,0.2428,0.2412,0.2324,0.2297,0.2467,MEMORY-FAILED
512,Projection,TransportMemoryPreservation,0.1693,0.163,0.1636,0.1638,0.1614,0.1605,0.1641,MEMORY-FAILED
768,Projection,TransportMemoryPreservation,0.1217,0.1189,0.1157,0.1145,0.1114,0.1138,0.1188,MEMORY-FAILED
1024,Projection,TransportMemoryPreservation,0.0919,0.09,0.0891,0.0869,0.0888,0.0884,0.091,MEMORY-FAILED
1536,Projection,TransportMemoryPreservation,0.0631,0.0619,0.0605,0.0614,0.0612,0.06,0.0617,MEMORY-FAILED
2048,Projection,TransportMemoryPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Projection,TransportMemoryPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Projection,TransportMemoryPreservation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Projection,AdaptiveHistoricalModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
2,Projection,AdaptiveHistoricalModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
4,Projection,AdaptiveHistoricalModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
6,Projection,AdaptiveHistoricalModulation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
8,Projection,AdaptiveHistoricalModulation,0.96,0.94,0.93,0.92,0.91,0.8943,0.9167,MEMORY-STABLE
12,Projection,AdaptiveHistoricalModulation,0.9476,0.9284,0.888,0.886,0.91,0.8969,0.8923,MEMORY-BOUNDED
16,Projection,AdaptiveHistoricalModulation,0.9139,0.8794,0.8645,0.8601,0.864,0.8501,0.8507,MEMORY-BOUNDED
20,Projection,AdaptiveHistoricalModulation,0.8814,0.853,0.8378,0.836,0.8371,0.8071,0.8383,MEMORY-BOUNDED
24,Projection,AdaptiveHistoricalModulation,0.837,0.8237,0.8147,0.8079,0.8014,0.7855,0.7945,MEMORY-BOUNDED
32,Projection,AdaptiveHistoricalModulation,0.79,0.7723,0.7765,0.7752,0.7781,0.7473,0.7687,MEMORY-PARTIAL
40,Projection,AdaptiveHistoricalModulation,0.7432,0.7291,0.716,0.7035,0.7142,0.7009,0.71,MEMORY-PARTIAL
48,Projection,AdaptiveHistoricalModulation,0.703,0.6938,0.6834,0.677,0.6975,0.6659,0.6746,MEMORY-DEGRADING
64,Projection,AdaptiveHistoricalModulation,0.6322,0.6329,0.6113,0.6013,0.621,0.6041,0.6145,MEMORY-DEGRADING
80,Projection,AdaptiveHistoricalModulation,0.583,0.5772,0.568,0.5629,0.5574,0.555,0.5561,MEMORY-DEGRADING
96,Projection,AdaptiveHistoricalModulation,0.5229,0.5299,0.5098,0.5085,0.5157,0.5069,0.5075,MEMORY-FAILED
128,Projection,AdaptiveHistoricalModulation,0.4592,0.4439,0.4359,0.4352,0.4397,0.4215,0.4402,MEMORY-FAILED
160,Projection,AdaptiveHistoricalModulation,0.4016,0.3907,0.3958,0.3912,0.3871,0.3737,0.3915,MEMORY-FAILED
192,Projection,AdaptiveHistoricalModulation,0.3595,0.3531,0.3509,0.3457,0.3401,0.3344,0.3386,MEMORY-FAILED
256,Projection,AdaptiveHistoricalModulation,0.2918,0.2809,0.2841,0.2848,0.2783,0.2694,0.2809,MEMORY-FAILED
320,Projection,AdaptiveHistoricalModulation,0.2506,0.2416,0.2386,0.2411,0.2417,0.2342,0.2422,MEMORY-FAILED
512,Projection,AdaptiveHistoricalModulation,0.1678,0.1686,0.1632,0.1635,0.1666,0.1603,0.1612,MEMORY-FAILED
768,Projection,AdaptiveHistoricalModulation,0.1192,0.1193,0.1176,0.1129,0.1157,0.1131,0.1144,MEMORY-FAILED
1024,Projection,AdaptiveHistoricalModulation,0.0915,0.0895,0.0898,0.0891,0.0907,0.0855,0.0872,MEMORY-FAILED
1536,Projection,AdaptiveHistoricalModulation,0.0643,0.0627,0.0605,0.0604,0.0606,0.0592,0.0607,MEMORY-FAILED
2048,Projection,AdaptiveHistoricalModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Projection,AdaptiveHistoricalModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Projection,AdaptiveHistoricalModulation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Projection,InteractionHistoryReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
2,Projection,InteractionHistoryReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
4,Projection,InteractionHistoryReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
6,Projection,InteractionHistoryReconstruction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
8,Projection,InteractionHistoryReconstruction,0.9587,0.94,0.93,0.92,0.9086,0.9,0.92,MEMORY-STABLE
12,Projection,InteractionHistoryReconstruction,0.946,0.901,0.9134,0.8967,0.8995,0.9,0.8855,MEMORY-STABLE
16,Projection,InteractionHistoryReconstruction,0.8816,0.8782,0.8665,0.8773,0.8621,0.8629,0.8529,MEMORY-BOUNDED
20,Projection,InteractionHistoryReconstruction,0.8603,0.8526,0.8511,0.8249,0.8237,0.8507,0.8352,MEMORY-BOUNDED
24,Projection,InteractionHistoryReconstruction,0.8391,0.8126,0.8124,0.823,0.804,0.8249,0.8236,MEMORY-BOUNDED
32,Projection,InteractionHistoryReconstruction,0.7956,0.7868,0.7701,0.7706,0.7663,0.7521,0.7557,MEMORY-PARTIAL
40,Projection,InteractionHistoryReconstruction,0.7357,0.7397,0.7192,0.7196,0.6957,0.7196,0.7226,MEMORY-PARTIAL
48,Projection,InteractionHistoryReconstruction,0.7131,0.6872,0.6852,0.6674,0.6793,0.6652,0.6695,MEMORY-DEGRADING
64,Projection,InteractionHistoryReconstruction,0.6349,0.6326,0.6071,0.6047,0.6012,0.6144,0.6157,MEMORY-DEGRADING
80,Projection,InteractionHistoryReconstruction,0.5738,0.572,0.5671,0.5645,0.5601,0.5464,0.5671,MEMORY-DEGRADING
96,Projection,InteractionHistoryReconstruction,0.5216,0.5282,0.5121,0.5197,0.5063,0.5086,0.5095,MEMORY-FAILED
128,Projection,InteractionHistoryReconstruction,0.4478,0.4411,0.4427,0.431,0.4351,0.4324,0.4406,MEMORY-FAILED
160,Projection,InteractionHistoryReconstruction,0.4056,0.3875,0.3807,0.3871,0.3848,0.3883,0.3834,MEMORY-FAILED
192,Projection,InteractionHistoryReconstruction,0.3575,0.3453,0.3471,0.3426,0.3375,0.3422,0.341,MEMORY-FAILED
256,Projection,InteractionHistoryReconstruction,0.2864,0.2813,0.2829,0.2764,0.2727,0.2767,0.285,MEMORY-FAILED
320,Projection,InteractionHistoryReconstruction,0.2469,0.2407,0.2432,0.2339,0.2398,0.2351,0.2339,MEMORY-FAILED
512,Projection,InteractionHistoryReconstruction,0.1718,0.1691,0.1623,0.1633,0.1609,0.16,0.1614,MEMORY-FAILED
768,Projection,InteractionHistoryReconstruction,0.1179,0.1152,0.1146,0.1155,0.1151,0.1128,0.1152,MEMORY-FAILED
1024,Projection,InteractionHistoryReconstruction,0.092,0.0908,0.0903,0.0886,0.0867,0.089,0.0887,MEMORY-FAILED
1536,Projection,InteractionHistoryReconstruction,0.0636,0.0616,0.062,0.0605,0.0604,0.0618,0.0604,MEMORY-FAILED
2048,Projection,InteractionHistoryReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Projection,InteractionHistoryReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Projection,InteractionHistoryReconstruction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Projection,NullMemoryControl,0.8492,0.8307,0.8435,0.8329,0.8299,0.811,0.8431,MEMORY-BOUNDED
2,Projection,NullMemoryControl,0.8241,0.8254,0.8104,0.8292,0.8231,0.8106,0.8176,MEMORY-BOUNDED
4,Projection,NullMemoryControl,0.841,0.8099,0.8139,0.8106,0.7999,0.7825,0.8121,MEMORY-BOUNDED
6,Projection,NullMemoryControl,0.7971,0.7994,0.8133,0.8236,0.7878,0.7856,0.7893,MEMORY-PARTIAL
8,Projection,NullMemoryControl,0.797,0.7767,0.7971,0.7999,0.7687,0.7524,0.754,MEMORY-PARTIAL
12,Projection,NullMemoryControl,0.7569,0.766,0.7552,0.7687,0.7442,0.7091,0.737,MEMORY-PARTIAL
16,Projection,NullMemoryControl,0.7223,0.7382,0.7121,0.7217,0.7185,0.6968,0.7261,MEMORY-PARTIAL
20,Projection,NullMemoryControl,0.7092,0.7077,0.7088,0.7246,0.6716,0.6766,0.6905,MEMORY-PARTIAL
24,Projection,NullMemoryControl,0.6881,0.6969,0.69,0.6905,0.6491,0.6448,0.6804,MEMORY-DEGRADING
32,Projection,NullMemoryControl,0.6508,0.647,0.6318,0.6537,0.6191,0.6239,0.623,MEMORY-DEGRADING
40,Projection,NullMemoryControl,0.6027,0.6206,0.6113,0.6175,0.5864,0.5749,0.5883,MEMORY-DEGRADING
48,Projection,NullMemoryControl,0.5653,0.5852,0.5751,0.5729,0.5468,0.5487,0.5617,MEMORY-DEGRADING
64,Projection,NullMemoryControl,0.5308,0.52,0.5235,0.5263,0.5039,0.5025,0.5073,MEMORY-FAILED
80,Projection,NullMemoryControl,0.4638,0.4734,0.4749,0.4642,0.4637,0.4404,0.4665,MEMORY-FAILED
96,Projection,NullMemoryControl,0.4278,0.4306,0.4357,0.4365,0.4159,0.4151,0.4266,MEMORY-FAILED
128,Projection,NullMemoryControl,0.3702,0.3731,0.3673,0.3677,0.358,0.351,0.3607,MEMORY-FAILED
160,Projection,NullMemoryControl,0.3257,0.3289,0.3184,0.3313,0.3179,0.3114,0.3198,MEMORY-FAILED
192,Projection,NullMemoryControl,0.2973,0.2946,0.2842,0.2914,0.2827,0.279,0.2819,MEMORY-FAILED
256,Projection,NullMemoryControl,0.2348,0.2429,0.2366,0.2362,0.2282,0.2227,0.2292,MEMORY-FAILED
320,Projection,NullMemoryControl,0.207,0.1974,0.2029,0.2061,0.1962,0.192,0.1936,MEMORY-FAILED
512,Projection,NullMemoryControl,0.1414,0.1407,0.1359,0.14,0.1309,0.133,0.1341,MEMORY-FAILED
768,Projection,NullMemoryControl,0.0994,0.0962,0.0975,0.0961,0.0963,0.0913,0.095,MEMORY-FAILED
1024,Projection,NullMemoryControl,0.0751,0.0761,0.0739,0.0765,0.0744,0.07,0.0719,MEMORY-FAILED
1536,Projection,NullMemoryControl,0.0524,0.0516,0.0515,0.0521,0.0501,0.0502,0.0506,MEMORY-FAILED
2048,Projection,NullMemoryControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Projection,NullMemoryControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Projection,NullMemoryControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Antisymmetry,HistoricalStateEncoding,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
2,Antisymmetry,HistoricalStateEncoding,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
4,Antisymmetry,HistoricalStateEncoding,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
6,Antisymmetry,HistoricalStateEncoding,0.96,0.94,0.924,0.9187,0.91,0.9,0.92,MEMORY-STABLE
8,Antisymmetry,HistoricalStateEncoding,0.96,0.9159,0.9279,0.8942,0.9006,0.9,0.9062,MEMORY-STABLE
12,Antisymmetry,HistoricalStateEncoding,0.9175,0.9097,0.9003,0.8637,0.8448,0.8661,0.8818,MEMORY-STABLE
16,Antisymmetry,HistoricalStateEncoding,0.9017,0.8486,0.8463,0.8459,0.844,0.8206,0.8398,MEMORY-BOUNDED
20,Antisymmetry,HistoricalStateEncoding,0.8561,0.8476,0.8366,0.8184,0.7995,0.8063,0.8189,MEMORY-BOUNDED
24,Antisymmetry,HistoricalStateEncoding,0.8453,0.8192,0.8107,0.7884,0.7738,0.7689,0.7825,MEMORY-BOUNDED
32,Antisymmetry,HistoricalStateEncoding,0.7933,0.7732,0.7544,0.7333,0.7405,0.731,0.7366,MEMORY-PARTIAL
40,Antisymmetry,HistoricalStateEncoding,0.7305,0.7122,0.6965,0.6899,0.6847,0.6875,0.7074,MEMORY-DEGRADING
48,Antisymmetry,HistoricalStateEncoding,0.6987,0.6747,0.6708,0.6642,0.6495,0.6547,0.6584,MEMORY-DEGRADING
64,Antisymmetry,HistoricalStateEncoding,0.625,0.6021,0.5991,0.584,0.5983,0.5795,0.5872,MEMORY-DEGRADING
80,Antisymmetry,HistoricalStateEncoding,0.5694,0.567,0.5458,0.5442,0.5328,0.5431,0.5422,MEMORY-DEGRADING
96,Antisymmetry,HistoricalStateEncoding,0.5183,0.5111,0.4963,0.5008,0.4853,0.498,0.4925,MEMORY-FAILED
128,Antisymmetry,HistoricalStateEncoding,0.4448,0.4342,0.4254,0.4321,0.4266,0.4161,0.4314,MEMORY-FAILED
160,Antisymmetry,HistoricalStateEncoding,0.4011,0.3856,0.3869,0.3693,0.3678,0.3735,0.3692,MEMORY-FAILED
192,Antisymmetry,HistoricalStateEncoding,0.3475,0.343,0.3369,0.3268,0.3325,0.3321,0.3297,MEMORY-FAILED
256,Antisymmetry,HistoricalStateEncoding,0.2874,0.2795,0.2812,0.2683,0.2676,0.2669,0.2682,MEMORY-FAILED
320,Antisymmetry,HistoricalStateEncoding,0.2473,0.2416,0.2344,0.234,0.2306,0.2244,0.229,MEMORY-FAILED
512,Antisymmetry,HistoricalStateEncoding,0.1672,0.1654,0.1581,0.1609,0.1594,0.1548,0.1548,MEMORY-FAILED
768,Antisymmetry,HistoricalStateEncoding,0.1184,0.1158,0.113,0.1132,0.1108,0.1122,0.1091,MEMORY-FAILED
1024,Antisymmetry,HistoricalStateEncoding,0.0908,0.0892,0.0889,0.0851,0.0844,0.0852,0.0864,MEMORY-FAILED
1536,Antisymmetry,HistoricalStateEncoding,0.0619,0.0603,0.0593,0.0582,0.0586,0.0594,0.0593,MEMORY-FAILED
2048,Antisymmetry,HistoricalStateEncoding,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Antisymmetry,HistoricalStateEncoding,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Antisymmetry,HistoricalStateEncoding,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Antisymmetry,RecursiveMemoryPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
