phase,sector,class_strength,stability,boundedness,retention,transition_control,dispersion,rg_stability,metastability
295,neutral,0.840000,0.809363,0.970954,0.822240,0.925822,0.150000,0.968469,0.000000
296,projection,1.000000,0.962531,0.970388,0.978172,0.924395,0.150000,0.967771,0.000000
296,antisymmetry,0.960000,0.924029,0.970388,0.939045,0.924395,0.150000,0.967771,0.000000
296,neutral,0.840000,0.808526,0.970388,0.821664,0.924395,0.150000,0.967771,0.000000
297,projection,1.000000,0.961546,0.969827,0.977493,0.922990,0.150000,0.967082,0.000000
297,antisymmetry,0.960000,0.923084,0.969827,0.938393,0.922990,0.150000,0.967082,0.000000
297,neutral,0.840000,0.807699,0.969827,0.821094,0.922990,0.150000,0.967082,0.000000
298,projection,1.000000,0.960574,0.969271,0.976822,0.921606,0.150000,0.966401,0.000000
298,antisymmetry,0.960000,0.922151,0.969271,0.937749,0.921606,0.150000,0.966401,0.000000
298,neutral,0.840000,0.806882,0.969271,0.820530,0.921606,0.150000,0.966401,0.000000
299,projection,1.000000,0.959612,0.968719,0.976157,0.920242,0.150000,0.965729,0.000000
299,antisymmetry,0.960000,0.921228,0.968719,0.937110,0.920242,0.150000,0.965729,0.000000
299,neutral,0.840000,0.806074,0.968719,0.819972,0.920242,0.150000,0.965729,0.000000
300,projection,1.000000,0.958663,0.968172,0.975498,0.918898,0.150000,0.965064,0.000000
300,antisymmetry,0.960000,0.920316,0.968172,0.936479,0.918898,0.150000,0.965064,0.000000
300,neutral,0.840000,0.805277,0.968172,0.819419,0.918898,0.150000,0.965064,0.000000
301,projection,1.000000,0.957724,0.967628,0.974847,0.917575,0.150000,0.964407,0.000000
301,antisymmetry,0.960000,0.919415,0.967628,0.935853,0.917575,0.150000,0.964407,0.000000
301,neutral,0.840000,0.804489,0.967628,0.818871,0.917575,0.150000,0.964407,0.000000
302,projection,1.000000,0.956797,0.967089,0.974202,0.916271,0.150000,0.963758,0.000000
302,antisymmetry,0.960000,0.918525,0.967089,0.935233,0.916271,0.150000,0.963758,0.000000
302,neutral,0.840000,0.803710,0.967089,0.818329,0.916271,0.150000,0.963758,0.000000
303,projection,1.000000,0.955881,0.966555,0.973563,0.914986,0.150000,0.963117,0.000000
303,antisymmetry,0.960000,0.917646,0.966555,0.934620,0.914986,0.150000,0.963117,0.000000
303,neutral,0.840000,0.802940,0.966555,0.817793,0.914986,0.150000,0.963117,0.000000
304,projection,1.000000,0.954976,0.966025,0.972930,0.913721,0.150000,0.962483,0.000000
304,antisymmetry,0.960000,0.916777,0.966025,0.934013,0.913721,0.150000,0.962483,0.000000
304,neutral,0.840000,0.802180,0.966025,0.817261,0.913721,0.150000,0.962483,0.000000
305,projection,1.000000,0.954082,0.965498,0.972304,0.912475,0.150000,0.961857,0.000000
305,antisymmetry,0.960000,0.915919,0.965498,0.933412,0.912475,0.150000,0.961857,0.000000
305,neutral,0.840000,0.801429,0.965498,0.816735,0.912475,0.150000,0.961857,0.000000
306,projection,1.000000,0.953198,0.964977,0.971684,0.911247,0.150000,0.961239,0.000000
306,antisymmetry,0.960000,0.915070,0.964977,0.932817,0.911247,0.150000,0.961239,0.000000
306,neutral,0.840000,0.800686,0.964977,0.816215,0.911247,0.150000,0.961239,0.000000
307,projection,1.000000,0.952325,0.964459,0.971070,0.910037,0.150000,0.960628,0.000000
307,antisymmetry,0.960000,0.914232,0.964459,0.932228,0.910037,0.150000,0.960628,0.000000
307,neutral,0.840000,0.799953,0.964459,0.815699,0.910037,0.150000,0.960628,0.000000
