depth,sector,condition,formalism_invariance_score,emergence_translation_fidelity,hierarchy_preservation_consistency,cross_formalism_operator_alignment,universality_retention_index,abstraction_equivalence_strength,implementation_dependency_bound,formalism_effectiveness,base_emergence,formalism_emergence,classification
80,P-A-N,TensorNetworkPropagation,0.9454,0.9447,1.0,1.0,0.8931,0.8931,0.0546,0.9454,0.9567,0.9065,FORMALISM-STABLE
96,P-A-N,TensorNetworkPropagation,0.9452,0.9445,1.0,1.0,0.8927,0.8927,0.0548,0.9452,0.9567,0.9064,FORMALISM-STABLE
128,P-A-N,TensorNetworkPropagation,0.9449,0.9442,1.0,1.0,0.8921,0.8921,0.0551,0.9449,0.9567,0.9061,FORMALISM-STABLE
160,P-A-N,TensorNetworkPropagation,0.9446,0.944,1.0,1.0,0.8917,0.8917,0.0554,0.9446,0.9567,0.9059,FORMALISM-STABLE
192,P-A-N,TensorNetworkPropagation,0.9445,0.9438,1.0,1.0,0.8913,0.8913,0.0555,0.9445,0.9567,0.9057,FORMALISM-STABLE
256,P-A-N,TensorNetworkPropagation,0.9442,0.9435,1.0,1.0,0.8908,0.8908,0.0558,0.9442,0.9567,0.9054,FORMALISM-STABLE
320,P-A-N,TensorNetworkPropagation,0.9439,0.9432,1.0,1.0,0.8903,0.8903,0.0561,0.9439,0.9567,0.9052,FORMALISM-STABLE
512,P-A-N,TensorNetworkPropagation,0.9434,0.9427,1.0,1.0,0.8894,0.8894,0.0566,0.9434,0.9567,0.9048,FORMALISM-STABLE
768,P-A-N,TensorNetworkPropagation,0.943,0.9423,1.0,1.0,0.8886,0.8886,0.057,0.943,0.9567,0.9044,FORMALISM-STABLE
1024,P-A-N,TensorNetworkPropagation,0.9427,0.942,1.0,1.0,0.888,0.888,0.0573,0.9427,0.9567,0.9041,FORMALISM-STABLE
1536,P-A-N,TensorNetworkPropagation,0.9423,0.9416,1.0,1.0,0.8872,0.8872,0.0577,0.9423,0.9567,0.9037,FORMALISM-STABLE
2048,P-A-N,TensorNetworkPropagation,0.942,0.9413,1.0,1.0,0.8866,0.8866,0.058,0.942,0.9567,0.9034,FORMALISM-STABLE
3072,P-A-N,TensorNetworkPropagation,0.9415,0.9408,1.0,1.0,0.8858,0.8858,0.0585,0.9415,0.9567,0.903,FORMALISM-STABLE
4096,P-A-N,TensorNetworkPropagation,0.9412,0.9405,1.0,1.0,0.8853,0.8853,0.0588,0.9412,0.9567,0.9028,FORMALISM-STABLE
6144,P-A-N,TensorNetworkPropagation,0.9408,0.9401,1.0,1.0,0.8845,0.8845,0.0592,0.9408,0.9567,0.9024,FORMALISM-STABLE
8192,P-A-N,TensorNetworkPropagation,0.9405,0.9398,1.0,1.0,0.8839,0.8839,0.0595,0.9405,0.9567,0.9021,FORMALISM-STABLE
12288,P-A-N,TensorNetworkPropagation,0.9401,0.9394,1.0,1.0,0.8831,0.8831,0.0599,0.9401,0.9567,0.9017,FORMALISM-STABLE
16384,P-A-N,TensorNetworkPropagation,0.9398,0.9391,1.0,1.0,0.8825,0.8825,0.0602,0.9398,0.9566,0.9014,FORMALISM-STABLE
24576,P-A-N,TensorNetworkPropagation,0.9393,0.9386,1.0,1.0,0.8817,0.8817,0.0607,0.9393,0.9566,0.901,FORMALISM-STABLE
32768,P-A-N,TensorNetworkPropagation,0.939,0.9383,1.0,1.0,0.8811,0.8811,0.061,0.939,0.9566,0.9007,FORMALISM-STABLE
65536,P-A-N,TensorNetworkPropagation,0.9383,0.9376,1.0,1.0,0.8798,0.8798,0.0617,0.9383,0.9565,0.8999,FORMALISM-STABLE
131072,P-A-N,TensorNetworkPropagation,0.9376,0.9369,1.0,1.0,0.8784,0.8784,0.0624,0.9376,0.9562,0.899,FORMALISM-STABLE
262144,P-A-N,TensorNetworkPropagation,0.9368,0.9362,1.0,1.0,0.877,0.877,0.0632,0.9368,0.9557,0.8979,FORMALISM-STABLE
524288,P-A-N,TensorNetworkPropagation,0.9361,0.9354,1.0,1.0,0.8757,0.8757,0.0639,0.9361,0.9547,0.8963,FORMALISM-STABLE
1048576,P-A-N,TensorNetworkPropagation,0.9354,0.9347,1.0,1.0,0.8743,0.8743,0.0646,0.9354,0.9528,0.8938,FORMALISM-STABLE
2097152,P-A-N,TensorNetworkPropagation,0.9347,0.934,1.0,1.0,0.8729,0.8729,0.0653,0.9347,0.9489,0.8896,FORMALISM-STABLE
4194304,P-A-N,TensorNetworkPropagation,0.9339,0.9332,1.0,1.0,0.8716,0.8716,0.0661,0.9339,0.9413,0.8818,FORMALISM-STABLE
8388608,P-A-N,TensorNetworkPropagation,0.9332,0.9325,1.0,1.0,0.8702,0.8702,0.0668,0.9332,0.9263,0.8672,FORMALISM-STABLE
16777216,P-A-N,TensorNetworkPropagation,0.9325,0.9318,1.0,1.0,0.8688,0.8688,0.0675,0.9325,0.8979,0.84,FORMALISM-STABLE
33554432,P-A-N,TensorNetworkPropagation,0.9317,0.931,1.0,1.0,0.8675,0.8675,0.0683,0.9317,0.8458,0.791,FORMALISM-STABLE
67108864,P-A-N,TensorNetworkPropagation,0.931,0.9303,1.0,1.0,0.8661,0.8661,0.069,0.931,0.758,0.7086,FORMALISM-STABLE
1,P-A-N,GraphDynamicalRecursion,0.92,0.9189,1.0,1.0,0.8454,0.8454,0.08,0.92,0.9567,0.8832,FORMALISM-STABLE
2,P-A-N,GraphDynamicalRecursion,0.9189,0.9179,1.0,1.0,0.8434,0.8434,0.0811,0.9189,0.9567,0.8822,FORMALISM-STABLE
4,P-A-N,GraphDynamicalRecursion,0.9179,0.9168,1.0,1.0,0.8415,0.8415,0.0821,0.9179,0.9567,0.8813,FORMALISM-STABLE
6,P-A-N,GraphDynamicalRecursion,0.9173,0.9162,1.0,1.0,0.8404,0.8404,0.0827,0.9173,0.9567,0.8807,FORMALISM-STABLE
8,P-A-N,GraphDynamicalRecursion,0.9168,0.9157,1.0,1.0,0.8396,0.8396,0.0832,0.9168,0.9567,0.8803,FORMALISM-STABLE
12,P-A-N,GraphDynamicalRecursion,0.9162,0.9151,1.0,1.0,0.8384,0.8384,0.0838,0.9162,0.9567,0.8797,FORMALISM-STABLE
16,P-A-N,GraphDynamicalRecursion,0.9158,0.9147,1.0,1.0,0.8376,0.8376,0.0842,0.9158,0.9567,0.8793,FORMALISM-STABLE
20,P-A-N,GraphDynamicalRecursion,0.9154,0.9143,1.0,1.0,0.837,0.837,0.0846,0.9154,0.9567,0.879,FORMALISM-STABLE
24,P-A-N,GraphDynamicalRecursion,0.9151,0.914,1.0,1.0,0.8365,0.8365,0.0849,0.9151,0.9567,0.8788,FORMALISM-STABLE
32,P-A-N,GraphDynamicalRecursion,0.9147,0.9136,1.0,1.0,0.8357,0.8357,0.0853,0.9147,0.9567,0.8784,FORMALISM-STABLE
40,P-A-N,GraphDynamicalRecursion,0.9144,0.9133,1.0,1.0,0.835,0.835,0.0856,0.9144,0.9567,0.8781,FORMALISM-STABLE
48,P-A-N,GraphDynamicalRecursion,0.9141,0.913,1.0,1.0,0.8345,0.8345,0.0859,0.9141,0.9567,0.8778,FORMALISM-STABLE
64,P-A-N,GraphDynamicalRecursion,0.9136,0.9125,1.0,1.0,0.8337,0.8337,0.0864,0.9136,0.9567,0.8774,FORMALISM-STABLE
80,P-A-N,GraphDynamicalRecursion,0.9133,0.9122,1.0,1.0,0.8331,0.8331,0.0867,0.9133,0.9567,0.8771,FORMALISM-STABLE
96,P-A-N,GraphDynamicalRecursion,0.913,0.9119,1.0,1.0,0.8326,0.8326,0.087,0.913,0.9567,0.8768,FORMALISM-STABLE
128,P-A-N,GraphDynamicalRecursion,0.9126,0.9115,1.0,1.0,0.8318,0.8318,0.0874,0.9126,0.9567,0.8764,FORMALISM-STABLE
160,P-A-N,GraphDynamicalRecursion,0.9122,0.9111,1.0,1.0,0.8312,0.8312,0.0878,0.9122,0.9567,0.8761,FORMALISM-STABLE
192,P-A-N,GraphDynamicalRecursion,0.9119,0.9109,1.0,1.0,0.8307,0.8307,0.0881,0.9119,0.9567,0.8759,FORMALISM-STABLE
256,P-A-N,GraphDynamicalRecursion,0.9115,0.9104,1.0,1.0,0.8299,0.8299,0.0885,0.9115,0.9567,0.8755,FORMALISM-STABLE
320,P-A-N,GraphDynamicalRecursion,0.9112,0.9101,1.0,1.0,0.8292,0.8292,0.0888,0.9112,0.9567,0.8752,FORMALISM-STABLE
512,P-A-N,GraphDynamicalRecursion,0.9104,0.9094,1.0,1.0,0.8279,0.8279,0.0896,0.9104,0.9567,0.8745,FORMALISM-STABLE
768,P-A-N,GraphDynamicalRecursion,0.9098,0.9087,1.0,1.0,0.8268,0.8268,0.0902,0.9098,0.9567,0.874,FORMALISM-STABLE
1024,P-A-N,GraphDynamicalRecursion,0.9094,0.9083,1.0,1.0,0.826,0.826,0.0906,0.9094,0.9567,0.8736,FORMALISM-STABLE
1536,P-A-N,GraphDynamicalRecursion,0.9088,0.9077,1.0,1.0,0.8249,0.8249,0.0912,0.9088,0.9567,0.873,FORMALISM-STABLE
2048,P-A-N,GraphDynamicalRecursion,0.9083,0.9072,1.0,1.0,0.8241,0.8241,0.0917,0.9083,0.9567,0.8726,FORMALISM-STABLE
3072,P-A-N,GraphDynamicalRecursion,0.9077,0.9066,1.0,1.0,0.8229,0.8229,0.0923,0.9077,0.9567,0.872,FORMALISM-STABLE
4096,P-A-N,GraphDynamicalRecursion,0.9073,0.9062,1.0,1.0,0.8221,0.8221,0.0927,0.9073,0.9567,0.8716,FORMALISM-STABLE
6144,P-A-N,GraphDynamicalRecursion,0.9066,0.9056,1.0,1.0,0.821,0.821,0.0934,0.9066,0.9567,0.8711,FORMALISM-STABLE
8192,P-A-N,GraphDynamicalRecursion,0.9062,0.9051,1.0,1.0,0.8202,0.8202,0.0938,0.9062,0.9567,0.8707,FORMALISM-STABLE
12288,P-A-N,GraphDynamicalRecursion,0.9056,0.9045,1.0,1.0,0.8191,0.8191,0.0944,0.9056,0.9567,0.8701,FORMALISM-STABLE
16384,P-A-N,GraphDynamicalRecursion,0.9051,0.9041,1.0,1.0,0.8183,0.8183,0.0949,0.9051,0.9566,0.8697,FORMALISM-STABLE
24576,P-A-N,GraphDynamicalRecursion,0.9045,0.9034,1.0,1.0,0.8172,0.8172,0.0955,0.9045,0.9566,0.8691,FORMALISM-STABLE
32768,P-A-N,GraphDynamicalRecursion,0.9041,0.903,1.0,1.0,0.8164,0.8164,0.0959,0.9041,0.9566,0.8686,FORMALISM-STABLE
65536,P-A-N,GraphDynamicalRecursion,0.903,0.9019,1.0,1.0,0.8145,0.8145,0.097,0.903,0.9565,0.8676,FORMALISM-STABLE
131072,P-A-N,GraphDynamicalRecursion,0.902,0.9009,1.0,1.0,0.8126,0.8126,0.098,0.902,0.9562,0.8664,FORMALISM-STABLE
262144,P-A-N,GraphDynamicalRecursion,0.9009,0.8998,1.0,1.0,0.8106,0.8106,0.0991,0.9009,0.9557,0.865,FORMALISM-STABLE
524288,P-A-N,GraphDynamicalRecursion,0.8998,0.8988,1.0,1.0,0.8087,0.8087,0.1002,0.8998,0.9547,0.8632,FORMALISM-STABLE
1048576,P-A-N,GraphDynamicalRecursion,0.8988,0.8977,1.0,1.0,0.8068,0.8068,0.1012,0.8988,0.9528,0.8604,FORMALISM-STABLE
2097152,P-A-N,GraphDynamicalRecursion,0.8977,0.8966,1.0,1.0,0.8049,0.8049,0.1023,0.8977,0.9489,0.856,FORMALISM-STABLE
4194304,P-A-N,GraphDynamicalRecursion,0.8966,0.8956,1.0,1.0,0.803,0.803,0.1034,0.8966,0.9413,0.8482,FORMALISM-STABLE
8388608,P-A-N,GraphDynamicalRecursion,0.8956,0.8945,1.0,1.0,0.8011,0.8011,0.1044,0.8956,0.9263,0.8339,FORMALISM-STABLE
16777216,P-A-N,GraphDynamicalRecursion,0.8945,0.8935,1.0,1.0,0.7992,0.7992,0.1055,0.8945,0.8979,0.8075,FORMALISM-STABLE
33554432,P-A-N,GraphDynamicalRecursion,0.8935,0.8924,1.0,1.0,0.7973,0.7973,0.1065,0.8935,0.8458,0.7602,FORMALISM-STABLE
67108864,P-A-N,GraphDynamicalRecursion,0.8924,0.8913,1.0,1.0,0.7954,0.7954,0.1076,0.8924,0.758,0.6811,FORMALISM-STABLE
1,P-A-N,CategoryMorphismComposition,0.9,0.8996,1.0,1.0,0.8096,0.8096,0.1,0.9,0.9567,0.8657,FORMALISM-STABLE
2,P-A-N,CategoryMorphismComposition,0.8997,0.8993,1.0,1.0,0.809,0.809,0.1003,0.8997,0.9567,0.8654,FORMALISM-STABLE
4,P-A-N,CategoryMorphismComposition,0.8993,0.8989,1.0,1.0,0.8084,0.8084,0.1007,0.8993,0.9567,0.865,FORMALISM-STABLE
6,P-A-N,CategoryMorphismComposition,0.8991,0.8987,1.0,1.0,0.808,0.808,0.1009,0.8991,0.9567,0.8649,FORMALISM-STABLE
8,P-A-N,CategoryMorphismComposition,0.899,0.8986,1.0,1.0,0.8078,0.8078,0.101,0.899,0.9567,0.8647,FORMALISM-STABLE
12,P-A-N,CategoryMorphismComposition,0.8988,0.8984,1.0,1.0,0.8074,0.8074,0.1012,0.8988,0.9567,0.8645,FORMALISM-STABLE
16,P-A-N,CategoryMorphismComposition,0.8986,0.8982,1.0,1.0,0.8072,0.8072,0.1014,0.8986,0.9567,0.8644,FORMALISM-STABLE
20,P-A-N,CategoryMorphismComposition,0.8985,0.8981,1.0,1.0,0.807,0.807,0.1015,0.8985,0.9567,0.8643,FORMALISM-STABLE
24,P-A-N,CategoryMorphismComposition,0.8984,0.898,1.0,1.0,0.8068,0.8068,0.1016,0.8984,0.9567,0.8642,FORMALISM-STABLE
32,P-A-N,CategoryMorphismComposition,0.8983,0.8979,1.0,1.0,0.8065,0.8065,0.1017,0.8983,0.9567,0.8641,FORMALISM-STABLE
40,P-A-N,CategoryMorphismComposition,0.8982,0.8978,1.0,1.0,0.8063,0.8063,0.1018,0.8982,0.9567,0.864,FORMALISM-STABLE
48,P-A-N,CategoryMorphismComposition,0.8981,0.8977,1.0,1.0,0.8062,0.8062,0.1019,0.8981,0.9567,0.8639,FORMALISM-STABLE
64,P-A-N,CategoryMorphismComposition,0.8979,0.8975,1.0,1.0,0.8059,0.8059,0.1021,0.8979,0.9567,0.8638,FORMALISM-STABLE
80,P-A-N,CategoryMorphismComposition,0.8978,0.8974,1.0,1.0,0.8057,0.8057,0.1022,0.8978,0.9567,0.8637,FORMALISM-STABLE
96,P-A-N,CategoryMorphismComposition,0.8977,0.8973,1.0,1.0,0.8055,0.8055,0.1023,0.8977,0.9567,0.8636,FORMALISM-STABLE
128,P-A-N,CategoryMorphismComposition,0.8976,0.8972,1.0,1.0,0.8053,0.8053,0.1024,0.8976,0.9567,0.8635,FORMALISM-STABLE
160,P-A-N,CategoryMorphismComposition,0.8975,0.8971,1.0,1.0,0.8051,0.8051,0.1025,0.8975,0.9567,0.8634,FORMALISM-STABLE
192,P-A-N,CategoryMorphismComposition,0.8974,0.897,1.0,1.0,0.8049,0.8049,0.1026,0.8974,0.9567,0.8633,FORMALISM-STABLE
256,P-A-N,CategoryMorphismComposition,0.8972,0.8968,1.0,1.0,0.8047,0.8047,0.1028,0.8972,0.9567,0.8632,FORMALISM-STABLE
320,P-A-N,CategoryMorphismComposition,0.8971,0.8967,1.0,1.0,0.8045,0.8045,0.1029,0.8971,0.9567,0.8631,FORMALISM-STABLE
512,P-A-N,CategoryMorphismComposition,0.8969,0.8965,1.0,1.0,0.804,0.804,0.1031,0.8969,0.9567,0.8628,FORMALISM-STABLE
768,P-A-N,CategoryMorphismComposition,0.8967,0.8963,1.0,1.0,0.8037,0.8037,0.1033,0.8967,0.9567,0.8627,FORMALISM-STABLE
1024,P-A-N,CategoryMorphismComposition,0.8965,0.8961,1.0,1.0,0.8034,0.8034,0.1035,0.8965,0.9567,0.8625,FORMALISM-STABLE
1536,P-A-N,CategoryMorphismComposition,0.8963,0.8959,1.0,1.0,0.8031,0.8031,0.1037,0.8963,0.9567,0.8623,FORMALISM-STABLE
2048,P-A-N,CategoryMorphismComposition,0.8962,0.8958,1.0,1.0,0.8028,0.8028,0.1038,0.8962,0.9567,0.8622,FORMALISM-STABLE
3072,P-A-N,CategoryMorphismComposition,0.896,0.8956,1.0,1.0,0.8024,0.8024,0.104,0.896,0.9567,0.862,FORMALISM-STABLE
4096,P-A-N,CategoryMorphismComposition,0.8958,0.8954,1.0,1.0,0.8022,0.8022,0.1042,0.8958,0.9567,0.8619,FORMALISM-STABLE
6144,P-A-N,CategoryMorphismComposition,0.8956,0.8952,1.0,1.0,0.8018,0.8018,0.1044,0.8956,0.9567,0.8617,FORMALISM-STABLE
8192,P-A-N,CategoryMorphismComposition,0.8955,0.8951,1.0,1.0,0.8016,0.8016,0.1045,0.8955,0.9567,0.8616,FORMALISM-STABLE
12288,P-A-N,CategoryMorphismComposition,0.8953,0.8949,1.0,1.0,0.8012,0.8012,0.1047,0.8953,0.9567,0.8614,FORMALISM-STABLE
16384,P-A-N,CategoryMorphismComposition,0.8952,0.8948,1.0,1.0,0.8009,0.8009,0.1048,0.8952,0.9566,0.8612,FORMALISM-STABLE
24576,P-A-N,CategoryMorphismComposition,0.895,0.8946,1.0,1.0,0.8006,0.8006,0.105,0.895,0.9566,0.861,FORMALISM-STABLE
32768,P-A-N,CategoryMorphismComposition,0.8948,0.8944,1.0,1.0,0.8003,0.8003,0.1052,0.8948,0.9566,0.8609,FORMALISM-STABLE
65536,P-A-N,CategoryMorphismComposition,0.8945,0.8941,1.0,1.0,0.7997,0.7997,0.1055,0.8945,0.9565,0.8604,FORMALISM-STABLE
131072,P-A-N,CategoryMorphismComposition,0.8941,0.8937,1.0,1.0,0.7991,0.7991,0.1059,0.8941,0.9562,0.8599,FORMALISM-STABLE
262144,P-A-N,CategoryMorphismComposition,0.8938,0.8934,1.0,1.0,0.7985,0.7985,0.1062,0.8938,0.9557,0.8591,FORMALISM-STABLE
524288,P-A-N,CategoryMorphismComposition,0.8934,0.893,1.0,1.0,0.7979,0.7979,0.1066,0.8934,0.9547,0.858,FORMALISM-STABLE
1048576,P-A-N,CategoryMorphismComposition,0.8931,0.8927,1.0,1.0,0.7972,0.7972,0.1069,0.8931,0.9528,0.8559,FORMALISM-STABLE
2097152,P-A-N,CategoryMorphismComposition,0.8927,0.8923,1.0,1.0,0.7966,0.7966,0.1073,0.8927,0.9489,0.8521,FORMALISM-STABLE
4194304,P-A-N,CategoryMorphismComposition,0.8924,0.892,1.0,1.0,0.796,0.796,0.1076,0.8924,0.9413,0.845,FORMALISM-STABLE
8388608,P-A-N,CategoryMorphismComposition,0.892,0.8916,1.0,1.0,0.7954,0.7954,0.108,0.892,0.9263,0.8314,FORMALISM-STABLE
16777216,P-A-N,CategoryMorphismComposition,0.8917,0.8913,1.0,1.0,0.7948,0.7948,0.1083,0.8917,0.8979,0.8057,FORMALISM-STABLE
