name,class,TRE_raw,TRE_norm,CSR,RBS,RTP,SRD,ADI,stability_score,curvature,high_curvature,transition_score,PC1,PC2,PC3,flow_mag,flow_regime
avalanche_redistribution,positive,0.122151,0.70179,0.458589,-1.011786,0.424518,0.712259,0.418245,-0.553197,0.0156554285820252,0,0.0652323474547489,-4.126414310034549,0.5784056824773294,-0.0023446064843158174,4.166755775031641,peripheral
percolation_transport,positive,0.0,-0.938763,0.619902,-0.033525,0.122629,1.0,1.0,0.586377,0.0399130825765447,1,0.0253019287725502,-0.3028954180036631,-0.5060752387138758,-0.23238762961163154,0.6339256990242885,core
CrystallizationFromLiquid,negative,0.093056,0.311029,0.768332,0.191687,0.75276,0.87638,1.0,0.960019,0.0004533281205783,0,0.0003386019198068,0.7048205717778059,0.20532608492905682,0.13771528958178839,0.746924588253783,core
LaserOpticalCoherence,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.27437327478483153,1.6259720261483905,intermediate
FerromagneticMagnetization,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.27437327478483153,1.6259720261483905,intermediate
ElectronTransportMesoscopic,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.27437327478483153,1.6259720261483905,intermediate
LimitCycleOscillations,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.27437327478483153,1.6259720261483905,intermediate
HeatTransportPhononic,negative,0.093056,0.311029,0.768332,0.191687,0.75276,0.87638,1.0,0.960019,0.0004533281205783,0,0.0003386019198068,0.7048205717778059,0.20532608492905682,0.13771528958178839,0.746924588253783,core
StrangeAttractorLorenz,negative,0.071821,0.025835,0.779535,0.189247,0.826124,0.913062,1.0,0.968782,0.000141512068888,0,0.000141535729275,0.8441927295803251,0.5100243321555492,0.16597661822631243,1.0001671969550077,core
AndersonLocalization,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.27437327478483153,1.6259720261483905,intermediate
PhaseEquilibriumMulticomponent,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.27437327478483153,1.6259720261483905,intermediate
PhotonicBandgapLocalization,negative,0.053696,-0.217604,0.700107,0.112605,0.877636,0.938818,1.0,0.812712,0.000141512068888,0,0.0001474130417449,0.5042613687366755,0.7671540800615431,0.4922730904003618,1.041699431740068,core
CriticalPhenomenaScaling,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.27437327478483153,1.6259720261483905,intermediate
ChargeConservationEM,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.27437327478483153,1.6259720261483905,intermediate
StandingWavePatterns,negative,0.007068,-0.843836,0.782288,0.215512,0.985658,0.992829,1.0,0.9978,0.0,0,0.0,1.1333258451400838,1.133171154168012,0.27437327478483153,1.6259720261483905,intermediate
random_walk,negative,0.007108,-0.843295,0.278302,0.178382,0.044643,0.840774,1.0,0.456684,0.0469291331833813,1,0.1062369362315085,-1.404562940245759,-1.6192668626714002,0.7279072882006421,2.2637736737300185,intermediate
static_equilibrium,negative,0.0,-0.938763,0.995792,0.983556,0.0,1.0,1.0,1.979348,5.726364562419056e-05,0,0.0002232457180752,2.8297206477313486,-1.6504133319412613,-2.113665415378853,3.898559297819547,peripheral
memoryless_diffusion,negative,0.088577,0.250876,0.490594,-0.026583,0.693427,0.872261,0.143065,0.464011,0.0174494330464744,1,0.0477169382048964,-2.215584679494181,1.0868645847280658,-1.1780742174714436,2.734583873172735,intermediate
white_noise,negative,0.082049,0.163194,0.545724,0.126362,0.730397,0.887665,1.0,0.672086,0.0068696055911099,0,0.0057936634920962,-0.16440021464368765,0.18475569565597982,0.8063012576448281,0.8433764377381238,core
disconnected_flow,negative,0.270561,2.69501,0.66026,0.491778,0.53038,0.489873,1.0,1.152038,0.0006541248476418,0,0.0013903459408708,0.06074190468034606,-2.091368463088579,0.37451551377586145,2.1255054686931483,intermediate
monotonic_decay,negative,0.089509,0.263389,0.715604,0.093523,0.766424,0.883212,0.635118,0.809127,0.1179524128862113,1,0.1144647771163477,-0.29025994065985683,0.7263460277454588,-0.5743766810042316,0.970431840396278,core
