depth,sector,condition,rg_similarity,self_maintenance_index,correction_regeneration_rate,stabilization_overhead,recursive_repair_efficiency,coherence_retention,maintenance_convergence,classification
8,Projection,StabilizationRegeneration,0.7428,0.7282,0.6943,0.005,0.6989,0.7145,0.6686,COHERENCE-REGENERATIVE
12,Projection,StabilizationRegeneration,0.6647,0.6566,0.624,0.005,0.6198,0.6473,0.5979,COHERENCE-PARTIAL
16,Projection,StabilizationRegeneration,0.5934,0.5828,0.5482,0.005,0.561,0.5678,0.5411,COHERENCE-PARTIAL
20,Projection,StabilizationRegeneration,0.5425,0.5289,0.5072,0.005,0.512,0.5147,0.5073,COHERENCE-DEGRADING
24,Projection,StabilizationRegeneration,0.4946,0.4803,0.4545,0.005,0.471,0.4728,0.4528,COHERENCE-DEGRADING
28,Projection,StabilizationRegeneration,0.4508,0.4356,0.43,0.005,0.4351,0.4431,0.43,COHERENCE-DEGRADING
32,Projection,StabilizationRegeneration,0.4202,0.4125,0.3926,0.005,0.3986,0.4174,0.3951,COHERENCE-DEGRADING
40,Projection,StabilizationRegeneration,0.372,0.3578,0.3511,0.005,0.3542,0.3624,0.3498,COHERENCE-FAILED
48,Projection,StabilizationRegeneration,0.3359,0.3182,0.3123,0.005,0.3131,0.3197,0.3053,COHERENCE-FAILED
64,Projection,StabilizationRegeneration,0.2713,0.2654,0.2482,0.005,0.2598,0.262,0.2436,COHERENCE-FAILED
1,Projection,CoherenceMaintenanceFeedback,0.926,0.9038,0.8677,0.011,0.88,0.89,0.8677,SELF-MAINTAINING
2,Projection,CoherenceMaintenanceFeedback,0.8947,0.8781,0.836,0.005,0.8519,0.89,0.8556,SELF-MAINTAINING
4,Projection,CoherenceMaintenanceFeedback,0.8367,0.8212,0.7665,0.007,0.7781,0.8378,0.8041,SELF-MAINTAINING
6,Projection,CoherenceMaintenanceFeedback,0.791,0.7634,0.7313,0.008,0.74,0.7678,0.7465,COHERENCE-REGENERATIVE
8,Projection,CoherenceMaintenanceFeedback,0.7181,0.7086,0.6667,0.0062,0.6981,0.735,0.6879,COHERENCE-REGENERATIVE
12,Projection,CoherenceMaintenanceFeedback,0.6373,0.6249,0.6088,0.0094,0.5987,0.6539,0.6216,COHERENCE-PARTIAL
16,Projection,CoherenceMaintenanceFeedback,0.5756,0.576,0.5451,0.006,0.5384,0.5809,0.5444,COHERENCE-DEGRADING
20,Projection,CoherenceMaintenanceFeedback,0.5314,0.5034,0.4892,0.0186,0.4939,0.5289,0.5068,COHERENCE-DEGRADING
24,Projection,CoherenceMaintenanceFeedback,0.4921,0.4709,0.4419,0.0213,0.4657,0.4827,0.4571,COHERENCE-DEGRADING
28,Projection,CoherenceMaintenanceFeedback,0.4483,0.4355,0.4145,0.0087,0.4167,0.4507,0.4341,COHERENCE-DEGRADING
32,Projection,CoherenceMaintenanceFeedback,0.4091,0.3977,0.3796,0.0114,0.3941,0.4261,0.4031,COHERENCE-FAILED
40,Projection,CoherenceMaintenanceFeedback,0.3723,0.3537,0.3338,0.0102,0.3346,0.3625,0.3503,COHERENCE-FAILED
48,Projection,CoherenceMaintenanceFeedback,0.3193,0.3181,0.3064,0.005,0.3077,0.3225,0.3134,COHERENCE-FAILED
64,Projection,CoherenceMaintenanceFeedback,0.2709,0.26,0.2433,0.0267,0.2502,0.2643,0.2516,COHERENCE-FAILED
1,Projection,RecursiveRepairPropagation,0.9372,0.8707,0.8394,0.0123,0.88,0.8892,0.8623,SELF-MAINTAINING
2,Projection,RecursiveRepairPropagation,0.8843,0.8486,0.8035,0.0272,0.8556,0.8662,0.8374,SELF-MAINTAINING
4,Projection,RecursiveRepairPropagation,0.8338,0.7992,0.7685,0.0274,0.804,0.7938,0.7844,SELF-MAINTAINING
6,Projection,RecursiveRepairPropagation,0.7695,0.7219,0.728,0.0216,0.7532,0.7415,0.7167,COHERENCE-REGENERATIVE
8,Projection,RecursiveRepairPropagation,0.7158,0.6828,0.6688,0.0262,0.701,0.7126,0.6829,COHERENCE-REGENERATIVE
12,Projection,RecursiveRepairPropagation,0.6361,0.6084,0.5865,0.0255,0.6214,0.609,0.5874,COHERENCE-PARTIAL
16,Projection,RecursiveRepairPropagation,0.5872,0.5476,0.5232,0.0176,0.5708,0.5629,0.5428,COHERENCE-DEGRADING
20,Projection,RecursiveRepairPropagation,0.5323,0.509,0.4902,0.0143,0.5117,0.5088,0.4857,COHERENCE-DEGRADING
24,Projection,RecursiveRepairPropagation,0.4782,0.4512,0.4386,0.0179,0.4678,0.4604,0.448,COHERENCE-DEGRADING
28,Projection,RecursiveRepairPropagation,0.4501,0.4339,0.4114,0.0189,0.4359,0.4308,0.4208,COHERENCE-DEGRADING
32,Projection,RecursiveRepairPropagation,0.4052,0.3939,0.3902,0.0205,0.4007,0.3977,0.3889,COHERENCE-FAILED
40,Projection,RecursiveRepairPropagation,0.356,0.3527,0.3394,0.0145,0.3497,0.3529,0.3308,COHERENCE-FAILED
48,Projection,RecursiveRepairPropagation,0.3278,0.3088,0.2923,0.0188,0.3142,0.3056,0.3055,COHERENCE-FAILED
64,Projection,RecursiveRepairPropagation,0.2667,0.2568,0.2389,0.0347,0.2551,0.2542,0.2463,COHERENCE-FAILED
1,Projection,NullSelfMaintenanceControl,0.7156,0.7279,0.6872,0.1055,0.6857,0.7207,0.7318,COHERENCE-DEGRADING
2,Projection,NullSelfMaintenanceControl,0.686,0.7173,0.6432,0.1118,0.6399,0.7242,0.6755,COHERENCE-DEGRADING
4,Projection,NullSelfMaintenanceControl,0.6661,0.6389,0.617,0.1133,0.604,0.6392,0.6374,COHERENCE-DEGRADING
6,Projection,NullSelfMaintenanceControl,0.6249,0.6243,0.5582,0.1148,0.5475,0.6103,0.6056,COHERENCE-DEGRADING
8,Projection,NullSelfMaintenanceControl,0.5802,0.5595,0.536,0.1067,0.5234,0.5668,0.5542,COHERENCE-DEGRADING
12,Projection,NullSelfMaintenanceControl,0.5022,0.5123,0.4698,0.1118,0.4744,0.5022,0.5044,COHERENCE-DEGRADING
16,Projection,NullSelfMaintenanceControl,0.4476,0.4557,0.4365,0.1249,0.4208,0.4606,0.4405,COHERENCE-DEGRADING
20,Projection,NullSelfMaintenanceControl,0.4258,0.4172,0.3881,0.1279,0.3745,0.4279,0.3996,COHERENCE-DEGRADING
24,Projection,NullSelfMaintenanceControl,0.3711,0.3807,0.3609,0.1372,0.3486,0.3813,0.3667,COHERENCE-FAILED
28,Projection,NullSelfMaintenanceControl,0.3448,0.3442,0.3271,0.1415,0.3157,0.3489,0.3411,COHERENCE-FAILED
32,Projection,NullSelfMaintenanceControl,0.3314,0.3286,0.302,0.1259,0.3034,0.3325,0.3252,COHERENCE-FAILED
40,Projection,NullSelfMaintenanceControl,0.2848,0.2869,0.2635,0.1361,0.2589,0.2892,0.2748,COHERENCE-FAILED
48,Projection,NullSelfMaintenanceControl,0.2493,0.2495,0.2384,0.15,0.2395,0.2582,0.2485,COHERENCE-FAILED
64,Projection,NullSelfMaintenanceControl,0.2125,0.2131,0.1965,0.15,0.1885,0.2071,0.1987,COHERENCE-FAILED
1,Antisymmetry,RecursiveOpSelfReinforcement,0.915,0.8742,0.847,0.0082,0.8754,0.8807,0.8449,SELF-MAINTAINING
2,Antisymmetry,RecursiveOpSelfReinforcement,0.8737,0.8639,0.8262,0.005,0.8316,0.8477,0.781,SELF-MAINTAINING
4,Antisymmetry,RecursiveOpSelfReinforcement,0.8062,0.802,0.7511,0.0117,0.7557,0.7989,0.7239,SELF-MAINTAINING
6,Antisymmetry,RecursiveOpSelfReinforcement,0.7679,0.7366,0.714,0.005,0.7247,0.7303,0.692,COHERENCE-REGENERATIVE
8,Antisymmetry,RecursiveOpSelfReinforcement,0.7122,0.6841,0.6498,0.005,0.6563,0.6694,0.6499,COHERENCE-REGENERATIVE
12,Antisymmetry,RecursiveOpSelfReinforcement,0.6223,0.6278,0.5826,0.005,0.5987,0.6051,0.5754,COHERENCE-PARTIAL
16,Antisymmetry,RecursiveOpSelfReinforcement,0.5617,0.5575,0.5391,0.005,0.5471,0.5582,0.5176,COHERENCE-DEGRADING
20,Antisymmetry,RecursiveOpSelfReinforcement,0.5077,0.498,0.4708,0.011,0.4939,0.4962,0.4787,COHERENCE-DEGRADING
24,Antisymmetry,RecursiveOpSelfReinforcement,0.4806,0.4649,0.4488,0.005,0.4448,0.4589,0.4299,COHERENCE-DEGRADING
28,Antisymmetry,RecursiveOpSelfReinforcement,0.4331,0.4215,0.4054,0.012,0.4136,0.4163,0.402,COHERENCE-DEGRADING
32,Antisymmetry,RecursiveOpSelfReinforcement,0.4064,0.3994,0.3768,0.0153,0.3832,0.3919,0.3622,COHERENCE-FAILED
40,Antisymmetry,RecursiveOpSelfReinforcement,0.3548,0.3528,0.3309,0.005,0.3288,0.3481,0.3299,COHERENCE-FAILED
48,Antisymmetry,RecursiveOpSelfReinforcement,0.313,0.3088,0.2992,0.013,0.2979,0.2976,0.2857,COHERENCE-FAILED
64,Antisymmetry,RecursiveOpSelfReinforcement,0.2574,0.2522,0.2354,0.005,0.2486,0.2446,0.2325,COHERENCE-FAILED
1,Antisymmetry,AutonomousCorrectionCycling,0.8946,0.8768,0.824,0.0213,0.8469,0.8898,0.8311,SELF-MAINTAINING
2,Antisymmetry,AutonomousCorrectionCycling,0.8752,0.8479,0.8151,0.0083,0.8121,0.8434,0.8182,SELF-MAINTAINING
4,Antisymmetry,AutonomousCorrectionCycling,0.799,0.764,0.7421,0.0051,0.7451,0.803,0.7474,COHERENCE-REGENERATIVE
6,Antisymmetry,AutonomousCorrectionCycling,0.749,0.7275,0.7026,0.0072,0.7091,0.7232,0.6853,COHERENCE-REGENERATIVE
8,Antisymmetry,AutonomousCorrectionCycling,0.7055,0.6645,0.6622,0.0172,0.6739,0.6817,0.6568,COHERENCE-REGENERATIVE
12,Antisymmetry,AutonomousCorrectionCycling,0.613,0.6091,0.5837,0.0089,0.5844,0.628,0.573,COHERENCE-PARTIAL
16,Antisymmetry,AutonomousCorrectionCycling,0.5574,0.5367,0.5106,0.0137,0.529,0.5576,0.5159,COHERENCE-DEGRADING
20,Antisymmetry,AutonomousCorrectionCycling,0.5026,0.5015,0.4789,0.0197,0.4707,0.5138,0.4646,COHERENCE-DEGRADING
24,Antisymmetry,AutonomousCorrectionCycling,0.4665,0.4542,0.4394,0.0291,0.4383,0.4582,0.4449,COHERENCE-DEGRADING
28,Antisymmetry,AutonomousCorrectionCycling,0.4357,0.4106,0.4071,0.0225,0.4039,0.4235,0.4075,COHERENCE-DEGRADING
32,Antisymmetry,AutonomousCorrectionCycling,0.3996,0.3792,0.3796,0.0152,0.3793,0.4004,0.3736,COHERENCE-FAILED
40,Antisymmetry,AutonomousCorrectionCycling,0.3453,0.3393,0.322,0.0269,0.3341,0.3432,0.3277,COHERENCE-FAILED
48,Antisymmetry,AutonomousCorrectionCycling,0.31,0.2976,0.2834,0.0099,0.288,0.3035,0.2958,COHERENCE-FAILED
64,Antisymmetry,AutonomousCorrectionCycling,0.2541,0.2513,0.2349,0.0308,0.2414,0.2492,0.2407,COHERENCE-FAILED
1,Antisymmetry,StabilizationRegeneration,0.9153,0.883,0.8537,0.005,0.8599,0.889,0.8354,SELF-MAINTAINING
2,Antisymmetry,StabilizationRegeneration,0.871,0.8761,0.8204,0.005,0.8448,0.8477,0.8283,SELF-MAINTAINING
4,Antisymmetry,StabilizationRegeneration,0.8326,0.7965,0.7551,0.005,0.7652,0.7839,0.7407,SELF-MAINTAINING
6,Antisymmetry,StabilizationRegeneration,0.7694,0.7496,0.7151,0.005,0.7135,0.7605,0.7166,COHERENCE-REGENERATIVE
8,Antisymmetry,StabilizationRegeneration,0.7077,0.7121,0.6735,0.005,0.6676,0.7082,0.6622,COHERENCE-REGENERATIVE
12,Antisymmetry,StabilizationRegeneration,0.6519,0.6165,0.5853,0.005,0.6087,0.6243,0.5958,COHERENCE-PARTIAL
16,Antisymmetry,StabilizationRegeneration,0.5735,0.5526,0.5273,0.005,0.5429,0.5597,0.5271,COHERENCE-DEGRADING
20,Antisymmetry,StabilizationRegeneration,0.5136,0.518,0.4798,0.005,0.4868,0.4984,0.4782,COHERENCE-DEGRADING
24,Antisymmetry,StabilizationRegeneration,0.4849,0.4715,0.4402,0.005,0.4474,0.4665,0.4361,COHERENCE-DEGRADING
28,Antisymmetry,StabilizationRegeneration,0.4494,0.4395,0.4101,0.005,0.4155,0.4354,0.4012,COHERENCE-DEGRADING
32,Antisymmetry,StabilizationRegeneration,0.4184,0.393,0.3838,0.005,0.3815,0.4029,0.3708,COHERENCE-FAILED
40,Antisymmetry,StabilizationRegeneration,0.3594,0.3564,0.3309,0.005,0.3415,0.3445,0.329,COHERENCE-FAILED
48,Antisymmetry,StabilizationRegeneration,0.313,0.3076,0.2931,0.005,0.2984,0.3065,0.2929,COHERENCE-FAILED
64,Antisymmetry,StabilizationRegeneration,0.2636,0.258,0.243,0.005,0.246,0.2496,0.236,COHERENCE-FAILED
1,Antisymmetry,CoherenceMaintenanceFeedback,0.9227,0.8767,0.8397,0.0062,0.8369,0.89,0.8381,SELF-MAINTAINING
2,Antisymmetry,CoherenceMaintenanceFeedback,0.879,0.8322,0.8125,0.0173,0.8211,0.8683,0.8418,SELF-MAINTAINING
4,Antisymmetry,CoherenceMaintenanceFeedback,0.8195,0.7711,0.7305,0.0134,0.7647,0.8054,0.7467,SELF-MAINTAINING
6,Antisymmetry,CoherenceMaintenanceFeedback,0.7413,0.7418,0.6873,0.0077,0.7149,0.7457,0.7264,COHERENCE-REGENERATIVE
8,Antisymmetry,CoherenceMaintenanceFeedback,0.6933,0.6782,0.638,0.0191,0.6564,0.7188,0.6593,COHERENCE-REGENERATIVE
12,Antisymmetry,CoherenceMaintenanceFeedback,0.6188,0.6085,0.5897,0.0143,0.5762,0.6378,0.5926,COHERENCE-PARTIAL
16,Antisymmetry,CoherenceMaintenanceFeedback,0.554,0.5351,0.5205,0.0153,0.5329,0.5625,0.5406,COHERENCE-DEGRADING
20,Antisymmetry,CoherenceMaintenanceFeedback,0.5195,0.4872,0.4795,0.0223,0.4881,0.5082,0.4851,COHERENCE-DEGRADING
24,Antisymmetry,CoherenceMaintenanceFeedback,0.48,0.4469,0.4366,0.0178,0.4452,0.4765,0.4428,COHERENCE-DEGRADING
28,Antisymmetry,CoherenceMaintenanceFeedback,0.4305,0.4274,0.4093,0.0173,0.4137,0.4441,0.4062,COHERENCE-DEGRADING
32,Antisymmetry,CoherenceMaintenanceFeedback,0.4022,0.3927,0.3713,0.0227,0.379,0.404,0.3733,COHERENCE-FAILED
40,Antisymmetry,CoherenceMaintenanceFeedback,0.3507,0.3408,0.3248,0.029,0.3336,0.353,0.3327,COHERENCE-FAILED
48,Antisymmetry,CoherenceMaintenanceFeedback,0.3181,0.3066,0.2913,0.0234,0.3002,0.3182,0.3018,COHERENCE-FAILED
64,Antisymmetry,CoherenceMaintenanceFeedback,0.2619,0.2509,0.233,0.016,0.2379,0.2595,0.2409,COHERENCE-FAILED
1,Antisymmetry,RecursiveRepairPropagation,0.907,0.8563,0.8177,0.021,0.88,0.8849,0.8493,SELF-MAINTAINING
2,Antisymmetry,RecursiveRepairPropagation,0.8505,0.8188,0.777,0.0214,0.8311,0.8178,0.7847,SELF-MAINTAINING
4,Antisymmetry,RecursiveRepairPropagation,0.8015,0.7476,0.7417,0.0309,0.7857,0.7827,0.754,COHERENCE-REGENERATIVE
6,Antisymmetry,RecursiveRepairPropagation,0.7442,0.7295,0.6845,0.0179,0.7269,0.7211,0.6997,COHERENCE-REGENERATIVE
8,Antisymmetry,RecursiveRepairPropagation,0.7088,0.6666,0.6393,0.0355,0.6744,0.6878,0.6547,COHERENCE-REGENERATIVE
12,Antisymmetry,RecursiveRepairPropagation,0.631,0.6041,0.5768,0.0286,0.5965,0.5914,0.5723,COHERENCE-PARTIAL
16,Antisymmetry,RecursiveRepairPropagation,0.5641,0.5252,0.5046,0.0179,0.5391,0.5487,0.5218,COHERENCE-DEGRADING
20,Antisymmetry,RecursiveRepairPropagation,0.4987,0.4808,0.4725,0.0173,0.4874,0.4973,0.481,COHERENCE-DEGRADING
24,Antisymmetry,RecursiveRepairPropagation,0.4749,0.4364,0.44,0.0271,0.4527,0.4509,0.4387,COHERENCE-DEGRADING
28,Antisymmetry,RecursiveRepairPropagation,0.4274,0.4039,0.3919,0.0391,0.4202,0.4188,0.4027,COHERENCE-DEGRADING
32,Antisymmetry,RecursiveRepairPropagation,0.3929,0.3909,0.3612,0.0366,0.3848,0.3799,0.3813,COHERENCE-FAILED
40,Antisymmetry,RecursiveRepairPropagation,0.3534,0.3346,0.3204,0.0329,0.3408,0.3377,0.3213,COHERENCE-FAILED
48,Antisymmetry,RecursiveRepairPropagation,0.306,0.2979,0.2935,0.0342,0.3058,0.2977,0.2847,COHERENCE-FAILED
64,Antisymmetry,RecursiveRepairPropagation,0.2518,0.2458,0.2359,0.0405,0.2494,0.2512,0.238,COHERENCE-FAILED
1,Antisymmetry,NullSelfMaintenanceControl,0.6994,0.6865,0.6392,0.1216,0.6626,0.6857,0.6826,COHERENCE-DEGRADING
2,Antisymmetry,NullSelfMaintenanceControl,0.6661,0.6643,0.6288,0.1231,0.6143,0.6859,0.669,COHERENCE-DEGRADING
4,Antisymmetry,NullSelfMaintenanceControl,0.615,0.6345,0.5709,0.1199,0.5604,0.6419,0.6065,COHERENCE-DEGRADING
6,Antisymmetry,NullSelfMaintenanceControl,0.5838,0.601,0.5588,0.1217,0.5509,0.5944,0.5669,COHERENCE-DEGRADING
8,Antisymmetry,NullSelfMaintenanceControl,0.5462,0.5488,0.5209,0.1264,0.5019,0.5467,0.5492,COHERENCE-DEGRADING
12,Antisymmetry,NullSelfMaintenanceControl,0.4801,0.503,0.4447,0.1297,0.4592,0.4994,0.4694,COHERENCE-DEGRADING
16,Antisymmetry,NullSelfMaintenanceControl,0.4318,0.4468,0.4121,0.12,0.4015,0.4381,0.4402,COHERENCE-DEGRADING
20,Antisymmetry,NullSelfMaintenanceControl,0.392,0.4095,0.372,0.1374,0.3558,0.4083,0.3948,COHERENCE-DEGRADING
24,Antisymmetry,NullSelfMaintenanceControl,0.3647,0.3771,0.3329,0.1249,0.329,0.3774,0.3563,COHERENCE-FAILED
28,Antisymmetry,NullSelfMaintenanceControl,0.3428,0.3302,0.3104,0.15,0.3081,0.332,0.3303,COHERENCE-FAILED
32,Antisymmetry,NullSelfMaintenanceControl,0.3187,0.308,0.301,0.1369,0.2871,0.3089,0.3089,COHERENCE-FAILED
40,Antisymmetry,NullSelfMaintenanceControl,0.2673,0.2807,0.2531,0.15,0.2556,0.27,0.2638,COHERENCE-FAILED
48,Antisymmetry,NullSelfMaintenanceControl,0.2395,0.2466,0.2251,0.15,0.2236,0.2462,0.2437,COHERENCE-FAILED
64,Antisymmetry,NullSelfMaintenanceControl,0.197,0.1969,0.1879,0.15,0.1881,0.2024,0.1896,COHERENCE-FAILED
1,Neutral,RecursiveOpSelfReinforcement,0.8561,0.818,0.7986,0.005,0.7705,0.7981,0.7717,SELF-MAINTAINING
2,Neutral,RecursiveOpSelfReinforcement,0.8194,0.7747,0.7636,0.018,0.762,0.7793,0.7243,SELF-MAINTAINING
4,Neutral,RecursiveOpSelfReinforcement,0.7542,0.7342,0.6883,0.0224,0.7062,0.7165,0.6961,COHERENCE-REGENERATIVE
6,Neutral,RecursiveOpSelfReinforcement,0.7103,0.6795,0.6541,0.0176,0.6543,0.6682,0.6501,COHERENCE-REGENERATIVE
8,Neutral,RecursiveOpSelfReinforcement,0.6635,0.6483,0.6245,0.0137,0.6154,0.6387,0.6118,COHERENCE-PARTIAL
12,Neutral,RecursiveOpSelfReinforcement,0.592,0.5612,0.5551,0.0175,0.5572,0.5589,0.5347,COHERENCE-PARTIAL
16,Neutral,RecursiveOpSelfReinforcement,0.5364,0.5281,0.4824,0.008,0.4957,0.4946,0.4885,COHERENCE-DEGRADING
20,Neutral,RecursiveOpSelfReinforcement,0.4794,0.4724,0.4458,0.0103,0.4428,0.4588,0.4347,COHERENCE-DEGRADING
24,Neutral,RecursiveOpSelfReinforcement,0.4453,0.4246,0.4061,0.005,0.4133,0.4242,0.39,COHERENCE-DEGRADING
28,Neutral,RecursiveOpSelfReinforcement,0.3984,0.3917,0.3828,0.0235,0.3689,0.3969,0.3608,COHERENCE-FAILED
32,Neutral,RecursiveOpSelfReinforcement,0.3843,0.3689,0.3537,0.0118,0.3508,0.356,0.3338,COHERENCE-FAILED
40,Neutral,RecursiveOpSelfReinforcement,0.3275,0.3281,0.3,0.0079,0.301,0.3088,0.3025,COHERENCE-FAILED
48,Neutral,RecursiveOpSelfReinforcement,0.2926,0.2927,0.2684,0.0297,0.2742,0.2846,0.2625,COHERENCE-FAILED
64,Neutral,RecursiveOpSelfReinforcement,0.2353,0.2357,0.2232,0.0085,0.2257,0.2332,0.2138,COHERENCE-FAILED
1,Neutral,AutonomousCorrectionCycling,0.851,0.8182,0.7947,0.0235,0.7866,0.8108,0.7672,SELF-MAINTAINING
2,Neutral,AutonomousCorrectionCycling,0.7967,0.764,0.7291,0.0183,0.753,0.7752,0.7429,SELF-MAINTAINING
4,Neutral,AutonomousCorrectionCycling,0.7508,0.7336,0.6841,0.0243,0.6974,0.7447,0.6845,COHERENCE-REGENERATIVE
6,Neutral,AutonomousCorrectionCycling,0.7078,0.6716,0.6421,0.0158,0.6546,0.6755,0.6303,COHERENCE-REGENERATIVE
8,Neutral,AutonomousCorrectionCycling,0.6395,0.6241,0.5937,0.021,0.603,0.6471,0.6036,COHERENCE-PARTIAL
12,Neutral,AutonomousCorrectionCycling,0.5743,0.5508,0.5292,0.0313,0.5308,0.5531,0.5493,COHERENCE-DEGRADING
16,Neutral,AutonomousCorrectionCycling,0.5198,0.5115,0.4836,0.0352,0.4908,0.499,0.4962,COHERENCE-DEGRADING
20,Neutral,AutonomousCorrectionCycling,0.4668,0.4517,0.4453,0.0146,0.4373,0.4706,0.4419,COHERENCE-DEGRADING
24,Neutral,AutonomousCorrectionCycling,0.4415,0.4156,0.4046,0.0198,0.3983,0.4236,0.4081,COHERENCE-DEGRADING
28,Neutral,AutonomousCorrectionCycling,0.4027,0.393,0.3771,0.0339,0.3701,0.3996,0.3677,COHERENCE-FAILED
32,Neutral,AutonomousCorrectionCycling,0.3643,0.3679,0.3456,0.0238,0.3413,0.3636,0.3424,COHERENCE-FAILED
40,Neutral,AutonomousCorrectionCycling,0.3197,0.3131,0.3047,0.0408,0.2959,0.316,0.2987,COHERENCE-FAILED
48,Neutral,AutonomousCorrectionCycling,0.292,0.2737,0.2727,0.0305,0.2745,0.2787,0.2703,COHERENCE-FAILED
64,Neutral,AutonomousCorrectionCycling,0.2412,0.2272,0.2248,0.0259,0.2248,0.236,0.2194,COHERENCE-FAILED
1,Neutral,StabilizationRegeneration,0.8623,0.8377,0.7803,0.005,0.7952,0.8198,0.782,SELF-MAINTAINING
2,Neutral,StabilizationRegeneration,0.8322,0.7976,0.7678,0.0062,0.7562,0.8072,0.7739,SELF-MAINTAINING
4,Neutral,StabilizationRegeneration,0.7746,0.7595,0.7137,0.0069,0.7147,0.7366,0.6896,COHERENCE-REGENERATIVE
6,Neutral,StabilizationRegeneration,0.7171,0.6919,0.6618,0.005,0.6771,0.675,0.6625,COHERENCE-REGENERATIVE
