phase,sector,regime_strength,stability,boundedness,retention,transition_control,dispersion,rg_stability,metastability
294,projection,1.000000,0.964847,0.972161,0.980721,0.927724,0.150000,0.970529,0.000000
294,antisymmetry,0.970000,0.935901,0.972161,0.951300,0.927724,0.150000,0.970529,0.000000
294,neutral,0.860000,0.829768,0.972161,0.843420,0.927724,0.150000,0.970529,0.000000
295,projection,1.000000,0.963881,0.971642,0.980116,0.926338,0.150000,0.969926,0.000000
295,antisymmetry,0.970000,0.934965,0.971642,0.950713,0.926338,0.150000,0.969926,0.000000
295,neutral,0.860000,0.828938,0.971642,0.842900,0.926338,0.150000,0.969926,0.000000
296,projection,1.000000,0.962930,0.971129,0.979518,0.924976,0.150000,0.969331,0.000000
296,antisymmetry,0.970000,0.934042,0.971129,0.950133,0.924976,0.150000,0.969331,0.000000
296,neutral,0.860000,0.828120,0.971129,0.842386,0.924976,0.150000,0.969331,0.000000
297,projection,1.000000,0.961993,0.970620,0.978928,0.923639,0.150000,0.968746,0.000000
297,antisymmetry,0.970000,0.933134,0.970620,0.949560,0.923639,0.150000,0.968746,0.000000
297,neutral,0.860000,0.827314,0.970620,0.841878,0.923639,0.150000,0.968746,0.000000
298,projection,1.000000,0.961070,0.970116,0.978344,0.922325,0.150000,0.968169,0.000000
298,antisymmetry,0.970000,0.932238,0.970116,0.948994,0.922325,0.150000,0.968169,0.000000
298,neutral,0.860000,0.826521,0.970116,0.841376,0.922325,0.150000,0.968169,0.000000
299,projection,1.000000,0.960161,0.969618,0.977767,0.921035,0.150000,0.967601,0.000000
299,antisymmetry,0.970000,0.931356,0.969618,0.948434,0.921035,0.150000,0.967601,0.000000
299,neutral,0.860000,0.825739,0.969618,0.840880,0.921035,0.150000,0.967601,0.000000
300,projection,1.000000,0.959265,0.969124,0.977198,0.919768,0.150000,0.967041,0.000000
300,antisymmetry,0.970000,0.930487,0.969124,0.947882,0.919768,0.150000,0.967041,0.000000
300,neutral,0.860000,0.824968,0.969124,0.840390,0.919768,0.150000,0.967041,0.000000
301,projection,1.000000,0.958383,0.968635,0.976635,0.918523,0.150000,0.966489,0.000000
301,antisymmetry,0.970000,0.929632,0.968635,0.947336,0.918523,0.150000,0.966489,0.000000
301,neutral,0.860000,0.824209,0.968635,0.839906,0.918523,0.150000,0.966489,0.000000
302,projection,1.000000,0.957514,0.968151,0.976078,0.917301,0.150000,0.965946,0.000000
302,antisymmetry,0.970000,0.928788,0.968151,0.946796,0.917301,0.150000,0.965946,0.000000
302,neutral,0.860000,0.823462,0.968151,0.839427,0.917301,0.150000,0.965946,0.000000
303,projection,1.000000,0.956658,0.967672,0.975529,0.916100,0.150000,0.965411,0.000000
303,antisymmetry,0.970000,0.927958,0.967672,0.946263,0.916100,0.150000,0.965411,0.000000
303,neutral,0.860000,0.822726,0.967672,0.838955,0.916100,0.150000,0.965411,0.000000
304,projection,1.000000,0.955814,0.967198,0.974986,0.914921,0.150000,0.964884,0.000000
304,antisymmetry,0.970000,0.927140,0.967198,0.945736,0.914921,0.150000,0.964884,0.000000
304,neutral,0.860000,0.822000,0.967198,0.838488,0.914921,0.150000,0.964884,0.000000
305,projection,1.000000,0.954983,0.966728,0.974449,0.913763,0.150000,0.964364,0.000000
305,antisymmetry,0.970000,0.926334,0.966728,0.945216,0.913763,0.150000,0.964364,0.000000
305,neutral,0.860000,0.821286,0.966728,0.838026,0.913763,0.150000,0.964364,0.000000
306,projection,1.000000,0.954165,0.966263,0.973919,0.912625,0.150000,0.963853,0.000000
306,antisymmetry,0.970000,0.925540,0.966263,0.944701,0.912625,0.150000,0.963853,0.000000
306,neutral,0.860000,0.820582,0.966263,0.837570,0.912625,0.150000,0.963853,0.000000
