sim_idx,sys_idx_a,domain_a,sys_idx_b,domain_b,observer_level_a,observer_level_b,recursive_closure_a,recursive_closure_b,reconstruction_a,reconstruction_b,operator_continuity_a,operator_continuity_b,coupling_strength,phase_sync_time,final_synchronization,mean_order_parameter,closure_correlation,final_closure_diff,transition_synchronization,phase_jumps_a,phase_jumps_b,closure_sign_changes_a,closure_sign_changes_b
11,397,nonlinear_oscillator,420,kuramoto,0,3,0.1425,0.779,0.0,1.0,1.0,1.0,0.4727391015579341,131,0.9996872198655703,0.4937335432169836,0.5190263165705041,0.04549019124953009,0.0,0,0,0,15
12,321,kuramoto,450,nonlinear_oscillator,0,0,0.7873,0.155,0.0,0.0,1.0,1.0,0.2516770734907102,200,0.11745882110072554,0.07766134670012352,0.3581920980944679,0.03684196148802432,0.0,0,0,15,0
13,313,kuramoto,340,kuramoto,0,0,0.3312,0.4096,1.0,1.0,0.6333,1.0,0.7354875296123742,4,0.966144172317502,0.9645373339167835,0.9828230801077877,0.017401381331074352,0.0,0,0,9,9
14,441,kuramoto,278,population,3,3,0.7416,0.7987,1.0,0.9667,1.0,0.3333,0.43353653971083556,27,0.3600129273171614,0.6124900217580731,0.0706994861592088,0.25633766323888224,0.0,0,0,13,8
15,110,nonlinear_oscillator,72,branching,0,3,0.1375,0.4667,0.0,1.0,1.0,1.0,0.7735572729506955,3,0.9999321847145721,0.994371095609749,0.8577679057459264,0.0009175688951844063,0.0,0,0,0,13
16,350,kuramoto,222,nonlinear_oscillator,0,0,0.3019,0.37,1.0,0.0,1.0,0.9333,0.18074319898598856,87,0.9720219416198385,0.7521406138049096,0.8206637665839316,0.0026663314888946727,0.0,0,0,7,13
17,153,coupled_map_lattice,126,coupled_map_lattice,0,3,0.165,0.437,1.0,1.0,1.0,1.0,0.2635315166127109,33,0.9999999953694646,0.9368218635579957,0.8819399916475682,0.03168307560061516,0.0,0,0,0,12
18,206,population,96,kuramoto,0,0,0.45,0.4068,0.8667,1.0,0.5667,0.9333,0.646535450337611,0,0.9469632070269997,0.9496398104580802,0.9582656603517452,0.02534673267022375,0.0,0,0,10,10
19,173,nonlinear_oscillator,137,kuramoto,0,3,0.1175,0.6028,0.0,1.0,1.0,1.0,0.24785477322374438,0,0.999993542681574,0.9952996999884165,0.6502287679383677,0.04413533068724329,0.0,0,0,0,14
20,309,population,305,gray_scott,0,3,0.45,0.65,0.92,1.0,0.8667,0.4667,0.6761093410744413,4,0.9456090218090045,0.9470964370734083,0.7442555737083368,0.05357735934279596,0.0,0,0,10,12
21,209,gray_scott,69,gray_scott,3,3,0.4755,0.6573,1.0,1.0,1.0,1.0,0.09848888686196051,0,0.9999393111562915,0.9865194761841791,0.9043748241924461,0.00555512332443963,0.0,0,0,12,14
22,248,kuramoto,397,branching,3,0,0.5703,0.6546,1.0,0.0,0.8333,1.0,0.539895204039772,13,0.9480967267001075,0.942855392981988,0.6622467659565857,0.006280244028352932,0.0,0,0,14,16
23,442,kuramoto,458,gray_scott,3,3,0.9411,0.55,1.0,1.0,1.0,0.5667,0.2675996079908976,43,0.490515235223385,0.6269554052365804,0.19778137342888297,0.1546808007779465,0.0,0,0,16,9
24,115,kuramoto,0,population,3,0,0.8758,0.35,1.0,0.86,1.0,0.9333,0.06490771868393712,100,0.9756916089433482,0.728619683887934,0.5455199805130185,0.05277460565124911,0.0,0,0,15,10
25,499,gray_scott,293,kuramoto,3,0,0.8998,0.529,1.0,0.0,1.0,1.0,0.495202287536499,18,0.9999938156733796,0.9756536123958445,0.8192204796555432,0.00015506691623528527,0.0,0,0,15,13
26,96,gray_scott,362,gray_scott,3,3,0.6,0.9622,1.0,1.0,0.7,1.0,0.5772427333319639,0,0.9629012239977227,0.9626303020231903,0.7634775347820919,0.07438223824045315,0.0,0,0,11,14
27,362,kuramoto,196,population,0,0,0.3038,0.3,1.0,0.8,1.0,0.9667,0.13005382016190759,39,0.9911042122850289,0.9380866362512478,0.9926290908450411,0.0017703547872455526,0.0,0,0,8,9
28,409,kuramoto,169,nonlinear_oscillator,3,0,0.7196,0.1997,1.0,1.0,1.0,1.0,0.2429707244438163,0,0.9999999924139287,0.9947403143906736,0.6292520022499953,0.032738238777188386,0.0,0,0,15,2
29,499,kuramoto,211,nonlinear_oscillator,0,0,0.1921,0.14,1.0,1.0,1.0,1.0,0.1629534594686795,25,0.9999977124724259,0.9672293202739723,0.9926826985708262,0.027792474921977405,0.0,0,0,1,0
30,324,nonlinear_oscillator,337,kuramoto,0,0,0.1575,0.878,0.0,0.0,1.0,0.9333,0.45307526114681124,200,0.8393881249529148,0.41452266819584144,0.3101855016089737,0.017932475143849377,0.0,0,0,0,14
31,253,coupled_map_lattice,336,population,0,3,0.3798,0.55,0.74,1.0,0.9,0.7333,0.5924897489951242,0,0.9865564898167438,0.9873645989975859,0.9609970114772427,0.025524737877930193,0.0,0,0,9,11
32,233,gray_scott,305,population,3,3,0.7926,0.7,1.0,0.9,0.7667,0.4,0.7911050136273783,0,0.9678137151448345,0.9695824379363632,0.87995829536468,0.04780235711889333,0.0,0,0,11,10
33,193,coupled_map_lattice,328,nonlinear_oscillator,0,0,0.2447,0.1375,0.4,0.0,0.3333,1.0,0.775637493452964,25,0.6691268763872915,0.6250088638538576,0.8968316667005859,0.020173856564767483,0.0,0,0,4,0
34,290,gray_scott,212,coupled_map_lattice,3,0,0.9977,0.335,0.8,0.9667,1.0,0.4,0.16921330730234035,0,0.311935307410964,0.6251670796650688,0.3084353321026109,0.07799369552182797,0.0,0,0,15,6
35,340,kuramoto,301,nonlinear_oscillator,0,0,0.4096,0.31,1.0,0.0,1.0,1.0,0.661951288304396,0,0.9999905252078971,0.9993307849517024,0.9920428783574516,0.006905752853194929,0.0,0,0,12,12
36,329,population,497,coupled_map_lattice,0,3,0.45,0.7961,0.92,1.0,0.9333,1.0,0.6416637806426533,4,0.9984893519040291,0.9937604952046396,0.894991892514895,0.003995293419452558,0.0,0,0,13,15
37,113,branching,297,nonlinear_oscillator,0,0,0.8667,0.1025,0.0,1.0,1.0,1.0,0.6539428524847352,14,0.9999597482414962,0.9803236598256626,0.3756197430133279,0.09278025587870953,0.0,0,0,15,0
38,436,population,170,gray_scott,0,3,0.75,0.9832,0.0,1.0,0.1667,1.0,0.3797412490303452,0,0.86703176036762,0.6418016260783753,-0.03764052793740904,0.3565125663577213,0.0,0,0,6,15
39,17,nonlinear_oscillator,363,kuramoto,0,0,0.1775,0.2686,0.0,1.0,1.0,1.0,0.12038890165234652,100,0.9904303930326369,0.8601872266656144,0.9798434279969908,0.007453171185376425,0.0,0,0,2,6
40,126,population,178,nonlinear_oscillator,0,0,0.65,0.2298,0.0,1.0,0.4,1.0,0.19944053721874855,17,0.8979137397377223,0.6527716425985595,-0.026215871342100044,0.1073786494634423,0.0,0,0,9,5
41,404,gray_scott,72,branching,3,3,0.9018,0.4667,0.98,1.0,1.0,1.0,0.7699747232697982,7,0.9999999764990678,0.9900233111516548,0.6448736074525807,0.03319237229783166,0.0,0,0,15,12
42,242,gray_scott,41,population,3,3,0.8497,0.7,1.0,0.9,0.8333,0.4,0.6084938077670627,11,0.9119284912684261,0.909911702479475,0.657427113172155,0.029337960009430925,0.0,0,0,11,11
43,342,branching,79,population,3,0,0.5997,0.45,0.85,0.8667,1.0,0.9,0.6732515427933865,4,0.9962635996655849,0.9908190996314836,0.9705331650948471,0.008368811332132547,0.0,0,0,14,12
44,241,population,286,nonlinear_oscillator,0,0,0.6,0.18,0.0,0.0,0.3333,1.0,0.39207604385585804,28,0.5352654522150698,0.618821328517808,0.3500827268262883,0.17669949947840774,0.0,0,0,6,2
45,465,branching,334,population,0,0,0.3333,0.4996,0.0,1.0,1.0,0.3667,0.19880133670464772,9,0.3152252084451853,0.6349544073500906,0.5837251725231913,0.10498064452848452,0.0,0,0,12,7
46,202,branching,334,branching,0,0,0.2,0.6585,0.0,0.0,1.0,1.0,0.44160280845257616,0,0.9756228491505592,0.9757712054938152,0.5095060991022293,0.03405493261522966,0.0,0,0,4,16
47,160,gray_scott,56,nonlinear_oscillator,3,0,0.4748,0.16,1.0,0.0,1.0,1.0,0.46969119880008264,0,0.9999585221543488,0.9999103296307607,0.8657011275766126,0.014801139691378758,0.0,0,0,13,0
48,266,population,45,nonlinear_oscillator,0,0,0.676,0.11,0.78,1.0,0.1,1.0,0.5027788740551264,9,0.5756269774191126,0.6375052014816035,0.1020308467120597,0.4086048237877637,0.0,0,0,5,0
49,37,gray_scott,32,gray_scott,3,3,0.9965,0.65,1.0,1.0,1.0,0.5,0.23262488327063136,0,0.30154139156021753,0.6176136558092126,0.23852299944458083,0.17443853237159623,0.0,0,0,15,10
50,353,gray_scott,366,nonlinear_oscillator,3,0,0.65,0.13,1.0,1.0,0.4667,1.0,0.4881085174134758,6,0.8115423868386877,0.7191520310041375,0.45544079769412,0.0354184436426132,0.0,0,0,11,0
51,40,coupled_map_lattice,348,gray_scott,3,0,0.9789,1.0,1.0,0.0,1.0,1.0,0.5050507648994765,21,0.9999924436331646,0.9706469611173154,0.8935046070709287,0.002858976310624338,0.0,0,0,16,16
52,132,gray_scott,41,gray_scott,0,3,1.0,0.5319,0.0,1.0,1.0,0.9,0.7998884194333512,35,0.9919410720485569,0.8828866896458725,0.5838215044833909,0.04549073849734947,0.0,0,0,16,13
53,485,branching,359,coupled_map_lattice,0,0,0.5291,0.355,0.18,0.68,1.0,1.0,0.7183776169843545,0,0.999993562877104,0.9972560430009568,0.8357858709971452,0.007479518504892079,0.0,0,0,14,10
54,159,nonlinear_oscillator,39,kuramoto,0,3,0.21,0.7644,0.0,1.0,1.0,1.0,0.3005783043499238,103,0.999677363179396,0.6983416740034226,0.6679980059092785,0.0457750503104177,0.0,0,0,6,16
55,44,nonlinear_oscillator,324,branching,0,0,0.2982,0.3333,1.0,0.0,0.8333,1.0,0.5410262604366161,0,0.9427732232322497,0.9533392492703576,0.9794186743768534,0.004716736584820156,0.0,0,0,8,11
56,433,nonlinear_oscillator,26,gray_scott,0,3,0.1724,0.7484,0.0,1.0,0.9667,0.8667,0.24775286515728928,90,0.9391994953010763,0.6846769388656766,0.5756253983344906,0.053391067705735665,0.0,0,0,2,14
57,302,coupled_map_lattice,291,kuramoto,3,0,0.68,0.2811,0.9,1.0,0.8667,0.8667,0.39685773716900125,8,0.9999998849057758,0.989983857265447,0.6408038407777056,0.032092367518658585,0.0,0,0,12,6
58,88,kuramoto,172,gray_scott,0,3,0.6097,0.75,0.0,1.0,1.0,0.6333,0.3724094750718644,27,0.2722374658369039,0.6258157976133105,0.2530810915354203,0.08318139588769642,0.0,0,0,15,12
59,421,kuramoto,147,nonlinear_oscillator,3,0,0.7356,0.1375,1.0,1.0,1.0,1.0,0.07598979086650605,88,0.9947334656075604,0.8557107299241199,0.47385527707924724,0.07810311199789935,0.0,0,0,15,0
60,112,nonlinear_oscillator,280,nonlinear_oscillator,0,0,0.115,0.1525,1.0,1.0,1.0,1.0,0.0891318596013543,175,0.9372151570715695,0.5046190332641209,0.9951694361351263,0.032994693015684286,0.0,0,0,0,0
61,92,gray_scott,211,population,3,3,1.0,0.5,1.0,0.92,1.0,0.8,0.5179694621253618,0,0.9787129160801756,0.9800747690385353,0.7584369915479406,0.07995875364843055,0.0,0,0,15,12
62,349,nonlinear_oscillator,171,nonlinear_oscillator,0,3,0.2199,0.5048,1.0,1.0,1.0,0.7667,0.12323633191192375,0,0.7969329556017742,0.6872764526715016,0.7441765193737732,0.026888879003043986,0.0,0,0,4,11
63,367,nonlinear_oscillator,245,branching,0,0,0.3244,0.3333,1.0,0.0,1.0,1.0,0.3088111626087276,6,0.9999872815209357,0.9878363539027362,0.9874550258543713,0.0008790426245895138,0.0,0,0,10,10
64,126,coupled_map_lattice,133,kuramoto,3,0,0.437,0.3836,1.0,1.0,1.0,0.5333,0.36929414539994004,4,0.4566762414285849,0.6896034116317327,0.8808455067596738,0.05803609260587962,0.0,0,0,11,9
65,94,nonlinear_oscillator,175,nonlinear_oscillator,0,0,0.1872,0.135,0.0,1.0,0.9667,1.0,0.3115662337372436,22,0.9926998485847985,0.9657450936004611,0.987441903753921,0.03803781004208126,0.0,0,0,3,0
66,89,nonlinear_oscillator,168,nonlinear_oscillator,0,0,0.14,0.1325,1.0,1.0,1.0,0.9,0.3847670753526155,2,0.9913681323143079,0.989936453773274,0.9998569810235488,0.0026052841922331454,0.0,0,0,0,0
67,326,branching,37,population,0,0,0.5333,0.45,0.0,0.84,1.0,0.9667,0.07242051149659857,62,0.9960072645774316,0.9177971483875591,0.8368405170368618,0.003918400085940508,0.0,0,0,14,12
68,179,kuramoto,494,nonlinear_oscillator,3,0,0.6856,0.1325,1.0,0.0,1.0,1.0,0.735559606211727,18,0.9999848988496538,0.9705065473738006,0.6848563724449284,0.058286508441000744,0.0,0,0,14,0
69,253,gray_scott,353,nonlinear_oscillator,3,0,0.543,0.1524,1.0,1.0,0.8,1.0,0.2796610651314008,130,0.919668441827095,0.7664993690247448,0.773784585280198,0.07017648324528725,0.0,0,0,12,0
70,451,gray_scott,209,gray_scott,3,3,0.6,0.4755,1.0,1.0,0.6667,1.0,0.7899589626557713,1,0.9763821520211327,0.9766347195811873,0.9539064148350815,0.002775791660086152,0.0,0,0,12,10
71,441,nonlinear_oscillator,285,population,0,3,0.3075,0.9366,0.0,0.88,1.0,0.0667,0.3826791905135453,2,0.49169074642375293,0.6347380287253234,0.487090385067992,0.06250992908065169,0.0,0,0,11,4
72,352,branching,15,kuramoto,3,3,0.7989,0.9801,1.0,1.0,1.0,0.8,0.09582118078461309,49,0.12910073373034445,0.5862627916364015,0.14332522590851465,0.18654081927186622,0.0,0,0,15,14
73,319,nonlinear_oscillator,352,kuramoto,0,3,0.145,0.8897,0.0,1.0,1.0,1.0,0.7352346234236351,53,0.9999920622009435,0.8270881990294231,0.46326731373307184,0.07551106352200729,0.0,0,0,0,14
74,48,nonlinear_oscillator,41,nonlinear_oscillator,0,0,0.2511,0.185,1.0,0.0,0.8667,1.0,0.37643671908463555,7,0.9190637135089817,0.915799404178284,0.9899549671160738,0.0006396233175132663,0.0,0,0,5,2
75,141,gray_scott,326,kuramoto,3,3,0.9,0.9318,0.86,1.0,0.9667,1.0,0.7081693744648714,0,0.9996551450203727,0.9994030812454006,0.9973171957907497,0.005257075734967375,0.0,0,0,15,15
76,238,population,449,nonlinear_oscillator,0,0,0.5,0.1875,0.8333,0.0,0.6667,1.0,0.29147884597068774,72,0.9648443424206601,0.6340760092933191,0.7206448871853747,0.04440688615438061,0.0,0,0,11,3
77,370,nonlinear_oscillator,244,branching,0,0,0.1425,0.4,0.0,0.0,1.0,1.0,0.08695823109099506,0,0.9730109715865474,0.9693869573789476,0.8678846914095186,0.008487399868033376,0.0,0,0,0,11
78,362,kuramoto,322,population,0,0,0.3038,0.75,1.0,0.0,1.0,0.4,0.48942487628579767,8,0.9412210371065868,0.6678749272784676,-0.04680226828669598,0.2383989497782123,0.0,0,0,9,8
79,4,kuramoto,159,coupled_map_lattice,3,3,0.6114,0.7758,1.0,0.96,1.0,1.0,0.6076454399005521,15,0.9999998781198688,0.9695173122433252,0.9389308202885783,0.01084386809074181,0.0,0,0,14,14
80,230,nonlinear_oscillator,169,nonlinear_oscillator,0,0,0.2724,0.1997,1.0,1.0,1.0,1.0,0.397623249578802,22,0.9999999913365132,0.956793206651396,0.9866012320966794,0.01288889642274482,0.0,0,0,6,2
81,140,branching,249,gray_scott,0,3,0.6195,0.9998,0.0,1.0,1.0,1.0,0.5594796324136724,0,0.9999878688684245,0.998534275675735,0.9737749706998532,0.04204302341690194,0.0,0,0,15,15
82,139,nonlinear_oscillator,128,branching,0,3,0.14,0.7392,0.0,1.0,1.0,0.8333,0.3686656060390061,20,0.8609077327090902,0.8894722743484297,0.3817444973123868,0.020064900862345622,0.0,0,0,0,15
83,243,population,236,gray_scott,3,3,0.5975,0.55,0.96,1.0,0.8,0.5333,0.47908024032289925,26,0.9546206471010684,0.8789654836358122,0.8045101944714037,0.01682413093957051,0.0,0,0,10,9
84,122,branching,138,branching,0,0,0.5226,0.2,0.12,0.0,1.0,1.0,0.7687314821324835,0,0.9999820982417214,0.9935970708918392,0.759242147429439,0.02218293087376809,0.0,0,0,13,4
85,334,population,81,nonlinear_oscillator,0,0,0.4996,0.1125,1.0,1.0,0.3667,1.0,0.6649647893949804,200,0.8076811498789974,0.8122095812416018,0.6041636522815261,0.10153882073871782,0.0,0,0,10,0
86,90,kuramoto,3,population,3,0,0.5965,0.4,1.0,0.0,1.0,0.8667,0.5337540896067947,3,0.9632551734878454,0.9689693059217552,0.9313800471374861,0.02588389869157305,0.0,0,0,13,11
87,488,branching,142,branching,3,0,0.5977,0.6601,0.9,0.0,1.0,1.0,0.5804421930626634,0,0.9999539873896908,0.9957959230797482,0.9553235250413321,0.0023063131539014107,0.0,0,0,13,15
88,211,population,300,population,3,3,0.5,0.6,0.92,1.0,0.8,0.3333,0.6252533174426714,79,0.9022861827806651,0.8651738128349087,0.7787369371527257,0.03406995402249362,0.0,0,0,10,9
89,145,kuramoto,342,branching,0,3,0.4477,0.5997,1.0,0.85,0.4667,1.0,0.20118347289666622,1,0.8423785854584844,0.6549533508123673,0.6608816761091552,0.08763162414358465,0.0,0,0,7,13
90,248,branching,290,population,0,3,0.5919,0.5,0.5,0.95,1.0,0.7,0.26009897065437976,1,0.751425022417348,0.7162199261698597,0.7404322010908534,0.04802419087459234,0.0,0,0,13,10
91,495,nonlinear_oscillator,496,population,0,3,0.1125,0.55,1.0,0.975,1.0,0.4333,0.16712064596426673,6,0.9447645156051541,0.6701934813374189,0.6892175846544668,0.09111103276963234,0.0,0,0,0,8
92,413,nonlinear_oscillator,339,nonlinear_oscillator,0,0,0.3125,0.1975,0.0,0.0,1.0,1.0,0.34485912800344426,200,0.8314399595889916,0.820928356992991,0.9207081686801277,0.01234000992664438,0.0,0,0,12,4
93,177,kuramoto,47,nonlinear_oscillator,0,0,0.2037,0.1525,1.0,0.0,1.0,1.0,0.3443652644496916,41,0.9999159058406086,0.9275070486557243,0.9934627173763632,0.0038259525031302897,0.0,0,0,2,0
94,94,kuramoto,474,kuramoto,3,0,0.8916,0.6477,1.0,0.0,1.0,1.0,0.36613535678437864,60,0.9999549277882342,0.8665976659583133,0.6424636941220706,0.016866824433193452,0.0,0,0,14,14
95,479,nonlinear_oscillator,234,gray_scott,0,3,0.1525,1.0,1.0,0.66,1.0,1.0,0.26475516788441167,60,0.9999976183846829,0.8473978343213738,0.19194008272488874,0.09315041390787365,0.0,0,0,0,16
96,287,coupled_map_lattice,291,nonlinear_oscillator,0,0,0.325,0.1525,0.9,0.0,1.0,1.0,0.3211917500859451,55,0.9997415027697751,0.8987851766331452,0.9525269668317817,0.018359669713655782,0.0,0,0,9,0
97,95,gray_scott,60,kuramoto,3,3,0.9454,0.7134,0.6,1.0,1.0,1.0,0.7215243508949113,0,0.9999978193740127,0.9999759098292423,0.9455982191716655,0.023413242150188786,0.0,0,0,15,15
98,185,coupled_map_lattice,138,kuramoto,3,0,0.5333,0.184,0.98,1.0,0.7,1.0,0.4332768197525544,8,0.9258972585388221,0.9283757365417233,0.7980360572664458,0.011271670216102016,0.0,0,0,11,0
99,420,nonlinear_oscillator,49,coupled_map_lattice,0,3,0.1075,0.8611,1.0,1.0,1.0,1.0,0.3345573591697527,22,0.9999999961702338,0.9629075134874793,0.3415561111621396,0.1269948551698303,0.0,0,0,0,14
100,197,kuramoto,353,branching,3,0,0.4999,0.5294,1.0,0.08,1.0,1.0,0.7080164466214275,0,0.9999722805865808,0.9981412760050778,0.9581672192662725,0.0012559657332925113,0.0,0,0,13,13
101,307,gray_scott,397,branching,3,0,0.5043,0.6546,1.0,0.0,1.0,1.0,0.44324021464965146,0,0.9999719168713227,0.999968869539417,0.8869711776118987,0.006650031410252927,0.0,0,0,13,15
102,191,gray_scott,389,branching,3,3,0.749,0.5874,1.0,0.9,0.8333,1.0,0.23235936942505953,0,0.9107180671687546,0.9350640125597772,0.844055178055293,0.039203972215839336,0.0,0,0,13,13
103,472,nonlinear_oscillator,88,nonlinear_oscillator,0,0,0.115,0.1225,1.0,1.0,1.0,1.0,0.76905607428992,1,0.99999998507933,0.9976410819957121,0.9998660157270464,0.008615637848131234,0.0,0,0,0,0
104,406,population,382,branching,2,0,0.4996,0.2,0.88,0.0,0.9333,1.0,0.612232215522692,18,0.9950773038694967,0.9689026825670303,0.7933251274139338,0.0014041704782401555,0.0,0,0,13,3
105,287,nonlinear_oscillator,296,nonlinear_oscillator,0,0,0.1425,0.1724,0.0,1.0,1.0,1.0,0.4118455430004182,50,0.9999422654147075,0.8859500753814467,0.997075672212266,0.005775471056629199,0.0,0,0,0,0
106,473,nonlinear_oscillator,0,kuramoto,0,3,0.1425,0.6191,0.0,1.0,1.0,0.9667,0.14352817466530815,4,0.9845650977336774,0.9820997175804209,0.7078978044984738,0.014934199891014393,0.0,0,0,0,13
107,264,nonlinear_oscillator,353,gray_scott,0,3,0.145,0.65,0.0,1.0,1.0,0.4667,0.7864673651876382,22,0.5752416053569546,0.6225104573493951,0.6400404170936403,0.14472845893597813,0.0,0,0,0,10
108,306,nonlinear_oscillator,469,nonlinear_oscillator,0,0,0.1425,0.3099,0.0,1.0,1.0,1.0,0.17008109037704505,45,0.9997047343296883,0.9395006852413652,0.9551195483251156,0.018112117840771963,0.0,0,0,0,9
109,9,nonlinear_oscillator,236,kuramoto,0,3,0.1725,0.7041,0.0,1.0,1.0,1.0,0.7755186328425321,3,0.9999390783042562,0.9945460116786263,0.5770544278477594,0.005730846903894235,0.0,0,0,0,14
110,200,nonlinear_oscillator,361,gray_scott,0,3,0.1375,0.9989,1.0,0.96,1.0,1.0,0.3508965893728749,0,0.9999999847186203,0.9967785375907618,0.4500084742582137,0.013141551899601506,0.0,0,0,0,15
111,131,coupled_map_lattice,197,kuramoto,0,3,0.19,0.4999,0.72,1.0,1.0,1.0,0.6689188019199779,12,0.9999964679300171,0.9800870736449254,0.8005699654576564,0.028804179506315544,0.0,0,0,2,14
112,460,nonlinear_oscillator,355,gray_scott,0,3,0.185,0.909,0.0,1.0,1.0,1.0,0.3502857328749274,51,0.9998653218299358,0.8992164875917206,0.5319362799869227,0.035625339395801474,0.0,0,0,2,15
113,104,branching,484,gray_scott,0,3,0.4,1.0,1.0,1.0,1.0,1.0,0.7871091791197092,15,0.9999999949081785,0.9646276613612392,0.5177303877338645,0.002356401982319045,0.0,0,0,10,16
114,128,gray_scott,294,kuramoto,3,3,0.4436,0.7507,1.0,1.0,1.0,1.0,0.7781223897497311,11,0.9999999980390161,0.9780191066810288,0.9274241076043389,0.02742899652994846,0.0,0,0,13,15
115,346,kuramoto,339,population,3,3,0.7642,0.7966,1.0,1.0,1.0,0.2,0.11116477745817514,15,0.6107990567736665,0.629784154341216,0.12615629009793364,0.13889200831330709,0.0,0,0,15,6
116,175,nonlinear_oscillator,248,kuramoto,0,3,0.135,0.5703,1.0,1.0,1.0,0.8333,0.6287932148337905,8,0.9910170780996401,0.9805873479275836,0.6604257706002338,0.055009289980251494,0.0,0,0,0,12
117,273,kuramoto,352,nonlinear_oscillator,0,0,0.1249,0.1525,1.0,0.0,1.0,1.0,0.4908525883381584,0,0.9999398666284982,0.998388137303904,0.9965351213997413,0.040079051041534156,0.0,0,0,0,0
118,14,branching,458,kuramoto,0,3,0.2,0.46,0.0,1.0,1.0,1.0,0.30002632471821006,70,0.9997369401468976,0.8481002261855938,0.8884735038283733,0.02143288398367512,0.0,0,0,4,12
119,0,population,197,population,0,0,0.35,0.4,0.86,0.42,0.9333,0.9,0.058251751811558825,200,0.3293019190199903,0.39949983574970915,0.7590259801272233,0.004688505548630781,0.0,0,0,9,12
120,83,kuramoto,335,coupled_map_lattice,0,0,0.3938,0.445,1.0,0.625,0.7333,0.8333,0.48767965591311896,6,0.9917993625322934,0.9857633734665715,0.9852623330821406,0.005110849660629812,0.0,0,0,11,11
121,299,gray_scott,266,population,3,0,0.9998,0.676,0.68,0.78,1.0,0.1,0.6933454354221158,29,0.44258103215836986,0.6175456079223373,-0.09961941186031595,0.007446414213531566,0.0,0,0,15,6
122,236,nonlinear_oscillator,469,coupled_map_lattice,0,3,0.1375,0.5309,0.0,1.0,1.0,0.9667,0.4879880809111193,5,0.997371994332384,0.9913031488471055,0.7825639141153856,0.03801703966192606,0.0,0,0,0,14
123,173,nonlinear_oscillator,193,coupled_map_lattice,0,0,0.1175,0.2447,0.0,0.4,1.0,0.3333,0.20131041640103214,23,0.37709674534136817,0.610520092196178,0.8250772581287515,0.057699507030414765,0.0,0,0,0,5
124,129,branching,40,nonlinear_oscillator,0,0,0.2,0.1075,0.0,1.0,1.0,1.0,0.23802920542588124,24,0.9999949902288444,0.9697202967931807,0.9767313341777384,0.06885112258191038,0.0,0,0,3,0
125,22,kuramoto,305,population,3,3,0.4251,0.7,1.0,0.9,1.0,0.4,0.27596767746199813,11,0.9161698411610905,0.6583702954622446,0.6278853172770115,0.12585781737823204,0.0,0,0,12,8
