sim_idx,sys_idx_a,domain_a,sys_idx_b,domain_b,observer_level_a,observer_level_b,recursive_closure_a,recursive_closure_b,reconstruction_a,reconstruction_b,operator_continuity_a,operator_continuity_b,coupling_strength,phase_sync_time,final_synchronization,mean_order_parameter,closure_correlation,final_closure_diff,transition_synchronization,phase_jumps_a,phase_jumps_b,closure_sign_changes_a,closure_sign_changes_b,continuity_a,continuity_b,closure_stability_a,closure_stability_b,persistence_gain,collapse_suppression,recursive_reinforcement,continuity_amplification,continuity_damping,higher_order_continuity,emergent_sync_bonus,collective_closure_emergent,metastable_co_continuity
10,202,nonlinear_oscillator,128,gray_scott,0,3,0.1975,0.4436,0.0,1.0,1.0,1.0,0.6684806555491919,12,0.9999221949439756,0.9844458315665378,0.9081791996909128,0.0052448345016696,0.0,0,0,4,13,0.9108697955633454,0.8231237494757883,0.912793948622592,0.8275337848989793,0.1403345231115956,1.0,0.9081791996909128,1.7339935450391335,-0.7339935450391337,0.08905239938063025,0.13292542242440875,0.9081085387574006,0.9999221949439756
11,397,nonlinear_oscillator,420,kuramoto,0,3,0.1425,0.779,0.0,1.0,1.0,1.0,0.4727391015579341,131,0.9996872198655704,0.4937335432169836,0.5190263165705041,0.04549019124953,0.0,0,0,0,15,0.9136287579783936,0.8184460931462264,0.9154749215627688,0.8224997860854514,0.9978923665523212,1.0,0.5190263165705041,1.73207485112462,-0.73207485112462,0.08605846188717681,0.1336497943032604,0.5188639754494347,0.9996872198655704
12,321,kuramoto,450,nonlinear_oscillator,0,0,0.7873,0.155,0.0,0.0,1.0,1.0,0.2516770734907102,200,0.1174588211007255,0.0776613467001235,0.3581920980944679,0.0368419614880243,0.0,0,0,15,0,0.8225093511967487,0.9147601148487308,0.8242440783931766,0.916663347140575,0.0194763987267345,0.1174588211007255,0.358192098094468,1.7372694660454795,-0.7372694660454795,-0.7973012937480053,-0.7511759119220143,0.04207282156977162,0.1174588211007255
13,313,kuramoto,340,kuramoto,0,0,0.3312,0.4096,1.0,1.0,0.6333,1.0,0.7354875296123742,4,0.966144172317502,0.9645373339167836,0.9828230801077876,0.0174013813310743,0.0,0,0,9,9,0.8668065257689772,0.8388315730159008,0.8720654025303392,0.8439204832419881,0.021746269433439,1.0,0.982823080107788,1.705638098784878,-0.705638098784878,0.09933764654852484,0.11332512292506303,0.9495487912652765,0.966144172317502
14,441,kuramoto,278,population,3,3,0.7416,0.7987,1.0,0.9667,1.0,0.3333,0.4335365397108355,27,0.3600129273171614,0.6124900217580731,0.0706994861592088,0.2563376632388822,0.0,0,0,13,8,0.8123489250190828,0.7233953553108282,0.819599895525567,0.7296273097772787,0.0675637098955111,0.3600129273171614,0.0706994861592088,1.535744280329911,-0.5357442803299111,-0.45233599770192146,-0.40785921284779414,0.025452728971995898,0.3600129273171614
15,110,nonlinear_oscillator,72,branching,0,3,0.1375,0.4667,0.0,1.0,1.0,1.0,0.7735572729506955,3,0.999932184714572,0.994371095609749,0.8577679057459264,0.0009175688951844,0.0,0,0,0,13,0.9307082444941116,0.8177024325072398,0.9326453326285148,0.8212776965295931,0.0533299543283753,1.0,0.8577679057459261,1.7484106770013517,-0.7484106770013517,0.06922394022046041,0.1257268462138963,0.8577097359705673,0.999932184714572
16,350,kuramoto,222,nonlinear_oscillator,0,0,0.3019,0.37,1.0,0.0,1.0,0.9333,0.1807431989859885,87,0.9720219416198383,0.7521406138049096,0.8206637665839316,0.0026663314888946,0.0,0,0,7,13,0.8310491513276299,0.9314448207449632,0.833423238731451,0.9333356391739248,0.8707566467501473,1.0,0.8206637665839317,1.7624939720725932,-0.7624939720725932,0.040577120874875194,0.09077495558354176,0.797703187811963,0.9720219416198383
17,153,coupled_map_lattice,126,coupled_map_lattice,0,3,0.165,0.437,1.0,1.0,1.0,1.0,0.2635315166127109,33,0.9999999953694646,0.9368218635579956,0.8819399916475682,0.0316830756006151,0.0,0,0,0,12,0.8372424761880151,0.8454826414455199,0.8396206927819305,0.8478856381932003,0.4687218863098262,1.0,0.8819399916475684,1.682725117633535,-0.6827251176335349,0.15451735392394472,0.15863743655269713,0.8819399875637138,0.9999999953694646
18,206,population,96,kuramoto,0,0,0.45,0.4068,0.8667,1.0,0.5667,0.9333,0.646535450337611,0,0.9469632070269997,0.9496398104580802,0.9582656603517452,0.0253467326702237,0.0,0,0,10,10,0.8564220068795735,0.8422530584553989,0.8572690870208354,0.843165206342988,-0.0226607374635687,1.0,0.9582656603517452,1.6986750653349725,-0.6986750653349723,0.09054120014742617,0.09762567435951353,0.9074423229105343,0.9469632070269997
19,173,nonlinear_oscillator,137,kuramoto,0,3,0.1175,0.6028,0.0,1.0,1.0,1.0,0.2478547732237443,0,0.999993542681574,0.9952996999884164,0.6502287679383677,0.0441353306872432,0.0,0,0,0,14,0.9376615669514696,0.8551152583515783,0.9396481829960216,0.8561383733148693,0.0289858633000226,1.0,0.6502287679383679,1.7927768253030478,-0.7927768253030478,0.062331975730104405,0.10360513003005001,0.6502245692041634,0.999993542681574
20,309,population,305,gray_scott,0,3,0.45,0.65,0.92,1.0,0.8667,0.4667,0.6761093410744413,4,0.9456090218090044,0.9470964370734084,0.7442555737083368,0.0535773593427959,0.0,0,0,10,12,0.8434336031327583,0.8284213053577044,0.8481005779681638,0.833419117097255,-0.0040320003607579,1.0,0.7442555737083366,1.6718549084904626,-0.6718549084904626,0.10217541867624613,0.10968156756377312,0.7037747850302398,0.9456090218090044
21,209,gray_scott,69,gray_scott,3,3,0.4755,0.6573,1.0,1.0,1.0,1.0,0.0984888868619605,0,0.9999393111562916,0.9865194761841792,0.904374824192446,0.0055551233244396,0.0,0,0,12,14,0.8589291694114985,0.8487436443561184,0.8595037550020008,0.8493130624351274,0.0711309412454048,1.0,0.9043748241924462,1.707672813767617,-0.7076728137676169,0.1410101417447931,0.14610290427248318,0.9043199387300868,0.9999393111562916
22,248,kuramoto,397,branching,3,0,0.5703,0.6546,1.0,0.0,0.8333,1.0,0.539895204039772,13,0.9480967267001076,0.942855392981988,0.6622467659565857,0.0062802440283529,0.0,0,0,14,16,0.8229605738770098,0.8815351663496626,0.8294214022185128,0.8834081168191583,0.143995137839766,1.0,0.6622467659565853,1.7044957402266725,-0.7044957402266725,0.06656156035044503,0.09584885658677134,0.6278739910711711,0.9480967267001076
23,442,kuramoto,458,gray_scott,3,3,0.9411,0.55,1.0,1.0,1.0,0.5667,0.2675996079908976,43,0.490515235223385,0.6269554052365804,0.1977813734288829,0.1546808007779465,0.0,0,0,16,9,0.7741502056376973,0.8345593420149944,0.7784640377547793,0.8392123874015217,0.0863485539662552,0.4905152352233849,0.1977813734288828,1.6087095476526918,-0.6087095476526918,-0.34404410679160935,-0.3138395386029609,0.09701477691027266,0.490515235223385
24,115,kuramoto,0,population,3,0,0.8758,0.35,1.0,0.86,1.0,0.9333,0.0649077186839371,100,0.9756916089433482,0.728619683887934,0.5455199805130185,0.0527746056512491,0.0,0,0,15,10,0.7959129534808468,0.855538698560522,0.7966793861984407,0.85626469159914,0.8661382815850216,1.0,0.5455199805130184,1.651451652041369,-0.6514516520413687,0.12015291038282616,0.14996578292266383,0.532259267497491,0.9756916089433482
25,499,gray_scott,293,kuramoto,3,0,0.8998,0.529,1.0,0.0,1.0,1.0,0.495202287536499,18,0.9999938156733796,0.9756536123958444,0.8192204796555432,0.0001550669162352,0.0,0,0,15,13,0.7739753447717115,0.8855447254836426,0.7776209893516524,0.8873014883201779,0.1968448597164329,1.0,0.8192204796555435,1.659520070255354,-0.6595200702553541,0.11444909018973703,0.1702337805457026,0.819215413328523,0.9999938156733796
26,96,gray_scott,362,gray_scott,3,3,0.6,0.9622,1.0,1.0,0.7,1.0,0.5772427333319639,0,0.9629012239977228,0.9626303020231904,0.7634775347820919,0.0743822382404531,0.0,0,0,11,14,0.8221894745203889,0.7334106963899526,0.8222689426591455,0.7334805854342961,0.002372100971271,1.0,0.7634775347820921,1.5556001709103415,-0.5556001709103415,0.1407117494773339,0.18510113854255206,0.7351534527364403,0.9629012239977228
27,362,kuramoto,196,population,0,0,0.3038,0.3,1.0,0.8,1.0,0.9667,0.1300538201619075,39,0.9911042122850288,0.9380866362512478,0.9926290908450413,0.0017703547872455,0.0,0,0,8,9,0.8372898867066899,0.8706470871966803,0.8388650445895014,0.8719749631331761,0.3510175135390899,1.0,0.9926290908450413,1.70793697390337,-0.7079369739033701,0.1204571250883485,0.13713572533334373,0.9837988731731788,0.9911042122850288
28,409,kuramoto,169,nonlinear_oscillator,3,0,0.7196,0.1997,1.0,1.0,1.0,1.0,0.2429707244438163,0,0.9999999924139288,0.9947403143906736,0.6292520022499953,0.0327382387771883,0.0,0,0,15,2,0.8098921901050413,0.828705524045471,0.8109643624711518,0.829801953570255,0.044875635043747,1.0,0.6292520022499957,1.6385977141505124,-0.6385977141505124,0.17129446836845774,0.1807011353386726,0.6292519974764448,0.9999999924139288
29,499,kuramoto,211,nonlinear_oscillator,0,0,0.1921,0.14,1.0,1.0,1.0,1.0,0.1629534594686795,25,0.999997712472426,0.9672293202739723,0.9926826985708262,0.0277924749219774,0.0,0,0,1,0,0.8340998251153523,0.8318348835790683,0.8354855906267914,0.833218754865996,0.2184033300543393,1.0,0.9926826985708264,1.6659347086944205,-0.6659347086944205,0.16589788735707367,0.16703035812521572,0.992680427781781,0.999997712472426
30,324,nonlinear_oscillator,337,kuramoto,0,0,0.1575,0.878,0.0,0.0,1.0,0.9333,0.4530752611468112,200,0.8393881249529148,0.4145226681958414,0.3101855016089737,0.0179324751438493,0.0,0,0,0,14,0.919307170659285,0.7799456439806006,0.9213972462893928,0.7814424803922759,0.5328568443416792,1.0,0.3101855016089735,1.6992528146398858,-0.6992528146398858,-0.0799190457063702,-0.010238282367028062,0.26036602658313573,0.8393881249529148
31,253,coupled_map_lattice,336,population,0,3,0.3798,0.55,0.74,1.0,0.9,0.7333,0.5924897489951242,0,0.9865564898167438,0.987364598997586,0.9609970114772428,0.0255247378779301,0.0,0,0,9,11,0.8553826631113903,0.820467666955885,0.8560747759083459,0.8210786098541523,-0.0071906907846135,1.0,0.960997011477243,1.6758503300672754,-0.6758503300672754,0.1311738267053535,0.14863132478310614,0.9480778383673697,0.9865564898167438
32,233,gray_scott,305,population,3,3,0.7926,0.7,1.0,0.9,0.7667,0.4,0.7911050136273783,0,0.9678137151448344,0.9695824379363632,0.87995829536468,0.0478023571188933,0.0,0,0,11,10,0.7637562361096444,0.8014899295708916,0.7651412314450563,0.8028193156573704,-0.0167451057044593,1.0,0.8799582953646801,1.565246165680536,-0.5652461656805361,0.16632378557394278,0.18519063230456634,0.8516357070094064,0.9678137151448344
33,193,coupled_map_lattice,328,nonlinear_oscillator,0,0,0.2447,0.1375,0.4,0.0,0.3333,1.0,0.775637493452964,25,0.6691268763872915,0.6250088638538576,0.8968316667005859,0.0201738565647674,0.0,0,0,4,0,0.9169273230068312,0.9273863799298382,0.9235346427483422,0.929354465586819,0.3632113503372864,0.6691268763872915,0.8968316667005861,1.8443137029366692,-0.8443137029366694,-0.2582595035425467,-0.2530299750810432,0.6000941717845716,0.6691268763872915
34,290,gray_scott,212,coupled_map_lattice,3,0,0.9977,0.335,0.8,0.9667,1.0,0.4,0.1692133073023403,0,0.311935307410964,0.6251670796650688,0.3084353321026109,0.0779936955218279,0.0,0,0,15,6,0.7455415833744482,0.8616121184520746,0.7477819972324427,0.864662391998343,-0.549959275568669,0.311935307410964,0.3084353321026112,1.607153701826523,-0.607153701826523,-0.5496768110411107,-0.4916415435022975,0.09621187013583071,0.311935307410964
35,340,kuramoto,301,nonlinear_oscillator,0,0,0.4096,0.31,1.0,0.0,1.0,1.0,0.661951288304396,0,0.9999905252078972,0.9993307849517024,0.9920428783574516,0.0069057528531949,0.0,0,0,12,12,0.8581942149437176,0.9256843819374836,0.8593970971303299,0.927414137697938,0.0062195411084603,1.0,0.992042878357452,1.783878596881201,-0.783878596881201,0.07430614327041363,0.10805122676729662,0.9920334789574221,0.9999905252078972
36,329,population,497,coupled_map_lattice,0,3,0.45,0.7961,0.92,1.0,0.9333,1.0,0.6416637806426533,4,0.9984893519040292,0.9937604952046396,0.894991892514895,0.0039952934194525,0.0,0,0,13,15,0.859441711888006,0.7823682942281397,0.8625153610758086,0.7854154326480016,0.0485680074122916,1.0,0.8949918925148953,1.6418100061161458,-0.6418100061161458,0.1390476400160232,0.1775843488459563,0.893639874716558,0.9984893519040292
37,113,branching,297,nonlinear_oscillator,0,0,0.8667,0.1025,0.0,1.0,1.0,1.0,0.6539428524847352,14,0.9999597482414962,0.9803236598256626,0.3756197430133279,0.0927802558787095,0.0,0,0,15,0,0.7917637169401922,0.8433596231790661,0.7932789739193908,0.8480933787277214,0.1760457837862661,1.0,0.3756197430133282,1.6351233401192582,-0.6351233401192582,0.15660012506243015,0.18239807818186715,0.3756046236581429,0.9999597482414962
38,436,population,170,gray_scott,0,3,0.75,0.9832,0.0,1.0,0.1667,1.0,0.3797412490303452,0,0.86703176036762,0.6418016260783753,-0.037640527937409,0.3565125663577213,0.0,0,0,6,15,0.6894570333361787,0.7295107213905564,0.6909777801961403,0.7357373487057848,0.2891868161943373,1.0,-0.037640527937409,1.4189677547267352,-0.4189677547267352,0.13752103897706358,0.15754788300425238,-0.032635533198738305,0.86703176036762
39,17,nonlinear_oscillator,363,kuramoto,0,0,0.1775,0.2686,0.0,1.0,1.0,1.0,0.1203889016523465,100,0.9904303930326368,0.8601872266656144,0.9798434279969908,0.0074531711853764,0.0,0,0,2,6,0.9242982361799909,0.8356278446426871,0.926165181648036,0.836481448782341,0.391352168948828,1.0,0.9798434279969908,1.759926080822678,-0.759926080822678,0.06613215685264595,0.11046735262129781,0.9704667115015058,0.9904303930326368
40,126,population,178,nonlinear_oscillator,0,0,0.65,0.2298,0.0,1.0,0.4,1.0,0.1994405372187485,17,0.8979137397377223,0.6527716425985595,-0.0262158713421,0.1073786494634423,0.0,0,0,9,5,0.8135601751760239,0.8235691937392355,0.8151455113250835,0.8272831223812782,0.3621570724827976,1.0,-0.0262158713420999,1.6371293689152595,-0.6371293689152595,0.07434454599848672,0.0793490552800925,-0.02353959107726799,0.8979137397377223
41,404,gray_scott,72,branching,3,3,0.9018,0.4667,0.98,1.0,1.0,1.0,0.7699747232697982,7,0.9999999764990678,0.9900233111516548,0.6448736074525807,0.0331923722978316,0.0,0,0,15,12,0.7912382851100918,0.805453396529526,0.7950104712732631,0.8093727060915538,0.0995300013003271,1.0,0.6448736074525805,1.5966916816396175,-0.5966916816396177,0.19454657996954183,0.20165413567925894,0.6448735922974498,0.9999999764990678
42,242,gray_scott,41,population,3,3,0.8497,0.7,1.0,0.9,0.8333,0.4,0.6084938077670627,11,0.911928491268426,0.909911702479475,0.657427113172155,0.0293379600094309,0.0,0,0,11,11,0.7464168199113488,0.7905018713441235,0.7466183058761319,0.790764411793704,0.0145535217434392,1.0,0.6574271131721551,1.5369186912554724,-0.5369186912554724,0.12142661992430248,0.1434691456406898,0.59952651543404,0.911928491268426
43,342,branching,79,population,3,0,0.5997,0.45,0.85,0.8667,1.0,0.9,0.6732515427933865,4,0.9962635996655848,0.9908190996314836,0.9705331650948472,0.0083688113321325,0.0,0,0,14,12,0.8276868533734542,0.8625477862697936,0.8296707054772448,0.8647020288003255,0.0514677024415175,1.0,0.970533165094847,1.6902346396432475,-0.6902346396432477,0.1337158133957912,0.1511462798439609,0.9669068646522258,0.9962635996655848
44,241,population,286,nonlinear_oscillator,0,0,0.6,0.18,0.0,0.0,0.3333,1.0,0.392076043855858,28,0.5352654522150698,0.618821328517808,0.3500827268262883,0.1766994994784077,0.0,0,0,6,2,0.8041571704097639,0.91646633729132,0.8057237340836304,0.9182141115902942,0.2044937842604562,0.5352654522150698,0.3500827268262882,1.720623507701084,-0.7206235077010839,-0.38120088507625016,-0.3250463016354721,0.18738718908735796,0.5352654522150698
45,465,branching,334,population,0,0,0.3333,0.4996,0.0,1.0,1.0,0.3667,0.1988013367046477,9,0.3152252084451853,0.6349544073500906,0.5837251725231913,0.1049806445284845,0.0,0,0,12,7,0.9000487970691218,0.8417506921842868,0.901750786261625,0.8455058548829133,-0.5402183232797112,0.3152252084451853,0.5837251725231919,1.7417994892534086,-0.7417994892534086,-0.5848235886239365,-0.555674536181519,0.18400488918332475,0.3152252084451853
46,202,branching,334,branching,0,0,0.2,0.6585,0.0,0.0,1.0,1.0,0.4416028084525761,0,0.9756228491505592,0.9757712054938152,0.5095060991022293,0.0340549326152296,0.0,0,0,4,16,0.8994130960339528,0.8696215847036247,0.9011572115765796,0.8714872896135254,-0.0056242922998934,1.0,0.5095060991022293,1.7690346807375774,-0.7690346807375774,0.07620975311660638,0.09110550878177048,0.49708579206570414,0.9756228491505592
47,160,gray_scott,56,nonlinear_oscillator,3,0,0.4748,0.16,1.0,0.0,1.0,1.0,0.4696911988000826,0,0.9999585221543488,0.9999103296307608,0.8657011275766126,0.0148011396913787,0.0,0,0,13,0,0.8319533658711459,0.9244004737131284,0.8322852536353362,0.9261963452469076,0.0004007406828816,1.0,0.8657011275766128,1.7563538395842744,-0.7563538395842744,0.07555804844122038,0.12178160236221158,0.8656652201588628,0.9999585221543488
48,266,population,45,nonlinear_oscillator,0,0,0.676,0.11,0.78,1.0,0.1,1.0,0.5027788740551264,9,0.5756269774191126,0.6375052014816035,0.1020308467120597,0.4086048237877637,0.0,0,0,5,0,0.7113861164654229,0.8359708700598042,0.7175548371737142,0.8452429357696081,-0.1641762051061704,0.5756269774191126,0.1020308467120597,1.547356986525227,-0.547356986525227,-0.2603438926406916,-0.1980515158435009,0.05873170789637573,0.5756269774191126
49,37,gray_scott,32,gray_scott,3,3,0.9965,0.65,1.0,1.0,1.0,0.5,0.2326248832706313,0,0.3015413915602175,0.6176136558092126,0.2385229994445808,0.1744385323715962,0.0,0,0,15,10,0.7319468954760433,0.7812109060424275,0.7356022620275802,0.7851111682705827,-0.5792210745841614,0.3015413915602175,0.238522999444581,1.5131578015184708,-0.5131578015184708,-0.47966951448221,-0.4550375091990179,0.07192455717163587,0.3015413915602175
50,353,gray_scott,366,nonlinear_oscillator,3,0,0.65,0.13,1.0,1.0,0.4667,1.0,0.4881085174134758,6,0.8115423868386877,0.7191520310041375,0.45544079769412,0.0354184436426132,0.0,0,0,11,0,0.793696964709536,0.8290012203677596,0.800845592215612,0.836467339687568,-0.0945789976545903,1.0,0.45544079769412,1.6226981850772957,-0.6226981850772955,-0.01745883352907185,0.00019329430004000336,0.36960951202440206,0.8115423868386877
51,40,coupled_map_lattice,348,gray_scott,3,0,0.9789,1.0,1.0,0.0,1.0,1.0,0.5050507648994765,21,0.9999924436331646,0.9706469611173154,0.8935046070709287,0.0028589763106243,0.0,0,0,16,16,0.7684035155595917,0.7746776197220747,0.7723180559163536,0.7762743482530865,0.235234968076349,1.0,0.8935046070709288,1.5430811352816665,-0.5430811352816665,0.22531482391108992,0.2284518759923314,0.8934978554223486,0.9999924436331646
52,132,gray_scott,41,gray_scott,0,3,1.0,0.5319,0.0,1.0,1.0,0.9,0.7998884194333512,35,0.9919410720485567,0.8828866896458725,0.5838215044833909,0.0454907384973494,0.0,0,0,16,13,0.7613102527672779,0.8360779547622933,0.7628600316778745,0.8438951357662235,0.8394656212432692,1.0,0.5838215044833909,1.5973882075295711,-0.5973882075295713,0.15586311728626345,0.19324696828377108,0.5791165290422561,0.9919410720485567
53,485,branching,359,coupled_map_lattice,0,0,0.5291,0.355,0.18,0.68,1.0,1.0,0.7183776169843545,0,0.999993562877104,0.9972560430009568,0.8357858709971452,0.007479518504892,0.0,0,0,14,10,0.8987298012674164,0.8666897258100584,0.9003883390231036,0.868493874018024,0.0247451191269275,1.0,0.8357858709971452,1.7654195270774748,-0.7654195270774748,0.10126376160968753,0.11728379933836652,0.8357804909407788,0.999993562877104
54,159,nonlinear_oscillator,39,kuramoto,0,3,0.21,0.7644,0.0,1.0,1.0,1.0,0.3005783043499238,103,0.999677363179396,0.6983416740034226,0.6679980059092785,0.0457750503104177,0.0,0,0,6,16,0.917297175516392,0.8037814220532438,0.9191456344131528,0.806190788362841,0.8799663800844914,1.0,0.6679980059092783,1.721078597569636,-0.7210785975696359,0.08238018766300403,0.1391380643945781,0.6677824851564821,0.999677363179396
55,44,nonlinear_oscillator,324,branching,0,0,0.2982,0.3333,1.0,0.0,0.8333,1.0,0.5410262604366161,0,0.9427732232322495,0.9533392492703576,0.9794186743768534,0.0047167365848201,0.0,0,0,8,11,0.8333650422286047,0.8965965087988016,0.8375935129594271,0.8984863373636033,-0.0348020289965007,1.0,0.9794186743768531,1.7299615510274062,-0.7299615510274062,0.04617671443344795,0.07779244771854643,0.9233697005361231,0.9427732232322495
56,433,nonlinear_oscillator,26,gray_scott,0,3,0.1724,0.7484,0.0,1.0,0.9667,0.8667,0.2477528651572892,90,0.9391994953010764,0.6846769388656766,0.5756253983344906,0.0533910677057356,0.0,0,0,2,14,0.92791106985617,0.7775794991105185,0.9297876463129378,0.7809143399740225,0.7974257474326018,1.0,0.5756253983344908,1.7054905689666886,-0.7054905689666886,0.01128842544490638,0.08645421081773208,0.5406270835982346,0.9391994953010764
57,302,coupled_map_lattice,291,kuramoto,3,0,0.68,0.2811,0.9,1.0,0.8667,0.8667,0.3968577371690012,8,0.9999998849057758,0.989983857265447,0.6408038407777056,0.0320923675186585,0.0,0,0,12,6,0.8376132167400231,0.8524079428490817,0.8397202849541084,0.8547767448711497,0.0945781503983682,1.0,0.6408038407777054,1.6900211595891048,-0.6900211595891048,0.14759194205669413,0.15498930511122344,0.6408037670248847,0.9999998849057758
58,88,kuramoto,172,gray_scott,0,3,0.6097,0.75,0.0,1.0,1.0,0.6333,0.3724094750718644,27,0.2722374658369039,0.6258157976133105,0.2530810915354203,0.0831813958876964,0.0,0,0,15,12,0.8665286616747988,0.7996603601865393,0.8684393444185476,0.8061153085879593,-0.0096886451519031,0.2722374658369038,0.25308109153542,1.6661890218613382,-0.6661890218613382,-0.5942911958378949,-0.5608570450937652,0.06889815501084033,0.2722374658369039
59,421,kuramoto,147,nonlinear_oscillator,3,0,0.7356,0.1375,1.0,1.0,1.0,1.0,0.075989790866506,88,0.9947334656075604,0.8557107299241199,0.4738552770792472,0.0781031119978993,0.0,0,0,15,0,0.8241815713097547,0.8277093979744697,0.8247542369340806,0.8282836496273706,0.463146780227166,1.0,0.4738552770792473,1.6518909692842243,-0.6518909692842243,0.16702406763309063,0.16878798096544823,0.47135970196547033,0.9947334656075604
