depth,sector,condition,rg_similarity,quantization_coherence,discrete_state_persistence,transition_boundary_stability,recursive_quantization_alignment,attractor_discretization_strength,discrete_regime_gain,classification
8192,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12288,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16384,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24576,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32768,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
65536,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
131072,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
262144,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
524288,Projection,DiscreteAttractorEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.9237,QUANTIZATION-STABLE
1048576,Projection,DiscreteAttractorEmergence,0.9213,0.9184,0.915,0.8944,0.8572,0.8758,0.8868,QUANTIZATION-STABLE
2097152,Projection,DiscreteAttractorEmergence,0.8562,0.8325,0.7917,0.7791,0.7743,0.7784,0.7768,QUANTIZATION-BOUNDED
1,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
20,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
40,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
48,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
64,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
80,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
96,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
128,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
160,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
192,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
256,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
320,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
512,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
768,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1024,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1536,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2048,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
3072,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4096,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6144,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8192,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12288,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16384,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24576,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32768,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
65536,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
131072,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
262144,Projection,RecursiveThresholdQuantization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
524288,Projection,RecursiveThresholdQuantization,0.96,0.96,0.9353,0.93,0.92,0.9037,0.93,QUANTIZATION-STABLE
1048576,Projection,RecursiveThresholdQuantization,0.9572,0.9122,0.8858,0.9203,0.8744,0.8588,0.873,QUANTIZATION-STABLE
2097152,Projection,RecursiveThresholdQuantization,0.8442,0.8069,0.8173,0.8083,0.7954,0.7793,0.8026,QUANTIZATION-BOUNDED
1,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
20,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
40,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
48,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
64,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
80,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
96,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
128,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
160,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
192,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
256,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
320,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
512,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
768,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1024,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1536,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2048,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
3072,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4096,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6144,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8192,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12288,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16384,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24576,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32768,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
65536,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
131072,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
262144,Projection,StabilizationStateDiscretization,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
524288,Projection,StabilizationStateDiscretization,0.96,0.9559,0.94,0.93,0.92,0.9078,0.93,QUANTIZATION-STABLE
1048576,Projection,StabilizationStateDiscretization,0.9407,0.899,0.9064,0.8768,0.8628,0.8732,0.8947,QUANTIZATION-BOUNDED
2097152,Projection,StabilizationStateDiscretization,0.8413,0.82,0.8119,0.7961,0.7949,0.7861,0.7998,QUANTIZATION-BOUNDED
1,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
20,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
40,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
48,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
64,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
80,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
96,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
128,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
160,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
192,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
256,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
320,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
512,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
768,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1024,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1536,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2048,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
3072,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4096,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6144,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8192,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12288,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16384,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24576,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32768,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
65536,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
131072,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
262144,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
524288,Projection,QuantizedPropagationPersistence,0.96,0.96,0.94,0.9243,0.92,0.91,0.93,QUANTIZATION-STABLE
1048576,Projection,QuantizedPropagationPersistence,0.9469,0.9146,0.877,0.8939,0.8862,0.8795,0.9058,QUANTIZATION-STABLE
2097152,Projection,QuantizedPropagationPersistence,0.8219,0.8022,0.7957,0.8009,0.8066,0.7791,0.794,QUANTIZATION-BOUNDED
1,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
20,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
40,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
48,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
64,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
80,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
96,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
128,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
160,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
192,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
256,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
320,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
512,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
768,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1024,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1536,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2048,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
3072,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4096,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6144,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8192,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12288,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16384,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24576,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32768,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
65536,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
131072,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
262144,Projection,RecursiveTransitionBoundaryMapping,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
524288,Projection,RecursiveTransitionBoundaryMapping,0.96,0.9521,0.9362,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1048576,Projection,RecursiveTransitionBoundaryMapping,0.9313,0.8888,0.9053,0.8814,0.8827,0.8793,0.8985,QUANTIZATION-BOUNDED
2097152,Projection,RecursiveTransitionBoundaryMapping,0.8311,0.8021,0.8122,0.7998,0.7892,0.7655,0.7972,QUANTIZATION-BOUNDED
1,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
2,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
4,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
6,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
8,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
12,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
16,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
20,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
24,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
32,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
40,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
48,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
64,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
80,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
96,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
128,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
160,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
192,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
256,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
320,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
512,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
768,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1024,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
1536,Projection,DiscreteConservationStructure,0.96,0.96,0.94,0.93,0.92,0.91,0.93,QUANTIZATION-STABLE
