domain,intervention,regime_from,regime_to,probability,n_trials
cellular_automata,perturb_SRD,rigid_coherence,rigid_coherence,0.3302,106
cellular_automata,perturb_SRD,rigid_coherence,chaotic_fertility,0.0,106
cellular_automata,perturb_SRD,rigid_coherence,collapse,0.6698,106
cellular_automata,perturb_SRD,collapse,constrained_generative,0.0,394
cellular_automata,perturb_SRD,collapse,rigid_coherence,0.0863,394
cellular_automata,perturb_SRD,collapse,chaotic_fertility,0.0,394
cellular_automata,perturb_SRD,collapse,collapse,0.9137,394
coupled_map_lattice,perturb_CSR,constrained_generative,constrained_generative,0.2976,84
coupled_map_lattice,perturb_CSR,constrained_generative,rigid_coherence,0.3929,84
coupled_map_lattice,perturb_CSR,constrained_generative,chaotic_fertility,0.1786,84
coupled_map_lattice,perturb_CSR,constrained_generative,collapse,0.131,84
coupled_map_lattice,perturb_CSR,rigid_coherence,constrained_generative,0.1183,279
coupled_map_lattice,perturb_CSR,rigid_coherence,rigid_coherence,0.7742,279
coupled_map_lattice,perturb_CSR,rigid_coherence,chaotic_fertility,0.0251,279
coupled_map_lattice,perturb_CSR,rigid_coherence,collapse,0.0824,279
coupled_map_lattice,perturb_CSR,chaotic_fertility,constrained_generative,0.1828,93
coupled_map_lattice,perturb_CSR,chaotic_fertility,rigid_coherence,0.2366,93
coupled_map_lattice,perturb_CSR,chaotic_fertility,chaotic_fertility,0.4301,93
coupled_map_lattice,perturb_CSR,chaotic_fertility,collapse,0.1505,93
coupled_map_lattice,perturb_CSR,collapse,constrained_generative,0.2045,44
coupled_map_lattice,perturb_CSR,collapse,rigid_coherence,0.6591,44
coupled_map_lattice,perturb_CSR,collapse,chaotic_fertility,0.0,44
coupled_map_lattice,perturb_CSR,collapse,collapse,0.1364,44
coupled_map_lattice,perturb_RBS,constrained_generative,constrained_generative,0.0714,84
coupled_map_lattice,perturb_RBS,constrained_generative,rigid_coherence,0.631,84
coupled_map_lattice,perturb_RBS,constrained_generative,chaotic_fertility,0.1071,84
coupled_map_lattice,perturb_RBS,constrained_generative,collapse,0.1905,84
coupled_map_lattice,perturb_RBS,rigid_coherence,constrained_generative,0.147,279
coupled_map_lattice,perturb_RBS,rigid_coherence,rigid_coherence,0.5806,279
coupled_map_lattice,perturb_RBS,rigid_coherence,chaotic_fertility,0.0932,279
coupled_map_lattice,perturb_RBS,rigid_coherence,collapse,0.1792,279
coupled_map_lattice,perturb_RBS,chaotic_fertility,constrained_generative,0.1935,93
coupled_map_lattice,perturb_RBS,chaotic_fertility,rigid_coherence,0.5161,93
coupled_map_lattice,perturb_RBS,chaotic_fertility,chaotic_fertility,0.0753,93
coupled_map_lattice,perturb_RBS,chaotic_fertility,collapse,0.2151,93
coupled_map_lattice,perturb_RBS,collapse,constrained_generative,0.1591,44
coupled_map_lattice,perturb_RBS,collapse,rigid_coherence,0.4545,44
coupled_map_lattice,perturb_RBS,collapse,chaotic_fertility,0.3636,44
coupled_map_lattice,perturb_RBS,collapse,collapse,0.0227,44
coupled_map_lattice,perturb_ADI,constrained_generative,constrained_generative,0.25,84
coupled_map_lattice,perturb_ADI,constrained_generative,rigid_coherence,0.3929,84
coupled_map_lattice,perturb_ADI,constrained_generative,chaotic_fertility,0.2381,84
coupled_map_lattice,perturb_ADI,constrained_generative,collapse,0.119,84
coupled_map_lattice,perturb_ADI,rigid_coherence,constrained_generative,0.2616,279
coupled_map_lattice,perturb_ADI,rigid_coherence,rigid_coherence,0.5591,279
coupled_map_lattice,perturb_ADI,rigid_coherence,chaotic_fertility,0.0789,279
coupled_map_lattice,perturb_ADI,rigid_coherence,collapse,0.1004,279
coupled_map_lattice,perturb_ADI,chaotic_fertility,constrained_generative,0.2688,93
coupled_map_lattice,perturb_ADI,chaotic_fertility,rigid_coherence,0.0968,93
coupled_map_lattice,perturb_ADI,chaotic_fertility,chaotic_fertility,0.5806,93
coupled_map_lattice,perturb_ADI,chaotic_fertility,collapse,0.0538,93
coupled_map_lattice,perturb_ADI,collapse,constrained_generative,0.3409,44
coupled_map_lattice,perturb_ADI,collapse,rigid_coherence,0.2727,44
coupled_map_lattice,perturb_ADI,collapse,chaotic_fertility,0.2727,44
coupled_map_lattice,perturb_ADI,collapse,collapse,0.1136,44
coupled_map_lattice,perturb_RTP,constrained_generative,constrained_generative,0.1786,84
coupled_map_lattice,perturb_RTP,constrained_generative,rigid_coherence,0.5833,84
coupled_map_lattice,perturb_RTP,constrained_generative,chaotic_fertility,0.0476,84
coupled_map_lattice,perturb_RTP,constrained_generative,collapse,0.1905,84
coupled_map_lattice,perturb_RTP,rigid_coherence,constrained_generative,0.2654,211
coupled_map_lattice,perturb_RTP,rigid_coherence,rigid_coherence,0.5972,211
coupled_map_lattice,perturb_RTP,rigid_coherence,chaotic_fertility,0.0427,211
coupled_map_lattice,perturb_RTP,rigid_coherence,collapse,0.0948,211
coupled_map_lattice,perturb_RTP,chaotic_fertility,constrained_generative,0.3333,93
coupled_map_lattice,perturb_RTP,chaotic_fertility,rigid_coherence,0.4301,93
coupled_map_lattice,perturb_RTP,chaotic_fertility,chaotic_fertility,0.0968,93
coupled_map_lattice,perturb_RTP,chaotic_fertility,collapse,0.1398,93
coupled_map_lattice,perturb_RTP,collapse,constrained_generative,0.0909,44
coupled_map_lattice,perturb_RTP,collapse,rigid_coherence,0.6591,44
coupled_map_lattice,perturb_RTP,collapse,chaotic_fertility,0.1364,44
coupled_map_lattice,perturb_RTP,collapse,collapse,0.1136,44
coupled_map_lattice,perturb_SRD,constrained_generative,constrained_generative,0.25,84
coupled_map_lattice,perturb_SRD,constrained_generative,rigid_coherence,0.3333,84
coupled_map_lattice,perturb_SRD,constrained_generative,chaotic_fertility,0.3095,84
coupled_map_lattice,perturb_SRD,constrained_generative,collapse,0.1071,84
coupled_map_lattice,perturb_SRD,rigid_coherence,constrained_generative,0.1505,279
coupled_map_lattice,perturb_SRD,rigid_coherence,rigid_coherence,0.7563,279
coupled_map_lattice,perturb_SRD,rigid_coherence,chaotic_fertility,0.0287,279
coupled_map_lattice,perturb_SRD,rigid_coherence,collapse,0.0645,279
coupled_map_lattice,perturb_SRD,chaotic_fertility,constrained_generative,0.1935,93
coupled_map_lattice,perturb_SRD,chaotic_fertility,rigid_coherence,0.086,93
coupled_map_lattice,perturb_SRD,chaotic_fertility,chaotic_fertility,0.6989,93
coupled_map_lattice,perturb_SRD,chaotic_fertility,collapse,0.0215,93
coupled_map_lattice,perturb_SRD,collapse,constrained_generative,0.2273,44
coupled_map_lattice,perturb_SRD,collapse,rigid_coherence,0.5,44
coupled_map_lattice,perturb_SRD,collapse,chaotic_fertility,0.2045,44
coupled_map_lattice,perturb_SRD,collapse,collapse,0.0682,44
graph_diffusion,perturb_CSR,rigid_coherence,constrained_generative,0.0,172
graph_diffusion,perturb_CSR,rigid_coherence,rigid_coherence,0.4767,172
graph_diffusion,perturb_CSR,rigid_coherence,chaotic_fertility,0.0,172
graph_diffusion,perturb_CSR,rigid_coherence,collapse,0.5233,172
graph_diffusion,perturb_CSR,collapse,constrained_generative,0.0,328
graph_diffusion,perturb_CSR,collapse,rigid_coherence,0.3018,328
graph_diffusion,perturb_CSR,collapse,chaotic_fertility,0.0,328
graph_diffusion,perturb_CSR,collapse,collapse,0.6982,328
graph_diffusion,perturb_RBS,rigid_coherence,constrained_generative,0.0,172
graph_diffusion,perturb_RBS,rigid_coherence,rigid_coherence,0.3488,172
graph_diffusion,perturb_RBS,rigid_coherence,chaotic_fertility,0.0,172
graph_diffusion,perturb_RBS,rigid_coherence,collapse,0.6512,172
graph_diffusion,perturb_RBS,collapse,constrained_generative,0.0,328
graph_diffusion,perturb_RBS,collapse,rigid_coherence,0.2591,328
graph_diffusion,perturb_RBS,collapse,chaotic_fertility,0.0,328
graph_diffusion,perturb_RBS,collapse,collapse,0.7409,328
graph_diffusion,perturb_ADI,rigid_coherence,constrained_generative,0.0,172
graph_diffusion,perturb_ADI,rigid_coherence,rigid_coherence,0.3023,172
graph_diffusion,perturb_ADI,rigid_coherence,chaotic_fertility,0.0,172
graph_diffusion,perturb_ADI,rigid_coherence,collapse,0.6977,172
graph_diffusion,perturb_ADI,collapse,constrained_generative,0.0,328
graph_diffusion,perturb_ADI,collapse,rigid_coherence,0.4329,328
graph_diffusion,perturb_ADI,collapse,chaotic_fertility,0.0,328
graph_diffusion,perturb_ADI,collapse,collapse,0.5671,328
graph_diffusion,perturb_RTP,rigid_coherence,constrained_generative,0.0,111
graph_diffusion,perturb_RTP,rigid_coherence,rigid_coherence,0.0991,111
graph_diffusion,perturb_RTP,rigid_coherence,chaotic_fertility,0.0,111
graph_diffusion,perturb_RTP,rigid_coherence,collapse,0.9009,111
graph_diffusion,perturb_RTP,collapse,constrained_generative,0.0,249
graph_diffusion,perturb_RTP,collapse,rigid_coherence,0.1406,249
graph_diffusion,perturb_RTP,collapse,chaotic_fertility,0.0,249
graph_diffusion,perturb_RTP,collapse,collapse,0.8594,249
graph_diffusion,perturb_SRD,rigid_coherence,constrained_generative,0.0,172
graph_diffusion,perturb_SRD,rigid_coherence,rigid_coherence,0.4419,172
graph_diffusion,perturb_SRD,rigid_coherence,chaotic_fertility,0.0,172
graph_diffusion,perturb_SRD,rigid_coherence,collapse,0.5581,172
graph_diffusion,perturb_SRD,collapse,constrained_generative,0.0,328
graph_diffusion,perturb_SRD,collapse,rigid_coherence,0.2378,328
graph_diffusion,perturb_SRD,collapse,chaotic_fertility,0.0,328
graph_diffusion,perturb_SRD,collapse,collapse,0.7622,328
gray_scott,perturb_CSR,constrained_generative,constrained_generative,0.5143,175
gray_scott,perturb_CSR,constrained_generative,rigid_coherence,0.3086,175
gray_scott,perturb_CSR,constrained_generative,chaotic_fertility,0.1086,175
gray_scott,perturb_CSR,constrained_generative,collapse,0.0686,175
gray_scott,perturb_CSR,rigid_coherence,constrained_generative,0.6167,180
gray_scott,perturb_CSR,rigid_coherence,rigid_coherence,0.2444,180
gray_scott,perturb_CSR,rigid_coherence,chaotic_fertility,0.0889,180
gray_scott,perturb_CSR,rigid_coherence,collapse,0.05,180
gray_scott,perturb_CSR,chaotic_fertility,constrained_generative,0.3238,105
gray_scott,perturb_CSR,chaotic_fertility,rigid_coherence,0.1619,105
gray_scott,perturb_CSR,chaotic_fertility,chaotic_fertility,0.3333,105
gray_scott,perturb_CSR,chaotic_fertility,collapse,0.181,105
gray_scott,perturb_CSR,collapse,constrained_generative,0.425,40
gray_scott,perturb_CSR,collapse,rigid_coherence,0.075,40
gray_scott,perturb_CSR,collapse,chaotic_fertility,0.325,40
gray_scott,perturb_CSR,collapse,collapse,0.175,40
gray_scott,perturb_RBS,constrained_generative,constrained_generative,0.36,175
gray_scott,perturb_RBS,constrained_generative,rigid_coherence,0.32,175
gray_scott,perturb_RBS,constrained_generative,chaotic_fertility,0.2286,175
gray_scott,perturb_RBS,constrained_generative,collapse,0.0914,175
gray_scott,perturb_RBS,rigid_coherence,constrained_generative,0.3611,180
gray_scott,perturb_RBS,rigid_coherence,rigid_coherence,0.4389,180
gray_scott,perturb_RBS,rigid_coherence,chaotic_fertility,0.1444,180
gray_scott,perturb_RBS,rigid_coherence,collapse,0.0556,180
gray_scott,perturb_RBS,chaotic_fertility,constrained_generative,0.2667,105
gray_scott,perturb_RBS,chaotic_fertility,rigid_coherence,0.2095,105
gray_scott,perturb_RBS,chaotic_fertility,chaotic_fertility,0.3714,105
gray_scott,perturb_RBS,chaotic_fertility,collapse,0.1524,105
gray_scott,perturb_RBS,collapse,constrained_generative,0.225,40
gray_scott,perturb_RBS,collapse,rigid_coherence,0.35,40
gray_scott,perturb_RBS,collapse,chaotic_fertility,0.325,40
gray_scott,perturb_RBS,collapse,collapse,0.1,40
gray_scott,perturb_ADI,constrained_generative,constrained_generative,0.7143,7
gray_scott,perturb_ADI,constrained_generative,rigid_coherence,0.1429,7
gray_scott,perturb_ADI,constrained_generative,chaotic_fertility,0.1429,7
gray_scott,perturb_ADI,constrained_generative,collapse,0.0,7
gray_scott,perturb_ADI,rigid_coherence,constrained_generative,0.5,2
gray_scott,perturb_ADI,rigid_coherence,rigid_coherence,0.5,2
gray_scott,perturb_ADI,rigid_coherence,chaotic_fertility,0.0,2
gray_scott,perturb_ADI,rigid_coherence,collapse,0.0,2
gray_scott,perturb_RTP,constrained_generative,constrained_generative,0.36,175
gray_scott,perturb_RTP,constrained_generative,rigid_coherence,0.3314,175
gray_scott,perturb_RTP,constrained_generative,chaotic_fertility,0.12,175
gray_scott,perturb_RTP,constrained_generative,collapse,0.1886,175
gray_scott,perturb_RTP,rigid_coherence,constrained_generative,0.4722,180
gray_scott,perturb_RTP,rigid_coherence,rigid_coherence,0.3333,180
gray_scott,perturb_RTP,rigid_coherence,chaotic_fertility,0.1111,180
gray_scott,perturb_RTP,rigid_coherence,collapse,0.0833,180
gray_scott,perturb_RTP,chaotic_fertility,constrained_generative,0.3238,105
gray_scott,perturb_RTP,chaotic_fertility,rigid_coherence,0.2476,105
gray_scott,perturb_RTP,chaotic_fertility,chaotic_fertility,0.1714,105
gray_scott,perturb_RTP,chaotic_fertility,collapse,0.2571,105
gray_scott,perturb_RTP,collapse,constrained_generative,0.325,40
gray_scott,perturb_RTP,collapse,rigid_coherence,0.225,40
gray_scott,perturb_RTP,collapse,chaotic_fertility,0.4,40
gray_scott,perturb_RTP,collapse,collapse,0.05,40
gray_scott,perturb_SRD,constrained_generative,constrained_generative,0.4,175
gray_scott,perturb_SRD,constrained_generative,rigid_coherence,0.3371,175
gray_scott,perturb_SRD,constrained_generative,chaotic_fertility,0.1714,175
gray_scott,perturb_SRD,constrained_generative,collapse,0.0914,175
gray_scott,perturb_SRD,rigid_coherence,constrained_generative,0.1778,180
gray_scott,perturb_SRD,rigid_coherence,rigid_coherence,0.5889,180
gray_scott,perturb_SRD,rigid_coherence,chaotic_fertility,0.1333,180
gray_scott,perturb_SRD,rigid_coherence,collapse,0.1,180
gray_scott,perturb_SRD,chaotic_fertility,constrained_generative,0.1905,105
gray_scott,perturb_SRD,chaotic_fertility,rigid_coherence,0.2286,105
gray_scott,perturb_SRD,chaotic_fertility,chaotic_fertility,0.3905,105
gray_scott,perturb_SRD,chaotic_fertility,collapse,0.1905,105
gray_scott,perturb_SRD,collapse,constrained_generative,0.225,40
gray_scott,perturb_SRD,collapse,rigid_coherence,0.35,40
gray_scott,perturb_SRD,collapse,chaotic_fertility,0.3,40
gray_scott,perturb_SRD,collapse,collapse,0.125,40
kuramoto,perturb_CSR,constrained_generative,constrained_generative,0.3296,179
kuramoto,perturb_CSR,constrained_generative,rigid_coherence,0.0112,179
kuramoto,perturb_CSR,constrained_generative,chaotic_fertility,0.648,179
kuramoto,perturb_CSR,constrained_generative,collapse,0.0112,179
kuramoto,perturb_CSR,rigid_coherence,constrained_generative,0.75,4
kuramoto,perturb_CSR,rigid_coherence,rigid_coherence,0.0,4
kuramoto,perturb_CSR,rigid_coherence,chaotic_fertility,0.25,4
kuramoto,perturb_CSR,rigid_coherence,collapse,0.0,4
kuramoto,perturb_CSR,chaotic_fertility,constrained_generative,0.3323,310
kuramoto,perturb_CSR,chaotic_fertility,rigid_coherence,0.0032,310
kuramoto,perturb_CSR,chaotic_fertility,chaotic_fertility,0.6548,310
kuramoto,perturb_CSR,chaotic_fertility,collapse,0.0097,310
kuramoto,perturb_CSR,collapse,constrained_generative,0.1429,7
kuramoto,perturb_CSR,collapse,rigid_coherence,0.0,7
kuramoto,perturb_CSR,collapse,chaotic_fertility,0.8571,7
kuramoto,perturb_CSR,collapse,collapse,0.0,7
kuramoto,perturb_RBS,constrained_generative,constrained_generative,0.2905,179
kuramoto,perturb_RBS,constrained_generative,rigid_coherence,0.0,179
kuramoto,perturb_RBS,constrained_generative,chaotic_fertility,0.6704,179
kuramoto,perturb_RBS,constrained_generative,collapse,0.0391,179
kuramoto,perturb_RBS,rigid_coherence,constrained_generative,0.25,4
kuramoto,perturb_RBS,rigid_coherence,rigid_coherence,0.0,4
kuramoto,perturb_RBS,rigid_coherence,chaotic_fertility,0.5,4
kuramoto,perturb_RBS,rigid_coherence,collapse,0.25,4
kuramoto,perturb_RBS,chaotic_fertility,constrained_generative,0.3,310
kuramoto,perturb_RBS,chaotic_fertility,rigid_coherence,0.0,310
kuramoto,perturb_RBS,chaotic_fertility,chaotic_fertility,0.6452,310
kuramoto,perturb_RBS,chaotic_fertility,collapse,0.0548,310
kuramoto,perturb_RBS,collapse,constrained_generative,0.1429,7
kuramoto,perturb_RBS,collapse,rigid_coherence,0.0,7
kuramoto,perturb_RBS,collapse,chaotic_fertility,0.8571,7
kuramoto,perturb_RBS,collapse,collapse,0.0,7
kuramoto,perturb_ADI,constrained_generative,constrained_generative,0.3464,179
kuramoto,perturb_ADI,constrained_generative,rigid_coherence,0.0,179
kuramoto,perturb_ADI,constrained_generative,chaotic_fertility,0.6369,179
kuramoto,perturb_ADI,constrained_generative,collapse,0.0168,179
kuramoto,perturb_ADI,rigid_coherence,constrained_generative,0.5,4
kuramoto,perturb_ADI,rigid_coherence,rigid_coherence,0.0,4
kuramoto,perturb_ADI,rigid_coherence,chaotic_fertility,0.5,4
kuramoto,perturb_ADI,rigid_coherence,collapse,0.0,4
kuramoto,perturb_ADI,chaotic_fertility,constrained_generative,0.2774,310
kuramoto,perturb_ADI,chaotic_fertility,rigid_coherence,0.0,310
kuramoto,perturb_ADI,chaotic_fertility,chaotic_fertility,0.7161,310
kuramoto,perturb_ADI,chaotic_fertility,collapse,0.0065,310
kuramoto,perturb_ADI,collapse,constrained_generative,0.2857,7
kuramoto,perturb_ADI,collapse,rigid_coherence,0.0,7
kuramoto,perturb_ADI,collapse,chaotic_fertility,0.7143,7
kuramoto,perturb_ADI,collapse,collapse,0.0,7
kuramoto,perturb_SRD,constrained_generative,constrained_generative,0.419,179
kuramoto,perturb_SRD,constrained_generative,rigid_coherence,0.0,179
kuramoto,perturb_SRD,constrained_generative,chaotic_fertility,0.5754,179
kuramoto,perturb_SRD,constrained_generative,collapse,0.0056,179
kuramoto,perturb_SRD,rigid_coherence,constrained_generative,0.25,4
kuramoto,perturb_SRD,rigid_coherence,rigid_coherence,0.0,4
kuramoto,perturb_SRD,rigid_coherence,chaotic_fertility,0.75,4
kuramoto,perturb_SRD,rigid_coherence,collapse,0.0,4
kuramoto,perturb_SRD,chaotic_fertility,constrained_generative,0.3419,310
kuramoto,perturb_SRD,chaotic_fertility,rigid_coherence,0.0,310
kuramoto,perturb_SRD,chaotic_fertility,chaotic_fertility,0.6581,310
kuramoto,perturb_SRD,chaotic_fertility,collapse,0.0,310
kuramoto,perturb_SRD,collapse,constrained_generative,0.4286,7
kuramoto,perturb_SRD,collapse,rigid_coherence,0.0,7
kuramoto,perturb_SRD,collapse,chaotic_fertility,0.5714,7
kuramoto,perturb_SRD,collapse,collapse,0.0,7
lotka_volterra,perturb_CSR,chaotic_fertility,constrained_generative,0.0,495
lotka_volterra,perturb_CSR,chaotic_fertility,rigid_coherence,0.0,495
lotka_volterra,perturb_CSR,chaotic_fertility,chaotic_fertility,0.9939,495
lotka_volterra,perturb_CSR,chaotic_fertility,collapse,0.0061,495
lotka_volterra,perturb_CSR,collapse,constrained_generative,0.0,5
lotka_volterra,perturb_CSR,collapse,rigid_coherence,0.0,5
lotka_volterra,perturb_CSR,collapse,chaotic_fertility,1.0,5
lotka_volterra,perturb_CSR,collapse,collapse,0.0,5
lotka_volterra,perturb_RBS,chaotic_fertility,constrained_generative,0.0,495
lotka_volterra,perturb_RBS,chaotic_fertility,rigid_coherence,0.0,495
lotka_volterra,perturb_RBS,chaotic_fertility,chaotic_fertility,0.9838,495
lotka_volterra,perturb_RBS,chaotic_fertility,collapse,0.0162,495
lotka_volterra,perturb_RBS,collapse,constrained_generative,0.0,5
lotka_volterra,perturb_RBS,collapse,rigid_coherence,0.0,5
lotka_volterra,perturb_RBS,collapse,chaotic_fertility,1.0,5
lotka_volterra,perturb_RBS,collapse,collapse,0.0,5
lotka_volterra,perturb_ADI,chaotic_fertility,constrained_generative,0.0,495
lotka_volterra,perturb_ADI,chaotic_fertility,rigid_coherence,0.0,495
lotka_volterra,perturb_ADI,chaotic_fertility,chaotic_fertility,0.9899,495
lotka_volterra,perturb_ADI,chaotic_fertility,collapse,0.0101,495
lotka_volterra,perturb_ADI,collapse,constrained_generative,0.0,5
lotka_volterra,perturb_ADI,collapse,rigid_coherence,0.0,5
lotka_volterra,perturb_ADI,collapse,chaotic_fertility,1.0,5
lotka_volterra,perturb_ADI,collapse,collapse,0.0,5
lotka_volterra,perturb_RTP,chaotic_fertility,constrained_generative,0.0,495
lotka_volterra,perturb_RTP,chaotic_fertility,rigid_coherence,0.0,495
lotka_volterra,perturb_RTP,chaotic_fertility,chaotic_fertility,0.9616,495
lotka_volterra,perturb_RTP,chaotic_fertility,collapse,0.0384,495
lotka_volterra,perturb_RTP,collapse,constrained_generative,0.0,5
lotka_volterra,perturb_RTP,collapse,rigid_coherence,0.0,5
lotka_volterra,perturb_RTP,collapse,chaotic_fertility,1.0,5
lotka_volterra,perturb_RTP,collapse,collapse,0.0,5
nonlinear_oscillator,perturb_CSR,constrained_generative,constrained_generative,0.4077,260
nonlinear_oscillator,perturb_CSR,constrained_generative,rigid_coherence,0.1115,260
nonlinear_oscillator,perturb_CSR,constrained_generative,chaotic_fertility,0.4615,260
nonlinear_oscillator,perturb_CSR,constrained_generative,collapse,0.0192,260
nonlinear_oscillator,perturb_CSR,rigid_coherence,constrained_generative,0.5904,83
nonlinear_oscillator,perturb_CSR,rigid_coherence,rigid_coherence,0.1807,83
nonlinear_oscillator,perturb_CSR,rigid_coherence,chaotic_fertility,0.1928,83
nonlinear_oscillator,perturb_CSR,rigid_coherence,collapse,0.0361,83
nonlinear_oscillator,perturb_CSR,chaotic_fertility,constrained_generative,0.3672,128
nonlinear_oscillator,perturb_CSR,chaotic_fertility,rigid_coherence,0.1094,128
nonlinear_oscillator,perturb_CSR,chaotic_fertility,chaotic_fertility,0.4844,128
nonlinear_oscillator,perturb_CSR,chaotic_fertility,collapse,0.0391,128
nonlinear_oscillator,perturb_CSR,collapse,constrained_generative,0.5862,29
nonlinear_oscillator,perturb_CSR,collapse,rigid_coherence,0.0,29
nonlinear_oscillator,perturb_CSR,collapse,chaotic_fertility,0.4138,29
nonlinear_oscillator,perturb_CSR,collapse,collapse,0.0,29
nonlinear_oscillator,perturb_RBS,constrained_generative,constrained_generative,0.4615,260
nonlinear_oscillator,perturb_RBS,constrained_generative,rigid_coherence,0.2385,260
nonlinear_oscillator,perturb_RBS,constrained_generative,chaotic_fertility,0.2577,260
nonlinear_oscillator,perturb_RBS,constrained_generative,collapse,0.0423,260
nonlinear_oscillator,perturb_RBS,rigid_coherence,constrained_generative,0.4699,83
nonlinear_oscillator,perturb_RBS,rigid_coherence,rigid_coherence,0.2892,83
nonlinear_oscillator,perturb_RBS,rigid_coherence,chaotic_fertility,0.1807,83
nonlinear_oscillator,perturb_RBS,rigid_coherence,collapse,0.0602,83
nonlinear_oscillator,perturb_RBS,chaotic_fertility,constrained_generative,0.3672,128
nonlinear_oscillator,perturb_RBS,chaotic_fertility,rigid_coherence,0.0547,128
