depth,sector,operator,rg_improvement,closure_retention,multiscale_consistency,degradation_reduction,operator_effectiveness,recursive_retention,rg_similarity,classification
1,Projection,Null,-0.1448,0.6391,0.5616,0.6142,0.64,0.7179,0.6308,OPERATOR-WEAK
2,Projection,Null,-0.1147,0.6266,0.5685,0.5923,0.6223,0.718,0.642,OPERATOR-WEAK
4,Projection,Null,-0.11,0.5996,0.5103,0.555,0.6236,0.6564,0.6115,OPERATOR-WEAK
6,Projection,Null,-0.1193,0.5792,0.5038,0.521,0.5993,0.657,0.5701,OPERATOR-WEAK
8,Projection,Null,-0.1103,0.5654,0.4926,0.5268,0.5677,0.6009,0.5498,OPERATOR-INEFFECTIVE
12,Projection,Null,-0.093,0.511,0.4543,0.4738,0.5079,0.5708,0.5153,OPERATOR-INEFFECTIVE
16,Projection,Null,-0.0848,0.4722,0.4024,0.4444,0.4658,0.523,0.4792,OPERATOR-INEFFECTIVE
20,Projection,Null,-0.0781,0.4511,0.372,0.4106,0.4569,0.4911,0.4478,OPERATOR-INEFFECTIVE
1,Antisymmetry,Baseline,0.0362,0.8254,0.7951,0.7449,0.8094,0.8142,0.7818,OPERATOR-ENHANCED
2,Antisymmetry,Baseline,0.0155,0.7963,0.768,0.7275,0.7835,0.818,0.7429,OPERATOR-PARTIAL
4,Antisymmetry,Baseline,0.0082,0.7569,0.7477,0.6705,0.7417,0.7797,0.7018,OPERATOR-PARTIAL
6,Antisymmetry,Baseline,0.029,0.7265,0.7074,0.6465,0.7252,0.7324,0.6918,OPERATOR-PARTIAL
8,Antisymmetry,Baseline,0.0315,0.6863,0.6827,0.6195,0.686,0.6942,0.666,OPERATOR-PARTIAL
12,Antisymmetry,Baseline,0.0284,0.6478,0.6193,0.5862,0.62,0.6619,0.6132,OPERATOR-WEAK
16,Antisymmetry,Baseline,0.0041,0.6014,0.5629,0.5342,0.5768,0.6051,0.5463,OPERATOR-INEFFECTIVE
20,Antisymmetry,Baseline,0.0052,0.5402,0.5212,0.4926,0.5342,0.5536,0.5107,OPERATOR-INEFFECTIVE
1,Antisymmetry,CrossDepthCoupling,0.0709,0.8635,0.8281,0.7802,0.835,0.8648,0.8165,OPERATOR-ENHANCED
2,Antisymmetry,CrossDepthCoupling,0.0349,0.8445,0.797,0.7678,0.8299,0.8486,0.7623,OPERATOR-ENHANCED
4,Antisymmetry,CrossDepthCoupling,0.0583,0.7972,0.7725,0.71,0.777,0.7848,0.7519,OPERATOR-ENHANCED
6,Antisymmetry,CrossDepthCoupling,0.0461,0.7511,0.7514,0.6869,0.7459,0.7654,0.7089,OPERATOR-PARTIAL
8,Antisymmetry,CrossDepthCoupling,0.0529,0.7371,0.7207,0.6598,0.7178,0.7136,0.6875,OPERATOR-PARTIAL
12,Antisymmetry,CrossDepthCoupling,0.0517,0.6665,0.6434,0.6003,0.6456,0.6785,0.6365,OPERATOR-WEAK
16,Antisymmetry,CrossDepthCoupling,0.0514,0.6268,0.6131,0.5486,0.6053,0.6158,0.5936,OPERATOR-WEAK
20,Antisymmetry,CrossDepthCoupling,0.0458,0.5849,0.5774,0.5151,0.5592,0.5903,0.5513,OPERATOR-WEAK
1,Antisymmetry,SymmetryCompensation,0.0559,0.8599,0.8195,0.7599,0.8267,0.834,0.8015,OPERATOR-ENHANCED
2,Antisymmetry,SymmetryCompensation,0.054,0.8336,0.7948,0.7277,0.7973,0.8411,0.7814,OPERATOR-ENHANCED
4,Antisymmetry,SymmetryCompensation,0.0371,0.7698,0.7522,0.7182,0.785,0.7843,0.7307,OPERATOR-PARTIAL
6,Antisymmetry,SymmetryCompensation,0.0342,0.7606,0.7371,0.673,0.7419,0.7561,0.6969,OPERATOR-PARTIAL
8,Antisymmetry,SymmetryCompensation,0.0266,0.7039,0.7045,0.6531,0.6956,0.734,0.6612,OPERATOR-PARTIAL
12,Antisymmetry,SymmetryCompensation,0.0406,0.6523,0.6502,0.5872,0.6668,0.6579,0.6254,OPERATOR-WEAK
16,Antisymmetry,SymmetryCompensation,0.04,0.6177,0.5976,0.5624,0.6029,0.6074,0.5822,OPERATOR-WEAK
20,Antisymmetry,SymmetryCompensation,0.0267,0.5806,0.5626,0.5189,0.5528,0.5849,0.5321,OPERATOR-INEFFECTIVE
1,Antisymmetry,CooperativeClosure,0.0641,0.867,0.8278,0.7647,0.8671,0.8617,0.8097,OPERATOR-ENHANCED
2,Antisymmetry,CooperativeClosure,0.0914,0.8307,0.8192,0.7425,0.8377,0.8297,0.8188,OPERATOR-ENHANCED
4,Antisymmetry,CooperativeClosure,0.0544,0.8154,0.7692,0.7051,0.8021,0.7895,0.748,OPERATOR-PARTIAL
6,Antisymmetry,CooperativeClosure,0.0793,0.7664,0.7197,0.6718,0.7413,0.7779,0.7421,OPERATOR-PARTIAL
8,Antisymmetry,CooperativeClosure,0.0628,0.7213,0.7067,0.6514,0.7079,0.726,0.6974,OPERATOR-PARTIAL
12,Antisymmetry,CooperativeClosure,0.0706,0.6669,0.6602,0.6213,0.6553,0.6755,0.6553,OPERATOR-PARTIAL
16,Antisymmetry,CooperativeClosure,0.0451,0.6357,0.607,0.5498,0.6042,0.6118,0.5874,OPERATOR-WEAK
20,Antisymmetry,CooperativeClosure,0.0532,0.5855,0.5468,0.5184,0.5821,0.5711,0.5587,OPERATOR-WEAK
1,Antisymmetry,AdaptiveScale,0.1081,0.873,0.8501,0.8001,0.8704,0.8683,0.8537,OPERATOR-COMPLETE
2,Antisymmetry,AdaptiveScale,0.1102,0.8573,0.825,0.7802,0.8273,0.8425,0.8376,OPERATOR-ENHANCED
4,Antisymmetry,AdaptiveScale,0.1023,0.8208,0.8052,0.7189,0.801,0.7901,0.7959,OPERATOR-ENHANCED
6,Antisymmetry,AdaptiveScale,0.0712,0.776,0.764,0.7038,0.7613,0.7888,0.7339,OPERATOR-PARTIAL
8,Antisymmetry,AdaptiveScale,0.0681,0.7491,0.7222,0.6552,0.741,0.7364,0.7027,OPERATOR-PARTIAL
12,Antisymmetry,AdaptiveScale,0.0765,0.6854,0.6843,0.6252,0.6839,0.6917,0.6613,OPERATOR-PARTIAL
16,Antisymmetry,AdaptiveScale,0.0636,0.6362,0.6191,0.564,0.6298,0.6199,0.6059,OPERATOR-WEAK
20,Antisymmetry,AdaptiveScale,0.054,0.6042,0.5896,0.5218,0.5702,0.5818,0.5595,OPERATOR-WEAK
1,Antisymmetry,Null,-0.1321,0.6106,0.522,0.5647,0.6238,0.6665,0.6135,OPERATOR-WEAK
2,Antisymmetry,Null,-0.1463,0.5968,0.5121,0.573,0.6021,0.6545,0.5812,OPERATOR-WEAK
4,Antisymmetry,Null,-0.122,0.5893,0.5022,0.5443,0.5704,0.6425,0.5716,OPERATOR-WEAK
6,Antisymmetry,Null,-0.1239,0.5423,0.4741,0.5235,0.5556,0.6233,0.5388,OPERATOR-INEFFECTIVE
8,Antisymmetry,Null,-0.1143,0.5232,0.4553,0.4754,0.5307,0.5808,0.5202,OPERATOR-INEFFECTIVE
12,Antisymmetry,Null,-0.1105,0.4878,0.4328,0.4379,0.4829,0.5524,0.4743,OPERATOR-INEFFECTIVE
16,Antisymmetry,Null,-0.087,0.4447,0.4026,0.4075,0.4475,0.5054,0.4552,OPERATOR-INEFFECTIVE
20,Antisymmetry,Null,-0.1011,0.4239,0.3525,0.3852,0.4165,0.4751,0.4044,OPERATOR-INEFFECTIVE
1,Neutral,Baseline,0.024,0.7352,0.704,0.6886,0.7572,0.748,0.7063,OPERATOR-PARTIAL
2,Neutral,Baseline,0.0148,0.7479,0.7038,0.6594,0.7349,0.7177,0.6804,OPERATOR-PARTIAL
4,Neutral,Baseline,0.008,0.6969,0.6677,0.6115,0.6938,0.6998,0.6427,OPERATOR-WEAK
6,Neutral,Baseline,0.0274,0.6805,0.6516,0.5946,0.6697,0.6626,0.6339,OPERATOR-WEAK
8,Neutral,Baseline,0.0324,0.648,0.6024,0.5798,0.6386,0.6467,0.6131,OPERATOR-WEAK
12,Neutral,Baseline,0.0232,0.5953,0.5651,0.5223,0.5911,0.579,0.5583,OPERATOR-WEAK
16,Neutral,Baseline,0.0041,0.5497,0.513,0.5014,0.5522,0.5636,0.5003,OPERATOR-INEFFECTIVE
20,Neutral,Baseline,0.016,0.5225,0.4802,0.4424,0.505,0.5163,0.4786,OPERATOR-INEFFECTIVE
1,Neutral,CrossDepthCoupling,0.0506,0.7763,0.7607,0.7116,0.7981,0.7962,0.7329,OPERATOR-PARTIAL
2,Neutral,CrossDepthCoupling,0.0403,0.7767,0.7696,0.6719,0.7568,0.7538,0.706,OPERATOR-PARTIAL
4,Neutral,CrossDepthCoupling,0.061,0.7485,0.7222,0.6647,0.733,0.7438,0.6957,OPERATOR-PARTIAL
6,Neutral,CrossDepthCoupling,0.0617,0.7073,0.6811,0.6191,0.708,0.6968,0.6682,OPERATOR-PARTIAL
8,Neutral,CrossDepthCoupling,0.0409,0.6809,0.6543,0.6085,0.6517,0.6612,0.6216,OPERATOR-WEAK
12,Neutral,CrossDepthCoupling,0.0446,0.6361,0.6171,0.5597,0.6071,0.6048,0.5797,OPERATOR-WEAK
16,Neutral,CrossDepthCoupling,0.0437,0.5862,0.574,0.5006,0.5663,0.5792,0.5399,OPERATOR-INEFFECTIVE
20,Neutral,CrossDepthCoupling,0.0504,0.5288,0.5267,0.4724,0.5212,0.524,0.513,OPERATOR-INEFFECTIVE
1,Neutral,SymmetryCompensation,0.0523,0.7786,0.7337,0.678,0.7804,0.7787,0.7346,OPERATOR-PARTIAL
2,Neutral,SymmetryCompensation,0.0579,0.7595,0.7531,0.6828,0.7644,0.7517,0.7235,OPERATOR-PARTIAL
4,Neutral,SymmetryCompensation,0.0282,0.7277,0.6855,0.6344,0.7308,0.7364,0.6629,OPERATOR-PARTIAL
6,Neutral,SymmetryCompensation,0.0425,0.6908,0.6818,0.6088,0.6921,0.6856,0.6489,OPERATOR-WEAK
8,Neutral,SymmetryCompensation,0.0279,0.656,0.6257,0.5913,0.6498,0.6458,0.6086,OPERATOR-WEAK
12,Neutral,SymmetryCompensation,0.0356,0.6241,0.602,0.5332,0.6024,0.6097,0.5707,OPERATOR-WEAK
16,Neutral,SymmetryCompensation,0.0425,0.5554,0.5471,0.5092,0.5592,0.5681,0.5387,OPERATOR-INEFFECTIVE
20,Neutral,SymmetryCompensation,0.0423,0.541,0.503,0.4681,0.5337,0.5353,0.5048,OPERATOR-INEFFECTIVE
1,Neutral,CooperativeClosure,0.0587,0.8036,0.7671,0.7319,0.7839,0.8023,0.741,OPERATOR-PARTIAL
2,Neutral,CooperativeClosure,0.0799,0.802,0.7454,0.6976,0.7622,0.7617,0.7455,OPERATOR-PARTIAL
4,Neutral,CooperativeClosure,0.0639,0.7377,0.692,0.6461,0.7213,0.7179,0.6986,OPERATOR-PARTIAL
6,Neutral,CooperativeClosure,0.049,0.7259,0.6648,0.6162,0.6954,0.7079,0.6555,OPERATOR-PARTIAL
8,Neutral,CooperativeClosure,0.0587,0.6998,0.6431,0.6203,0.6801,0.664,0.6393,OPERATOR-WEAK
12,Neutral,CooperativeClosure,0.0483,0.6342,0.5844,0.5702,0.6243,0.6258,0.5834,OPERATOR-WEAK
16,Neutral,CooperativeClosure,0.0567,0.576,0.547,0.5228,0.569,0.573,0.553,OPERATOR-WEAK
20,Neutral,CooperativeClosure,0.0388,0.5387,0.522,0.4759,0.5339,0.5453,0.5013,OPERATOR-INEFFECTIVE
1,Neutral,AdaptiveScale,0.0818,0.8174,0.7876,0.7325,0.7924,0.7951,0.7641,OPERATOR-ENHANCED
2,Neutral,AdaptiveScale,0.0961,0.8111,0.79,0.6899,0.7827,0.7752,0.7618,OPERATOR-ENHANCED
4,Neutral,AdaptiveScale,0.0863,0.7478,0.7389,0.6852,0.7585,0.7366,0.721,OPERATOR-PARTIAL
6,Neutral,AdaptiveScale,0.094,0.739,0.6997,0.6286,0.7209,0.7113,0.7005,OPERATOR-PARTIAL
8,Neutral,AdaptiveScale,0.0759,0.7072,0.6897,0.5965,0.6841,0.6709,0.6566,OPERATOR-PARTIAL
12,Neutral,AdaptiveScale,0.0671,0.6228,0.6211,0.5715,0.6225,0.6352,0.6022,OPERATOR-WEAK
16,Neutral,AdaptiveScale,0.066,0.5957,0.5758,0.5256,0.5909,0.5669,0.5622,OPERATOR-WEAK
20,Neutral,AdaptiveScale,0.0525,0.5584,0.5487,0.4915,0.547,0.5479,0.515,OPERATOR-INEFFECTIVE
1,Neutral,Null,-0.1483,0.563,0.4875,0.5028,0.5493,0.6118,0.534,OPERATOR-INEFFECTIVE
2,Neutral,Null,-0.1377,0.5497,0.4625,0.4976,0.543,0.6009,0.5279,OPERATOR-INEFFECTIVE
4,Neutral,Null,-0.1381,0.4961,0.4271,0.4581,0.5384,0.5904,0.4966,OPERATOR-INEFFECTIVE
6,Neutral,Null,-0.1079,0.5022,0.4345,0.445,0.5074,0.5465,0.4986,OPERATOR-INEFFECTIVE
8,Neutral,Null,-0.0988,0.4569,0.41,0.4234,0.4911,0.5374,0.4818,OPERATOR-INEFFECTIVE
12,Neutral,Null,-0.092,0.4451,0.3837,0.4063,0.4409,0.4738,0.4431,OPERATOR-INEFFECTIVE
16,Neutral,Null,-0.1085,0.4051,0.3536,0.3622,0.3987,0.4421,0.3877,OPERATOR-INEFFECTIVE
20,Neutral,Null,-0.0819,0.3633,0.3322,0.3517,0.3839,0.4304,0.3806,OPERATOR-INEFFECTIVE
1,Projection-Antisymmetry,Baseline,0.0063,0.7479,0.7253,0.663,0.7302,0.7743,0.6886,OPERATOR-PARTIAL
2,Projection-Antisymmetry,Baseline,0.0016,0.7156,0.7153,0.6412,0.7287,0.7537,0.6673,OPERATOR-PARTIAL
4,Projection-Antisymmetry,Baseline,0.0305,0.6909,0.6864,0.6098,0.6819,0.7058,0.6652,OPERATOR-PARTIAL
6,Projection-Antisymmetry,Baseline,0.0271,0.6606,0.6517,0.6097,0.6577,0.6574,0.6335,OPERATOR-WEAK
8,Projection-Antisymmetry,Baseline,0.0218,0.6391,0.6102,0.5887,0.6268,0.6346,0.6025,OPERATOR-WEAK
12,Projection-Antisymmetry,Baseline,0.0039,0.5788,0.5549,0.5302,0.5754,0.5907,0.539,OPERATOR-INEFFECTIVE
16,Projection-Antisymmetry,Baseline,0.0013,0.5608,0.5278,0.4785,0.5404,0.5543,0.4975,OPERATOR-INEFFECTIVE
20,Projection-Antisymmetry,Baseline,0.0239,0.5193,0.4954,0.4664,0.4987,0.505,0.4864,OPERATOR-INEFFECTIVE
1,Projection-Antisymmetry,CrossDepthCoupling,0.0748,0.8099,0.7846,0.7082,0.7663,0.7835,0.7571,OPERATOR-ENHANCED
2,Projection-Antisymmetry,CrossDepthCoupling,0.0398,0.7842,0.7662,0.7046,0.7628,0.7522,0.7055,OPERATOR-PARTIAL
4,Projection-Antisymmetry,CrossDepthCoupling,0.0526,0.726,0.7168,0.6616,0.7417,0.7435,0.6873,OPERATOR-PARTIAL
6,Projection-Antisymmetry,CrossDepthCoupling,0.0381,0.7026,0.6795,0.61,0.6788,0.6986,0.6446,OPERATOR-WEAK
8,Projection-Antisymmetry,CrossDepthCoupling,0.0609,0.666,0.6569,0.6053,0.6532,0.6743,0.6416,OPERATOR-WEAK
12,Projection-Antisymmetry,CrossDepthCoupling,0.0558,0.6266,0.591,0.5434,0.6052,0.6214,0.5909,OPERATOR-WEAK
16,Projection-Antisymmetry,CrossDepthCoupling,0.0368,0.5837,0.5613,0.5174,0.5689,0.5562,0.533,OPERATOR-INEFFECTIVE
20,Projection-Antisymmetry,CrossDepthCoupling,0.0337,0.5336,0.5148,0.4706,0.5315,0.5246,0.4963,OPERATOR-INEFFECTIVE
1,Projection-Antisymmetry,SymmetryCompensation,0.0498,0.783,0.7624,0.7027,0.7638,0.7957,0.7321,OPERATOR-PARTIAL
2,Projection-Antisymmetry,SymmetryCompensation,0.0284,0.7685,0.7462,0.6858,0.7683,0.7601,0.694,OPERATOR-PARTIAL
4,Projection-Antisymmetry,SymmetryCompensation,0.0473,0.7396,0.711,0.6545,0.7091,0.7345,0.682,OPERATOR-PARTIAL
6,Projection-Antisymmetry,SymmetryCompensation,0.0512,0.7076,0.6801,0.6047,0.698,0.6805,0.6577,OPERATOR-PARTIAL
8,Projection-Antisymmetry,SymmetryCompensation,0.037,0.6824,0.624,0.5825,0.6402,0.6584,0.6176,OPERATOR-WEAK
12,Projection-Antisymmetry,SymmetryCompensation,0.0384,0.5979,0.5763,0.5563,0.6121,0.6144,0.5735,OPERATOR-WEAK
16,Projection-Antisymmetry,SymmetryCompensation,0.0397,0.5569,0.5444,0.5031,0.5711,0.5543,0.536,OPERATOR-INEFFECTIVE
20,Projection-Antisymmetry,SymmetryCompensation,0.0298,0.5189,0.5161,0.4716,0.5213,0.5319,0.4923,OPERATOR-INEFFECTIVE
1,Projection-Antisymmetry,CooperativeClosure,0.0741,0.7942,0.7562,0.7194,0.7918,0.7784,0.7564,OPERATOR-ENHANCED
2,Projection-Antisymmetry,CooperativeClosure,0.0798,0.7655,0.7309,0.6906,0.7495,0.758,0.7455,OPERATOR-PARTIAL
4,Projection-Antisymmetry,CooperativeClosure,0.0571,0.7428,0.6938,0.6761,0.7202,0.7269,0.6918,OPERATOR-PARTIAL
6,Projection-Antisymmetry,CooperativeClosure,0.0715,0.712,0.6904,0.6488,0.7119,0.7203,0.678,OPERATOR-PARTIAL
8,Projection-Antisymmetry,CooperativeClosure,0.0482,0.6955,0.6424,0.6058,0.6667,0.6868,0.6289,OPERATOR-WEAK
12,Projection-Antisymmetry,CooperativeClosure,0.0439,0.6151,0.6042,0.5614,0.6082,0.6332,0.579,OPERATOR-WEAK
16,Projection-Antisymmetry,CooperativeClosure,0.0613,0.586,0.5412,0.5156,0.5717,0.5831,0.5575,OPERATOR-WEAK
20,Projection-Antisymmetry,CooperativeClosure,0.0627,0.5554,0.5218,0.4783,0.547,0.5225,0.5253,OPERATOR-INEFFECTIVE
1,Projection-Antisymmetry,AdaptiveScale,0.113,0.7968,0.7763,0.7185,0.7855,0.8108,0.7953,OPERATOR-ENHANCED
2,Projection-Antisymmetry,AdaptiveScale,0.0822,0.7881,0.7778,0.7204,0.7648,0.7734,0.7478,OPERATOR-PARTIAL
4,Projection-Antisymmetry,AdaptiveScale,0.0879,0.7721,0.726,0.6525,0.7264,0.7429,0.7226,OPERATOR-PARTIAL
6,Projection-Antisymmetry,AdaptiveScale,0.0921,0.7293,0.7053,0.6237,0.6982,0.7151,0.6986,OPERATOR-PARTIAL
8,Projection-Antisymmetry,AdaptiveScale,0.0904,0.6845,0.6586,0.6165,0.6892,0.6932,0.6711,OPERATOR-PARTIAL
12,Projection-Antisymmetry,AdaptiveScale,0.0851,0.6448,0.625,0.5654,0.6174,0.6385,0.6202,OPERATOR-WEAK
16,Projection-Antisymmetry,AdaptiveScale,0.0631,0.5968,0.5786,0.5279,0.5921,0.5706,0.5593,OPERATOR-WEAK
20,Projection-Antisymmetry,AdaptiveScale,0.0585,0.5462,0.5361,0.4964,0.5387,0.5475,0.5211,OPERATOR-INEFFECTIVE
1,Projection-Antisymmetry,Null,-0.1176,0.5524,0.4814,0.4933,0.5671,0.5972,0.5647,OPERATOR-WEAK
2,Projection-Antisymmetry,Null,-0.1297,0.5474,0.4686,0.4963,0.5351,0.5983,0.536,OPERATOR-INEFFECTIVE
4,Projection-Antisymmetry,Null,-0.1101,0.5078,0.4524,0.4634,0.5188,0.5836,0.5246,OPERATOR-INEFFECTIVE
6,Projection-Antisymmetry,Null,-0.113,0.503,0.4157,0.4413,0.5018,0.5593,0.4935,OPERATOR-INEFFECTIVE
8,Projection-Antisymmetry,Null,-0.1211,0.4804,0.3936,0.4415,0.4902,0.5107,0.4596,OPERATOR-INEFFECTIVE
12,Projection-Antisymmetry,Null,-0.0887,0.4435,0.3682,0.4128,0.431,0.4819,0.4464,OPERATOR-INEFFECTIVE
16,Projection-Antisymmetry,Null,-0.0976,0.393,0.335,0.3621,0.4014,0.4575,0.3986,OPERATOR-INEFFECTIVE
20,Projection-Antisymmetry,Null,-0.0994,0.3635,0.3158,0.3392,0.3704,0.4149,0.3632,OPERATOR-INEFFECTIVE
1,Projection-Neutral,Baseline,0.0246,0.7479,0.7038,0.6774,0.7422,0.7646,0.7069,OPERATOR-PARTIAL
2,Projection-Neutral,Baseline,0.0149,0.718,0.7066,0.6496,0.7259,0.7344,0.6806,OPERATOR-PARTIAL
4,Projection-Neutral,Baseline,0.0209,0.7071,0.6715,0.6163,0.6755,0.7168,0.6556,OPERATOR-PARTIAL
6,Projection-Neutral,Baseline,0.0234,0.6838,0.6531,0.6012,0.6436,0.6735,0.6299,OPERATOR-WEAK
8,Projection-Neutral,Baseline,0.0284,0.6416,0.6066,0.563,0.622,0.6324,0.609,OPERATOR-WEAK
12,Projection-Neutral,Baseline,0.0077,0.5829,0.5794,0.534,0.5924,0.5777,0.5429,OPERATOR-INEFFECTIVE
16,Projection-Neutral,Baseline,0.006,0.5546,0.5385,0.488,0.5541,0.5539,0.5023,OPERATOR-INEFFECTIVE
20,Projection-Neutral,Baseline,0.0032,0.5063,0.4826,0.4446,0.5066,0.5096,0.4658,OPERATOR-INEFFECTIVE
1,Projection-Neutral,CrossDepthCoupling,0.0707,0.8014,0.7777,0.7237,0.7784,0.7945,0.753,OPERATOR-ENHANCED
2,Projection-Neutral,CrossDepthCoupling,0.056,0.7852,0.7711,0.6985,0.7433,0.7718,0.7217,OPERATOR-PARTIAL
4,Projection-Neutral,CrossDepthCoupling,0.0419,0.7317,0.708,0.6589,0.707,0.7393,0.6766,OPERATOR-PARTIAL
6,Projection-Neutral,CrossDepthCoupling,0.0415,0.7032,0.6977,0.6435,0.7086,0.6839,0.648,OPERATOR-WEAK
8,Projection-Neutral,CrossDepthCoupling,0.0636,0.6875,0.662,0.5985,0.652,0.6608,0.6443,OPERATOR-WEAK
12,Projection-Neutral,CrossDepthCoupling,0.0422,0.62,0.6103,0.5384,0.6245,0.6276,0.5774,OPERATOR-WEAK
16,Projection-Neutral,CrossDepthCoupling,0.0414,0.5805,0.5606,0.5137,0.5652,0.5646,0.5376,OPERATOR-INEFFECTIVE
20,Projection-Neutral,CrossDepthCoupling,0.0465,0.5437,0.5272,0.4729,0.5391,0.5324,0.5091,OPERATOR-INEFFECTIVE
1,Projection-Neutral,SymmetryCompensation,0.0405,0.7777,0.7613,0.701,0.7577,0.7893,0.7228,OPERATOR-PARTIAL
2,Projection-Neutral,SymmetryCompensation,0.0255,0.7761,0.7244,0.6909,0.7406,0.7486,0.6912,OPERATOR-PARTIAL
