depth,sector,condition,rg_similarity,closure_persistence,perturbation_resilience,extension_stability,operator_sensitivity,null_control_distance,classification
12,Projection,NoiseInjection,0.6479,0.6214,0.5856,0.5865,0.6115,0.3262,CLOSURE-WEAK
16,Projection,NoiseInjection,0.5907,0.5875,0.5652,0.5425,0.5786,0.2973,CLOSURE-WEAK
20,Projection,NoiseInjection,0.5507,0.5349,0.5117,0.5122,0.513,0.2683,CLOSURE-WEAK
24,Projection,NoiseInjection,0.5063,0.5069,0.4728,0.4831,0.4891,0.2423,CLOSURE-FAILED
28,Projection,NoiseInjection,0.477,0.4645,0.4373,0.4453,0.4589,0.2348,CLOSURE-FAILED
32,Projection,NoiseInjection,0.4435,0.4339,0.4287,0.41,0.4234,0.2143,CLOSURE-FAILED
1,Projection,CrossNetworkGeneralization,0.8845,0.8362,0.8247,0.8216,0.8207,0.3994,CLOSURE-ROBUST
2,Projection,CrossNetworkGeneralization,0.8484,0.8375,0.8212,0.7822,0.8099,0.3849,CLOSURE-STABLE
4,Projection,CrossNetworkGeneralization,0.7911,0.7854,0.7781,0.7549,0.7796,0.3882,CLOSURE-STABLE
6,Projection,CrossNetworkGeneralization,0.7794,0.7455,0.7185,0.7086,0.716,0.3804,CLOSURE-STABLE
8,Projection,CrossNetworkGeneralization,0.724,0.7109,0.679,0.6694,0.6889,0.3479,CLOSURE-PARTIAL
12,Projection,CrossNetworkGeneralization,0.6562,0.6481,0.6277,0.612,0.6316,0.3093,CLOSURE-PARTIAL
16,Projection,CrossNetworkGeneralization,0.6211,0.5954,0.5698,0.5802,0.5818,0.2797,CLOSURE-WEAK
20,Projection,CrossNetworkGeneralization,0.5681,0.5628,0.5444,0.5361,0.5521,0.276,CLOSURE-WEAK
24,Projection,CrossNetworkGeneralization,0.5243,0.516,0.5003,0.4881,0.4965,0.2446,CLOSURE-FAILED
28,Projection,CrossNetworkGeneralization,0.4966,0.484,0.4636,0.4673,0.4855,0.2367,CLOSURE-FAILED
32,Projection,CrossNetworkGeneralization,0.4768,0.4626,0.4447,0.424,0.4456,0.2323,CLOSURE-FAILED
1,Projection,NullClosureControl,0.6247,0.5616,0.5042,0.51,0.4979,0.1172,CLOSURE-WEAK
2,Projection,NullClosureControl,0.6107,0.5669,0.4836,0.494,0.5019,0.0963,CLOSURE-WEAK
4,Projection,NullClosureControl,0.5813,0.506,0.4489,0.4985,0.448,0.1116,CLOSURE-WEAK
6,Projection,NullClosureControl,0.5589,0.4972,0.4176,0.4774,0.4554,0.0875,CLOSURE-WEAK
8,Projection,NullClosureControl,0.5434,0.4839,0.4256,0.449,0.4064,0.097,CLOSURE-FAILED
12,Projection,NullClosureControl,0.4871,0.4429,0.3778,0.3957,0.3882,0.0814,CLOSURE-FAILED
16,Projection,NullClosureControl,0.4471,0.3896,0.3528,0.3595,0.3515,0.0904,CLOSURE-FAILED
20,Projection,NullClosureControl,0.4249,0.3581,0.3236,0.355,0.3292,0.0738,CLOSURE-FAILED
24,Projection,NullClosureControl,0.3782,0.3497,0.2914,0.3084,0.3047,0.0748,CLOSURE-FAILED
28,Projection,NullClosureControl,0.3668,0.3145,0.2936,0.2913,0.2768,0.0629,CLOSURE-FAILED
32,Projection,NullClosureControl,0.346,0.3118,0.2626,0.2873,0.2709,0.057,CLOSURE-FAILED
1,Antisymmetry,BaselineReproduction,0.861,0.8451,0.8249,0.7994,0.8142,0.377,CLOSURE-ROBUST
2,Antisymmetry,BaselineReproduction,0.8286,0.8144,0.8032,0.7715,0.8156,0.3787,CLOSURE-STABLE
4,Antisymmetry,BaselineReproduction,0.7835,0.7876,0.7387,0.7263,0.7732,0.3425,CLOSURE-STABLE
6,Antisymmetry,BaselineReproduction,0.7482,0.7419,0.7082,0.7069,0.7228,0.3393,CLOSURE-PARTIAL
8,Antisymmetry,BaselineReproduction,0.704,0.7125,0.6755,0.6656,0.682,0.3025,CLOSURE-PARTIAL
12,Antisymmetry,BaselineReproduction,0.6587,0.6419,0.6326,0.5967,0.6452,0.282,CLOSURE-PARTIAL
16,Antisymmetry,BaselineReproduction,0.6074,0.5803,0.5736,0.5515,0.5859,0.2764,CLOSURE-WEAK
20,Antisymmetry,BaselineReproduction,0.5434,0.5344,0.5265,0.5078,0.533,0.2341,CLOSURE-FAILED
24,Antisymmetry,BaselineReproduction,0.5109,0.5097,0.4957,0.491,0.5065,0.2382,CLOSURE-FAILED
28,Antisymmetry,BaselineReproduction,0.496,0.4717,0.4595,0.4472,0.4651,0.2126,CLOSURE-FAILED
32,Antisymmetry,BaselineReproduction,0.4554,0.4546,0.4387,0.4254,0.4468,0.2003,CLOSURE-FAILED
1,Antisymmetry,ParameterPerturbation,0.8441,0.8081,0.7982,0.769,0.7968,0.364,CLOSURE-STABLE
2,Antisymmetry,ParameterPerturbation,0.8232,0.7752,0.7831,0.7633,0.78,0.3772,CLOSURE-STABLE
4,Antisymmetry,ParameterPerturbation,0.7727,0.7476,0.7207,0.7097,0.7156,0.3424,CLOSURE-STABLE
6,Antisymmetry,ParameterPerturbation,0.7242,0.724,0.6936,0.6782,0.6956,0.3361,CLOSURE-PARTIAL
8,Antisymmetry,ParameterPerturbation,0.7079,0.6913,0.6633,0.65,0.6443,0.3241,CLOSURE-PARTIAL
12,Antisymmetry,ParameterPerturbation,0.6349,0.6118,0.5989,0.5788,0.6094,0.2909,CLOSURE-WEAK
16,Antisymmetry,ParameterPerturbation,0.5932,0.5796,0.5439,0.5396,0.5484,0.2514,CLOSURE-WEAK
20,Antisymmetry,ParameterPerturbation,0.5505,0.5429,0.5077,0.4954,0.5239,0.2499,CLOSURE-WEAK
24,Antisymmetry,ParameterPerturbation,0.5067,0.5005,0.4756,0.4684,0.4818,0.2333,CLOSURE-FAILED
28,Antisymmetry,ParameterPerturbation,0.4862,0.4576,0.4432,0.4445,0.4409,0.2202,CLOSURE-FAILED
32,Antisymmetry,ParameterPerturbation,0.4565,0.4299,0.4264,0.4119,0.4119,0.209,CLOSURE-FAILED
1,Antisymmetry,RecursiveExtension,0.8405,0.8095,0.8159,0.7397,0.813,0.3737,CLOSURE-STABLE
2,Antisymmetry,RecursiveExtension,0.8123,0.7827,0.7801,0.7104,0.8182,0.363,CLOSURE-STABLE
4,Antisymmetry,RecursiveExtension,0.7455,0.7367,0.7639,0.6982,0.7584,0.3374,CLOSURE-PARTIAL
6,Antisymmetry,RecursiveExtension,0.7336,0.7186,0.7133,0.6558,0.7277,0.3317,CLOSURE-PARTIAL
8,Antisymmetry,RecursiveExtension,0.6753,0.6838,0.6885,0.6106,0.7036,0.3194,CLOSURE-PARTIAL
12,Antisymmetry,RecursiveExtension,0.6211,0.6262,0.6152,0.5835,0.6252,0.2774,CLOSURE-WEAK
16,Antisymmetry,RecursiveExtension,0.5844,0.5716,0.584,0.5226,0.5734,0.2561,CLOSURE-WEAK
20,Antisymmetry,RecursiveExtension,0.5463,0.5352,0.5361,0.4754,0.5494,0.2379,CLOSURE-FAILED
24,Antisymmetry,RecursiveExtension,0.4986,0.4908,0.4921,0.4595,0.5081,0.2222,CLOSURE-FAILED
28,Antisymmetry,RecursiveExtension,0.4734,0.4669,0.4566,0.4323,0.4807,0.2124,CLOSURE-FAILED
32,Antisymmetry,RecursiveExtension,0.4523,0.4207,0.4414,0.4077,0.4337,0.2033,CLOSURE-FAILED
1,Antisymmetry,NoiseInjection,0.8076,0.7878,0.7447,0.7721,0.7767,0.3797,CLOSURE-STABLE
2,Antisymmetry,NoiseInjection,0.7705,0.7779,0.7209,0.7428,0.7446,0.3746,CLOSURE-STABLE
4,Antisymmetry,NoiseInjection,0.7538,0.7259,0.6808,0.7078,0.7045,0.3304,CLOSURE-PARTIAL
6,Antisymmetry,NoiseInjection,0.7042,0.6752,0.6454,0.6482,0.6931,0.32,CLOSURE-PARTIAL
8,Antisymmetry,NoiseInjection,0.659,0.6608,0.6232,0.616,0.6422,0.2982,CLOSURE-PARTIAL
12,Antisymmetry,NoiseInjection,0.6047,0.613,0.5903,0.5661,0.5935,0.2975,CLOSURE-WEAK
16,Antisymmetry,NoiseInjection,0.5737,0.5596,0.5183,0.5181,0.5326,0.2625,CLOSURE-WEAK
20,Antisymmetry,NoiseInjection,0.5249,0.5003,0.486,0.4985,0.4944,0.2506,CLOSURE-FAILED
24,Antisymmetry,NoiseInjection,0.5022,0.4786,0.4617,0.469,0.4611,0.23,CLOSURE-FAILED
28,Antisymmetry,NoiseInjection,0.4632,0.4465,0.4348,0.4241,0.4493,0.2228,CLOSURE-FAILED
32,Antisymmetry,NoiseInjection,0.422,0.4105,0.3955,0.4017,0.4174,0.199,CLOSURE-FAILED
1,Antisymmetry,CrossNetworkGeneralization,0.8386,0.8151,0.8121,0.7914,0.8063,0.3677,CLOSURE-STABLE
2,Antisymmetry,CrossNetworkGeneralization,0.8213,0.7885,0.7896,0.748,0.7798,0.3484,CLOSURE-STABLE
4,Antisymmetry,CrossNetworkGeneralization,0.7822,0.7662,0.724,0.7215,0.7264,0.3512,CLOSURE-STABLE
6,Antisymmetry,CrossNetworkGeneralization,0.7356,0.7232,0.7051,0.6819,0.7241,0.3258,CLOSURE-PARTIAL
8,Antisymmetry,CrossNetworkGeneralization,0.7072,0.6803,0.6537,0.6619,0.6716,0.308,CLOSURE-PARTIAL
12,Antisymmetry,CrossNetworkGeneralization,0.6418,0.6402,0.6186,0.6063,0.6269,0.2909,CLOSURE-WEAK
16,Antisymmetry,CrossNetworkGeneralization,0.5918,0.5748,0.5546,0.5542,0.5566,0.2517,CLOSURE-WEAK
20,Antisymmetry,CrossNetworkGeneralization,0.5593,0.5448,0.5102,0.4975,0.5197,0.2491,CLOSURE-WEAK
24,Antisymmetry,CrossNetworkGeneralization,0.5013,0.4955,0.4852,0.4843,0.4792,0.2401,CLOSURE-FAILED
28,Antisymmetry,CrossNetworkGeneralization,0.4864,0.4587,0.4589,0.4405,0.4499,0.208,CLOSURE-FAILED
32,Antisymmetry,CrossNetworkGeneralization,0.4556,0.4387,0.4228,0.4093,0.4419,0.1922,CLOSURE-FAILED
1,Antisymmetry,NullClosureControl,0.5962,0.522,0.4547,0.4938,0.4565,0.0592,CLOSURE-WEAK
2,Antisymmetry,NullClosureControl,0.5811,0.5106,0.4643,0.4739,0.4483,0.0719,CLOSURE-WEAK
4,Antisymmetry,NullClosureControl,0.5712,0.498,0.4383,0.4457,0.4434,0.0548,CLOSURE-WEAK
6,Antisymmetry,NullClosureControl,0.5225,0.4678,0.4201,0.4342,0.4309,0.0795,CLOSURE-FAILED
8,Antisymmetry,NullClosureControl,0.502,0.4473,0.3751,0.4127,0.395,0.0725,CLOSURE-FAILED
12,Antisymmetry,NullClosureControl,0.4645,0.4219,0.3428,0.3714,0.3779,0.0462,CLOSURE-FAILED
16,Antisymmetry,NullClosureControl,0.4205,0.3899,0.3171,0.3417,0.3415,0.0559,CLOSURE-FAILED
20,Antisymmetry,NullClosureControl,0.3987,0.3393,0.2991,0.3162,0.3203,0.0488,CLOSURE-FAILED
24,Antisymmetry,NullClosureControl,0.3696,0.3378,0.2843,0.3008,0.3005,0.0359,CLOSURE-FAILED
28,Antisymmetry,NullClosureControl,0.3462,0.3024,0.2613,0.289,0.2602,0.0374,CLOSURE-FAILED
32,Antisymmetry,NullClosureControl,0.3225,0.2961,0.2558,0.2721,0.2462,0.0505,CLOSURE-FAILED
1,Neutral,BaselineReproduction,0.7641,0.7473,0.7619,0.7405,0.748,0.3386,CLOSURE-STABLE
2,Neutral,BaselineReproduction,0.7738,0.7439,0.7288,0.7165,0.7156,0.3251,CLOSURE-STABLE
4,Neutral,BaselineReproduction,0.7178,0.7021,0.674,0.6726,0.694,0.2868,CLOSURE-PARTIAL
6,Neutral,BaselineReproduction,0.6969,0.681,0.6511,0.6463,0.6539,0.285,CLOSURE-PARTIAL
8,Neutral,BaselineReproduction,0.6608,0.6281,0.6309,0.6134,0.6353,0.2837,CLOSURE-PARTIAL
12,Neutral,BaselineReproduction,0.6024,0.5839,0.5652,0.5634,0.5644,0.2594,CLOSURE-WEAK
16,Neutral,BaselineReproduction,0.5526,0.5273,0.5372,0.523,0.5458,0.2196,CLOSURE-WEAK
20,Neutral,BaselineReproduction,0.5219,0.4906,0.4738,0.4753,0.4971,0.2119,CLOSURE-FAILED
24,Neutral,BaselineReproduction,0.466,0.4632,0.4435,0.4497,0.4533,0.1945,CLOSURE-FAILED
28,Neutral,BaselineReproduction,0.4397,0.4371,0.4225,0.4061,0.4241,0.1915,CLOSURE-FAILED
32,Neutral,BaselineReproduction,0.4221,0.411,0.4068,0.399,0.4049,0.1779,CLOSURE-FAILED
1,Neutral,ParameterPerturbation,0.7502,0.734,0.7229,0.7254,0.7282,0.3447,CLOSURE-STABLE
2,Neutral,ParameterPerturbation,0.7491,0.7414,0.6809,0.6839,0.6854,0.2998,CLOSURE-PARTIAL
4,Neutral,ParameterPerturbation,0.7182,0.6916,0.6696,0.6598,0.6749,0.2917,CLOSURE-PARTIAL
6,Neutral,ParameterPerturbation,0.6751,0.6487,0.6209,0.6349,0.628,0.2811,CLOSURE-PARTIAL
8,Neutral,ParameterPerturbation,0.6471,0.6205,0.6072,0.5794,0.5927,0.2591,CLOSURE-WEAK
12,Neutral,ParameterPerturbation,0.6001,0.5811,0.5542,0.5362,0.5376,0.2386,CLOSURE-WEAK
16,Neutral,ParameterPerturbation,0.5492,0.5371,0.4927,0.4972,0.513,0.228,CLOSURE-FAILED
20,Neutral,ParameterPerturbation,0.4921,0.4896,0.4622,0.4543,0.4602,0.2179,CLOSURE-FAILED
24,Neutral,ParameterPerturbation,0.4772,0.4449,0.4404,0.4392,0.4306,0.1988,CLOSURE-FAILED
28,Neutral,ParameterPerturbation,0.4387,0.4251,0.4186,0.4055,0.4142,0.1904,CLOSURE-FAILED
32,Neutral,ParameterPerturbation,0.3998,0.4019,0.3859,0.3697,0.3929,0.1736,CLOSURE-FAILED
1,Neutral,RecursiveExtension,0.7525,0.717,0.7273,0.6867,0.7577,0.3103,CLOSURE-STABLE
2,Neutral,RecursiveExtension,0.7319,0.7346,0.7287,0.6711,0.7291,0.3196,CLOSURE-PARTIAL
4,Neutral,RecursiveExtension,0.6976,0.6644,0.6746,0.6383,0.711,0.3038,CLOSURE-PARTIAL
6,Neutral,RecursiveExtension,0.6589,0.6582,0.6441,0.6008,0.6582,0.2844,CLOSURE-PARTIAL
8,Neutral,RecursiveExtension,0.6226,0.6008,0.6221,0.5601,0.6169,0.2813,CLOSURE-WEAK
12,Neutral,RecursiveExtension,0.5884,0.5741,0.5574,0.5156,0.5783,0.2637,CLOSURE-WEAK
16,Neutral,RecursiveExtension,0.5194,0.518,0.5278,0.4755,0.5353,0.2398,CLOSURE-FAILED
20,Neutral,RecursiveExtension,0.5038,0.4734,0.4829,0.4526,0.5017,0.2193,CLOSURE-FAILED
24,Neutral,RecursiveExtension,0.4586,0.4479,0.452,0.4034,0.4517,0.192,CLOSURE-FAILED
28,Neutral,RecursiveExtension,0.4348,0.4289,0.4217,0.3956,0.4264,0.182,CLOSURE-FAILED
32,Neutral,RecursiveExtension,0.4045,0.3923,0.407,0.363,0.3954,0.1691,CLOSURE-FAILED
1,Neutral,NoiseInjection,0.7375,0.7204,0.7052,0.6822,0.7173,0.339,CLOSURE-PARTIAL
2,Neutral,NoiseInjection,0.7354,0.6978,0.6696,0.6611,0.6768,0.3286,CLOSURE-PARTIAL
4,Neutral,NoiseInjection,0.6706,0.6432,0.6161,0.6215,0.6336,0.2867,CLOSURE-PARTIAL
6,Neutral,NoiseInjection,0.6583,0.6151,0.5847,0.597,0.624,0.289,CLOSURE-WEAK
8,Neutral,NoiseInjection,0.6323,0.5927,0.5871,0.5832,0.5813,0.2625,CLOSURE-WEAK
12,Neutral,NoiseInjection,0.5676,0.534,0.5354,0.5307,0.545,0.2403,CLOSURE-WEAK
16,Neutral,NoiseInjection,0.5112,0.4968,0.4874,0.4794,0.4949,0.2155,CLOSURE-FAILED
20,Neutral,NoiseInjection,0.4755,0.4721,0.4408,0.4476,0.4696,0.2009,CLOSURE-FAILED
24,Neutral,NoiseInjection,0.4556,0.4438,0.4162,0.4202,0.42,0.2046,CLOSURE-FAILED
28,Neutral,NoiseInjection,0.4117,0.409,0.3829,0.3986,0.4126,0.1756,CLOSURE-FAILED
32,Neutral,NoiseInjection,0.3853,0.3924,0.3688,0.3676,0.3793,0.1686,CLOSURE-FAILED
1,Neutral,CrossNetworkGeneralization,0.7763,0.7459,0.7378,0.7067,0.7331,0.3154,CLOSURE-STABLE
2,Neutral,CrossNetworkGeneralization,0.7687,0.7472,0.693,0.697,0.7126,0.3187,CLOSURE-PARTIAL
4,Neutral,CrossNetworkGeneralization,0.7037,0.6943,0.6844,0.6731,0.6733,0.2856,CLOSURE-PARTIAL
6,Neutral,CrossNetworkGeneralization,0.6932,0.6539,0.625,0.6362,0.6475,0.2745,CLOSURE-PARTIAL
8,Neutral,CrossNetworkGeneralization,0.6604,0.6427,0.5904,0.6005,0.6073,0.2565,CLOSURE-WEAK
12,Neutral,CrossNetworkGeneralization,0.5757,0.5736,0.5611,0.5412,0.5718,0.2382,CLOSURE-WEAK
16,Neutral,CrossNetworkGeneralization,0.5479,0.5282,0.5127,0.5119,0.5052,0.2361,CLOSURE-FAILED
20,Neutral,CrossNetworkGeneralization,0.5108,0.5011,0.4767,0.4707,0.487,0.2155,CLOSURE-FAILED
24,Neutral,CrossNetworkGeneralization,0.4739,0.4445,0.451,0.4336,0.4514,0.2074,CLOSURE-FAILED
28,Neutral,CrossNetworkGeneralization,0.4346,0.4325,0.4151,0.4083,0.4143,0.1845,CLOSURE-FAILED
32,Neutral,CrossNetworkGeneralization,0.4171,0.3926,0.3856,0.3833,0.3981,0.1651,CLOSURE-FAILED
1,Neutral,NullClosureControl,0.5419,0.4808,0.3861,0.4126,0.4018,0.0132,CLOSURE-FAILED
2,Neutral,NullClosureControl,0.5276,0.4546,0.3827,0.4085,0.3948,0.0305,CLOSURE-FAILED
4,Neutral,NullClosureControl,0.4726,0.4174,0.3466,0.4078,0.3918,0.0127,CLOSURE-FAILED
6,Neutral,NullClosureControl,0.4771,0.4229,0.3367,0.3808,0.3551,0.0341,CLOSURE-FAILED
8,Neutral,NullClosureControl,0.4313,0.3972,0.3184,0.3682,0.3524,0.0326,CLOSURE-FAILED
12,Neutral,NullClosureControl,0.4177,0.3689,0.3068,0.3253,0.3013,0.0253,CLOSURE-FAILED
16,Neutral,NullClosureControl,0.3774,0.3377,0.2686,0.2898,0.2802,0.0126,CLOSURE-FAILED
20,Neutral,NullClosureControl,0.336,0.3155,0.2624,0.2804,0.2773,0.0085,CLOSURE-FAILED
24,Neutral,NullClosureControl,0.3166,0.2749,0.2289,0.2671,0.249,0.004,CLOSURE-FAILED
28,Neutral,NullClosureControl,0.2919,0.2757,0.2152,0.2485,0.234,0.0234,CLOSURE-FAILED
32,Neutral,NullClosureControl,0.2913,0.2486,0.2181,0.2344,0.2071,0.0123,CLOSURE-FAILED
1,Projection-Antisymmetry,BaselineReproduction,0.7768,0.7686,0.7363,0.7135,0.7743,0.3256,CLOSURE-STABLE
2,Projection-Antisymmetry,BaselineReproduction,0.7416,0.7554,0.7107,0.7104,0.7515,0.3303,CLOSURE-PARTIAL
4,Projection-Antisymmetry,BaselineReproduction,0.7118,0.7206,0.6723,0.6609,0.6999,0.2918,CLOSURE-PARTIAL
6,Projection-Antisymmetry,BaselineReproduction,0.6772,0.6811,0.666,0.6344,0.6488,0.2816,CLOSURE-PARTIAL
8,Projection-Antisymmetry,BaselineReproduction,0.6521,0.6357,0.6396,0.6018,0.6234,0.2877,CLOSURE-PARTIAL
12,Projection-Antisymmetry,BaselineReproduction,0.5863,0.574,0.5729,0.5482,0.5758,0.2606,CLOSURE-WEAK
16,Projection-Antisymmetry,BaselineReproduction,0.5634,0.5416,0.515,0.5115,0.5367,0.2352,CLOSURE-WEAK
20,Projection-Antisymmetry,BaselineReproduction,0.5188,0.5052,0.4969,0.4692,0.4863,0.2212,CLOSURE-FAILED
24,Projection-Antisymmetry,BaselineReproduction,0.4663,0.4604,0.4441,0.4446,0.4573,0.2095,CLOSURE-FAILED
28,Projection-Antisymmetry,BaselineReproduction,0.4522,0.4324,0.4214,0.4199,0.4286,0.1765,CLOSURE-FAILED
32,Projection-Antisymmetry,BaselineReproduction,0.41,0.4059,0.3995,0.39,0.4069,0.1745,CLOSURE-FAILED
1,Projection-Antisymmetry,ParameterPerturbation,0.7838,0.7579,0.7195,0.6936,0.7155,0.3257,CLOSURE-STABLE
2,Projection-Antisymmetry,ParameterPerturbation,0.7565,0.738,0.7136,0.6899,0.6839,0.3161,CLOSURE-STABLE
4,Projection-Antisymmetry,ParameterPerturbation,0.6959,0.6862,0.6666,0.6685,0.6746,0.3183,CLOSURE-PARTIAL
6,Projection-Antisymmetry,ParameterPerturbation,0.6704,0.6471,0.6119,0.6061,0.6298,0.2722,CLOSURE-PARTIAL
8,Projection-Antisymmetry,ParameterPerturbation,0.6325,0.6231,0.6041,0.5809,0.6056,0.2772,CLOSURE-WEAK
12,Projection-Antisymmetry,ParameterPerturbation,0.5909,0.5557,0.5383,0.5343,0.5538,0.2632,CLOSURE-WEAK
16,Projection-Antisymmetry,ParameterPerturbation,0.5468,0.5247,0.509,0.4997,0.4907,0.2299,CLOSURE-FAILED
20,Projection-Antisymmetry,ParameterPerturbation,0.4967,0.4782,0.4605,0.4642,0.4607,0.2017,CLOSURE-FAILED
24,Projection-Antisymmetry,ParameterPerturbation,0.4759,0.4532,0.4244,0.4348,0.435,0.2051,CLOSURE-FAILED
28,Projection-Antisymmetry,ParameterPerturbation,0.4339,0.4157,0.4164,0.4132,0.4182,0.1786,CLOSURE-FAILED
32,Projection-Antisymmetry,ParameterPerturbation,0.4048,0.3901,0.375,0.3789,0.3789,0.1844,CLOSURE-FAILED
1,Projection-Antisymmetry,RecursiveExtension,0.7569,0.7457,0.752,0.6701,0.7747,0.3227,CLOSURE-STABLE
2,Projection-Antisymmetry,RecursiveExtension,0.7409,0.7278,0.7318,0.6749,0.7375,0.3057,CLOSURE-PARTIAL
4,Projection-Antisymmetry,RecursiveExtension,0.7094,0.6897,0.6946,0.6168,0.709,0.3147,CLOSURE-PARTIAL
6,Projection-Antisymmetry,RecursiveExtension,0.6754,0.6565,0.6399,0.6066,0.6531,0.2902,CLOSURE-PARTIAL
8,Projection-Antisymmetry,RecursiveExtension,0.6486,0.5991,0.6135,0.5506,0.6292,0.2752,CLOSURE-WEAK
12,Projection-Antisymmetry,RecursiveExtension,0.5629,0.549,0.58,0.525,0.5828,0.248,CLOSURE-WEAK
16,Projection-Antisymmetry,RecursiveExtension,0.5208,0.5153,0.5219,0.487,0.5219,0.2341,CLOSURE-FAILED
20,Projection-Antisymmetry,RecursiveExtension,0.4826,0.486,0.4862,0.4407,0.4984,0.1998,CLOSURE-FAILED
24,Projection-Antisymmetry,RecursiveExtension,0.4565,0.4554,0.4588,0.4112,0.466,0.2078,CLOSURE-FAILED
28,Projection-Antisymmetry,RecursiveExtension,0.4406,0.415,0.4255,0.3871,0.4361,0.176,CLOSURE-FAILED
32,Projection-Antisymmetry,RecursiveExtension,0.4103,0.3839,0.3976,0.3576,0.4114,0.1827,CLOSURE-FAILED
