system,type,domain,standard_rho,standard_p,directional_gradient,propagation_asymmetry,recursive_dependency,depth_coupling,causal_retention,transfer_entropy,asymmetry_preservation,z_score,is_adversarial,original_system,adversarial_type
CriticalPhenomenaScaling_StaticScale_Adversarial,adversarial,renormalization_scaling,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.8598109033959204,0.01495920677641025,True,CriticalPhenomenaScaling,StaticScale
CriticalPhenomenaScaling_SyntheticInvert_Adversarial,adversarial,renormalization_scaling,-1.0,0.0,0.0,1.0,0.342285318587667,0.7405300864984441,1.0,0.8017837257372733,0.11174713108659859,-2.4345015519340416,True,CriticalPhenomenaScaling,SyntheticInvert
CriticalPhenomenaScaling_PseudoDepth_Adversarial,adversarial,renormalization_scaling,0.07559289460184546,0.8720358604209588,0.2246701130882902,1.0,0.21000924784030775,0.5764639291734537,0.07559289460184546,0.5345224838248488,0.06323829739788252,0.20012103574096585,True,CriticalPhenomenaScaling,PseudoDepth
CriticalPhenomenaScaling_RecursiveDecouple_Adversarial,adversarial,renormalization_scaling,0.8928571428571429,0.006807187408935392,0.18902447531816813,1.0,0.16726250302373377,0.8459890587085332,0.8928571428571429,0.6078306738548308,0.2400223646834022,2.2019777413393142,True,CriticalPhenomenaScaling,RecursiveDecouple
TurbulenceEnergyCascade_MonotonicFake_Adversarial,adversarial,renormalization_scaling,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,TurbulenceEnergyCascade,MonotonicFake
TurbulenceEnergyCascade_OrderPreserve_Adversarial,adversarial,renormalization_scaling,0.642857142857143,0.11939237342741094,0.4268632359245702,1.0,0.342285318587667,0.4436067295067724,0.642857142857143,0.3646984043128985,1.579874378098017e-17,1.5896125516617012,True,TurbulenceEnergyCascade,OrderPreserve
TurbulenceEnergyCascade_MirroredRecursion_Adversarial,adversarial,renormalization_scaling,-1.0,0.0,0.0,1.0,0.342285318587667,0.7436324583784302,1.0,0.8017837257372733,0.0,-2.4345015519340416,True,TurbulenceEnergyCascade,MirroredRecursion
TurbulenceEnergyCascade_StaticScale_Adversarial,adversarial,renormalization_scaling,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.0,0.01495920677641025,True,TurbulenceEnergyCascade,StaticScale
TurbulenceEnergyCascade_SyntheticInvert_Adversarial,adversarial,renormalization_scaling,-1.0,0.0,0.0,1.0,0.342285318587667,0.7436324583784302,1.0,0.8017837257372733,1.2638995024784136e-16,-2.4345015519340416,True,TurbulenceEnergyCascade,SyntheticInvert
TurbulenceEnergyCascade_PseudoDepth_Adversarial,adversarial,renormalization_scaling,0.07559289460184546,0.8720358604209588,0.24151722650944613,1.0,0.21000924784030775,0.5735939941783371,0.07559289460184546,0.5345224838248488,0.23419538484750407,0.20012103574096585,True,TurbulenceEnergyCascade,PseudoDepth
TurbulenceEnergyCascade_RecursiveDecouple_Adversarial,adversarial,renormalization_scaling,0.8928571428571429,0.006807187408935392,0.1945742425327815,1.0,0.342285318587667,0.8716242084072237,0.8928571428571429,0.8017837257372733,1.2638995024784136e-16,2.2019777413393142,True,TurbulenceEnergyCascade,RecursiveDecouple
EnergyMomentumConservation_MonotonicFake_Adversarial,adversarial,conservation_structures,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,EnergyMomentumConservation,MonotonicFake
EnergyMomentumConservation_OrderPreserve_Adversarial,adversarial,conservation_structures,0.39285714285714296,0.38331687042697266,0.2707056379113321,1.0,0.5138071090291234,0.2983946700932455,0.39285714285714296,0.12156613477096616,5.546253373616001e-17,0.9772473619840881,True,EnergyMomentumConservation,OrderPreserve
EnergyMomentumConservation_MirroredRecursion_Adversarial,adversarial,conservation_structures,-1.0,0.0,0.0,1.0,0.342285318587667,0.7385076061943103,1.0,0.8509629433967634,3.6975022490773336e-17,-2.4345015519340416,True,EnergyMomentumConservation,MirroredRecursion
EnergyMomentumConservation_StaticScale_Adversarial,adversarial,conservation_structures,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.0,0.01495920677641025,True,EnergyMomentumConservation,StaticScale
EnergyMomentumConservation_SyntheticInvert_Adversarial,adversarial,conservation_structures,-1.0,0.0,0.0,1.0,0.342285318587667,0.7385076061943106,1.0,0.8509629433967634,1.1092506747232002e-16,-2.4345015519340416,True,EnergyMomentumConservation,SyntheticInvert
EnergyMomentumConservation_PseudoDepth_Adversarial,adversarial,conservation_structures,0.07559289460184546,0.8720358604209588,0.24151722650944613,1.0,0.21000924784030775,0.5735939941783371,0.07559289460184546,0.5345224838248488,0.23419538484750407,0.20012103574096585,True,EnergyMomentumConservation,PseudoDepth
EnergyMomentumConservation_RecursiveDecouple_Adversarial,adversarial,conservation_structures,0.8928571428571429,0.006807187408935392,0.17726906615930277,1.0,0.342285318587667,0.8484121459942848,0.8928571428571429,0.8017837257372733,4.067252473985069e-16,2.2019777413393142,True,EnergyMomentumConservation,RecursiveDecouple
ChargeConservationEM_MonotonicFake_Adversarial,adversarial,conservation_structures,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,ChargeConservationEM,MonotonicFake
ChargeConservationEM_OrderPreserve_Adversarial,adversarial,conservation_structures,-0.1785714285714286,0.7016579425162729,0.2487735038619937,1.0,0.2995190852789272,0.18034335940211388,0.1785714285714286,0.2672612419124244,0.24002236468340213,-0.4224445001361705,True,ChargeConservationEM,OrderPreserve
ChargeConservationEM_MirroredRecursion_Adversarial,adversarial,conservation_structures,-1.0,0.0,0.0,1.0,0.5398443688478491,0.7357762703373272,1.0,0.8509629433967634,0.2400223646834027,-2.4345015519340416,True,ChargeConservationEM,MirroredRecursion
ChargeConservationEM_StaticScale_Adversarial,adversarial,conservation_structures,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.8598109033959204,0.01495920677641025,True,ChargeConservationEM,StaticScale
ChargeConservationEM_SyntheticInvert_Adversarial,adversarial,conservation_structures,-1.0,0.0,0.0,1.0,0.342285318587667,0.7405300864984441,1.0,0.8017837257372733,0.11174713108659859,-2.4345015519340416,True,ChargeConservationEM,SyntheticInvert
ChargeConservationEM_PseudoDepth_Adversarial,adversarial,conservation_structures,0.07559289460184546,0.8720358604209588,0.2246701130882902,1.0,0.21000924784030775,0.5764639291734537,0.07559289460184546,0.5345224838248488,0.06323829739788252,0.20012103574096585,True,ChargeConservationEM,PseudoDepth
ChargeConservationEM_RecursiveDecouple_Adversarial,adversarial,conservation_structures,0.8928571428571429,0.006807187408935392,0.18902447531816813,1.0,0.16726250302373377,0.8459890587085332,0.8928571428571429,0.6078306738548308,0.2400223646834022,2.2019777413393142,True,ChargeConservationEM,RecursiveDecouple
StandingWavePatterns_MonotonicFake_Adversarial,adversarial,wave_interference_organization,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,StandingWavePatterns,MonotonicFake
StandingWavePatterns_OrderPreserve_Adversarial,adversarial,wave_interference_organization,-0.42857142857142866,0.337368311085824,0.09573843357202427,1.0,0.5398443688478491,0.26741981230804995,0.42857142857142866,1.6252000960812472e-17,0.24002236468340218,-1.0348096898137837,True,StandingWavePatterns,OrderPreserve
StandingWavePatterns_MirroredRecursion_Adversarial,adversarial,wave_interference_organization,-1.0,0.0,0.0,1.0,0.5398443688478491,0.7357762703373272,1.0,0.8509629433967634,0.2400223646834027,-2.4345015519340416,True,StandingWavePatterns,MirroredRecursion
StandingWavePatterns_StaticScale_Adversarial,adversarial,wave_interference_organization,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.8598109033959204,0.01495920677641025,True,StandingWavePatterns,StaticScale
StandingWavePatterns_SyntheticInvert_Adversarial,adversarial,wave_interference_organization,-1.0,0.0,0.0,1.0,0.342285318587667,0.7405300864984441,1.0,0.8017837257372733,0.11174713108659859,-2.4345015519340416,True,StandingWavePatterns,SyntheticInvert
StandingWavePatterns_PseudoDepth_Adversarial,adversarial,wave_interference_organization,0.07559289460184546,0.8720358604209588,0.2246701130882902,1.0,0.21000924784030775,0.5764639291734537,0.07559289460184546,0.5345224838248488,0.06323829739788252,0.20012103574096585,True,StandingWavePatterns,PseudoDepth
StandingWavePatterns_RecursiveDecouple_Adversarial,adversarial,wave_interference_organization,0.8928571428571429,0.006807187408935392,0.18902447531816813,1.0,0.16726250302373377,0.8459890587085332,0.8928571428571429,0.6078306738548308,0.2400223646834022,2.2019777413393142,True,StandingWavePatterns,RecursiveDecouple
DoubleSlitInterference_MonotonicFake_Adversarial,adversarial,wave_interference_organization,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,DoubleSlitInterference,MonotonicFake
DoubleSlitInterference_OrderPreserve_Adversarial,adversarial,wave_interference_organization,0.7857142857142859,0.03623846267982713,0.19525949969559614,1.0,0.342285318587667,0.6432050548356867,0.7857142857142859,0.5345224838248488,0.3615192302042886,1.9395355171917659,True,DoubleSlitInterference,OrderPreserve
DoubleSlitInterference_MirroredRecursion_Adversarial,adversarial,wave_interference_organization,-1.0,0.0,0.0,1.0,0.5138071090291234,0.7370987697514891,1.0,0.8017837257372733,0.3615192302042887,-2.4345015519340416,True,DoubleSlitInterference,MirroredRecursion
DoubleSlitInterference_StaticScale_Adversarial,adversarial,wave_interference_organization,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.8598109033959204,0.01495920677641025,True,DoubleSlitInterference,StaticScale
DoubleSlitInterference_SyntheticInvert_Adversarial,adversarial,wave_interference_organization,-1.0,0.0,0.0,1.0,0.3860237025757703,0.730377712015971,1.0,0.8017837257372733,0.12930082338159313,-2.4345015519340416,True,DoubleSlitInterference,SyntheticInvert
DoubleSlitInterference_PseudoDepth_Adversarial,adversarial,wave_interference_organization,0.07559289460184546,0.8720358604209588,0.2246701130882902,1.0,0.21000924784030775,0.5764639291734537,0.07559289460184546,0.5345224838248488,0.06323829739788252,0.20012103574096585,True,DoubleSlitInterference,PseudoDepth
DoubleSlitInterference_RecursiveDecouple_Adversarial,adversarial,wave_interference_organization,0.8928571428571429,0.006807187408935392,0.21185704832838442,1.0,0.20567626785593082,0.8212854523884091,0.8928571428571429,0.5855400437691199,0.36151923020428867,2.2019777413393142,True,DoubleSlitInterference,RecursiveDecouple
LimitCycleOscillations_MonotonicFake_Adversarial,adversarial,attractor_persistence,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,LimitCycleOscillations,MonotonicFake
LimitCycleOscillations_OrderPreserve_Adversarial,adversarial,attractor_persistence,0.7142857142857144,0.07134356146753759,0.25771886085643386,1.0,0.16726250302373377,0.7333453785214125,0.7142857142857144,0.8017837257372733,0.24002236468340274,1.7645740344267336,True,LimitCycleOscillations,OrderPreserve
LimitCycleOscillations_MirroredRecursion_Adversarial,adversarial,attractor_persistence,-1.0,0.0,0.0,1.0,0.5398443688478491,0.7357762703373272,1.0,0.8509629433967634,0.2400223646834027,-2.4345015519340416,True,LimitCycleOscillations,MirroredRecursion
LimitCycleOscillations_StaticScale_Adversarial,adversarial,attractor_persistence,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.8598109033959204,0.01495920677641025,True,LimitCycleOscillations,StaticScale
LimitCycleOscillations_SyntheticInvert_Adversarial,adversarial,attractor_persistence,-1.0,0.0,0.0,1.0,0.342285318587667,0.7405300864984441,1.0,0.8017837257372733,0.11174713108659859,-2.4345015519340416,True,LimitCycleOscillations,SyntheticInvert
LimitCycleOscillations_PseudoDepth_Adversarial,adversarial,attractor_persistence,0.07559289460184546,0.8720358604209588,0.2246701130882902,1.0,0.21000924784030775,0.5764639291734537,0.07559289460184546,0.5345224838248488,0.06323829739788252,0.20012103574096585,True,LimitCycleOscillations,PseudoDepth
LimitCycleOscillations_RecursiveDecouple_Adversarial,adversarial,attractor_persistence,0.8928571428571429,0.006807187408935392,0.18902447531816813,1.0,0.16726250302373377,0.8459890587085332,0.8928571428571429,0.6078306738548308,0.2400223646834022,2.2019777413393142,True,LimitCycleOscillations,RecursiveDecouple
StrangeAttractorLorenz_MonotonicFake_Adversarial,adversarial,attractor_persistence,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,StrangeAttractorLorenz,MonotonicFake
StrangeAttractorLorenz_OrderPreserve_Adversarial,adversarial,attractor_persistence,-0.5357142857142858,0.21521745567801273,0.11024891325148996,1.0,0.5398443688478491,0.2839060936601276,0.5357142857142858,1.6252000960812472e-17,0.4170071238027151,-1.297251913961332,True,StrangeAttractorLorenz,OrderPreserve
StrangeAttractorLorenz_MirroredRecursion_Adversarial,adversarial,attractor_persistence,-1.0,0.0,0.0,1.0,0.5398443688478491,0.7354549754123498,1.0,0.8783100656536799,0.4170071238027157,-2.4345015519340416,True,StrangeAttractorLorenz,MirroredRecursion
StrangeAttractorLorenz_StaticScale_Adversarial,adversarial,attractor_persistence,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.8598109033959204,0.01495920677641025,True,StrangeAttractorLorenz,StaticScale
StrangeAttractorLorenz_SyntheticInvert_Adversarial,adversarial,attractor_persistence,-1.0,0.0,0.0,1.0,0.342285318587667,0.7339098652102365,1.0,0.8017837257372733,0.2019692357503787,-2.4345015519340416,True,StrangeAttractorLorenz,SyntheticInvert
StrangeAttractorLorenz_PseudoDepth_Adversarial,adversarial,attractor_persistence,0.07559289460184546,0.8720358604209588,0.21689715876113036,1.0,0.21000924784030775,0.5745456615796165,0.07559289460184546,0.5345224838248488,0.011773310411110922,0.20012103574096585,True,StrangeAttractorLorenz,PseudoDepth
StrangeAttractorLorenz_RecursiveDecouple_Adversarial,adversarial,attractor_persistence,0.8928571428571429,0.006807187408935392,0.1942041014629298,1.0,0.16726250302373377,0.8216112781578097,0.8928571428571429,0.6078306738548308,0.41700712380271504,2.2019777413393142,True,StrangeAttractorLorenz,RecursiveDecouple
ElectronTransportMesoscopic_MonotonicFake_Adversarial,adversarial,transport_dynamics,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,ElectronTransportMesoscopic,MonotonicFake
ElectronTransportMesoscopic_OrderPreserve_Adversarial,adversarial,transport_dynamics,0.9642857142857145,0.0004541491691941689,0.3774030591351412,1.0,0.16726250302373377,0.8459890587085332,0.9642857142857145,0.6078306738548308,0.2400223646834027,2.3769392241043468,True,ElectronTransportMesoscopic,OrderPreserve
ElectronTransportMesoscopic_MirroredRecursion_Adversarial,adversarial,transport_dynamics,-1.0,0.0,0.0,1.0,0.5398443688478491,0.7357762703373272,1.0,0.8509629433967634,0.2400223646834027,-2.4345015519340416,True,ElectronTransportMesoscopic,MirroredRecursion
ElectronTransportMesoscopic_StaticScale_Adversarial,adversarial,transport_dynamics,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.8598109033959204,0.01495920677641025,True,ElectronTransportMesoscopic,StaticScale
ElectronTransportMesoscopic_SyntheticInvert_Adversarial,adversarial,transport_dynamics,-1.0,0.0,0.0,1.0,0.342285318587667,0.7405300864984441,1.0,0.8017837257372733,0.11174713108659859,-2.4345015519340416,True,ElectronTransportMesoscopic,SyntheticInvert
ElectronTransportMesoscopic_PseudoDepth_Adversarial,adversarial,transport_dynamics,0.07559289460184546,0.8720358604209588,0.2246701130882902,1.0,0.21000924784030775,0.5764639291734537,0.07559289460184546,0.5345224838248488,0.06323829739788252,0.20012103574096585,True,ElectronTransportMesoscopic,PseudoDepth
ElectronTransportMesoscopic_RecursiveDecouple_Adversarial,adversarial,transport_dynamics,0.8928571428571429,0.006807187408935392,0.18902447531816813,1.0,0.16726250302373377,0.8459890587085332,0.8928571428571429,0.6078306738548308,0.2400223646834022,2.2019777413393142,True,ElectronTransportMesoscopic,RecursiveDecouple
HeatTransportPhononic_MonotonicFake_Adversarial,adversarial,transport_dynamics,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,HeatTransportPhononic,MonotonicFake
HeatTransportPhononic_OrderPreserve_Adversarial,adversarial,transport_dynamics,-0.03571428571428572,0.9394082054712856,0.4213284496356314,1.0,0.2995190852789272,0.5282781355354856,0.03571428571428572,1.6252000960812472e-17,0.449020234445958,-0.07252153460610591,True,HeatTransportPhononic,OrderPreserve
HeatTransportPhononic_MirroredRecursion_Adversarial,adversarial,transport_dynamics,-1.0,0.0,0.0,1.0,0.5398443688478491,0.7381990200405268,1.0,0.8509629433967634,0.4490202344459592,-2.4345015519340416,True,HeatTransportPhononic,MirroredRecursion
HeatTransportPhononic_StaticScale_Adversarial,adversarial,transport_dynamics,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.8598109033959204,0.01495920677641025,True,HeatTransportPhononic,StaticScale
HeatTransportPhononic_SyntheticInvert_Adversarial,adversarial,transport_dynamics,-1.0,0.0,0.0,1.0,0.342285318587667,0.7382909830745288,1.0,0.8017837257372733,0.17674084878223015,-2.4345015519340416,True,HeatTransportPhononic,SyntheticInvert
HeatTransportPhononic_PseudoDepth_Adversarial,adversarial,transport_dynamics,0.07559289460184546,0.8720358604209588,0.21689715876113036,1.0,0.21000924784030775,0.5745456615796165,0.07559289460184546,0.5345224838248488,0.011773310411110922,0.20012103574096585,True,HeatTransportPhononic,PseudoDepth
HeatTransportPhononic_RecursiveDecouple_Adversarial,adversarial,transport_dynamics,0.8928571428571429,0.006807187408935392,0.20129051168681286,1.0,0.16726250302373377,0.8198334476120632,0.8928571428571429,0.5855400437691199,0.4490202344459585,2.2019777413393142,True,HeatTransportPhononic,RecursiveDecouple
AndersonLocalization_MonotonicFake_Adversarial,adversarial,localization_behavior,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,AndersonLocalization,MonotonicFake
AndersonLocalization_OrderPreserve_Adversarial,adversarial,localization_behavior,-0.3214285714285715,0.4820720382996776,0.4970434213230988,1.0,0.2995190852789272,0.6859059221445751,0.3214285714285715,0.2672612419124244,0.24002236468340274,-0.7723674656662353,True,AndersonLocalization,OrderPreserve
AndersonLocalization_MirroredRecursion_Adversarial,adversarial,localization_behavior,-1.0,0.0,0.0,1.0,0.5398443688478491,0.7357762703373272,1.0,0.8509629433967634,0.2400223646834027,-2.4345015519340416,True,AndersonLocalization,MirroredRecursion
AndersonLocalization_StaticScale_Adversarial,adversarial,localization_behavior,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.8598109033959204,0.01495920677641025,True,AndersonLocalization,StaticScale
AndersonLocalization_SyntheticInvert_Adversarial,adversarial,localization_behavior,-1.0,0.0,0.0,1.0,0.342285318587667,0.7405300864984441,1.0,0.8017837257372733,0.11174713108659859,-2.4345015519340416,True,AndersonLocalization,SyntheticInvert
AndersonLocalization_PseudoDepth_Adversarial,adversarial,localization_behavior,0.07559289460184546,0.8720358604209588,0.2246701130882902,1.0,0.21000924784030775,0.5764639291734537,0.07559289460184546,0.5345224838248488,0.06323829739788252,0.20012103574096585,True,AndersonLocalization,PseudoDepth
AndersonLocalization_RecursiveDecouple_Adversarial,adversarial,localization_behavior,0.8928571428571429,0.006807187408935392,0.18902447531816813,1.0,0.16726250302373377,0.8459890587085332,0.8928571428571429,0.6078306738548308,0.2400223646834022,2.2019777413393142,True,AndersonLocalization,RecursiveDecouple
PhotonicBandgapLocalization_MonotonicFake_Adversarial,adversarial,localization_behavior,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,PhotonicBandgapLocalization,MonotonicFake
PhotonicBandgapLocalization_OrderPreserve_Adversarial,adversarial,localization_behavior,-0.03571428571428572,0.9394082054712856,0.24419043978265362,1.0,0.2995190852789272,0.5264231013543837,0.03571428571428572,0.6078306738548308,0.45084941803642226,-0.07252153460610591,True,PhotonicBandgapLocalization,OrderPreserve
PhotonicBandgapLocalization_MirroredRecursion_Adversarial,adversarial,localization_behavior,-1.0,0.0,0.0,1.0,0.5398443688478491,0.7328844233134981,1.0,0.8783100656536799,0.45084941803642226,-2.4345015519340416,True,PhotonicBandgapLocalization,MirroredRecursion
PhotonicBandgapLocalization_StaticScale_Adversarial,adversarial,localization_behavior,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.0,0.01495920677641025,True,PhotonicBandgapLocalization,StaticScale
PhotonicBandgapLocalization_SyntheticInvert_Adversarial,adversarial,localization_behavior,-1.0,0.0,0.0,1.0,0.1862141672227149,0.7266703002734906,1.0,0.8017837257372733,0.22523477879422626,-2.4345015519340416,True,PhotonicBandgapLocalization,SyntheticInvert
PhotonicBandgapLocalization_PseudoDepth_Adversarial,adversarial,localization_behavior,0.07559289460184546,0.8720358604209588,0.20963473694476323,1.0,0.21000924784030775,0.5703012846019708,0.07559289460184546,0.46291004988627565,0.07730697962668046,0.20012103574096585,True,PhotonicBandgapLocalization,PseudoDepth
PhotonicBandgapLocalization_RecursiveDecouple_Adversarial,adversarial,localization_behavior,0.8928571428571429,0.006807187408935392,0.18508365152897088,1.0,0.16726250302373377,0.7841054411372617,0.8928571428571429,0.6078306738548308,0.4508494180364224,2.2019777413393142,True,PhotonicBandgapLocalization,RecursiveDecouple
PhaseEquilibriumMulticomponent_MonotonicFake_Adversarial,adversarial,equilibrium_systems,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,PhaseEquilibriumMulticomponent,MonotonicFake
PhaseEquilibriumMulticomponent_OrderPreserve_Adversarial,adversarial,equilibrium_systems,0.4642857142857144,0.2939341076002517,0.6239339760706721,1.0,0.2995190852789272,0.537965037657512,0.4642857142857144,0.12156613477096616,0.2400223646834028,1.1522088447491206,True,PhaseEquilibriumMulticomponent,OrderPreserve
PhaseEquilibriumMulticomponent_MirroredRecursion_Adversarial,adversarial,equilibrium_systems,-1.0,0.0,0.0,1.0,0.5398443688478491,0.7357762703373272,1.0,0.8509629433967634,0.2400223646834027,-2.4345015519340416,True,PhaseEquilibriumMulticomponent,MirroredRecursion
PhaseEquilibriumMulticomponent_StaticScale_Adversarial,adversarial,equilibrium_systems,0.0,1.0,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.8598109033959204,0.01495920677641025,True,PhaseEquilibriumMulticomponent,StaticScale
