depth,sector,domain_coherence,boundary_retention,degradation_penetration,persistence_density,recursive_domain_stability,rg_similarity,classification
20,Projection-Antisymmetry,0.6271,0.6402,0.3017,0.6528,0.64,0.7438,COLLAPSING
1,Projection-Neutral,0.8298,0.8081,0.2665,0.84,0.826,0.8477,WEAKLY_DOMAINED
2,Projection-Neutral,0.8207,0.797,0.2481,0.8001,0.806,0.8604,WEAKLY_DOMAINED
4,Projection-Neutral,0.7782,0.778,0.2658,0.7703,0.7755,0.8627,WEAKLY_DOMAINED
6,Projection-Neutral,0.7689,0.7758,0.2624,0.7558,0.7668,0.8314,WEAKLY_DOMAINED
8,Projection-Neutral,0.737,0.7603,0.263,0.7524,0.7499,0.8348,WEAKLY_DOMAINED
12,Projection-Neutral,0.7035,0.7181,0.2953,0.7226,0.7148,0.8113,WEAKLY_DOMAINED
16,Projection-Neutral,0.663,0.6598,0.2866,0.6711,0.6646,0.7512,BOUNDARY-DEGRADING
20,Projection-Neutral,0.6321,0.642,0.3083,0.6365,0.6369,0.7414,COLLAPSING
1,Antisymmetry-Neutral,0.8227,0.832,0.2324,0.8363,0.8303,0.8684,WEAKLY_DOMAINED
2,Antisymmetry-Neutral,0.8113,0.807,0.2336,0.7998,0.806,0.8591,WEAKLY_DOMAINED
4,Antisymmetry-Neutral,0.8001,0.7767,0.2698,0.7708,0.7825,0.8336,WEAKLY_DOMAINED
6,Antisymmetry-Neutral,0.7803,0.7817,0.2759,0.775,0.779,0.8489,WEAKLY_DOMAINED
8,Antisymmetry-Neutral,0.7282,0.76,0.2721,0.7599,0.7494,0.8021,WEAKLY_DOMAINED
12,Antisymmetry-Neutral,0.7079,0.692,0.3072,0.7086,0.7028,0.8074,BOUNDARY-DEGRADING
16,Antisymmetry-Neutral,0.6558,0.6607,0.3137,0.682,0.6661,0.7818,BOUNDARY-DEGRADING
20,Antisymmetry-Neutral,0.6373,0.65,0.305,0.6279,0.6384,0.7023,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.8165,0.8096,0.2549,0.8243,0.8168,0.9002,WEAKLY_DOMAINED
2,Projection-Antisymmetry-Neutral,0.8143,0.83,0.237,0.8061,0.8168,0.8809,WEAKLY_DOMAINED
4,Projection-Antisymmetry-Neutral,0.8024,0.8017,0.2515,0.7922,0.7988,0.8661,WEAKLY_DOMAINED
6,Projection-Antisymmetry-Neutral,0.7631,0.7809,0.2781,0.7726,0.7722,0.8592,WEAKLY_DOMAINED
8,Projection-Antisymmetry-Neutral,0.7448,0.7323,0.2902,0.7514,0.7428,0.8106,WEAKLY_DOMAINED
12,Projection-Antisymmetry-Neutral,0.7114,0.7015,0.2963,0.6902,0.701,0.7636,WEAKLY_DOMAINED
16,Projection-Antisymmetry-Neutral,0.6624,0.6842,0.3119,0.6703,0.6723,0.7554,BOUNDARY-DEGRADING
20,Projection-Antisymmetry-Neutral,0.6426,0.6441,0.3232,0.6334,0.64,0.7384,COLLAPSING
