depth,sector,condition,rg_similarity,class_transition_stability,bifurcation_strength,merge_coherence,collapse_predictability,relational_class_persistence,transition_entropy,classification
32,Projection,MergeSplitDynamics,0.3893,0.3576,0.3508,0.3605,0.3555,0.3635,0.0881,TRANSITION-FAILED
40,Projection,MergeSplitDynamics,0.3265,0.321,0.2988,0.3175,0.3042,0.3112,0.066,TRANSITION-FAILED
48,Projection,MergeSplitDynamics,0.2934,0.2722,0.2726,0.2805,0.2621,0.2687,0.0575,TRANSITION-FAILED
64,Projection,MergeSplitDynamics,0.234,0.2264,0.2157,0.23,0.2167,0.2165,0.0491,TRANSITION-FAILED
80,Projection,MergeSplitDynamics,0.201,0.1914,0.1788,0.1893,0.1766,0.1808,0.046,TRANSITION-FAILED
96,Projection,MergeSplitDynamics,0.1725,0.1631,0.1549,0.1636,0.1523,0.1597,0.0403,TRANSITION-FAILED
1,Projection,RecursiveClassEvolution,0.9279,0.9012,0.8831,0.8919,0.8505,0.898,0.2174,TRANSITION-STABLE
2,Projection,RecursiveClassEvolution,0.8945,0.8379,0.845,0.8556,0.8348,0.873,0.2093,TRANSITION-STABLE
4,Projection,RecursiveClassEvolution,0.8322,0.7742,0.7674,0.7813,0.7535,0.7954,0.1852,TRANSITION-STABLE
6,Projection,RecursiveClassEvolution,0.7514,0.728,0.7044,0.7167,0.6818,0.7331,0.1751,TRANSITION-BOUNDED
8,Projection,RecursiveClassEvolution,0.6932,0.6785,0.6384,0.674,0.6481,0.6831,0.1541,TRANSITION-BOUNDED
12,Projection,RecursiveClassEvolution,0.6193,0.5977,0.571,0.568,0.5543,0.5789,0.1329,TRANSITION-PARTIAL
16,Projection,RecursiveClassEvolution,0.5386,0.5317,0.5101,0.506,0.504,0.5201,0.1302,TRANSITION-DEGRADING
20,Projection,RecursiveClassEvolution,0.4844,0.475,0.4473,0.4528,0.4458,0.4593,0.1113,TRANSITION-DEGRADING
24,Projection,RecursiveClassEvolution,0.439,0.4165,0.4094,0.4209,0.4042,0.4345,0.1071,TRANSITION-DEGRADING
32,Projection,RecursiveClassEvolution,0.3833,0.3583,0.344,0.3508,0.3417,0.3617,0.0797,TRANSITION-FAILED
40,Projection,RecursiveClassEvolution,0.3219,0.3116,0.3065,0.3099,0.2968,0.3071,0.0725,TRANSITION-FAILED
48,Projection,RecursiveClassEvolution,0.2916,0.28,0.2604,0.2761,0.2566,0.2755,0.0672,TRANSITION-FAILED
64,Projection,RecursiveClassEvolution,0.2325,0.2205,0.2145,0.2198,0.2085,0.2193,0.0515,TRANSITION-FAILED
80,Projection,RecursiveClassEvolution,0.1921,0.1875,0.177,0.1879,0.1777,0.1901,0.0476,TRANSITION-FAILED
96,Projection,RecursiveClassEvolution,0.1682,0.1583,0.1556,0.1583,0.1515,0.1586,0.0404,TRANSITION-FAILED
1,Projection,CollapseTransitionMapping,0.9118,0.8754,0.8826,0.8829,0.885,0.8754,0.2196,TRANSITION-STABLE
2,Projection,CollapseTransitionMapping,0.9006,0.8536,0.8418,0.8204,0.8557,0.8246,0.2074,TRANSITION-STABLE
4,Projection,CollapseTransitionMapping,0.8082,0.7735,0.7797,0.7812,0.7756,0.7661,0.1875,TRANSITION-STABLE
6,Projection,CollapseTransitionMapping,0.7404,0.6982,0.7223,0.7045,0.7013,0.7095,0.1753,TRANSITION-BOUNDED
8,Projection,CollapseTransitionMapping,0.6967,0.6483,0.6598,0.6493,0.6569,0.6334,0.1581,TRANSITION-PARTIAL
12,Projection,CollapseTransitionMapping,0.6214,0.5805,0.5915,0.5755,0.5865,0.5709,0.1465,TRANSITION-PARTIAL
16,Projection,CollapseTransitionMapping,0.5418,0.5069,0.5091,0.5107,0.5207,0.4953,0.1279,TRANSITION-DEGRADING
20,Projection,CollapseTransitionMapping,0.4774,0.4624,0.4736,0.4567,0.468,0.4444,0.123,TRANSITION-DEGRADING
24,Projection,CollapseTransitionMapping,0.4521,0.4156,0.4291,0.4143,0.418,0.4181,0.1077,TRANSITION-DEGRADING
32,Projection,CollapseTransitionMapping,0.3753,0.3563,0.3495,0.359,0.3492,0.3523,0.0932,TRANSITION-FAILED
40,Projection,CollapseTransitionMapping,0.3176,0.3078,0.3114,0.3002,0.3129,0.304,0.0708,TRANSITION-FAILED
48,Projection,CollapseTransitionMapping,0.286,0.2734,0.2698,0.2704,0.2717,0.2664,0.0694,TRANSITION-FAILED
64,Projection,CollapseTransitionMapping,0.2274,0.2224,0.2186,0.2132,0.2185,0.2171,0.0545,TRANSITION-FAILED
80,Projection,CollapseTransitionMapping,0.1976,0.1824,0.1858,0.1842,0.1808,0.1815,0.0415,TRANSITION-FAILED
96,Projection,CollapseTransitionMapping,0.1667,0.1564,0.1588,0.1578,0.1598,0.1591,0.0382,TRANSITION-FAILED
1,Projection,PerturbationDrivenMigration,0.9338,0.8733,0.884,0.8764,0.8665,0.8599,0.2069,TRANSITION-STABLE
2,Projection,PerturbationDrivenMigration,0.8833,0.8359,0.827,0.8316,0.8348,0.8195,0.2134,TRANSITION-STABLE
4,Projection,PerturbationDrivenMigration,0.7962,0.7695,0.7726,0.7546,0.7677,0.7681,0.1875,TRANSITION-STABLE
6,Projection,PerturbationDrivenMigration,0.7569,0.7217,0.7178,0.7207,0.6982,0.7117,0.1798,TRANSITION-BOUNDED
8,Projection,PerturbationDrivenMigration,0.6801,0.6737,0.6644,0.6545,0.6519,0.6464,0.1635,TRANSITION-PARTIAL
12,Projection,PerturbationDrivenMigration,0.6137,0.5696,0.5741,0.5826,0.5767,0.575,0.1408,TRANSITION-PARTIAL
16,Projection,PerturbationDrivenMigration,0.5353,0.5146,0.5036,0.5104,0.5057,0.5027,0.1227,TRANSITION-DEGRADING
20,Projection,PerturbationDrivenMigration,0.4743,0.4572,0.4651,0.4608,0.4604,0.4571,0.125,TRANSITION-DEGRADING
24,Projection,PerturbationDrivenMigration,0.439,0.4172,0.4207,0.4176,0.4173,0.407,0.1076,TRANSITION-DEGRADING
32,Projection,PerturbationDrivenMigration,0.3745,0.348,0.3567,0.3487,0.3496,0.3565,0.0965,TRANSITION-FAILED
40,Projection,PerturbationDrivenMigration,0.3234,0.3147,0.3012,0.3053,0.3003,0.31,0.0736,TRANSITION-FAILED
48,Projection,PerturbationDrivenMigration,0.2872,0.2695,0.2736,0.2677,0.2643,0.271,0.0738,TRANSITION-FAILED
64,Projection,PerturbationDrivenMigration,0.229,0.2172,0.2194,0.2197,0.2117,0.2167,0.0551,TRANSITION-FAILED
80,Projection,PerturbationDrivenMigration,0.1926,0.1813,0.1833,0.1852,0.1807,0.1845,0.0507,TRANSITION-FAILED
96,Projection,PerturbationDrivenMigration,0.1648,0.1586,0.1609,0.1601,0.1529,0.1584,0.0414,TRANSITION-FAILED
1,Projection,NullTransitionControl,0.7425,0.7407,0.726,0.6971,0.6995,0.7234,0.3344,TRANSITION-BOUNDED
2,Projection,NullTransitionControl,0.7032,0.6959,0.7074,0.6884,0.6684,0.6626,0.2955,TRANSITION-BOUNDED
4,Projection,NullTransitionControl,0.6465,0.6371,0.65,0.6208,0.6091,0.6094,0.2696,TRANSITION-PARTIAL
6,Projection,NullTransitionControl,0.5944,0.5781,0.5848,0.567,0.5644,0.5717,0.2649,TRANSITION-PARTIAL
8,Projection,NullTransitionControl,0.5677,0.557,0.5485,0.5378,0.537,0.5176,0.2429,TRANSITION-DEGRADING
12,Projection,NullTransitionControl,0.4927,0.463,0.4651,0.4625,0.4673,0.4609,0.2063,TRANSITION-DEGRADING
16,Projection,NullTransitionControl,0.4422,0.4193,0.4214,0.4124,0.4125,0.4174,0.1946,TRANSITION-DEGRADING
20,Projection,NullTransitionControl,0.3891,0.3858,0.3875,0.3736,0.3755,0.3624,0.1716,TRANSITION-FAILED
24,Projection,NullTransitionControl,0.3474,0.3411,0.3418,0.3437,0.3485,0.3347,0.1534,TRANSITION-FAILED
32,Projection,NullTransitionControl,0.3041,0.292,0.2911,0.2805,0.2836,0.2817,0.1281,TRANSITION-FAILED
40,Projection,NullTransitionControl,0.2588,0.2497,0.257,0.2464,0.2496,0.2492,0.109,TRANSITION-FAILED
48,Projection,NullTransitionControl,0.2253,0.2256,0.2286,0.2168,0.2213,0.2182,0.0909,TRANSITION-FAILED
64,Projection,NullTransitionControl,0.1877,0.1846,0.1785,0.1809,0.1775,0.173,0.0756,TRANSITION-FAILED
80,Projection,NullTransitionControl,0.1507,0.1497,0.1479,0.1465,0.1482,0.1443,0.0636,TRANSITION-FAILED
96,Projection,NullTransitionControl,0.1315,0.1299,0.1317,0.1297,0.1316,0.1256,0.0546,TRANSITION-FAILED
1,Antisymmetry,TransitionPathwayTracking,0.9025,0.8956,0.8591,0.8463,0.8299,0.8752,0.229,TRANSITION-STABLE
2,Antisymmetry,TransitionPathwayTracking,0.891,0.8203,0.7913,0.8391,0.7998,0.8014,0.2164,TRANSITION-STABLE
4,Antisymmetry,TransitionPathwayTracking,0.8042,0.752,0.7403,0.7469,0.7223,0.7501,0.1803,TRANSITION-BOUNDED
6,Antisymmetry,TransitionPathwayTracking,0.7358,0.6917,0.6777,0.6984,0.6867,0.6914,0.1616,TRANSITION-BOUNDED
8,Antisymmetry,TransitionPathwayTracking,0.6993,0.6472,0.6265,0.6338,0.6251,0.6478,0.1692,TRANSITION-PARTIAL
12,Antisymmetry,TransitionPathwayTracking,0.5937,0.5661,0.5571,0.5769,0.5518,0.5682,0.1464,TRANSITION-PARTIAL
16,Antisymmetry,TransitionPathwayTracking,0.5341,0.5073,0.4919,0.5079,0.4868,0.4915,0.1313,TRANSITION-DEGRADING
20,Antisymmetry,TransitionPathwayTracking,0.4818,0.448,0.4507,0.4609,0.4352,0.4421,0.1079,TRANSITION-DEGRADING
24,Antisymmetry,TransitionPathwayTracking,0.4343,0.4223,0.4007,0.4048,0.4052,0.3984,0.1109,TRANSITION-DEGRADING
32,Antisymmetry,TransitionPathwayTracking,0.3642,0.3465,0.3367,0.3421,0.3309,0.3379,0.0803,TRANSITION-FAILED
40,Antisymmetry,TransitionPathwayTracking,0.3154,0.3034,0.291,0.2957,0.2886,0.3018,0.0698,TRANSITION-FAILED
48,Antisymmetry,TransitionPathwayTracking,0.2873,0.2701,0.2579,0.269,0.2521,0.2614,0.0651,TRANSITION-FAILED
64,Antisymmetry,TransitionPathwayTracking,0.2264,0.2196,0.2099,0.2182,0.2036,0.2144,0.0521,TRANSITION-FAILED
80,Antisymmetry,TransitionPathwayTracking,0.1878,0.1825,0.174,0.183,0.1781,0.1824,0.0413,TRANSITION-FAILED
96,Antisymmetry,TransitionPathwayTracking,0.1646,0.1571,0.1528,0.1565,0.1527,0.1567,0.0356,TRANSITION-FAILED
1,Antisymmetry,ClassBifurcationAnalysis,0.9068,0.8633,0.8725,0.8693,0.829,0.8333,0.2249,TRANSITION-STABLE
2,Antisymmetry,ClassBifurcationAnalysis,0.8727,0.8144,0.8154,0.8333,0.8175,0.7934,0.2244,TRANSITION-STABLE
4,Antisymmetry,ClassBifurcationAnalysis,0.7978,0.743,0.7407,0.751,0.728,0.7365,0.1925,TRANSITION-BOUNDED
6,Antisymmetry,ClassBifurcationAnalysis,0.7277,0.6997,0.6999,0.6775,0.682,0.6885,0.1705,TRANSITION-BOUNDED
8,Antisymmetry,ClassBifurcationAnalysis,0.6918,0.6373,0.648,0.6426,0.6335,0.6255,0.1835,TRANSITION-PARTIAL
12,Antisymmetry,ClassBifurcationAnalysis,0.5898,0.5665,0.5627,0.5613,0.5556,0.5645,0.1597,TRANSITION-PARTIAL
16,Antisymmetry,ClassBifurcationAnalysis,0.5367,0.5089,0.5006,0.4947,0.4947,0.483,0.1235,TRANSITION-DEGRADING
20,Antisymmetry,ClassBifurcationAnalysis,0.4667,0.4498,0.4439,0.4388,0.4366,0.4328,0.1192,TRANSITION-DEGRADING
24,Antisymmetry,ClassBifurcationAnalysis,0.433,0.4077,0.4209,0.4002,0.4057,0.4076,0.1124,TRANSITION-DEGRADING
32,Antisymmetry,ClassBifurcationAnalysis,0.3594,0.3544,0.3418,0.3477,0.3402,0.3416,0.083,TRANSITION-FAILED
40,Antisymmetry,ClassBifurcationAnalysis,0.3191,0.3022,0.3054,0.2998,0.288,0.3008,0.0844,TRANSITION-FAILED
48,Antisymmetry,ClassBifurcationAnalysis,0.2852,0.2598,0.2679,0.2623,0.2658,0.2648,0.0733,TRANSITION-FAILED
64,Antisymmetry,ClassBifurcationAnalysis,0.2272,0.2138,0.2142,0.2106,0.2084,0.2133,0.055,TRANSITION-FAILED
80,Antisymmetry,ClassBifurcationAnalysis,0.1899,0.1774,0.1777,0.1794,0.1742,0.1735,0.0433,TRANSITION-FAILED
96,Antisymmetry,ClassBifurcationAnalysis,0.1636,0.1575,0.1531,0.1528,0.1505,0.154,0.0395,TRANSITION-FAILED
1,Antisymmetry,MergeSplitDynamics,0.9046,0.8807,0.8387,0.8656,0.831,0.8577,0.2023,TRANSITION-STABLE
2,Antisymmetry,MergeSplitDynamics,0.8695,0.8366,0.7896,0.8217,0.8145,0.8302,0.2197,TRANSITION-STABLE
4,Antisymmetry,MergeSplitDynamics,0.7982,0.7489,0.7336,0.7678,0.735,0.7415,0.1743,TRANSITION-BOUNDED
6,Antisymmetry,MergeSplitDynamics,0.7394,0.6937,0.6953,0.7127,0.6763,0.6822,0.1732,TRANSITION-BOUNDED
8,Antisymmetry,MergeSplitDynamics,0.6929,0.6497,0.645,0.6523,0.6257,0.6483,0.1605,TRANSITION-PARTIAL
12,Antisymmetry,MergeSplitDynamics,0.6013,0.5792,0.5445,0.5842,0.5405,0.5676,0.1301,TRANSITION-PARTIAL
16,Antisymmetry,MergeSplitDynamics,0.5264,0.502,0.4946,0.5187,0.4799,0.4953,0.12,TRANSITION-DEGRADING
20,Antisymmetry,MergeSplitDynamics,0.4841,0.4478,0.4424,0.4624,0.4377,0.4552,0.1026,TRANSITION-DEGRADING
24,Antisymmetry,MergeSplitDynamics,0.4363,0.407,0.4022,0.424,0.4023,0.3997,0.102,TRANSITION-DEGRADING
32,Antisymmetry,MergeSplitDynamics,0.3753,0.345,0.3356,0.3493,0.3408,0.3385,0.0833,TRANSITION-FAILED
40,Antisymmetry,MergeSplitDynamics,0.3182,0.2981,0.2984,0.2993,0.2854,0.3017,0.0808,TRANSITION-FAILED
48,Antisymmetry,MergeSplitDynamics,0.2872,0.27,0.2641,0.2651,0.2597,0.261,0.0623,TRANSITION-FAILED
64,Antisymmetry,MergeSplitDynamics,0.2255,0.2158,0.2081,0.2163,0.2107,0.2097,0.0517,TRANSITION-FAILED
80,Antisymmetry,MergeSplitDynamics,0.1932,0.1806,0.1787,0.1837,0.1709,0.1793,0.0485,TRANSITION-FAILED
96,Antisymmetry,MergeSplitDynamics,0.1634,0.1547,0.1529,0.1606,0.1512,0.1563,0.0394,TRANSITION-FAILED
1,Antisymmetry,RecursiveClassEvolution,0.9131,0.8476,0.8359,0.8496,0.8165,0.8518,0.2301,TRANSITION-STABLE
2,Antisymmetry,RecursiveClassEvolution,0.852,0.8435,0.8018,0.8186,0.7703,0.8299,0.1968,TRANSITION-STABLE
4,Antisymmetry,RecursiveClassEvolution,0.796,0.7519,0.7445,0.7567,0.7052,0.7458,0.194,TRANSITION-BOUNDED
6,Antisymmetry,RecursiveClassEvolution,0.7225,0.7063,0.6659,0.7005,0.6811,0.7004,0.1922,TRANSITION-BOUNDED
8,Antisymmetry,RecursiveClassEvolution,0.6751,0.6402,0.6141,0.6278,0.6136,0.6362,0.1631,TRANSITION-PARTIAL
12,Antisymmetry,RecursiveClassEvolution,0.6056,0.5741,0.549,0.5664,0.5288,0.5691,0.1433,TRANSITION-PARTIAL
16,Antisymmetry,RecursiveClassEvolution,0.5308,0.5116,0.4768,0.5065,0.4823,0.5015,0.1377,TRANSITION-DEGRADING
20,Antisymmetry,RecursiveClassEvolution,0.4687,0.4494,0.4369,0.4557,0.4298,0.4608,0.1271,TRANSITION-DEGRADING
24,Antisymmetry,RecursiveClassEvolution,0.4281,0.4053,0.3894,0.4128,0.3895,0.4172,0.1096,TRANSITION-DEGRADING
32,Antisymmetry,RecursiveClassEvolution,0.3626,0.3545,0.3308,0.3383,0.3388,0.342,0.0923,TRANSITION-FAILED
40,Antisymmetry,RecursiveClassEvolution,0.3211,0.3053,0.2906,0.2955,0.2934,0.3067,0.0737,TRANSITION-FAILED
48,Antisymmetry,RecursiveClassEvolution,0.2776,0.2622,0.2606,0.2666,0.2478,0.2692,0.0657,TRANSITION-FAILED
64,Antisymmetry,RecursiveClassEvolution,0.2213,0.2181,0.2113,0.2091,0.2066,0.212,0.0517,TRANSITION-FAILED
80,Antisymmetry,RecursiveClassEvolution,0.1916,0.1848,0.1728,0.1795,0.1723,0.1784,0.0443,TRANSITION-FAILED
96,Antisymmetry,RecursiveClassEvolution,0.1633,0.1524,0.1475,0.1554,0.149,0.1566,0.0426,TRANSITION-FAILED
1,Antisymmetry,CollapseTransitionMapping,0.8816,0.8444,0.8361,0.8268,0.8541,0.8321,0.2438,TRANSITION-STABLE
2,Antisymmetry,CollapseTransitionMapping,0.8456,0.8099,0.8227,0.8055,0.8264,0.8014,0.2124,TRANSITION-STABLE
4,Antisymmetry,CollapseTransitionMapping,0.7798,0.7475,0.7623,0.7293,0.7407,0.7452,0.1925,TRANSITION-BOUNDED
6,Antisymmetry,CollapseTransitionMapping,0.7284,0.6793,0.6976,0.6966,0.6885,0.6758,0.1769,TRANSITION-BOUNDED
8,Antisymmetry,CollapseTransitionMapping,0.6781,0.6372,0.6263,0.6432,0.6421,0.6351,0.1707,TRANSITION-PARTIAL
12,Antisymmetry,CollapseTransitionMapping,0.6027,0.5525,0.5679,0.5592,0.5686,0.5492,0.1552,TRANSITION-DEGRADING
16,Antisymmetry,CollapseTransitionMapping,0.5355,0.4893,0.502,0.5012,0.5051,0.4832,0.1364,TRANSITION-DEGRADING
20,Antisymmetry,CollapseTransitionMapping,0.48,0.4408,0.4379,0.4365,0.4454,0.4394,0.1243,TRANSITION-DEGRADING
24,Antisymmetry,CollapseTransitionMapping,0.4246,0.4007,0.4101,0.4092,0.4102,0.3931,0.1146,TRANSITION-DEGRADING
32,Antisymmetry,CollapseTransitionMapping,0.3661,0.3454,0.3495,0.3374,0.3453,0.3376,0.0866,TRANSITION-FAILED
40,Antisymmetry,CollapseTransitionMapping,0.3144,0.304,0.2974,0.2898,0.2917,0.2841,0.0738,TRANSITION-FAILED
48,Antisymmetry,CollapseTransitionMapping,0.2818,0.2575,0.2661,0.2645,0.2581,0.2527,0.0718,TRANSITION-FAILED
64,Antisymmetry,CollapseTransitionMapping,0.2277,0.2136,0.2162,0.2105,0.2131,0.2097,0.0537,TRANSITION-FAILED
80,Antisymmetry,CollapseTransitionMapping,0.1869,0.1747,0.1744,0.179,0.181,0.1745,0.0466,TRANSITION-FAILED
96,Antisymmetry,CollapseTransitionMapping,0.1637,0.1545,0.1566,0.1499,0.1564,0.1481,0.043,TRANSITION-FAILED
1,Antisymmetry,PerturbationDrivenMigration,0.9082,0.8455,0.853,0.8283,0.8327,0.8373,0.2221,TRANSITION-STABLE
2,Antisymmetry,PerturbationDrivenMigration,0.8452,0.8315,0.8239,0.81,0.7879,0.8018,0.2347,TRANSITION-STABLE
4,Antisymmetry,PerturbationDrivenMigration,0.7938,0.7576,0.7436,0.724,0.7167,0.7455,0.1928,TRANSITION-BOUNDED
6,Antisymmetry,PerturbationDrivenMigration,0.7124,0.7049,0.6917,0.6861,0.6734,0.6828,0.1897,TRANSITION-BOUNDED
8,Antisymmetry,PerturbationDrivenMigration,0.6668,0.6414,0.6285,0.6312,0.6232,0.6466,0.1765,TRANSITION-PARTIAL
12,Antisymmetry,PerturbationDrivenMigration,0.5759,0.5657,0.562,0.549,0.5368,0.5638,0.146,TRANSITION-DEGRADING
16,Antisymmetry,PerturbationDrivenMigration,0.5097,0.4871,0.493,0.4953,0.4863,0.4868,0.1329,TRANSITION-DEGRADING
20,Antisymmetry,PerturbationDrivenMigration,0.46,0.4411,0.4359,0.4493,0.4353,0.4405,0.1192,TRANSITION-DEGRADING
24,Antisymmetry,PerturbationDrivenMigration,0.4268,0.4111,0.4057,0.3927,0.4007,0.4039,0.1028,TRANSITION-DEGRADING
32,Antisymmetry,PerturbationDrivenMigration,0.362,0.345,0.3471,0.3406,0.3361,0.3319,0.0876,TRANSITION-FAILED
40,Antisymmetry,PerturbationDrivenMigration,0.313,0.2929,0.2917,0.2934,0.2857,0.2984,0.083,TRANSITION-FAILED
48,Antisymmetry,PerturbationDrivenMigration,0.2762,0.2668,0.2573,0.2536,0.2584,0.2601,0.0673,TRANSITION-FAILED
64,Antisymmetry,PerturbationDrivenMigration,0.2268,0.2175,0.2131,0.2061,0.2035,0.2076,0.0554,TRANSITION-FAILED
80,Antisymmetry,PerturbationDrivenMigration,0.1871,0.1812,0.1796,0.1726,0.1705,0.1742,0.0531,TRANSITION-FAILED
96,Antisymmetry,PerturbationDrivenMigration,0.1589,0.153,0.1504,0.1555,0.1524,0.1521,0.0406,TRANSITION-FAILED
1,Antisymmetry,NullTransitionControl,0.7252,0.6864,0.6807,0.696,0.6838,0.6951,0.3221,TRANSITION-BOUNDED
2,Antisymmetry,NullTransitionControl,0.6785,0.6564,0.6799,0.672,0.6511,0.6591,0.3202,TRANSITION-BOUNDED
4,Antisymmetry,NullTransitionControl,0.6108,0.6059,0.5921,0.5914,0.5952,0.593,0.2723,TRANSITION-PARTIAL
6,Antisymmetry,NullTransitionControl,0.5877,0.5461,0.5703,0.5429,0.567,0.5311,0.2719,TRANSITION-DEGRADING
8,Antisymmetry,NullTransitionControl,0.5359,0.5242,0.5285,0.5199,0.5003,0.5168,0.244,TRANSITION-DEGRADING
12,Antisymmetry,NullTransitionControl,0.4697,0.4477,0.4651,0.4508,0.4547,0.4313,0.2067,TRANSITION-DEGRADING
16,Antisymmetry,NullTransitionControl,0.416,0.4031,0.4125,0.3947,0.4068,0.3867,0.1798,TRANSITION-DEGRADING
20,Antisymmetry,NullTransitionControl,0.3624,0.3538,0.3556,0.3505,0.3595,0.3601,0.1692,TRANSITION-FAILED
24,Antisymmetry,NullTransitionControl,0.3318,0.336,0.3366,0.3279,0.3196,0.3256,0.1535,TRANSITION-FAILED
32,Antisymmetry,NullTransitionControl,0.2797,0.2732,0.2781,0.2737,0.2691,0.265,0.1356,TRANSITION-FAILED
40,Antisymmetry,NullTransitionControl,0.2427,0.2432,0.2378,0.2354,0.2437,0.232,0.1148,TRANSITION-FAILED
