operator_A,operator_B,domain_A,domain_B,cg_rate_A,cg_rate_B,comp_cg_rate,comp_continuity,comp_reversibility,cg_preservation_ratio,preserves_CG
multiplicative,synchronization,gray_scott,coupled_map_lattice,0.35,0.168,0.259,0.2326,0.4967,0.74,0
multiplicative,synchronization,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
multiplicative,recursive_feedback,gray_scott,kuramoto,0.35,0.358,0.354,0.2607,0.6609,0.9888,1
multiplicative,recursive_feedback,graph_diffusion,gray_scott,0.0,0.35,0.175,0.221,0.3665,0.5,0
multiplicative,recursive_feedback,graph_diffusion,kuramoto,0.0,0.358,0.179,0.1922,0.2952,0.5,0
multiplicative,competitive_exclusion,gray_scott,graph_diffusion,0.35,0.0,0.175,0.221,0.3665,0.5,0
multiplicative,competitive_exclusion,gray_scott,replicator,0.35,0.0,0.175,0.1859,0.376,0.5,0
multiplicative,competitive_exclusion,graph_diffusion,replicator,0.0,0.0,0.0,0.1175,0.0104,0.0,0
multiplicative,diffusion,gray_scott,cellular_automata,0.35,0.0,0.175,0.2541,0.4083,0.5,0
multiplicative,diffusion,gray_scott,coupled_map_lattice,0.35,0.168,0.259,0.2326,0.4967,0.74,0
multiplicative,diffusion,graph_diffusion,cellular_automata,0.0,0.0,0.0,0.1856,0.0426,0.0,0
multiplicative,diffusion,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
multiplicative,hierarchical_nesting,gray_scott,population,0.35,0.238,0.294,0.2478,0.5491,0.84,1
multiplicative,hierarchical_nesting,gray_scott,coupled_map_lattice,0.35,0.168,0.259,0.2326,0.4967,0.74,0
multiplicative,hierarchical_nesting,graph_diffusion,population,0.0,0.238,0.119,0.1794,0.1835,0.5,0
multiplicative,hierarchical_nesting,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
multiplicative,constraint_propagation,gray_scott,coupled_map_lattice,0.35,0.168,0.259,0.2326,0.4967,0.74,0
multiplicative,constraint_propagation,gray_scott,cellular_automata,0.35,0.0,0.175,0.2541,0.4083,0.5,0
multiplicative,constraint_propagation,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
multiplicative,constraint_propagation,graph_diffusion,cellular_automata,0.0,0.0,0.0,0.1856,0.0426,0.0,0
multiplicative,resonance_locking,gray_scott,kuramoto,0.35,0.358,0.354,0.2607,0.6609,0.9888,1
multiplicative,resonance_locking,graph_diffusion,gray_scott,0.0,0.35,0.175,0.221,0.3665,0.5,0
multiplicative,resonance_locking,graph_diffusion,kuramoto,0.0,0.358,0.179,0.1922,0.2952,0.5,0
branching,synchronization,lotka_volterra,graph_diffusion,0.0,0.0,0.0,0.1145,0.0528,0.0,0
branching,synchronization,lotka_volterra,coupled_map_lattice,0.0,0.168,0.084,0.1261,0.183,0.5,0
branching,synchronization,cellular_automata,graph_diffusion,0.0,0.0,0.0,0.1856,0.0426,0.0,0
branching,synchronization,cellular_automata,coupled_map_lattice,0.0,0.168,0.084,0.1972,0.1729,0.5,0
branching,recursive_feedback,lotka_volterra,gray_scott,0.0,0.35,0.175,0.1829,0.4185,0.5,0
branching,recursive_feedback,lotka_volterra,kuramoto,0.0,0.358,0.179,0.1541,0.3472,0.5,0
branching,recursive_feedback,cellular_automata,gray_scott,0.0,0.35,0.175,0.2541,0.4083,0.5,0
branching,recursive_feedback,cellular_automata,kuramoto,0.0,0.358,0.179,0.2253,0.3371,0.5,0
branching,competitive_exclusion,lotka_volterra,graph_diffusion,0.0,0.0,0.0,0.1145,0.0528,0.0,0
branching,competitive_exclusion,lotka_volterra,replicator,0.0,0.0,0.0,0.0794,0.0624,0.0,0
branching,competitive_exclusion,cellular_automata,graph_diffusion,0.0,0.0,0.0,0.1856,0.0426,0.0,0
branching,competitive_exclusion,cellular_automata,replicator,0.0,0.0,0.0,0.1505,0.0522,0.0,0
branching,diffusion,lotka_volterra,cellular_automata,0.0,0.0,0.0,0.1475,0.0946,0.0,0
branching,diffusion,lotka_volterra,coupled_map_lattice,0.0,0.168,0.084,0.1261,0.183,0.5,0
branching,diffusion,cellular_automata,coupled_map_lattice,0.0,0.168,0.084,0.1972,0.1729,0.5,0
branching,hierarchical_nesting,lotka_volterra,population,0.0,0.238,0.119,0.1413,0.2355,0.5,0
branching,hierarchical_nesting,lotka_volterra,coupled_map_lattice,0.0,0.168,0.084,0.1261,0.183,0.5,0
branching,hierarchical_nesting,cellular_automata,population,0.0,0.238,0.119,0.2124,0.2253,0.5,0
branching,hierarchical_nesting,cellular_automata,coupled_map_lattice,0.0,0.168,0.084,0.1972,0.1729,0.5,0
branching,constraint_propagation,lotka_volterra,coupled_map_lattice,0.0,0.168,0.084,0.1261,0.183,0.5,0
branching,constraint_propagation,lotka_volterra,cellular_automata,0.0,0.0,0.0,0.1475,0.0946,0.0,0
branching,constraint_propagation,cellular_automata,coupled_map_lattice,0.0,0.168,0.084,0.1972,0.1729,0.5,0
branching,resonance_locking,lotka_volterra,gray_scott,0.0,0.35,0.175,0.1829,0.4185,0.5,0
branching,resonance_locking,lotka_volterra,kuramoto,0.0,0.358,0.179,0.1541,0.3472,0.5,0
branching,resonance_locking,cellular_automata,gray_scott,0.0,0.35,0.175,0.2541,0.4083,0.5,0
branching,resonance_locking,cellular_automata,kuramoto,0.0,0.358,0.179,0.2253,0.3371,0.5,0
synchronization,recursive_feedback,graph_diffusion,gray_scott,0.0,0.35,0.175,0.221,0.3665,0.5,0
synchronization,recursive_feedback,graph_diffusion,kuramoto,0.0,0.358,0.179,0.1922,0.2952,0.5,0
synchronization,recursive_feedback,coupled_map_lattice,gray_scott,0.168,0.35,0.259,0.2326,0.4967,0.74,0
synchronization,recursive_feedback,coupled_map_lattice,kuramoto,0.168,0.358,0.263,0.2038,0.4255,0.7346,0
synchronization,competitive_exclusion,graph_diffusion,replicator,0.0,0.0,0.0,0.1175,0.0104,0.0,0
synchronization,competitive_exclusion,coupled_map_lattice,graph_diffusion,0.168,0.0,0.084,0.1642,0.131,0.5,0
synchronization,competitive_exclusion,coupled_map_lattice,replicator,0.168,0.0,0.084,0.1291,0.1406,0.5,0
synchronization,diffusion,graph_diffusion,cellular_automata,0.0,0.0,0.0,0.1856,0.0426,0.0,0
synchronization,diffusion,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
synchronization,diffusion,coupled_map_lattice,cellular_automata,0.168,0.0,0.084,0.1972,0.1729,0.5,0
synchronization,hierarchical_nesting,graph_diffusion,population,0.0,0.238,0.119,0.1794,0.1835,0.5,0
synchronization,hierarchical_nesting,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
synchronization,hierarchical_nesting,coupled_map_lattice,population,0.168,0.238,0.203,0.191,0.3137,0.8529,1
synchronization,constraint_propagation,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
synchronization,constraint_propagation,graph_diffusion,cellular_automata,0.0,0.0,0.0,0.1856,0.0426,0.0,0
synchronization,constraint_propagation,coupled_map_lattice,cellular_automata,0.168,0.0,0.084,0.1972,0.1729,0.5,0
synchronization,resonance_locking,graph_diffusion,gray_scott,0.0,0.35,0.175,0.221,0.3665,0.5,0
synchronization,resonance_locking,graph_diffusion,kuramoto,0.0,0.358,0.179,0.1922,0.2952,0.5,0
synchronization,resonance_locking,coupled_map_lattice,gray_scott,0.168,0.35,0.259,0.2326,0.4967,0.74,0
synchronization,resonance_locking,coupled_map_lattice,kuramoto,0.168,0.358,0.263,0.2038,0.4255,0.7346,0
recursive_feedback,competitive_exclusion,gray_scott,graph_diffusion,0.35,0.0,0.175,0.221,0.3665,0.5,0
recursive_feedback,competitive_exclusion,gray_scott,replicator,0.35,0.0,0.175,0.1859,0.376,0.5,0
recursive_feedback,competitive_exclusion,kuramoto,graph_diffusion,0.358,0.0,0.179,0.1922,0.2952,0.5,0
recursive_feedback,competitive_exclusion,kuramoto,replicator,0.358,0.0,0.179,0.1571,0.3048,0.5,0
recursive_feedback,diffusion,gray_scott,cellular_automata,0.35,0.0,0.175,0.2541,0.4083,0.5,0
recursive_feedback,diffusion,gray_scott,coupled_map_lattice,0.35,0.168,0.259,0.2326,0.4967,0.74,0
recursive_feedback,diffusion,kuramoto,cellular_automata,0.358,0.0,0.179,0.2253,0.3371,0.5,0
recursive_feedback,diffusion,kuramoto,coupled_map_lattice,0.358,0.168,0.263,0.2038,0.4255,0.7346,0
recursive_feedback,hierarchical_nesting,gray_scott,population,0.35,0.238,0.294,0.2478,0.5491,0.84,1
recursive_feedback,hierarchical_nesting,gray_scott,coupled_map_lattice,0.35,0.168,0.259,0.2326,0.4967,0.74,0
recursive_feedback,hierarchical_nesting,kuramoto,population,0.358,0.238,0.298,0.219,0.4779,0.8324,1
recursive_feedback,hierarchical_nesting,kuramoto,coupled_map_lattice,0.358,0.168,0.263,0.2038,0.4255,0.7346,0
recursive_feedback,constraint_propagation,gray_scott,coupled_map_lattice,0.35,0.168,0.259,0.2326,0.4967,0.74,0
recursive_feedback,constraint_propagation,gray_scott,cellular_automata,0.35,0.0,0.175,0.2541,0.4083,0.5,0
recursive_feedback,constraint_propagation,kuramoto,coupled_map_lattice,0.358,0.168,0.263,0.2038,0.4255,0.7346,0
recursive_feedback,constraint_propagation,kuramoto,cellular_automata,0.358,0.0,0.179,0.2253,0.3371,0.5,0
recursive_feedback,resonance_locking,gray_scott,kuramoto,0.35,0.358,0.354,0.2607,0.6609,0.9888,1
recursive_feedback,resonance_locking,kuramoto,gray_scott,0.358,0.35,0.354,0.2607,0.6609,0.9888,1
competitive_exclusion,diffusion,graph_diffusion,cellular_automata,0.0,0.0,0.0,0.1856,0.0426,0.0,0
competitive_exclusion,diffusion,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
competitive_exclusion,diffusion,replicator,cellular_automata,0.0,0.0,0.0,0.1505,0.0522,0.0,0
competitive_exclusion,diffusion,replicator,coupled_map_lattice,0.0,0.168,0.084,0.1291,0.1406,0.5,0
competitive_exclusion,hierarchical_nesting,graph_diffusion,population,0.0,0.238,0.119,0.1794,0.1835,0.5,0
competitive_exclusion,hierarchical_nesting,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
competitive_exclusion,hierarchical_nesting,replicator,population,0.0,0.238,0.119,0.1443,0.193,0.5,0
competitive_exclusion,hierarchical_nesting,replicator,coupled_map_lattice,0.0,0.168,0.084,0.1291,0.1406,0.5,0
competitive_exclusion,constraint_propagation,graph_diffusion,coupled_map_lattice,0.0,0.168,0.084,0.1642,0.131,0.5,0
competitive_exclusion,constraint_propagation,graph_diffusion,cellular_automata,0.0,0.0,0.0,0.1856,0.0426,0.0,0
competitive_exclusion,constraint_propagation,replicator,coupled_map_lattice,0.0,0.168,0.084,0.1291,0.1406,0.5,0
competitive_exclusion,constraint_propagation,replicator,cellular_automata,0.0,0.0,0.0,0.1505,0.0522,0.0,0
competitive_exclusion,resonance_locking,graph_diffusion,gray_scott,0.0,0.35,0.175,0.221,0.3665,0.5,0
competitive_exclusion,resonance_locking,graph_diffusion,kuramoto,0.0,0.358,0.179,0.1922,0.2952,0.5,0
competitive_exclusion,resonance_locking,replicator,gray_scott,0.0,0.35,0.175,0.1859,0.376,0.5,0
competitive_exclusion,resonance_locking,replicator,kuramoto,0.0,0.358,0.179,0.1571,0.3048,0.5,0
diffusion,hierarchical_nesting,cellular_automata,population,0.0,0.238,0.119,0.2124,0.2253,0.5,0
diffusion,hierarchical_nesting,cellular_automata,coupled_map_lattice,0.0,0.168,0.084,0.1972,0.1729,0.5,0
diffusion,hierarchical_nesting,coupled_map_lattice,population,0.168,0.238,0.203,0.191,0.3137,0.8529,1
diffusion,constraint_propagation,cellular_automata,coupled_map_lattice,0.0,0.168,0.084,0.1972,0.1729,0.5,0
diffusion,constraint_propagation,coupled_map_lattice,cellular_automata,0.168,0.0,0.084,0.1972,0.1729,0.5,0
diffusion,resonance_locking,cellular_automata,gray_scott,0.0,0.35,0.175,0.2541,0.4083,0.5,0
diffusion,resonance_locking,cellular_automata,kuramoto,0.0,0.358,0.179,0.2253,0.3371,0.5,0
diffusion,resonance_locking,coupled_map_lattice,gray_scott,0.168,0.35,0.259,0.2326,0.4967,0.74,0
diffusion,resonance_locking,coupled_map_lattice,kuramoto,0.168,0.358,0.263,0.2038,0.4255,0.7346,0
hierarchical_nesting,constraint_propagation,population,coupled_map_lattice,0.238,0.168,0.203,0.191,0.3137,0.8529,1
hierarchical_nesting,constraint_propagation,population,cellular_automata,0.238,0.0,0.119,0.2124,0.2253,0.5,0
hierarchical_nesting,constraint_propagation,coupled_map_lattice,cellular_automata,0.168,0.0,0.084,0.1972,0.1729,0.5,0
hierarchical_nesting,resonance_locking,population,gray_scott,0.238,0.35,0.294,0.2478,0.5491,0.84,1
hierarchical_nesting,resonance_locking,population,kuramoto,0.238,0.358,0.298,0.219,0.4779,0.8324,1
hierarchical_nesting,resonance_locking,coupled_map_lattice,gray_scott,0.168,0.35,0.259,0.2326,0.4967,0.74,0
hierarchical_nesting,resonance_locking,coupled_map_lattice,kuramoto,0.168,0.358,0.263,0.2038,0.4255,0.7346,0
constraint_propagation,resonance_locking,coupled_map_lattice,gray_scott,0.168,0.35,0.259,0.2326,0.4967,0.74,0
constraint_propagation,resonance_locking,coupled_map_lattice,kuramoto,0.168,0.358,0.263,0.2038,0.4255,0.7346,0
constraint_propagation,resonance_locking,cellular_automata,gray_scott,0.0,0.35,0.175,0.2541,0.4083,0.5,0
constraint_propagation,resonance_locking,cellular_automata,kuramoto,0.0,0.358,0.179,0.2253,0.3371,0.5,0
