chain,domain_A,domain_B,domain_C,operator_A,operator_B,chain_identity_similarity,chain_cg_rate,chain_cg_retention,identity_preserved,cg_preserved
graph_diffusion→gray_scott→branching,graph_diffusion,gray_scott,branching,additive,recursive_feedback,0.9994,0.198,0.5657,1,0
graph_diffusion→gray_scott→cellular_automata,graph_diffusion,gray_scott,cellular_automata,additive,recursive_feedback,0.9989,0.1167,0.3333,1,0
graph_diffusion→gray_scott→coupled_map_lattice,graph_diffusion,gray_scott,coupled_map_lattice,additive,recursive_feedback,0.9999,0.1727,0.4933,1,0
graph_diffusion→gray_scott→kuramoto,graph_diffusion,gray_scott,kuramoto,additive,recursive_feedback,0.9995,0.236,0.6592,1,0
graph_diffusion→gray_scott→lotka_volterra,graph_diffusion,gray_scott,lotka_volterra,additive,recursive_feedback,0.999,0.1167,0.3333,1,0
graph_diffusion→gray_scott→nonlinear_oscillator,graph_diffusion,gray_scott,nonlinear_oscillator,additive,recursive_feedback,0.9996,0.29,0.5577,1,0
graph_diffusion→gray_scott→population,graph_diffusion,gray_scott,population,additive,recursive_feedback,1.0,0.196,0.56,1,0
graph_diffusion→gray_scott→replicator,graph_diffusion,gray_scott,replicator,additive,recursive_feedback,0.9983,0.1167,0.3333,1,0
graph_diffusion→kuramoto→branching,graph_diffusion,kuramoto,branching,additive,recursive_feedback,0.9993,0.2007,0.5605,1,0
graph_diffusion→kuramoto→cellular_automata,graph_diffusion,kuramoto,cellular_automata,additive,recursive_feedback,0.9994,0.1193,0.3333,1,0
graph_diffusion→kuramoto→coupled_map_lattice,graph_diffusion,kuramoto,coupled_map_lattice,additive,recursive_feedback,1.0,0.1753,0.4898,1,0
graph_diffusion→kuramoto→gray_scott,graph_diffusion,kuramoto,gray_scott,additive,recursive_feedback,0.9978,0.236,0.6592,1,0
graph_diffusion→kuramoto→lotka_volterra,graph_diffusion,kuramoto,lotka_volterra,additive,recursive_feedback,0.9995,0.1193,0.3333,1,0
graph_diffusion→kuramoto→nonlinear_oscillator,graph_diffusion,kuramoto,nonlinear_oscillator,additive,recursive_feedback,0.9999,0.2927,0.5628,1,0
graph_diffusion→kuramoto→population,graph_diffusion,kuramoto,population,additive,recursive_feedback,0.9998,0.1987,0.5549,1,0
graph_diffusion→kuramoto→replicator,graph_diffusion,kuramoto,replicator,additive,recursive_feedback,0.999,0.1193,0.3333,1,0
coupled_map_lattice→graph_diffusion→branching,coupled_map_lattice,graph_diffusion,branching,additive,competitive_exclusion,0.9984,0.1373,0.5628,1,0
coupled_map_lattice→graph_diffusion→cellular_automata,coupled_map_lattice,graph_diffusion,cellular_automata,additive,competitive_exclusion,0.9999,0.056,0.3333,1,0
coupled_map_lattice→graph_diffusion→gray_scott,coupled_map_lattice,graph_diffusion,gray_scott,additive,competitive_exclusion,0.9956,0.1727,0.4933,1,0
coupled_map_lattice→graph_diffusion→kuramoto,coupled_map_lattice,graph_diffusion,kuramoto,additive,competitive_exclusion,0.9974,0.1753,0.4898,1,0
coupled_map_lattice→graph_diffusion→lotka_volterra,coupled_map_lattice,graph_diffusion,lotka_volterra,additive,competitive_exclusion,0.9999,0.056,0.3333,1,0
coupled_map_lattice→graph_diffusion→nonlinear_oscillator,coupled_map_lattice,graph_diffusion,nonlinear_oscillator,additive,competitive_exclusion,0.9999,0.2293,0.441,1,0
coupled_map_lattice→graph_diffusion→population,coupled_map_lattice,graph_diffusion,population,additive,competitive_exclusion,0.999,0.1353,0.5686,1,0
coupled_map_lattice→graph_diffusion→replicator,coupled_map_lattice,graph_diffusion,replicator,additive,competitive_exclusion,0.9998,0.056,0.3333,1,0
coupled_map_lattice→replicator→branching,coupled_map_lattice,replicator,branching,additive,competitive_exclusion,0.9985,0.1373,0.5628,1,0
coupled_map_lattice→replicator→cellular_automata,coupled_map_lattice,replicator,cellular_automata,additive,competitive_exclusion,0.9999,0.056,0.3333,1,0
coupled_map_lattice→replicator→graph_diffusion,coupled_map_lattice,replicator,graph_diffusion,additive,competitive_exclusion,0.9996,0.056,0.3333,1,0
coupled_map_lattice→replicator→gray_scott,coupled_map_lattice,replicator,gray_scott,additive,competitive_exclusion,0.9958,0.1727,0.4933,1,0
coupled_map_lattice→replicator→kuramoto,coupled_map_lattice,replicator,kuramoto,additive,competitive_exclusion,0.9976,0.1753,0.4898,1,0
coupled_map_lattice→replicator→lotka_volterra,coupled_map_lattice,replicator,lotka_volterra,additive,competitive_exclusion,0.9999,0.056,0.3333,1,0
coupled_map_lattice→replicator→nonlinear_oscillator,coupled_map_lattice,replicator,nonlinear_oscillator,additive,competitive_exclusion,0.9999,0.2293,0.441,1,0
coupled_map_lattice→replicator→population,coupled_map_lattice,replicator,population,additive,competitive_exclusion,0.9991,0.1353,0.5686,1,0
graph_diffusion→replicator→branching,graph_diffusion,replicator,branching,additive,competitive_exclusion,0.9969,0.0813,0.3333,1,0
graph_diffusion→replicator→cellular_automata,graph_diffusion,replicator,cellular_automata,additive,competitive_exclusion,0.9999,0.0,0.0,1,0
graph_diffusion→replicator→coupled_map_lattice,graph_diffusion,replicator,coupled_map_lattice,additive,competitive_exclusion,0.9988,0.056,0.3333,1,0
graph_diffusion→replicator→gray_scott,graph_diffusion,replicator,gray_scott,additive,competitive_exclusion,0.9929,0.1167,0.3333,1,0
graph_diffusion→replicator→kuramoto,graph_diffusion,replicator,kuramoto,additive,competitive_exclusion,0.9954,0.1193,0.3333,1,0
graph_diffusion→replicator→lotka_volterra,graph_diffusion,replicator,lotka_volterra,additive,competitive_exclusion,0.9997,0.0,0.0,1,0
graph_diffusion→replicator→nonlinear_oscillator,graph_diffusion,replicator,nonlinear_oscillator,additive,competitive_exclusion,0.9994,0.1733,0.3333,1,0
graph_diffusion→replicator→population,graph_diffusion,replicator,population,additive,competitive_exclusion,0.9978,0.0793,0.3333,1,0
coupled_map_lattice→cellular_automata→branching,coupled_map_lattice,cellular_automata,branching,additive,diffusion,0.9987,0.1373,0.5628,1,0
coupled_map_lattice→cellular_automata→graph_diffusion,coupled_map_lattice,cellular_automata,graph_diffusion,additive,diffusion,0.9995,0.056,0.3333,1,0
coupled_map_lattice→cellular_automata→gray_scott,coupled_map_lattice,cellular_automata,gray_scott,additive,diffusion,0.9963,0.1727,0.4933,1,0
coupled_map_lattice→cellular_automata→kuramoto,coupled_map_lattice,cellular_automata,kuramoto,additive,diffusion,0.998,0.1753,0.4898,1,0
coupled_map_lattice→cellular_automata→lotka_volterra,coupled_map_lattice,cellular_automata,lotka_volterra,additive,diffusion,0.9998,0.056,0.3333,1,0
coupled_map_lattice→cellular_automata→nonlinear_oscillator,coupled_map_lattice,cellular_automata,nonlinear_oscillator,additive,diffusion,1.0,0.2293,0.441,1,0
coupled_map_lattice→cellular_automata→population,coupled_map_lattice,cellular_automata,population,additive,diffusion,0.9994,0.1353,0.5686,1,0
coupled_map_lattice→cellular_automata→replicator,coupled_map_lattice,cellular_automata,replicator,additive,diffusion,0.9996,0.056,0.3333,1,0
graph_diffusion→cellular_automata→branching,graph_diffusion,cellular_automata,branching,additive,diffusion,0.9973,0.0813,0.3333,1,0
graph_diffusion→cellular_automata→coupled_map_lattice,graph_diffusion,cellular_automata,coupled_map_lattice,additive,diffusion,0.999,0.056,0.3333,1,0
graph_diffusion→cellular_automata→gray_scott,graph_diffusion,cellular_automata,gray_scott,additive,diffusion,0.9937,0.1167,0.3333,1,0
graph_diffusion→cellular_automata→kuramoto,graph_diffusion,cellular_automata,kuramoto,additive,diffusion,0.996,0.1193,0.3333,1,0
graph_diffusion→cellular_automata→lotka_volterra,graph_diffusion,cellular_automata,lotka_volterra,additive,diffusion,0.9998,0.0,0.0,1,0
graph_diffusion→cellular_automata→nonlinear_oscillator,graph_diffusion,cellular_automata,nonlinear_oscillator,additive,diffusion,0.9996,0.1733,0.3333,1,0
graph_diffusion→cellular_automata→population,graph_diffusion,cellular_automata,population,additive,diffusion,0.9982,0.0793,0.3333,1,0
graph_diffusion→cellular_automata→replicator,graph_diffusion,cellular_automata,replicator,additive,diffusion,1.0,0.0,0.0,1,0
graph_diffusion→coupled_map_lattice→branching,graph_diffusion,coupled_map_lattice,branching,additive,diffusion,0.9984,0.1373,0.5628,1,0
graph_diffusion→coupled_map_lattice→cellular_automata,graph_diffusion,coupled_map_lattice,cellular_automata,additive,diffusion,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→gray_scott,graph_diffusion,coupled_map_lattice,gray_scott,additive,diffusion,0.9956,0.1727,0.4933,1,0
graph_diffusion→coupled_map_lattice→kuramoto,graph_diffusion,coupled_map_lattice,kuramoto,additive,diffusion,0.9974,0.1753,0.4898,1,0
graph_diffusion→coupled_map_lattice→lotka_volterra,graph_diffusion,coupled_map_lattice,lotka_volterra,additive,diffusion,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→nonlinear_oscillator,graph_diffusion,coupled_map_lattice,nonlinear_oscillator,additive,diffusion,0.9999,0.2293,0.441,1,0
graph_diffusion→coupled_map_lattice→population,graph_diffusion,coupled_map_lattice,population,additive,diffusion,0.999,0.1353,0.5686,1,0
graph_diffusion→coupled_map_lattice→replicator,graph_diffusion,coupled_map_lattice,replicator,additive,diffusion,0.9998,0.056,0.3333,1,0
coupled_map_lattice→population→branching,coupled_map_lattice,population,branching,additive,hierarchical_nesting,0.9995,0.2167,0.888,1,1
coupled_map_lattice→population→cellular_automata,coupled_map_lattice,population,cellular_automata,additive,hierarchical_nesting,0.9989,0.1353,0.5686,1,0
coupled_map_lattice→population→graph_diffusion,coupled_map_lattice,population,graph_diffusion,additive,hierarchical_nesting,0.9981,0.1353,0.5686,1,0
coupled_map_lattice→population→gray_scott,coupled_map_lattice,population,gray_scott,additive,hierarchical_nesting,0.9984,0.252,0.72,1,0
coupled_map_lattice→population→kuramoto,coupled_map_lattice,population,kuramoto,additive,hierarchical_nesting,0.9994,0.2547,0.7114,1,0
coupled_map_lattice→population→lotka_volterra,coupled_map_lattice,population,lotka_volterra,additive,hierarchical_nesting,0.9991,0.1353,0.5686,1,0
coupled_map_lattice→population→nonlinear_oscillator,coupled_map_lattice,population,nonlinear_oscillator,additive,hierarchical_nesting,0.9997,0.3087,0.5936,1,0
coupled_map_lattice→population→replicator,coupled_map_lattice,population,replicator,additive,hierarchical_nesting,0.9984,0.1353,0.5686,1,0
graph_diffusion→population→branching,graph_diffusion,population,branching,additive,hierarchical_nesting,0.9987,0.1607,0.6585,1,0
graph_diffusion→population→cellular_automata,graph_diffusion,population,cellular_automata,additive,hierarchical_nesting,0.9998,0.0793,0.3333,1,0
graph_diffusion→population→coupled_map_lattice,graph_diffusion,population,coupled_map_lattice,additive,hierarchical_nesting,0.9998,0.1353,0.5686,1,0
graph_diffusion→population→gray_scott,graph_diffusion,population,gray_scott,additive,hierarchical_nesting,0.9964,0.196,0.56,1,0
graph_diffusion→population→kuramoto,graph_diffusion,population,kuramoto,additive,hierarchical_nesting,0.998,0.1987,0.5549,1,0
graph_diffusion→population→lotka_volterra,graph_diffusion,population,lotka_volterra,additive,hierarchical_nesting,0.9998,0.0793,0.3333,1,0
graph_diffusion→population→nonlinear_oscillator,graph_diffusion,population,nonlinear_oscillator,additive,hierarchical_nesting,1.0,0.2527,0.4859,1,0
graph_diffusion→population→replicator,graph_diffusion,population,replicator,additive,hierarchical_nesting,0.9996,0.0793,0.3333,1,0
graph_diffusion→coupled_map_lattice→branching,graph_diffusion,coupled_map_lattice,branching,additive,hierarchical_nesting,0.9984,0.1373,0.5628,1,0
graph_diffusion→coupled_map_lattice→cellular_automata,graph_diffusion,coupled_map_lattice,cellular_automata,additive,hierarchical_nesting,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→gray_scott,graph_diffusion,coupled_map_lattice,gray_scott,additive,hierarchical_nesting,0.9956,0.1727,0.4933,1,0
graph_diffusion→coupled_map_lattice→kuramoto,graph_diffusion,coupled_map_lattice,kuramoto,additive,hierarchical_nesting,0.9974,0.1753,0.4898,1,0
graph_diffusion→coupled_map_lattice→lotka_volterra,graph_diffusion,coupled_map_lattice,lotka_volterra,additive,hierarchical_nesting,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→nonlinear_oscillator,graph_diffusion,coupled_map_lattice,nonlinear_oscillator,additive,hierarchical_nesting,0.9999,0.2293,0.441,1,0
graph_diffusion→coupled_map_lattice→population,graph_diffusion,coupled_map_lattice,population,additive,hierarchical_nesting,0.999,0.1353,0.5686,1,0
graph_diffusion→coupled_map_lattice→replicator,graph_diffusion,coupled_map_lattice,replicator,additive,hierarchical_nesting,0.9998,0.056,0.3333,1,0
coupled_map_lattice→cellular_automata→branching,coupled_map_lattice,cellular_automata,branching,additive,constraint_propagation,0.9987,0.1373,0.5628,1,0
coupled_map_lattice→cellular_automata→graph_diffusion,coupled_map_lattice,cellular_automata,graph_diffusion,additive,constraint_propagation,0.9995,0.056,0.3333,1,0
coupled_map_lattice→cellular_automata→gray_scott,coupled_map_lattice,cellular_automata,gray_scott,additive,constraint_propagation,0.9963,0.1727,0.4933,1,0
coupled_map_lattice→cellular_automata→kuramoto,coupled_map_lattice,cellular_automata,kuramoto,additive,constraint_propagation,0.998,0.1753,0.4898,1,0
coupled_map_lattice→cellular_automata→lotka_volterra,coupled_map_lattice,cellular_automata,lotka_volterra,additive,constraint_propagation,0.9998,0.056,0.3333,1,0
coupled_map_lattice→cellular_automata→nonlinear_oscillator,coupled_map_lattice,cellular_automata,nonlinear_oscillator,additive,constraint_propagation,1.0,0.2293,0.441,1,0
coupled_map_lattice→cellular_automata→population,coupled_map_lattice,cellular_automata,population,additive,constraint_propagation,0.9994,0.1353,0.5686,1,0
coupled_map_lattice→cellular_automata→replicator,coupled_map_lattice,cellular_automata,replicator,additive,constraint_propagation,0.9996,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→branching,graph_diffusion,coupled_map_lattice,branching,additive,constraint_propagation,0.9984,0.1373,0.5628,1,0
graph_diffusion→coupled_map_lattice→cellular_automata,graph_diffusion,coupled_map_lattice,cellular_automata,additive,constraint_propagation,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→gray_scott,graph_diffusion,coupled_map_lattice,gray_scott,additive,constraint_propagation,0.9956,0.1727,0.4933,1,0
graph_diffusion→coupled_map_lattice→kuramoto,graph_diffusion,coupled_map_lattice,kuramoto,additive,constraint_propagation,0.9974,0.1753,0.4898,1,0
graph_diffusion→coupled_map_lattice→lotka_volterra,graph_diffusion,coupled_map_lattice,lotka_volterra,additive,constraint_propagation,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→nonlinear_oscillator,graph_diffusion,coupled_map_lattice,nonlinear_oscillator,additive,constraint_propagation,0.9999,0.2293,0.441,1,0
graph_diffusion→coupled_map_lattice→population,graph_diffusion,coupled_map_lattice,population,additive,constraint_propagation,0.999,0.1353,0.5686,1,0
graph_diffusion→coupled_map_lattice→replicator,graph_diffusion,coupled_map_lattice,replicator,additive,constraint_propagation,0.9998,0.056,0.3333,1,0
