depth,sector,condition,rg_similarity,equilibrium_stability,transport_balance_index,bottleneck_equalization,recursive_flow_coherence,asymptotic_decay_suppression,equilibrium_persistence,classification
1,Projection,AdaptiveBottleneckBalancing,0.96,0.94,0.9248,0.92,0.91,0.9,0.9085,EQUILIBRIUM-STABLE
2,Projection,AdaptiveBottleneckBalancing,0.9516,0.9194,0.9023,0.8879,0.9056,0.8875,0.9121,EQUILIBRIUM-STABLE
4,Projection,AdaptiveBottleneckBalancing,0.9202,0.8897,0.8357,0.8567,0.8356,0.8278,0.8577,EQUILIBRIUM-STABLE
6,Projection,AdaptiveBottleneckBalancing,0.839,0.8172,0.7972,0.8021,0.779,0.7758,0.7889,EQUILIBRIUM-STABLE
8,Projection,AdaptiveBottleneckBalancing,0.8166,0.7662,0.7548,0.7565,0.7508,0.7427,0.7537,EQUILIBRIUM-STABLE
12,Projection,AdaptiveBottleneckBalancing,0.7312,0.7013,0.6936,0.6937,0.6678,0.6686,0.6957,EQUILIBRIUM-BOUNDED
16,Projection,AdaptiveBottleneckBalancing,0.6654,0.6573,0.6303,0.6259,0.6202,0.6024,0.614,EQUILIBRIUM-PARTIAL
20,Projection,AdaptiveBottleneckBalancing,0.6124,0.588,0.5764,0.5872,0.5603,0.5545,0.5869,EQUILIBRIUM-PARTIAL
24,Projection,AdaptiveBottleneckBalancing,0.5765,0.5451,0.5372,0.5328,0.5292,0.5282,0.536,EQUILIBRIUM-DEGRADING
32,Projection,AdaptiveBottleneckBalancing,0.4911,0.4805,0.4776,0.4681,0.4641,0.4599,0.4728,EQUILIBRIUM-DEGRADING
40,Projection,AdaptiveBottleneckBalancing,0.4475,0.4307,0.4141,0.4132,0.4096,0.3968,0.4097,EQUILIBRIUM-DEGRADING
48,Projection,AdaptiveBottleneckBalancing,0.4029,0.3838,0.3794,0.3774,0.3712,0.3662,0.3775,EQUILIBRIUM-FAILED
64,Projection,AdaptiveBottleneckBalancing,0.3297,0.3155,0.3158,0.3043,0.3022,0.3052,0.3019,EQUILIBRIUM-FAILED
80,Projection,AdaptiveBottleneckBalancing,0.2765,0.2718,0.2655,0.2689,0.2648,0.2597,0.268,EQUILIBRIUM-FAILED
96,Projection,AdaptiveBottleneckBalancing,0.2447,0.2399,0.2322,0.2272,0.2243,0.2237,0.2274,EQUILIBRIUM-FAILED
128,Projection,AdaptiveBottleneckBalancing,0.1991,0.1889,0.1851,0.1847,0.1777,0.1827,0.1841,EQUILIBRIUM-FAILED
160,Projection,AdaptiveBottleneckBalancing,0.164,0.1549,0.1532,0.1542,0.1479,0.1473,0.1531,EQUILIBRIUM-FAILED
192,Projection,AdaptiveBottleneckBalancing,0.1393,0.1322,0.1309,0.1343,0.1286,0.1261,0.1293,EQUILIBRIUM-FAILED
256,Projection,AdaptiveBottleneckBalancing,0.1069,0.1034,0.1018,0.1012,0.1004,0.0967,0.1013,EQUILIBRIUM-FAILED
1,Projection,RecursiveFlowRedistribution,0.96,0.94,0.93,0.9153,0.91,0.9,0.92,EQUILIBRIUM-STABLE
2,Projection,RecursiveFlowRedistribution,0.9506,0.9001,0.9067,0.9063,0.8841,0.8869,0.886,EQUILIBRIUM-STABLE
4,Projection,RecursiveFlowRedistribution,0.8884,0.875,0.8419,0.8305,0.8289,0.8013,0.8478,EQUILIBRIUM-STABLE
6,Projection,RecursiveFlowRedistribution,0.8305,0.8088,0.8041,0.7871,0.7879,0.7749,0.7974,EQUILIBRIUM-STABLE
8,Projection,RecursiveFlowRedistribution,0.7889,0.7636,0.7746,0.7678,0.7533,0.7296,0.7421,EQUILIBRIUM-STABLE
12,Projection,RecursiveFlowRedistribution,0.7305,0.7097,0.7043,0.6797,0.6884,0.673,0.6884,EQUILIBRIUM-BOUNDED
16,Projection,RecursiveFlowRedistribution,0.663,0.6383,0.6445,0.6133,0.6341,0.5993,0.6238,EQUILIBRIUM-PARTIAL
20,Projection,RecursiveFlowRedistribution,0.5993,0.5787,0.5714,0.5856,0.5748,0.5554,0.5677,EQUILIBRIUM-PARTIAL
24,Projection,RecursiveFlowRedistribution,0.562,0.5418,0.5368,0.543,0.5217,0.5121,0.5255,EQUILIBRIUM-DEGRADING
32,Projection,RecursiveFlowRedistribution,0.4976,0.4692,0.4665,0.4573,0.4733,0.4553,0.4733,EQUILIBRIUM-DEGRADING
40,Projection,RecursiveFlowRedistribution,0.4367,0.4187,0.4186,0.4159,0.4165,0.3953,0.4084,EQUILIBRIUM-DEGRADING
48,Projection,RecursiveFlowRedistribution,0.3885,0.3784,0.3783,0.3701,0.3698,0.3519,0.3652,EQUILIBRIUM-FAILED
64,Projection,RecursiveFlowRedistribution,0.321,0.3088,0.3134,0.3082,0.3125,0.3036,0.3104,EQUILIBRIUM-FAILED
80,Projection,RecursiveFlowRedistribution,0.2726,0.2716,0.2603,0.2613,0.2653,0.2549,0.26,EQUILIBRIUM-FAILED
96,Projection,RecursiveFlowRedistribution,0.2397,0.2327,0.235,0.2267,0.2313,0.2199,0.2259,EQUILIBRIUM-FAILED
128,Projection,RecursiveFlowRedistribution,0.1948,0.1901,0.1866,0.1807,0.1809,0.1765,0.1845,EQUILIBRIUM-FAILED
160,Projection,RecursiveFlowRedistribution,0.1587,0.1546,0.154,0.1522,0.1534,0.144,0.1519,EQUILIBRIUM-FAILED
192,Projection,RecursiveFlowRedistribution,0.1354,0.1348,0.1329,0.1274,0.128,0.1281,0.1282,EQUILIBRIUM-FAILED
256,Projection,RecursiveFlowRedistribution,0.105,0.1044,0.1037,0.1025,0.1009,0.0967,0.1006,EQUILIBRIUM-FAILED
1,Projection,SourceSinkSelfCorrection,0.96,0.9341,0.93,0.92,0.9015,0.8885,0.9153,EQUILIBRIUM-STABLE
2,Projection,SourceSinkSelfCorrection,0.9307,0.9062,0.8975,0.9064,0.8957,0.884,0.875,EQUILIBRIUM-STABLE
4,Projection,SourceSinkSelfCorrection,0.8973,0.8514,0.8657,0.8393,0.8103,0.8399,0.8431,EQUILIBRIUM-STABLE
6,Projection,SourceSinkSelfCorrection,0.8561,0.8225,0.8048,0.7901,0.7888,0.7912,0.7983,EQUILIBRIUM-STABLE
8,Projection,SourceSinkSelfCorrection,0.8022,0.7719,0.7755,0.7555,0.7546,0.7453,0.764,EQUILIBRIUM-STABLE
12,Projection,SourceSinkSelfCorrection,0.709,0.6874,0.7076,0.6769,0.668,0.6769,0.6802,EQUILIBRIUM-BOUNDED
16,Projection,SourceSinkSelfCorrection,0.6526,0.6224,0.6439,0.6064,0.6009,0.6162,0.6319,EQUILIBRIUM-PARTIAL
20,Projection,SourceSinkSelfCorrection,0.599,0.5761,0.5895,0.5597,0.575,0.5524,0.5623,EQUILIBRIUM-PARTIAL
24,Projection,SourceSinkSelfCorrection,0.5703,0.55,0.5346,0.5389,0.5254,0.5264,0.5333,EQUILIBRIUM-DEGRADING
32,Projection,SourceSinkSelfCorrection,0.487,0.4625,0.4688,0.4614,0.4466,0.4542,0.4622,EQUILIBRIUM-DEGRADING
40,Projection,SourceSinkSelfCorrection,0.4367,0.4229,0.4174,0.3993,0.3978,0.41,0.4128,EQUILIBRIUM-DEGRADING
48,Projection,SourceSinkSelfCorrection,0.3919,0.3669,0.3822,0.3651,0.365,0.3695,0.3631,EQUILIBRIUM-FAILED
64,Projection,SourceSinkSelfCorrection,0.3296,0.3123,0.3133,0.2973,0.2964,0.2992,0.3055,EQUILIBRIUM-FAILED
80,Projection,SourceSinkSelfCorrection,0.2786,0.2663,0.2652,0.2647,0.2604,0.2579,0.2575,EQUILIBRIUM-FAILED
96,Projection,SourceSinkSelfCorrection,0.237,0.2273,0.2375,0.2298,0.2289,0.2219,0.2314,EQUILIBRIUM-FAILED
128,Projection,SourceSinkSelfCorrection,0.1894,0.1857,0.1894,0.1847,0.1755,0.1784,0.1819,EQUILIBRIUM-FAILED
160,Projection,SourceSinkSelfCorrection,0.1634,0.1531,0.155,0.1507,0.1494,0.1465,0.1524,EQUILIBRIUM-FAILED
192,Projection,SourceSinkSelfCorrection,0.1361,0.1315,0.1323,0.1311,0.126,0.125,0.1297,EQUILIBRIUM-FAILED
256,Projection,SourceSinkSelfCorrection,0.1059,0.1033,0.1025,0.0996,0.0993,0.1,0.1014,EQUILIBRIUM-FAILED
1,Projection,TransportLoadEqualization,0.96,0.9386,0.9266,0.92,0.91,0.9,0.92,EQUILIBRIUM-STABLE
2,Projection,TransportLoadEqualization,0.9279,0.9191,0.8929,0.8934,0.897,0.887,0.8842,EQUILIBRIUM-STABLE
4,Projection,TransportLoadEqualization,0.8906,0.8514,0.8366,0.8602,0.8406,0.8196,0.8201,EQUILIBRIUM-STABLE
6,Projection,TransportLoadEqualization,0.8519,0.794,0.8234,0.7946,0.7982,0.7791,0.7862,EQUILIBRIUM-STABLE
8,Projection,TransportLoadEqualization,0.798,0.7772,0.7763,0.7481,0.7623,0.7451,0.7593,EQUILIBRIUM-STABLE
12,Projection,TransportLoadEqualization,0.7279,0.682,0.7052,0.6699,0.679,0.6888,0.6659,EQUILIBRIUM-BOUNDED
16,Projection,TransportLoadEqualization,0.6563,0.621,0.6225,0.6168,0.6059,0.6265,0.6302,EQUILIBRIUM-PARTIAL
20,Projection,TransportLoadEqualization,0.6083,0.5807,0.5699,0.5709,0.5615,0.5693,0.5759,EQUILIBRIUM-PARTIAL
24,Projection,TransportLoadEqualization,0.5606,0.5355,0.5277,0.5369,0.5313,0.535,0.5253,EQUILIBRIUM-DEGRADING
32,Projection,TransportLoadEqualization,0.4845,0.4726,0.4751,0.4709,0.4588,0.4631,0.4565,EQUILIBRIUM-DEGRADING
40,Projection,TransportLoadEqualization,0.4372,0.419,0.4111,0.4043,0.4036,0.4106,0.4066,EQUILIBRIUM-DEGRADING
48,Projection,TransportLoadEqualization,0.389,0.3816,0.3738,0.3693,0.364,0.3653,0.3591,EQUILIBRIUM-FAILED
64,Projection,TransportLoadEqualization,0.3201,0.307,0.3127,0.3074,0.303,0.3002,0.3096,EQUILIBRIUM-FAILED
80,Projection,TransportLoadEqualization,0.279,0.2664,0.2606,0.2602,0.2576,0.2638,0.2576,EQUILIBRIUM-FAILED
96,Projection,TransportLoadEqualization,0.2378,0.2358,0.2352,0.2311,0.2247,0.222,0.2279,EQUILIBRIUM-FAILED
128,Projection,TransportLoadEqualization,0.1881,0.1842,0.1873,0.1826,0.1835,0.182,0.1828,EQUILIBRIUM-FAILED
160,Projection,TransportLoadEqualization,0.1606,0.1554,0.1534,0.1497,0.1511,0.1502,0.1526,EQUILIBRIUM-FAILED
192,Projection,TransportLoadEqualization,0.1347,0.132,0.1305,0.1293,0.1281,0.1264,0.1309,EQUILIBRIUM-FAILED
256,Projection,TransportLoadEqualization,0.1079,0.1038,0.1029,0.1014,0.0991,0.0992,0.1002,EQUILIBRIUM-FAILED
1,Projection,PerturbationEquilibriumRecovery,0.9486,0.9072,0.9263,0.92,0.9007,0.9,0.9116,EQUILIBRIUM-STABLE
2,Projection,PerturbationEquilibriumRecovery,0.9468,0.9012,0.8955,0.8688,0.8652,0.8661,0.8995,EQUILIBRIUM-STABLE
4,Projection,PerturbationEquilibriumRecovery,0.8664,0.8524,0.8413,0.8202,0.831,0.8013,0.8297,EQUILIBRIUM-STABLE
6,Projection,PerturbationEquilibriumRecovery,0.8277,0.7984,0.8079,0.7913,0.7819,0.7557,0.799,EQUILIBRIUM-STABLE
8,Projection,PerturbationEquilibriumRecovery,0.7982,0.7465,0.7564,0.7405,0.74,0.7158,0.7646,EQUILIBRIUM-BOUNDED
12,Projection,PerturbationEquilibriumRecovery,0.7288,0.6802,0.6819,0.6884,0.6766,0.6525,0.6863,EQUILIBRIUM-BOUNDED
16,Projection,PerturbationEquilibriumRecovery,0.6427,0.6343,0.6259,0.6073,0.6202,0.6097,0.6151,EQUILIBRIUM-PARTIAL
20,Projection,PerturbationEquilibriumRecovery,0.6131,0.5684,0.5756,0.5748,0.5684,0.5467,0.5852,EQUILIBRIUM-PARTIAL
24,Projection,PerturbationEquilibriumRecovery,0.5475,0.5313,0.5311,0.5234,0.5133,0.5123,0.5407,EQUILIBRIUM-DEGRADING
32,Projection,PerturbationEquilibriumRecovery,0.4934,0.466,0.4615,0.4552,0.4601,0.4458,0.4561,EQUILIBRIUM-DEGRADING
40,Projection,PerturbationEquilibriumRecovery,0.4237,0.4065,0.4071,0.4161,0.396,0.3923,0.4176,EQUILIBRIUM-DEGRADING
48,Projection,PerturbationEquilibriumRecovery,0.3928,0.3638,0.3686,0.358,0.3615,0.358,0.3621,EQUILIBRIUM-FAILED
64,Projection,PerturbationEquilibriumRecovery,0.3167,0.3107,0.3074,0.2989,0.3067,0.2921,0.3034,EQUILIBRIUM-FAILED
80,Projection,PerturbationEquilibriumRecovery,0.2741,0.2675,0.2596,0.2604,0.2522,0.2584,0.2621,EQUILIBRIUM-FAILED
96,Projection,PerturbationEquilibriumRecovery,0.2429,0.2268,0.2326,0.2226,0.2242,0.2175,0.2324,EQUILIBRIUM-FAILED
128,Projection,PerturbationEquilibriumRecovery,0.1873,0.1853,0.1795,0.1831,0.1794,0.1739,0.1819,EQUILIBRIUM-FAILED
160,Projection,PerturbationEquilibriumRecovery,0.1585,0.1528,0.1506,0.1501,0.1494,0.1465,0.1516,EQUILIBRIUM-FAILED
192,Projection,PerturbationEquilibriumRecovery,0.1353,0.1312,0.128,0.1268,0.1247,0.1242,0.1312,EQUILIBRIUM-FAILED
256,Projection,PerturbationEquilibriumRecovery,0.1059,0.0995,0.0996,0.1018,0.0979,0.099,0.1019,EQUILIBRIUM-FAILED
1,Projection,NullEquilibriumControl,0.7856,0.7541,0.7369,0.7562,0.7255,0.7265,0.7644,EQUILIBRIUM-BOUNDED
2,Projection,NullEquilibriumControl,0.7588,0.7262,0.745,0.7343,0.7126,0.7158,0.7143,EQUILIBRIUM-BOUNDED
4,Projection,NullEquilibriumControl,0.7172,0.7124,0.7006,0.7056,0.6604,0.6711,0.6797,EQUILIBRIUM-BOUNDED
6,Projection,NullEquilibriumControl,0.661,0.6657,0.6654,0.6645,0.6386,0.6256,0.6474,EQUILIBRIUM-BOUNDED
8,Projection,NullEquilibriumControl,0.6369,0.6369,0.6279,0.6244,0.6028,0.5932,0.6108,EQUILIBRIUM-PARTIAL
12,Projection,NullEquilibriumControl,0.5666,0.5589,0.5588,0.5779,0.53,0.53,0.5447,EQUILIBRIUM-PARTIAL
16,Projection,NullEquilibriumControl,0.5388,0.5142,0.5234,0.524,0.4865,0.4857,0.5061,EQUILIBRIUM-DEGRADING
20,Projection,NullEquilibriumControl,0.4846,0.465,0.4714,0.4799,0.4587,0.4601,0.4596,EQUILIBRIUM-DEGRADING
24,Projection,NullEquilibriumControl,0.4522,0.4382,0.4243,0.4347,0.433,0.4082,0.4353,EQUILIBRIUM-DEGRADING
32,Projection,NullEquilibriumControl,0.3997,0.3887,0.3834,0.3846,0.3688,0.3648,0.3654,EQUILIBRIUM-FAILED
40,Projection,NullEquilibriumControl,0.3556,0.3474,0.3399,0.3444,0.3315,0.3276,0.3364,EQUILIBRIUM-FAILED
48,Projection,NullEquilibriumControl,0.3083,0.3117,0.302,0.2995,0.2893,0.2942,0.3023,EQUILIBRIUM-FAILED
64,Projection,NullEquilibriumControl,0.2564,0.2529,0.2453,0.2525,0.2445,0.2453,0.2413,EQUILIBRIUM-FAILED
80,Projection,NullEquilibriumControl,0.2231,0.2154,0.2146,0.2221,0.2132,0.206,0.2074,EQUILIBRIUM-FAILED
96,Projection,NullEquilibriumControl,0.1973,0.193,0.189,0.1853,0.1826,0.1791,0.1869,EQUILIBRIUM-FAILED
128,Projection,NullEquilibriumControl,0.1535,0.15,0.1494,0.1544,0.1489,0.1427,0.1453,EQUILIBRIUM-FAILED
160,Projection,NullEquilibriumControl,0.1312,0.1282,0.1237,0.1271,0.1215,0.1178,0.1233,EQUILIBRIUM-FAILED
192,Projection,NullEquilibriumControl,0.1109,0.1072,0.1055,0.107,0.1056,0.1033,0.1075,EQUILIBRIUM-FAILED
256,Projection,NullEquilibriumControl,0.0848,0.0856,0.0843,0.0854,0.0799,0.0792,0.08,EQUILIBRIUM-FAILED
1,Antisymmetry,EquilibriumConvergenceAnalysis,0.9406,0.9245,0.9109,0.8898,0.8778,0.8606,0.9015,EQUILIBRIUM-STABLE
2,Antisymmetry,EquilibriumConvergenceAnalysis,0.9288,0.8753,0.8588,0.8671,0.863,0.8526,0.8487,EQUILIBRIUM-STABLE
4,Antisymmetry,EquilibriumConvergenceAnalysis,0.8711,0.8384,0.8149,0.8181,0.7856,0.8157,0.7918,EQUILIBRIUM-STABLE
6,Antisymmetry,EquilibriumConvergenceAnalysis,0.8332,0.7798,0.7833,0.7726,0.7536,0.7541,0.7675,EQUILIBRIUM-STABLE
8,Antisymmetry,EquilibriumConvergenceAnalysis,0.7686,0.7561,0.7388,0.7243,0.7078,0.7193,0.7394,EQUILIBRIUM-BOUNDED
12,Antisymmetry,EquilibriumConvergenceAnalysis,0.705,0.6918,0.6638,0.6451,0.6335,0.6506,0.6527,EQUILIBRIUM-BOUNDED
16,Antisymmetry,EquilibriumConvergenceAnalysis,0.6515,0.6265,0.6031,0.6078,0.599,0.5819,0.6103,EQUILIBRIUM-PARTIAL
20,Antisymmetry,EquilibriumConvergenceAnalysis,0.6035,0.5636,0.5565,0.541,0.5421,0.5458,0.5568,EQUILIBRIUM-PARTIAL
24,Antisymmetry,EquilibriumConvergenceAnalysis,0.5502,0.525,0.5236,0.5051,0.4974,0.5067,0.5166,EQUILIBRIUM-DEGRADING
32,Antisymmetry,EquilibriumConvergenceAnalysis,0.4783,0.4515,0.4627,0.4533,0.4348,0.4332,0.4376,EQUILIBRIUM-DEGRADING
40,Antisymmetry,EquilibriumConvergenceAnalysis,0.4313,0.4136,0.406,0.3859,0.3862,0.3881,0.3942,EQUILIBRIUM-DEGRADING
48,Antisymmetry,EquilibriumConvergenceAnalysis,0.3804,0.368,0.3613,0.3458,0.3469,0.3492,0.3607,EQUILIBRIUM-FAILED
64,Antisymmetry,EquilibriumConvergenceAnalysis,0.3114,0.2979,0.3037,0.2878,0.2923,0.2962,0.2978,EQUILIBRIUM-FAILED
80,Antisymmetry,EquilibriumConvergenceAnalysis,0.2696,0.2609,0.26,0.2521,0.247,0.2496,0.2455,EQUILIBRIUM-FAILED
96,Antisymmetry,EquilibriumConvergenceAnalysis,0.2364,0.2283,0.2272,0.2164,0.2139,0.212,0.2211,EQUILIBRIUM-FAILED
128,Antisymmetry,EquilibriumConvergenceAnalysis,0.1891,0.1807,0.1811,0.1736,0.1734,0.1723,0.1735,EQUILIBRIUM-FAILED
160,Antisymmetry,EquilibriumConvergenceAnalysis,0.1555,0.1519,0.1492,0.1424,0.1443,0.1469,0.1453,EQUILIBRIUM-FAILED
192,Antisymmetry,EquilibriumConvergenceAnalysis,0.1355,0.1271,0.1277,0.1252,0.1218,0.1217,0.1267,EQUILIBRIUM-FAILED
256,Antisymmetry,EquilibriumConvergenceAnalysis,0.1063,0.1003,0.1003,0.0957,0.0944,0.0963,0.0965,EQUILIBRIUM-FAILED
1,Antisymmetry,AdaptiveBottleneckBalancing,0.96,0.9107,0.9256,0.8976,0.8959,0.8647,0.8879,EQUILIBRIUM-STABLE
2,Antisymmetry,AdaptiveBottleneckBalancing,0.9329,0.8813,0.8966,0.8789,0.8681,0.8371,0.8722,EQUILIBRIUM-STABLE
4,Antisymmetry,AdaptiveBottleneckBalancing,0.8685,0.8429,0.8334,0.8101,0.8107,0.8008,0.8126,EQUILIBRIUM-STABLE
6,Antisymmetry,AdaptiveBottleneckBalancing,0.8367,0.8003,0.7851,0.7964,0.7716,0.751,0.7828,EQUILIBRIUM-STABLE
8,Antisymmetry,AdaptiveBottleneckBalancing,0.7907,0.7636,0.7545,0.7349,0.7315,0.7095,0.7201,EQUILIBRIUM-STABLE
12,Antisymmetry,AdaptiveBottleneckBalancing,0.7101,0.6713,0.6559,0.6822,0.6446,0.6456,0.6636,EQUILIBRIUM-BOUNDED
16,Antisymmetry,AdaptiveBottleneckBalancing,0.6378,0.6348,0.6215,0.6033,0.5971,0.6002,0.5964,EQUILIBRIUM-PARTIAL
20,Antisymmetry,AdaptiveBottleneckBalancing,0.6026,0.5686,0.5706,0.5724,0.5488,0.5509,0.5663,EQUILIBRIUM-PARTIAL
24,Antisymmetry,AdaptiveBottleneckBalancing,0.5618,0.5437,0.5103,0.5166,0.5194,0.5159,0.5215,EQUILIBRIUM-DEGRADING
32,Antisymmetry,AdaptiveBottleneckBalancing,0.4808,0.4589,0.4462,0.4585,0.4466,0.4419,0.4502,EQUILIBRIUM-DEGRADING
40,Antisymmetry,AdaptiveBottleneckBalancing,0.4326,0.4095,0.3947,0.4055,0.4009,0.3925,0.4047,EQUILIBRIUM-DEGRADING
48,Antisymmetry,AdaptiveBottleneckBalancing,0.3839,0.3682,0.366,0.3688,0.3543,0.3462,0.3515,EQUILIBRIUM-FAILED
64,Antisymmetry,AdaptiveBottleneckBalancing,0.3203,0.3054,0.2996,0.3,0.2983,0.288,0.3028,EQUILIBRIUM-FAILED
80,Antisymmetry,AdaptiveBottleneckBalancing,0.2685,0.2604,0.2574,0.2602,0.2498,0.246,0.2546,EQUILIBRIUM-FAILED
96,Antisymmetry,AdaptiveBottleneckBalancing,0.2357,0.228,0.2229,0.2261,0.2146,0.2213,0.2173,EQUILIBRIUM-FAILED
128,Antisymmetry,AdaptiveBottleneckBalancing,0.1907,0.1811,0.1821,0.1794,0.1751,0.1713,0.18,EQUILIBRIUM-FAILED
160,Antisymmetry,AdaptiveBottleneckBalancing,0.1547,0.149,0.1507,0.1476,0.1455,0.145,0.1498,EQUILIBRIUM-FAILED
192,Antisymmetry,AdaptiveBottleneckBalancing,0.1365,0.1321,0.1274,0.1293,0.1248,0.1248,0.124,EQUILIBRIUM-FAILED
256,Antisymmetry,AdaptiveBottleneckBalancing,0.1058,0.0999,0.1004,0.0979,0.0949,0.0943,0.0959,EQUILIBRIUM-FAILED
1,Antisymmetry,RecursiveFlowRedistribution,0.96,0.9016,0.9022,0.9077,0.9037,0.8642,0.9029,EQUILIBRIUM-STABLE
2,Antisymmetry,RecursiveFlowRedistribution,0.9281,0.892,0.8646,0.8611,0.8491,0.8289,0.8512,EQUILIBRIUM-STABLE
4,Antisymmetry,RecursiveFlowRedistribution,0.8781,0.8404,0.8342,0.8042,0.8034,0.7852,0.8167,EQUILIBRIUM-STABLE
6,Antisymmetry,RecursiveFlowRedistribution,0.8093,0.8049,0.7948,0.7624,0.785,0.7545,0.7593,EQUILIBRIUM-STABLE
8,Antisymmetry,RecursiveFlowRedistribution,0.7803,0.7413,0.7297,0.732,0.7192,0.6952,0.7246,EQUILIBRIUM-BOUNDED
12,Antisymmetry,RecursiveFlowRedistribution,0.7047,0.6865,0.6729,0.6581,0.669,0.6295,0.6572,EQUILIBRIUM-BOUNDED
16,Antisymmetry,RecursiveFlowRedistribution,0.6491,0.6084,0.61,0.6157,0.6017,0.5737,0.6009,EQUILIBRIUM-PARTIAL
20,Antisymmetry,RecursiveFlowRedistribution,0.6,0.5759,0.5733,0.5588,0.5534,0.5456,0.5671,EQUILIBRIUM-PARTIAL
24,Antisymmetry,RecursiveFlowRedistribution,0.5403,0.5271,0.5159,0.5068,0.5237,0.4904,0.5049,EQUILIBRIUM-DEGRADING
32,Antisymmetry,RecursiveFlowRedistribution,0.4769,0.4675,0.4531,0.4445,0.4459,0.4368,0.445,EQUILIBRIUM-DEGRADING
40,Antisymmetry,RecursiveFlowRedistribution,0.4256,0.4092,0.3964,0.3954,0.3904,0.3931,0.3975,EQUILIBRIUM-DEGRADING
48,Antisymmetry,RecursiveFlowRedistribution,0.3833,0.3654,0.3564,0.361,0.3628,0.3492,0.3619,EQUILIBRIUM-FAILED
64,Antisymmetry,RecursiveFlowRedistribution,0.3168,0.3053,0.2967,0.2986,0.2973,0.2917,0.2963,EQUILIBRIUM-FAILED
80,Antisymmetry,RecursiveFlowRedistribution,0.2679,0.2647,0.2616,0.2585,0.2552,0.24,0.2575,EQUILIBRIUM-FAILED
96,Antisymmetry,RecursiveFlowRedistribution,0.2315,0.2262,0.2279,0.2209,0.2258,0.218,0.2261,EQUILIBRIUM-FAILED
128,Antisymmetry,RecursiveFlowRedistribution,0.1904,0.1801,0.1807,0.1738,0.1785,0.1702,0.1786,EQUILIBRIUM-FAILED
160,Antisymmetry,RecursiveFlowRedistribution,0.1561,0.1509,0.1458,0.1444,0.1458,0.141,0.1496,EQUILIBRIUM-FAILED
192,Antisymmetry,RecursiveFlowRedistribution,0.1338,0.1294,0.1293,0.126,0.1266,0.1229,0.1233,EQUILIBRIUM-FAILED
256,Antisymmetry,RecursiveFlowRedistribution,0.1037,0.1003,0.1009,0.0963,0.0956,0.0954,0.0977,EQUILIBRIUM-FAILED
