depth,sector,condition,rg_similarity,abstraction_coherence,meta_model_fidelity,cross_model_integration,recursive_abstraction_persistence,predictive_abstraction_gain,higher_order_stabilization_strength,classification
4096,Projection,MetaModelExtraction,0.0814,0.0786,0.0775,0.0761,0.0748,0.0735,0.0768,ABSTRACTION-FAILED
6144,Projection,MetaModelExtraction,0.054,0.0533,0.0521,0.0515,0.0518,0.0508,0.0511,ABSTRACTION-FAILED
8192,Projection,MetaModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Projection,MetaModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Projection,MetaModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Projection,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Projection,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
4,Projection,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
6,Projection,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
8,Projection,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
12,Projection,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
16,Projection,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
20,Projection,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
24,Projection,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
32,Projection,AbstractionCoherenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.9149,ABSTRACTION-STABLE
40,Projection,AbstractionCoherenceAnalysis,0.96,0.94,0.9242,0.9126,0.8888,0.8998,0.8925,ABSTRACTION-STABLE
48,Projection,AbstractionCoherenceAnalysis,0.9387,0.9312,0.9007,0.8841,0.8687,0.8732,0.8906,ABSTRACTION-STABLE
64,Projection,AbstractionCoherenceAnalysis,0.89,0.8678,0.8567,0.8678,0.8612,0.8277,0.8494,ABSTRACTION-BOUNDED
80,Projection,AbstractionCoherenceAnalysis,0.8626,0.8462,0.8205,0.8257,0.8104,0.7888,0.8137,ABSTRACTION-BOUNDED
96,Projection,AbstractionCoherenceAnalysis,0.8423,0.8207,0.8124,0.785,0.7889,0.7606,0.7751,ABSTRACTION-BOUNDED
128,Projection,AbstractionCoherenceAnalysis,0.7897,0.7511,0.7291,0.743,0.7274,0.7315,0.7326,ABSTRACTION-PARTIAL
160,Projection,AbstractionCoherenceAnalysis,0.7327,0.713,0.6938,0.6868,0.6783,0.6833,0.6896,ABSTRACTION-DEGRADING
192,Projection,AbstractionCoherenceAnalysis,0.6879,0.6715,0.6504,0.6448,0.6274,0.6247,0.6456,ABSTRACTION-DEGRADING
256,Projection,AbstractionCoherenceAnalysis,0.5969,0.5879,0.5704,0.5851,0.5766,0.5553,0.5841,ABSTRACTION-DEGRADING
320,Projection,AbstractionCoherenceAnalysis,0.5485,0.5347,0.5169,0.5207,0.5104,0.5124,0.5101,ABSTRACTION-FAILED
512,Projection,AbstractionCoherenceAnalysis,0.4299,0.4071,0.4046,0.4038,0.3991,0.3984,0.3956,ABSTRACTION-FAILED
768,Projection,AbstractionCoherenceAnalysis,0.323,0.3189,0.3066,0.3036,0.3081,0.2977,0.3026,ABSTRACTION-FAILED
1024,Projection,AbstractionCoherenceAnalysis,0.2654,0.2521,0.2527,0.2447,0.2518,0.2421,0.2533,ABSTRACTION-FAILED
1536,Projection,AbstractionCoherenceAnalysis,0.1922,0.1847,0.1832,0.1826,0.177,0.1783,0.1836,ABSTRACTION-FAILED
2048,Projection,AbstractionCoherenceAnalysis,0.1492,0.1466,0.1463,0.1443,0.142,0.1416,0.1425,ABSTRACTION-FAILED
3072,Projection,AbstractionCoherenceAnalysis,0.1058,0.1029,0.0986,0.0997,0.0972,0.0964,0.0976,ABSTRACTION-FAILED
4096,Projection,AbstractionCoherenceAnalysis,0.0813,0.0802,0.0763,0.0755,0.0768,0.0752,0.0772,ABSTRACTION-FAILED
6144,Projection,AbstractionCoherenceAnalysis,0.0556,0.0545,0.0536,0.053,0.0508,0.0514,0.0522,ABSTRACTION-FAILED
8192,Projection,AbstractionCoherenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Projection,AbstractionCoherenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Projection,AbstractionCoherenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Projection,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Projection,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
4,Projection,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
6,Projection,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
8,Projection,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
12,Projection,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
16,Projection,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
20,Projection,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
24,Projection,CrossModelIntegrationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
32,Projection,CrossModelIntegrationMapping,0.9546,0.9337,0.93,0.92,0.91,0.8859,0.92,ABSTRACTION-STABLE
40,Projection,CrossModelIntegrationMapping,0.9529,0.9231,0.9266,0.92,0.8784,0.8933,0.9169,ABSTRACTION-STABLE
48,Projection,CrossModelIntegrationMapping,0.9141,0.8984,0.8961,0.898,0.8811,0.8522,0.8696,ABSTRACTION-BOUNDED
64,Projection,CrossModelIntegrationMapping,0.9087,0.8645,0.8575,0.8634,0.8483,0.8371,0.8417,ABSTRACTION-BOUNDED
80,Projection,CrossModelIntegrationMapping,0.8439,0.8217,0.8315,0.8316,0.8101,0.8096,0.8151,ABSTRACTION-BOUNDED
96,Projection,CrossModelIntegrationMapping,0.8205,0.8105,0.7831,0.7898,0.7859,0.7735,0.7911,ABSTRACTION-PARTIAL
128,Projection,CrossModelIntegrationMapping,0.7822,0.7538,0.7342,0.7403,0.7147,0.7178,0.7249,ABSTRACTION-PARTIAL
160,Projection,CrossModelIntegrationMapping,0.7069,0.7088,0.6887,0.6952,0.6661,0.6705,0.6858,ABSTRACTION-DEGRADING
192,Projection,CrossModelIntegrationMapping,0.6777,0.6642,0.6473,0.6425,0.6413,0.6315,0.6394,ABSTRACTION-DEGRADING
256,Projection,CrossModelIntegrationMapping,0.5912,0.5908,0.5803,0.5731,0.5576,0.5518,0.5646,ABSTRACTION-DEGRADING
320,Projection,CrossModelIntegrationMapping,0.5339,0.5369,0.5248,0.5178,0.5039,0.5,0.5142,ABSTRACTION-FAILED
512,Projection,CrossModelIntegrationMapping,0.423,0.402,0.4061,0.3972,0.3867,0.3831,0.3987,ABSTRACTION-FAILED
768,Projection,CrossModelIntegrationMapping,0.3201,0.3161,0.3128,0.3059,0.3034,0.2975,0.3035,ABSTRACTION-FAILED
1024,Projection,CrossModelIntegrationMapping,0.2558,0.2581,0.2539,0.2483,0.2485,0.2401,0.2442,ABSTRACTION-FAILED
1536,Projection,CrossModelIntegrationMapping,0.1904,0.186,0.18,0.1796,0.1798,0.1751,0.181,ABSTRACTION-FAILED
2048,Projection,CrossModelIntegrationMapping,0.1499,0.143,0.1437,0.1428,0.1396,0.1355,0.1415,ABSTRACTION-FAILED
3072,Projection,CrossModelIntegrationMapping,0.104,0.1016,0.099,0.0995,0.0974,0.0953,0.0979,ABSTRACTION-FAILED
4096,Projection,CrossModelIntegrationMapping,0.0793,0.0774,0.0767,0.0783,0.075,0.0751,0.0747,ABSTRACTION-FAILED
6144,Projection,CrossModelIntegrationMapping,0.0555,0.0541,0.0523,0.0531,0.051,0.0509,0.0525,ABSTRACTION-FAILED
8192,Projection,CrossModelIntegrationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Projection,CrossModelIntegrationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Projection,CrossModelIntegrationMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Projection,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Projection,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
4,Projection,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
6,Projection,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
8,Projection,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
12,Projection,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
16,Projection,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
20,Projection,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
24,Projection,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
32,Projection,RecursiveAbstractionPersistence,0.96,0.94,0.93,0.92,0.91,0.8986,0.92,ABSTRACTION-STABLE
40,Projection,RecursiveAbstractionPersistence,0.9431,0.9136,0.9075,0.9038,0.91,0.8733,0.9177,ABSTRACTION-STABLE
48,Projection,RecursiveAbstractionPersistence,0.9115,0.8888,0.8928,0.8678,0.8732,0.8574,0.8774,ABSTRACTION-BOUNDED
64,Projection,RecursiveAbstractionPersistence,0.8818,0.8758,0.8385,0.8371,0.8405,0.8435,0.8381,ABSTRACTION-BOUNDED
80,Projection,RecursiveAbstractionPersistence,0.8449,0.8277,0.8067,0.8279,0.8347,0.7982,0.8015,ABSTRACTION-BOUNDED
96,Projection,RecursiveAbstractionPersistence,0.8171,0.8125,0.7761,0.77,0.8028,0.7637,0.7874,ABSTRACTION-PARTIAL
128,Projection,RecursiveAbstractionPersistence,0.7751,0.7459,0.7359,0.724,0.7308,0.7111,0.741,ABSTRACTION-PARTIAL
160,Projection,RecursiveAbstractionPersistence,0.715,0.6921,0.6983,0.6691,0.6973,0.6693,0.6886,ABSTRACTION-DEGRADING
192,Projection,RecursiveAbstractionPersistence,0.6747,0.646,0.6332,0.6474,0.6501,0.6365,0.6272,ABSTRACTION-DEGRADING
256,Projection,RecursiveAbstractionPersistence,0.6026,0.5845,0.5694,0.5731,0.5844,0.5567,0.5775,ABSTRACTION-DEGRADING
320,Projection,RecursiveAbstractionPersistence,0.5353,0.5152,0.511,0.5098,0.5236,0.4994,0.5063,ABSTRACTION-FAILED
512,Projection,RecursiveAbstractionPersistence,0.4114,0.3974,0.407,0.4022,0.4046,0.395,0.3951,ABSTRACTION-FAILED
768,Projection,RecursiveAbstractionPersistence,0.3162,0.3118,0.3114,0.3026,0.3072,0.2986,0.3096,ABSTRACTION-FAILED
1024,Projection,RecursiveAbstractionPersistence,0.262,0.2529,0.2497,0.2517,0.2479,0.2468,0.2431,ABSTRACTION-FAILED
1536,Projection,RecursiveAbstractionPersistence,0.1878,0.1805,0.1821,0.1808,0.178,0.1723,0.182,ABSTRACTION-FAILED
2048,Projection,RecursiveAbstractionPersistence,0.1496,0.1455,0.1442,0.1409,0.1441,0.1386,0.1427,ABSTRACTION-FAILED
3072,Projection,RecursiveAbstractionPersistence,0.1035,0.1006,0.101,0.0988,0.101,0.0972,0.0977,ABSTRACTION-FAILED
4096,Projection,RecursiveAbstractionPersistence,0.0796,0.0776,0.0779,0.0743,0.0768,0.0757,0.0748,ABSTRACTION-FAILED
6144,Projection,RecursiveAbstractionPersistence,0.0548,0.0518,0.0521,0.051,0.0524,0.0514,0.0526,ABSTRACTION-FAILED
8192,Projection,RecursiveAbstractionPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Projection,RecursiveAbstractionPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Projection,RecursiveAbstractionPersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Projection,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Projection,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
4,Projection,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
6,Projection,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
8,Projection,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
12,Projection,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
16,Projection,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
20,Projection,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
24,Projection,PredictiveAbstractionGain,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
32,Projection,PredictiveAbstractionGain,0.9489,0.94,0.9139,0.9138,0.91,0.9,0.9139,ABSTRACTION-STABLE
40,Projection,PredictiveAbstractionGain,0.9409,0.9067,0.9185,0.8887,0.8971,0.8958,0.8895,ABSTRACTION-STABLE
48,Projection,PredictiveAbstractionGain,0.9309,0.897,0.8752,0.8854,0.8723,0.8742,0.8776,ABSTRACTION-BOUNDED
64,Projection,PredictiveAbstractionGain,0.8759,0.8628,0.8428,0.8561,0.8348,0.8444,0.8297,ABSTRACTION-BOUNDED
80,Projection,PredictiveAbstractionGain,0.8586,0.8368,0.8329,0.821,0.7977,0.8109,0.8201,ABSTRACTION-BOUNDED
96,Projection,PredictiveAbstractionGain,0.8152,0.8072,0.7873,0.7799,0.7741,0.7678,0.789,ABSTRACTION-PARTIAL
128,Projection,PredictiveAbstractionGain,0.7657,0.7321,0.725,0.7404,0.7203,0.7355,0.7284,ABSTRACTION-PARTIAL
160,Projection,PredictiveAbstractionGain,0.7031,0.704,0.6771,0.6857,0.6732,0.6823,0.6674,ABSTRACTION-DEGRADING
192,Projection,PredictiveAbstractionGain,0.6579,0.649,0.6466,0.6512,0.6367,0.6375,0.6387,ABSTRACTION-DEGRADING
256,Projection,PredictiveAbstractionGain,0.5935,0.5809,0.565,0.5807,0.5667,0.5615,0.5606,ABSTRACTION-DEGRADING
320,Projection,PredictiveAbstractionGain,0.5408,0.5176,0.5288,0.5063,0.5093,0.511,0.5151,ABSTRACTION-FAILED
512,Projection,PredictiveAbstractionGain,0.413,0.4026,0.4026,0.3928,0.3854,0.3943,0.3943,ABSTRACTION-FAILED
768,Projection,PredictiveAbstractionGain,0.3174,0.309,0.3101,0.3049,0.3048,0.3044,0.3096,ABSTRACTION-FAILED
1024,Projection,PredictiveAbstractionGain,0.2555,0.2472,0.2479,0.2445,0.2461,0.2458,0.2445,ABSTRACTION-FAILED
1536,Projection,PredictiveAbstractionGain,0.1847,0.1829,0.1777,0.1784,0.1805,0.1768,0.1766,ABSTRACTION-FAILED
2048,Projection,PredictiveAbstractionGain,0.1468,0.1413,0.1426,0.139,0.1394,0.1399,0.1399,ABSTRACTION-FAILED
3072,Projection,PredictiveAbstractionGain,0.1029,0.0998,0.0987,0.1,0.0976,0.0989,0.0992,ABSTRACTION-FAILED
4096,Projection,PredictiveAbstractionGain,0.0797,0.0757,0.0776,0.0749,0.0741,0.0748,0.076,ABSTRACTION-FAILED
6144,Projection,PredictiveAbstractionGain,0.0544,0.0536,0.0528,0.0527,0.0513,0.0517,0.0518,ABSTRACTION-FAILED
8192,Projection,PredictiveAbstractionGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Projection,PredictiveAbstractionGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Projection,PredictiveAbstractionGain,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Projection,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Projection,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
4,Projection,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
6,Projection,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
8,Projection,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
12,Projection,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
16,Projection,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
20,Projection,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
24,Projection,HigherOrderStabilizationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
32,Projection,HigherOrderStabilizationTracking,0.955,0.9262,0.93,0.9027,0.91,0.9,0.92,ABSTRACTION-STABLE
40,Projection,HigherOrderStabilizationTracking,0.9494,0.9125,0.93,0.9088,0.9084,0.8986,0.92,ABSTRACTION-STABLE
48,Projection,HigherOrderStabilizationTracking,0.9039,0.8848,0.9015,0.8954,0.889,0.857,0.8895,ABSTRACTION-BOUNDED
64,Projection,HigherOrderStabilizationTracking,0.8806,0.8537,0.8548,0.8419,0.8491,0.8372,0.8526,ABSTRACTION-BOUNDED
80,Projection,HigherOrderStabilizationTracking,0.8369,0.8409,0.8137,0.8012,0.8285,0.8071,0.8292,ABSTRACTION-BOUNDED
96,Projection,HigherOrderStabilizationTracking,0.8164,0.795,0.7833,0.7695,0.7731,0.7745,0.7878,ABSTRACTION-PARTIAL
128,Projection,HigherOrderStabilizationTracking,0.7487,0.7472,0.7563,0.7261,0.7145,0.7117,0.7549,ABSTRACTION-PARTIAL
160,Projection,HigherOrderStabilizationTracking,0.7115,0.7026,0.7003,0.6675,0.6742,0.67,0.6895,ABSTRACTION-PARTIAL
192,Projection,HigherOrderStabilizationTracking,0.6673,0.6588,0.644,0.6307,0.645,0.6395,0.6599,ABSTRACTION-DEGRADING
256,Projection,HigherOrderStabilizationTracking,0.5997,0.5888,0.5724,0.5752,0.5666,0.5645,0.5854,ABSTRACTION-DEGRADING
320,Projection,HigherOrderStabilizationTracking,0.528,0.5224,0.5188,0.5184,0.5206,0.506,0.5142,ABSTRACTION-FAILED
512,Projection,HigherOrderStabilizationTracking,0.4128,0.4019,0.4017,0.4037,0.3942,0.3995,0.4036,ABSTRACTION-FAILED
768,Projection,HigherOrderStabilizationTracking,0.3216,0.3085,0.3051,0.31,0.3095,0.3021,0.3151,ABSTRACTION-FAILED
1024,Projection,HigherOrderStabilizationTracking,0.2529,0.2494,0.2546,0.2429,0.2496,0.2467,0.2569,ABSTRACTION-FAILED
1536,Projection,HigherOrderStabilizationTracking,0.1879,0.1834,0.1851,0.1777,0.1763,0.1746,0.1799,ABSTRACTION-FAILED
2048,Projection,HigherOrderStabilizationTracking,0.1481,0.1439,0.1443,0.1416,0.1399,0.1407,0.143,ABSTRACTION-FAILED
3072,Projection,HigherOrderStabilizationTracking,0.102,0.0986,0.0987,0.0978,0.0975,0.0978,0.1017,ABSTRACTION-FAILED
4096,Projection,HigherOrderStabilizationTracking,0.0778,0.0763,0.0757,0.0761,0.0769,0.0745,0.0775,ABSTRACTION-FAILED
6144,Projection,HigherOrderStabilizationTracking,0.0536,0.0536,0.0535,0.0508,0.0515,0.0509,0.0525,ABSTRACTION-FAILED
8192,Projection,HigherOrderStabilizationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
12288,Projection,HigherOrderStabilizationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
16384,Projection,HigherOrderStabilizationTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ABSTRACTION-FAILED
1,Projection,NullAbstractionControl,0.8646,0.8402,0.856,0.8459,0.8305,0.8024,0.8208,ABSTRACTION-BOUNDED
2,Projection,NullAbstractionControl,0.8439,0.8375,0.84,0.8345,0.8188,0.8007,0.8504,ABSTRACTION-BOUNDED
4,Projection,NullAbstractionControl,0.8695,0.8587,0.8209,0.8289,0.8277,0.7923,0.8426,ABSTRACTION-BOUNDED
6,Projection,NullAbstractionControl,0.8534,0.8306,0.819,0.8442,0.7963,0.8066,0.8049,ABSTRACTION-BOUNDED
8,Projection,NullAbstractionControl,0.8334,0.8234,0.8099,0.8491,0.8148,0.7925,0.8339,ABSTRACTION-BOUNDED
12,Projection,NullAbstractionControl,0.8472,0.8099,0.8017,0.8411,0.8141,0.7946,0.8089,ABSTRACTION-BOUNDED
16,Projection,NullAbstractionControl,0.8322,0.8199,0.794,0.8326,0.808,0.7733,0.8057,ABSTRACTION-PARTIAL
20,Projection,NullAbstractionControl,0.8138,0.7913,0.8043,0.8252,0.7668,0.7859,0.7719,ABSTRACTION-PARTIAL
24,Projection,NullAbstractionControl,0.8193,0.7953,0.7881,0.7833,0.7651,0.7575,0.7688,ABSTRACTION-PARTIAL
32,Projection,NullAbstractionControl,0.8002,0.7809,0.7906,0.7682,0.7382,0.7458,0.7625,ABSTRACTION-PARTIAL
40,Projection,NullAbstractionControl,0.7691,0.7778,0.7742,0.7575,0.7515,0.7338,0.749,ABSTRACTION-PARTIAL
48,Projection,NullAbstractionControl,0.7542,0.7498,0.7386,0.7406,0.7359,0.7216,0.7424,ABSTRACTION-PARTIAL
64,Projection,NullAbstractionControl,0.7187,0.7139,0.707,0.7264,0.6834,0.7027,0.715,ABSTRACTION-PARTIAL
80,Projection,NullAbstractionControl,0.6842,0.6818,0.688,0.696,0.6667,0.6749,0.6891,ABSTRACTION-DEGRADING
96,Projection,NullAbstractionControl,0.6726,0.6599,0.6449,0.6759,0.6574,0.642,0.6356,ABSTRACTION-DEGRADING
128,Projection,NullAbstractionControl,0.6275,0.6292,0.6062,0.6079,0.612,0.5935,0.6044,ABSTRACTION-DEGRADING
160,Projection,NullAbstractionControl,0.5752,0.5869,0.5723,0.5731,0.561,0.5475,0.5598,ABSTRACTION-DEGRADING
192,Projection,NullAbstractionControl,0.5389,0.5516,0.5418,0.5502,0.5341,0.5194,0.5283,ABSTRACTION-DEGRADING
256,Projection,NullAbstractionControl,0.484,0.476,0.476,0.4927,0.4582,0.4675,0.4703,ABSTRACTION-FAILED
320,Projection,NullAbstractionControl,0.4297,0.429,0.4377,0.4335,0.4309,0.408,0.4369,ABSTRACTION-FAILED
512,Projection,NullAbstractionControl,0.3467,0.3394,0.3395,0.3352,0.3309,0.3249,0.3224,ABSTRACTION-FAILED
768,Projection,NullAbstractionControl,0.2622,0.2602,0.2622,0.2646,0.2463,0.243,0.2477,ABSTRACTION-FAILED
