depth,sector,condition,rg_similarity,shock_absorption_index,cascade_suppression,recovery_coherence,redistribution_efficiency,equilibrium_resilience,self_healing_persistence,classification
160,Projection,RecursiveSelfHealingDynamics,0.1706,0.1682,0.1685,0.1647,0.1623,0.1636,0.1656,RESILIENCE-FAILED
192,Projection,RecursiveSelfHealingDynamics,0.1521,0.1473,0.1422,0.1436,0.1401,0.1376,0.1417,RESILIENCE-FAILED
256,Projection,RecursiveSelfHealingDynamics,0.1183,0.1115,0.1127,0.1125,0.1078,0.1088,0.1104,RESILIENCE-FAILED
320,Projection,RecursiveSelfHealingDynamics,0.0949,0.092,0.0901,0.0901,0.0906,0.0899,0.0939,RESILIENCE-FAILED
1,Projection,NullResilienceControl,0.7999,0.7773,0.7539,0.7848,0.7529,0.7549,0.7572,RESILIENCE-STABLE
2,Projection,NullResilienceControl,0.7829,0.7721,0.7491,0.7462,0.7346,0.7052,0.7442,RESILIENCE-BOUNDED
4,Projection,NullResilienceControl,0.7144,0.7032,0.6881,0.7241,0.7038,0.6914,0.6979,RESILIENCE-BOUNDED
6,Projection,NullResilienceControl,0.6845,0.692,0.6563,0.6932,0.6361,0.6453,0.6475,RESILIENCE-BOUNDED
8,Projection,NullResilienceControl,0.652,0.6304,0.6481,0.6588,0.6304,0.6161,0.6416,RESILIENCE-PARTIAL
12,Projection,NullResilienceControl,0.593,0.5981,0.5713,0.5744,0.5554,0.5571,0.5777,RESILIENCE-PARTIAL
16,Projection,NullResilienceControl,0.5517,0.5332,0.5383,0.5514,0.5098,0.5139,0.5372,RESILIENCE-DEGRADING
20,Projection,NullResilienceControl,0.5133,0.4953,0.4825,0.5032,0.4898,0.4641,0.4751,RESILIENCE-DEGRADING
24,Projection,NullResilienceControl,0.4679,0.4583,0.4575,0.477,0.451,0.451,0.4414,RESILIENCE-DEGRADING
32,Projection,NullResilienceControl,0.4132,0.4083,0.4057,0.4111,0.3988,0.3832,0.3992,RESILIENCE-DEGRADING
40,Projection,NullResilienceControl,0.3758,0.3569,0.3639,0.3643,0.3455,0.3367,0.3584,RESILIENCE-FAILED
48,Projection,NullResilienceControl,0.3362,0.3225,0.3305,0.333,0.3112,0.3078,0.325,RESILIENCE-FAILED
64,Projection,NullResilienceControl,0.2809,0.2717,0.2657,0.2676,0.2639,0.2639,0.2742,RESILIENCE-FAILED
80,Projection,NullResilienceControl,0.237,0.2348,0.2363,0.2349,0.2219,0.2176,0.224,RESILIENCE-FAILED
96,Projection,NullResilienceControl,0.2065,0.2086,0.2041,0.2026,0.2011,0.1945,0.1979,RESILIENCE-FAILED
128,Projection,NullResilienceControl,0.17,0.1644,0.1663,0.1652,0.16,0.1578,0.1613,RESILIENCE-FAILED
160,Projection,NullResilienceControl,0.1436,0.1383,0.1383,0.1367,0.1307,0.1335,0.1335,RESILIENCE-FAILED
192,Projection,NullResilienceControl,0.1231,0.1198,0.1178,0.1178,0.1127,0.1111,0.1149,RESILIENCE-FAILED
256,Projection,NullResilienceControl,0.0938,0.0901,0.0891,0.091,0.0901,0.0872,0.0917,RESILIENCE-FAILED
320,Projection,NullResilienceControl,0.0766,0.0741,0.0729,0.0773,0.0737,0.0701,0.0719,RESILIENCE-FAILED
1,Antisymmetry,LargeScalePerturbationInjection,0.9564,0.94,0.9217,0.8912,0.8912,0.8811,0.9083,RESILIENCE-STABLE
2,Antisymmetry,LargeScalePerturbationInjection,0.9579,0.8881,0.9081,0.8673,0.8656,0.8698,0.8741,RESILIENCE-STABLE
4,Antisymmetry,LargeScalePerturbationInjection,0.9038,0.8368,0.8512,0.8097,0.8287,0.8236,0.8227,RESILIENCE-STABLE
6,Antisymmetry,LargeScalePerturbationInjection,0.8403,0.8172,0.8124,0.7829,0.7758,0.7884,0.7667,RESILIENCE-STABLE
8,Antisymmetry,LargeScalePerturbationInjection,0.7976,0.7539,0.7729,0.7467,0.7265,0.7254,0.7422,RESILIENCE-STABLE
12,Antisymmetry,LargeScalePerturbationInjection,0.7235,0.694,0.6979,0.6827,0.6724,0.6755,0.682,RESILIENCE-BOUNDED
16,Antisymmetry,LargeScalePerturbationInjection,0.6692,0.6411,0.6433,0.6272,0.6132,0.6279,0.6235,RESILIENCE-PARTIAL
20,Antisymmetry,LargeScalePerturbationInjection,0.6347,0.5848,0.5862,0.568,0.5777,0.5587,0.5764,RESILIENCE-PARTIAL
24,Antisymmetry,LargeScalePerturbationInjection,0.5714,0.5466,0.5459,0.536,0.5415,0.5286,0.5349,RESILIENCE-DEGRADING
32,Antisymmetry,LargeScalePerturbationInjection,0.517,0.4831,0.4755,0.465,0.466,0.4766,0.4686,RESILIENCE-DEGRADING
40,Antisymmetry,LargeScalePerturbationInjection,0.4548,0.4374,0.4246,0.4282,0.4146,0.4118,0.4294,RESILIENCE-DEGRADING
48,Antisymmetry,LargeScalePerturbationInjection,0.4048,0.3968,0.3934,0.3851,0.3679,0.3714,0.387,RESILIENCE-FAILED
64,Antisymmetry,LargeScalePerturbationInjection,0.3484,0.3283,0.3281,0.3176,0.3176,0.3143,0.3118,RESILIENCE-FAILED
80,Antisymmetry,LargeScalePerturbationInjection,0.2989,0.2799,0.2841,0.2682,0.2723,0.2636,0.2675,RESILIENCE-FAILED
96,Antisymmetry,LargeScalePerturbationInjection,0.2608,0.2457,0.2392,0.2416,0.2388,0.237,0.2428,RESILIENCE-FAILED
128,Antisymmetry,LargeScalePerturbationInjection,0.2026,0.201,0.1989,0.1923,0.1855,0.1909,0.1873,RESILIENCE-FAILED
160,Antisymmetry,LargeScalePerturbationInjection,0.1757,0.1671,0.1602,0.1593,0.159,0.1612,0.1631,RESILIENCE-FAILED
192,Antisymmetry,LargeScalePerturbationInjection,0.1498,0.1444,0.1397,0.135,0.1329,0.1333,0.1388,RESILIENCE-FAILED
256,Antisymmetry,LargeScalePerturbationInjection,0.115,0.108,0.1112,0.109,0.1065,0.1032,0.1083,RESILIENCE-FAILED
320,Antisymmetry,LargeScalePerturbationInjection,0.0941,0.0885,0.09,0.0865,0.0858,0.0852,0.0871,RESILIENCE-FAILED
1,Antisymmetry,CascadePropagationAnalysis,0.9453,0.9237,0.9185,0.902,0.8758,0.8707,0.8909,RESILIENCE-STABLE
2,Antisymmetry,CascadePropagationAnalysis,0.9358,0.8886,0.9116,0.8924,0.8674,0.8625,0.8854,RESILIENCE-STABLE
4,Antisymmetry,CascadePropagationAnalysis,0.8736,0.8261,0.8516,0.819,0.8021,0.8025,0.8162,RESILIENCE-STABLE
6,Antisymmetry,CascadePropagationAnalysis,0.828,0.7893,0.8171,0.7931,0.7722,0.7909,0.7799,RESILIENCE-STABLE
8,Antisymmetry,CascadePropagationAnalysis,0.7844,0.7541,0.7553,0.7544,0.7284,0.7223,0.7436,RESILIENCE-STABLE
12,Antisymmetry,CascadePropagationAnalysis,0.7351,0.7036,0.7118,0.6936,0.6728,0.6633,0.6925,RESILIENCE-BOUNDED
16,Antisymmetry,CascadePropagationAnalysis,0.6699,0.6273,0.6554,0.6232,0.6277,0.6162,0.6322,RESILIENCE-PARTIAL
20,Antisymmetry,CascadePropagationAnalysis,0.6073,0.578,0.609,0.5868,0.5615,0.5604,0.5703,RESILIENCE-PARTIAL
24,Antisymmetry,CascadePropagationAnalysis,0.5686,0.5581,0.5636,0.5504,0.5287,0.533,0.5409,RESILIENCE-PARTIAL
32,Antisymmetry,CascadePropagationAnalysis,0.5029,0.4858,0.4821,0.4761,0.4719,0.4676,0.4671,RESILIENCE-DEGRADING
40,Antisymmetry,CascadePropagationAnalysis,0.453,0.4348,0.4435,0.4172,0.4126,0.4083,0.4188,RESILIENCE-DEGRADING
48,Antisymmetry,CascadePropagationAnalysis,0.4044,0.3925,0.3897,0.3849,0.38,0.3757,0.3834,RESILIENCE-FAILED
64,Antisymmetry,CascadePropagationAnalysis,0.3463,0.3187,0.3328,0.3221,0.3189,0.3117,0.3211,RESILIENCE-FAILED
80,Antisymmetry,CascadePropagationAnalysis,0.2949,0.2784,0.2866,0.2725,0.2678,0.2724,0.2728,RESILIENCE-FAILED
96,Antisymmetry,CascadePropagationAnalysis,0.2509,0.2419,0.2435,0.2419,0.2409,0.2389,0.2427,RESILIENCE-FAILED
128,Antisymmetry,CascadePropagationAnalysis,0.2051,0.1914,0.1961,0.1944,0.1923,0.193,0.1886,RESILIENCE-FAILED
160,Antisymmetry,CascadePropagationAnalysis,0.1721,0.1648,0.1658,0.1587,0.1564,0.1543,0.1591,RESILIENCE-FAILED
192,Antisymmetry,CascadePropagationAnalysis,0.1498,0.1397,0.1426,0.1366,0.1382,0.1377,0.1346,RESILIENCE-FAILED
256,Antisymmetry,CascadePropagationAnalysis,0.1162,0.1108,0.1087,0.107,0.1047,0.1062,0.1059,RESILIENCE-FAILED
320,Antisymmetry,CascadePropagationAnalysis,0.0957,0.0893,0.0908,0.0867,0.0845,0.0856,0.0887,RESILIENCE-FAILED
1,Antisymmetry,EquilibriumRecoveryTracking,0.96,0.929,0.913,0.9018,0.8989,0.8992,0.89,RESILIENCE-STABLE
2,Antisymmetry,EquilibriumRecoveryTracking,0.9415,0.8812,0.8811,0.9039,0.8658,0.8492,0.8651,RESILIENCE-STABLE
4,Antisymmetry,EquilibriumRecoveryTracking,0.8915,0.8439,0.8477,0.8566,0.8124,0.8022,0.8334,RESILIENCE-STABLE
6,Antisymmetry,EquilibriumRecoveryTracking,0.8396,0.7916,0.7749,0.7986,0.7968,0.7734,0.8063,RESILIENCE-STABLE
8,Antisymmetry,EquilibriumRecoveryTracking,0.8176,0.7548,0.7512,0.7506,0.7291,0.7469,0.7558,RESILIENCE-STABLE
12,Antisymmetry,EquilibriumRecoveryTracking,0.7291,0.71,0.6898,0.6852,0.6779,0.6776,0.6955,RESILIENCE-BOUNDED
16,Antisymmetry,EquilibriumRecoveryTracking,0.672,0.6524,0.6301,0.6436,0.6371,0.6246,0.6429,RESILIENCE-PARTIAL
20,Antisymmetry,EquilibriumRecoveryTracking,0.6234,0.5939,0.5908,0.6007,0.5839,0.5705,0.5837,RESILIENCE-PARTIAL
24,Antisymmetry,EquilibriumRecoveryTracking,0.5756,0.5633,0.5544,0.5397,0.5439,0.5267,0.5385,RESILIENCE-PARTIAL
32,Antisymmetry,EquilibriumRecoveryTracking,0.5108,0.4868,0.4792,0.4788,0.4792,0.4712,0.477,RESILIENCE-DEGRADING
40,Antisymmetry,EquilibriumRecoveryTracking,0.4615,0.4313,0.4203,0.4313,0.4249,0.4202,0.4222,RESILIENCE-DEGRADING
48,Antisymmetry,EquilibriumRecoveryTracking,0.4031,0.3947,0.3783,0.3854,0.3861,0.3802,0.3822,RESILIENCE-FAILED
64,Antisymmetry,EquilibriumRecoveryTracking,0.339,0.3233,0.3238,0.3179,0.3108,0.3086,0.3208,RESILIENCE-FAILED
80,Antisymmetry,EquilibriumRecoveryTracking,0.2966,0.2752,0.2694,0.2774,0.2731,0.2636,0.2738,RESILIENCE-FAILED
96,Antisymmetry,EquilibriumRecoveryTracking,0.2632,0.2418,0.2426,0.2487,0.2346,0.2323,0.2397,RESILIENCE-FAILED
128,Antisymmetry,EquilibriumRecoveryTracking,0.2068,0.1988,0.196,0.1995,0.1923,0.1876,0.194,RESILIENCE-FAILED
160,Antisymmetry,EquilibriumRecoveryTracking,0.1698,0.1682,0.1633,0.1622,0.1617,0.1553,0.158,RESILIENCE-FAILED
192,Antisymmetry,EquilibriumRecoveryTracking,0.1488,0.1434,0.1357,0.1427,0.1368,0.1359,0.1403,RESILIENCE-FAILED
256,Antisymmetry,EquilibriumRecoveryTracking,0.1159,0.1093,0.1091,0.108,0.1075,0.104,0.1085,RESILIENCE-FAILED
320,Antisymmetry,EquilibriumRecoveryTracking,0.0945,0.0916,0.0875,0.0877,0.0864,0.0866,0.0893,RESILIENCE-FAILED
