system_a,system_b,tau_alignment,category_a,category_b
colored_noise,modular_arithmetic,0.6756264282449826,random_control,arithmetic
colored_noise,additive_recurrence,0.9956495504043678,random_control,arithmetic
colored_noise,lorenz,0.24846941193985142,random_control,dynamical
colored_noise,logistic_map,0.9961478883303835,random_control,dynamical
colored_noise,henon_map,0.994564900897167,random_control,dynamical
colored_noise,ising_magnetization,0.9903644239311121,random_control,dynamical
colored_noise,reaction_diffusion,0.04733966587853952,random_control,dynamical
colored_noise,cfg_expansion,0.6213354318538006,random_control,symbolic
colored_noise,lambda_reduction,0.6203214442748529,random_control,symbolic
colored_noise,rewrite_system,0.6697941339096338,random_control,symbolic
colored_noise,iid_gaussian,0.9991136183138681,random_control,random_control
