domain,name,viable,fertile,C,P,G,R,S,SR,NP,RC,RD,OE,note
C — Recursive substrate,Full 9-assumption substrate (T066 corrected),True,True,0.95,0.85,0.85,0.8,0.9,0.85,0.8,0.8,0.85,0.75,"Clean DAG, OC2 unique root. Multiple generative paths. SR1→EC1→CD2 self-modeling."
C — Recursive substrate,Original substrate (IS1↔IS2 cycle),False,False,0.2,0.3,0.4,0.1,0.35,0.4,0.35,0.3,0.4,0.3,Bootstrap deadlock prevents resolution. Apparent structure is illusory.
C — Recursive substrate,OC2 only (trivial substrate),False,False,0.6,0.3,0.05,0.1,0.0,0.05,0.0,0.0,0.0,0.0,Distinguishability with nothing to distinguish. Completely sterile.
C — Recursive substrate,Substrate without SR1 (no self-examination),True,False,0.85,0.8,0.7,0.7,0.25,0.5,0.5,0.45,0.3,0.4,"Produces outputs and structure, but cannot examine itself. Self-knowledge and self-effects lost."
C — Recursive substrate,Substrate without EC1 (no self-knowledge),True,True,0.85,0.8,0.75,0.7,0.6,0.7,0.7,0.7,0.55,0.6,Produces rich structure but limited recursive depth. Self-examination without actionable self-knowledge.
C — Recursive substrate,Substrate without CD2 (no self-effects),True,False,0.9,0.8,0.65,0.7,0.75,0.6,0.55,0.5,0.6,0.5,Can know and examine self but cannot act on that knowledge. Generativity plateau.
D — Dynamical manifolds,Lorenz strange attractor,True,False,0.8,0.8,0.6,0.6,0.3,0.4,0.3,0.2,0.2,0.2,Deterministic chaos on bounded attractor. Novel trajectories but within fixed structure.
D — Dynamical manifolds,Reaction-diffusion (Turing patterns),True,True,0.85,0.85,0.8,0.75,0.35,0.8,0.7,0.75,0.3,0.6,"Rich pattern formation, morphogenesis. Recombines patterns into higher-order structures."
D — Dynamical manifolds,"Logistic map (r=3.8, chaotic)",True,False,0.75,0.65,0.65,0.3,0.15,0.35,0.3,0.15,0.1,0.15,Chaotic but one-dimensional. Rich visit sequence but no recombining structures.
D — Dynamical manifolds,Coupled oscillator sync (Kuramoto),True,False,0.85,0.85,0.65,0.7,0.4,0.45,0.4,0.35,0.25,0.3,Synchronization emerges but limited further structure. Reaches attractor and stabilizes.
D — Dynamical manifolds,Fixed-point collapse,False,False,0.7,0.8,0.05,0.4,0.0,0.0,0.0,0.0,0.0,0.0,All trajectories to single point. Completely sterile.
D — Dynamical manifolds,Boolean network (K=2 critical),True,True,0.8,0.8,0.8,0.6,0.5,0.8,0.75,0.8,0.5,0.7,Critical regime maximizes complexity. Robust attractors with rich state-space structure.
D — Dynamical manifolds,Cellular automata (Game of Life),True,True,0.85,0.8,0.9,0.5,0.6,0.9,0.85,0.9,0.7,0.9,"Turing-complete. Gliders, oscillators, universal computation. Open-ended structures."
D — Dynamical manifolds,Unbounded chaotic divergence,False,False,0.3,0.1,0.2,0.0,0.0,0.1,0.2,0.05,0.0,0.1,"Trajectories escape to infinity. No persistent structure, no generativity."
