statement,removed_prerequisite,survives,collapses_units
N07,now,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,one,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,oneness,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,order,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,ordering,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,orientation,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,origin,False,import
N07,outgoing,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,output,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,pair,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,parts,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,pointer,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,position,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,presence,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,process,False,"comparison, arithmetic, distinction"
N07,produced,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,proposition,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,quantification,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,received,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,reference,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,reflexivity,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,relation,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,representation,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,sameness,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,self,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,separation,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,sequence,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,set,False,detectors
N07,sign,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,singularity,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,size,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,source,False,import
N07,source_target,False,import
N07,space,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,statement,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,succession,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,symbol,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,target,False,import
N07,temporal,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,thought,False,"comparison, arithmetic, distinction"
N07,time,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,true,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,truth_value,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,two,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,uniqueness,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,unity,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,universality,False,all
N07,whole,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N10,after,False,"only, surviving, statements, methodological, records"
N10,alignment,False,"only, surviving, statements, methodological, records"
N10,all,False,only
N10,apart,False,"only, surviving, statements, methodological, records"
N10,arrangement,False,"only, surviving, statements, methodological, records"
N10,aspect,False,methodological
N10,attribute,False,methodological
N10,before_after,False,"only, surviving, statements, methodological, records"
N10,being,False,"only, surviving, statements, methodological, records"
N10,belonging,False,"statements, records"
N10,between,False,"only, surviving, statements, methodological, records"
N10,boundary,False,"only, surviving, statements, methodological, records"
N10,category,False,"statements, records"
N10,characteristic,False,methodological
N10,class,False,"statements, records"
N10,codomain,False,"only, surviving, statements, methodological, records"
N10,collection,False,"statements, records"
N10,combination,False,"only, surviving, statements, methodological, records"
N10,comparison,False,"only, surviving, statements, methodological, records"
N10,condition,False,surviving
N10,containment,False,"statements, records"
N10,context,False,surviving
N10,continuation,False,surviving
N10,continuity,False,"only, surviving, statements, methodological, records"
N10,correspondence,False,"only, surviving, statements, methodological, records"
N10,counting,False,"only, surviving, statements, methodological, records"
N10,difference,False,"only, surviving, statements, methodological, records"
N10,direction,False,"only, surviving, statements, methodological, records"
N10,distance,False,"only, surviving, statements, methodological, records"
N10,distinction,False,"only, surviving, statements, methodological, records"
N10,distinction_from_absence,False,"only, surviving, statements, methodological, records"
N10,distinction_from_many,False,"only, surviving, statements, methodological, records"
N10,distinction_from_nothing,False,"only, surviving, statements, methodological, records"
N10,domain,False,"only, surviving, statements, methodological, records"
N10,elements,False,"statements, records"
N10,equality,False,"only, surviving, statements, methodological, records"
N10,exclusion,False,only
N10,existence,False,"only, surviving, statements, methodological, records"
N10,expression,False,"only, surviving, statements, methodological, records"
N10,extension,False,"only, surviving, statements, methodological, records"
N10,facet,False,methodological
N10,false,False,"only, surviving, statements, methodological, records"
N10,feature,False,methodological
N10,frame,False,surviving
N10,function,False,"only, surviving, statements, methodological, records"
N10,group,False,"statements, records"
N10,here,False,"only, surviving, statements, methodological, records"
N10,identity,False,"only, surviving, statements, methodological, records"
N10,inclusion,False,"statements, records"
N10,incoming,False,"only, surviving, statements, methodological, records"
N10,indicator,False,"only, surviving, statements, methodological, records"
N10,inequality,False,"only, surviving, statements, methodological, records"
N10,input,False,"only, surviving, statements, methodological, records"
N10,input_output,False,"only, surviving, statements, methodological, records"
N10,location,False,"only, surviving, statements, methodological, records"
N10,magnitude,False,"only, surviving, statements, methodological, records"
N10,mapping,False,"only, surviving, statements, methodological, records"
N10,mark,False,"only, surviving, statements, methodological, records"
N10,matching,False,"only, surviving, statements, methodological, records"
N10,meaning,False,"only, surviving, statements, methodological, records"
N10,measure,False,"only, surviving, statements, methodological, records"
N10,members,False,"statements, records"
N10,membership,False,"statements, records"
N10,metric,False,"only, surviving, statements, methodological, records"
N10,mismatch,False,"only, surviving, statements, methodological, records"
N10,negation,False,"only, surviving, statements, methodological, records"
N10,next,False,"only, surviving, statements, methodological, records"
N10,non_correspondence,False,"only, surviving, statements, methodological, records"
N10,nonidentity,False,"only, surviving, statements, methodological, records"
N10,norm,False,"only, surviving, statements, methodological, records"
N10,not,False,only
N10,now,False,"only, surviving, statements, methodological, records"
N10,one,False,"only, surviving, statements, methodological, records"
N10,oneness,False,"only, surviving, statements, methodological, records"
N10,order,False,"only, surviving, statements, methodological, records"
N10,ordering,False,"only, surviving, statements, methodological, records"
N10,orientation,False,"only, surviving, statements, methodological, records"
N10,outgoing,False,"only, surviving, statements, methodological, records"
N10,output,False,"only, surviving, statements, methodological, records"
N10,pair,False,"only, surviving, statements, methodological, records"
N10,part,False,methodological
N10,parts,False,"only, surviving, statements, methodological, records"
N10,persistence,False,surviving
N10,pointer,False,"only, surviving, statements, methodological, records"
N10,position,False,"only, surviving, statements, methodological, records"
N10,presence,False,"only, surviving, statements, methodological, records"
N10,produced,False,"only, surviving, statements, methodological, records"
N10,property,False,methodological
N10,proposition,False,"only, surviving, statements, methodological, records"
N10,quality,False,methodological
N10,quantification,False,"only, surviving, statements, methodological, records"
N10,received,False,"only, surviving, statements, methodological, records"
N10,reference,False,"only, surviving, statements, methodological, records"
N10,reflexivity,False,"only, surviving, statements, methodological, records"
N10,relation,False,"only, surviving, statements, methodological, records"
N10,representation,False,"only, surviving, statements, methodological, records"
N10,sameness,False,"only, surviving, statements, methodological, records"
N10,self,False,"only, surviving, statements, methodological, records"
N10,separation,False,"only, surviving, statements, methodological, records"
N10,sequence,False,"only, surviving, statements, methodological, records"
N10,set,False,"statements, records"
N10,side,False,methodological
N10,sign,False,"only, surviving, statements, methodological, records"
N10,singularity,False,"only, surviving, statements, methodological, records"
N10,situation,False,surviving
N10,size,False,"only, surviving, statements, methodological, records"
N10,space,False,"only, surviving, statements, methodological, records"
N10,state,False,surviving
N10,statement,False,"only, surviving, statements, methodological, records"
N10,structure,False,surviving
N10,succession,False,"only, surviving, statements, methodological, records"
N10,symbol,False,"only, surviving, statements, methodological, records"
N10,temporal,False,"only, surviving, statements, methodological, records"
N10,time,False,"only, surviving, statements, methodological, records"
N10,true,False,"only, surviving, statements, methodological, records"
N10,truth_value,False,"only, surviving, statements, methodological, records"
N10,two,False,"only, surviving, statements, methodological, records"
N10,uniqueness,False,"only, surviving, statements, methodological, records"
N10,unity,False,"only, surviving, statements, methodological, records"
N10,universality,False,only
N10,whole,False,"only, surviving, statements, methodological, records"
