X,Y,model,family,family_r2
tau_m1,abl_no_m2_pc1,linear,ca,1.0
tau_m1,abl_no_m2_pc1,linear,gbm,1.0
tau_m1,abl_no_m2_pc1,linear,henon,1.0
tau_m1,abl_no_m2_pc1,linear,ising,1.0
tau_m1,abl_no_m2_pc1,linear,kuramoto,1.0
tau_m1,abl_no_m2_pc1,linear,logistic,1.0
tau_m1,abl_no_m2_pc1,linear,lorenz,1.0
tau_m1,abl_no_m2_pc1,linear,lotka,1.0
tau_m1,abl_no_m2_pc1,linear,markov,1.0
tau_m1,abl_no_m2_pc1,linear,rbn,1.0
tau_m1,abl_no_m3_pc1,linear,branching,1.0
tau_m1,abl_no_m3_pc1,linear,ca,1.0
tau_m1,abl_no_m3_pc1,linear,gbm,1.0
tau_m1,abl_no_m3_pc1,linear,henon,1.0
tau_m1,abl_no_m3_pc1,linear,ising,1.0
tau_m1,abl_no_m3_pc1,linear,kuramoto,1.0
tau_m1,abl_no_m3_pc1,linear,logistic,1.0
tau_m1,abl_no_m3_pc1,linear,lorenz,1.0
tau_m1,abl_no_m3_pc1,linear,lotka,1.0
tau_m1,abl_no_m3_pc1,linear,markov,1.0
tau_m1,abl_no_m3_pc1,linear,rbn,1.0
tau_m1,abl_no_m4_pc1,linear,branching,1.0
tau_m1,abl_no_m4_pc1,linear,ca,1.0
tau_m1,abl_no_m4_pc1,linear,gbm,1.0
tau_m1,abl_no_m4_pc1,linear,henon,1.0
tau_m1,abl_no_m4_pc1,linear,ising,1.0
tau_m1,abl_no_m4_pc1,linear,kuramoto,1.0
tau_m1,abl_no_m4_pc1,linear,logistic,1.0
tau_m1,abl_no_m4_pc1,linear,lorenz,1.0
tau_m1,abl_no_m4_pc1,linear,lotka,1.0
tau_m1,abl_no_m4_pc1,linear,markov,1.0
tau_m1,abl_no_m4_pc1,linear,rbn,1.0
tau_m1,m2_contribution,linear,branching,1.0
tau_m1,m2_contribution,linear,ca,1.0
tau_m1,m2_contribution,linear,gbm,1.0
tau_m1,m2_contribution,linear,henon,1.0
tau_m1,m2_contribution,linear,ising,1.0
tau_m1,m2_contribution,linear,kuramoto,1.0
tau_m1,m2_contribution,linear,logistic,1.0
tau_m1,m2_contribution,linear,lorenz,1.0
tau_m1,m2_contribution,linear,lotka,1.0
tau_m1,m2_contribution,linear,markov,1.0
tau_m1,m2_contribution,linear,rbn,1.0
tau_m2,abl_full_pc1,linear,branching,1.0
tau_m2,abl_full_pc1,linear,ca,1.0
tau_m2,abl_full_pc1,linear,gbm,1.0
tau_m2,abl_full_pc1,linear,henon,1.0
tau_m2,abl_full_pc1,linear,ising,1.0
tau_m2,abl_full_pc1,linear,kuramoto,1.0
tau_m2,abl_full_pc1,linear,logistic,1.0
tau_m2,abl_full_pc1,linear,lorenz,1.0
tau_m2,abl_full_pc1,linear,lotka,1.0
tau_m2,abl_full_pc1,linear,markov,1.0
tau_m2,abl_full_pc1,linear,rbn,1.0
tau_m2,abl_no_m1_pc1,linear,branching,1.0
tau_m2,abl_no_m1_pc1,linear,ca,1.0
tau_m2,abl_no_m1_pc1,linear,gbm,1.0
tau_m2,abl_no_m1_pc1,linear,henon,1.0
tau_m2,abl_no_m1_pc1,linear,ising,1.0
tau_m2,abl_no_m1_pc1,linear,kuramoto,1.0
tau_m2,abl_no_m1_pc1,linear,logistic,1.0
tau_m2,abl_no_m1_pc1,linear,lorenz,1.0
tau_m2,abl_no_m1_pc1,linear,lotka,1.0
tau_m2,abl_no_m1_pc1,linear,markov,1.0
tau_m2,abl_no_m1_pc1,linear,rbn,1.0
tau_m2,abl_no_m2_pc1,linear,branching,1.0
tau_m2,abl_no_m2_pc1,linear,ca,1.0
tau_m2,abl_no_m2_pc1,linear,gbm,1.0
tau_m2,abl_no_m2_pc1,linear,henon,1.0
tau_m2,abl_no_m2_pc1,linear,ising,1.0
tau_m2,abl_no_m2_pc1,linear,kuramoto,1.0
tau_m2,abl_no_m2_pc1,linear,logistic,1.0
tau_m2,abl_no_m2_pc1,linear,lorenz,1.0
tau_m2,abl_no_m2_pc1,linear,lotka,1.0
tau_m2,abl_no_m2_pc1,linear,markov,1.0
tau_m2,abl_no_m2_pc1,linear,rbn,1.0
tau_m2,abl_no_m3_pc1,linear,branching,1.0
tau_m2,abl_no_m3_pc1,linear,ca,1.0
tau_m2,abl_no_m3_pc1,linear,gbm,1.0
tau_m2,abl_no_m3_pc1,linear,henon,1.0
tau_m2,abl_no_m3_pc1,linear,ising,1.0
tau_m2,abl_no_m3_pc1,linear,kuramoto,1.0
tau_m2,abl_no_m3_pc1,linear,logistic,1.0
tau_m2,abl_no_m3_pc1,linear,lorenz,1.0
tau_m2,abl_no_m3_pc1,linear,lotka,1.0
tau_m2,abl_no_m3_pc1,linear,markov,1.0
tau_m2,abl_no_m3_pc1,linear,rbn,1.0
tau_m2,abl_no_m4_pc1,linear,branching,1.0
tau_m2,abl_no_m4_pc1,linear,ca,1.0
tau_m2,abl_no_m4_pc1,linear,gbm,1.0
tau_m2,abl_no_m4_pc1,linear,henon,1.0
tau_m2,abl_no_m4_pc1,linear,ising,1.0
tau_m2,abl_no_m4_pc1,linear,kuramoto,1.0
tau_m2,abl_no_m4_pc1,linear,logistic,1.0
tau_m2,abl_no_m4_pc1,linear,lorenz,1.0
tau_m2,abl_no_m4_pc1,linear,lotka,1.0
tau_m2,abl_no_m4_pc1,linear,markov,1.0
tau_m2,abl_no_m4_pc1,linear,rbn,1.0
tau_m2,m2_contribution,linear,branching,1.0
tau_m2,m2_contribution,linear,ca,1.0
tau_m2,m2_contribution,linear,gbm,1.0
tau_m2,m2_contribution,linear,henon,1.0
tau_m2,m2_contribution,linear,ising,1.0
tau_m2,m2_contribution,linear,kuramoto,1.0
tau_m2,m2_contribution,linear,logistic,1.0
tau_m2,m2_contribution,linear,lorenz,1.0
tau_m2,m2_contribution,linear,lotka,1.0
tau_m2,m2_contribution,linear,markov,1.0
tau_m2,m2_contribution,linear,rbn,1.0
tau_m3,abl_full_pc1,linear,branching,1.0
tau_m3,abl_full_pc1,linear,ca,1.0
tau_m3,abl_full_pc1,linear,gbm,1.0
tau_m3,abl_full_pc1,linear,henon,1.0
tau_m3,abl_full_pc1,linear,ising,1.0
tau_m3,abl_full_pc1,linear,kuramoto,1.0
tau_m3,abl_full_pc1,linear,logistic,1.0
tau_m3,abl_full_pc1,linear,lorenz,1.0
tau_m3,abl_full_pc1,linear,lotka,1.0
tau_m3,abl_full_pc1,linear,markov,1.0
tau_m3,abl_full_pc1,linear,rbn,1.0
tau_m3,abl_no_m1_pc1,linear,branching,1.0
tau_m3,abl_no_m1_pc1,linear,ca,1.0
tau_m3,abl_no_m1_pc1,linear,gbm,1.0
tau_m3,abl_no_m1_pc1,linear,henon,1.0
tau_m3,abl_no_m1_pc1,linear,ising,1.0
tau_m3,abl_no_m1_pc1,linear,kuramoto,1.0
tau_m3,abl_no_m1_pc1,linear,logistic,1.0
tau_m3,abl_no_m1_pc1,linear,lorenz,1.0
tau_m3,abl_no_m1_pc1,linear,lotka,1.0
tau_m3,abl_no_m1_pc1,linear,markov,1.0
tau_m3,abl_no_m1_pc1,linear,rbn,1.0
tau_m3,abl_no_m2_pc1,linear,branching,1.0
tau_m3,abl_no_m2_pc1,linear,ca,1.0
tau_m3,abl_no_m2_pc1,linear,gbm,1.0
tau_m3,abl_no_m2_pc1,linear,henon,1.0
tau_m3,abl_no_m2_pc1,linear,ising,1.0
tau_m3,abl_no_m2_pc1,linear,kuramoto,1.0
tau_m3,abl_no_m2_pc1,linear,logistic,1.0
tau_m3,abl_no_m2_pc1,linear,lorenz,1.0
tau_m3,abl_no_m2_pc1,linear,lotka,1.0
tau_m3,abl_no_m2_pc1,linear,markov,1.0
tau_m3,abl_no_m2_pc1,linear,rbn,1.0
tau_m3,abl_no_m3_pc1,linear,branching,1.0
tau_m3,abl_no_m3_pc1,linear,ca,1.0
tau_m3,abl_no_m3_pc1,linear,gbm,1.0
tau_m3,abl_no_m3_pc1,linear,henon,1.0
tau_m3,abl_no_m3_pc1,linear,ising,1.0
tau_m3,abl_no_m3_pc1,linear,kuramoto,1.0
tau_m3,abl_no_m3_pc1,linear,logistic,1.0
tau_m3,abl_no_m3_pc1,linear,lorenz,1.0
tau_m3,abl_no_m3_pc1,linear,lotka,1.0
tau_m3,abl_no_m3_pc1,linear,markov,1.0
tau_m3,abl_no_m3_pc1,linear,rbn,1.0
tau_m3,abl_no_m4_pc1,linear,branching,1.0
tau_m3,abl_no_m4_pc1,linear,ca,1.0
tau_m3,abl_no_m4_pc1,linear,gbm,1.0
tau_m3,abl_no_m4_pc1,linear,henon,1.0
tau_m3,abl_no_m4_pc1,linear,ising,1.0
tau_m3,abl_no_m4_pc1,linear,kuramoto,1.0
tau_m3,abl_no_m4_pc1,linear,logistic,1.0
tau_m3,abl_no_m4_pc1,linear,lorenz,1.0
tau_m3,abl_no_m4_pc1,linear,lotka,1.0
tau_m3,abl_no_m4_pc1,linear,markov,1.0
tau_m3,abl_no_m4_pc1,linear,rbn,1.0
tau_m3,m2_contribution,linear,branching,1.0
tau_m3,m2_contribution,linear,ca,1.0
tau_m3,m2_contribution,linear,gbm,1.0
tau_m3,m2_contribution,linear,henon,1.0
tau_m3,m2_contribution,linear,ising,1.0
tau_m3,m2_contribution,linear,kuramoto,1.0
tau_m3,m2_contribution,linear,logistic,1.0
tau_m3,m2_contribution,linear,lorenz,1.0
tau_m3,m2_contribution,linear,lotka,1.0
tau_m3,m2_contribution,linear,markov,1.0
tau_m3,m2_contribution,linear,rbn,1.0
tau_m4,abl_full_pc1,linear,branching,1.0
tau_m4,abl_full_pc1,linear,ca,1.0
tau_m4,abl_full_pc1,linear,gbm,1.0
tau_m4,abl_full_pc1,linear,henon,1.0
tau_m4,abl_full_pc1,linear,ising,1.0
tau_m4,abl_full_pc1,linear,kuramoto,1.0
tau_m4,abl_full_pc1,linear,logistic,1.0
tau_m4,abl_full_pc1,linear,lorenz,1.0
tau_m4,abl_full_pc1,linear,lotka,1.0
tau_m4,abl_full_pc1,linear,markov,1.0
tau_m4,abl_full_pc1,linear,rbn,1.0
tau_m4,abl_no_m1_pc1,linear,branching,1.0
tau_m4,abl_no_m1_pc1,linear,ca,1.0
tau_m4,abl_no_m1_pc1,linear,gbm,1.0
tau_m4,abl_no_m1_pc1,linear,henon,1.0
tau_m4,abl_no_m1_pc1,linear,ising,1.0
tau_m4,abl_no_m1_pc1,linear,kuramoto,1.0
tau_m4,abl_no_m1_pc1,linear,logistic,1.0
tau_m4,abl_no_m1_pc1,linear,lorenz,1.0
tau_m4,abl_no_m1_pc1,linear,lotka,1.0
tau_m4,abl_no_m1_pc1,linear,markov,1.0
tau_m4,abl_no_m1_pc1,linear,rbn,1.0
tau_m4,abl_no_m2_pc1,linear,branching,1.0
tau_m4,abl_no_m2_pc1,linear,ca,1.0
tau_m4,abl_no_m2_pc1,linear,gbm,1.0
tau_m4,abl_no_m2_pc1,linear,henon,1.0
tau_m4,abl_no_m2_pc1,linear,ising,1.0
tau_m4,abl_no_m2_pc1,linear,kuramoto,1.0
tau_m4,abl_no_m2_pc1,linear,logistic,1.0
tau_m4,abl_no_m2_pc1,linear,lorenz,1.0
tau_m4,abl_no_m2_pc1,linear,lotka,1.0
tau_m4,abl_no_m2_pc1,linear,markov,1.0
tau_m4,abl_no_m2_pc1,linear,rbn,1.0
tau_m4,abl_no_m3_pc1,linear,branching,1.0
tau_m4,abl_no_m3_pc1,linear,ca,1.0
tau_m4,abl_no_m3_pc1,linear,gbm,1.0
tau_m4,abl_no_m3_pc1,linear,henon,1.0
tau_m4,abl_no_m3_pc1,linear,ising,1.0
tau_m4,abl_no_m3_pc1,linear,kuramoto,1.0
tau_m4,abl_no_m3_pc1,linear,logistic,1.0
tau_m4,abl_no_m3_pc1,linear,lorenz,1.0
tau_m4,abl_no_m3_pc1,linear,lotka,1.0
tau_m4,abl_no_m3_pc1,linear,markov,1.0
tau_m4,abl_no_m3_pc1,linear,rbn,1.0
tau_m4,abl_no_m4_pc1,linear,branching,1.0
tau_m4,abl_no_m4_pc1,linear,ca,1.0
tau_m4,abl_no_m4_pc1,linear,gbm,1.0
tau_m4,abl_no_m4_pc1,linear,henon,1.0
tau_m4,abl_no_m4_pc1,linear,ising,1.0
tau_m4,abl_no_m4_pc1,linear,kuramoto,1.0
tau_m4,abl_no_m4_pc1,linear,logistic,1.0
tau_m4,abl_no_m4_pc1,linear,lorenz,1.0
tau_m4,abl_no_m4_pc1,linear,lotka,1.0
tau_m4,abl_no_m4_pc1,linear,markov,1.0
tau_m4,abl_no_m4_pc1,linear,rbn,1.0
tau_m4,m2_contribution,linear,branching,1.0
tau_m4,m2_contribution,linear,ca,1.0
tau_m4,m2_contribution,linear,gbm,1.0
tau_m4,m2_contribution,linear,henon,1.0
tau_m4,m2_contribution,linear,ising,1.0
tau_m4,m2_contribution,linear,kuramoto,1.0
tau_m4,m2_contribution,linear,logistic,1.0
tau_m4,m2_contribution,linear,lorenz,1.0
tau_m4,m2_contribution,linear,lotka,1.0
tau_m4,m2_contribution,linear,markov,1.0
tau_m4,m2_contribution,linear,rbn,1.0
temporal_corr,abl_full_pc1,linear,branching,1.0
temporal_corr,abl_full_pc1,linear,ca,1.0
temporal_corr,abl_full_pc1,linear,gbm,1.0
temporal_corr,abl_full_pc1,linear,henon,1.0
temporal_corr,abl_full_pc1,linear,ising,1.0
temporal_corr,abl_full_pc1,linear,kuramoto,1.0
temporal_corr,abl_full_pc1,linear,logistic,1.0
temporal_corr,abl_full_pc1,linear,lorenz,1.0
temporal_corr,abl_full_pc1,linear,lotka,1.0
temporal_corr,abl_full_pc1,linear,markov,1.0
temporal_corr,abl_full_pc1,linear,rbn,1.0
temporal_corr,abl_no_m1_pc1,linear,branching,1.0
temporal_corr,abl_no_m1_pc1,linear,ca,1.0
temporal_corr,abl_no_m1_pc1,linear,gbm,1.0
temporal_corr,abl_no_m1_pc1,linear,henon,1.0
temporal_corr,abl_no_m1_pc1,linear,ising,1.0
temporal_corr,abl_no_m1_pc1,linear,kuramoto,1.0
temporal_corr,abl_no_m1_pc1,linear,logistic,1.0
temporal_corr,abl_no_m1_pc1,linear,lorenz,1.0
temporal_corr,abl_no_m1_pc1,linear,lotka,1.0
temporal_corr,abl_no_m1_pc1,linear,markov,1.0
temporal_corr,abl_no_m1_pc1,linear,rbn,1.0
temporal_corr,abl_no_m2_pc1,linear,branching,1.0
temporal_corr,abl_no_m2_pc1,linear,ca,1.0
temporal_corr,abl_no_m2_pc1,linear,gbm,1.0
temporal_corr,abl_no_m2_pc1,linear,henon,1.0
temporal_corr,abl_no_m2_pc1,linear,ising,1.0
temporal_corr,abl_no_m2_pc1,linear,kuramoto,1.0
temporal_corr,abl_no_m2_pc1,linear,logistic,1.0
temporal_corr,abl_no_m2_pc1,linear,lorenz,1.0
temporal_corr,abl_no_m2_pc1,linear,lotka,1.0
temporal_corr,abl_no_m2_pc1,linear,markov,1.0
