system,flow_magnitude
kuramoto_coupling=6.3158,17.50964304043795
kuramoto_coupling=6.7368,31.192505631840692
kuramoto_coupling=7.1579,32.689232141283576
kuramoto_coupling=7.5789,23.53541472757703
kuramoto_coupling=8.0000,20.787328466427354
ca_rule=30.0000,79.3290332770592
ca_rule=90.0000,11.700066924625478
ca_rule=110.0000,37.04987226157837
ca_rule=184.0000,37.04892809167912
ca_rule=150.0000,13.630640721876041
ca_rule=73.0000,0.0
ca_rule=54.0000,28.701816424472277
ca_rule=45.0000,34.86319127102447
ca_rule=22.0000,21.203849413678196
ca_rule=126.0000,44.507569759164234
sandpile_L=4.0000,2.6735878316294412
sandpile_L=6.0000,14.131577733703681
sandpile_L=8.0000,9.973846195813818
sandpile_L=12.0000,43.09238881092652
sandpile_L=16.0000,35.423433219710745
rbn_K=1.0000,0.9999999999443446
rbn_K=2.0000,45.10196373805803
rbn_K=3.0000,71.04620885816405
rbn_K=4.0000,67.6932394117991
rbn_K=5.0000,58.71401044957442
rbn_K=6.0000,21.1761290226175
markov_transition_noise=0.0000,29.92016717352952
markov_transition_noise=0.0714,5.804490037528067
markov_transition_noise=0.1429,11.137859641388637
markov_transition_noise=0.2143,4.78961820065482
markov_transition_noise=0.2857,6.19386609772957
markov_transition_noise=0.3571,8.787497035644448
markov_transition_noise=0.4286,12.768670350679677
markov_transition_noise=0.5000,42.184047243854835
markov_transition_noise=0.5714,5.139766450708876
markov_transition_noise=0.6429,5.651764369801278
markov_transition_noise=0.7143,24.29218393586688
markov_transition_noise=0.7857,19.094028330020866
markov_transition_noise=0.8571,5.407318346522943
markov_transition_noise=0.9286,23.366153928324643
markov_transition_noise=1.0000,4.35484240895112
branching_p_branch=0.0500,24.624076554612756
branching_p_branch=0.1036,86.48536363382814
branching_p_branch=0.1571,82.62932702361552
branching_p_branch=0.2107,32.71289094043334
branching_p_branch=0.2643,3.8610726982681114
branching_p_branch=0.3179,5.5265753593310265
branching_p_branch=0.3714,1.1599549752920797
branching_p_branch=0.4250,1.3101029227128989
branching_p_branch=0.4786,1.8911049868549377
branching_p_branch=0.5321,12.19642320626193
branching_p_branch=0.5857,7.26983271428739
branching_p_branch=0.6393,21.13903049162875
branching_p_branch=0.6929,25.90974957022516
branching_p_branch=0.7464,0.9557528009813212
branching_p_branch=0.8000,10.381782503519664
lotka_alpha=0.5000,63.624287423771015
lotka_alpha=0.6071,60.414850110404636
lotka_alpha=0.7143,60.60975178061653
lotka_alpha=0.8214,59.486447059791814
lotka_alpha=0.9286,59.28294531012648
lotka_alpha=1.0357,56.295411207763266
lotka_alpha=1.1429,55.00121515611125
lotka_alpha=1.2500,56.60348743194572
lotka_alpha=1.3571,58.0210816825737
lotka_alpha=1.4643,60.03014182919426
lotka_alpha=1.5714,59.91443414619144
lotka_alpha=1.6786,59.57725053892535
lotka_alpha=1.7857,60.56137798494277
lotka_alpha=1.8929,59.88881685947454
lotka_alpha=2.0000,59.52733154398933
gbm_sigma=0.0050,103.62909674694622
gbm_sigma=0.0154,61.89013258330517
gbm_sigma=0.0257,74.03616576910626
gbm_sigma=0.0361,79.38151343751724
gbm_sigma=0.0464,88.01026135766062
gbm_sigma=0.0568,100.46482573051543
gbm_sigma=0.0671,72.26162523666613
gbm_sigma=0.0775,93.04796813035492
gbm_sigma=0.0879,80.33696577343278
gbm_sigma=0.0982,64.90324522919562
gbm_sigma=0.1086,76.31806346017494
gbm_sigma=0.1189,78.26984285712722
gbm_sigma=0.1293,84.35875230377357
gbm_sigma=0.1396,27.692312086144778
gbm_sigma=0.1500,44.86122610433081
