universe_id,detector,depth
21,constraint_B5_possibility_elim,17
22,constraint_B1_growth_rate,8
22,constraint_B2_reachable,25
22,constraint_B3_entropy,25
22,constraint_B4_transition_freedom,17
22,constraint_B5_possibility_elim,17
23,constraint_B1_growth_rate,8
23,constraint_B2_reachable,25
23,constraint_B3_entropy,25
23,constraint_B4_transition_freedom,17
23,constraint_B5_possibility_elim,17
24,constraint_B1_growth_rate,8
24,constraint_B2_reachable,25
24,constraint_B3_entropy,25
24,constraint_B4_transition_freedom,17
24,constraint_B5_possibility_elim,17
25,constraint_B1_growth_rate,8
25,constraint_B2_reachable,25
25,constraint_B3_entropy,25
25,constraint_B4_transition_freedom,17
25,constraint_B5_possibility_elim,17
26,constraint_B1_growth_rate,8
26,constraint_B2_reachable,25
26,constraint_B3_entropy,25
26,constraint_B4_transition_freedom,17
26,constraint_B5_possibility_elim,17
27,constraint_B1_growth_rate,8
27,constraint_B2_reachable,25
27,constraint_B3_entropy,25
27,constraint_B4_transition_freedom,17
27,constraint_B5_possibility_elim,17
28,constraint_B1_growth_rate,8
28,constraint_B2_reachable,25
28,constraint_B3_entropy,25
28,constraint_B4_transition_freedom,17
28,constraint_B5_possibility_elim,17
29,constraint_B1_growth_rate,8
29,constraint_B2_reachable,25
29,constraint_B3_entropy,25
29,constraint_B4_transition_freedom,17
29,constraint_B5_possibility_elim,17
29,constraint_B10_elimination_rate,17
30,constraint_B1_growth_rate,8
30,constraint_B2_reachable,25
30,constraint_B3_entropy,25
30,constraint_B4_transition_freedom,17
30,constraint_B5_possibility_elim,17
30,constraint_B10_elimination_rate,17
31,constraint_B1_growth_rate,8
31,constraint_B2_reachable,25
31,constraint_B3_entropy,25
31,constraint_B4_transition_freedom,17
31,constraint_B5_possibility_elim,17
32,constraint_B1_growth_rate,8
32,constraint_B2_reachable,25
32,constraint_B3_entropy,25
32,constraint_B4_transition_freedom,17
32,constraint_B5_possibility_elim,17
33,constraint_B1_growth_rate,8
33,constraint_B2_reachable,25
33,constraint_B3_entropy,25
33,constraint_B4_transition_freedom,17
33,constraint_B5_possibility_elim,17
34,constraint_B1_growth_rate,8
34,constraint_B2_reachable,25
34,constraint_B3_entropy,25
34,constraint_B4_transition_freedom,17
34,constraint_B5_possibility_elim,17
35,constraint_B1_growth_rate,8
35,constraint_B2_reachable,25
35,constraint_B3_entropy,25
35,constraint_B4_transition_freedom,17
35,constraint_B5_possibility_elim,17
36,constraint_B1_growth_rate,8
36,constraint_B2_reachable,25
36,constraint_B3_entropy,25
36,constraint_B4_transition_freedom,17
36,constraint_B5_possibility_elim,17
37,constraint_B1_growth_rate,8
37,constraint_B2_reachable,25
37,constraint_B3_entropy,25
37,constraint_B4_transition_freedom,17
37,constraint_B5_possibility_elim,17
38,constraint_B1_growth_rate,8
38,constraint_B2_reachable,25
38,constraint_B3_entropy,25
38,constraint_B4_transition_freedom,17
38,constraint_B5_possibility_elim,17
39,constraint_B1_growth_rate,8
39,constraint_B2_reachable,25
39,constraint_B3_entropy,25
39,constraint_B4_transition_freedom,17
39,constraint_B5_possibility_elim,17
40,constraint_B1_growth_rate,8
40,constraint_B2_reachable,25
40,constraint_B3_entropy,25
40,constraint_B4_transition_freedom,17
40,constraint_B5_possibility_elim,17
41,constraint_B1_growth_rate,8
41,constraint_B2_reachable,25
41,constraint_B3_entropy,25
41,constraint_B4_transition_freedom,17
41,constraint_B5_possibility_elim,17
42,constraint_B1_growth_rate,8
42,constraint_B2_reachable,25
42,constraint_B3_entropy,25
42,constraint_B4_transition_freedom,17
42,constraint_B5_possibility_elim,17
43,constraint_B1_growth_rate,8
43,constraint_B2_reachable,25
43,constraint_B3_entropy,25
43,constraint_B4_transition_freedom,17
43,constraint_B5_possibility_elim,17
44,constraint_B1_growth_rate,8
44,constraint_B2_reachable,25
44,constraint_B3_entropy,25
44,constraint_B4_transition_freedom,17
44,constraint_B5_possibility_elim,17
45,constraint_B1_growth_rate,8
45,constraint_B2_reachable,25
45,constraint_B3_entropy,25
45,constraint_B4_transition_freedom,17
45,constraint_B5_possibility_elim,17
46,constraint_B1_growth_rate,8
46,constraint_B2_reachable,25
46,constraint_B3_entropy,25
46,constraint_B4_transition_freedom,17
46,constraint_B5_possibility_elim,17
47,constraint_B1_growth_rate,8
47,constraint_B2_reachable,25
47,constraint_B3_entropy,25
47,constraint_B4_transition_freedom,17
47,constraint_B5_possibility_elim,17
48,constraint_B1_growth_rate,8
48,constraint_B2_reachable,25
48,constraint_B3_entropy,25
48,constraint_B5_possibility_elim,17
48,constraint_B10_elimination_rate,17
49,constraint_B1_growth_rate,8
49,constraint_B2_reachable,25
49,constraint_B3_entropy,25
49,constraint_B4_transition_freedom,17
49,constraint_B5_possibility_elim,17
49,constraint_B10_elimination_rate,17
50,constraint_B1_growth_rate,8
50,constraint_B2_reachable,25
50,constraint_B3_entropy,25
50,constraint_B4_transition_freedom,17
50,constraint_B5_possibility_elim,17
51,constraint_B1_growth_rate,8
51,constraint_B2_reachable,25
51,constraint_B3_entropy,25
51,constraint_B4_transition_freedom,17
51,constraint_B5_possibility_elim,17
52,constraint_B1_growth_rate,8
52,constraint_B2_reachable,25
52,constraint_B3_entropy,25
52,constraint_B4_transition_freedom,17
52,constraint_B5_possibility_elim,17
53,constraint_B1_growth_rate,8
53,constraint_B2_reachable,25
53,constraint_B3_entropy,25
53,constraint_B4_transition_freedom,17
53,constraint_B5_possibility_elim,17
53,constraint_B10_elimination_rate,17
54,constraint_B1_growth_rate,8
54,constraint_B2_reachable,25
54,constraint_B3_entropy,25
54,constraint_B4_transition_freedom,17
54,constraint_B5_possibility_elim,17
55,constraint_B1_growth_rate,8
55,constraint_B2_reachable,25
55,constraint_B3_entropy,25
55,constraint_B4_transition_freedom,17
55,constraint_B5_possibility_elim,17
56,constraint_B1_growth_rate,8
56,constraint_B2_reachable,25
56,constraint_B3_entropy,25
56,constraint_B4_transition_freedom,17
56,constraint_B5_possibility_elim,17
57,constraint_B1_growth_rate,8
57,constraint_B2_reachable,25
57,constraint_B3_entropy,25
57,constraint_B4_transition_freedom,17
57,constraint_B5_possibility_elim,17
58,constraint_B1_growth_rate,8
58,constraint_B2_reachable,25
58,constraint_B3_entropy,25
58,constraint_B4_transition_freedom,17
58,constraint_B5_possibility_elim,17
59,constraint_B1_growth_rate,8
59,constraint_B2_reachable,25
59,constraint_B3_entropy,25
59,constraint_B4_transition_freedom,17
59,constraint_B5_possibility_elim,17
60,constraint_B1_growth_rate,8
60,constraint_B2_reachable,25
60,constraint_B3_entropy,25
60,constraint_B4_transition_freedom,17
60,constraint_B5_possibility_elim,17
61,constraint_B1_growth_rate,8
61,constraint_B2_reachable,25
61,constraint_B3_entropy,25
61,constraint_B4_transition_freedom,17
61,constraint_B5_possibility_elim,17
62,constraint_B1_growth_rate,8
62,constraint_B2_reachable,25
62,constraint_B3_entropy,25
62,constraint_B4_transition_freedom,17
62,constraint_B5_possibility_elim,17
63,constraint_B1_growth_rate,8
63,constraint_B2_reachable,25
63,constraint_B3_entropy,25
63,constraint_B5_possibility_elim,17
63,constraint_B10_elimination_rate,17
64,constraint_B1_growth_rate,8
64,constraint_B2_reachable,25
64,constraint_B3_entropy,25
64,constraint_B4_transition_freedom,17
64,constraint_B5_possibility_elim,17
65,constraint_B1_growth_rate,8
65,constraint_B2_reachable,25
65,constraint_B3_entropy,25
65,constraint_B4_transition_freedom,17
65,constraint_B5_possibility_elim,17
66,constraint_B1_growth_rate,8
66,constraint_B2_reachable,25
66,constraint_B3_entropy,25
66,constraint_B4_transition_freedom,17
66,constraint_B5_possibility_elim,17
67,constraint_B1_growth_rate,8
67,constraint_B2_reachable,25
67,constraint_B3_entropy,25
67,constraint_B4_transition_freedom,17
67,constraint_B5_possibility_elim,17
68,constraint_B1_growth_rate,8
68,constraint_B2_reachable,25
68,constraint_B3_entropy,25
68,constraint_B4_transition_freedom,17
68,constraint_B5_possibility_elim,17
69,constraint_B1_growth_rate,8
69,constraint_B2_reachable,25
69,constraint_B3_entropy,25
69,constraint_B4_transition_freedom,17
69,constraint_B5_possibility_elim,17
70,constraint_B1_growth_rate,8
70,constraint_B2_reachable,25
70,constraint_B3_entropy,25
70,constraint_B4_transition_freedom,17
70,constraint_B5_possibility_elim,17
71,constraint_B1_growth_rate,8
71,constraint_B2_reachable,25
71,constraint_B3_entropy,25
71,constraint_B4_transition_freedom,17
71,constraint_B5_possibility_elim,17
72,constraint_B1_growth_rate,8
72,constraint_B2_reachable,25
72,constraint_B3_entropy,25
72,constraint_B4_transition_freedom,17
72,constraint_B5_possibility_elim,17
73,constraint_B1_growth_rate,8
73,constraint_B2_reachable,25
73,constraint_B3_entropy,25
73,constraint_B5_possibility_elim,17
74,constraint_B1_growth_rate,8
74,constraint_B2_reachable,25
74,constraint_B3_entropy,25
74,constraint_B4_transition_freedom,17
74,constraint_B5_possibility_elim,17
75,constraint_B1_growth_rate,8
75,constraint_B2_reachable,25
75,constraint_B3_entropy,25
75,constraint_B4_transition_freedom,17
75,constraint_B5_possibility_elim,17
76,constraint_B1_growth_rate,8
76,constraint_B2_reachable,25
76,constraint_B3_entropy,25
76,constraint_B4_transition_freedom,17
76,constraint_B5_possibility_elim,17
76,constraint_B10_elimination_rate,17
77,constraint_B1_growth_rate,8
77,constraint_B2_reachable,25
77,constraint_B3_entropy,25
77,constraint_B4_transition_freedom,17
77,constraint_B5_possibility_elim,17
78,constraint_B1_growth_rate,8
78,constraint_B2_reachable,25
78,constraint_B3_entropy,25
78,constraint_B4_transition_freedom,17
78,constraint_B5_possibility_elim,17
79,constraint_B1_growth_rate,8
79,constraint_B2_reachable,25
79,constraint_B3_entropy,25
79,constraint_B4_transition_freedom,17
79,constraint_B5_possibility_elim,17
79,constraint_B10_elimination_rate,17
80,constraint_B1_growth_rate,8
80,constraint_B2_reachable,25
80,constraint_B3_entropy,25
80,constraint_B4_transition_freedom,17
80,constraint_B5_possibility_elim,17
81,constraint_B1_growth_rate,8
81,constraint_B2_reachable,25
81,constraint_B3_entropy,25
81,constraint_B4_transition_freedom,17
81,constraint_B5_possibility_elim,17
82,constraint_B1_growth_rate,8
82,constraint_B2_reachable,25
82,constraint_B3_entropy,25
82,constraint_B4_transition_freedom,17
82,constraint_B5_possibility_elim,17
83,constraint_B1_growth_rate,8
83,constraint_B2_reachable,25
83,constraint_B3_entropy,25
83,constraint_B4_transition_freedom,17
83,constraint_B5_possibility_elim,17
84,constraint_B1_growth_rate,8
84,constraint_B2_reachable,25
84,constraint_B3_entropy,25
84,constraint_B4_transition_freedom,17
84,constraint_B5_possibility_elim,17
85,constraint_B1_growth_rate,8
85,constraint_B2_reachable,25
85,constraint_B3_entropy,25
85,constraint_B4_transition_freedom,17
85,constraint_B5_possibility_elim,17
86,constraint_B1_growth_rate,8
86,constraint_B2_reachable,25
86,constraint_B3_entropy,25
86,constraint_B4_transition_freedom,17
86,constraint_B5_possibility_elim,17
87,constraint_B1_growth_rate,8
87,constraint_B2_reachable,25
87,constraint_B3_entropy,25
87,constraint_B4_transition_freedom,17
87,constraint_B5_possibility_elim,17
88,constraint_B1_growth_rate,8
88,constraint_B2_reachable,25
88,constraint_B3_entropy,25
88,constraint_B4_transition_freedom,17
88,constraint_B5_possibility_elim,17
89,constraint_B1_growth_rate,8
89,constraint_B2_reachable,25
89,constraint_B3_entropy,25
89,constraint_B4_transition_freedom,17
89,constraint_B5_possibility_elim,17
89,constraint_B10_elimination_rate,17
90,constraint_B1_growth_rate,8
90,constraint_B2_reachable,25
90,constraint_B3_entropy,25
90,constraint_B4_transition_freedom,17
90,constraint_B5_possibility_elim,17
91,constraint_B1_growth_rate,8
91,constraint_B2_reachable,25
91,constraint_B3_entropy,25
91,constraint_B4_transition_freedom,17
91,constraint_B5_possibility_elim,17
92,constraint_B1_growth_rate,8
92,constraint_B2_reachable,25
92,constraint_B3_entropy,25
92,constraint_B5_possibility_elim,17
92,constraint_B10_elimination_rate,17
93,constraint_B1_growth_rate,8
93,constraint_B2_reachable,25
93,constraint_B3_entropy,25
93,constraint_B5_possibility_elim,17
93,constraint_B10_elimination_rate,17
94,constraint_B1_growth_rate,8
94,constraint_B2_reachable,25
94,constraint_B3_entropy,25
94,constraint_B4_transition_freedom,17
94,constraint_B5_possibility_elim,17
95,constraint_B1_growth_rate,8
95,constraint_B2_reachable,25
95,constraint_B3_entropy,25
95,constraint_B4_transition_freedom,17
95,constraint_B5_possibility_elim,17
96,constraint_B1_growth_rate,8
96,constraint_B2_reachable,25
96,constraint_B3_entropy,25
96,constraint_B4_transition_freedom,17
96,constraint_B5_possibility_elim,17
97,constraint_B1_growth_rate,8
97,constraint_B2_reachable,25
97,constraint_B3_entropy,25
97,constraint_B4_transition_freedom,17
97,constraint_B5_possibility_elim,17
97,constraint_B10_elimination_rate,17
98,constraint_B1_growth_rate,8
98,constraint_B2_reachable,25
98,constraint_B3_entropy,25
98,constraint_B4_transition_freedom,17
98,constraint_B5_possibility_elim,17
99,constraint_B1_growth_rate,8
99,constraint_B2_reachable,25
99,constraint_B3_entropy,25
99,constraint_B4_transition_freedom,17
99,constraint_B5_possibility_elim,17
100,constraint_B1_growth_rate,8
100,constraint_B2_reachable,25
100,constraint_B3_entropy,25
100,constraint_B4_transition_freedom,17
100,constraint_B5_possibility_elim,17
101,constraint_B1_growth_rate,8
101,constraint_B2_reachable,25
101,constraint_B3_entropy,25
101,constraint_B4_transition_freedom,17
101,constraint_B5_possibility_elim,17
102,constraint_B1_growth_rate,8
102,constraint_B2_reachable,25
102,constraint_B3_entropy,25
102,constraint_B4_transition_freedom,17
102,constraint_B5_possibility_elim,17
103,constraint_B1_growth_rate,8
103,constraint_B2_reachable,25
103,constraint_B3_entropy,25
103,constraint_B4_transition_freedom,17
103,constraint_B5_possibility_elim,17
104,constraint_B1_growth_rate,8
104,constraint_B2_reachable,25
104,constraint_B3_entropy,25
104,constraint_B4_transition_freedom,17
104,constraint_B5_possibility_elim,17
105,constraint_B1_growth_rate,8
105,constraint_B2_reachable,25
105,constraint_B3_entropy,25
105,constraint_B4_transition_freedom,17
105,constraint_B5_possibility_elim,17
106,constraint_B1_growth_rate,8
106,constraint_B2_reachable,25
106,constraint_B3_entropy,25
106,constraint_B5_possibility_elim,17
106,constraint_B10_elimination_rate,17
107,constraint_B1_growth_rate,8
107,constraint_B2_reachable,25
107,constraint_B3_entropy,25
107,constraint_B4_transition_freedom,17
107,constraint_B5_possibility_elim,17
108,constraint_B1_growth_rate,8
108,constraint_B2_reachable,25
108,constraint_B3_entropy,25
108,constraint_B4_transition_freedom,17
108,constraint_B5_possibility_elim,17
109,constraint_B1_growth_rate,8
109,constraint_B2_reachable,25
109,constraint_B3_entropy,25
109,constraint_B4_transition_freedom,17
109,constraint_B5_possibility_elim,17
110,constraint_B1_growth_rate,8
110,constraint_B2_reachable,25
110,constraint_B3_entropy,25
110,constraint_B4_transition_freedom,17
110,constraint_B5_possibility_elim,17
111,constraint_B1_growth_rate,8
111,constraint_B2_reachable,25
111,constraint_B3_entropy,25
111,constraint_B4_transition_freedom,17
111,constraint_B5_possibility_elim,17
112,constraint_B1_growth_rate,8
112,constraint_B2_reachable,25
112,constraint_B3_entropy,25
112,constraint_B4_transition_freedom,17
112,constraint_B5_possibility_elim,17
113,constraint_B1_growth_rate,8
113,constraint_B2_reachable,25
113,constraint_B3_entropy,25
113,constraint_B4_transition_freedom,17
113,constraint_B5_possibility_elim,17
114,constraint_B1_growth_rate,8
114,constraint_B2_reachable,25
114,constraint_B3_entropy,25
114,constraint_B4_transition_freedom,17
114,constraint_B5_possibility_elim,17
115,constraint_B1_growth_rate,8
115,constraint_B2_reachable,25
115,constraint_B3_entropy,25
115,constraint_B4_transition_freedom,17
115,constraint_B5_possibility_elim,17
116,constraint_B1_growth_rate,8
116,constraint_B2_reachable,25
116,constraint_B3_entropy,25
116,constraint_B4_transition_freedom,17
116,constraint_B5_possibility_elim,17
117,constraint_B1_growth_rate,8
117,constraint_B2_reachable,25
117,constraint_B3_entropy,25
117,constraint_B4_transition_freedom,17
117,constraint_B5_possibility_elim,17
118,constraint_B1_growth_rate,8
118,constraint_B2_reachable,25
118,constraint_B3_entropy,25
118,constraint_B4_transition_freedom,17
118,constraint_B5_possibility_elim,17
119,constraint_B1_growth_rate,8
119,constraint_B2_reachable,25
119,constraint_B3_entropy,25
119,constraint_B4_transition_freedom,17
119,constraint_B5_possibility_elim,17
120,constraint_B1_growth_rate,8
120,constraint_B2_reachable,25
120,constraint_B3_entropy,25
120,constraint_B4_transition_freedom,17
120,constraint_B5_possibility_elim,17
120,constraint_B10_elimination_rate,17
121,constraint_B1_growth_rate,8
121,constraint_B2_reachable,25
121,constraint_B3_entropy,25
121,constraint_B4_transition_freedom,17
121,constraint_B5_possibility_elim,17
122,constraint_B1_growth_rate,8
122,constraint_B2_reachable,25
122,constraint_B3_entropy,25
122,constraint_B4_transition_freedom,17
122,constraint_B5_possibility_elim,17
123,constraint_B1_growth_rate,8
123,constraint_B2_reachable,25
123,constraint_B3_entropy,25
123,constraint_B4_transition_freedom,17
123,constraint_B5_possibility_elim,17
123,constraint_B10_elimination_rate,17
124,constraint_B1_growth_rate,8
124,constraint_B2_reachable,25
124,constraint_B3_entropy,25
124,constraint_B4_transition_freedom,17
124,constraint_B5_possibility_elim,17
125,constraint_B1_growth_rate,8
125,constraint_B2_reachable,25
125,constraint_B3_entropy,25
125,constraint_B4_transition_freedom,17
125,constraint_B5_possibility_elim,17
126,constraint_B1_growth_rate,8
126,constraint_B2_reachable,25
126,constraint_B3_entropy,25
126,constraint_B4_transition_freedom,17
126,constraint_B5_possibility_elim,17
127,constraint_B1_growth_rate,8
127,constraint_B2_reachable,25
127,constraint_B3_entropy,25
127,constraint_B5_possibility_elim,17
128,constraint_B1_growth_rate,8
128,constraint_B2_reachable,25
128,constraint_B3_entropy,25
128,constraint_B4_transition_freedom,17
128,constraint_B5_possibility_elim,17
129,constraint_B1_growth_rate,8
129,constraint_B2_reachable,25
129,constraint_B3_entropy,25
129,constraint_B4_transition_freedom,17
129,constraint_B5_possibility_elim,17
130,constraint_B1_growth_rate,8
130,constraint_B2_reachable,25
130,constraint_B3_entropy,25
130,constraint_B4_transition_freedom,17
130,constraint_B5_possibility_elim,17
131,constraint_B1_growth_rate,8
131,constraint_B2_reachable,25
131,constraint_B3_entropy,25
131,constraint_B4_transition_freedom,17
131,constraint_B5_possibility_elim,17
132,constraint_B1_growth_rate,8
132,constraint_B2_reachable,25
132,constraint_B3_entropy,25
132,constraint_B4_transition_freedom,17
132,constraint_B5_possibility_elim,17
133,constraint_B1_growth_rate,8
133,constraint_B2_reachable,25
133,constraint_B3_entropy,25
133,constraint_B4_transition_freedom,17
133,constraint_B5_possibility_elim,17
134,constraint_B1_growth_rate,8
134,constraint_B2_reachable,25
134,constraint_B3_entropy,25
134,constraint_B4_transition_freedom,17
134,constraint_B5_possibility_elim,17
135,constraint_B1_growth_rate,8
135,constraint_B2_reachable,25
135,constraint_B3_entropy,25
135,constraint_B4_transition_freedom,17
135,constraint_B5_possibility_elim,17
136,constraint_B1_growth_rate,8
136,constraint_B2_reachable,25
136,constraint_B3_entropy,25
136,constraint_B4_transition_freedom,17
136,constraint_B5_possibility_elim,17
137,constraint_B1_growth_rate,8
137,constraint_B2_reachable,25
137,constraint_B3_entropy,25
137,constraint_B4_transition_freedom,17
137,constraint_B5_possibility_elim,17
138,constraint_B1_growth_rate,8
138,constraint_B2_reachable,25
138,constraint_B3_entropy,25
138,constraint_B4_transition_freedom,17
138,constraint_B5_possibility_elim,17
139,constraint_B1_growth_rate,8
139,constraint_B2_reachable,25
139,constraint_B3_entropy,25
139,constraint_B4_transition_freedom,17
139,constraint_B5_possibility_elim,17
140,constraint_B1_growth_rate,8
140,constraint_B2_reachable,25
140,constraint_B3_entropy,25
140,constraint_B4_transition_freedom,17
140,constraint_B5_possibility_elim,17
141,constraint_B1_growth_rate,8
141,constraint_B2_reachable,25
141,constraint_B3_entropy,25
141,constraint_B4_transition_freedom,17
141,constraint_B5_possibility_elim,17
142,constraint_B1_growth_rate,8
142,constraint_B2_reachable,25
142,constraint_B3_entropy,25
142,constraint_B4_transition_freedom,17
142,constraint_B5_possibility_elim,17
143,constraint_B1_growth_rate,8
143,constraint_B2_reachable,25
143,constraint_B3_entropy,25
143,constraint_B4_transition_freedom,17
143,constraint_B5_possibility_elim,17
144,constraint_B1_growth_rate,8
144,constraint_B2_reachable,25
144,constraint_B3_entropy,25
144,constraint_B4_transition_freedom,17
144,constraint_B5_possibility_elim,17
145,constraint_B1_growth_rate,8
145,constraint_B2_reachable,25
145,constraint_B3_entropy,25
145,constraint_B4_transition_freedom,17
145,constraint_B5_possibility_elim,17
146,constraint_B1_growth_rate,8
146,constraint_B2_reachable,25
146,constraint_B3_entropy,25
146,constraint_B4_transition_freedom,17
146,constraint_B5_possibility_elim,17
147,constraint_B1_growth_rate,8
147,constraint_B2_reachable,25
147,constraint_B3_entropy,25
147,constraint_B4_transition_freedom,17
147,constraint_B5_possibility_elim,17
148,constraint_B1_growth_rate,8
148,constraint_B2_reachable,25
148,constraint_B3_entropy,25
148,constraint_B4_transition_freedom,17
148,constraint_B5_possibility_elim,17
149,constraint_B1_growth_rate,8
149,constraint_B2_reachable,25
149,constraint_B3_entropy,25
149,constraint_B4_transition_freedom,17
149,constraint_B5_possibility_elim,17
150,constraint_B1_growth_rate,8
150,constraint_B2_reachable,25
150,constraint_B3_entropy,25
150,constraint_B4_transition_freedom,17
150,constraint_B5_possibility_elim,17
151,constraint_B1_growth_rate,8
151,constraint_B2_reachable,25
151,constraint_B3_entropy,25
151,constraint_B4_transition_freedom,17
151,constraint_B5_possibility_elim,17
152,constraint_B1_growth_rate,8
152,constraint_B2_reachable,25
152,constraint_B3_entropy,25
152,constraint_B4_transition_freedom,17
152,constraint_B5_possibility_elim,17
153,constraint_B1_growth_rate,8
153,constraint_B2_reachable,25
153,constraint_B3_entropy,25
153,constraint_B4_transition_freedom,17
153,constraint_B5_possibility_elim,17
154,constraint_B1_growth_rate,8
154,constraint_B2_reachable,25
154,constraint_B3_entropy,25
154,constraint_B5_possibility_elim,17
154,constraint_B10_elimination_rate,17
155,constraint_B1_growth_rate,8
155,constraint_B2_reachable,25
155,constraint_B3_entropy,25
155,constraint_B4_transition_freedom,17
155,constraint_B5_possibility_elim,17
156,constraint_B1_growth_rate,8
156,constraint_B2_reachable,25
156,constraint_B3_entropy,25
156,constraint_B4_transition_freedom,17
156,constraint_B5_possibility_elim,17
157,constraint_B1_growth_rate,8
157,constraint_B2_reachable,25
157,constraint_B3_entropy,25
157,constraint_B5_possibility_elim,17
158,constraint_B1_growth_rate,8
158,constraint_B2_reachable,25
158,constraint_B3_entropy,25
158,constraint_B4_transition_freedom,17
158,constraint_B5_possibility_elim,17
159,constraint_B1_growth_rate,8
159,constraint_B2_reachable,25
159,constraint_B3_entropy,25
159,constraint_B5_possibility_elim,17
160,constraint_B1_growth_rate,8
160,constraint_B2_reachable,25
160,constraint_B3_entropy,25
160,constraint_B4_transition_freedom,17
160,constraint_B5_possibility_elim,17
161,constraint_B1_growth_rate,8
161,constraint_B2_reachable,25
161,constraint_B3_entropy,25
161,constraint_B4_transition_freedom,17
161,constraint_B5_possibility_elim,17
162,constraint_B1_growth_rate,8
162,constraint_B2_reachable,25
162,constraint_B3_entropy,25
162,constraint_B4_transition_freedom,17
162,constraint_B5_possibility_elim,17
163,constraint_B1_growth_rate,8
163,constraint_B2_reachable,25
163,constraint_B3_entropy,25
163,constraint_B4_transition_freedom,17
163,constraint_B5_possibility_elim,17
164,constraint_B1_growth_rate,8
164,constraint_B2_reachable,25
164,constraint_B3_entropy,25
164,constraint_B4_transition_freedom,17
164,constraint_B5_possibility_elim,17
165,constraint_B1_growth_rate,8
165,constraint_B2_reachable,25
165,constraint_B3_entropy,25
165,constraint_B4_transition_freedom,17
165,constraint_B5_possibility_elim,17
166,constraint_B1_growth_rate,8
166,constraint_B2_reachable,25
166,constraint_B3_entropy,25
166,constraint_B4_transition_freedom,17
166,constraint_B5_possibility_elim,17
