depth,initialization_class,sector,universality_strength,convergence_rate,perturbation_stability,sector_dependence,recursive_retention,bounded_variation,rg_stability
15,6,projection,1.000000,0.641710,0.722741,0.000000,0.944548,0.900000,0.950000
15,6,antisymmetry,1.000000,0.641710,0.722741,0.050000,0.944548,0.900000,0.950000
15,6,neutral,1.000000,0.641710,0.722741,0.120000,0.944548,0.900000,0.950000
20,0,projection,1.000000,0.610364,0.695548,0.000000,0.939110,0.900000,0.950000
20,0,antisymmetry,1.000000,0.610364,0.695548,0.050000,0.939110,0.900000,0.950000
20,0,neutral,1.000000,0.610364,0.695548,0.120000,0.939110,0.900000,0.950000
20,1,projection,1.000000,0.610364,0.695548,0.000000,0.939110,0.900000,0.950000
20,1,antisymmetry,1.000000,0.610364,0.695548,0.050000,0.939110,0.900000,0.950000
20,1,neutral,1.000000,0.610364,0.695548,0.120000,0.939110,0.900000,0.950000
20,2,projection,1.000000,0.610364,0.695548,0.000000,0.939110,0.900000,0.950000
20,2,antisymmetry,1.000000,0.610364,0.695548,0.050000,0.939110,0.900000,0.950000
20,2,neutral,1.000000,0.610364,0.695548,0.120000,0.939110,0.900000,0.950000
20,3,projection,1.000000,0.610364,0.695548,0.000000,0.939110,0.900000,0.950000
20,3,antisymmetry,1.000000,0.610364,0.695548,0.050000,0.939110,0.900000,0.950000
20,3,neutral,1.000000,0.610364,0.695548,0.120000,0.939110,0.900000,0.950000
20,4,projection,1.000000,0.610364,0.695548,0.000000,0.939110,0.900000,0.950000
20,4,antisymmetry,1.000000,0.610364,0.695548,0.050000,0.939110,0.900000,0.950000
20,4,neutral,1.000000,0.610364,0.695548,0.120000,0.939110,0.900000,0.950000
20,5,projection,1.000000,0.610364,0.695548,0.000000,0.939110,0.900000,0.950000
20,5,antisymmetry,1.000000,0.610364,0.695548,0.050000,0.939110,0.900000,0.950000
20,5,neutral,1.000000,0.610364,0.695548,0.120000,0.939110,0.900000,0.950000
20,6,projection,1.000000,0.610364,0.695548,0.000000,0.939110,0.900000,0.950000
20,6,antisymmetry,1.000000,0.610364,0.695548,0.050000,0.939110,0.900000,0.950000
20,6,neutral,1.000000,0.610364,0.695548,0.120000,0.939110,0.900000,0.950000
