depth,sector,condition,rg_similarity,invariant_class_stability,motif_persistence,cross_operator_similarity,recursive_relational_coherence,collapse_path_dependence,invariant_survival_rate,classification
2,Projection,InvariantClassClustering,0.8688,0.8569,0.8294,0.8461,0.8317,0.8019,0.8284,INVARIANT-CLASS
4,Projection,InvariantClassClustering,0.8115,0.788,0.7683,0.7698,0.7382,0.7416,0.7514,INVARIANT-CLASS
6,Projection,InvariantClassClustering,0.7375,0.7042,0.6983,0.682,0.6835,0.659,0.6849,RELATIONAL-STABLE
8,Projection,InvariantClassClustering,0.6849,0.6619,0.6406,0.6307,0.6299,0.6184,0.624,RELATIONAL-PARTIAL
12,Projection,InvariantClassClustering,0.5846,0.5627,0.5534,0.555,0.5456,0.5233,0.55,RELATIONAL-PARTIAL
16,Projection,InvariantClassClustering,0.515,0.4899,0.4768,0.4844,0.4742,0.4564,0.4707,RELATIONAL-DEGRADING
20,Projection,InvariantClassClustering,0.4616,0.4493,0.4187,0.4325,0.4198,0.4099,0.419,RELATIONAL-DEGRADING
24,Projection,InvariantClassClustering,0.4197,0.3937,0.3944,0.3982,0.3898,0.3746,0.3844,RELATIONAL-FAILED
32,Projection,InvariantClassClustering,0.3471,0.3358,0.3179,0.3259,0.3217,0.3174,0.3216,RELATIONAL-FAILED
40,Projection,InvariantClassClustering,0.2961,0.2863,0.283,0.283,0.2722,0.2655,0.2725,RELATIONAL-FAILED
48,Projection,InvariantClassClustering,0.2571,0.247,0.2482,0.251,0.2387,0.2398,0.2483,RELATIONAL-FAILED
64,Projection,InvariantClassClustering,0.2125,0.2027,0.197,0.1962,0.1931,0.1931,0.1926,RELATIONAL-FAILED
80,Projection,InvariantClassClustering,0.1716,0.1726,0.1673,0.1621,0.1599,0.16,0.1613,RELATIONAL-FAILED
1,Projection,OperatorIndependentPattern,0.9585,0.9119,0.8584,0.9057,0.8594,0.845,0.8764,INVARIANT-CLASS
2,Projection,OperatorIndependentPattern,0.8957,0.8477,0.8111,0.8567,0.8027,0.8031,0.8413,INVARIANT-CLASS
4,Projection,OperatorIndependentPattern,0.7964,0.7855,0.744,0.7853,0.7583,0.7204,0.7586,INVARIANT-CLASS
6,Projection,OperatorIndependentPattern,0.7254,0.7183,0.6817,0.7157,0.6805,0.6518,0.7023,RELATIONAL-STABLE
8,Projection,OperatorIndependentPattern,0.6755,0.6531,0.6243,0.6396,0.6116,0.6221,0.6288,RELATIONAL-PARTIAL
12,Projection,OperatorIndependentPattern,0.5928,0.5623,0.5496,0.5551,0.5344,0.5229,0.5386,RELATIONAL-DEGRADING
16,Projection,OperatorIndependentPattern,0.5093,0.4973,0.4704,0.4908,0.4832,0.464,0.4823,RELATIONAL-DEGRADING
20,Projection,OperatorIndependentPattern,0.4515,0.4455,0.4185,0.4513,0.4138,0.4232,0.4348,RELATIONAL-DEGRADING
24,Projection,OperatorIndependentPattern,0.4239,0.4036,0.3787,0.3971,0.3892,0.3814,0.3817,RELATIONAL-DEGRADING
32,Projection,OperatorIndependentPattern,0.3442,0.3338,0.3271,0.3383,0.3143,0.3054,0.319,RELATIONAL-FAILED
40,Projection,OperatorIndependentPattern,0.302,0.2915,0.2791,0.2943,0.2769,0.2638,0.2725,RELATIONAL-FAILED
48,Projection,OperatorIndependentPattern,0.2674,0.2544,0.2429,0.2536,0.2374,0.2384,0.2487,RELATIONAL-FAILED
64,Projection,OperatorIndependentPattern,0.2108,0.207,0.1954,0.1987,0.1922,0.189,0.1989,RELATIONAL-FAILED
80,Projection,OperatorIndependentPattern,0.1779,0.1688,0.1603,0.1674,0.1604,0.1582,0.1664,RELATIONAL-FAILED
1,Projection,RecursiveMotifPersistence,0.9283,0.9036,0.9001,0.8577,0.8593,0.836,0.882,INVARIANT-CLASS
2,Projection,RecursiveMotifPersistence,0.8642,0.8492,0.8345,0.834,0.8367,0.7888,0.8065,INVARIANT-CLASS
4,Projection,RecursiveMotifPersistence,0.7896,0.7566,0.7626,0.7645,0.7454,0.7147,0.7354,RELATIONAL-STABLE
6,Projection,RecursiveMotifPersistence,0.7228,0.7043,0.6834,0.6948,0.6952,0.6434,0.6682,RELATIONAL-STABLE
8,Projection,RecursiveMotifPersistence,0.6627,0.6524,0.6432,0.6285,0.6396,0.6106,0.6207,RELATIONAL-PARTIAL
12,Projection,RecursiveMotifPersistence,0.5754,0.5434,0.5556,0.5515,0.5471,0.5144,0.5459,RELATIONAL-DEGRADING
16,Projection,RecursiveMotifPersistence,0.5024,0.4775,0.4819,0.4718,0.4754,0.4529,0.4735,RELATIONAL-DEGRADING
20,Projection,RecursiveMotifPersistence,0.4589,0.4299,0.4308,0.4313,0.434,0.4123,0.426,RELATIONAL-DEGRADING
24,Projection,RecursiveMotifPersistence,0.4159,0.3992,0.3871,0.3831,0.3917,0.3676,0.382,RELATIONAL-FAILED
32,Projection,RecursiveMotifPersistence,0.3418,0.33,0.3344,0.3301,0.3297,0.3036,0.3252,RELATIONAL-FAILED
40,Projection,RecursiveMotifPersistence,0.2931,0.2755,0.2792,0.282,0.2769,0.2716,0.2797,RELATIONAL-FAILED
48,Projection,RecursiveMotifPersistence,0.253,0.25,0.2451,0.249,0.2489,0.2324,0.2426,RELATIONAL-FAILED
64,Projection,RecursiveMotifPersistence,0.2109,0.1995,0.1972,0.1961,0.1947,0.1871,0.1938,RELATIONAL-FAILED
80,Projection,RecursiveMotifPersistence,0.1703,0.167,0.1693,0.1675,0.1604,0.1545,0.1603,RELATIONAL-FAILED
1,Projection,PerturbationSurvivalTesting,0.9059,0.8769,0.8592,0.8723,0.8601,0.8755,0.8386,INVARIANT-CLASS
2,Projection,PerturbationSurvivalTesting,0.8865,0.8245,0.8254,0.835,0.828,0.8087,0.8158,INVARIANT-CLASS
4,Projection,PerturbationSurvivalTesting,0.8023,0.7558,0.7374,0.7626,0.7473,0.7465,0.7409,RELATIONAL-STABLE
6,Projection,PerturbationSurvivalTesting,0.7237,0.6932,0.6744,0.6824,0.6672,0.6694,0.6748,RELATIONAL-STABLE
8,Projection,PerturbationSurvivalTesting,0.6721,0.6335,0.6369,0.6384,0.6052,0.6055,0.622,RELATIONAL-PARTIAL
12,Projection,PerturbationSurvivalTesting,0.5782,0.545,0.5277,0.5333,0.5409,0.5455,0.5315,RELATIONAL-DEGRADING
16,Projection,PerturbationSurvivalTesting,0.5001,0.4895,0.477,0.4813,0.4618,0.4751,0.4795,RELATIONAL-DEGRADING
20,Projection,PerturbationSurvivalTesting,0.443,0.4306,0.4232,0.4229,0.4167,0.4117,0.4119,RELATIONAL-DEGRADING
24,Projection,PerturbationSurvivalTesting,0.4024,0.3877,0.377,0.3842,0.3834,0.3824,0.3789,RELATIONAL-FAILED
32,Projection,PerturbationSurvivalTesting,0.3379,0.3244,0.3182,0.3257,0.3094,0.312,0.3127,RELATIONAL-FAILED
40,Projection,PerturbationSurvivalTesting,0.2872,0.2783,0.2777,0.2724,0.2659,0.2658,0.2762,RELATIONAL-FAILED
48,Projection,PerturbationSurvivalTesting,0.2534,0.2468,0.2371,0.2482,0.2418,0.2389,0.2384,RELATIONAL-FAILED
64,Projection,PerturbationSurvivalTesting,0.2077,0.1967,0.1937,0.1964,0.1915,0.1897,0.1923,RELATIONAL-FAILED
80,Projection,PerturbationSurvivalTesting,0.1704,0.1652,0.1585,0.1606,0.158,0.1607,0.1575,RELATIONAL-FAILED
1,Projection,CollapsePathwayClassification,0.9072,0.8857,0.8407,0.8818,0.8442,0.856,0.8441,INVARIANT-CLASS
2,Projection,CollapsePathwayClassification,0.8702,0.8204,0.8276,0.8081,0.796,0.8132,0.8171,INVARIANT-CLASS
4,Projection,CollapsePathwayClassification,0.7875,0.7523,0.7175,0.7416,0.7206,0.7307,0.7366,RELATIONAL-STABLE
6,Projection,CollapsePathwayClassification,0.7191,0.6721,0.6685,0.6876,0.651,0.6636,0.6738,RELATIONAL-STABLE
8,Projection,CollapsePathwayClassification,0.6486,0.6281,0.6105,0.6205,0.5977,0.6164,0.6191,RELATIONAL-PARTIAL
12,Projection,CollapsePathwayClassification,0.5618,0.5503,0.5253,0.546,0.5177,0.53,0.5216,RELATIONAL-DEGRADING
16,Projection,CollapsePathwayClassification,0.5037,0.4785,0.4696,0.4684,0.4591,0.4849,0.4644,RELATIONAL-DEGRADING
20,Projection,CollapsePathwayClassification,0.4491,0.4201,0.427,0.4173,0.4068,0.4195,0.4222,RELATIONAL-DEGRADING
24,Projection,CollapsePathwayClassification,0.4097,0.3838,0.3762,0.3771,0.3657,0.3862,0.3725,RELATIONAL-FAILED
32,Projection,CollapsePathwayClassification,0.332,0.3252,0.3197,0.3247,0.3114,0.3148,0.3142,RELATIONAL-FAILED
40,Projection,CollapsePathwayClassification,0.2873,0.2744,0.2735,0.2714,0.2733,0.2752,0.2771,RELATIONAL-FAILED
48,Projection,CollapsePathwayClassification,0.2561,0.2482,0.2409,0.2415,0.2413,0.2384,0.2335,RELATIONAL-FAILED
64,Projection,CollapsePathwayClassification,0.2043,0.1934,0.1901,0.1903,0.1932,0.1917,0.1876,RELATIONAL-FAILED
80,Projection,CollapsePathwayClassification,0.1712,0.1626,0.1635,0.1597,0.1551,0.1626,0.1624,RELATIONAL-FAILED
1,Projection,NullInvariantControl,0.7248,0.7031,0.7244,0.6874,0.6995,0.6963,0.7024,RELATIONAL-STABLE
2,Projection,NullInvariantControl,0.7082,0.6943,0.6787,0.6694,0.6519,0.6884,0.6535,RELATIONAL-STABLE
4,Projection,NullInvariantControl,0.6416,0.6087,0.6024,0.6144,0.6142,0.6303,0.5834,RELATIONAL-PARTIAL
6,Projection,NullInvariantControl,0.5814,0.5632,0.5618,0.5672,0.5539,0.5664,0.5321,RELATIONAL-DEGRADING
8,Projection,NullInvariantControl,0.5187,0.5134,0.5111,0.5207,0.5124,0.5092,0.5022,RELATIONAL-DEGRADING
12,Projection,NullInvariantControl,0.4543,0.4472,0.4361,0.4492,0.4494,0.4405,0.4402,RELATIONAL-DEGRADING
16,Projection,NullInvariantControl,0.4006,0.3872,0.3959,0.3899,0.3947,0.4014,0.3799,RELATIONAL-FAILED
20,Projection,NullInvariantControl,0.3573,0.3566,0.3569,0.3479,0.3393,0.3534,0.339,RELATIONAL-FAILED
24,Projection,NullInvariantControl,0.3174,0.3179,0.3072,0.3067,0.314,0.3088,0.3036,RELATIONAL-FAILED
32,Projection,NullInvariantControl,0.2653,0.2675,0.2714,0.2664,0.2622,0.2686,0.2604,RELATIONAL-FAILED
40,Projection,NullInvariantControl,0.2364,0.2278,0.2299,0.2288,0.2207,0.2261,0.2252,RELATIONAL-FAILED
48,Projection,NullInvariantControl,0.2007,0.1989,0.1943,0.1929,0.196,0.202,0.1934,RELATIONAL-FAILED
64,Projection,NullInvariantControl,0.1636,0.1562,0.1568,0.1559,0.1556,0.1601,0.1531,RELATIONAL-FAILED
80,Projection,NullInvariantControl,0.136,0.133,0.1358,0.1348,0.132,0.135,0.1291,RELATIONAL-FAILED
1,Antisymmetry,RelationalMotifExtraction,0.9076,0.8854,0.8407,0.8849,0.8214,0.8098,0.8295,INVARIANT-CLASS
2,Antisymmetry,RelationalMotifExtraction,0.8379,0.8293,0.7978,0.8078,0.7949,0.7815,0.788,INVARIANT-CLASS
4,Antisymmetry,RelationalMotifExtraction,0.7846,0.7351,0.7337,0.7303,0.703,0.687,0.7071,RELATIONAL-STABLE
6,Antisymmetry,RelationalMotifExtraction,0.7005,0.6899,0.656,0.6826,0.6423,0.6312,0.6691,RELATIONAL-STABLE
8,Antisymmetry,RelationalMotifExtraction,0.6484,0.6138,0.5897,0.6295,0.6007,0.5735,0.6056,RELATIONAL-PARTIAL
12,Antisymmetry,RelationalMotifExtraction,0.558,0.5434,0.5179,0.5412,0.5227,0.4962,0.5143,RELATIONAL-DEGRADING
16,Antisymmetry,RelationalMotifExtraction,0.4831,0.4851,0.4675,0.4757,0.4587,0.4455,0.4537,RELATIONAL-DEGRADING
20,Antisymmetry,RelationalMotifExtraction,0.4451,0.4299,0.4075,0.4315,0.3981,0.3883,0.4057,RELATIONAL-DEGRADING
24,Antisymmetry,RelationalMotifExtraction,0.3955,0.3815,0.3713,0.3821,0.3648,0.363,0.3746,RELATIONAL-FAILED
32,Antisymmetry,RelationalMotifExtraction,0.3385,0.321,0.3097,0.3147,0.3122,0.3009,0.3106,RELATIONAL-FAILED
40,Antisymmetry,RelationalMotifExtraction,0.2827,0.2708,0.2706,0.2812,0.2611,0.2621,0.2638,RELATIONAL-FAILED
48,Antisymmetry,RelationalMotifExtraction,0.2539,0.2421,0.2279,0.2407,0.2355,0.2221,0.2378,RELATIONAL-FAILED
64,Antisymmetry,RelationalMotifExtraction,0.1987,0.1982,0.1838,0.1923,0.1829,0.1846,0.1864,RELATIONAL-FAILED
80,Antisymmetry,RelationalMotifExtraction,0.1655,0.1655,0.1599,0.1656,0.1543,0.1488,0.1541,RELATIONAL-FAILED
1,Antisymmetry,InvariantClassClustering,0.9188,0.8769,0.8498,0.8511,0.8412,0.8081,0.861,INVARIANT-CLASS
2,Antisymmetry,InvariantClassClustering,0.8461,0.829,0.7935,0.8255,0.794,0.7852,0.7992,INVARIANT-CLASS
4,Antisymmetry,InvariantClassClustering,0.7607,0.7421,0.7377,0.7357,0.7254,0.7097,0.7337,RELATIONAL-STABLE
6,Antisymmetry,InvariantClassClustering,0.698,0.691,0.6492,0.6606,0.6678,0.6408,0.6769,RELATIONAL-STABLE
8,Antisymmetry,InvariantClassClustering,0.6561,0.6444,0.6012,0.6214,0.5891,0.603,0.5981,RELATIONAL-PARTIAL
12,Antisymmetry,InvariantClassClustering,0.5561,0.543,0.5385,0.5265,0.5138,0.5189,0.5193,RELATIONAL-DEGRADING
16,Antisymmetry,InvariantClassClustering,0.4935,0.4802,0.4669,0.4633,0.4625,0.4432,0.4716,RELATIONAL-DEGRADING
20,Antisymmetry,InvariantClassClustering,0.4452,0.4198,0.4226,0.4096,0.407,0.3899,0.4084,RELATIONAL-DEGRADING
24,Antisymmetry,InvariantClassClustering,0.4086,0.3848,0.3707,0.386,0.3626,0.3577,0.3777,RELATIONAL-FAILED
32,Antisymmetry,InvariantClassClustering,0.3329,0.3252,0.3167,0.3167,0.3034,0.3055,0.3187,RELATIONAL-FAILED
40,Antisymmetry,InvariantClassClustering,0.2916,0.2815,0.2666,0.2731,0.267,0.2624,0.2706,RELATIONAL-FAILED
48,Antisymmetry,InvariantClassClustering,0.2484,0.2398,0.2327,0.2432,0.2306,0.2266,0.2366,RELATIONAL-FAILED
64,Antisymmetry,InvariantClassClustering,0.2054,0.197,0.1875,0.1942,0.1856,0.186,0.1879,RELATIONAL-FAILED
80,Antisymmetry,InvariantClassClustering,0.1677,0.1633,0.1607,0.1615,0.1564,0.1555,0.1616,RELATIONAL-FAILED
1,Antisymmetry,OperatorIndependentPattern,0.9309,0.8699,0.839,0.8654,0.8329,0.8003,0.8268,INVARIANT-CLASS
2,Antisymmetry,OperatorIndependentPattern,0.8796,0.8423,0.7882,0.845,0.7856,0.7733,0.7962,INVARIANT-CLASS
4,Antisymmetry,OperatorIndependentPattern,0.7663,0.7442,0.7107,0.7378,0.7262,0.6966,0.7156,RELATIONAL-STABLE
6,Antisymmetry,OperatorIndependentPattern,0.7146,0.6794,0.6766,0.698,0.6473,0.6371,0.6558,RELATIONAL-STABLE
8,Antisymmetry,OperatorIndependentPattern,0.6541,0.6242,0.6185,0.6336,0.5965,0.6004,0.6014,RELATIONAL-PARTIAL
12,Antisymmetry,OperatorIndependentPattern,0.5575,0.5524,0.529,0.5533,0.5247,0.5179,0.5311,RELATIONAL-DEGRADING
16,Antisymmetry,OperatorIndependentPattern,0.4885,0.4815,0.4633,0.4786,0.467,0.4373,0.4561,RELATIONAL-DEGRADING
20,Antisymmetry,OperatorIndependentPattern,0.4401,0.4239,0.4044,0.4262,0.4152,0.3991,0.4126,RELATIONAL-DEGRADING
24,Antisymmetry,OperatorIndependentPattern,0.4043,0.3837,0.3733,0.3829,0.3694,0.3588,0.3762,RELATIONAL-FAILED
32,Antisymmetry,OperatorIndependentPattern,0.3394,0.3197,0.3152,0.3182,0.3132,0.306,0.3153,RELATIONAL-FAILED
40,Antisymmetry,OperatorIndependentPattern,0.2912,0.2812,0.2645,0.2774,0.2639,0.2654,0.2687,RELATIONAL-FAILED
48,Antisymmetry,OperatorIndependentPattern,0.256,0.2425,0.2322,0.2437,0.2376,0.222,0.2371,RELATIONAL-FAILED
64,Antisymmetry,OperatorIndependentPattern,0.2055,0.1962,0.1855,0.1928,0.1841,0.1786,0.1852,RELATIONAL-FAILED
80,Antisymmetry,OperatorIndependentPattern,0.1716,0.162,0.1587,0.1608,0.1587,0.1513,0.1573,RELATIONAL-FAILED
1,Antisymmetry,RecursiveMotifPersistence,0.8785,0.8469,0.8633,0.8281,0.8349,0.8164,0.8228,INVARIANT-CLASS
2,Antisymmetry,RecursiveMotifPersistence,0.8536,0.8189,0.8086,0.8204,0.7946,0.7689,0.7816,INVARIANT-CLASS
4,Antisymmetry,RecursiveMotifPersistence,0.7659,0.7437,0.7313,0.7093,0.7324,0.7016,0.7032,RELATIONAL-STABLE
6,Antisymmetry,RecursiveMotifPersistence,0.691,0.6807,0.6626,0.6758,0.6596,0.6419,0.6532,RELATIONAL-STABLE
8,Antisymmetry,RecursiveMotifPersistence,0.6515,0.6139,0.6282,0.6021,0.606,0.5791,0.5952,RELATIONAL-PARTIAL
12,Antisymmetry,RecursiveMotifPersistence,0.5561,0.5232,0.541,0.5254,0.516,0.5093,0.5217,RELATIONAL-DEGRADING
16,Antisymmetry,RecursiveMotifPersistence,0.4896,0.4727,0.4658,0.4685,0.4698,0.4331,0.4562,RELATIONAL-DEGRADING
20,Antisymmetry,RecursiveMotifPersistence,0.4425,0.425,0.4129,0.4126,0.4108,0.3863,0.417,RELATIONAL-DEGRADING
24,Antisymmetry,RecursiveMotifPersistence,0.3957,0.3818,0.3819,0.3709,0.3802,0.3471,0.3685,RELATIONAL-FAILED
32,Antisymmetry,RecursiveMotifPersistence,0.3337,0.3176,0.316,0.3054,0.3128,0.2968,0.3077,RELATIONAL-FAILED
40,Antisymmetry,RecursiveMotifPersistence,0.2895,0.2747,0.2714,0.2676,0.2669,0.2515,0.2716,RELATIONAL-FAILED
48,Antisymmetry,RecursiveMotifPersistence,0.2511,0.2439,0.2417,0.2397,0.2349,0.2229,0.2305,RELATIONAL-FAILED
64,Antisymmetry,RecursiveMotifPersistence,0.1988,0.1898,0.1934,0.1877,0.191,0.1818,0.184,RELATIONAL-FAILED
80,Antisymmetry,RecursiveMotifPersistence,0.1674,0.1563,0.1579,0.1547,0.1555,0.1481,0.1552,RELATIONAL-FAILED
1,Antisymmetry,PerturbationSurvivalTesting,0.8833,0.8602,0.8549,0.8593,0.8452,0.8286,0.8199,INVARIANT-CLASS
2,Antisymmetry,PerturbationSurvivalTesting,0.8375,0.8003,0.7777,0.783,0.7781,0.7746,0.766,INVARIANT-CLASS
4,Antisymmetry,PerturbationSurvivalTesting,0.7739,0.7382,0.7267,0.7334,0.6963,0.7142,0.6997,RELATIONAL-STABLE
6,Antisymmetry,PerturbationSurvivalTesting,0.6867,0.6685,0.6551,0.6664,0.6558,0.6336,0.6487,RELATIONAL-PARTIAL
8,Antisymmetry,PerturbationSurvivalTesting,0.6558,0.6088,0.614,0.6122,0.6068,0.5871,0.5882,RELATIONAL-PARTIAL
12,Antisymmetry,PerturbationSurvivalTesting,0.5569,0.5227,0.5119,0.5197,0.5031,0.5174,0.5159,RELATIONAL-DEGRADING
16,Antisymmetry,PerturbationSurvivalTesting,0.4785,0.4617,0.4646,0.463,0.4591,0.4616,0.4483,RELATIONAL-DEGRADING
20,Antisymmetry,PerturbationSurvivalTesting,0.4261,0.4097,0.4133,0.4189,0.3971,0.3993,0.4018,RELATIONAL-DEGRADING
24,Antisymmetry,PerturbationSurvivalTesting,0.3916,0.3749,0.369,0.3763,0.3689,0.3574,0.3718,RELATIONAL-FAILED
32,Antisymmetry,PerturbationSurvivalTesting,0.3326,0.3113,0.3035,0.3194,0.3048,0.3032,0.3038,RELATIONAL-FAILED
40,Antisymmetry,PerturbationSurvivalTesting,0.2834,0.2711,0.2654,0.2647,0.2606,0.2653,0.2625,RELATIONAL-FAILED
48,Antisymmetry,PerturbationSurvivalTesting,0.2485,0.24,0.2308,0.2315,0.2298,0.2321,0.2262,RELATIONAL-FAILED
64,Antisymmetry,PerturbationSurvivalTesting,0.2004,0.1922,0.1913,0.1899,0.1881,0.1858,0.186,RELATIONAL-FAILED
80,Antisymmetry,PerturbationSurvivalTesting,0.1698,0.159,0.1526,0.1554,0.157,0.1508,0.1513,RELATIONAL-FAILED
1,Antisymmetry,CollapsePathwayClassification,0.8993,0.8626,0.8057,0.8326,0.8297,0.8457,0.8158,INVARIANT-CLASS
2,Antisymmetry,CollapsePathwayClassification,0.8535,0.7951,0.7899,0.8017,0.7848,0.7959,0.7643,INVARIANT-CLASS
4,Antisymmetry,CollapsePathwayClassification,0.7644,0.7104,0.7202,0.7118,0.7124,0.7012,0.7088,RELATIONAL-STABLE
6,Antisymmetry,CollapsePathwayClassification,0.6983,0.6753,0.6535,0.6512,0.641,0.6696,0.6323,RELATIONAL-PARTIAL
8,Antisymmetry,CollapsePathwayClassification,0.6466,0.6082,0.5919,0.6159,0.5822,0.6044,0.5979,RELATIONAL-PARTIAL
12,Antisymmetry,CollapsePathwayClassification,0.5573,0.5366,0.5228,0.5146,0.5154,0.5179,0.5029,RELATIONAL-DEGRADING
16,Antisymmetry,CollapsePathwayClassification,0.477,0.4616,0.4498,0.4682,0.4383,0.4598,0.4508,RELATIONAL-DEGRADING
20,Antisymmetry,CollapsePathwayClassification,0.4375,0.404,0.4101,0.4132,0.3916,0.414,0.3954,RELATIONAL-DEGRADING
24,Antisymmetry,CollapsePathwayClassification,0.3829,0.3672,0.3729,0.3682,0.3648,0.3628,0.3679,RELATIONAL-FAILED
32,Antisymmetry,CollapsePathwayClassification,0.3237,0.3117,0.3002,0.3112,0.2952,0.3095,0.2983,RELATIONAL-FAILED
40,Antisymmetry,CollapsePathwayClassification,0.288,0.2716,0.2579,0.2624,0.2644,0.2714,0.2628,RELATIONAL-FAILED
48,Antisymmetry,CollapsePathwayClassification,0.246,0.2354,0.2313,0.2376,0.2313,0.2386,0.225,RELATIONAL-FAILED
64,Antisymmetry,CollapsePathwayClassification,0.2002,0.1931,0.1864,0.1831,0.1824,0.1893,0.189,RELATIONAL-FAILED
80,Antisymmetry,CollapsePathwayClassification,0.1683,0.1592,0.1554,0.1552,0.1499,0.1587,0.1581,RELATIONAL-FAILED
1,Antisymmetry,NullInvariantControl,0.7154,0.697,0.6862,0.6806,0.6918,0.6987,0.667,RELATIONAL-STABLE
2,Antisymmetry,NullInvariantControl,0.6642,0.6338,0.6607,0.6469,0.631,0.6686,0.6405,RELATIONAL-PARTIAL
4,Antisymmetry,NullInvariantControl,0.6003,0.5973,0.5732,0.5915,0.5845,0.5842,0.5822,RELATIONAL-PARTIAL
6,Antisymmetry,NullInvariantControl,0.535,0.5245,0.5239,0.5385,0.5322,0.5476,0.5182,RELATIONAL-DEGRADING
8,Antisymmetry,NullInvariantControl,0.5039,0.4989,0.4951,0.4883,0.5013,0.5004,0.4873,RELATIONAL-DEGRADING
12,Antisymmetry,NullInvariantControl,0.4426,0.4386,0.4367,0.4155,0.4121,0.4288,0.4132,RELATIONAL-DEGRADING
16,Antisymmetry,NullInvariantControl,0.3773,0.3712,0.3806,0.3769,0.3735,0.3685,0.3654,RELATIONAL-FAILED
20,Antisymmetry,NullInvariantControl,0.3431,0.3313,0.3286,0.3396,0.3296,0.342,0.3208,RELATIONAL-FAILED
24,Antisymmetry,NullInvariantControl,0.3017,0.3004,0.3077,0.3032,0.2993,0.2981,0.2857,RELATIONAL-FAILED
32,Antisymmetry,NullInvariantControl,0.2542,0.2604,0.2536,0.2515,0.2426,0.2494,0.2403,RELATIONAL-FAILED
40,Antisymmetry,NullInvariantControl,0.2179,0.2197,0.2218,0.2113,0.2185,0.2136,0.2064,RELATIONAL-FAILED
48,Antisymmetry,NullInvariantControl,0.201,0.194,0.1962,0.1919,0.1889,0.1961,0.1867,RELATIONAL-FAILED
64,Antisymmetry,NullInvariantControl,0.1554,0.1508,0.1541,0.1552,0.151,0.152,0.1506,RELATIONAL-FAILED
80,Antisymmetry,NullInvariantControl,0.1282,0.1281,0.1297,0.1231,0.1273,0.131,0.1247,RELATIONAL-FAILED
1,Neutral,RelationalMotifExtraction,0.8128,0.7905,0.7681,0.8017,0.7659,0.7282,0.752,INVARIANT-CLASS
2,Neutral,RelationalMotifExtraction,0.799,0.7701,0.7398,0.7425,0.7061,0.7105,0.717,RELATIONAL-STABLE
4,Neutral,RelationalMotifExtraction,0.7304,0.696,0.6631,0.695,0.6638,0.6156,0.6519,RELATIONAL-STABLE
6,Neutral,RelationalMotifExtraction,0.6596,0.6315,0.6053,0.6353,0.5867,0.5753,0.5908,RELATIONAL-PARTIAL
8,Neutral,RelationalMotifExtraction,0.6016,0.5832,0.5686,0.5871,0.5339,0.5317,0.556,RELATIONAL-PARTIAL
12,Neutral,RelationalMotifExtraction,0.523,0.5123,0.4828,0.4984,0.4714,0.4688,0.487,RELATIONAL-DEGRADING
16,Neutral,RelationalMotifExtraction,0.4502,0.4455,0.4172,0.4447,0.4101,0.4136,0.4244,RELATIONAL-DEGRADING
20,Neutral,RelationalMotifExtraction,0.4034,0.3908,0.3802,0.3888,0.3738,0.3674,0.3702,RELATIONAL-FAILED
24,Neutral,RelationalMotifExtraction,0.3591,0.3592,0.3463,0.3439,0.3375,0.3165,0.3365,RELATIONAL-FAILED
