depth,sector,condition,rg_similarity,interaction_coherence,collision_reproducibility,identity_retention_post_collision,recursive_exchange_stability,bounded_interaction_drift,interaction_gain,classification
256,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
320,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
512,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
768,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1024,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1536,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2048,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
3072,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4096,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
6144,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8192,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
12288,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
16384,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
24576,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
32768,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
65536,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
131072,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
262144,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
524288,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1048576,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2097152,Projection,RecursiveInteractionPersistence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4194304,Projection,RecursiveInteractionPersistence,0.96,0.9361,0.94,0.9294,0.916,0.91,0.93,INTERACTION-STABLE
8388608,Projection,RecursiveInteractionPersistence,0.9474,0.8846,0.9311,0.8805,0.8783,0.8512,0.8693,INTERACTION-BOUNDED
16777216,Projection,RecursiveInteractionPersistence,0.8486,0.8042,0.8354,0.7977,0.776,0.7867,0.7928,INTERACTION-BOUNDED
1,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
6,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
12,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
16,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
20,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
24,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
32,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
40,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
48,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
64,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
80,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
96,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
128,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
160,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
192,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
256,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
320,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
512,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
768,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1024,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1536,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2048,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
3072,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4096,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
6144,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8192,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
12288,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
16384,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
24576,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
32768,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
65536,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
131072,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
262144,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
524288,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1048576,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2097152,Projection,IdentityRetentionAfterCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4194304,Projection,IdentityRetentionAfterCollision,0.96,0.9456,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8388608,Projection,IdentityRetentionAfterCollision,0.9314,0.8982,0.8894,0.9024,0.8963,0.8719,0.8728,INTERACTION-BOUNDED
16777216,Projection,IdentityRetentionAfterCollision,0.8362,0.8019,0.7985,0.8066,0.8038,0.7771,0.7975,INTERACTION-BOUNDED
1,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
6,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
12,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
16,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
20,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
24,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
32,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
40,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
48,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
64,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
80,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
96,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
128,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
160,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
192,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
256,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
320,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
512,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
768,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1024,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1536,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2048,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
3072,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4096,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
6144,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8192,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
12288,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
16384,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
24576,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
32768,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
65536,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
131072,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
262144,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
524288,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1048576,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2097152,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4194304,Projection,ExchangeConservationTracking,0.96,0.96,0.94,0.9298,0.92,0.91,0.9252,INTERACTION-STABLE
8388608,Projection,ExchangeConservationTracking,0.9258,0.9192,0.8829,0.876,0.9057,0.8566,0.9067,INTERACTION-STABLE
16777216,Projection,ExchangeConservationTracking,0.8328,0.8067,0.788,0.7829,0.8162,0.7678,0.7982,INTERACTION-BOUNDED
1,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
6,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
12,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
16,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
20,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
24,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
32,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
40,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
48,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
64,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
80,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
96,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
128,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
160,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
192,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
256,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
320,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
512,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
768,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1024,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1536,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2048,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
3072,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4096,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
6144,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8192,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
12288,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
16384,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
24576,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
32768,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
65536,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
131072,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
262144,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
524288,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
1048576,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2097152,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4194304,Projection,ConstructiveDestructiveCollision,0.96,0.96,0.94,0.93,0.9137,0.903,0.93,INTERACTION-STABLE
8388608,Projection,ConstructiveDestructiveCollision,0.9513,0.9184,0.8811,0.8915,0.856,0.8772,0.9044,INTERACTION-STABLE
16777216,Projection,ConstructiveDestructiveCollision,0.828,0.805,0.8099,0.7948,0.7833,0.7736,0.8077,INTERACTION-BOUNDED
1,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
2,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
4,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
6,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
8,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
12,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
16,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
20,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
24,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
32,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
40,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
48,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
64,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
80,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
96,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
128,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
160,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
192,Projection,RecursiveInteractionReproducibility,0.96,0.96,0.94,0.93,0.92,0.91,0.93,INTERACTION-STABLE
