depth,sector,transfer_retention,propagation_stability,degradation_loss,cooperative_transfer_gain,recursive_transfer_persistence,rg_similarity,classification
12,Neutral,0.7137,0.6985,0.286,0.0,0.7061,0.7727,WEAKLY_TRANSFERRED
16,Neutral,0.6823,0.6727,0.2916,0.0,0.6775,0.7745,TRANSFER-DEGRADING
20,Neutral,0.633,0.6397,0.3037,0.0,0.6364,0.7188,COLLAPSING
1,Projection-Antisymmetry,0.8251,0.8208,0.2688,0.067,0.823,0.8995,WEAKLY_TRANSFERRED
2,Projection-Antisymmetry,0.8209,0.7983,0.249,0.0736,0.8096,0.8671,WEAKLY_TRANSFERRED
4,Projection-Antisymmetry,0.8042,0.7647,0.2774,0.0799,0.7844,0.8523,WEAKLY_TRANSFERRED
6,Projection-Antisymmetry,0.7638,0.7686,0.2735,0.0674,0.7662,0.8332,WEAKLY_TRANSFERRED
8,Projection-Antisymmetry,0.7303,0.7191,0.2636,0.0777,0.7247,0.8433,WEAKLY_TRANSFERRED
12,Projection-Antisymmetry,0.6898,0.7069,0.3078,0.0,0.6984,0.7911,TRANSFER-DEGRADING
16,Projection-Antisymmetry,0.6696,0.6614,0.3168,0.0,0.6655,0.7594,TRANSFER-DEGRADING
20,Projection-Antisymmetry,0.6377,0.6249,0.3342,0.0,0.6313,0.7232,COLLAPSING
1,Projection-Neutral,0.8048,0.8299,0.2733,0.0675,0.8173,0.9021,WEAKLY_TRANSFERRED
2,Projection-Neutral,0.7938,0.7954,0.2496,0.0744,0.7946,0.8795,WEAKLY_TRANSFERRED
4,Projection-Neutral,0.7748,0.782,0.2504,0.0805,0.7784,0.8628,WEAKLY_TRANSFERRED
6,Projection-Neutral,0.7727,0.75,0.2653,0.0754,0.7614,0.8407,WEAKLY_TRANSFERRED
8,Projection-Neutral,0.7573,0.7238,0.2913,0.0819,0.7406,0.8267,WEAKLY_TRANSFERRED
12,Projection-Neutral,0.7153,0.7031,0.3148,0.0,0.7092,0.7697,TRANSFER-DEGRADING
16,Projection-Neutral,0.6571,0.6519,0.3068,0.0,0.6545,0.7572,TRANSFER-DEGRADING
20,Projection-Neutral,0.6395,0.63,0.3133,0.0,0.6347,0.7378,COLLAPSING
1,Antisymmetry-Neutral,0.8287,0.7958,0.2696,0.0744,0.8123,0.8797,WEAKLY_TRANSFERRED
2,Antisymmetry-Neutral,0.8038,0.7811,0.2492,0.074,0.7924,0.8641,WEAKLY_TRANSFERRED
4,Antisymmetry-Neutral,0.7736,0.7858,0.2509,0.0708,0.7797,0.8473,WEAKLY_TRANSFERRED
6,Antisymmetry-Neutral,0.7787,0.7625,0.2859,0.0812,0.7706,0.8111,WEAKLY_TRANSFERRED
8,Antisymmetry-Neutral,0.757,0.732,0.2996,0.071,0.7445,0.8063,WEAKLY_TRANSFERRED
12,Antisymmetry-Neutral,0.6891,0.7132,0.2984,0.0,0.7012,0.7784,TRANSFER-DEGRADING
16,Antisymmetry-Neutral,0.658,0.6741,0.3201,0.0,0.666,0.7256,TRANSFER-DEGRADING
20,Antisymmetry-Neutral,0.6474,0.6275,0.3022,0.0,0.6375,0.7022,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.8063,0.8183,0.2576,0.085,0.8123,0.9001,WEAKLY_TRANSFERRED
2,Projection-Antisymmetry-Neutral,0.8267,0.7845,0.2556,0.0812,0.8056,0.8509,WEAKLY_TRANSFERRED
4,Projection-Antisymmetry-Neutral,0.7985,0.7682,0.2732,0.0816,0.7834,0.831,WEAKLY_TRANSFERRED
6,Projection-Antisymmetry-Neutral,0.7778,0.7646,0.2834,0.0847,0.7712,0.8511,WEAKLY_TRANSFERRED
8,Projection-Antisymmetry-Neutral,0.7293,0.7484,0.2902,0.0738,0.7389,0.8099,WEAKLY_TRANSFERRED
12,Projection-Antisymmetry-Neutral,0.6986,0.7039,0.2771,0.0,0.7013,0.7618,TRANSFER-DEGRADING
16,Projection-Antisymmetry-Neutral,0.6815,0.6725,0.3058,0.0,0.677,0.7724,TRANSFER-DEGRADING
20,Projection-Antisymmetry-Neutral,0.6415,0.6417,0.3094,0.0,0.6416,0.7032,COLLAPSING
