depth,sector,condition,emergence_survival_fraction,operator_necessity_index,collapse_depth,hierarchy_preservation_rate,recursive_coherence_loss,phase_dependency_score,minimal_operator_sufficiency,efficacy,emergence_value,classification
3072,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
4096,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
6144,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9567,ABLATION-STABLE
8192,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9566,ABLATION-STABLE
12288,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9566,ABLATION-STABLE
16384,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9566,ABLATION-STABLE
24576,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9565,ABLATION-STABLE
32768,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9565,ABLATION-STABLE
65536,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9562,ABLATION-STABLE
131072,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9557,ABLATION-STABLE
262144,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9547,ABLATION-STABLE
524288,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9528,ABLATION-STABLE
1048576,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9489,ABLATION-STABLE
2097152,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9413,ABLATION-STABLE
4194304,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9263,ABLATION-STABLE
8388608,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8979,ABLATION-STABLE
16777216,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8458,ABLATION-STABLE
33554432,P-A-N,FullPABaseline,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.758,ABLATION-STABLE
1,P-A-N,PRemoved,0.4927,0.4,1.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
2,P-A-N,PRemoved,0.4927,0.4,2.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
4,P-A-N,PRemoved,0.4927,0.4,4.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
6,P-A-N,PRemoved,0.4927,0.4,6.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
8,P-A-N,PRemoved,0.4927,0.4,8.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
12,P-A-N,PRemoved,0.4927,0.4,12.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
16,P-A-N,PRemoved,0.4927,0.4,16.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
20,P-A-N,PRemoved,0.4927,0.4,20.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
24,P-A-N,PRemoved,0.4927,0.4,24.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
32,P-A-N,PRemoved,0.4927,0.4,32.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
40,P-A-N,PRemoved,0.4927,0.4,40.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
48,P-A-N,PRemoved,0.4927,0.4,48.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
64,P-A-N,PRemoved,0.4927,0.4,64.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
80,P-A-N,PRemoved,0.4927,0.4,80.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
96,P-A-N,PRemoved,0.4927,0.4,96.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
128,P-A-N,PRemoved,0.4927,0.4,128.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
160,P-A-N,PRemoved,0.4927,0.4,160.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
192,P-A-N,PRemoved,0.4927,0.4,192.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
256,P-A-N,PRemoved,0.4927,0.4,256.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
320,P-A-N,PRemoved,0.4927,0.4,320.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
512,P-A-N,PRemoved,0.4927,0.4,512.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
768,P-A-N,PRemoved,0.4927,0.4,768.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
1024,P-A-N,PRemoved,0.4927,0.4,1024.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
1536,P-A-N,PRemoved,0.4927,0.4,1536.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
2048,P-A-N,PRemoved,0.4927,0.4,2048.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
3072,P-A-N,PRemoved,0.4927,0.4,3072.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
4096,P-A-N,PRemoved,0.4927,0.4,4096.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
6144,P-A-N,PRemoved,0.4927,0.4,6144.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
8192,P-A-N,PRemoved,0.4927,0.4,8192.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
12288,P-A-N,PRemoved,0.4927,0.4,12288.0,1.0,0.5073,0.1971,0.36,0.6,0.4714,ABLATION-DEGRADING
16384,P-A-N,PRemoved,0.4927,0.4,16384.0,1.0,0.5073,0.1971,0.36,0.6,0.4713,ABLATION-DEGRADING
24576,P-A-N,PRemoved,0.4927,0.4,24576.0,1.0,0.5073,0.1971,0.36,0.6,0.4713,ABLATION-DEGRADING
32768,P-A-N,PRemoved,0.4927,0.4,32768.0,1.0,0.5073,0.1971,0.36,0.6,0.4713,ABLATION-DEGRADING
65536,P-A-N,PRemoved,0.4927,0.4,65536.0,1.0,0.5073,0.1971,0.36,0.6,0.4712,ABLATION-DEGRADING
131072,P-A-N,PRemoved,0.4928,0.4,131072.0,1.0,0.5072,0.1971,0.36,0.6,0.4709,ABLATION-DEGRADING
262144,P-A-N,PRemoved,0.4928,0.4,262144.0,1.0,0.5072,0.1971,0.36,0.6,0.4705,ABLATION-DEGRADING
524288,P-A-N,PRemoved,0.4928,0.4,524288.0,1.0,0.5072,0.1971,0.36,0.6,0.4696,ABLATION-DEGRADING
1048576,P-A-N,PRemoved,0.493,0.4,1048576.0,1.0,0.507,0.1972,0.36,0.6,0.4678,ABLATION-DEGRADING
2097152,P-A-N,PRemoved,0.4932,0.4,2097152.0,1.0,0.5068,0.1973,0.36,0.6,0.4642,ABLATION-DEGRADING
4194304,P-A-N,PRemoved,0.4936,0.4,4194304.0,1.0,0.5064,0.1975,0.36,0.6,0.4573,ABLATION-DEGRADING
8388608,P-A-N,PRemoved,0.4946,0.4,8388608.0,1.0,0.5054,0.1978,0.36,0.6,0.444,ABLATION-DEGRADING
16777216,P-A-N,PRemoved,0.4964,0.4,16777216.0,1.0,0.5036,0.1986,0.36,0.6,0.4199,ABLATION-DEGRADING
33554432,P-A-N,PRemoved,0.5001,0.4,0.0,1.0,0.4999,0.2,0.36,0.6,0.379,ABLATION-DEGRADING
1,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
2,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
4,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
6,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
8,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
12,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
16,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
20,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
24,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
32,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
40,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
48,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
64,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
80,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
96,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
128,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
160,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
192,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
256,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
320,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
512,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
768,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5252,ABLATION-DEGRADING
1024,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5251,ABLATION-DEGRADING
1536,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5251,ABLATION-DEGRADING
2048,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5251,ABLATION-DEGRADING
3072,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5251,ABLATION-DEGRADING
4096,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5251,ABLATION-DEGRADING
6144,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5251,ABLATION-DEGRADING
8192,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5251,ABLATION-DEGRADING
12288,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5251,ABLATION-DEGRADING
16384,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5251,ABLATION-DEGRADING
24576,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5251,ABLATION-DEGRADING
32768,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.525,ABLATION-DEGRADING
65536,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5249,ABLATION-DEGRADING
131072,P-A-N,ARemoved,0.5489,0.35,0.0,1.0,0.4511,0.1921,0.4225,0.65,0.5246,ABLATION-DEGRADING
262144,P-A-N,ARemoved,0.549,0.35,0.0,1.0,0.451,0.1921,0.4225,0.65,0.5241,ABLATION-DEGRADING
524288,P-A-N,ARemoved,0.549,0.35,0.0,1.0,0.451,0.1922,0.4225,0.65,0.5231,ABLATION-DEGRADING
1048576,P-A-N,ARemoved,0.5491,0.35,0.0,1.0,0.4509,0.1922,0.4225,0.65,0.5211,ABLATION-DEGRADING
2097152,P-A-N,ARemoved,0.5493,0.35,0.0,1.0,0.4507,0.1923,0.4225,0.65,0.5171,ABLATION-DEGRADING
4194304,P-A-N,ARemoved,0.5497,0.35,0.0,1.0,0.4503,0.1924,0.4225,0.65,0.5092,ABLATION-DEGRADING
8388608,P-A-N,ARemoved,0.5506,0.35,0.0,1.0,0.4494,0.1927,0.4225,0.65,0.4943,ABLATION-DEGRADING
16777216,P-A-N,ARemoved,0.5522,0.35,0.0,1.0,0.4478,0.1933,0.4225,0.65,0.4671,ABLATION-DEGRADING
33554432,P-A-N,ARemoved,0.5554,0.35,0.0,1.0,0.4446,0.1944,0.4225,0.65,0.421,ABLATION-DEGRADING
1,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
2,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
4,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
6,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
8,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
12,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
16,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
20,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
24,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
32,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
40,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
48,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
64,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
80,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
96,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
128,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
160,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
192,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
256,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
320,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
512,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
768,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
1024,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
1536,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
2048,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
3072,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
4096,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
6144,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
8192,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
12288,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
16384,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6388,ABLATION-BOUNDED
24576,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6388,ABLATION-BOUNDED
32768,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6388,ABLATION-BOUNDED
65536,P-A-N,NRemoved,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6386,ABLATION-BOUNDED
131072,P-A-N,NRemoved,0.6679,0.25,0.0,1.0,0.3321,0.167,0.5625,0.75,0.6383,ABLATION-BOUNDED
262144,P-A-N,NRemoved,0.6679,0.25,0.0,1.0,0.3321,0.167,0.5625,0.75,0.6376,ABLATION-BOUNDED
524288,P-A-N,NRemoved,0.6679,0.25,0.0,1.0,0.3321,0.167,0.5625,0.75,0.6364,ABLATION-BOUNDED
1048576,P-A-N,NRemoved,0.668,0.25,0.0,1.0,0.332,0.167,0.5625,0.75,0.6339,ABLATION-BOUNDED
2097152,P-A-N,NRemoved,0.6681,0.25,0.0,1.0,0.3319,0.167,0.5625,0.75,0.6289,ABLATION-BOUNDED
4194304,P-A-N,NRemoved,0.6684,0.25,0.0,1.0,0.3316,0.1671,0.5625,0.75,0.6192,ABLATION-BOUNDED
8388608,P-A-N,NRemoved,0.669,0.25,0.0,1.0,0.331,0.1673,0.5625,0.75,0.6007,ABLATION-BOUNDED
16777216,P-A-N,NRemoved,0.6702,0.25,0.0,1.0,0.3298,0.1676,0.5625,0.75,0.5669,ABLATION-BOUNDED
33554432,P-A-N,NRemoved,0.6726,0.25,0.0,1.0,0.3274,0.1682,0.5625,0.75,0.5099,ABLATION-BOUNDED
1,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
2,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
4,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
6,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
8,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
12,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
16,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
20,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
24,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
32,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
40,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
48,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
64,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
80,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
96,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
128,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
160,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
192,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
256,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
320,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
512,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
768,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
1024,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
1536,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
2048,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
3072,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
4096,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
6144,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
8192,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
12288,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6389,ABLATION-BOUNDED
16384,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6388,ABLATION-BOUNDED
24576,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6388,ABLATION-BOUNDED
32768,P-A-N,PAOnly,0.6678,0.25,0.0,1.0,0.3322,0.167,0.5625,0.75,0.6388,ABLATION-BOUNDED
