depth,sector,condition,rg_similarity,emergent_mode_stability,independent_mode_coherence,recursive_mode_persistence,composite_mode_gain,mode_reproduction_index,transport_mode_alignment,classification
1,Projection,ModePersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
2,Projection,ModePersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
4,Projection,ModePersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
6,Projection,ModePersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.884,0.92,MODE-STABLE
8,Projection,ModePersistenceAnalysis,0.9532,0.9064,0.8924,0.8949,0.8755,0.8629,0.8796,MODE-BOUNDED
12,Projection,ModePersistenceAnalysis,0.9168,0.8741,0.8521,0.8575,0.8477,0.8277,0.8361,MODE-BOUNDED
16,Projection,ModePersistenceAnalysis,0.8647,0.8395,0.8272,0.7965,0.7919,0.7774,0.8071,MODE-BOUNDED
20,Projection,ModePersistenceAnalysis,0.8074,0.7761,0.7859,0.7598,0.761,0.7387,0.7758,MODE-PARTIAL
24,Projection,ModePersistenceAnalysis,0.7786,0.7404,0.7266,0.7522,0.7134,0.7138,0.72,MODE-PARTIAL
32,Projection,ModePersistenceAnalysis,0.7311,0.6962,0.6757,0.6841,0.6684,0.6561,0.6653,MODE-DEGRADING
40,Projection,ModePersistenceAnalysis,0.6667,0.6475,0.6308,0.6168,0.6272,0.6109,0.6129,MODE-DEGRADING
48,Projection,ModePersistenceAnalysis,0.618,0.5851,0.5842,0.588,0.5688,0.5773,0.5748,MODE-DEGRADING
64,Projection,ModePersistenceAnalysis,0.5409,0.5283,0.5091,0.5126,0.4943,0.4945,0.4999,MODE-FAILED
80,Projection,ModePersistenceAnalysis,0.4758,0.469,0.455,0.4526,0.4384,0.4329,0.4557,MODE-FAILED
96,Projection,ModePersistenceAnalysis,0.4413,0.4227,0.4112,0.4172,0.4064,0.3923,0.4138,MODE-FAILED
128,Projection,ModePersistenceAnalysis,0.3561,0.353,0.3372,0.3478,0.3379,0.332,0.3369,MODE-FAILED
160,Projection,ModePersistenceAnalysis,0.3112,0.2949,0.2937,0.2954,0.283,0.2805,0.2917,MODE-FAILED
192,Projection,ModePersistenceAnalysis,0.2757,0.265,0.2618,0.2539,0.2492,0.2538,0.2595,MODE-FAILED
256,Projection,ModePersistenceAnalysis,0.2153,0.2116,0.2059,0.2075,0.2018,0.1976,0.2014,MODE-FAILED
320,Projection,ModePersistenceAnalysis,0.1838,0.176,0.172,0.1752,0.1693,0.1696,0.1669,MODE-FAILED
512,Projection,ModePersistenceAnalysis,0.1208,0.1187,0.1137,0.1169,0.1123,0.1128,0.1159,MODE-FAILED
768,Projection,ModePersistenceAnalysis,0.0851,0.0798,0.0789,0.081,0.0767,0.0759,0.08,MODE-FAILED
1024,Projection,ModePersistenceAnalysis,0.0636,0.0624,0.06,0.0608,0.0596,0.058,0.0611,MODE-FAILED
1536,Projection,ModePersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Projection,ModePersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Projection,IndependentTransportTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
2,Projection,IndependentTransportTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
4,Projection,IndependentTransportTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
6,Projection,IndependentTransportTracking,0.9599,0.9336,0.9182,0.9131,0.9059,0.8764,0.92,MODE-STABLE
8,Projection,IndependentTransportTracking,0.9569,0.9259,0.8982,0.8872,0.8673,0.8522,0.9137,MODE-BOUNDED
12,Projection,IndependentTransportTracking,0.8842,0.8537,0.8739,0.8466,0.8278,0.831,0.8413,MODE-BOUNDED
16,Projection,IndependentTransportTracking,0.8645,0.8349,0.8209,0.8069,0.801,0.7676,0.8237,MODE-BOUNDED
20,Projection,IndependentTransportTracking,0.7968,0.782,0.7947,0.7816,0.7495,0.7297,0.7691,MODE-PARTIAL
24,Projection,IndependentTransportTracking,0.7847,0.7414,0.7538,0.7356,0.7294,0.7151,0.7356,MODE-PARTIAL
32,Projection,IndependentTransportTracking,0.7105,0.6891,0.6896,0.6641,0.6478,0.6452,0.6799,MODE-DEGRADING
40,Projection,IndependentTransportTracking,0.6472,0.6428,0.6219,0.625,0.6032,0.6153,0.6269,MODE-DEGRADING
48,Projection,IndependentTransportTracking,0.6189,0.5823,0.6007,0.5882,0.5625,0.5688,0.5827,MODE-DEGRADING
64,Projection,IndependentTransportTracking,0.5298,0.5176,0.515,0.5142,0.5017,0.4904,0.5126,MODE-FAILED
80,Projection,IndependentTransportTracking,0.4785,0.4533,0.4616,0.4545,0.4479,0.4286,0.453,MODE-FAILED
96,Projection,IndependentTransportTracking,0.4352,0.417,0.4197,0.3985,0.3952,0.4021,0.4126,MODE-FAILED
128,Projection,IndependentTransportTracking,0.36,0.3447,0.345,0.3348,0.3388,0.3264,0.3399,MODE-FAILED
160,Projection,IndependentTransportTracking,0.3083,0.2925,0.2979,0.286,0.2862,0.2795,0.2998,MODE-FAILED
192,Projection,IndependentTransportTracking,0.2732,0.2552,0.2581,0.2597,0.2512,0.2488,0.2537,MODE-FAILED
256,Projection,IndependentTransportTracking,0.2183,0.2121,0.2066,0.203,0.1974,0.1946,0.2033,MODE-FAILED
320,Projection,IndependentTransportTracking,0.1781,0.1716,0.1749,0.1725,0.1696,0.1657,0.173,MODE-FAILED
512,Projection,IndependentTransportTracking,0.1221,0.1181,0.1173,0.1146,0.1091,0.1112,0.1134,MODE-FAILED
768,Projection,IndependentTransportTracking,0.0841,0.0794,0.0806,0.079,0.0776,0.0772,0.0792,MODE-FAILED
1024,Projection,IndependentTransportTracking,0.0637,0.0608,0.0613,0.0591,0.0597,0.0585,0.0599,MODE-FAILED
1536,Projection,IndependentTransportTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Projection,IndependentTransportTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Projection,RecursiveModeStabilization,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
2,Projection,RecursiveModeStabilization,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
4,Projection,RecursiveModeStabilization,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
6,Projection,RecursiveModeStabilization,0.9467,0.9341,0.93,0.9175,0.8941,0.8892,0.8915,MODE-STABLE
8,Projection,RecursiveModeStabilization,0.9221,0.8985,0.9026,0.8914,0.8956,0.8697,0.8871,MODE-BOUNDED
12,Projection,RecursiveModeStabilization,0.9059,0.8576,0.8422,0.86,0.8225,0.8443,0.8376,MODE-BOUNDED
16,Projection,RecursiveModeStabilization,0.8449,0.8328,0.8002,0.8102,0.8066,0.7783,0.8012,MODE-BOUNDED
20,Projection,RecursiveModeStabilization,0.7986,0.7802,0.762,0.7733,0.7548,0.7483,0.7491,MODE-PARTIAL
24,Projection,RecursiveModeStabilization,0.7767,0.7396,0.7432,0.7463,0.733,0.7063,0.7204,MODE-PARTIAL
32,Projection,RecursiveModeStabilization,0.7173,0.6914,0.6845,0.6801,0.658,0.6485,0.6539,MODE-DEGRADING
40,Projection,RecursiveModeStabilization,0.6419,0.6352,0.625,0.6371,0.6099,0.6188,0.6265,MODE-DEGRADING
48,Projection,RecursiveModeStabilization,0.6144,0.582,0.5696,0.5855,0.5754,0.5638,0.5648,MODE-DEGRADING
64,Projection,RecursiveModeStabilization,0.5368,0.5091,0.4985,0.5031,0.503,0.5049,0.4983,MODE-FAILED
80,Projection,RecursiveModeStabilization,0.4828,0.4553,0.4423,0.4514,0.4524,0.4335,0.4378,MODE-FAILED
96,Projection,RecursiveModeStabilization,0.4331,0.4092,0.4076,0.4119,0.3995,0.3942,0.4077,MODE-FAILED
128,Projection,RecursiveModeStabilization,0.3561,0.3528,0.3336,0.3429,0.3418,0.3371,0.3415,MODE-FAILED
160,Projection,RecursiveModeStabilization,0.301,0.2965,0.2881,0.2983,0.294,0.2861,0.2853,MODE-FAILED
192,Projection,RecursiveModeStabilization,0.2647,0.2627,0.2539,0.2612,0.253,0.2516,0.2512,MODE-FAILED
256,Projection,RecursiveModeStabilization,0.2122,0.2071,0.2041,0.2105,0.2013,0.2027,0.1984,MODE-FAILED
320,Projection,RecursiveModeStabilization,0.1803,0.177,0.1738,0.1746,0.1685,0.1659,0.1693,MODE-FAILED
512,Projection,RecursiveModeStabilization,0.1198,0.1169,0.1116,0.1145,0.1123,0.113,0.1144,MODE-FAILED
768,Projection,RecursiveModeStabilization,0.084,0.0801,0.0804,0.0807,0.0792,0.077,0.0793,MODE-FAILED
1024,Projection,RecursiveModeStabilization,0.0629,0.0615,0.0607,0.0616,0.0604,0.0591,0.0601,MODE-FAILED
1536,Projection,RecursiveModeStabilization,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Projection,RecursiveModeStabilization,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Projection,CompositeModeInteractionMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
2,Projection,CompositeModeInteractionMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
4,Projection,CompositeModeInteractionMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.9157,MODE-STABLE
6,Projection,CompositeModeInteractionMapping,0.9453,0.922,0.9153,0.8997,0.91,0.9,0.8937,MODE-STABLE
8,Projection,CompositeModeInteractionMapping,0.9453,0.8888,0.8903,0.8935,0.898,0.875,0.8673,MODE-BOUNDED
12,Projection,CompositeModeInteractionMapping,0.8759,0.8635,0.8533,0.8424,0.8604,0.806,0.8468,MODE-BOUNDED
16,Projection,CompositeModeInteractionMapping,0.8287,0.8241,0.8206,0.8094,0.8207,0.7923,0.7972,MODE-BOUNDED
20,Projection,CompositeModeInteractionMapping,0.8119,0.7872,0.7547,0.7657,0.7567,0.7545,0.7492,MODE-PARTIAL
24,Projection,CompositeModeInteractionMapping,0.767,0.7494,0.7398,0.7159,0.7441,0.7157,0.7266,MODE-PARTIAL
32,Projection,CompositeModeInteractionMapping,0.7014,0.6712,0.6696,0.6762,0.6673,0.6609,0.6791,MODE-DEGRADING
40,Projection,CompositeModeInteractionMapping,0.655,0.6374,0.6319,0.6099,0.6212,0.6126,0.6184,MODE-DEGRADING
48,Projection,CompositeModeInteractionMapping,0.6111,0.577,0.5681,0.5752,0.589,0.5524,0.5797,MODE-DEGRADING
64,Projection,CompositeModeInteractionMapping,0.5309,0.5134,0.5125,0.4957,0.5109,0.4936,0.5026,MODE-FAILED
80,Projection,CompositeModeInteractionMapping,0.4711,0.4629,0.4518,0.4376,0.4439,0.4358,0.4525,MODE-FAILED
96,Projection,CompositeModeInteractionMapping,0.4178,0.4031,0.4021,0.3951,0.3991,0.3886,0.3996,MODE-FAILED
128,Projection,CompositeModeInteractionMapping,0.3507,0.3429,0.3412,0.3346,0.34,0.3328,0.3372,MODE-FAILED
160,Projection,CompositeModeInteractionMapping,0.3083,0.2977,0.2915,0.2888,0.2895,0.2835,0.288,MODE-FAILED
192,Projection,CompositeModeInteractionMapping,0.2618,0.2527,0.2501,0.2515,0.2531,0.2461,0.255,MODE-FAILED
256,Projection,CompositeModeInteractionMapping,0.2165,0.2058,0.2012,0.2015,0.2072,0.2009,0.2018,MODE-FAILED
320,Projection,CompositeModeInteractionMapping,0.1768,0.1736,0.1672,0.169,0.1699,0.1642,0.1653,MODE-FAILED
512,Projection,CompositeModeInteractionMapping,0.1208,0.1164,0.1137,0.1133,0.1141,0.1101,0.1134,MODE-FAILED
768,Projection,CompositeModeInteractionMapping,0.0811,0.0803,0.0804,0.0782,0.0799,0.0774,0.0784,MODE-FAILED
1024,Projection,CompositeModeInteractionMapping,0.0638,0.0614,0.0604,0.059,0.0613,0.0596,0.0595,MODE-FAILED
1536,Projection,CompositeModeInteractionMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Projection,CompositeModeInteractionMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Projection,ModeReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
2,Projection,ModeReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
4,Projection,ModeReproductionDynamics,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
6,Projection,ModeReproductionDynamics,0.96,0.9374,0.9031,0.9143,0.8945,0.9,0.895,MODE-STABLE
8,Projection,ModeReproductionDynamics,0.9335,0.8946,0.874,0.8984,0.8862,0.8732,0.879,MODE-BOUNDED
12,Projection,ModeReproductionDynamics,0.891,0.8523,0.8374,0.853,0.8176,0.8422,0.8229,MODE-BOUNDED
16,Projection,ModeReproductionDynamics,0.8227,0.8134,0.8058,0.8103,0.7991,0.7855,0.8076,MODE-BOUNDED
20,Projection,ModeReproductionDynamics,0.7964,0.7719,0.7715,0.7702,0.7606,0.7498,0.7606,MODE-PARTIAL
24,Projection,ModeReproductionDynamics,0.7523,0.746,0.7206,0.7339,0.7248,0.7123,0.7299,MODE-PARTIAL
32,Projection,ModeReproductionDynamics,0.707,0.6896,0.6621,0.6699,0.6571,0.6643,0.6636,MODE-DEGRADING
40,Projection,ModeReproductionDynamics,0.6545,0.6261,0.6277,0.6114,0.6115,0.6227,0.6053,MODE-DEGRADING
48,Projection,ModeReproductionDynamics,0.5998,0.5746,0.5788,0.5755,0.5707,0.5767,0.5762,MODE-DEGRADING
64,Projection,ModeReproductionDynamics,0.5304,0.5167,0.5014,0.5067,0.4919,0.5084,0.5051,MODE-FAILED
80,Projection,ModeReproductionDynamics,0.4663,0.4479,0.4508,0.4463,0.4332,0.4469,0.4531,MODE-FAILED
96,Projection,ModeReproductionDynamics,0.4284,0.4083,0.4013,0.4105,0.401,0.3993,0.4052,MODE-FAILED
128,Projection,ModeReproductionDynamics,0.35,0.3415,0.3396,0.3383,0.3316,0.3295,0.3424,MODE-FAILED
160,Projection,ModeReproductionDynamics,0.2975,0.2898,0.2939,0.2893,0.2822,0.2907,0.2842,MODE-FAILED
192,Projection,ModeReproductionDynamics,0.2642,0.2537,0.2594,0.26,0.2493,0.2573,0.2524,MODE-FAILED
256,Projection,ModeReproductionDynamics,0.2137,0.2035,0.2057,0.2084,0.1967,0.2001,0.1998,MODE-FAILED
320,Projection,ModeReproductionDynamics,0.1772,0.1745,0.1709,0.1722,0.1661,0.1671,0.1654,MODE-FAILED
512,Projection,ModeReproductionDynamics,0.1198,0.115,0.113,0.1145,0.11,0.1141,0.1121,MODE-FAILED
768,Projection,ModeReproductionDynamics,0.0811,0.0806,0.0796,0.0785,0.0766,0.0786,0.0772,MODE-FAILED
1024,Projection,ModeReproductionDynamics,0.0618,0.0611,0.0595,0.0612,0.0601,0.059,0.0601,MODE-FAILED
1536,Projection,ModeReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Projection,ModeReproductionDynamics,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Projection,NullModeControl,0.8354,0.8117,0.8227,0.8276,0.8079,0.7921,0.7921,MODE-BOUNDED
2,Projection,NullModeControl,0.833,0.8019,0.7849,0.8184,0.7671,0.7773,0.783,MODE-PARTIAL
4,Projection,NullModeControl,0.8237,0.7914,0.794,0.7789,0.7544,0.7646,0.7731,MODE-PARTIAL
6,Projection,NullModeControl,0.7666,0.7497,0.7668,0.7856,0.7239,0.7181,0.7349,MODE-PARTIAL
8,Projection,NullModeControl,0.7473,0.7312,0.7318,0.7369,0.7233,0.7064,0.7361,MODE-PARTIAL
12,Projection,NullModeControl,0.7263,0.7004,0.7055,0.6945,0.6848,0.6657,0.6757,MODE-PARTIAL
16,Projection,NullModeControl,0.6856,0.6898,0.6635,0.6617,0.6528,0.6419,0.6714,MODE-DEGRADING
20,Projection,NullModeControl,0.6541,0.6452,0.644,0.6366,0.6102,0.6039,0.6329,MODE-DEGRADING
24,Projection,NullModeControl,0.6393,0.6099,0.6144,0.6076,0.6022,0.5914,0.5955,MODE-DEGRADING
32,Projection,NullModeControl,0.567,0.5637,0.5462,0.5639,0.5548,0.5404,0.5453,MODE-DEGRADING
40,Projection,NullModeControl,0.5183,0.5198,0.508,0.523,0.4916,0.4961,0.4976,MODE-FAILED
48,Projection,NullModeControl,0.501,0.4876,0.4863,0.4744,0.4684,0.4642,0.4689,MODE-FAILED
64,Projection,NullModeControl,0.4265,0.4294,0.4268,0.4271,0.3994,0.3972,0.4104,MODE-FAILED
80,Projection,NullModeControl,0.3873,0.3826,0.3751,0.3763,0.3611,0.3547,0.363,MODE-FAILED
96,Projection,NullModeControl,0.3529,0.3365,0.3321,0.3406,0.3309,0.3201,0.3308,MODE-FAILED
128,Projection,NullModeControl,0.2908,0.2832,0.2791,0.2894,0.2745,0.2746,0.2786,MODE-FAILED
160,Projection,NullModeControl,0.2527,0.241,0.2381,0.2409,0.2298,0.2263,0.2354,MODE-FAILED
192,Projection,NullModeControl,0.2164,0.2123,0.2063,0.218,0.2007,0.2019,0.2058,MODE-FAILED
256,Projection,NullModeControl,0.1756,0.1677,0.1728,0.1721,0.1639,0.1606,0.1649,MODE-FAILED
320,Projection,NullModeControl,0.1485,0.1409,0.142,0.144,0.1349,0.1372,0.1397,MODE-FAILED
512,Projection,NullModeControl,0.0968,0.0964,0.0922,0.0963,0.0915,0.0922,0.0919,MODE-FAILED
768,Projection,NullModeControl,0.0685,0.0662,0.0638,0.0656,0.0647,0.0637,0.0639,MODE-FAILED
1024,Projection,NullModeControl,0.052,0.0501,0.05,0.0506,0.05,0.05,0.05,MODE-FAILED
1536,Projection,NullModeControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Projection,NullModeControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Antisymmetry,EmergentModeExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
2,Antisymmetry,EmergentModeExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
4,Antisymmetry,EmergentModeExtraction,0.96,0.9389,0.93,0.8932,0.8783,0.8937,0.92,MODE-STABLE
6,Antisymmetry,EmergentModeExtraction,0.9436,0.9091,0.8849,0.8864,0.8828,0.8701,0.8621,MODE-BOUNDED
8,Antisymmetry,EmergentModeExtraction,0.9235,0.8787,0.8786,0.8497,0.8368,0.8314,0.8692,MODE-BOUNDED
12,Antisymmetry,EmergentModeExtraction,0.8748,0.8219,0.824,0.8272,0.7862,0.8076,0.8225,MODE-BOUNDED
16,Antisymmetry,EmergentModeExtraction,0.8409,0.8001,0.7963,0.7702,0.7698,0.7632,0.7799,MODE-PARTIAL
20,Antisymmetry,EmergentModeExtraction,0.7868,0.7719,0.7587,0.7377,0.7251,0.7259,0.7264,MODE-PARTIAL
24,Antisymmetry,EmergentModeExtraction,0.7574,0.7322,0.715,0.7139,0.7061,0.7016,0.716,MODE-PARTIAL
32,Antisymmetry,EmergentModeExtraction,0.6802,0.6725,0.6639,0.6423,0.6424,0.6357,0.6443,MODE-DEGRADING
40,Antisymmetry,EmergentModeExtraction,0.6321,0.6142,0.609,0.5914,0.5874,0.579,0.5974,MODE-DEGRADING
48,Antisymmetry,EmergentModeExtraction,0.59,0.58,0.5779,0.5618,0.5538,0.5484,0.5499,MODE-DEGRADING
64,Antisymmetry,EmergentModeExtraction,0.5199,0.5077,0.4998,0.4811,0.4756,0.4867,0.4806,MODE-FAILED
80,Antisymmetry,EmergentModeExtraction,0.4662,0.4481,0.4453,0.4249,0.4334,0.4261,0.4274,MODE-FAILED
96,Antisymmetry,EmergentModeExtraction,0.4117,0.3958,0.4018,0.383,0.3806,0.3867,0.3849,MODE-FAILED
128,Antisymmetry,EmergentModeExtraction,0.3481,0.3356,0.3307,0.3283,0.3262,0.3243,0.3216,MODE-FAILED
160,Antisymmetry,EmergentModeExtraction,0.295,0.2853,0.2883,0.2769,0.2814,0.2807,0.2766,MODE-FAILED
192,Antisymmetry,EmergentModeExtraction,0.2647,0.2576,0.2447,0.2478,0.2423,0.2394,0.2442,MODE-FAILED
256,Antisymmetry,EmergentModeExtraction,0.211,0.2063,0.1984,0.1934,0.1939,0.1939,0.1932,MODE-FAILED
320,Antisymmetry,EmergentModeExtraction,0.176,0.168,0.1662,0.1617,0.1605,0.1601,0.1636,MODE-FAILED
512,Antisymmetry,EmergentModeExtraction,0.1167,0.1138,0.1103,0.1087,0.1083,0.1089,0.1103,MODE-FAILED
768,Antisymmetry,EmergentModeExtraction,0.0797,0.0789,0.0782,0.0741,0.074,0.0762,0.0764,MODE-FAILED
1024,Antisymmetry,EmergentModeExtraction,0.0623,0.0587,0.06,0.0579,0.0562,0.0579,0.0575,MODE-FAILED
1536,Antisymmetry,EmergentModeExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Antisymmetry,EmergentModeExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
1,Antisymmetry,ModePersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
2,Antisymmetry,ModePersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
4,Antisymmetry,ModePersistenceAnalysis,0.96,0.9319,0.9179,0.92,0.8868,0.9,0.9063,MODE-STABLE
6,Antisymmetry,ModePersistenceAnalysis,0.96,0.9231,0.8966,0.9091,0.8896,0.8642,0.8991,MODE-BOUNDED
8,Antisymmetry,ModePersistenceAnalysis,0.9199,0.879,0.8876,0.8797,0.87,0.8466,0.8582,MODE-BOUNDED
12,Antisymmetry,ModePersistenceAnalysis,0.8738,0.8371,0.8237,0.8375,0.8016,0.7997,0.8125,MODE-BOUNDED
16,Antisymmetry,ModePersistenceAnalysis,0.8347,0.8103,0.8031,0.7953,0.7656,0.75,0.7953,MODE-BOUNDED
20,Antisymmetry,ModePersistenceAnalysis,0.7942,0.7538,0.7413,0.7513,0.7425,0.7312,0.7444,MODE-PARTIAL
24,Antisymmetry,ModePersistenceAnalysis,0.7686,0.7421,0.7052,0.7309,0.6945,0.6985,0.7148,MODE-PARTIAL
32,Antisymmetry,ModePersistenceAnalysis,0.6943,0.6836,0.6714,0.6667,0.6473,0.6426,0.6555,MODE-DEGRADING
40,Antisymmetry,ModePersistenceAnalysis,0.6528,0.6293,0.6009,0.6158,0.59,0.585,0.602,MODE-DEGRADING
48,Antisymmetry,ModePersistenceAnalysis,0.5906,0.5683,0.5561,0.5618,0.5541,0.5539,0.5648,MODE-DEGRADING
64,Antisymmetry,ModePersistenceAnalysis,0.515,0.5144,0.4889,0.4996,0.4921,0.477,0.4843,MODE-FAILED
80,Antisymmetry,ModePersistenceAnalysis,0.4712,0.4567,0.4382,0.4495,0.4264,0.428,0.434,MODE-FAILED
96,Antisymmetry,ModePersistenceAnalysis,0.4221,0.4143,0.3975,0.4063,0.3832,0.3835,0.3872,MODE-FAILED
128,Antisymmetry,ModePersistenceAnalysis,0.351,0.3417,0.3273,0.3302,0.3272,0.324,0.3344,MODE-FAILED
160,Antisymmetry,ModePersistenceAnalysis,0.3001,0.2898,0.2853,0.2821,0.2816,0.2719,0.2874,MODE-FAILED
192,Antisymmetry,ModePersistenceAnalysis,0.2631,0.2502,0.2526,0.2496,0.2493,0.2388,0.2451,MODE-FAILED
256,Antisymmetry,ModePersistenceAnalysis,0.2094,0.2061,0.2039,0.1977,0.1967,0.1908,0.2007,MODE-FAILED
320,Antisymmetry,ModePersistenceAnalysis,0.1767,0.1726,0.1651,0.1638,0.1611,0.1647,0.1651,MODE-FAILED
512,Antisymmetry,ModePersistenceAnalysis,0.1175,0.1152,0.1101,0.1108,0.1071,0.106,0.1101,MODE-FAILED
768,Antisymmetry,ModePersistenceAnalysis,0.0815,0.0798,0.0769,0.0776,0.0762,0.0751,0.075,MODE-FAILED
1024,Antisymmetry,ModePersistenceAnalysis,0.0635,0.061,0.0593,0.0593,0.058,0.0563,0.0584,MODE-FAILED
1536,Antisymmetry,ModePersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Antisymmetry,ModePersistenceAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
