depth,sector,trajectory_stability,correction_strength,divergence_bound,cooperative_pathway_gain,recursive_trajectory_retention,rg_similarity,classification
20,Projection-Antisymmetry,0.6193,0.6152,0.2929,0.0,0.6173,0.6992,COLLAPSING
1,Projection-Neutral,0.8095,0.7863,0.2415,0.0689,0.7979,0.8858,WEAKLY_CANALIZED
2,Projection-Neutral,0.8096,0.764,0.2257,0.0763,0.7868,0.8562,WEAKLY_CANALIZED
4,Projection-Neutral,0.7543,0.7564,0.2362,0.0828,0.7553,0.8324,WEAKLY_CANALIZED
6,Projection-Neutral,0.7438,0.719,0.2245,0.0722,0.7314,0.8112,WEAKLY_CANALIZED
8,Projection-Neutral,0.7152,0.7291,0.2645,0.0819,0.7221,0.7952,WEAKLY_CANALIZED
12,Projection-Neutral,0.6862,0.6709,0.2476,0.077,0.6786,0.7782,DIVERGENCE-DEGRADING
16,Projection-Neutral,0.6575,0.6358,0.2838,0.0,0.6467,0.7397,DIVERGENCE-DEGRADING
20,Projection-Neutral,0.6291,0.6227,0.2825,0.0,0.6259,0.6904,COLLAPSING
1,Antisymmetry-Neutral,0.8064,0.8,0.2243,0.0697,0.8032,0.8587,WEAKLY_CANALIZED
2,Antisymmetry-Neutral,0.7893,0.7855,0.247,0.0719,0.7874,0.8926,WEAKLY_CANALIZED
4,Antisymmetry-Neutral,0.7581,0.7592,0.2417,0.0815,0.7586,0.8452,WEAKLY_CANALIZED
6,Antisymmetry-Neutral,0.7334,0.7499,0.2358,0.0673,0.7417,0.8356,WEAKLY_CANALIZED
8,Antisymmetry-Neutral,0.7418,0.726,0.2457,0.0852,0.7339,0.8297,WEAKLY_CANALIZED
12,Antisymmetry-Neutral,0.6817,0.6946,0.253,0.0847,0.6881,0.797,DIVERGENCE-DEGRADING
16,Antisymmetry-Neutral,0.673,0.6308,0.2494,0.0,0.6519,0.7326,DIVERGENCE-DEGRADING
20,Antisymmetry-Neutral,0.6166,0.6118,0.257,0.0,0.6142,0.7188,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.8193,0.7913,0.2446,0.0854,0.8053,0.8827,WEAKLY_CANALIZED
2,Projection-Antisymmetry-Neutral,0.7929,0.7791,0.2288,0.0834,0.786,0.8794,WEAKLY_CANALIZED
4,Projection-Antisymmetry-Neutral,0.7693,0.7468,0.2372,0.0795,0.758,0.8593,WEAKLY_CANALIZED
6,Projection-Antisymmetry-Neutral,0.7629,0.7466,0.2463,0.0805,0.7548,0.8024,WEAKLY_CANALIZED
8,Projection-Antisymmetry-Neutral,0.7256,0.712,0.2616,0.0727,0.7188,0.7894,WEAKLY_CANALIZED
12,Projection-Antisymmetry-Neutral,0.6838,0.6942,0.2578,0.0708,0.689,0.7978,DIVERGENCE-DEGRADING
16,Projection-Antisymmetry-Neutral,0.6715,0.6619,0.2515,0.0,0.6667,0.7635,DIVERGENCE-DEGRADING
20,Projection-Antisymmetry-Neutral,0.6176,0.6307,0.2735,0.0,0.6241,0.7176,COLLAPSING
