domain,seed,variant,distance
coupled_osc,307,base,0.0
coupled_osc,307,replay,0.0
coupled_osc,307,stitch,0.0
coupled_osc,307,reverse,0.0
coupled_osc,307,swap,0.0
coupled_osc,401,base,0.0
coupled_osc,401,replay,0.0
coupled_osc,401,stitch,0.0
coupled_osc,401,reverse,0.0
coupled_osc,401,swap,0.0
