depth,sector,condition,rg_similarity,universality_stability,scale_invariant_coherence,recursive_rescaling_similarity,attractor_universality,resilience_scaling_index,universality_persistence,classification
1,Projection,RecursiveRenormalizationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,UNIVERSALITY-STABLE
2,Projection,RecursiveRenormalizationAnalysis,0.96,0.94,0.93,0.92,0.9043,0.893,0.92,UNIVERSALITY-STABLE
4,Projection,RecursiveRenormalizationAnalysis,0.9122,0.8955,0.8974,0.8923,0.8634,0.838,0.8891,UNIVERSALITY-STABLE
6,Projection,RecursiveRenormalizationAnalysis,0.8728,0.8448,0.8699,0.8343,0.8262,0.802,0.8537,UNIVERSALITY-STABLE
8,Projection,RecursiveRenormalizationAnalysis,0.8596,0.815,0.822,0.8033,0.7866,0.7697,0.8095,UNIVERSALITY-STABLE
12,Projection,RecursiveRenormalizationAnalysis,0.7899,0.7643,0.7499,0.7413,0.731,0.7271,0.7214,UNIVERSALITY-BOUNDED
16,Projection,RecursiveRenormalizationAnalysis,0.7313,0.6954,0.7073,0.6818,0.6589,0.6667,0.686,UNIVERSALITY-PARTIAL
20,Projection,RecursiveRenormalizationAnalysis,0.666,0.6507,0.6424,0.6353,0.6222,0.6116,0.6336,UNIVERSALITY-PARTIAL
24,Projection,RecursiveRenormalizationAnalysis,0.6184,0.61,0.5926,0.5918,0.5882,0.5816,0.5989,UNIVERSALITY-DEGRADING
32,Projection,RecursiveRenormalizationAnalysis,0.5601,0.5385,0.5437,0.5281,0.5052,0.4984,0.5275,UNIVERSALITY-DEGRADING
40,Projection,RecursiveRenormalizationAnalysis,0.4941,0.4728,0.4771,0.4731,0.4653,0.4575,0.4784,UNIVERSALITY-DEGRADING
48,Projection,RecursiveRenormalizationAnalysis,0.4537,0.4275,0.4279,0.4231,0.4174,0.418,0.4274,UNIVERSALITY-FAILED
64,Projection,RecursiveRenormalizationAnalysis,0.3796,0.3596,0.3673,0.3562,0.3449,0.3492,0.366,UNIVERSALITY-FAILED
80,Projection,RecursiveRenormalizationAnalysis,0.3259,0.3224,0.3139,0.3144,0.3051,0.2988,0.3052,UNIVERSALITY-FAILED
96,Projection,RecursiveRenormalizationAnalysis,0.2942,0.2829,0.2759,0.2747,0.2676,0.2627,0.2776,UNIVERSALITY-FAILED
128,Projection,RecursiveRenormalizationAnalysis,0.2348,0.2248,0.2276,0.2242,0.2185,0.2118,0.2153,UNIVERSALITY-FAILED
160,Projection,RecursiveRenormalizationAnalysis,0.1925,0.1867,0.1857,0.1836,0.1817,0.1765,0.1875,UNIVERSALITY-FAILED
192,Projection,RecursiveRenormalizationAnalysis,0.1674,0.1639,0.1588,0.1583,0.158,0.1562,0.1578,UNIVERSALITY-FAILED
256,Projection,RecursiveRenormalizationAnalysis,0.1288,0.1251,0.1278,0.1238,0.1233,0.1196,0.1216,UNIVERSALITY-FAILED
320,Projection,RecursiveRenormalizationAnalysis,0.1075,0.1043,0.1028,0.1028,0.1017,0.0995,0.101,UNIVERSALITY-FAILED
512,Projection,RecursiveRenormalizationAnalysis,0.0689,0.0687,0.0678,0.068,0.066,0.0651,0.0673,UNIVERSALITY-FAILED
1,Projection,AttractorTopologyScaling,0.96,0.94,0.93,0.92,0.91,0.9,0.92,UNIVERSALITY-STABLE
2,Projection,AttractorTopologyScaling,0.96,0.9316,0.9155,0.92,0.91,0.9,0.92,UNIVERSALITY-STABLE
4,Projection,AttractorTopologyScaling,0.9314,0.9035,0.8699,0.8612,0.892,0.8361,0.8848,UNIVERSALITY-STABLE
6,Projection,AttractorTopologyScaling,0.8903,0.8284,0.8373,0.8208,0.821,0.8078,0.8412,UNIVERSALITY-STABLE
8,Projection,AttractorTopologyScaling,0.8349,0.8205,0.7836,0.7879,0.7834,0.7717,0.7893,UNIVERSALITY-BOUNDED
12,Projection,AttractorTopologyScaling,0.7633,0.7361,0.7429,0.7268,0.731,0.6967,0.7378,UNIVERSALITY-BOUNDED
16,Projection,AttractorTopologyScaling,0.7265,0.7005,0.6799,0.6642,0.6706,0.6707,0.6617,UNIVERSALITY-PARTIAL
20,Projection,AttractorTopologyScaling,0.6651,0.6296,0.6289,0.6188,0.6403,0.6072,0.6326,UNIVERSALITY-PARTIAL
24,Projection,AttractorTopologyScaling,0.6162,0.5893,0.6001,0.5892,0.5838,0.578,0.5813,UNIVERSALITY-DEGRADING
32,Projection,AttractorTopologyScaling,0.5408,0.5355,0.5225,0.5209,0.5167,0.4963,0.5099,UNIVERSALITY-DEGRADING
40,Projection,AttractorTopologyScaling,0.4971,0.473,0.4703,0.4741,0.4725,0.4618,0.4607,UNIVERSALITY-DEGRADING
48,Projection,AttractorTopologyScaling,0.4497,0.4338,0.4224,0.4207,0.4257,0.4108,0.4129,UNIVERSALITY-FAILED
64,Projection,AttractorTopologyScaling,0.374,0.356,0.3624,0.3501,0.3597,0.3512,0.3596,UNIVERSALITY-FAILED
80,Projection,AttractorTopologyScaling,0.33,0.309,0.3096,0.3036,0.3085,0.3004,0.3065,UNIVERSALITY-FAILED
96,Projection,AttractorTopologyScaling,0.2889,0.2803,0.2756,0.2695,0.277,0.2643,0.2733,UNIVERSALITY-FAILED
128,Projection,AttractorTopologyScaling,0.2289,0.226,0.2186,0.2151,0.2197,0.2167,0.2197,UNIVERSALITY-FAILED
160,Projection,AttractorTopologyScaling,0.1962,0.1885,0.1831,0.1799,0.1832,0.177,0.1784,UNIVERSALITY-FAILED
192,Projection,AttractorTopologyScaling,0.1648,0.1585,0.16,0.1538,0.1607,0.1566,0.1598,UNIVERSALITY-FAILED
256,Projection,AttractorTopologyScaling,0.1295,0.124,0.1233,0.1201,0.1234,0.1201,0.1248,UNIVERSALITY-FAILED
320,Projection,AttractorTopologyScaling,0.107,0.1019,0.1003,0.0996,0.1016,0.0997,0.1025,UNIVERSALITY-FAILED
512,Projection,AttractorTopologyScaling,0.071,0.0673,0.0673,0.0648,0.0653,0.0643,0.0646,UNIVERSALITY-FAILED
1,Projection,PerturbationUniversalityTesting,0.96,0.9361,0.93,0.92,0.91,0.9,0.92,UNIVERSALITY-STABLE
2,Projection,PerturbationUniversalityTesting,0.96,0.94,0.9069,0.92,0.889,0.9,0.9051,UNIVERSALITY-STABLE
4,Projection,PerturbationUniversalityTesting,0.9043,0.8908,0.8797,0.8658,0.874,0.8631,0.8813,UNIVERSALITY-STABLE
6,Projection,PerturbationUniversalityTesting,0.886,0.8594,0.8304,0.8449,0.8274,0.8348,0.8228,UNIVERSALITY-STABLE
8,Projection,PerturbationUniversalityTesting,0.8507,0.8084,0.8082,0.7994,0.7945,0.7754,0.801,UNIVERSALITY-STABLE
12,Projection,PerturbationUniversalityTesting,0.7688,0.7419,0.7204,0.7346,0.7352,0.7287,0.7326,UNIVERSALITY-BOUNDED
16,Projection,PerturbationUniversalityTesting,0.7068,0.6968,0.6684,0.66,0.6638,0.6658,0.686,UNIVERSALITY-PARTIAL
20,Projection,PerturbationUniversalityTesting,0.6598,0.6315,0.6385,0.6308,0.6227,0.6129,0.6342,UNIVERSALITY-PARTIAL
24,Projection,PerturbationUniversalityTesting,0.6212,0.6028,0.5971,0.5774,0.5684,0.5705,0.5945,UNIVERSALITY-DEGRADING
32,Projection,PerturbationUniversalityTesting,0.545,0.5383,0.5261,0.5086,0.5101,0.5173,0.5175,UNIVERSALITY-DEGRADING
40,Projection,PerturbationUniversalityTesting,0.4947,0.4794,0.465,0.4645,0.469,0.467,0.4643,UNIVERSALITY-DEGRADING
48,Projection,PerturbationUniversalityTesting,0.4446,0.4325,0.4233,0.4237,0.42,0.4096,0.4178,UNIVERSALITY-FAILED
64,Projection,PerturbationUniversalityTesting,0.3792,0.3588,0.3527,0.3584,0.3504,0.3555,0.361,UNIVERSALITY-FAILED
80,Projection,PerturbationUniversalityTesting,0.3277,0.3068,0.3094,0.3113,0.2967,0.3088,0.3103,UNIVERSALITY-FAILED
96,Projection,PerturbationUniversalityTesting,0.2833,0.2805,0.2749,0.2683,0.2632,0.2634,0.2652,UNIVERSALITY-FAILED
128,Projection,PerturbationUniversalityTesting,0.2288,0.2186,0.2209,0.2133,0.2132,0.2195,0.215,UNIVERSALITY-FAILED
160,Projection,PerturbationUniversalityTesting,0.1903,0.1875,0.1819,0.1813,0.1815,0.182,0.1849,UNIVERSALITY-FAILED
192,Projection,PerturbationUniversalityTesting,0.1642,0.1572,0.1577,0.156,0.1535,0.1558,0.1542,UNIVERSALITY-FAILED
256,Projection,PerturbationUniversalityTesting,0.1276,0.1255,0.1253,0.1249,0.1226,0.1226,0.1204,UNIVERSALITY-FAILED
320,Projection,PerturbationUniversalityTesting,0.1067,0.1019,0.1017,0.1022,0.1006,0.1005,0.0998,UNIVERSALITY-FAILED
512,Projection,PerturbationUniversalityTesting,0.0703,0.0681,0.067,0.0643,0.0643,0.0635,0.0659,UNIVERSALITY-FAILED
1,Projection,ResilienceScalingPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,UNIVERSALITY-STABLE
2,Projection,ResilienceScalingPersistence,0.9504,0.9197,0.9136,0.8928,0.8964,0.9,0.9024,UNIVERSALITY-STABLE
4,Projection,ResilienceScalingPersistence,0.8971,0.8927,0.8595,0.8706,0.8704,0.8617,0.888,UNIVERSALITY-STABLE
6,Projection,ResilienceScalingPersistence,0.8565,0.8395,0.8517,0.816,0.83,0.8274,0.8243,UNIVERSALITY-STABLE
8,Projection,ResilienceScalingPersistence,0.8176,0.8147,0.7935,0.7964,0.7714,0.7785,0.7993,UNIVERSALITY-BOUNDED
12,Projection,ResilienceScalingPersistence,0.7726,0.7282,0.7335,0.7224,0.7259,0.7348,0.7295,UNIVERSALITY-BOUNDED
16,Projection,ResilienceScalingPersistence,0.7194,0.6848,0.6899,0.6653,0.6719,0.6732,0.672,UNIVERSALITY-PARTIAL
20,Projection,ResilienceScalingPersistence,0.6704,0.6498,0.6265,0.6287,0.6223,0.6326,0.6463,UNIVERSALITY-PARTIAL
24,Projection,ResilienceScalingPersistence,0.6083,0.5868,0.5905,0.5928,0.5709,0.5818,0.5941,UNIVERSALITY-DEGRADING
32,Projection,ResilienceScalingPersistence,0.5425,0.5397,0.5176,0.528,0.5032,0.5122,0.5186,UNIVERSALITY-DEGRADING
40,Projection,ResilienceScalingPersistence,0.4847,0.4765,0.4596,0.4741,0.4514,0.4608,0.4679,UNIVERSALITY-DEGRADING
48,Projection,ResilienceScalingPersistence,0.4502,0.4277,0.4278,0.4138,0.4109,0.4197,0.4204,UNIVERSALITY-FAILED
64,Projection,ResilienceScalingPersistence,0.373,0.3551,0.3641,0.3539,0.3528,0.3563,0.3638,UNIVERSALITY-FAILED
80,Projection,ResilienceScalingPersistence,0.3183,0.3067,0.3151,0.3055,0.3093,0.3107,0.3083,UNIVERSALITY-FAILED
96,Projection,ResilienceScalingPersistence,0.2828,0.2708,0.2685,0.267,0.2615,0.268,0.2683,UNIVERSALITY-FAILED
128,Projection,ResilienceScalingPersistence,0.2314,0.2247,0.219,0.2184,0.2148,0.2212,0.219,UNIVERSALITY-FAILED
160,Projection,ResilienceScalingPersistence,0.1887,0.1873,0.1847,0.1796,0.1819,0.1811,0.1838,UNIVERSALITY-FAILED
192,Projection,ResilienceScalingPersistence,0.1673,0.1628,0.1613,0.1586,0.1529,0.1595,0.1579,UNIVERSALITY-FAILED
256,Projection,ResilienceScalingPersistence,0.1314,0.1277,0.1237,0.1242,0.1218,0.124,0.1258,UNIVERSALITY-FAILED
320,Projection,ResilienceScalingPersistence,0.1051,0.1041,0.1026,0.0987,0.1004,0.0992,0.1038,UNIVERSALITY-FAILED
512,Projection,ResilienceScalingPersistence,0.0685,0.0682,0.0651,0.0648,0.0661,0.0663,0.0668,UNIVERSALITY-FAILED
1,Projection,NullUniversalityControl,0.788,0.7679,0.789,0.7679,0.7389,0.7519,0.7825,UNIVERSALITY-BOUNDED
2,Projection,NullUniversalityControl,0.7766,0.758,0.7696,0.7785,0.7225,0.7144,0.7415,UNIVERSALITY-BOUNDED
4,Projection,NullUniversalityControl,0.7267,0.7276,0.724,0.734,0.7061,0.6792,0.7218,UNIVERSALITY-BOUNDED
6,Projection,NullUniversalityControl,0.696,0.691,0.6768,0.6831,0.6663,0.6718,0.6789,UNIVERSALITY-PARTIAL
8,Projection,NullUniversalityControl,0.6844,0.6519,0.6593,0.652,0.6412,0.6191,0.6411,UNIVERSALITY-PARTIAL
12,Projection,NullUniversalityControl,0.6318,0.615,0.6147,0.6166,0.5929,0.5793,0.598,UNIVERSALITY-PARTIAL
16,Projection,NullUniversalityControl,0.565,0.5714,0.5662,0.5588,0.5422,0.5378,0.5601,UNIVERSALITY-DEGRADING
20,Projection,NullUniversalityControl,0.5379,0.5245,0.5232,0.5288,0.5156,0.4906,0.5055,UNIVERSALITY-DEGRADING
24,Projection,NullUniversalityControl,0.5051,0.501,0.4795,0.4813,0.4606,0.4545,0.4669,UNIVERSALITY-DEGRADING
32,Projection,NullUniversalityControl,0.4483,0.4269,0.4196,0.4268,0.4205,0.4107,0.4163,UNIVERSALITY-FAILED
40,Projection,NullUniversalityControl,0.3987,0.3815,0.3949,0.3802,0.3843,0.373,0.3744,UNIVERSALITY-FAILED
48,Projection,NullUniversalityControl,0.3638,0.3533,0.3484,0.3446,0.3452,0.3308,0.3477,UNIVERSALITY-FAILED
64,Projection,NullUniversalityControl,0.3051,0.2929,0.3004,0.2912,0.2854,0.2874,0.284,UNIVERSALITY-FAILED
80,Projection,NullUniversalityControl,0.2606,0.2521,0.2481,0.2546,0.2465,0.2458,0.2515,UNIVERSALITY-FAILED
96,Projection,NullUniversalityControl,0.2318,0.2299,0.2254,0.2211,0.2174,0.2186,0.2214,UNIVERSALITY-FAILED
128,Projection,NullUniversalityControl,0.1864,0.1847,0.1835,0.1851,0.1753,0.1765,0.1754,UNIVERSALITY-FAILED
160,Projection,NullUniversalityControl,0.1579,0.1513,0.1522,0.1542,0.1464,0.1456,0.1499,UNIVERSALITY-FAILED
192,Projection,NullUniversalityControl,0.1362,0.131,0.1295,0.1293,0.1256,0.1253,0.13,UNIVERSALITY-FAILED
256,Projection,NullUniversalityControl,0.1025,0.1041,0.1015,0.1012,0.101,0.0956,0.0991,UNIVERSALITY-FAILED
320,Projection,NullUniversalityControl,0.0882,0.0837,0.083,0.0824,0.0819,0.0816,0.0818,UNIVERSALITY-FAILED
512,Projection,NullUniversalityControl,0.0567,0.0552,0.0557,0.0556,0.0516,0.0513,0.0527,UNIVERSALITY-FAILED
1,Antisymmetry,ScaleRescalingInvariance,0.96,0.9385,0.9098,0.9159,0.8812,0.8814,0.895,UNIVERSALITY-STABLE
2,Antisymmetry,ScaleRescalingInvariance,0.9526,0.915,0.8849,0.901,0.8558,0.8701,0.9018,UNIVERSALITY-STABLE
4,Antisymmetry,ScaleRescalingInvariance,0.8885,0.8688,0.8515,0.8544,0.842,0.8204,0.8242,UNIVERSALITY-STABLE
6,Antisymmetry,ScaleRescalingInvariance,0.8569,0.8329,0.8112,0.7921,0.7811,0.7764,0.8178,UNIVERSALITY-STABLE
8,Antisymmetry,ScaleRescalingInvariance,0.8245,0.7763,0.7814,0.7813,0.7734,0.7612,0.7724,UNIVERSALITY-BOUNDED
12,Antisymmetry,ScaleRescalingInvariance,0.7679,0.7205,0.7288,0.7161,0.7064,0.6856,0.694,UNIVERSALITY-BOUNDED
16,Antisymmetry,ScaleRescalingInvariance,0.6978,0.6737,0.6691,0.6516,0.6463,0.6327,0.6422,UNIVERSALITY-PARTIAL
20,Antisymmetry,ScaleRescalingInvariance,0.6552,0.615,0.6145,0.6023,0.5963,0.5986,0.6063,UNIVERSALITY-PARTIAL
24,Antisymmetry,ScaleRescalingInvariance,0.6212,0.585,0.5685,0.5638,0.5483,0.5719,0.5778,UNIVERSALITY-DEGRADING
32,Antisymmetry,ScaleRescalingInvariance,0.5462,0.5264,0.5024,0.4932,0.4881,0.5012,0.5045,UNIVERSALITY-DEGRADING
40,Antisymmetry,ScaleRescalingInvariance,0.4758,0.4706,0.4643,0.4477,0.4445,0.4472,0.4576,UNIVERSALITY-DEGRADING
48,Antisymmetry,ScaleRescalingInvariance,0.4402,0.4171,0.421,0.4024,0.4119,0.4026,0.4068,UNIVERSALITY-FAILED
64,Antisymmetry,ScaleRescalingInvariance,0.3687,0.3599,0.351,0.3362,0.342,0.3463,0.3448,UNIVERSALITY-FAILED
80,Antisymmetry,ScaleRescalingInvariance,0.32,0.3014,0.3069,0.2975,0.2899,0.2987,0.2936,UNIVERSALITY-FAILED
96,Antisymmetry,ScaleRescalingInvariance,0.2834,0.2662,0.2723,0.2645,0.2545,0.2579,0.2634,UNIVERSALITY-FAILED
128,Antisymmetry,ScaleRescalingInvariance,0.2304,0.2139,0.2146,0.2109,0.2071,0.2049,0.2131,UNIVERSALITY-FAILED
160,Antisymmetry,ScaleRescalingInvariance,0.1899,0.1852,0.1813,0.1737,0.1714,0.1767,0.1743,UNIVERSALITY-FAILED
192,Antisymmetry,ScaleRescalingInvariance,0.1637,0.1595,0.153,0.1493,0.152,0.1523,0.1539,UNIVERSALITY-FAILED
256,Antisymmetry,ScaleRescalingInvariance,0.1293,0.1215,0.1239,0.1195,0.1183,0.1167,0.1202,UNIVERSALITY-FAILED
320,Antisymmetry,ScaleRescalingInvariance,0.1066,0.0995,0.0982,0.0961,0.0958,0.0979,0.0967,UNIVERSALITY-FAILED
512,Antisymmetry,ScaleRescalingInvariance,0.0687,0.0667,0.0642,0.0647,0.0628,0.0618,0.0625,UNIVERSALITY-FAILED
1,Antisymmetry,UniversalityClassExtraction,0.96,0.94,0.93,0.92,0.9075,0.9,0.9125,UNIVERSALITY-STABLE
2,Antisymmetry,UniversalityClassExtraction,0.9496,0.9335,0.8958,0.9108,0.8926,0.8873,0.9036,UNIVERSALITY-STABLE
4,Antisymmetry,UniversalityClassExtraction,0.925,0.8685,0.8721,0.8434,0.8421,0.8467,0.8398,UNIVERSALITY-STABLE
6,Antisymmetry,UniversalityClassExtraction,0.8664,0.8348,0.8311,0.7934,0.8014,0.776,0.804,UNIVERSALITY-STABLE
8,Antisymmetry,UniversalityClassExtraction,0.8329,0.8149,0.7706,0.7853,0.765,0.7548,0.7619,UNIVERSALITY-BOUNDED
12,Antisymmetry,UniversalityClassExtraction,0.7483,0.7382,0.7296,0.7014,0.7161,0.7036,0.7158,UNIVERSALITY-BOUNDED
16,Antisymmetry,UniversalityClassExtraction,0.7083,0.6863,0.657,0.6443,0.6534,0.6354,0.6712,UNIVERSALITY-PARTIAL
20,Antisymmetry,UniversalityClassExtraction,0.6448,0.625,0.6092,0.601,0.6117,0.611,0.619,UNIVERSALITY-PARTIAL
24,Antisymmetry,UniversalityClassExtraction,0.6166,0.5936,0.5784,0.5688,0.5773,0.5565,0.5767,UNIVERSALITY-DEGRADING
32,Antisymmetry,UniversalityClassExtraction,0.5346,0.5316,0.5016,0.5151,0.4999,0.4966,0.5161,UNIVERSALITY-DEGRADING
40,Antisymmetry,UniversalityClassExtraction,0.4899,0.4638,0.4578,0.4512,0.4405,0.4432,0.4596,UNIVERSALITY-DEGRADING
48,Antisymmetry,UniversalityClassExtraction,0.4392,0.4287,0.4089,0.4104,0.4097,0.4103,0.4098,UNIVERSALITY-FAILED
64,Antisymmetry,UniversalityClassExtraction,0.3677,0.3557,0.3449,0.3512,0.3428,0.3408,0.3541,UNIVERSALITY-FAILED
80,Antisymmetry,UniversalityClassExtraction,0.3192,0.3158,0.3022,0.3008,0.2949,0.2978,0.2963,UNIVERSALITY-FAILED
96,Antisymmetry,UniversalityClassExtraction,0.2834,0.2731,0.2627,0.2682,0.2572,0.2609,0.267,UNIVERSALITY-FAILED
128,Antisymmetry,UniversalityClassExtraction,0.228,0.2212,0.2178,0.2096,0.2072,0.2127,0.2088,UNIVERSALITY-FAILED
160,Antisymmetry,UniversalityClassExtraction,0.1923,0.1839,0.182,0.1754,0.1776,0.1759,0.1769,UNIVERSALITY-FAILED
192,Antisymmetry,UniversalityClassExtraction,0.1675,0.1601,0.1546,0.1563,0.1533,0.1481,0.1523,UNIVERSALITY-FAILED
256,Antisymmetry,UniversalityClassExtraction,0.1295,0.1222,0.1196,0.1217,0.1182,0.1171,0.1186,UNIVERSALITY-FAILED
320,Antisymmetry,UniversalityClassExtraction,0.1052,0.0997,0.0982,0.0979,0.0993,0.0962,0.0967,UNIVERSALITY-FAILED
512,Antisymmetry,UniversalityClassExtraction,0.0695,0.0652,0.0643,0.0653,0.0621,0.0613,0.0643,UNIVERSALITY-FAILED
1,Antisymmetry,RecursiveRenormalizationAnalysis,0.96,0.94,0.9216,0.92,0.8818,0.9,0.8992,UNIVERSALITY-STABLE
2,Antisymmetry,RecursiveRenormalizationAnalysis,0.96,0.9045,0.9258,0.9123,0.864,0.8606,0.8977,UNIVERSALITY-STABLE
4,Antisymmetry,RecursiveRenormalizationAnalysis,0.9169,0.871,0.8821,0.8488,0.8299,0.8048,0.8671,UNIVERSALITY-STABLE
6,Antisymmetry,RecursiveRenormalizationAnalysis,0.8506,0.8429,0.8426,0.807,0.7808,0.7967,0.798,UNIVERSALITY-STABLE
8,Antisymmetry,RecursiveRenormalizationAnalysis,0.8163,0.7876,0.7783,0.7666,0.7528,0.7355,0.7646,UNIVERSALITY-BOUNDED
12,Antisymmetry,RecursiveRenormalizationAnalysis,0.7469,0.717,0.7384,0.7061,0.6826,0.6932,0.7193,UNIVERSALITY-BOUNDED
16,Antisymmetry,RecursiveRenormalizationAnalysis,0.7101,0.6784,0.6767,0.6659,0.6413,0.6376,0.6597,UNIVERSALITY-PARTIAL
20,Antisymmetry,RecursiveRenormalizationAnalysis,0.6624,0.62,0.6295,0.6245,0.6112,0.5819,0.6215,UNIVERSALITY-PARTIAL
24,Antisymmetry,RecursiveRenormalizationAnalysis,0.6039,0.594,0.5942,0.5895,0.5714,0.5624,0.578,UNIVERSALITY-DEGRADING
