phase,sector,differentiation_strength,stability,boundedness,retention,transition_control,dispersion,rg_stability,metastability
308,projection,1.000000,0.938609,0.959952,0.962905,0.916438,0.140000,0.961444,0.000000
308,antisymmetry,0.950000,0.891678,0.959952,0.914760,0.916438,0.140000,0.961444,0.000000
308,neutral,0.850000,0.797817,0.959952,0.818469,0.916438,0.140000,0.961444,0.000000
309,projection,1.000000,0.937671,0.959325,0.962378,0.915451,0.140000,0.960881,0.000000
309,antisymmetry,0.950000,0.890787,0.959325,0.914260,0.915451,0.140000,0.960881,0.000000
309,neutral,0.850000,0.797020,0.959325,0.818022,0.915451,0.140000,0.960881,0.000000
310,projection,1.000000,0.936744,0.958704,0.961857,0.914476,0.140000,0.960325,0.000000
310,antisymmetry,0.950000,0.889907,0.958704,0.913764,0.914476,0.140000,0.960325,0.000000
310,neutral,0.850000,0.796233,0.958704,0.817579,0.914476,0.140000,0.960325,0.000000
311,projection,1.000000,0.935829,0.958089,0.961341,0.913514,0.140000,0.959774,0.000000
311,antisymmetry,0.950000,0.889038,0.958089,0.913274,0.913514,0.140000,0.959774,0.000000
311,neutral,0.850000,0.795455,0.958089,0.817140,0.913514,0.140000,0.959774,0.000000
312,projection,1.000000,0.934924,0.957479,0.960830,0.912565,0.140000,0.959230,0.000000
312,antisymmetry,0.950000,0.888178,0.957479,0.912789,0.912565,0.140000,0.959230,0.000000
312,neutral,0.850000,0.794686,0.957479,0.816706,0.912565,0.140000,0.959230,0.000000
313,projection,1.000000,0.934031,0.956874,0.960325,0.911628,0.140000,0.958691,0.000000
313,antisymmetry,0.950000,0.887329,0.956874,0.912308,0.911628,0.140000,0.958691,0.000000
313,neutral,0.850000,0.793926,0.956874,0.816276,0.911628,0.140000,0.958691,0.000000
314,projection,1.000000,0.933148,0.956275,0.959824,0.910702,0.140000,0.958158,0.000000
314,antisymmetry,0.950000,0.886490,0.956275,0.911833,0.910702,0.140000,0.958158,0.000000
314,neutral,0.850000,0.793176,0.956275,0.815850,0.910702,0.140000,0.958158,0.000000
315,projection,1.000000,0.932275,0.955681,0.959328,0.909789,0.140000,0.957632,0.000000
315,antisymmetry,0.950000,0.885661,0.955681,0.911362,0.909789,0.140000,0.957632,0.000000
315,neutral,0.850000,0.792434,0.955681,0.815429,0.909789,0.140000,0.957632,0.000000
