depth,sector,condition,rg_similarity,degradation_slope,stability_half_life,drift_accumulation,fragmentation_index,operator_saturation,horizon_extension_gain,classification
2,Projection,OperatorSaturation,0.8234,0.0617,0.7836,0.054,0.0507,0.0829,0.0452,HORIZON-DEGRADING
4,Projection,OperatorSaturation,0.7827,0.0637,0.7533,0.0534,0.0485,0.076,0.057,HORIZON-DEGRADING
6,Projection,OperatorSaturation,0.7263,0.0727,0.7213,0.0631,0.0489,0.0762,0.0545,HORIZON-DEGRADING
8,Projection,OperatorSaturation,0.7079,0.0629,0.682,0.0607,0.058,0.0836,0.0448,HORIZON-DEGRADING
12,Projection,OperatorSaturation,0.6305,0.0634,0.6252,0.0732,0.0676,0.0964,0.0396,HORIZON-WEAK
16,Projection,OperatorSaturation,0.5844,0.0645,0.5682,0.0695,0.0581,0.0875,0.039,HORIZON-WEAK
20,Projection,OperatorSaturation,0.5528,0.0763,0.5282,0.0727,0.0718,0.0872,0.0377,HORIZON-WEAK
24,Projection,OperatorSaturation,0.5054,0.0728,0.4876,0.0705,0.0615,0.1142,0.0364,HORIZON-WEAK
28,Projection,OperatorSaturation,0.4685,0.0722,0.4486,0.062,0.0808,0.1066,0.0343,HORIZON-COLLAPSING
32,Projection,OperatorSaturation,0.4407,0.1001,0.4226,0.0798,0.0731,0.1028,0.0274,HORIZON-COLLAPSING
40,Projection,OperatorSaturation,0.3854,0.1056,0.381,0.0804,0.0965,0.1237,0.0292,HORIZON-COLLAPSING
1,Projection,ScaleFragmentation,0.8525,0.0738,0.8054,0.0591,0.101,0.051,0.0685,HORIZON-WEAK
2,Projection,ScaleFragmentation,0.8092,0.0568,0.7863,0.0651,0.1038,0.0433,0.0609,HORIZON-WEAK
4,Projection,ScaleFragmentation,0.7898,0.0596,0.7491,0.0711,0.1016,0.0485,0.0476,HORIZON-WEAK
6,Projection,ScaleFragmentation,0.746,0.0775,0.7206,0.0718,0.1155,0.0506,0.0559,HORIZON-WEAK
8,Projection,ScaleFragmentation,0.7061,0.0809,0.66,0.0692,0.1057,0.0497,0.0566,HORIZON-WEAK
12,Projection,ScaleFragmentation,0.6341,0.0643,0.5993,0.0697,0.1265,0.055,0.0338,HORIZON-COLLAPSING
16,Projection,ScaleFragmentation,0.5964,0.09,0.552,0.0884,0.1311,0.0535,0.0306,HORIZON-COLLAPSING
20,Projection,ScaleFragmentation,0.5414,0.0824,0.5189,0.0692,0.1311,0.0689,0.032,HORIZON-COLLAPSING
24,Projection,ScaleFragmentation,0.5112,0.0819,0.4877,0.0865,0.1292,0.0739,0.0408,HORIZON-COLLAPSING
28,Projection,ScaleFragmentation,0.4676,0.0789,0.4486,0.0926,0.1461,0.0625,0.0267,HORIZON-COLLAPSING
32,Projection,ScaleFragmentation,0.4358,0.1064,0.4124,0.0852,0.144,0.0674,0.0313,HORIZON-COLLAPSING
40,Projection,ScaleFragmentation,0.3855,0.0879,0.3836,0.1067,0.1607,0.0702,0.0187,HORIZON-COLLAPSING
1,Projection,HorizonExtension,0.9068,0.0296,0.9,0.005,0.005,0.005,0.1685,HORIZON-STABLE
2,Projection,HorizonExtension,0.9044,0.0399,0.8826,0.0086,0.005,0.0172,0.1584,HORIZON-STABLE
4,Projection,HorizonExtension,0.8459,0.0407,0.847,0.0156,0.0133,0.0174,0.1571,HORIZON-STABLE
6,Projection,HorizonExtension,0.8004,0.0287,0.7937,0.005,0.0207,0.0114,0.151,HORIZON-STABLE
8,Projection,HorizonExtension,0.761,0.0257,0.7484,0.005,0.0115,0.0161,0.1395,HORIZON-DEGRADING
12,Projection,HorizonExtension,0.6904,0.0323,0.6808,0.0064,0.0054,0.0152,0.1255,HORIZON-DEGRADING
16,Projection,HorizonExtension,0.6318,0.0267,0.6406,0.0069,0.005,0.0068,0.1247,HORIZON-WEAK
20,Projection,HorizonExtension,0.5942,0.0439,0.59,0.0209,0.0182,0.005,0.1091,HORIZON-WEAK
24,Projection,HorizonExtension,0.5438,0.0382,0.537,0.005,0.005,0.0066,0.1003,HORIZON-WEAK
28,Projection,HorizonExtension,0.5085,0.034,0.5113,0.0284,0.0149,0.0073,0.0971,HORIZON-WEAK
32,Projection,HorizonExtension,0.4844,0.0477,0.4648,0.0135,0.0299,0.0088,0.0876,HORIZON-COLLAPSING
40,Projection,HorizonExtension,0.4228,0.0627,0.4151,0.0332,0.0283,0.005,0.077,HORIZON-COLLAPSING
1,Projection,NullHorizonControl,0.6772,0.1443,0.7,0.1762,0.1908,0.1255,0.0126,HORIZON-COLLAPSING
2,Projection,NullHorizonControl,0.678,0.1429,0.6775,0.1889,0.185,0.1325,-0.0025,HORIZON-COLLAPSING
4,Projection,NullHorizonControl,0.6093,0.1416,0.6701,0.1802,0.2031,0.1353,0.0052,HORIZON-COLLAPSING
6,Projection,NullHorizonControl,0.5934,0.14,0.6385,0.2054,0.1985,0.1382,-0.0078,HORIZON-COLLAPSING
8,Projection,NullHorizonControl,0.5739,0.1621,0.6009,0.1941,0.2142,0.1312,0.0006,HORIZON-COLLAPSING
12,Projection,NullHorizonControl,0.5225,0.1622,0.532,0.2209,0.2221,0.139,0.008,HORIZON-COLLAPSING
16,Projection,NullHorizonControl,0.4613,0.1748,0.4831,0.2298,0.2494,0.1552,0.0023,HORIZON-COLLAPSING
20,Projection,NullHorizonControl,0.4231,0.18,0.4674,0.2475,0.25,0.1609,-0.0047,HORIZON-COLLAPSING
24,Projection,NullHorizonControl,0.4086,0.1772,0.4124,0.25,0.25,0.1733,0.0002,HORIZON-COLLAPSING
28,Projection,NullHorizonControl,0.369,0.2,0.3876,0.25,0.25,0.1806,-0.0051,HORIZON-COLLAPSING
32,Projection,NullHorizonControl,0.3617,0.2,0.3766,0.25,0.25,0.1659,0.0042,HORIZON-COLLAPSING
40,Projection,NullHorizonControl,0.3201,0.2,0.3288,0.25,0.25,0.1816,-0.0021,HORIZON-FAILED
1,Antisymmetry,BaselineHorizon,0.8607,0.0496,0.8394,0.0293,0.0457,0.0382,0.0649,HORIZON-STABLE
2,Antisymmetry,BaselineHorizon,0.828,0.0508,0.8088,0.0422,0.0528,0.0267,0.0553,HORIZON-DEGRADING
4,Antisymmetry,BaselineHorizon,0.7976,0.0393,0.759,0.0438,0.0452,0.0429,0.0396,HORIZON-DEGRADING
6,Antisymmetry,BaselineHorizon,0.749,0.0439,0.7355,0.0376,0.0552,0.0328,0.0527,HORIZON-DEGRADING
8,Antisymmetry,BaselineHorizon,0.7172,0.0455,0.691,0.0342,0.0429,0.0362,0.0317,HORIZON-DEGRADING
12,Antisymmetry,BaselineHorizon,0.643,0.0593,0.6169,0.0539,0.0499,0.0364,0.0413,HORIZON-WEAK
16,Antisymmetry,BaselineHorizon,0.579,0.0545,0.5676,0.0496,0.0679,0.0298,0.0447,HORIZON-WEAK
20,Antisymmetry,BaselineHorizon,0.5314,0.052,0.521,0.042,0.049,0.0485,0.0384,HORIZON-WEAK
24,Antisymmetry,BaselineHorizon,0.5051,0.0601,0.5013,0.0563,0.075,0.0412,0.0289,HORIZON-WEAK
28,Antisymmetry,BaselineHorizon,0.4663,0.0571,0.4559,0.0471,0.0652,0.0528,0.0296,HORIZON-COLLAPSING
32,Antisymmetry,BaselineHorizon,0.4481,0.0688,0.4325,0.064,0.069,0.058,0.027,HORIZON-COLLAPSING
40,Antisymmetry,BaselineHorizon,0.3912,0.0751,0.3837,0.0779,0.0778,0.0424,0.0182,HORIZON-COLLAPSING
1,Antisymmetry,DriftAccumulation,0.8237,0.0663,0.799,0.0806,0.0592,0.0513,0.051,HORIZON-DEGRADING
2,Antisymmetry,DriftAccumulation,0.7889,0.0708,0.7909,0.0848,0.0723,0.0387,0.0478,HORIZON-DEGRADING
4,Antisymmetry,DriftAccumulation,0.7578,0.0604,0.7333,0.0742,0.0662,0.0363,0.0383,HORIZON-DEGRADING
6,Antisymmetry,DriftAccumulation,0.7313,0.0672,0.6984,0.0866,0.0749,0.0391,0.047,HORIZON-DEGRADING
8,Antisymmetry,DriftAccumulation,0.6962,0.0706,0.6673,0.0769,0.08,0.0501,0.0518,HORIZON-DEGRADING
12,Antisymmetry,DriftAccumulation,0.6135,0.0686,0.5918,0.0985,0.0808,0.0432,0.0353,HORIZON-WEAK
16,Antisymmetry,DriftAccumulation,0.5784,0.0654,0.5491,0.093,0.0707,0.0498,0.0349,HORIZON-WEAK
20,Antisymmetry,DriftAccumulation,0.5397,0.072,0.5025,0.1153,0.0921,0.0579,0.0236,HORIZON-WEAK
24,Antisymmetry,DriftAccumulation,0.4961,0.0782,0.4734,0.1143,0.0975,0.0697,0.0278,HORIZON-COLLAPSING
28,Antisymmetry,DriftAccumulation,0.4525,0.0792,0.4478,0.1067,0.1048,0.0642,0.0253,HORIZON-COLLAPSING
32,Antisymmetry,DriftAccumulation,0.4242,0.0959,0.4143,0.1084,0.1128,0.0579,0.0275,HORIZON-COLLAPSING
40,Antisymmetry,DriftAccumulation,0.3772,0.1074,0.3633,0.1362,0.101,0.0741,0.0264,HORIZON-COLLAPSING
1,Antisymmetry,OperatorSaturation,0.8251,0.0651,0.7897,0.0487,0.0541,0.0949,0.0457,HORIZON-DEGRADING
2,Antisymmetry,OperatorSaturation,0.7964,0.059,0.7575,0.064,0.0548,0.0945,0.058,HORIZON-DEGRADING
4,Antisymmetry,OperatorSaturation,0.747,0.0745,0.7403,0.0564,0.0528,0.0785,0.04,HORIZON-DEGRADING
6,Antisymmetry,OperatorSaturation,0.7259,0.0685,0.6936,0.0627,0.0613,0.09,0.0374,HORIZON-DEGRADING
8,Antisymmetry,OperatorSaturation,0.6888,0.0761,0.6449,0.0717,0.0655,0.0893,0.0345,HORIZON-DEGRADING
12,Antisymmetry,OperatorSaturation,0.6275,0.0693,0.6114,0.0623,0.0583,0.0869,0.0438,HORIZON-WEAK
16,Antisymmetry,OperatorSaturation,0.5705,0.088,0.5462,0.0641,0.0623,0.0886,0.0361,HORIZON-WEAK
20,Antisymmetry,OperatorSaturation,0.5322,0.0872,0.4958,0.087,0.0664,0.0975,0.0277,HORIZON-WEAK
24,Antisymmetry,OperatorSaturation,0.4867,0.083,0.4766,0.0874,0.0704,0.1114,0.0267,HORIZON-COLLAPSING
28,Antisymmetry,OperatorSaturation,0.4616,0.0816,0.447,0.0989,0.0798,0.1236,0.0271,HORIZON-COLLAPSING
32,Antisymmetry,OperatorSaturation,0.4152,0.1018,0.4205,0.0767,0.0889,0.1213,0.0217,HORIZON-COLLAPSING
40,Antisymmetry,OperatorSaturation,0.3837,0.0933,0.3661,0.1129,0.0865,0.1281,0.0261,HORIZON-COLLAPSING
1,Antisymmetry,ScaleFragmentation,0.8184,0.0645,0.8021,0.0655,0.1071,0.0462,0.0435,HORIZON-WEAK
2,Antisymmetry,ScaleFragmentation,0.8061,0.0637,0.7705,0.0611,0.1117,0.0578,0.0546,HORIZON-WEAK
4,Antisymmetry,ScaleFragmentation,0.75,0.0639,0.7314,0.0626,0.1015,0.055,0.0533,HORIZON-WEAK
6,Antisymmetry,ScaleFragmentation,0.6959,0.0646,0.6686,0.0795,0.1086,0.0503,0.0515,HORIZON-WEAK
8,Antisymmetry,ScaleFragmentation,0.6785,0.0717,0.6337,0.0698,0.1076,0.063,0.038,HORIZON-WEAK
12,Antisymmetry,ScaleFragmentation,0.6259,0.0912,0.5793,0.0797,0.1339,0.0602,0.0286,HORIZON-COLLAPSING
16,Antisymmetry,ScaleFragmentation,0.5691,0.0738,0.5281,0.0719,0.1316,0.0634,0.0381,HORIZON-COLLAPSING
20,Antisymmetry,ScaleFragmentation,0.5077,0.0829,0.5055,0.0772,0.1465,0.0729,0.0383,HORIZON-COLLAPSING
24,Antisymmetry,ScaleFragmentation,0.4837,0.0964,0.474,0.0821,0.1503,0.0703,0.0336,HORIZON-COLLAPSING
28,Antisymmetry,ScaleFragmentation,0.4501,0.1039,0.4281,0.1103,0.1677,0.0718,0.0338,HORIZON-COLLAPSING
32,Antisymmetry,ScaleFragmentation,0.4131,0.0903,0.4044,0.1086,0.1605,0.0798,0.0272,HORIZON-COLLAPSING
40,Antisymmetry,ScaleFragmentation,0.3727,0.0966,0.3581,0.1128,0.1751,0.0912,0.026,HORIZON-COLLAPSING
1,Antisymmetry,HorizonExtension,0.8857,0.0432,0.8964,0.0154,0.011,0.011,0.1735,HORIZON-STABLE
2,Antisymmetry,HorizonExtension,0.8555,0.0437,0.8485,0.0133,0.0064,0.0113,0.1568,HORIZON-STABLE
4,Antisymmetry,HorizonExtension,0.8268,0.0309,0.8138,0.0062,0.0185,0.0209,0.159,HORIZON-STABLE
6,Antisymmetry,HorizonExtension,0.7783,0.042,0.7673,0.0274,0.0141,0.0076,0.1457,HORIZON-DEGRADING
8,Antisymmetry,HorizonExtension,0.7307,0.0311,0.741,0.0158,0.0128,0.0256,0.1328,HORIZON-DEGRADING
12,Antisymmetry,HorizonExtension,0.6827,0.0486,0.6752,0.027,0.0209,0.0184,0.1185,HORIZON-DEGRADING
16,Antisymmetry,HorizonExtension,0.6116,0.0379,0.6151,0.0096,0.0075,0.0071,0.1105,HORIZON-WEAK
20,Antisymmetry,HorizonExtension,0.5766,0.036,0.5523,0.0142,0.0241,0.0062,0.0998,HORIZON-WEAK
24,Antisymmetry,HorizonExtension,0.5238,0.0484,0.5333,0.0089,0.0347,0.0164,0.0977,HORIZON-WEAK
28,Antisymmetry,HorizonExtension,0.4841,0.0563,0.4853,0.0111,0.0145,0.0293,0.0933,HORIZON-COLLAPSING
32,Antisymmetry,HorizonExtension,0.4612,0.047,0.4506,0.0404,0.0104,0.0265,0.0828,HORIZON-COLLAPSING
40,Antisymmetry,HorizonExtension,0.4053,0.047,0.412,0.0277,0.0209,0.0221,0.0773,HORIZON-COLLAPSING
1,Antisymmetry,NullHorizonControl,0.6376,0.1395,0.6838,0.1754,0.1868,0.1416,0.0128,HORIZON-COLLAPSING
2,Antisymmetry,NullHorizonControl,0.6219,0.1531,0.6574,0.1812,0.1977,0.1438,-0.0049,HORIZON-COLLAPSING
4,Antisymmetry,NullHorizonControl,0.6014,0.1565,0.6176,0.1988,0.197,0.1421,-0.0124,HORIZON-COLLAPSING
6,Antisymmetry,NullHorizonControl,0.5643,0.163,0.5957,0.2121,0.2207,0.1453,0.0101,HORIZON-COLLAPSING
8,Antisymmetry,NullHorizonControl,0.5377,0.1509,0.5649,0.2091,0.2259,0.1514,-0.002,HORIZON-COLLAPSING
12,Antisymmetry,NullHorizonControl,0.5018,0.1589,0.5081,0.2371,0.2245,0.1575,0.0089,HORIZON-COLLAPSING
16,Antisymmetry,NullHorizonControl,0.4615,0.1682,0.4657,0.2466,0.25,0.1501,-0.0017,HORIZON-COLLAPSING
20,Antisymmetry,NullHorizonControl,0.4048,0.1816,0.4295,0.25,0.25,0.171,-0.0092,HORIZON-COLLAPSING
24,Antisymmetry,NullHorizonControl,0.397,0.1962,0.4051,0.25,0.25,0.1602,-0.0061,HORIZON-COLLAPSING
28,Antisymmetry,NullHorizonControl,0.3572,0.199,0.3854,0.25,0.25,0.1919,-0.002,HORIZON-COLLAPSING
32,Antisymmetry,NullHorizonControl,0.3465,0.2,0.3618,0.25,0.25,0.1779,-0.0009,HORIZON-FAILED
40,Antisymmetry,NullHorizonControl,0.3024,0.2,0.3081,0.25,0.25,0.2,0.003,HORIZON-FAILED
1,Neutral,BaselineHorizon,0.7629,0.0602,0.7805,0.0382,0.0585,0.0328,0.0317,HORIZON-DEGRADING
2,Neutral,BaselineHorizon,0.7576,0.0546,0.7539,0.0327,0.0573,0.0484,0.0467,HORIZON-DEGRADING
4,Neutral,BaselineHorizon,0.7125,0.0465,0.7056,0.0428,0.0471,0.0537,0.0431,HORIZON-DEGRADING
6,Neutral,BaselineHorizon,0.6887,0.0541,0.6754,0.0406,0.0563,0.0497,0.0371,HORIZON-DEGRADING
8,Neutral,BaselineHorizon,0.6337,0.0624,0.6394,0.0503,0.0663,0.0466,0.0368,HORIZON-WEAK
12,Neutral,BaselineHorizon,0.586,0.0569,0.5841,0.0406,0.0705,0.0522,0.0417,HORIZON-WEAK
16,Neutral,BaselineHorizon,0.5271,0.0742,0.5397,0.0672,0.0573,0.0439,0.0335,HORIZON-WEAK
20,Neutral,BaselineHorizon,0.4887,0.0542,0.4893,0.062,0.0692,0.0478,0.0244,HORIZON-COLLAPSING
24,Neutral,BaselineHorizon,0.4598,0.0589,0.4611,0.0537,0.0694,0.0422,0.029,HORIZON-COLLAPSING
28,Neutral,BaselineHorizon,0.4326,0.0705,0.416,0.0563,0.0852,0.0653,0.0162,HORIZON-COLLAPSING
32,Neutral,BaselineHorizon,0.4059,0.0866,0.4069,0.0687,0.0862,0.0542,0.0223,HORIZON-COLLAPSING
40,Neutral,BaselineHorizon,0.3524,0.0709,0.3516,0.0875,0.0735,0.0529,0.0146,HORIZON-COLLAPSING
1,Neutral,DriftAccumulation,0.7496,0.0707,0.7554,0.0883,0.0815,0.0535,0.0512,HORIZON-WEAK
2,Neutral,DriftAccumulation,0.7551,0.0601,0.7117,0.078,0.0645,0.0487,0.0473,HORIZON-DEGRADING
4,Neutral,DriftAccumulation,0.7021,0.0754,0.6837,0.0954,0.0709,0.0557,0.0432,HORIZON-DEGRADING
6,Neutral,DriftAccumulation,0.6566,0.0678,0.6555,0.0904,0.0757,0.0479,0.0438,HORIZON-DEGRADING
8,Neutral,DriftAccumulation,0.6262,0.0799,0.5975,0.0897,0.0722,0.054,0.0332,HORIZON-WEAK
12,Neutral,DriftAccumulation,0.5833,0.0835,0.5499,0.0924,0.0781,0.0665,0.026,HORIZON-WEAK
16,Neutral,DriftAccumulation,0.5367,0.0723,0.5076,0.115,0.0903,0.0725,0.0346,HORIZON-WEAK
20,Neutral,DriftAccumulation,0.4877,0.0813,0.4624,0.1058,0.1021,0.0524,0.0246,HORIZON-COLLAPSING
24,Neutral,DriftAccumulation,0.442,0.0957,0.445,0.1142,0.1027,0.0597,0.0206,HORIZON-COLLAPSING
28,Neutral,DriftAccumulation,0.4211,0.1078,0.41,0.1354,0.1135,0.0766,0.0213,HORIZON-COLLAPSING
32,Neutral,DriftAccumulation,0.3971,0.102,0.3733,0.1478,0.1111,0.0673,0.0179,HORIZON-COLLAPSING
40,Neutral,DriftAccumulation,0.3475,0.0937,0.3331,0.1423,0.1263,0.0897,0.0136,HORIZON-FAILED
1,Neutral,OperatorSaturation,0.7326,0.0628,0.7367,0.063,0.0544,0.0925,0.0427,HORIZON-DEGRADING
2,Neutral,OperatorSaturation,0.7484,0.0749,0.7183,0.0601,0.0646,0.0973,0.0351,HORIZON-DEGRADING
4,Neutral,OperatorSaturation,0.675,0.0677,0.6806,0.0737,0.0673,0.1002,0.0428,HORIZON-DEGRADING
6,Neutral,OperatorSaturation,0.666,0.0713,0.639,0.0653,0.0668,0.0975,0.0484,HORIZON-DEGRADING
8,Neutral,OperatorSaturation,0.6067,0.0787,0.5949,0.0605,0.0759,0.1017,0.0393,HORIZON-WEAK
12,Neutral,OperatorSaturation,0.5763,0.0743,0.5446,0.0761,0.0858,0.1107,0.0278,HORIZON-WEAK
16,Neutral,OperatorSaturation,0.5181,0.0906,0.5001,0.0835,0.0883,0.1084,0.0375,HORIZON-WEAK
20,Neutral,OperatorSaturation,0.4718,0.0888,0.4735,0.0945,0.0901,0.1169,0.0208,HORIZON-COLLAPSING
24,Neutral,OperatorSaturation,0.4449,0.0952,0.422,0.0811,0.0807,0.1142,0.0216,HORIZON-COLLAPSING
28,Neutral,OperatorSaturation,0.4247,0.0976,0.4114,0.0902,0.0876,0.1124,0.0171,HORIZON-COLLAPSING
32,Neutral,OperatorSaturation,0.3878,0.1163,0.3772,0.0866,0.089,0.1238,0.0163,HORIZON-COLLAPSING
40,Neutral,OperatorSaturation,0.3462,0.1079,0.3273,0.1127,0.1133,0.1237,0.0242,HORIZON-FAILED
1,Neutral,ScaleFragmentation,0.751,0.0868,0.7122,0.0779,0.1187,0.0554,0.0545,HORIZON-WEAK
2,Neutral,ScaleFragmentation,0.7262,0.0796,0.6889,0.0684,0.1203,0.0569,0.0545,HORIZON-COLLAPSING
4,Neutral,ScaleFragmentation,0.6677,0.0712,0.6456,0.0663,0.1102,0.0609,0.0408,HORIZON-WEAK
6,Neutral,ScaleFragmentation,0.6364,0.0725,0.6179,0.0824,0.1242,0.0665,0.0477,HORIZON-COLLAPSING
8,Neutral,ScaleFragmentation,0.6112,0.0942,0.6012,0.0761,0.1195,0.0691,0.0357,HORIZON-WEAK
12,Neutral,ScaleFragmentation,0.5482,0.0983,0.5445,0.0923,0.1274,0.0651,0.0358,HORIZON-COLLAPSING
16,Neutral,ScaleFragmentation,0.5076,0.0983,0.4901,0.0918,0.1298,0.0676,0.0303,HORIZON-COLLAPSING
20,Neutral,ScaleFragmentation,0.4802,0.0923,0.4559,0.1088,0.1383,0.0758,0.0282,HORIZON-COLLAPSING
24,Neutral,ScaleFragmentation,0.4499,0.1026,0.4265,0.0941,0.166,0.0706,0.0204,HORIZON-COLLAPSING
28,Neutral,ScaleFragmentation,0.4137,0.0989,0.4032,0.1255,0.1536,0.0816,0.0229,HORIZON-COLLAPSING
32,Neutral,ScaleFragmentation,0.3956,0.1152,0.3713,0.119,0.1662,0.0925,0.0236,HORIZON-COLLAPSING
40,Neutral,ScaleFragmentation,0.34,0.1252,0.3271,0.1432,0.1748,0.0815,0.0136,HORIZON-FAILED
1,Neutral,HorizonExtension,0.8165,0.0481,0.8117,0.0207,0.0169,0.0202,0.1777,HORIZON-STABLE
2,Neutral,HorizonExtension,0.8143,0.036,0.7976,0.0209,0.0234,0.0312,0.1672,HORIZON-STABLE
4,Neutral,HorizonExtension,0.7553,0.0524,0.7657,0.0203,0.0147,0.0307,0.1478,HORIZON-DEGRADING
6,Neutral,HorizonExtension,0.7096,0.0381,0.722,0.0256,0.017,0.0131,0.1357,HORIZON-DEGRADING
8,Neutral,HorizonExtension,0.6936,0.0357,0.6803,0.0198,0.0142,0.0206,0.134,HORIZON-DEGRADING
12,Neutral,HorizonExtension,0.6172,0.0538,0.6112,0.0343,0.018,0.0165,0.1206,HORIZON-WEAK
16,Neutral,HorizonExtension,0.566,0.053,0.5737,0.0168,0.0341,0.0366,0.1224,HORIZON-WEAK
20,Neutral,HorizonExtension,0.5339,0.057,0.5262,0.0376,0.0326,0.0345,0.1029,HORIZON-WEAK
24,Neutral,HorizonExtension,0.4742,0.0671,0.4839,0.0369,0.0419,0.019,0.1044,HORIZON-COLLAPSING
28,Neutral,HorizonExtension,0.4586,0.0613,0.4542,0.0277,0.0315,0.0394,0.0967,HORIZON-COLLAPSING
32,Neutral,HorizonExtension,0.4166,0.0577,0.4254,0.0421,0.0208,0.0236,0.0897,HORIZON-COLLAPSING
40,Neutral,HorizonExtension,0.3731,0.0716,0.3773,0.0323,0.0471,0.0334,0.0774,HORIZON-COLLAPSING
1,Neutral,NullHorizonControl,0.5964,0.1472,0.6026,0.1901,0.1958,0.1438,0.0033,HORIZON-COLLAPSING
2,Neutral,NullHorizonControl,0.5659,0.1532,0.5921,0.196,0.2086,0.1474,-0.0184,HORIZON-COLLAPSING
4,Neutral,NullHorizonControl,0.5212,0.1485,0.5798,0.2136,0.2067,0.1507,-0.0198,HORIZON-COLLAPSING
6,Neutral,NullHorizonControl,0.5197,0.1571,0.5428,0.2108,0.2274,0.1516,-0.0108,HORIZON-COLLAPSING
8,Neutral,NullHorizonControl,0.4881,0.1598,0.5209,0.2279,0.235,0.15,0.0054,HORIZON-COLLAPSING
12,Neutral,NullHorizonControl,0.4498,0.1804,0.4627,0.2272,0.2465,0.1536,0.0028,HORIZON-COLLAPSING
16,Neutral,NullHorizonControl,0.4104,0.1775,0.4149,0.2446,0.25,0.1601,0.0029,HORIZON-COLLAPSING
20,Neutral,NullHorizonControl,0.3815,0.1995,0.3946,0.25,0.25,0.1861,0.0032,HORIZON-COLLAPSING
24,Neutral,NullHorizonControl,0.3358,0.1915,0.3723,0.25,0.25,0.1915,-0.0085,HORIZON-FAILED
28,Neutral,NullHorizonControl,0.3314,0.2,0.3461,0.25,0.25,0.1749,-0.0097,HORIZON-FAILED
32,Neutral,NullHorizonControl,0.3005,0.2,0.3253,0.25,0.25,0.2,-0.0026,HORIZON-FAILED
40,Neutral,NullHorizonControl,0.2597,0.2,0.2815,0.25,0.25,0.2,-0.0048,HORIZON-FAILED
1,Projection-Antisymmetry,BaselineHorizon,0.7842,0.0474,0.7535,0.0513,0.052,0.0437,0.0397,HORIZON-DEGRADING
