domain,sys_idx,collapse_available,recovery_possible,recovery_steps_mean,recovery_probability,recovery_entropy,collapse_regime_shifts,process_regime,recursive_continuity,reconstruction_ability,org_memory,transition_continuity,transition_smoothness,closure_persistence,adaptive_continuity,recovery_identity,trajectory_coherence,recursive_identity_score
branching,296,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,314,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.4,0.265557,0.9908,0.4,0.0,0.0,1.0,0.45
branching,317,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.3333,0.240011,0.9909,0.3333,0.0,0.0,1.0,0.4333
branching,320,1,1,1.4,1.0,0.0,1,CG,1.0,1.0,0.5935,0.524535,0.9989,0.5935,0.6403,0.986,0.18,0.7733
branching,322,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6615,0.586675,0.999,0.6615,0.0,0.0,0.24,0.4014
branching,323,5,1,1.12,0.5,0.0,1,CG,1.0,0.5,0.5956,0.464929,0.9975,0.5956,0.1626,0.4944,0.04,0.5541
branching,324,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.3333,0.157958,0.9999,0.3333,0.0,0.0,1.0,0.4333
branching,326,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.5333,0.355519,0.9908,0.5333,0.0,0.0,1.0,0.4833
branching,327,1,1,1.0,1.0,0.0,1,CG,1.0,1.0,0.4,0.191623,0.9999,0.4,1.3587,0.99,1.0,0.8485
branching,332,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2667,0.122186,0.9999,0.2667,0.0,0.0,1.0,0.4167
branching,333,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6504,0.581548,0.9989,0.6504,0.0,0.0,0.16,0.3866
branching,334,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6585,0.551682,0.9989,0.6585,0.0,0.0,0.3,0.4096
branching,342,2,1,1.06,0.85,0.0,1,CG,1.0,0.85,0.5997,0.453298,0.999,0.5997,0.4788,0.841,0.12,0.7066
branching,345,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2667,0.122186,0.9999,0.2667,0.0,0.0,1.0,0.4167
branching,352,10,1,2.7,1.0,0.0,1,CG,1.0,1.0,0.7989,0.47935,0.9964,0.7989,0.3658,0.973,0.02,0.7987
branching,353,14,1,1.0,0.08,0.0,1,CG,1.0,0.08,0.5294,0.410888,0.9984,0.5294,0.0268,0.0792,0.02,0.3672
branching,355,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.4667,0.385342,0.9909,0.4667,0.0,0.0,1.0,0.4667
branching,356,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.3333,0.157958,0.9999,0.3333,0.0,0.0,1.0,0.4333
branching,365,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2667,0.122186,0.9999,0.2667,0.0,0.0,1.0,0.4167
branching,367,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6,0.335675,0.995,0.6,0.0,0.0,1.0,0.5
branching,377,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.5333,0.329104,0.9922,0.5333,0.0,0.0,1.0,0.4833
branching,382,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.118184,0.9932,0.2,0.0,0.0,1.0,0.4
branching,384,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.4667,0.402064,0.9911,0.4667,0.0,0.0,1.0,0.4667
branching,385,1,1,1.5,1.0,0.0,1,CG,0.3,1.0,0.4286,0.302787,0.9942,0.4286,2.406,0.985,0.14,0.5859
branching,389,1,1,1.0,0.9,0.0,1,CG,1.0,0.9,0.5874,0.54072,0.9986,0.5874,0.4846,0.891,0.22,0.7385
branching,391,2,1,1.2,0.75,0.0,1,CG,1.0,0.75,0.5906,0.465546,0.9982,0.5906,0.2405,0.741,0.28,0.6883
branching,397,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.6546,0.56521,0.9986,0.6546,0.0,0.0,0.26,0.4026
branching,404,8,1,1.0,0.06,0.0,1,CG,1.0,0.06,0.5331,0.42335,0.9991,0.5331,0.0385,0.0594,0.02,0.3602
branching,408,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.5333,0.34544,0.9949,0.5333,0.0,0.0,1.0,0.4833
branching,414,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.7318,0.572482,0.999,0.7318,0.0,0.0,0.36,0.437
branching,426,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2667,0.133511,0.9999,0.2667,0.0,0.0,1.0,0.4167
branching,430,20,0,-1.0,0.0,0.0,1,CG,1.0,0.0,0.4642,0.438725,0.996,0.4642,0.0,0.0,0.02,0.319
branching,434,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2667,0.133511,0.9999,0.2667,0.0,0.0,1.0,0.4167
branching,436,2,1,1.3,1.0,0.0,1,CG,1.0,1.0,0.7306,0.588673,0.9989,0.7306,0.8596,0.987,0.26,0.8197
branching,437,1,1,1.4,1.0,0.0,1,CG,1.0,1.0,0.5955,0.523084,0.999,0.5955,0.6857,0.986,0.2,0.7768
branching,441,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,454,1,1,1.0,1.0,0.0,1,CG,1.0,1.0,0.4,0.179474,0.9999,0.4,1.6395,0.99,1.0,0.8485
branching,464,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2667,0.139696,0.9999,0.2667,0.0,0.0,1.0,0.4167
branching,465,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.3333,0.157958,0.9999,0.3333,0.0,0.0,1.0,0.4333
branching,478,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.2667,0.156754,0.9937,0.2667,0.0,0.0,1.0,0.4167
branching,479,3,1,2.13,1.0,0.0,1,CG,1.0,1.0,0.7314,0.490792,0.9977,0.7314,0.7073,0.9787,0.18,0.8067
branching,481,2,1,1.05,1.0,0.0,1,CG,1.0,1.0,0.7075,0.651325,0.999,0.7075,0.7373,0.9895,0.22,0.8083
branching,485,14,1,1.0,0.18,0.0,1,CG,1.0,0.18,0.5291,0.424803,0.9983,0.5291,0.0577,0.1782,0.02,0.407
branching,486,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.3333,0.233467,0.9919,0.3333,0.0,0.0,1.0,0.4333
branching,488,1,1,1.33,0.9,0.0,1,CG,1.0,0.9,0.5977,0.514937,0.999,0.5977,0.6393,0.888,0.18,0.7346
branching,489,4,1,1.72,1.0,0.0,1,CG,1.0,1.0,0.7153,0.604435,0.9984,0.7153,0.5627,0.9828,0.1,0.7913
branching,493,0,-1,-1.0,-1.0,-1.0,-1,CG,1.0,0.0,0.5333,0.351453,0.9908,0.5333,0.0,0.0,1.0,0.4833
coupled_map_lattice,5,13,1,5.07,0.54,0.0,1,CG,1.0,0.54,0.275,0.059743,0.9997,0.275,0.0948,0.5126,0.02,0.4836
coupled_map_lattice,6,11,1,3.0,1.0,0.0,1,CG,1.0,1.0,0.9949,0.183393,0.9999,0.9949,0.1933,0.97,0.02,0.8472
coupled_map_lattice,19,6,1,4.09,0.92,0.0,1,CG,1.0,0.92,0.295,0.093661,0.9995,0.295,0.4596,0.8824,0.04,0.6421
coupled_map_lattice,37,16,1,3.28,1.0,0.0,1,CG,1.0,1.0,0.7304,0.188263,0.9999,0.7304,0.1731,0.9672,0.02,0.7807
coupled_map_lattice,40,11,1,2.6,1.0,0.0,1,CG,1.0,1.0,0.9789,0.203081,0.9999,0.9789,0.2618,0.974,0.02,0.8438
coupled_map_lattice,47,10,1,4.42,0.48,0.0,1,CG,0.7667,0.48,0.33,0.068985,0.9991,0.33,0.3789,0.4588,0.02,0.4277
coupled_map_lattice,49,16,1,3.64,1.0,0.0,1,CG,1.0,1.0,0.8611,0.202587,1.0,0.8611,0.176,0.9636,0.02,0.8128
coupled_map_lattice,56,12,1,3.06,1.0,0.0,1,CG,1.0,1.0,0.9278,0.183164,0.9999,0.9278,0.2592,0.9694,0.02,0.8304
coupled_map_lattice,60,17,1,5.44,1.0,0.0,1,CG,1.0,1.0,0.7755,0.200056,0.9999,0.7755,0.1881,0.9456,0.02,0.7887
coupled_map_lattice,64,4,1,2.03,0.9,0.8113,2,CG,0.9333,0.9,0.7049,0.114802,0.9985,0.7049,1.5188,0.8817,0.06,0.7291
coupled_map_lattice,69,16,1,9.5,0.36,1.371,3,CG,0.1333,0.36,0.1783,0.054455,0.9997,0.1783,0.1838,0.3258,0.02,0.2131
coupled_map_lattice,86,11,1,8.86,0.58,0.0,1,CG,1.0,0.58,0.21,0.056779,0.9998,0.21,0.116,0.5286,0.04,0.4828
coupled_map_lattice,88,5,1,3.75,0.96,0.0,1,CG,1.0,0.96,0.34,0.071085,0.9995,0.34,0.6249,0.924,0.06,0.6726
coupled_map_lattice,93,4,1,4.18,0.85,0.0,1,CG,0.6667,0.85,0.405,0.121688,0.9988,0.405,1.1869,0.8145,0.06,0.5783
coupled_map_lattice,102,9,1,4.06,0.96,0.0,1,CG,1.0,0.96,0.26,0.071429,0.9997,0.26,0.3349,0.921,0.02,0.6462
coupled_map_lattice,103,11,1,2.3,0.86,0.0,1,CG,0.8667,0.86,0.4089,0.098625,0.9989,0.4089,0.6134,0.8402,0.02,0.6196
coupled_map_lattice,107,9,1,4.57,0.88,0.0,1,CG,1.0,0.88,0.23,0.060361,0.9998,0.23,0.3262,0.8398,0.04,0.6095
coupled_map_lattice,126,14,1,3.36,1.0,0.0,1,CG,1.0,1.0,0.437,0.183198,0.9999,0.437,0.1935,0.9664,0.02,0.7072
coupled_map_lattice,128,17,1,5.28,1.0,0.0,1,CG,1.0,1.0,0.9257,0.214064,1.0,0.9257,0.1791,0.9472,0.02,0.8265
coupled_map_lattice,130,8,1,7.16,0.64,0.0,1,CG,1.0,0.64,0.27,0.063784,0.9997,0.27,0.3092,0.5942,0.04,0.5226
coupled_map_lattice,131,9,1,4.94,0.72,0.0,1,CG,1.0,0.72,0.19,0.061788,0.9998,0.19,0.2637,0.6844,0.04,0.5362
coupled_map_lattice,135,10,1,2.88,1.0,0.0,1,CG,1.0,1.0,0.9549,0.203706,0.9999,0.9549,0.3507,0.9712,0.02,0.8374
coupled_map_lattice,137,2,1,2.25,1.0,0.0,1,CG,0.8667,1.0,0.47,0.107073,0.996,0.47,1.2913,0.9775,0.06,0.6965
coupled_map_lattice,145,7,1,5.55,0.94,0.0,1,CG,1.0,0.94,0.25,0.06496,0.9997,0.25,0.1734,0.8878,0.02,0.6337
coupled_map_lattice,150,18,1,5.53,0.98,0.0,1,CG,1.0,0.98,0.4347,0.208394,1.0,0.4347,0.5128,0.9258,0.02,0.6955
coupled_map_lattice,151,18,1,7.26,1.0,0.0,1,CG,1.0,1.0,0.8776,0.252309,1.0,0.8776,0.2939,0.9274,0.02,0.8115
coupled_map_lattice,152,3,1,3.14,0.9667,0.0,1,CG,0.9333,0.9667,0.415,0.094796,0.9976,0.415,1.025,0.9363,0.06,0.6815
coupled_map_lattice,153,15,1,5.86,1.0,0.0,1,CG,1.0,1.0,0.165,0.056522,0.9998,0.165,0.0667,0.9414,0.02,0.6355
coupled_map_lattice,155,13,1,8.35,0.4,0.0,1,CG,1.0,0.4,0.19,0.066822,0.9998,0.19,0.1477,0.3666,0.02,0.4055
coupled_map_lattice,158,11,1,3.02,1.0,0.0,1,CG,1.0,1.0,0.9523,0.206641,0.9999,0.9523,0.1938,0.9698,0.02,0.8365
coupled_map_lattice,159,10,1,2.6,0.96,0.0,1,CG,1.0,0.96,0.7758,0.1577,0.9994,0.7758,0.6846,0.935,0.04,0.7802
coupled_map_lattice,172,7,1,4.59,0.88,0.0,1,CG,1.0,0.88,0.255,0.055994,0.9997,0.255,0.2081,0.8396,0.02,0.6127
coupled_map_lattice,179,17,1,3.66,1.0,0.0,1,CG,1.0,1.0,0.3288,0.146452,1.0,0.3288,0.1022,0.9634,0.02,0.6797
coupled_map_lattice,180,4,1,4.08,0.95,0.0,1,CG,0.9,0.95,0.425,0.127517,0.9977,0.425,1.073,0.9112,0.06,0.6694
coupled_map_lattice,181,18,1,5.54,1.0,0.0,1,CG,1.0,1.0,0.445,0.159789,0.9994,0.445,0.9449,0.9446,0.02,0.7059
coupled_map_lattice,185,12,1,2.12,0.98,0.0,1,CG,0.7,0.98,0.5333,0.138083,0.9989,0.5333,0.4896,0.9592,0.04,0.6682
coupled_map_lattice,186,10,1,2.64,1.0,0.0,1,CG,1.0,1.0,0.7291,0.188665,0.9999,0.7291,0.3123,0.9736,0.02,0.7813
coupled_map_lattice,191,16,1,12.22,0.18,0.7219,2,CG,0.7667,0.18,0.2259,0.058095,0.9995,0.2259,0.0709,0.158,0.02,0.2815
coupled_map_lattice,193,14,1,4.15,0.4,0.0,1,CG,0.3333,0.4,0.2447,0.065906,0.9998,0.2447,0.154,0.3834,0.02,0.2883
coupled_map_lattice,200,8,1,3.13,0.94,0.0,1,CG,1.0,0.94,0.25,0.062473,0.9997,0.25,0.1819,0.9106,0.04,0.6401
coupled_map_lattice,206,10,1,2.33,0.92,0.0,1,CG,0.8667,0.92,0.6375,0.170379,0.9986,0.6375,0.6326,0.8986,0.02,0.7005
coupled_map_lattice,212,3,1,2.48,0.9667,0.0,1,CG,0.4,0.9667,0.335,0.089038,0.9989,0.335,1.0497,0.9427,0.08,0.5588
coupled_map_lattice,213,16,1,3.7,1.0,0.0,1,CG,1.0,1.0,0.5851,0.17601,0.9999,0.5851,0.2805,0.963,0.02,0.7437
coupled_map_lattice,219,12,1,8.8,0.6,0.0,1,CG,1.0,0.6,0.2,0.05581,0.9998,0.2,0.2359,0.5472,0.02,0.4851
coupled_map_lattice,224,15,1,3.87,0.3,1.5219,3,CG,0.8667,0.3,0.341,0.059337,0.998,0.341,0.1942,0.2884,0.02,0.3799
coupled_map_lattice,226,12,1,6.14,1.0,0.0,1,CG,0.9333,1.0,0.4945,0.180544,0.9972,0.4945,3.0729,0.9386,0.02,0.7041
coupled_map_lattice,229,16,1,4.58,1.0,0.0,1,CG,1.0,1.0,0.9907,0.223452,0.9999,0.9907,0.5433,0.9542,0.02,0.8438
coupled_map_lattice,244,15,1,3.8,1.0,0.0,1,CG,1.0,1.0,0.5694,0.184482,0.9996,0.5694,0.5624,0.962,0.02,0.7396
coupled_map_lattice,253,13,1,2.27,0.74,0.7219,2,CG,0.9,0.74,0.3798,0.094657,0.9989,0.3798,0.4924,0.7232,0.02,0.5714
coupled_map_lattice,263,11,1,2.18,1.0,0.0,1,CG,1.0,1.0,0.904,0.179799,1.0,0.904,0.2014,0.9782,0.02,0.8257
coupled_map_lattice,278,15,1,5.5,1.0,0.0,1,CG,1.0,1.0,0.8823,0.18551,0.9996,0.8823,0.6065,0.945,0.02,0.8153
coupled_map_lattice,287,5,1,2.96,0.9,0.0,1,CG,1.0,0.9,0.325,0.077281,0.9995,0.325,0.6454,0.8734,0.04,0.6433
coupled_map_lattice,290,13,1,3.48,1.0,0.0,1,CG,1.0,1.0,0.879,0.183982,1.0,0.879,0.1907,0.9652,0.02,0.8175
coupled_map_lattice,296,19,1,6.84,1.0,0.0,1,CG,1.0,1.0,0.4514,0.203064,0.9999,0.4514,0.4433,0.9316,0.02,0.7056
coupled_map_lattice,299,11,1,3.58,1.0,0.0,1,CG,1.0,1.0,0.949,0.187529,1.0,0.949,0.2487,0.9642,0.02,0.8349
coupled_map_lattice,302,1,1,4.89,0.9,0.0,1,CG,0.8667,0.9,0.68,0.172481,0.996,0.68,2.2964,0.856,0.06,0.7057
coupled_map_lattice,308,15,1,3.88,0.32,1.5219,3,CG,0.4667,0.32,0.1603,0.059653,0.9995,0.1603,0.8684,0.3076,0.02,0.2625
coupled_map_lattice,316,10,1,2.11,0.92,0.7219,2,CG,0.7667,0.92,0.6039,0.143825,0.9985,0.6039,0.7626,0.9006,0.02,0.6724
coupled_map_lattice,319,16,1,4.0,0.28,0.971,2,CG,0.3,0.28,0.1934,0.07837,0.9997,0.1934,0.5689,0.2688,0.02,0.2217
