domain_A,domain_B,operator_A,operator_B,property,val_A,val_B,identity_retention
coupled_map_lattice,gray_scott,additive,recursive_feedback,org_memory,0.2613,0.7321,0.3569
coupled_map_lattice,gray_scott,additive,recursive_feedback,transition_smoothness,0.9998,0.9996,0.9999
coupled_map_lattice,gray_scott,additive,recursive_feedback,closure_persistence,0.2613,0.7321,0.3569
coupled_map_lattice,gray_scott,additive,recursive_feedback,trajectory_coherence,0.0049,0.0183,0.267
coupled_map_lattice,gray_scott,additive,recursive_feedback,recursive_identity_score,0.2902,0.4857,0.5975
coupled_map_lattice,kuramoto,additive,recursive_feedback,recursive_continuity,0.846,0.9617,0.8797
coupled_map_lattice,kuramoto,additive,recursive_feedback,reconstruction_ability,0.1397,0.324,0.4311
coupled_map_lattice,kuramoto,additive,recursive_feedback,org_memory,0.2613,0.5897,0.4431
coupled_map_lattice,kuramoto,additive,recursive_feedback,transition_smoothness,0.9998,0.9999,0.9999
coupled_map_lattice,kuramoto,additive,recursive_feedback,closure_persistence,0.2613,0.5897,0.4431
coupled_map_lattice,kuramoto,additive,recursive_feedback,trajectory_coherence,0.0049,0.0176,0.2773
coupled_map_lattice,kuramoto,additive,recursive_feedback,recursive_identity_score,0.2902,0.4691,0.6187
graph_diffusion,gray_scott,additive,recursive_feedback,recursive_continuity,0.9917,0.9054,0.9129
graph_diffusion,gray_scott,additive,recursive_feedback,reconstruction_ability,0.0,0.3047,0.0
graph_diffusion,gray_scott,additive,recursive_feedback,org_memory,0.0008,0.7321,0.0011
graph_diffusion,gray_scott,additive,recursive_feedback,transition_smoothness,1.0,0.9996,0.9996
graph_diffusion,gray_scott,additive,recursive_feedback,closure_persistence,0.0008,0.7321,0.0011
graph_diffusion,gray_scott,additive,recursive_feedback,trajectory_coherence,0.0,0.0183,0.0
graph_diffusion,gray_scott,additive,recursive_feedback,recursive_identity_score,0.1985,0.4857,0.4087
graph_diffusion,kuramoto,additive,recursive_feedback,recursive_continuity,0.9917,0.9617,0.9697
graph_diffusion,kuramoto,additive,recursive_feedback,reconstruction_ability,0.0,0.324,0.0
graph_diffusion,kuramoto,additive,recursive_feedback,org_memory,0.0008,0.5897,0.0014
graph_diffusion,kuramoto,additive,recursive_feedback,transition_smoothness,1.0,0.9999,0.9999
graph_diffusion,kuramoto,additive,recursive_feedback,closure_persistence,0.0008,0.5897,0.0014
graph_diffusion,kuramoto,additive,recursive_feedback,trajectory_coherence,0.0,0.0176,0.0
graph_diffusion,kuramoto,additive,recursive_feedback,recursive_identity_score,0.1985,0.4691,0.4232
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,recursive_continuity,0.846,0.9917,0.8531
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,reconstruction_ability,0.1397,0.0,0.0
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,org_memory,0.2613,0.0008,0.0031
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,transition_smoothness,0.9998,1.0,0.9998
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,closure_persistence,0.2613,0.0008,0.0031
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,trajectory_coherence,0.0049,0.0,0.0
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,recursive_identity_score,0.2902,0.1985,0.684
coupled_map_lattice,replicator,additive,competitive_exclusion,recursive_continuity,0.846,0.9397,0.9003
coupled_map_lattice,replicator,additive,competitive_exclusion,reconstruction_ability,0.1397,0.0,0.0
coupled_map_lattice,replicator,additive,competitive_exclusion,org_memory,0.2613,0.0199,0.0763
coupled_map_lattice,replicator,additive,competitive_exclusion,transition_smoothness,0.9998,1.0,0.9998
coupled_map_lattice,replicator,additive,competitive_exclusion,closure_persistence,0.2613,0.0199,0.0763
coupled_map_lattice,replicator,additive,competitive_exclusion,trajectory_coherence,0.0049,0.0,0.0
coupled_map_lattice,replicator,additive,competitive_exclusion,recursive_identity_score,0.2902,0.1929,0.6647
graph_diffusion,replicator,additive,competitive_exclusion,recursive_continuity,0.9917,0.9397,0.9475
graph_diffusion,replicator,additive,competitive_exclusion,reconstruction_ability,0.0,0.0,1.0
graph_diffusion,replicator,additive,competitive_exclusion,org_memory,0.0008,0.0199,0.0401
graph_diffusion,replicator,additive,competitive_exclusion,transition_smoothness,1.0,1.0,1.0
graph_diffusion,replicator,additive,competitive_exclusion,closure_persistence,0.0008,0.0199,0.0401
graph_diffusion,replicator,additive,competitive_exclusion,trajectory_coherence,0.0,0.0,1.0
graph_diffusion,replicator,additive,competitive_exclusion,recursive_identity_score,0.1985,0.1929,0.9717
coupled_map_lattice,cellular_automata,additive,diffusion,recursive_continuity,0.846,0.9465,0.8938
coupled_map_lattice,cellular_automata,additive,diffusion,reconstruction_ability,0.1397,0.0,0.0
coupled_map_lattice,cellular_automata,additive,diffusion,org_memory,0.2613,0.0845,0.3234
coupled_map_lattice,cellular_automata,additive,diffusion,transition_smoothness,0.9998,1.0,0.9998
coupled_map_lattice,cellular_automata,additive,diffusion,closure_persistence,0.2613,0.0845,0.3234
coupled_map_lattice,cellular_automata,additive,diffusion,trajectory_coherence,0.0049,0.0,0.0
coupled_map_lattice,cellular_automata,additive,diffusion,recursive_identity_score,0.2902,0.2104,0.725
graph_diffusion,cellular_automata,additive,diffusion,recursive_continuity,0.9917,0.9465,0.9544
graph_diffusion,cellular_automata,additive,diffusion,reconstruction_ability,0.0,0.0,1.0
graph_diffusion,cellular_automata,additive,diffusion,org_memory,0.0008,0.0845,0.0095
graph_diffusion,cellular_automata,additive,diffusion,transition_smoothness,1.0,1.0,1.0
graph_diffusion,cellular_automata,additive,diffusion,closure_persistence,0.0008,0.0845,0.0095
graph_diffusion,cellular_automata,additive,diffusion,trajectory_coherence,0.0,0.0,1.0
graph_diffusion,cellular_automata,additive,diffusion,recursive_identity_score,0.1985,0.2104,0.9434
graph_diffusion,coupled_map_lattice,additive,diffusion,recursive_continuity,0.9917,0.846,0.8531
graph_diffusion,coupled_map_lattice,additive,diffusion,reconstruction_ability,0.0,0.1397,0.0
graph_diffusion,coupled_map_lattice,additive,diffusion,org_memory,0.0008,0.2613,0.0031
graph_diffusion,coupled_map_lattice,additive,diffusion,transition_smoothness,1.0,0.9998,0.9998
graph_diffusion,coupled_map_lattice,additive,diffusion,closure_persistence,0.0008,0.2613,0.0031
graph_diffusion,coupled_map_lattice,additive,diffusion,trajectory_coherence,0.0,0.0049,0.0
graph_diffusion,coupled_map_lattice,additive,diffusion,recursive_identity_score,0.1985,0.2902,0.684
coupled_map_lattice,population,additive,hierarchical_nesting,recursive_continuity,0.846,0.8583,0.9857
coupled_map_lattice,population,additive,hierarchical_nesting,reconstruction_ability,0.1397,0.1643,0.85
coupled_map_lattice,population,additive,hierarchical_nesting,org_memory,0.2613,0.3661,0.7136
coupled_map_lattice,population,additive,hierarchical_nesting,transition_smoothness,0.9998,0.9998,1.0
coupled_map_lattice,population,additive,hierarchical_nesting,closure_persistence,0.2613,0.3661,0.7136
coupled_map_lattice,population,additive,hierarchical_nesting,trajectory_coherence,0.0049,0.0169,0.2884
coupled_map_lattice,population,additive,hierarchical_nesting,recursive_identity_score,0.2902,0.3296,0.8806
graph_diffusion,population,additive,hierarchical_nesting,recursive_continuity,0.9917,0.8583,0.8654
graph_diffusion,population,additive,hierarchical_nesting,reconstruction_ability,0.0,0.1643,0.0
graph_diffusion,population,additive,hierarchical_nesting,org_memory,0.0008,0.3661,0.0022
graph_diffusion,population,additive,hierarchical_nesting,transition_smoothness,1.0,0.9998,0.9998
graph_diffusion,population,additive,hierarchical_nesting,closure_persistence,0.0008,0.3661,0.0022
graph_diffusion,population,additive,hierarchical_nesting,trajectory_coherence,0.0,0.0169,0.0
graph_diffusion,population,additive,hierarchical_nesting,recursive_identity_score,0.1985,0.3296,0.6024
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,recursive_continuity,0.9917,0.846,0.8531
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,reconstruction_ability,0.0,0.1397,0.0
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,org_memory,0.0008,0.2613,0.0031
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,transition_smoothness,1.0,0.9998,0.9998
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,closure_persistence,0.0008,0.2613,0.0031
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,trajectory_coherence,0.0,0.0049,0.0
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,recursive_identity_score,0.1985,0.2902,0.684
coupled_map_lattice,cellular_automata,additive,constraint_propagation,recursive_continuity,0.846,0.9465,0.8938
coupled_map_lattice,cellular_automata,additive,constraint_propagation,reconstruction_ability,0.1397,0.0,0.0
coupled_map_lattice,cellular_automata,additive,constraint_propagation,org_memory,0.2613,0.0845,0.3234
coupled_map_lattice,cellular_automata,additive,constraint_propagation,transition_smoothness,0.9998,1.0,0.9998
coupled_map_lattice,cellular_automata,additive,constraint_propagation,closure_persistence,0.2613,0.0845,0.3234
coupled_map_lattice,cellular_automata,additive,constraint_propagation,trajectory_coherence,0.0049,0.0,0.0
coupled_map_lattice,cellular_automata,additive,constraint_propagation,recursive_identity_score,0.2902,0.2104,0.725
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,recursive_continuity,0.9917,0.846,0.8531
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,reconstruction_ability,0.0,0.1397,0.0
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,org_memory,0.0008,0.2613,0.0031
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,transition_smoothness,1.0,0.9998,0.9998
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,closure_persistence,0.0008,0.2613,0.0031
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,trajectory_coherence,0.0,0.0049,0.0
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,recursive_identity_score,0.1985,0.2902,0.684
graph_diffusion,cellular_automata,additive,constraint_propagation,recursive_continuity,0.9917,0.9465,0.9544
graph_diffusion,cellular_automata,additive,constraint_propagation,reconstruction_ability,0.0,0.0,1.0
graph_diffusion,cellular_automata,additive,constraint_propagation,org_memory,0.0008,0.0845,0.0095
graph_diffusion,cellular_automata,additive,constraint_propagation,transition_smoothness,1.0,1.0,1.0
graph_diffusion,cellular_automata,additive,constraint_propagation,closure_persistence,0.0008,0.0845,0.0095
graph_diffusion,cellular_automata,additive,constraint_propagation,trajectory_coherence,0.0,0.0,1.0
graph_diffusion,cellular_automata,additive,constraint_propagation,recursive_identity_score,0.1985,0.2104,0.9434
coupled_map_lattice,gray_scott,additive,resonance_locking,recursive_continuity,0.846,0.9054,0.9344
coupled_map_lattice,gray_scott,additive,resonance_locking,reconstruction_ability,0.1397,0.3047,0.4583
coupled_map_lattice,gray_scott,additive,resonance_locking,org_memory,0.2613,0.7321,0.3569
coupled_map_lattice,gray_scott,additive,resonance_locking,transition_smoothness,0.9998,0.9996,0.9999
coupled_map_lattice,gray_scott,additive,resonance_locking,closure_persistence,0.2613,0.7321,0.3569
coupled_map_lattice,gray_scott,additive,resonance_locking,trajectory_coherence,0.0049,0.0183,0.267
coupled_map_lattice,gray_scott,additive,resonance_locking,recursive_identity_score,0.2902,0.4857,0.5975
coupled_map_lattice,kuramoto,additive,resonance_locking,recursive_continuity,0.846,0.9617,0.8797
coupled_map_lattice,kuramoto,additive,resonance_locking,reconstruction_ability,0.1397,0.324,0.4311
coupled_map_lattice,kuramoto,additive,resonance_locking,org_memory,0.2613,0.5897,0.4431
coupled_map_lattice,kuramoto,additive,resonance_locking,transition_smoothness,0.9998,0.9999,0.9999
coupled_map_lattice,kuramoto,additive,resonance_locking,closure_persistence,0.2613,0.5897,0.4431
coupled_map_lattice,kuramoto,additive,resonance_locking,trajectory_coherence,0.0049,0.0176,0.2773
coupled_map_lattice,kuramoto,additive,resonance_locking,recursive_identity_score,0.2902,0.4691,0.6187
graph_diffusion,gray_scott,additive,resonance_locking,recursive_continuity,0.9917,0.9054,0.9129
graph_diffusion,gray_scott,additive,resonance_locking,reconstruction_ability,0.0,0.3047,0.0
graph_diffusion,gray_scott,additive,resonance_locking,org_memory,0.0008,0.7321,0.0011
graph_diffusion,gray_scott,additive,resonance_locking,transition_smoothness,1.0,0.9996,0.9996
graph_diffusion,gray_scott,additive,resonance_locking,closure_persistence,0.0008,0.7321,0.0011
graph_diffusion,gray_scott,additive,resonance_locking,trajectory_coherence,0.0,0.0183,0.0
graph_diffusion,gray_scott,additive,resonance_locking,recursive_identity_score,0.1985,0.4857,0.4087
graph_diffusion,kuramoto,additive,resonance_locking,recursive_continuity,0.9917,0.9617,0.9697
graph_diffusion,kuramoto,additive,resonance_locking,reconstruction_ability,0.0,0.324,0.0
graph_diffusion,kuramoto,additive,resonance_locking,org_memory,0.0008,0.5897,0.0014
graph_diffusion,kuramoto,additive,resonance_locking,transition_smoothness,1.0,0.9999,0.9999
graph_diffusion,kuramoto,additive,resonance_locking,closure_persistence,0.0008,0.5897,0.0014
graph_diffusion,kuramoto,additive,resonance_locking,trajectory_coherence,0.0,0.0176,0.0
graph_diffusion,kuramoto,additive,resonance_locking,recursive_identity_score,0.1985,0.4691,0.4232
gray_scott,lotka_volterra,multiplicative,branching,recursive_continuity,0.9054,0.9536,0.9495
gray_scott,lotka_volterra,multiplicative,branching,reconstruction_ability,0.3047,0.0,0.0
gray_scott,lotka_volterra,multiplicative,branching,org_memory,0.7321,0.1048,0.1432
gray_scott,lotka_volterra,multiplicative,branching,transition_smoothness,0.9996,0.9999,0.9998
gray_scott,lotka_volterra,multiplicative,branching,closure_persistence,0.7321,0.1048,0.1432
gray_scott,lotka_volterra,multiplicative,branching,trajectory_coherence,0.0183,0.0,0.0
gray_scott,lotka_volterra,multiplicative,branching,recursive_identity_score,0.4857,0.2169,0.4466
gray_scott,cellular_automata,multiplicative,branching,recursive_continuity,0.9054,0.9465,0.9565
gray_scott,cellular_automata,multiplicative,branching,reconstruction_ability,0.3047,0.0,0.0
gray_scott,cellular_automata,multiplicative,branching,org_memory,0.7321,0.0845,0.1154
gray_scott,cellular_automata,multiplicative,branching,transition_smoothness,0.9996,1.0,0.9997
gray_scott,cellular_automata,multiplicative,branching,closure_persistence,0.7321,0.0845,0.1154
gray_scott,cellular_automata,multiplicative,branching,trajectory_coherence,0.0183,0.0,0.0
gray_scott,cellular_automata,multiplicative,branching,recursive_identity_score,0.4857,0.2104,0.4332
graph_diffusion,lotka_volterra,multiplicative,branching,recursive_continuity,0.9917,0.9536,0.9615
graph_diffusion,lotka_volterra,multiplicative,branching,reconstruction_ability,0.0,0.0,1.0
graph_diffusion,lotka_volterra,multiplicative,branching,org_memory,0.0008,0.1048,0.0076
graph_diffusion,lotka_volterra,multiplicative,branching,transition_smoothness,1.0,0.9999,0.9999
graph_diffusion,lotka_volterra,multiplicative,branching,closure_persistence,0.0008,0.1048,0.0076
graph_diffusion,lotka_volterra,multiplicative,branching,trajectory_coherence,0.0,0.0,1.0
graph_diffusion,lotka_volterra,multiplicative,branching,recursive_identity_score,0.1985,0.2169,0.9152
graph_diffusion,cellular_automata,multiplicative,branching,recursive_continuity,0.9917,0.9465,0.9544
graph_diffusion,cellular_automata,multiplicative,branching,reconstruction_ability,0.0,0.0,1.0
graph_diffusion,cellular_automata,multiplicative,branching,org_memory,0.0008,0.0845,0.0095
graph_diffusion,cellular_automata,multiplicative,branching,transition_smoothness,1.0,1.0,1.0
graph_diffusion,cellular_automata,multiplicative,branching,closure_persistence,0.0008,0.0845,0.0095
graph_diffusion,cellular_automata,multiplicative,branching,trajectory_coherence,0.0,0.0,1.0
graph_diffusion,cellular_automata,multiplicative,branching,recursive_identity_score,0.1985,0.2104,0.9434
gray_scott,graph_diffusion,multiplicative,synchronization,recursive_continuity,0.9054,0.9917,0.9129
gray_scott,graph_diffusion,multiplicative,synchronization,reconstruction_ability,0.3047,0.0,0.0
gray_scott,graph_diffusion,multiplicative,synchronization,org_memory,0.7321,0.0008,0.0011
gray_scott,graph_diffusion,multiplicative,synchronization,transition_smoothness,0.9996,1.0,0.9996
gray_scott,graph_diffusion,multiplicative,synchronization,closure_persistence,0.7321,0.0008,0.0011
gray_scott,graph_diffusion,multiplicative,synchronization,trajectory_coherence,0.0183,0.0,0.0
gray_scott,graph_diffusion,multiplicative,synchronization,recursive_identity_score,0.4857,0.1985,0.4087
gray_scott,coupled_map_lattice,multiplicative,synchronization,recursive_continuity,0.9054,0.846,0.9344
gray_scott,coupled_map_lattice,multiplicative,synchronization,reconstruction_ability,0.3047,0.1397,0.4583
gray_scott,coupled_map_lattice,multiplicative,synchronization,org_memory,0.7321,0.2613,0.3569
gray_scott,coupled_map_lattice,multiplicative,synchronization,transition_smoothness,0.9996,0.9998,0.9999
gray_scott,coupled_map_lattice,multiplicative,synchronization,closure_persistence,0.7321,0.2613,0.3569
gray_scott,coupled_map_lattice,multiplicative,synchronization,trajectory_coherence,0.0183,0.0049,0.267
gray_scott,coupled_map_lattice,multiplicative,synchronization,recursive_identity_score,0.4857,0.2902,0.5975
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,recursive_continuity,0.9917,0.846,0.8531
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,reconstruction_ability,0.0,0.1397,0.0
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,org_memory,0.0008,0.2613,0.0031
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,transition_smoothness,1.0,0.9998,0.9998
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,closure_persistence,0.0008,0.2613,0.0031
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,trajectory_coherence,0.0,0.0049,0.0
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,recursive_identity_score,0.1985,0.2902,0.684
gray_scott,kuramoto,multiplicative,recursive_feedback,recursive_continuity,0.9054,0.9617,0.9414
gray_scott,kuramoto,multiplicative,recursive_feedback,reconstruction_ability,0.3047,0.324,0.9405
gray_scott,kuramoto,multiplicative,recursive_feedback,org_memory,0.7321,0.5897,0.8054
gray_scott,kuramoto,multiplicative,recursive_feedback,transition_smoothness,0.9996,0.9999,0.9998
gray_scott,kuramoto,multiplicative,recursive_feedback,closure_persistence,0.7321,0.5897,0.8054
gray_scott,kuramoto,multiplicative,recursive_feedback,trajectory_coherence,0.0183,0.0176,0.9628
gray_scott,kuramoto,multiplicative,recursive_feedback,recursive_identity_score,0.4857,0.4691,0.9658
graph_diffusion,gray_scott,multiplicative,recursive_feedback,recursive_continuity,0.9917,0.9054,0.9129
graph_diffusion,gray_scott,multiplicative,recursive_feedback,reconstruction_ability,0.0,0.3047,0.0
graph_diffusion,gray_scott,multiplicative,recursive_feedback,org_memory,0.0008,0.7321,0.0011
graph_diffusion,gray_scott,multiplicative,recursive_feedback,transition_smoothness,1.0,0.9996,0.9996
graph_diffusion,gray_scott,multiplicative,recursive_feedback,closure_persistence,0.0008,0.7321,0.0011
graph_diffusion,gray_scott,multiplicative,recursive_feedback,trajectory_coherence,0.0,0.0183,0.0
graph_diffusion,gray_scott,multiplicative,recursive_feedback,recursive_identity_score,0.1985,0.4857,0.4087
graph_diffusion,kuramoto,multiplicative,recursive_feedback,recursive_continuity,0.9917,0.9617,0.9697
graph_diffusion,kuramoto,multiplicative,recursive_feedback,reconstruction_ability,0.0,0.324,0.0
graph_diffusion,kuramoto,multiplicative,recursive_feedback,org_memory,0.0008,0.5897,0.0014
graph_diffusion,kuramoto,multiplicative,recursive_feedback,transition_smoothness,1.0,0.9999,0.9999
graph_diffusion,kuramoto,multiplicative,recursive_feedback,closure_persistence,0.0008,0.5897,0.0014
graph_diffusion,kuramoto,multiplicative,recursive_feedback,trajectory_coherence,0.0,0.0176,0.0
graph_diffusion,kuramoto,multiplicative,recursive_feedback,recursive_identity_score,0.1985,0.4691,0.4232
gray_scott,graph_diffusion,multiplicative,competitive_exclusion,recursive_continuity,0.9054,0.9917,0.9129
gray_scott,graph_diffusion,multiplicative,competitive_exclusion,reconstruction_ability,0.3047,0.0,0.0
gray_scott,graph_diffusion,multiplicative,competitive_exclusion,org_memory,0.7321,0.0008,0.0011
gray_scott,graph_diffusion,multiplicative,competitive_exclusion,transition_smoothness,0.9996,1.0,0.9996
gray_scott,graph_diffusion,multiplicative,competitive_exclusion,closure_persistence,0.7321,0.0008,0.0011
gray_scott,graph_diffusion,multiplicative,competitive_exclusion,trajectory_coherence,0.0183,0.0,0.0
gray_scott,graph_diffusion,multiplicative,competitive_exclusion,recursive_identity_score,0.4857,0.1985,0.4087
gray_scott,replicator,multiplicative,competitive_exclusion,recursive_continuity,0.9054,0.9397,0.9635
gray_scott,replicator,multiplicative,competitive_exclusion,reconstruction_ability,0.3047,0.0,0.0
gray_scott,replicator,multiplicative,competitive_exclusion,org_memory,0.7321,0.0199,0.0272
gray_scott,replicator,multiplicative,competitive_exclusion,transition_smoothness,0.9996,1.0,0.9997
gray_scott,replicator,multiplicative,competitive_exclusion,closure_persistence,0.7321,0.0199,0.0272
gray_scott,replicator,multiplicative,competitive_exclusion,trajectory_coherence,0.0183,0.0,0.0
gray_scott,replicator,multiplicative,competitive_exclusion,recursive_identity_score,0.4857,0.1929,0.3972
graph_diffusion,replicator,multiplicative,competitive_exclusion,recursive_continuity,0.9917,0.9397,0.9475
graph_diffusion,replicator,multiplicative,competitive_exclusion,reconstruction_ability,0.0,0.0,1.0
graph_diffusion,replicator,multiplicative,competitive_exclusion,org_memory,0.0008,0.0199,0.0401
graph_diffusion,replicator,multiplicative,competitive_exclusion,transition_smoothness,1.0,1.0,1.0
graph_diffusion,replicator,multiplicative,competitive_exclusion,closure_persistence,0.0008,0.0199,0.0401
