domain,sys_idx,process_regime,recursive_continuity,reconstruction_ability,org_memory,transition_continuity,transition_smoothness,closure_persistence,adaptive_continuity,recovery_identity,trajectory_coherence,recursive_identity_score
branching,29,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,30,CG,1.0,0.0,0.2,0.108979,0.9999,0.2,0.0,0.0,1.0,0.4
branching,31,CH,1.0,0.0,0.3289,0.07592,0.9975,0.3289,0.0,0.0,0.0,0.2822
branching,32,CH,1.0,0.0,0.3965,0.262706,0.9996,0.3965,0.0,0.0,0.0,0.2991
branching,33,CH,1.0,0.0,0.3966,0.234505,0.996,0.3966,0.0,0.0,0.0,0.2991
branching,34,CG,1.0,0.0,0.3333,0.151193,0.9999,0.3333,0.0,0.0,1.0,0.4333
branching,35,CH,1.0,0.0,0.4628,0.379936,0.999,0.4628,0.0,0.0,0.0,0.3157
branching,36,CH,1.0,0.0,0.3302,0.166972,0.9972,0.3302,0.0,0.0,0.0,0.2825
branching,37,CG,1.0,0.0,0.2,0.118697,0.9932,0.2,0.0,0.0,1.0,0.4
branching,38,CH,1.0,0.0,0.5295,0.37708,0.9995,0.5295,0.0,0.0,0.0,0.3324
branching,39,CG,1.0,0.0,0.6497,0.537522,0.9982,0.6497,0.0,0.0,0.24,0.3984
branching,40,CG,1.0,0.0,0.5999,0.481982,0.999,0.5999,0.0,0.0,0.14,0.371
branching,41,CH,1.0,0.0,0.331,0.165367,0.9967,0.331,0.0,0.0,0.0,0.2827
branching,42,CL,0.9667,0.0,0.0,0.003459,0.9551,0.0,0.0,0.0,0.0,0.1933
branching,43,CH,1.0,0.0,0.3278,0.176184,0.9967,0.3278,0.0,0.0,0.0,0.2819
branching,44,CH,1.0,0.0,0.3988,0.26751,0.9996,0.3988,0.0,0.0,0.0,0.2997
branching,45,CG,1.0,0.0,0.6625,0.540962,0.9989,0.6625,0.0,0.0,0.26,0.4046
branching,46,CH,1.0,0.0,0.4654,0.293934,0.9997,0.4654,0.0,0.0,0.0,0.3164
branching,47,CH,1.0,0.0,0.5317,0.354268,0.9994,0.5317,0.0,0.0,0.0,0.3329
branching,48,CH,1.0,0.0,0.4625,0.345432,0.9996,0.4625,0.0,0.0,0.0,0.3156
branching,49,CH,1.0,0.0,0.3985,0.231577,0.9993,0.3985,0.0,0.0,0.0,0.2996
branching,50,CH,1.0,0.0,0.4602,0.367096,0.9994,0.4602,0.0,0.0,0.0,0.3151
branching,51,CH,1.0,0.0,0.3952,0.258757,0.9995,0.3952,0.0,0.0,0.0,0.2988
branching,52,CH,1.0,0.0,0.3986,0.255042,0.9995,0.3986,0.0,0.0,0.0,0.2996
branching,53,CH,1.0,0.0,0.4625,0.309198,0.9995,0.4625,0.0,0.0,0.0,0.3156
branching,54,CH,1.0,0.0,0.3955,0.262821,0.9996,0.3955,0.0,0.0,0.0,0.2989
branching,55,CG,1.0,1.0,0.4,0.185975,0.9999,0.4,1.4781,0.99,1.0,0.8485
branching,56,CL,0.7,0.0,0.0,0.006268,0.9651,0.0,0.0,0.0,0.0,0.14
branching,57,CH,1.0,0.0,0.4639,0.307559,0.9997,0.4639,0.0,0.0,0.0,0.316
branching,58,CL,0.5,0.0,0.4,0.002286,0.9997,0.4,0.0,0.0,0.0,0.2
branching,59,CG,1.0,0.0,0.6651,0.539723,0.9989,0.6651,0.0,0.0,0.3,0.4113
branching,60,CH,1.0,0.0,0.4654,0.315195,0.9996,0.4654,0.0,0.0,0.0,0.3164
branching,61,CG,1.0,0.14,0.5201,0.465117,0.998,0.5201,0.0594,0.1386,0.02,0.3888
branching,62,CG,1.0,0.9,0.5984,0.509841,0.999,0.5984,0.7162,0.891,0.14,0.7292
branching,63,CH,1.0,0.0,0.3987,0.290888,0.999,0.3987,0.0,0.0,0.0,0.2997
branching,64,CH,1.0,0.0,0.4601,0.316827,0.9995,0.4601,0.0,0.0,0.0,0.315
branching,65,CH,1.0,0.0,0.3953,0.342097,0.9986,0.3953,0.0,0.0,0.0,0.2988
branching,66,CH,1.0,0.0,0.4655,0.315766,0.9995,0.4655,0.0,0.0,0.0,0.3164
branching,67,CG,1.0,0.85,0.5786,0.490991,0.9981,0.5786,0.2908,0.8395,0.32,0.7311
branching,68,CH,1.0,0.0,0.3972,0.261903,0.9996,0.3972,0.0,0.0,0.0,0.2993
branching,69,CH,1.0,0.0,0.3313,0.105772,0.9971,0.3313,0.0,0.0,0.0,0.2828
branching,70,CG,1.0,0.34,0.5134,0.438589,0.9977,0.5134,0.1518,0.3364,0.04,0.4698
branching,71,CH,1.0,0.0,0.5297,0.362874,0.9994,0.5297,0.0,0.0,0.0,0.3324
branching,72,CG,1.0,1.0,0.4667,0.222388,0.9999,0.4667,1.4867,0.99,1.0,0.8652
branching,73,CG,1.0,0.0,0.4,0.260187,0.9911,0.4,0.0,0.0,1.0,0.45
branching,74,CL,0.9667,0.0,0.0,0.005663,0.9539,0.0,0.0,0.0,0.0,0.1933
branching,75,CH,0.7333,0.0,0.4878,0.405353,0.9718,0.4878,0.0,0.0,0.0,0.2686
branching,76,CG,1.0,0.9,0.5893,0.446532,0.9977,0.5893,0.205,0.8905,0.18,0.7329
branching,77,CH,1.0,0.0,0.3311,0.19843,0.9986,0.3311,0.0,0.0,0.0,0.2828
branching,78,CH,1.0,0.0,0.3996,0.249051,0.9996,0.3996,0.0,0.0,0.0,0.2999
branching,79,CH,1.0,0.0,0.5276,0.321992,0.9977,0.5276,0.0,0.0,0.0,0.3319
branching,80,CH,1.0,0.0,0.4644,0.285264,0.9996,0.4644,0.0,0.0,0.0,0.3161
branching,81,CH,1.0,0.0,0.466,0.313742,0.9994,0.466,0.0,0.0,0.0,0.3165
branching,82,CH,0.9667,0.0,0.2449,0.178148,0.9567,0.2449,0.0,0.0,0.0,0.2546
branching,83,CH,1.0,0.0,0.4636,0.287153,0.9994,0.4636,0.0,0.0,0.0,0.3159
branching,84,CH,1.0,0.0,0.5302,0.367552,0.9993,0.5302,0.0,0.0,0.0,0.3325
branching,85,CG,1.0,1.0,0.4,0.199629,0.9999,0.4,1.2783,0.99,1.0,0.8485
branching,86,CL,0.7,0.0,0.0,0.005117,0.9891,0.0,0.0,0.0,0.0,0.14
branching,87,CH,1.0,0.0,0.4556,0.342131,0.999,0.4556,0.0,0.0,0.0,0.3139
branching,88,CH,1.0,0.0,0.5254,0.371946,0.9996,0.5254,0.0,0.0,0.0,0.3314
branching,89,CH,1.0,0.0,0.394,0.26303,0.9987,0.394,0.0,0.0,0.0,0.2985
branching,90,CH,1.0,0.0,0.5272,0.34141,0.9993,0.5272,0.0,0.0,0.0,0.3318
branching,91,CH,1.0,0.0,0.3233,0.169213,0.9969,0.3233,0.0,0.0,0.0,0.2808
branching,92,CH,1.0,0.0,0.4622,0.338195,0.9997,0.4622,0.0,0.0,0.0,0.3156
branching,93,CH,1.0,0.0,0.5264,0.351888,0.9994,0.5264,0.0,0.0,0.0,0.3316
branching,94,CH,1.0,0.0,0.3968,0.27721,0.9995,0.3968,0.0,0.0,0.0,0.2992
branching,95,CH,1.0,0.0,0.3959,0.271757,0.9996,0.3959,0.0,0.0,0.0,0.299
branching,96,CG,1.0,0.0,0.8,0.644234,0.9916,0.8,0.0,0.0,1.0,0.55
branching,97,CH,1.0,0.0,0.4648,0.304718,0.9997,0.4648,0.0,0.0,0.0,0.3162
branching,98,CH,1.0,0.0,0.3833,0.187088,0.9965,0.3833,0.0,0.0,0.0,0.2958
branching,99,CG,1.0,0.0,0.6602,0.562574,0.9989,0.6602,0.0,0.0,0.34,0.416
branching,100,CH,1.0,0.0,0.4609,0.296763,0.9994,0.4609,0.0,0.0,0.0,0.3152
branching,101,CH,1.0,0.0,0.399,0.253197,0.9994,0.399,0.0,0.0,0.0,0.2997
branching,102,CH,1.0,0.0,0.3984,0.252967,0.9996,0.3984,0.0,0.0,0.0,0.2996
branching,103,CH,1.0,0.0,0.466,0.302252,0.9996,0.466,0.0,0.0,0.0,0.3165
branching,104,CG,1.0,1.0,0.4,0.196109,0.9999,0.4,1.6689,0.99,1.0,0.8485
branching,105,CG,1.0,0.0,0.6486,0.594955,0.9989,0.6486,0.0,0.0,0.26,0.4012
branching,106,CH,1.0,0.0,0.3294,0.189501,0.9987,0.3294,0.0,0.0,0.0,0.2823
branching,107,CH,1.0,0.0,0.331,0.173705,0.9985,0.331,0.0,0.0,0.0,0.2828
branching,108,CG,1.0,0.0,0.3333,0.237557,0.9919,0.3333,0.0,0.0,1.0,0.4333
branching,109,CH,0.9667,0.0,0.1744,0.238459,0.9557,0.1744,0.0,0.0,0.0,0.2369
branching,110,CH,1.0,0.0,0.5953,0.408259,0.9993,0.5953,0.0,0.0,0.0,0.3488
branching,111,CH,1.0,0.0,0.3291,0.142883,0.9986,0.3291,0.0,0.0,0.0,0.2823
branching,112,CH,1.0,0.0,0.4622,0.395068,0.9994,0.4622,0.0,0.0,0.0,0.3155
branching,113,CG,1.0,0.0,0.8667,0.59364,0.9914,0.8667,0.0,0.0,0.3,0.4617
branching,114,CG,1.0,1.0,0.9333,0.86585,0.9927,0.9333,5.9745,0.9466,0.12,0.8433
branching,115,CH,1.0,0.0,0.463,0.352969,0.9994,0.463,0.0,0.0,0.0,0.3158
branching,116,CH,1.0,0.0,0.3972,0.25171,0.9993,0.3972,0.0,0.0,0.0,0.2993
branching,117,CH,1.0,0.0,0.3976,0.216246,0.9987,0.3976,0.0,0.0,0.0,0.2994
branching,118,CH,1.0,0.0,0.4597,0.344085,0.9996,0.4597,0.0,0.0,0.0,0.3149
branching,119,CH,1.0,0.0,0.3305,0.198135,0.9986,0.3305,0.0,0.0,0.0,0.2826
branching,120,CH,1.0,0.0,0.4635,0.360639,0.9993,0.4635,0.0,0.0,0.0,0.3159
branching,121,CH,1.0,0.0,0.4612,0.344497,0.9996,0.4612,0.0,0.0,0.0,0.3153
branching,122,CG,1.0,0.12,0.5226,0.454457,0.998,0.5226,0.0476,0.1184,0.02,0.3814
branching,123,CG,1.0,0.9,0.5859,0.550749,0.9989,0.5859,0.5526,0.889,0.2,0.7348
branching,124,CH,1.0,0.0,0.3906,0.197632,0.9979,0.3906,0.0,0.0,0.0,0.2976
branching,125,CH,0.6667,0.0,0.3667,0.219103,0.9892,0.3667,0.0,0.0,0.0,0.225
branching,126,CH,1.0,0.0,0.5304,0.299739,0.999,0.5304,0.0,0.0,0.0,0.3326
branching,127,CH,1.0,0.0,0.3305,0.191604,0.9985,0.3305,0.0,0.0,0.0,0.2826
branching,128,CG,0.8333,1.0,0.7392,0.500489,0.9903,0.7392,0.5838,0.9518,0.02,0.7472
branching,129,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,130,CH,0.9667,0.0,0.1518,0.209645,0.9552,0.1518,0.0,0.0,0.0,0.2313
branching,131,CG,1.0,0.375,0.5099,0.459907,0.9979,0.5099,0.189,0.371,0.1,0.4919
branching,132,CH,1.0,0.0,0.3308,0.165585,0.998,0.3308,0.0,0.0,0.0,0.2827
branching,133,CH,1.0,0.0,0.3326,0.164034,0.9981,0.3326,0.0,0.0,0.0,0.2832
branching,134,CH,1.0,0.0,0.3992,0.251447,0.9991,0.3992,0.0,0.0,0.0,0.2998
branching,135,CG,1.0,0.7,0.5914,0.451126,0.9976,0.5914,0.2138,0.692,0.18,0.6537
branching,136,CH,1.0,0.0,0.4648,0.310694,0.9996,0.4648,0.0,0.0,0.0,0.3162
branching,137,CH,1.0,0.0,0.3963,0.287051,0.9995,0.3963,0.0,0.0,0.0,0.2991
branching,138,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,139,CH,1.0,0.0,0.4652,0.31018,0.9997,0.4652,0.0,0.0,0.0,0.3163
branching,140,CG,1.0,0.0,0.6195,0.624014,0.9988,0.6195,0.0,0.0,0.24,0.3909
branching,141,CG,1.0,0.0,0.4667,0.323781,0.9908,0.4667,0.0,0.0,1.0,0.4667
branching,142,CG,1.0,0.0,0.6601,0.513942,0.9983,0.6601,0.0,0.0,0.26,0.404
branching,143,CH,1.0,0.0,0.3975,0.262848,0.9992,0.3975,0.0,0.0,0.0,0.2994
branching,144,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,145,CG,1.0,0.0,0.2667,0.122186,0.9999,0.2667,0.0,0.0,1.0,0.4167
branching,146,CH,1.0,0.0,0.3987,0.194647,0.9992,0.3987,0.0,0.0,0.0,0.2997
branching,147,CH,1.0,0.0,0.5318,0.385605,0.9993,0.5318,0.0,0.0,0.0,0.333
branching,148,CH,1.0,0.0,0.462,0.368642,0.9995,0.462,0.0,0.0,0.0,0.3155
branching,149,CG,1.0,0.0,0.2667,0.157342,0.9937,0.2667,0.0,0.0,1.0,0.4167
branching,150,CH,1.0,0.0,0.4666,0.266179,0.9996,0.4666,0.0,0.0,0.0,0.3166
branching,151,CH,0.9667,0.0,0.167,0.226093,0.9554,0.167,0.0,0.0,0.0,0.2351
branching,152,CH,1.0,0.0,0.4662,0.272743,0.9997,0.4662,0.0,0.0,0.0,0.3166
branching,153,CG,1.0,0.0,0.3333,0.209388,0.9906,0.3333,0.0,0.0,1.0,0.4333
branching,154,CH,1.0,0.0,0.3285,0.108641,0.9973,0.3285,0.0,0.0,0.0,0.2821
branching,155,CH,0.6667,0.0,0.1284,0.229669,0.9898,0.1284,0.0,0.0,0.0,0.1654
branching,156,CH,1.0,0.0,0.3332,0.202487,0.9993,0.3332,0.0,0.0,0.0,0.2833
branching,157,CH,1.0,0.0,0.3992,0.240715,0.9992,0.3992,0.0,0.0,0.0,0.2998
branching,158,CH,1.0,0.0,0.3979,0.24578,0.9996,0.3979,0.0,0.0,0.0,0.2995
branching,159,CG,0.8,1.0,0.4783,0.369234,0.9889,0.4783,0.6025,0.974,0.1,0.6907
branching,160,CH,1.0,0.0,0.4647,0.328341,0.9995,0.4647,0.0,0.0,0.0,0.3162
branching,161,CH,1.0,0.0,0.4631,0.318,0.9997,0.4631,0.0,0.0,0.0,0.3158
branching,162,CH,1.0,0.0,0.4638,0.313921,0.9997,0.4638,0.0,0.0,0.0,0.316
branching,163,CH,1.0,0.0,0.3318,0.148138,0.9983,0.3318,0.0,0.0,0.0,0.283
branching,164,CH,1.0,0.0,0.3955,0.301987,0.9995,0.3955,0.0,0.0,0.0,0.2989
branching,165,CH,1.0,0.0,0.3951,0.306189,0.9994,0.3951,0.0,0.0,0.0,0.2988
branching,166,CH,1.0,0.0,0.4643,0.300011,0.9997,0.4643,0.0,0.0,0.0,0.3161
branching,167,CH,1.0,0.0,0.3313,0.182748,0.9988,0.3313,0.0,0.0,0.0,0.2828
branching,168,CH,1.0,0.0,0.3278,0.199009,0.9982,0.3278,0.0,0.0,0.0,0.2819
branching,169,CH,1.0,0.0,0.4662,0.281839,0.9996,0.4662,0.0,0.0,0.0,0.3165
branching,170,CH,1.0,0.0,0.3981,0.267141,0.9996,0.3981,0.0,0.0,0.0,0.2995
branching,171,CH,1.0,0.0,0.4638,0.314291,0.9996,0.4638,0.0,0.0,0.0,0.3159
branching,172,CH,1.0,0.0,0.4627,0.319949,0.9996,0.4627,0.0,0.0,0.0,0.3157
branching,173,CG,1.0,0.0,0.6,0.516607,0.9914,0.6,0.0,0.0,1.0,0.5
branching,174,CG,1.0,0.0,0.2667,0.142319,0.9937,0.2667,0.0,0.0,1.0,0.4167
branching,175,CG,0.4,0.0,0.5226,0.30926,0.9935,0.5226,0.0,0.0,0.2,0.2406
branching,176,CH,1.0,0.0,0.3321,0.192648,0.999,0.3321,0.0,0.0,0.0,0.283
branching,177,CG,1.0,0.0,0.1333,0.066041,0.9999,0.1333,0.0,0.0,1.0,0.3833
branching,178,CH,1.0,0.0,0.3967,0.258517,0.9995,0.3967,0.0,0.0,0.0,0.2992
branching,179,CL,0.8333,0.0,0.0,0.007244,0.9864,0.0,0.0,0.0,0.0,0.1667
branching,180,CH,1.0,0.0,0.53,0.349109,0.9992,0.53,0.0,0.0,0.0,0.3325
branching,181,CG,1.0,0.0,0.4,0.374912,0.9909,0.4,0.0,0.0,1.0,0.45
branching,182,CH,1.0,0.0,0.39,0.237758,0.997,0.39,0.0,0.0,0.0,0.2975
branching,183,CH,1.0,0.0,0.3308,0.092752,0.9976,0.3308,0.0,0.0,0.0,0.2827
branching,184,CH,1.0,0.0,0.3961,0.235281,0.9992,0.3961,0.0,0.0,0.0,0.299
branching,185,CH,1.0,0.0,0.5204,0.360577,0.9992,0.5204,0.0,0.0,0.0,0.3301
branching,186,CG,1.0,0.9,0.5999,0.481457,0.9991,0.5999,0.6868,0.891,0.2,0.7386
branching,187,CH,1.0,0.0,0.3983,0.256496,0.9996,0.3983,0.0,0.0,0.0,0.2996
branching,188,CH,1.0,0.0,0.3326,0.194761,0.9985,0.3326,0.0,0.0,0.0,0.2832
branching,189,CH,1.0,0.0,0.3331,0.101376,0.998,0.3331,0.0,0.0,0.0,0.2833
branching,190,CG,1.0,1.0,0.5954,0.502651,0.9986,0.5954,0.547,0.989,0.22,0.7802
branching,191,CH,1.0,0.0,0.3913,0.296405,0.999,0.3913,0.0,0.0,0.0,0.2978
branching,192,CH,1.0,0.0,0.4634,0.304613,0.9997,0.4634,0.0,0.0,0.0,0.3159
branching,193,CH,1.0,0.0,0.3327,0.155894,0.9978,0.3327,0.0,0.0,0.0,0.2832
branching,194,CH,1.0,0.0,0.3962,0.222401,0.9982,0.3962,0.0,0.0,0.0,0.299
branching,195,CH,1.0,0.0,0.531,0.325062,0.999,0.531,0.0,0.0,0.0,0.3327
branching,196,CG,1.0,0.5,0.5333,0.250989,0.9908,0.5333,1.0091,0.495,1.0,0.6826
branching,197,CH,1.0,0.0,0.3325,0.210008,0.9981,0.3325,0.0,0.0,0.0,0.2831
branching,198,CH,1.0,0.0,0.329,0.188756,0.9968,0.329,0.0,0.0,0.0,0.2822
branching,199,CH,1.0,0.0,0.3276,0.180192,0.9962,0.3276,0.0,0.0,0.0,0.2819
branching,200,CH,0.9667,0.0,0.0053,0.091729,0.9545,0.0053,0.0,0.0,0.0,0.1947
branching,201,CH,1.0,0.0,0.5261,0.377999,0.9994,0.5261,0.0,0.0,0.0,0.3315
branching,202,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,203,CH,1.0,0.0,0.4649,0.323907,0.9996,0.4649,0.0,0.0,0.0,0.3162
branching,204,CH,1.0,0.0,0.3994,0.237901,0.9993,0.3994,0.0,0.0,0.0,0.2999
branching,205,CH,1.0,0.0,0.5304,0.267486,0.9989,0.5304,0.0,0.0,0.0,0.3326
branching,206,CH,1.0,0.0,0.4624,0.322022,0.9997,0.4624,0.0,0.0,0.0,0.3156
branching,207,CH,1.0,0.0,0.4638,0.307577,0.9997,0.4638,0.0,0.0,0.0,0.3159
branching,208,CH,1.0,0.0,0.5317,0.326797,0.9992,0.5317,0.0,0.0,0.0,0.3329
branching,209,CL,0.6667,0.0,0.0,0.005078,0.9699,0.0,0.0,0.0,0.0,0.1333
branching,210,CH,1.0,0.0,0.4641,0.29282,0.9997,0.4641,0.0,0.0,0.0,0.316
branching,211,CG,1.0,0.0,0.6654,0.563808,0.999,0.6654,0.0,0.0,0.32,0.4143
branching,212,CH,1.0,0.0,0.7117,0.391393,0.9891,0.7117,0.0,0.0,0.0,0.3779
branching,213,CH,1.0,0.0,0.3884,0.303803,0.9983,0.3884,0.0,0.0,0.0,0.2971
branching,214,CH,1.0,0.0,0.4635,0.32383,0.9997,0.4635,0.0,0.0,0.0,0.3159
branching,215,CH,1.0,0.0,0.3946,0.274343,0.9987,0.3946,0.0,0.0,0.0,0.2986
branching,216,CL,0.9667,0.0,0.0,0.006568,0.9838,0.0,0.0,0.0,0.0,0.1933
branching,217,CH,1.0,0.0,0.3994,0.219117,0.9996,0.3994,0.0,0.0,0.0,0.2999
branching,218,CH,1.0,0.0,0.3272,0.234057,0.9989,0.3272,0.0,0.0,0.0,0.2818
branching,219,CH,1.0,0.0,0.3949,0.229487,0.9985,0.3949,0.0,0.0,0.0,0.2987
branching,220,CG,1.0,0.0,0.5333,0.40935,0.991,0.5333,0.0,0.0,1.0,0.4833
branching,221,CH,1.0,0.0,0.4621,0.299795,0.9994,0.4621,0.0,0.0,0.0,0.3155
branching,222,CH,1.0,0.0,0.3979,0.223121,0.9992,0.3979,0.0,0.0,0.0,0.2995
branching,223,CG,1.0,0.0,0.2667,0.16346,0.992,0.2667,0.0,0.0,1.0,0.4167
branching,224,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,225,CG,1.0,0.0,0.2,0.092175,0.9999,0.2,0.0,0.0,1.0,0.4
branching,226,CH,1.0,0.0,0.4623,0.319887,0.9996,0.4623,0.0,0.0,0.0,0.3156
branching,227,CH,1.0,0.0,0.4643,0.328932,0.9995,0.4643,0.0,0.0,0.0,0.3161
branching,228,CH,1.0,0.0,0.3323,0.165042,0.9981,0.3323,0.0,0.0,0.0,0.2831
branching,229,CL,0.9667,0.0,0.0,0.005078,0.9524,0.0,0.0,0.0,0.0,0.1933
branching,230,CH,1.0,0.0,0.4574,0.278317,0.9988,0.4574,0.0,0.0,0.0,0.3144
branching,231,CG,1.0,1.0,0.4,0.179474,0.9999,0.4,1.6395,0.99,1.0,0.8485
branching,232,CH,1.0,0.0,0.3274,0.111632,0.9965,0.3274,0.0,0.0,0.0,0.2818
branching,233,CH,1.0,0.0,0.3934,0.285521,0.9993,0.3934,0.0,0.0,0.0,0.2984
branching,234,CG,1.0,0.8,0.5977,0.485225,0.999,0.5977,0.6354,0.791,0.08,0.6801
branching,235,CG,1.0,0.0,0.2667,0.191655,0.992,0.2667,0.0,0.0,1.0,0.4167
branching,236,CG,1.0,0.0,0.3333,0.151193,0.9999,0.3333,0.0,0.0,1.0,0.4333
branching,237,CH,1.0,0.0,0.3333,0.191553,0.998,0.3333,0.0,0.0,0.0,0.2833
branching,238,CH,1.0,0.0,0.4575,0.36889,0.9995,0.4575,0.0,0.0,0.0,0.3144
branching,239,CH,1.0,0.0,0.3298,0.10392,0.9972,0.3298,0.0,0.0,0.0,0.2825
branching,240,CH,1.0,0.0,0.3986,0.272166,0.9995,0.3986,0.0,0.0,0.0,0.2996
branching,241,CL,0.9667,0.0,0.0,0.006616,0.9838,0.0,0.0,0.0,0.0,0.1933
branching,242,CG,1.0,1.0,0.6435,0.503884,0.9973,0.6435,0.8755,0.98,0.26,0.7969
branching,243,CH,1.0,0.0,0.5255,0.403214,0.9996,0.5255,0.0,0.0,0.0,0.3314
branching,244,CG,1.0,0.0,0.4,0.268324,0.9908,0.4,0.0,0.0,1.0,0.45
branching,245,CG,1.0,0.0,0.3333,0.151193,0.9999,0.3333,0.0,0.0,1.0,0.4333
branching,246,CG,1.0,0.0,0.665,0.555913,0.999,0.665,0.0,0.0,0.3,0.4112
branching,247,CH,1.0,0.0,0.4639,0.358135,0.9986,0.4639,0.0,0.0,0.0,0.316
branching,248,CG,1.0,0.5,0.5919,0.529316,0.9987,0.5919,0.2751,0.495,0.14,0.5682
branching,249,CH,1.0,0.0,0.4594,0.336883,0.9993,0.4594,0.0,0.0,0.0,0.3148
branching,250,CG,1.0,0.0,0.4,0.23579,0.9911,0.4,0.0,0.0,1.0,0.45
branching,251,CL,0.9333,0.0,0.0,0.00556,0.9848,0.0,0.0,0.0,0.0,0.1867
branching,252,CH,1.0,0.0,0.3985,0.249937,0.9996,0.3985,0.0,0.0,0.0,0.2996
branching,253,CG,1.0,0.85,0.5797,0.549598,0.9986,0.5797,0.4535,0.839,0.16,0.7073
branching,254,CG,1.0,1.0,0.8667,0.67374,0.9917,0.8667,4.9874,0.9503,0.24,0.8452
branching,255,CH,1.0,0.0,0.7817,0.486444,0.9901,0.7817,0.0,0.0,0.0,0.3954
branching,256,CH,1.0,0.0,0.3997,0.205377,0.9988,0.3997,0.0,0.0,0.0,0.2999
branching,257,CG,1.0,1.0,0.5901,0.556732,0.999,0.5901,0.7103,0.99,0.12,0.764
branching,258,CH,1.0,0.0,0.3298,0.00103,0.9977,0.3298,0.0,0.0,0.0,0.2824
branching,259,CH,1.0,0.0,0.3902,0.261954,0.998,0.3902,0.0,0.0,0.0,0.2975
branching,260,CG,1.0,0.0,0.3333,0.237068,0.9907,0.3333,0.0,0.0,1.0,0.4333
branching,261,CG,1.0,0.0,0.6,0.378548,0.9951,0.6,0.0,0.0,1.0,0.5
