depth,sector,condition,rg_similarity,conservation_stability,invariant_preservation_index,redistribution_coherence,recursive_conservation_persistence,attractor_conservation_alignment,universality_conservation_score,classification
2,Projection,PerturbationConservationRecovery,0.96,0.94,0.93,0.92,0.91,0.9,0.9133,CONSERVATION-STABLE
4,Projection,PerturbationConservationRecovery,0.9434,0.8957,0.9023,0.9032,0.8801,0.8536,0.8676,CONSERVATION-STABLE
6,Projection,PerturbationConservationRecovery,0.9043,0.8528,0.841,0.8514,0.8479,0.8458,0.847,CONSERVATION-BOUNDED
8,Projection,PerturbationConservationRecovery,0.8553,0.8272,0.8235,0.8371,0.8101,0.7847,0.8234,CONSERVATION-BOUNDED
12,Projection,PerturbationConservationRecovery,0.7923,0.7614,0.7507,0.7712,0.7479,0.7332,0.7692,CONSERVATION-BOUNDED
16,Projection,PerturbationConservationRecovery,0.734,0.7277,0.7128,0.7313,0.7044,0.6815,0.7125,CONSERVATION-PARTIAL
20,Projection,PerturbationConservationRecovery,0.6874,0.6616,0.661,0.6849,0.6632,0.6554,0.6695,CONSERVATION-PARTIAL
24,Projection,PerturbationConservationRecovery,0.6629,0.6213,0.6141,0.6191,0.6083,0.602,0.6077,CONSERVATION-DEGRADING
32,Projection,PerturbationConservationRecovery,0.5763,0.5735,0.5641,0.5668,0.5508,0.5454,0.5629,CONSERVATION-DEGRADING
40,Projection,PerturbationConservationRecovery,0.531,0.5181,0.5123,0.5125,0.4993,0.4901,0.491,CONSERVATION-DEGRADING
48,Projection,PerturbationConservationRecovery,0.4843,0.4665,0.4648,0.4561,0.4518,0.4482,0.4565,CONSERVATION-FAILED
64,Projection,PerturbationConservationRecovery,0.4139,0.3911,0.3921,0.3984,0.3866,0.3801,0.3908,CONSERVATION-FAILED
80,Projection,PerturbationConservationRecovery,0.355,0.3481,0.3375,0.3436,0.33,0.3313,0.3311,CONSERVATION-FAILED
96,Projection,PerturbationConservationRecovery,0.3164,0.3021,0.3025,0.2983,0.2896,0.2893,0.2911,CONSERVATION-FAILED
128,Projection,PerturbationConservationRecovery,0.2517,0.2456,0.2391,0.2434,0.2429,0.2383,0.2422,CONSERVATION-FAILED
160,Projection,PerturbationConservationRecovery,0.2146,0.2062,0.2031,0.2038,0.1998,0.197,0.2045,CONSERVATION-FAILED
192,Projection,PerturbationConservationRecovery,0.1882,0.182,0.1809,0.1781,0.1739,0.1741,0.1745,CONSERVATION-FAILED
256,Projection,PerturbationConservationRecovery,0.1473,0.1414,0.1407,0.1429,0.1383,0.1333,0.1365,CONSERVATION-FAILED
320,Projection,PerturbationConservationRecovery,0.1189,0.1172,0.1134,0.1158,0.1099,0.1102,0.1123,CONSERVATION-FAILED
512,Projection,PerturbationConservationRecovery,0.0802,0.076,0.074,0.0768,0.0726,0.0714,0.0754,CONSERVATION-FAILED
768,Projection,PerturbationConservationRecovery,0.0542,0.0512,0.0513,0.0508,0.0504,0.0503,0.0501,CONSERVATION-FAILED
1,Projection,TransportConservationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,CONSERVATION-STABLE
2,Projection,TransportConservationPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,CONSERVATION-STABLE
4,Projection,TransportConservationPersistence,0.934,0.9015,0.9158,0.8813,0.91,0.8811,0.8809,CONSERVATION-STABLE
6,Projection,TransportConservationPersistence,0.9161,0.8875,0.8574,0.8427,0.8421,0.8356,0.8439,CONSERVATION-STABLE
8,Projection,TransportConservationPersistence,0.8881,0.8565,0.8217,0.8065,0.8357,0.7937,0.8318,CONSERVATION-BOUNDED
12,Projection,TransportConservationPersistence,0.8079,0.7757,0.7567,0.749,0.7501,0.7257,0.7562,CONSERVATION-BOUNDED
16,Projection,TransportConservationPersistence,0.7536,0.7137,0.7188,0.6971,0.7164,0.6838,0.7211,CONSERVATION-PARTIAL
20,Projection,TransportConservationPersistence,0.7047,0.6793,0.6781,0.6672,0.6768,0.6435,0.661,CONSERVATION-PARTIAL
24,Projection,TransportConservationPersistence,0.6735,0.6332,0.6194,0.6265,0.6204,0.6052,0.6306,CONSERVATION-DEGRADING
32,Projection,TransportConservationPersistence,0.5849,0.563,0.562,0.5478,0.5523,0.5397,0.5585,CONSERVATION-DEGRADING
40,Projection,TransportConservationPersistence,0.5392,0.5077,0.5138,0.4885,0.5044,0.4827,0.5074,CONSERVATION-DEGRADING
48,Projection,TransportConservationPersistence,0.4893,0.4597,0.458,0.4514,0.4605,0.4353,0.45,CONSERVATION-FAILED
64,Projection,TransportConservationPersistence,0.4208,0.3938,0.3966,0.392,0.3865,0.377,0.396,CONSERVATION-FAILED
80,Projection,TransportConservationPersistence,0.3655,0.3416,0.3392,0.3325,0.3396,0.3356,0.3419,CONSERVATION-FAILED
96,Projection,TransportConservationPersistence,0.3217,0.3053,0.3046,0.2971,0.2968,0.2877,0.299,CONSERVATION-FAILED
128,Projection,TransportConservationPersistence,0.2587,0.2481,0.2425,0.2365,0.2474,0.2395,0.2431,CONSERVATION-FAILED
160,Projection,TransportConservationPersistence,0.2207,0.2107,0.2044,0.2038,0.2095,0.1976,0.2048,CONSERVATION-FAILED
192,Projection,TransportConservationPersistence,0.1905,0.1802,0.1766,0.1727,0.1809,0.1743,0.176,CONSERVATION-FAILED
256,Projection,TransportConservationPersistence,0.1482,0.1419,0.1392,0.1396,0.1375,0.1372,0.1416,CONSERVATION-FAILED
320,Projection,TransportConservationPersistence,0.1234,0.1158,0.1169,0.1152,0.1123,0.1089,0.1145,CONSERVATION-FAILED
512,Projection,TransportConservationPersistence,0.0795,0.0766,0.0756,0.0753,0.0744,0.0716,0.0739,CONSERVATION-FAILED
768,Projection,TransportConservationPersistence,0.0547,0.0532,0.0528,0.0504,0.0503,0.0505,0.0512,CONSERVATION-FAILED
1,Projection,AttractorLinkedConservationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,CONSERVATION-STABLE
2,Projection,AttractorLinkedConservationMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.9065,CONSERVATION-STABLE
4,Projection,AttractorLinkedConservationMapping,0.9278,0.9014,0.9088,0.8699,0.8821,0.8751,0.8866,CONSERVATION-STABLE
6,Projection,AttractorLinkedConservationMapping,0.8873,0.8637,0.8715,0.8367,0.8229,0.8405,0.8594,CONSERVATION-STABLE
8,Projection,AttractorLinkedConservationMapping,0.8641,0.8222,0.8159,0.8195,0.799,0.8301,0.8058,CONSERVATION-BOUNDED
12,Projection,AttractorLinkedConservationMapping,0.8137,0.7846,0.7627,0.7535,0.7353,0.7563,0.7688,CONSERVATION-BOUNDED
16,Projection,AttractorLinkedConservationMapping,0.7489,0.7235,0.7212,0.7021,0.7078,0.705,0.6945,CONSERVATION-PARTIAL
20,Projection,AttractorLinkedConservationMapping,0.6831,0.6673,0.6783,0.6684,0.6615,0.6646,0.6526,CONSERVATION-PARTIAL
24,Projection,AttractorLinkedConservationMapping,0.6648,0.6276,0.6156,0.6059,0.6135,0.6285,0.6254,CONSERVATION-DEGRADING
32,Projection,AttractorLinkedConservationMapping,0.5946,0.5615,0.5686,0.5619,0.5536,0.5489,0.5436,CONSERVATION-DEGRADING
40,Projection,AttractorLinkedConservationMapping,0.5237,0.4999,0.5139,0.4961,0.4874,0.4964,0.5062,CONSERVATION-FAILED
48,Projection,AttractorLinkedConservationMapping,0.4856,0.4634,0.4549,0.4624,0.443,0.4488,0.4631,CONSERVATION-FAILED
64,Projection,AttractorLinkedConservationMapping,0.4132,0.3938,0.3981,0.3874,0.3837,0.3812,0.3796,CONSERVATION-FAILED
80,Projection,AttractorLinkedConservationMapping,0.351,0.337,0.3402,0.3403,0.3363,0.3396,0.3397,CONSERVATION-FAILED
96,Projection,AttractorLinkedConservationMapping,0.312,0.3015,0.3037,0.2951,0.296,0.2981,0.2927,CONSERVATION-FAILED
128,Projection,AttractorLinkedConservationMapping,0.2595,0.2513,0.2485,0.2374,0.2435,0.2382,0.2374,CONSERVATION-FAILED
160,Projection,AttractorLinkedConservationMapping,0.218,0.2031,0.202,0.2018,0.1982,0.2024,0.2007,CONSERVATION-FAILED
192,Projection,AttractorLinkedConservationMapping,0.1877,0.1792,0.18,0.1752,0.1721,0.1784,0.1756,CONSERVATION-FAILED
256,Projection,AttractorLinkedConservationMapping,0.1454,0.1402,0.1381,0.1391,0.1342,0.1349,0.1394,CONSERVATION-FAILED
320,Projection,AttractorLinkedConservationMapping,0.118,0.1159,0.117,0.1111,0.1118,0.1115,0.1133,CONSERVATION-FAILED
512,Projection,AttractorLinkedConservationMapping,0.0771,0.0765,0.0744,0.0746,0.0749,0.073,0.0739,CONSERVATION-FAILED
768,Projection,AttractorLinkedConservationMapping,0.0546,0.052,0.0512,0.0517,0.0504,0.0516,0.0508,CONSERVATION-FAILED
1,Projection,ScaleIndependentConservationTesting,0.96,0.94,0.93,0.92,0.91,0.9,0.92,CONSERVATION-STABLE
2,Projection,ScaleIndependentConservationTesting,0.96,0.94,0.93,0.92,0.91,0.8954,0.92,CONSERVATION-STABLE
4,Projection,ScaleIndependentConservationTesting,0.9387,0.9073,0.9119,0.893,0.8915,0.8631,0.9195,CONSERVATION-STABLE
6,Projection,ScaleIndependentConservationTesting,0.8836,0.8682,0.8731,0.8315,0.8392,0.8187,0.8581,CONSERVATION-STABLE
8,Projection,ScaleIndependentConservationTesting,0.854,0.8419,0.8342,0.8216,0.8279,0.8031,0.8374,CONSERVATION-BOUNDED
12,Projection,ScaleIndependentConservationTesting,0.807,0.7761,0.7752,0.7643,0.7449,0.7298,0.7668,CONSERVATION-BOUNDED
16,Projection,ScaleIndependentConservationTesting,0.7288,0.7142,0.6974,0.7153,0.6948,0.6946,0.7036,CONSERVATION-PARTIAL
20,Projection,ScaleIndependentConservationTesting,0.6896,0.6814,0.6669,0.65,0.6541,0.652,0.6805,CONSERVATION-PARTIAL
24,Projection,ScaleIndependentConservationTesting,0.6396,0.6201,0.6178,0.6178,0.6109,0.6046,0.6235,CONSERVATION-DEGRADING
32,Projection,ScaleIndependentConservationTesting,0.5812,0.5653,0.549,0.5545,0.5566,0.5363,0.5685,CONSERVATION-DEGRADING
40,Projection,ScaleIndependentConservationTesting,0.5329,0.4997,0.5069,0.5079,0.5089,0.4971,0.506,CONSERVATION-FAILED
48,Projection,ScaleIndependentConservationTesting,0.4734,0.4643,0.4604,0.4573,0.4497,0.4471,0.4592,CONSERVATION-FAILED
64,Projection,ScaleIndependentConservationTesting,0.4124,0.3961,0.3916,0.3806,0.3842,0.3747,0.3886,CONSERVATION-FAILED
80,Projection,ScaleIndependentConservationTesting,0.35,0.3443,0.3421,0.3356,0.3382,0.3265,0.3405,CONSERVATION-FAILED
96,Projection,ScaleIndependentConservationTesting,0.3151,0.3091,0.306,0.2934,0.2976,0.2874,0.3045,CONSERVATION-FAILED
128,Projection,ScaleIndependentConservationTesting,0.2544,0.2511,0.2457,0.2395,0.2386,0.2343,0.2508,CONSERVATION-FAILED
160,Projection,ScaleIndependentConservationTesting,0.2133,0.2043,0.2077,0.2026,0.2003,0.2015,0.2047,CONSERVATION-FAILED
192,Projection,ScaleIndependentConservationTesting,0.1818,0.1758,0.1771,0.1739,0.1722,0.1727,0.1794,CONSERVATION-FAILED
256,Projection,ScaleIndependentConservationTesting,0.1441,0.1408,0.1398,0.1356,0.1402,0.1326,0.1415,CONSERVATION-FAILED
320,Projection,ScaleIndependentConservationTesting,0.1212,0.1161,0.1151,0.1114,0.1113,0.1096,0.1174,CONSERVATION-FAILED
512,Projection,ScaleIndependentConservationTesting,0.0779,0.0759,0.0738,0.075,0.0745,0.0725,0.0752,CONSERVATION-FAILED
768,Projection,ScaleIndependentConservationTesting,0.0532,0.0526,0.0512,0.0516,0.0505,0.05,0.0511,CONSERVATION-FAILED
1,Projection,NullConservationControl,0.8165,0.7837,0.7826,0.8088,0.7841,0.7591,0.7699,CONSERVATION-BOUNDED
2,Projection,NullConservationControl,0.7801,0.7784,0.7763,0.7808,0.7645,0.7236,0.774,CONSERVATION-BOUNDED
4,Projection,NullConservationControl,0.7467,0.7622,0.7485,0.746,0.7257,0.6974,0.7227,CONSERVATION-PARTIAL
6,Projection,NullConservationControl,0.7151,0.7246,0.6967,0.724,0.6895,0.6663,0.7029,CONSERVATION-PARTIAL
8,Projection,NullConservationControl,0.7093,0.674,0.6874,0.7001,0.6428,0.6389,0.6587,CONSERVATION-PARTIAL
12,Projection,NullConservationControl,0.6461,0.6287,0.6215,0.6429,0.6056,0.6025,0.6137,CONSERVATION-DEGRADING
16,Projection,NullConservationControl,0.6058,0.6022,0.5761,0.5891,0.5803,0.5589,0.5628,CONSERVATION-DEGRADING
20,Projection,NullConservationControl,0.573,0.5584,0.5517,0.5442,0.5211,0.5123,0.5276,CONSERVATION-DEGRADING
24,Projection,NullConservationControl,0.5414,0.521,0.51,0.5186,0.5057,0.4933,0.52,CONSERVATION-DEGRADING
32,Projection,NullConservationControl,0.4675,0.4705,0.4502,0.4636,0.4474,0.4404,0.454,CONSERVATION-FAILED
40,Projection,NullConservationControl,0.4232,0.4182,0.4123,0.4277,0.407,0.4015,0.4109,CONSERVATION-FAILED
48,Projection,NullConservationControl,0.392,0.3845,0.3779,0.3756,0.3635,0.3654,0.3746,CONSERVATION-FAILED
64,Projection,NullConservationControl,0.3251,0.3313,0.313,0.3224,0.3108,0.304,0.3119,CONSERVATION-FAILED
80,Projection,NullConservationControl,0.2946,0.2851,0.2778,0.2824,0.2738,0.2622,0.2712,CONSERVATION-FAILED
96,Projection,NullConservationControl,0.2583,0.2435,0.2511,0.2451,0.2462,0.2376,0.2453,CONSERVATION-FAILED
128,Projection,NullConservationControl,0.2029,0.2046,0.2012,0.2064,0.1926,0.1913,0.1945,CONSERVATION-FAILED
160,Projection,NullConservationControl,0.1732,0.1704,0.1701,0.1746,0.1643,0.1592,0.1654,CONSERVATION-FAILED
192,Projection,NullConservationControl,0.1493,0.1502,0.142,0.1472,0.1426,0.1377,0.1472,CONSERVATION-FAILED
256,Projection,NullConservationControl,0.1156,0.1139,0.1118,0.116,0.1107,0.1111,0.1112,CONSERVATION-FAILED
320,Projection,NullConservationControl,0.097,0.095,0.0947,0.0969,0.092,0.0896,0.0924,CONSERVATION-FAILED
512,Projection,NullConservationControl,0.0628,0.0636,0.0606,0.0622,0.0586,0.0598,0.0616,CONSERVATION-FAILED
768,Projection,NullConservationControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Antisymmetry,RecursiveConservationTracking,0.96,0.94,0.9189,0.9043,0.8858,0.9,0.8996,CONSERVATION-STABLE
2,Antisymmetry,RecursiveConservationTracking,0.96,0.9173,0.9109,0.8778,0.9042,0.8927,0.8828,CONSERVATION-STABLE
4,Antisymmetry,RecursiveConservationTracking,0.9253,0.8731,0.873,0.8615,0.8295,0.8467,0.8519,CONSERVATION-STABLE
6,Antisymmetry,RecursiveConservationTracking,0.8895,0.8585,0.8238,0.8283,0.8253,0.826,0.8236,CONSERVATION-BOUNDED
8,Antisymmetry,RecursiveConservationTracking,0.8574,0.7987,0.8044,0.7915,0.7675,0.7921,0.8018,CONSERVATION-BOUNDED
12,Antisymmetry,RecursiveConservationTracking,0.7826,0.7636,0.7318,0.7284,0.7315,0.7113,0.7353,CONSERVATION-PARTIAL
16,Antisymmetry,RecursiveConservationTracking,0.7401,0.7032,0.6915,0.668,0.6693,0.6792,0.6858,CONSERVATION-PARTIAL
20,Antisymmetry,RecursiveConservationTracking,0.6949,0.6609,0.6593,0.6314,0.6318,0.6435,0.6429,CONSERVATION-PARTIAL
24,Antisymmetry,RecursiveConservationTracking,0.6457,0.6126,0.6161,0.5974,0.6034,0.6052,0.5917,CONSERVATION-DEGRADING
32,Antisymmetry,RecursiveConservationTracking,0.5664,0.5594,0.5382,0.5361,0.5328,0.5216,0.5401,CONSERVATION-DEGRADING
40,Antisymmetry,RecursiveConservationTracking,0.5193,0.5088,0.4907,0.4768,0.4732,0.4724,0.4906,CONSERVATION-DEGRADING
48,Antisymmetry,RecursiveConservationTracking,0.481,0.463,0.4478,0.4323,0.426,0.4307,0.4304,CONSERVATION-FAILED
64,Antisymmetry,RecursiveConservationTracking,0.407,0.3899,0.3782,0.3722,0.3775,0.376,0.3677,CONSERVATION-FAILED
80,Antisymmetry,RecursiveConservationTracking,0.352,0.3355,0.3267,0.3311,0.3189,0.3177,0.3197,CONSERVATION-FAILED
96,Antisymmetry,RecursiveConservationTracking,0.3122,0.3016,0.2875,0.2831,0.2795,0.2792,0.2867,CONSERVATION-FAILED
128,Antisymmetry,RecursiveConservationTracking,0.2547,0.2373,0.2373,0.2333,0.2304,0.2321,0.2338,CONSERVATION-FAILED
160,Antisymmetry,RecursiveConservationTracking,0.212,0.2002,0.2002,0.1942,0.1932,0.1969,0.1984,CONSERVATION-FAILED
192,Antisymmetry,RecursiveConservationTracking,0.1814,0.1779,0.1722,0.1702,0.17,0.1653,0.1701,CONSERVATION-FAILED
256,Antisymmetry,RecursiveConservationTracking,0.1413,0.1357,0.1385,0.1333,0.1334,0.1299,0.133,CONSERVATION-FAILED
320,Antisymmetry,RecursiveConservationTracking,0.1195,0.1122,0.1101,0.1091,0.1077,0.1103,0.1113,CONSERVATION-FAILED
512,Antisymmetry,RecursiveConservationTracking,0.0766,0.0752,0.0728,0.0726,0.0719,0.0699,0.071,CONSERVATION-FAILED
768,Antisymmetry,RecursiveConservationTracking,0.052,0.05,0.0505,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Antisymmetry,InvariantRedistributionAnalysis,0.96,0.94,0.93,0.91,0.91,0.8981,0.9075,CONSERVATION-STABLE
2,Antisymmetry,InvariantRedistributionAnalysis,0.96,0.9343,0.93,0.8922,0.8816,0.8952,0.888,CONSERVATION-STABLE
4,Antisymmetry,InvariantRedistributionAnalysis,0.9396,0.8873,0.8723,0.8815,0.8635,0.8425,0.8772,CONSERVATION-STABLE
6,Antisymmetry,InvariantRedistributionAnalysis,0.8882,0.8575,0.8522,0.8125,0.8227,0.7975,0.847,CONSERVATION-STABLE
8,Antisymmetry,InvariantRedistributionAnalysis,0.8376,0.8291,0.8052,0.7983,0.7802,0.7676,0.7875,CONSERVATION-BOUNDED
12,Antisymmetry,InvariantRedistributionAnalysis,0.7871,0.744,0.7418,0.7243,0.7414,0.7172,0.7447,CONSERVATION-PARTIAL
16,Antisymmetry,InvariantRedistributionAnalysis,0.7481,0.7109,0.6981,0.6819,0.6733,0.6877,0.7002,CONSERVATION-PARTIAL
20,Antisymmetry,InvariantRedistributionAnalysis,0.6801,0.6491,0.6562,0.6519,0.6382,0.6163,0.6465,CONSERVATION-DEGRADING
24,Antisymmetry,InvariantRedistributionAnalysis,0.6392,0.6305,0.6105,0.6119,0.5921,0.5866,0.6021,CONSERVATION-DEGRADING
32,Antisymmetry,InvariantRedistributionAnalysis,0.5893,0.5497,0.5515,0.5466,0.5396,0.5343,0.53,CONSERVATION-DEGRADING
40,Antisymmetry,InvariantRedistributionAnalysis,0.5324,0.4962,0.4981,0.4973,0.492,0.4823,0.4841,CONSERVATION-FAILED
48,Antisymmetry,InvariantRedistributionAnalysis,0.4744,0.4495,0.4456,0.4411,0.433,0.4392,0.4369,CONSERVATION-FAILED
64,Antisymmetry,InvariantRedistributionAnalysis,0.3967,0.38,0.3828,0.3779,0.3689,0.374,0.3761,CONSERVATION-FAILED
80,Antisymmetry,InvariantRedistributionAnalysis,0.3474,0.338,0.3396,0.3324,0.3209,0.3199,0.3316,CONSERVATION-FAILED
96,Antisymmetry,InvariantRedistributionAnalysis,0.3129,0.3015,0.2994,0.2885,0.2914,0.2891,0.2957,CONSERVATION-FAILED
128,Antisymmetry,InvariantRedistributionAnalysis,0.2516,0.2445,0.2411,0.2316,0.2354,0.2304,0.2375,CONSERVATION-FAILED
160,Antisymmetry,InvariantRedistributionAnalysis,0.2142,0.207,0.2042,0.2027,0.2003,0.1951,0.1971,CONSERVATION-FAILED
192,Antisymmetry,InvariantRedistributionAnalysis,0.1823,0.1753,0.1755,0.172,0.1707,0.1669,0.173,CONSERVATION-FAILED
256,Antisymmetry,InvariantRedistributionAnalysis,0.1457,0.1391,0.1367,0.1373,0.1345,0.1315,0.1343,CONSERVATION-FAILED
320,Antisymmetry,InvariantRedistributionAnalysis,0.1195,0.1118,0.1138,0.1127,0.1111,0.1106,0.1105,CONSERVATION-FAILED
512,Antisymmetry,InvariantRedistributionAnalysis,0.0791,0.073,0.0738,0.0728,0.071,0.0706,0.0724,CONSERVATION-FAILED
768,Antisymmetry,InvariantRedistributionAnalysis,0.053,0.0509,0.0505,0.05,0.05,0.05,0.05,CONSERVATION-FAILED
1,Antisymmetry,PerturbationConservationRecovery,0.96,0.9262,0.9291,0.92,0.9083,0.9,0.9037,CONSERVATION-STABLE
2,Antisymmetry,PerturbationConservationRecovery,0.96,0.9242,0.9032,0.9156,0.8997,0.8743,0.89,CONSERVATION-STABLE
4,Antisymmetry,PerturbationConservationRecovery,0.9176,0.8624,0.859,0.8785,0.8651,0.8278,0.8727,CONSERVATION-STABLE
6,Antisymmetry,PerturbationConservationRecovery,0.8688,0.8452,0.8375,0.8257,0.8183,0.8067,0.8131,CONSERVATION-BOUNDED
8,Antisymmetry,PerturbationConservationRecovery,0.833,0.796,0.7871,0.8092,0.7955,0.7678,0.791,CONSERVATION-BOUNDED
12,Antisymmetry,PerturbationConservationRecovery,0.7937,0.7405,0.7367,0.7326,0.7252,0.7188,0.7192,CONSERVATION-PARTIAL
16,Antisymmetry,PerturbationConservationRecovery,0.7335,0.6979,0.6781,0.6811,0.6821,0.6544,0.688,CONSERVATION-PARTIAL
