depth,sector,condition,artifact_reproduction_score,hierarchy_spoof_success,leakage_dependence_index,adversarial_false_positive_rate,universality_authenticity_score,recursive_bias_sensitivity,structural_nonrandomness_index,adversarial_emergence,authentic_emergence,classification
16,P-A-N,RandomizedMetricScrambling,0.8571,1.0,0.8369,1.0,0.8571,0.1429,0.8571,0.8199,0.9567,ARTIFACT-STABLE
20,P-A-N,RandomizedMetricScrambling,0.1706,1.0,0.1231,0.0,0.1706,0.8294,0.1706,0.1633,0.9567,ARTIFACT-FAILED
24,P-A-N,RandomizedMetricScrambling,0.3387,1.0,0.2979,0.0,0.3387,0.6613,0.3387,0.3241,0.9567,ARTIFACT-DEGRADING
32,P-A-N,RandomizedMetricScrambling,0.7552,1.0,0.731,0.0,0.7552,0.2448,0.7552,0.7225,0.9567,ARTIFACT-STABLE
40,P-A-N,RandomizedMetricScrambling,0.973,1.0,0.9575,1.0,0.973,0.027,0.973,0.9309,0.9567,ARTIFACT-STABLE
48,P-A-N,RandomizedMetricScrambling,0.9268,1.0,0.9094,1.0,0.9268,0.0732,0.9268,0.8866,0.9567,ARTIFACT-STABLE
64,P-A-N,RandomizedMetricScrambling,0.3676,1.0,0.3279,0.0,0.3676,0.6324,0.3676,0.3517,0.9567,ARTIFACT-DEGRADING
80,P-A-N,RandomizedMetricScrambling,0.2457,1.0,0.2012,0.0,0.2457,0.7543,0.2457,0.2351,0.9567,ARTIFACT-FAILED
96,P-A-N,RandomizedMetricScrambling,0.9371,1.0,0.9201,1.0,0.9371,0.0629,0.9371,0.8965,0.9567,ARTIFACT-STABLE
128,P-A-N,RandomizedMetricScrambling,0.8195,1.0,0.7978,1.0,0.8195,0.1805,0.8195,0.784,0.9567,ARTIFACT-STABLE
160,P-A-N,RandomizedMetricScrambling,0.8749,1.0,0.8555,1.0,0.8749,0.1251,0.8749,0.8371,0.9567,ARTIFACT-STABLE
192,P-A-N,RandomizedMetricScrambling,0.6832,1.0,0.6561,0.0,0.6832,0.3168,0.6832,0.6536,0.9567,ARTIFACT-BOUNDED
256,P-A-N,RandomizedMetricScrambling,0.5828,1.0,0.5517,0.0,0.5828,0.4172,0.5828,0.5576,0.9567,ARTIFACT-BOUNDED
320,P-A-N,RandomizedMetricScrambling,0.7507,1.0,0.7263,0.0,0.7507,0.2493,0.7507,0.7182,0.9567,ARTIFACT-STABLE
512,P-A-N,RandomizedMetricScrambling,0.0607,1.0,0.0088,0.0,0.0607,0.9393,0.0607,0.0581,0.9567,ARTIFACT-FAILED
768,P-A-N,RandomizedMetricScrambling,0.9153,1.0,0.8975,1.0,0.9153,0.0847,0.9153,0.8757,0.9567,ARTIFACT-STABLE
1024,P-A-N,RandomizedMetricScrambling,0.8755,1.0,0.8561,1.0,0.8755,0.1245,0.8755,0.8376,0.9567,ARTIFACT-STABLE
1536,P-A-N,RandomizedMetricScrambling,0.6626,1.0,0.6347,0.0,0.6626,0.3374,0.6626,0.6339,0.9567,ARTIFACT-BOUNDED
2048,P-A-N,RandomizedMetricScrambling,0.3391,1.0,0.2983,0.0,0.3391,0.6609,0.3391,0.3244,0.9567,ARTIFACT-DEGRADING
3072,P-A-N,RandomizedMetricScrambling,0.5051,1.0,0.4709,0.0,0.5051,0.4949,0.5051,0.4832,0.9567,ARTIFACT-DEGRADING
4096,P-A-N,RandomizedMetricScrambling,0.0668,1.0,0.0151,0.0,0.0668,0.9332,0.0668,0.0639,0.9567,ARTIFACT-FAILED
6144,P-A-N,RandomizedMetricScrambling,0.3297,1.0,0.2885,0.0,0.3297,0.6703,0.3297,0.3154,0.9567,ARTIFACT-DEGRADING
8192,P-A-N,RandomizedMetricScrambling,0.7116,1.0,0.6856,0.0,0.7116,0.2884,0.7116,0.6808,0.9567,ARTIFACT-BOUNDED
12288,P-A-N,RandomizedMetricScrambling,0.9054,1.0,0.8871,1.0,0.9054,0.0946,0.9054,0.8661,0.9567,ARTIFACT-STABLE
16384,P-A-N,RandomizedMetricScrambling,0.1849,1.0,0.1379,0.0,0.1849,0.8151,0.1849,0.1769,0.9566,ARTIFACT-FAILED
24576,P-A-N,RandomizedMetricScrambling,0.8832,1.0,0.864,1.0,0.8832,0.1168,0.8832,0.8449,0.9566,ARTIFACT-STABLE
32768,P-A-N,RandomizedMetricScrambling,0.7571,1.0,0.7329,0.0,0.7571,0.2429,0.7571,0.7243,0.9566,ARTIFACT-STABLE
65536,P-A-N,RandomizedMetricScrambling,0.9894,1.0,0.9963,1.0,0.9894,0.0106,0.9894,0.9666,0.9565,ARTIFACT-STABLE
131072,P-A-N,RandomizedMetricScrambling,0.438,1.0,0.4009,0.0,0.438,0.562,0.438,0.4188,0.9562,ARTIFACT-DEGRADING
262144,P-A-N,RandomizedMetricScrambling,0.9144,1.0,0.8956,1.0,0.9144,0.0856,0.9144,0.874,0.9557,ARTIFACT-STABLE
524288,P-A-N,RandomizedMetricScrambling,0.1861,1.0,0.1388,0.0,0.1861,0.8139,0.1861,0.1777,0.9547,ARTIFACT-FAILED
1048576,P-A-N,RandomizedMetricScrambling,0.2549,1.0,0.2096,0.0,0.2549,0.7451,0.2549,0.2428,0.9528,ARTIFACT-FAILED
2097152,P-A-N,RandomizedMetricScrambling,0.766,1.0,0.7357,0.0,0.766,0.234,0.766,0.7268,0.9489,ARTIFACT-STABLE
4194304,P-A-N,RandomizedMetricScrambling,0.7246,1.0,0.687,0.0,0.7246,0.2754,0.7246,0.682,0.9413,ARTIFACT-BOUNDED
8388608,P-A-N,RandomizedMetricScrambling,0.1324,1.0,0.079,0.0,0.1324,0.8676,0.1324,0.1227,0.9263,ARTIFACT-FAILED
16777216,P-A-N,RandomizedMetricScrambling,0.1139,1.0,0.0568,0.0,0.1139,0.8861,0.1139,0.1023,0.8979,ARTIFACT-FAILED
33554432,P-A-N,RandomizedMetricScrambling,0.9257,1.0,0.7967,1.0,0.9257,0.0743,0.9257,0.783,0.8458,ARTIFACT-STABLE
67108864,P-A-N,RandomizedMetricScrambling,0.8458,1.0,0.6425,1.0,0.8458,0.1542,0.8458,0.6411,0.758,ARTIFACT-STABLE
1,P-A-N,HiddenDepthEncodingInjection,0.3554,1.0,0.3152,0.0,0.3554,0.6446,0.3554,0.34,0.9567,ARTIFACT-DEGRADING
2,P-A-N,HiddenDepthEncodingInjection,0.3364,1.0,0.2955,0.0,0.3364,0.6636,0.3364,0.3219,0.9567,ARTIFACT-DEGRADING
4,P-A-N,HiddenDepthEncodingInjection,0.2776,1.0,0.2343,0.0,0.2776,0.7224,0.2776,0.2656,0.9567,ARTIFACT-FAILED
6,P-A-N,HiddenDepthEncodingInjection,0.2915,1.0,0.2488,0.0,0.2915,0.7085,0.2915,0.2789,0.9567,ARTIFACT-FAILED
8,P-A-N,HiddenDepthEncodingInjection,0.47,1.0,0.4344,0.0,0.47,0.53,0.47,0.4496,0.9567,ARTIFACT-DEGRADING
12,P-A-N,HiddenDepthEncodingInjection,0.3375,1.0,0.2966,0.0,0.3375,0.6625,0.3375,0.3228,0.9567,ARTIFACT-DEGRADING
16,P-A-N,HiddenDepthEncodingInjection,0.2955,1.0,0.2529,0.0,0.2955,0.7045,0.2955,0.2827,0.9567,ARTIFACT-FAILED
20,P-A-N,HiddenDepthEncodingInjection,0.3618,1.0,0.3219,0.0,0.3618,0.6382,0.3618,0.3461,0.9567,ARTIFACT-DEGRADING
24,P-A-N,HiddenDepthEncodingInjection,0.428,1.0,0.3907,0.0,0.428,0.572,0.428,0.4094,0.9567,ARTIFACT-DEGRADING
32,P-A-N,HiddenDepthEncodingInjection,0.2702,1.0,0.2266,0.0,0.2702,0.7298,0.2702,0.2585,0.9567,ARTIFACT-FAILED
40,P-A-N,HiddenDepthEncodingInjection,0.4559,1.0,0.4197,0.0,0.4559,0.5441,0.4559,0.4361,0.9567,ARTIFACT-DEGRADING
48,P-A-N,HiddenDepthEncodingInjection,0.4638,1.0,0.428,0.0,0.4638,0.5362,0.4638,0.4438,0.9567,ARTIFACT-DEGRADING
64,P-A-N,HiddenDepthEncodingInjection,0.4226,1.0,0.3851,0.0,0.4226,0.5774,0.4226,0.4043,0.9567,ARTIFACT-DEGRADING
80,P-A-N,HiddenDepthEncodingInjection,0.4089,1.0,0.3709,0.0,0.4089,0.5911,0.4089,0.3912,0.9567,ARTIFACT-DEGRADING
96,P-A-N,HiddenDepthEncodingInjection,0.3664,1.0,0.3267,0.0,0.3664,0.6336,0.3664,0.3506,0.9567,ARTIFACT-DEGRADING
128,P-A-N,HiddenDepthEncodingInjection,0.4586,1.0,0.4226,0.0,0.4586,0.5414,0.4586,0.4388,0.9567,ARTIFACT-DEGRADING
160,P-A-N,HiddenDepthEncodingInjection,0.3705,1.0,0.3309,0.0,0.3705,0.6295,0.3705,0.3545,0.9567,ARTIFACT-DEGRADING
192,P-A-N,HiddenDepthEncodingInjection,0.2469,1.0,0.2024,0.0,0.2469,0.7531,0.2469,0.2362,0.9567,ARTIFACT-FAILED
256,P-A-N,HiddenDepthEncodingInjection,0.4012,1.0,0.3629,0.0,0.4012,0.5988,0.4012,0.3838,0.9567,ARTIFACT-DEGRADING
320,P-A-N,HiddenDepthEncodingInjection,0.2847,1.0,0.2417,0.0,0.2847,0.7153,0.2847,0.2724,0.9567,ARTIFACT-FAILED
512,P-A-N,HiddenDepthEncodingInjection,0.3659,1.0,0.3261,0.0,0.3659,0.6341,0.3659,0.35,0.9567,ARTIFACT-DEGRADING
768,P-A-N,HiddenDepthEncodingInjection,0.409,1.0,0.371,0.0,0.409,0.591,0.409,0.3913,0.9567,ARTIFACT-DEGRADING
1024,P-A-N,HiddenDepthEncodingInjection,0.4671,1.0,0.4313,0.0,0.4671,0.5329,0.4671,0.4468,0.9567,ARTIFACT-DEGRADING
1536,P-A-N,HiddenDepthEncodingInjection,0.392,1.0,0.3532,0.0,0.392,0.608,0.392,0.375,0.9567,ARTIFACT-DEGRADING
2048,P-A-N,HiddenDepthEncodingInjection,0.304,1.0,0.2618,0.0,0.304,0.696,0.304,0.2908,0.9567,ARTIFACT-DEGRADING
3072,P-A-N,HiddenDepthEncodingInjection,0.2923,1.0,0.2496,0.0,0.2923,0.7077,0.2923,0.2797,0.9567,ARTIFACT-FAILED
4096,P-A-N,HiddenDepthEncodingInjection,0.4408,1.0,0.404,0.0,0.4408,0.5592,0.4408,0.4217,0.9567,ARTIFACT-DEGRADING
6144,P-A-N,HiddenDepthEncodingInjection,0.422,1.0,0.3845,0.0,0.422,0.578,0.422,0.4038,0.9567,ARTIFACT-DEGRADING
8192,P-A-N,HiddenDepthEncodingInjection,0.3024,1.0,0.2601,0.0,0.3024,0.6976,0.3024,0.2893,0.9567,ARTIFACT-DEGRADING
12288,P-A-N,HiddenDepthEncodingInjection,0.3782,1.0,0.3389,0.0,0.3782,0.6218,0.3782,0.3618,0.9567,ARTIFACT-DEGRADING
16384,P-A-N,HiddenDepthEncodingInjection,0.2911,1.0,0.2483,0.0,0.2911,0.7089,0.2911,0.2785,0.9566,ARTIFACT-FAILED
24576,P-A-N,HiddenDepthEncodingInjection,0.3153,1.0,0.2735,0.0,0.3153,0.6847,0.3153,0.3016,0.9566,ARTIFACT-DEGRADING
32768,P-A-N,HiddenDepthEncodingInjection,0.2458,1.0,0.2012,0.0,0.2458,0.7542,0.2458,0.2351,0.9566,ARTIFACT-FAILED
65536,P-A-N,HiddenDepthEncodingInjection,0.2518,1.0,0.2074,0.0,0.2518,0.7482,0.2518,0.2408,0.9565,ARTIFACT-FAILED
131072,P-A-N,HiddenDepthEncodingInjection,0.3053,1.0,0.2629,0.0,0.3053,0.6947,0.3053,0.2919,0.9562,ARTIFACT-DEGRADING
262144,P-A-N,HiddenDepthEncodingInjection,0.4159,1.0,0.3777,0.0,0.4159,0.5841,0.4159,0.3975,0.9557,ARTIFACT-DEGRADING
524288,P-A-N,HiddenDepthEncodingInjection,0.2649,1.0,0.2205,0.0,0.2649,0.7351,0.2649,0.2529,0.9547,ARTIFACT-FAILED
1048576,P-A-N,HiddenDepthEncodingInjection,0.2683,1.0,0.2235,0.0,0.2683,0.7317,0.2683,0.2556,0.9528,ARTIFACT-FAILED
2097152,P-A-N,HiddenDepthEncodingInjection,0.3537,1.0,0.3105,0.0,0.3537,0.6463,0.3537,0.3356,0.9489,ARTIFACT-DEGRADING
4194304,P-A-N,HiddenDepthEncodingInjection,0.3955,1.0,0.3503,0.0,0.3955,0.6045,0.3955,0.3723,0.9413,ARTIFACT-DEGRADING
8388608,P-A-N,HiddenDepthEncodingInjection,0.4654,1.0,0.4143,0.0,0.4654,0.5346,0.4654,0.4311,0.9263,ARTIFACT-DEGRADING
16777216,P-A-N,HiddenDepthEncodingInjection,0.4058,1.0,0.3417,0.0,0.4058,0.5942,0.4058,0.3644,0.8979,ARTIFACT-DEGRADING
33554432,P-A-N,HiddenDepthEncodingInjection,0.3872,1.0,0.3017,0.0,0.3872,0.6128,0.3872,0.3275,0.8458,ARTIFACT-DEGRADING
67108864,P-A-N,HiddenDepthEncodingInjection,0.4794,1.0,0.3406,0.0,0.4794,0.5206,0.4794,0.3634,0.758,ARTIFACT-DEGRADING
1,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
2,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
4,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
6,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
8,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
12,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
16,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
20,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
24,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
32,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
40,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
48,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
64,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
80,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
96,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
128,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
160,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
192,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
256,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
320,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
512,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
768,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
1024,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
1536,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
2048,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9283,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
3072,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9282,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
4096,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9282,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
6144,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9282,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
8192,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9282,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
12288,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9282,1.0,0.9449,0.0551,0.9449,0.904,0.9567,ARTIFACT-STABLE
16384,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9282,1.0,0.9449,0.0551,0.9449,0.9039,0.9566,ARTIFACT-STABLE
24576,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9282,1.0,0.9449,0.0551,0.9449,0.9039,0.9566,ARTIFACT-STABLE
32768,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9281,1.0,0.9449,0.0551,0.9449,0.9039,0.9566,ARTIFACT-STABLE
65536,P-A-N,SectorLabelPermutation,0.9449,1.0,0.928,1.0,0.9449,0.0551,0.9449,0.9038,0.9565,ARTIFACT-STABLE
131072,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9278,1.0,0.9449,0.0551,0.9449,0.9035,0.9562,ARTIFACT-STABLE
262144,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9273,1.0,0.9449,0.0551,0.9449,0.9031,0.9557,ARTIFACT-STABLE
524288,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9263,1.0,0.9449,0.0551,0.9449,0.9022,0.9547,ARTIFACT-STABLE
1048576,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9243,1.0,0.9449,0.0551,0.9449,0.9003,0.9528,ARTIFACT-STABLE
2097152,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9203,1.0,0.9449,0.0551,0.9449,0.8967,0.9489,ARTIFACT-STABLE
4194304,P-A-N,SectorLabelPermutation,0.9449,1.0,0.9124,1.0,0.9449,0.0551,0.9449,0.8894,0.9413,ARTIFACT-STABLE
8388608,P-A-N,SectorLabelPermutation,0.9449,1.0,0.8971,1.0,0.9449,0.0551,0.9449,0.8753,0.9263,ARTIFACT-STABLE
16777216,P-A-N,SectorLabelPermutation,0.9449,1.0,0.8678,1.0,0.9449,0.0551,0.9449,0.8484,0.8979,ARTIFACT-STABLE
33554432,P-A-N,SectorLabelPermutation,0.9449,1.0,0.8144,1.0,0.9449,0.0551,0.9449,0.7992,0.8458,ARTIFACT-STABLE
67108864,P-A-N,SectorLabelPermutation,0.9449,1.0,0.7242,1.0,0.9449,0.0551,0.9449,0.7162,0.758,ARTIFACT-STABLE
1,P-A-N,RecursiveOrderInversion,0.7923,1.0,0.7696,0.0,0.7923,0.2077,0.7923,0.758,0.9567,ARTIFACT-STABLE
2,P-A-N,RecursiveOrderInversion,0.7923,1.0,0.7696,0.0,0.7923,0.2077,0.7923,0.758,0.9567,ARTIFACT-STABLE
4,P-A-N,RecursiveOrderInversion,0.7923,1.0,0.7696,0.0,0.7923,0.2077,0.7923,0.758,0.9567,ARTIFACT-STABLE
